url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.newswire.ca/en/story/1305895/un-yogourt-par-jour-une-ambitieuse-proposition-qui-prend-son-envol,newswire.ca,2014-02-13,Canada,Activia/NAM/Activia,"La  gamme  de  yogourts  #  1  au  Canada  1  , Activia  de  Danone  ,  lance  un  nouveau  yogourt  grec  pour  souligner  son  10  e  anniversaire  !",activia,nam,activia,",",",",PUNCT,1,@card@,ADJ,Canada,Canada,PROPN,au,au,ADP DET,1,@card@,ADJ,de,de,ADP,Danone,Danone,PROPN,",",",",PUNCT,lance,lancer,VERB,un,un,DET,2014-02-13,2014,2010,ADJ PUNCT Activia ADP PROPN,PUNCT Activia ADP,ADJ PUNCT Activia,PROPN ADJ PUNCT Activia,ADP DET PROPN ADJ PUNCT Activia,Activia ADP PROPN,Activia ADP PROPN PUNCT,Activia ADP PROPN PUNCT VERB,"@card@ , Activia de Danone",", Activia de","@card@ , Activia","Canada @card@ , Activia","au Canada @card@ , Activia",Activia de Danone,"Activia de Danone ,","Activia de Danone , lancer"
http://www.newswire.ca/en/story/1305895/un-yogourt-par-jour-une-ambitieuse-proposition-qui-prend-son-envol,newswire.ca,2014-02-13,Canada,Activia/NAM/Activia,"C'  est  dans  ce  contexte  que  la  marque  de  yogourt  #  1  au  Canada  depuis  les  7  dernières  années  , Activia  de  Danone  ,  est  fière  d'  annoncer  le  lancement  du  tout  nouveau  Activia  grec  .",activia,nam,activia,",",",",PUNCT,années,année,NOUN,dernières,dernier,ADJ,7,@card@,ADJ,les,le,DET,de,de,ADP,Danone,Danone,PROPN,",",",",PUNCT,est,être,VERB,fière,fier,ADJ,2014-02-13,2014,2010,NOUN PUNCT Activia ADP PROPN,PUNCT Activia ADP,NOUN PUNCT Activia,ADJ NOUN PUNCT Activia,ADJ ADJ NOUN PUNCT Activia,Activia ADP PROPN,Activia ADP PROPN PUNCT,Activia ADP PROPN PUNCT VERB,"année , Activia de Danone",", Activia de","année , Activia","dernier année , Activia","@card@ dernier année , Activia",Activia de Danone,"Activia de Danone ,","Activia de Danone , être"
http://www.newswire.ca/en/story/1305895/un-yogourt-par-jour-une-ambitieuse-proposition-qui-prend-son-envol,newswire.ca,2014-02-13,Canada,Activia/VER:simp/Activia,"C'  est  dans  ce  contexte  que  la  marque  de  yogourt  #  1  au  Canada  depuis  les  7  dernières  années  ,  Activia  de  Danone  ,  est  fière  d'  annoncer  le  lancement  du  tout  nouveau Activia  grec  .",activia,ver:simp,activia,nouveau,nouveau,ADJ,tout,tout,NOUN,du,du,ADP DET,lancement,lancement,NOUN,le,le,DET,grec,grec,ADJ,.,.,PUNCT,,,,,,,,,,2014-02-13,2014,2010,NOUN ADJ Activia ADJ PUNCT,ADJ Activia ADJ,NOUN ADJ Activia,ADP DET NOUN ADJ Activia,NOUN ADP DET NOUN ADJ Activia,Activia ADJ PUNCT,,,tout nouveau Activia grec .,nouveau Activia grec,tout nouveau Activia,du tout nouveau Activia,lancement du tout nouveau Activia,Activia grec .,,
http://www.newswire.ca/en/story/1305895/un-yogourt-par-jour-une-ambitieuse-proposition-qui-prend-son-envol,newswire.ca,2014-02-13,Canada,Activia/NAM/Activia,"Les  bienfaits  des  probiotiques  ,  le  plaisir  de  la  texture  du  yogourt  grec  !  ""  Les  consommateurs  canadiens  sont  très  fidèles  à Activia  et  ce  sont  eux  qui  nous  demandaient  une  déclinaison  ""  grecque  ""  de  leur  marque  préférée  .",activia,nam,activia,à,à,ADP,fidèles,fidèle,ADJ,très,très,ADV,sont,être,VERB,canadiens,canadien,ADJ,et,et,CONJ,ce,ce,PRON,sont,être,VERB,eux,eux,PRON,qui,qui,PRON,2014-02-13,2014,2010,ADJ ADP Activia CONJ PRON,ADP Activia CONJ,ADJ ADP Activia,ADV ADJ ADP Activia,VERB ADV ADJ ADP Activia,Activia CONJ PRON,Activia CONJ PRON VERB,Activia CONJ PRON VERB PRON,fidèle à Activia et ce,à Activia et,fidèle à Activia,très fidèle à Activia,être très fidèle à Activia,Activia et ce,Activia et ce être,Activia et ce être eux
http://www.newswire.ca/en/story/1305895/un-yogourt-par-jour-une-ambitieuse-proposition-qui-prend-son-envol,newswire.ca,2014-02-13,Canada,Activia/NOM/Activia, Activia  grec  contient  la  souche  brevetée  exclusive  de  probiotiques  B.L  Regularis  combiné  à  la  délicieuse  texture  du  yogourt  grec  .,activia,nom,activia,,,,,,,,,,,,,,,,grec,grec,ADJ,contient,contenir,VERB,la,le,DET,souche,souche,NOUN,brevetée,breveté,ADJ,2014-02-13,2014,2010,,,,,,Activia ADJ VERB,Activia ADJ VERB DET,Activia ADJ VERB DET NOUN,,,,,,Activia grec contenir,Activia grec contenir le,Activia grec contenir le souche
http://www.newswire.ca/en/story/1305895/un-yogourt-par-jour-une-ambitieuse-proposition-qui-prend-son-envol,newswire.ca,2014-02-13,Canada,Activia/NAM/Activia, Activia  fête  ses  10  ans  :  des  communications  innovantes  et  créatives  à  surveiller,activia,nam,activia,,,,,,,,,,,,,,,,fête,fêter,VERB,ses,son,DET,10,@card@,ADJ,ans,an,NOUN,:,:,PUNCT,2014-02-13,2014,2010,,,,,,Activia VERB DET,Activia VERB DET ADJ,Activia VERB DET ADJ NOUN,,,,,,Activia fêter son,Activia fêter son @card@,Activia fêter son @card@ an
http://www.newswire.ca/en/story/1305895/un-yogourt-par-jour-une-ambitieuse-proposition-qui-prend-son-envol,newswire.ca,2014-02-13,Canada,Activia/NAM/Activia,Cette  année Activia  célèbre  ses  10  ans  au  Canada  .,activia,nam,activia,année,année,NOUN,Cette,Cette,PROPN,,,,,,,,,,célèbre,célébrer,VERB,ses,son,DET,10,@card@,ADJ,ans,an,NOUN,au,au,ADP DET,2014-02-13,2014,2010,PROPN NOUN Activia VERB DET,NOUN Activia VERB,PROPN NOUN Activia,,,Activia VERB DET,Activia VERB DET ADJ,Activia VERB DET ADJ NOUN,Cette année Activia célébrer son,année Activia célébrer,Cette année Activia,,,Activia célébrer son,Activia célébrer son @card@,Activia célébrer son @card@ an
http://www.newswire.ca/en/story/1305895/un-yogourt-par-jour-une-ambitieuse-proposition-qui-prend-son-envol,newswire.ca,2014-02-13,Canada,Activia/NAM/Activia,"""  Le  lancement  du  nouveau Activia  grec  n'  est  que  le  début  de  plusieurs  célébrations  entourant  le  10  anniversaire  de  la  marque  ""  ,  ajoute  Pauline  Varga  .",activia,nam,activia,nouveau,nouveau,ADJ,du,du,ADP DET,lancement,lancement,NOUN,Le,le,DET,"""","""",PUNCT,grec,grec,ADJ,n',ne,ADV,est,être,VERB,que,que,CONJ,le,le,DET,2014-02-13,2014,2010,ADP DET ADJ Activia ADJ ADV,ADJ Activia ADJ,ADP DET ADJ Activia,NOUN ADP DET ADJ Activia,DET NOUN ADP DET ADJ Activia,Activia ADJ ADV,Activia ADJ ADV VERB,Activia ADJ ADV VERB CONJ,du nouveau Activia grec ne,nouveau Activia grec,du nouveau Activia,lancement du nouveau Activia,le lancement du nouveau Activia,Activia grec ne,Activia grec ne être,Activia grec ne être que
http://www.leconomiste.com/article/916897-br-ves,leconomiste.com,2014-02-18,Morocco,Activia/NAM/Activia,"L'  héroïne  de  la  série  ""  L'  couple  ""  ,  qui  a  cartonné  durant  le  mois  de  Ramadan  ,  Dounia  Boutazout  ,  vient  de  sceller  un  partenariat  avec Activia  au  Maroc  .",activia,nam,activia,avec,avec,ADP,partenariat,partenariat,NOUN,un,un,DET,sceller,sceller,VERB,de,de,ADP,au,au,ADP DET,Maroc,Maroc,PROPN,.,.,PUNCT,,,,,,,2014-02-18,2014,2010,NOUN ADP Activia ADP DET PROPN,ADP Activia ADP DET,NOUN ADP Activia,DET NOUN ADP Activia,VERB DET NOUN ADP Activia,Activia ADP DET PROPN,Activia ADP DET PROPN PUNCT,,partenariat avec Activia au Maroc,avec Activia au,partenariat avec Activia,un partenariat avec Activia,sceller un partenariat avec Activia,Activia au Maroc,Activia au Maroc .,
http://www.leconomiste.com/article/916897-br-ves,leconomiste.com,2014-02-18,Morocco,Activia/NAM/Activia,""" Activia  est  une  marque  qui  se  veut  proche  et  à  l'  écoute  de  ses  consommateurs  ,  c'  est  donc  tout  naturellement  que  Dounia  Boutazout  s'  est  imposée  comme  le  choix  idéal  pour  porter  la  voix  de  la  marque  de  par  son  naturel  ,  sa  spontanéité  et  sa  popularité  ""  ,  indique  un  communiqué  de  Centrale  Laitière  .",activia,nam,activia,"""","""",PUNCT,,,,,,,,,,,,,est,être,VERB,une,un,DET,marque,marque,NOUN,qui,qui,PRON,se,se,PRON,2014-02-18,2014,2010,,PUNCT Activia VERB,,,,Activia VERB DET,Activia VERB DET NOUN,Activia VERB DET NOUN PRON,,""" Activia être",,,,Activia être un,Activia être un marque,Activia être un marque qui
