url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://bibliobs.nouvelobs.com/la-tendance-de-jerome-garcin/20140310.OBS9084/hemingway-ne-sent-pas-bon.html?xtor=RSS-164,nouvelobs.com,2014-03-10,France,Air_Wick/NAM_NAM/Air_Wick,"On  dirait  un  mélange  de  déodorant  Jean  Paul  Gaultier  ,  de  désodorisant Air_Wick  et  de  désherbant  Roundup  .",air_wick,nam_nam,air_wick,désodorisant,désodorisant,ADJ,de,de,ADP,",",",",PUNCT,Gaultier,Gaultier,PROPN,Paul,Paul,PROPN,et,et,CONJ,de,de,ADP,désherbant,désherbant,ADJ,Roundup,Roundup,NOUN,.,.,PUNCT,2014-03-10,2014,2010,ADP ADJ Air Wick CONJ ADP,ADJ Air Wick CONJ,ADP ADJ Air Wick,PUNCT ADP ADJ Air Wick,PROPN PUNCT ADP ADJ Air Wick,Air Wick CONJ ADP,Air Wick CONJ ADP ADJ,Air Wick CONJ ADP ADJ NOUN,de désodorisant Air Wick et de,désodorisant Air Wick et,de désodorisant Air Wick,", de désodorisant Air Wick","Gaultier , de désodorisant Air Wick",Air Wick et de,Air Wick et de désherbant,Air Wick et de désherbant Roundup
http://www.romandie.com/news/Reckitt-Benckiser-benefice-net-semestriel-en-repli-apres-une-cession/615626.rom,romandie.com,2015-07-27,Switzerland,Air_Wick/NAM_NAM/Air_Wick,"Entre  le  1  er  janvier  et  le  30  juin  ,  le  groupe  qui  fabrique  entre  autres  les  antalgiques  Nurofen  ,  les  préservatifs  Durex  et  le  désodorisant Air_Wick  a  dégagé  un  bénéfice  net  de  709  millions  de  livres  (  1  milliard  d'  euros  )  .",air_wick,nam_nam,air_wick,désodorisant,désodorisant,ADJ,le,le,DET,et,et,CONJ,Durex,Durex,NOUN,préservatifs,préservatif,ADJ,a,avoir,VERB,dégagé,dégager,VERB,un,un,DET,bénéfice,bénéfice,NOUN,net,net,ADJ,2015-07-27,2015,2010,DET ADJ Air Wick VERB VERB,ADJ Air Wick VERB,DET ADJ Air Wick,CONJ DET ADJ Air Wick,NOUN CONJ DET ADJ Air Wick,Air Wick VERB VERB,Air Wick VERB VERB DET,Air Wick VERB VERB DET NOUN,le désodorisant Air Wick avoir dégager,désodorisant Air Wick avoir,le désodorisant Air Wick,et le désodorisant Air Wick,Durex et le désodorisant Air Wick,Air Wick avoir dégager,Air Wick avoir dégager un,Air Wick avoir dégager un bénéfice
http://www.marketwired.com/press-release/reservez-maman-une-ovation-debout-pour-la-fete-des-meres-aidez-la-enlever-un-poids-de-2109726.htm,marketwired.com,2016-03-29,===NONE===,Air_Wick/NAM_NAM/Air_Wick,"Elle  possède  un  puissant  portfolio  de  méga  marques  telles  Veet  ,  Clearasil  ,  Durex  ,  Finish  ,  Lysol  ,  Resolve  Woolite  , Air_Wick  ,  Cepacol  ,  Gaviscon  et  French  '  s  ,  qui  comptent  pour  70  pour  cent  de  son  revenu  net  .",air_wick,nam_nam,air_wick,",",",",PUNCT,Woolite,Woolite,PROPN,Resolve,Resolve,PROPN,",",",",PUNCT,Lysol,Lysol,PROPN,",",",",PUNCT,Cepacol,Cepacol,PROPN,",",",",PUNCT,Gaviscon,Gaviscon,PROPN,et,et,CONJ,2016-03-29,2016,2010,PROPN PUNCT Air Wick PUNCT PROPN,PUNCT Air Wick PUNCT,PROPN PUNCT Air Wick,PROPN PROPN PUNCT Air Wick,PUNCT PROPN PROPN PUNCT Air Wick,Air Wick PUNCT PROPN,Air Wick PUNCT PROPN PUNCT,Air Wick PUNCT PROPN PUNCT PROPN,"Woolite , Air Wick , Cepacol",", Air Wick ,","Woolite , Air Wick","Resolve Woolite , Air Wick",", Resolve Woolite , Air Wick","Air Wick , Cepacol","Air Wick , Cepacol ,","Air Wick , Cepacol , Gaviscon"
http://www.zonebourse.com/RECKITT-BENCKISER-GROUP-P-9590106/actualite/Reckitt-Benckiser-La-valeur-du-jour-en-Europe-RECKITT-BENCKISER-signe-un-debut-d-annee-tres-prop-22188493/,zonebourse.com,2016-04-18,===NONE===,Air_Wick/NAM_NAM/Air_Wick,"Les  ventes  de  la  branche  maison  ont  augmenté  de  3  %  à  414  millions  de  livres  (  18  %  des  revenus  )  ,  portées  par  les  désodorisants Air_Wick  et  la  lessive  Vanish  .",air_wick,nam_nam,air_wick,désodorisants,désodorisant,ADJ,les,le,DET,par,par,ADP,portées,porter,VERB,",",",",PUNCT,et,et,CONJ,la,le,DET,lessive,lessive,NOUN,Vanish,Vanish,PROPN,.,.,PUNCT,2016-04-18,2016,2010,DET ADJ Air Wick CONJ DET,ADJ Air Wick CONJ,DET ADJ Air Wick,ADP DET ADJ Air Wick,VERB ADP DET ADJ Air Wick,Air Wick CONJ DET,Air Wick CONJ DET NOUN,Air Wick CONJ DET NOUN PROPN,le désodorisant Air Wick et le,désodorisant Air Wick et,le désodorisant Air Wick,par le désodorisant Air Wick,porter par le désodorisant Air Wick,Air Wick et le,Air Wick et le lessive,Air Wick et le lessive Vanish
http://www.rtl.fr/actu/societe-faits-divers/tanguy-pastureau-jeanne-d-arc-un-come-back-de-star-7783137761,rtl.fr,2016-05-08,France,Air_Wick/NAM_NAM/Air_Wick,"Jusqu'  à  présent  ,  seul  le  FN  défilait  le  1  er  mai  sous  la  statue  de  Jeanne  ,  4000  gonzes  avec  chacun  un  brin  de  muguet  dans  la  poche  de  la  liquette  ,  donc  l'  odeur  était  celle  des  WC  de  la  gare  du  Nord  après  que  la  dame  a  mis  un  coup  d' Air_Wick  .",air_wick,nam_nam,air_wick,d',de,ADP,coup,coup,NOUN,un,un,DET,mis,mettre,VERB,a,avoir,VERB,.,.,PUNCT,,,,,,,,,,,,,2016-05-08,2016,2010,,ADP Air Wick PUNCT,NOUN ADP Air Wick,DET NOUN ADP Air Wick,VERB DET NOUN ADP Air Wick,,,,,de Air Wick .,coup de Air Wick,un coup de Air Wick,mettre un coup de Air Wick,,,
http://www.madmoizelle.com/cierge-justin-bieber-bougie-urban-outfitters-560483,madmoizelle.com,2016-05-19,===NONE===,Air_Wick/NAM_NAM/Air_Wick,"Comme  pour  la  musique  de  Barry  White  ,  vous  aurez  beaucoup  plus  de  chances  de  pécho  en  allumant  un  cierge  Bieber  qu'  une  bougie Air_Wick  .",air_wick,nam_nam,air_wick,bougie,bougie,NOUN,une,un,DET,qu',que,CONJ,Bieber,Bieber,PROPN,cierge,cierge,NOUN,.,.,PUNCT,,,,,,,,,,,,,2016-05-19,2016,2010,,NOUN Air Wick PUNCT,DET NOUN Air Wick,CONJ DET NOUN Air Wick,PROPN CONJ DET NOUN Air Wick,,,,,bougie Air Wick .,un bougie Air Wick,que un bougie Air Wick,Bieber que un bougie Air Wick,,,
http://www.prnewswire.co.uk/news-releases/le-renforcement-du-role-des-soins-auto-administres-et-lamelioration-de-lenvironnement-reglementaire-pourraient-reduire-les-pressions-qui-pesent-sur-les-systemes-de-soins-de-sante-a-lechelle-mondiale-580926681.html,prnewswire.co.uk,2016-05-26,===NONE===,Air_Wick/NAM_NAM/Air_Wick,"Son  portefeuille  de  produits  de  santé  ,  d'  hygiène  et  d'  entretien  est  dominé  par  les  19  marques  internationales  de  premier  plan  suivantes  :  Nurofen  ,  Strepsils  ,  Gaviscon  ,  Mucinex  ,  Durex  ,  Scholl  ,  Clearasil  ,  Lysol  ,  Dettol  ,  Veet  ,  Harpic  ,  Bang  ,  Mortein  ,  Finish  ,  Vanish  ,  Calgon  , Air_Wick  ,  Woolite  et  French  '  s.  80  %  de  ses  revenus  de  base  proviennent  des  catégories  Santé  et  Hygiène  de  ce  portefeuille  .",air_wick,nam_nam,air_wick,",",",",PUNCT,Calgon,Calgon,PROPN,",",",",PUNCT,Vanish,Vanish,PROPN,",",",",PUNCT,",",",",PUNCT,Woolite,Woolite,PROPN,et,et,CONJ,French,French,PROPN,',',PUNCT,2016-05-26,2016,2010,PROPN PUNCT Air Wick PUNCT PROPN,PUNCT Air Wick PUNCT,PROPN PUNCT Air Wick,PUNCT PROPN PUNCT Air Wick,PROPN PUNCT PROPN PUNCT Air Wick,Air Wick PUNCT PROPN,Air Wick PUNCT PROPN CONJ,Air Wick PUNCT PROPN CONJ PROPN,"Calgon , Air Wick , Woolite",", Air Wick ,","Calgon , Air Wick",", Calgon , Air Wick","Vanish , Calgon , Air Wick","Air Wick , Woolite","Air Wick , Woolite et","Air Wick , Woolite et French"
http://www.journaldunet.com/ebusiness/commerce/1187589-amazon-lance-ses-boutons-dash-en-france/,journaldunet.com,2016-11-08,France,Air_Wick/NAM_NAM/Air_Wick,"Les  premières  marques  à  proposer  des  Dash  Buttons  en  France  sont Air_Wick  ,  Ariel  ,  Brabantia  ,  Bref  ,  BSN  ,  Derwent  ,  Diadermine  ,  Durex  ,  Eukanuba  ,  Fa  ,  Finish  ,  GBC  ,  Gillette  ,  Handy  Bag  ,  Head  &  Shoulders  ,  Huggies  ,  Kleenex  ,  Laboratoires  Vendôme  ,  Le  Chat  ,  Lenor  ,  Le  Petit  Marseillais  ,  Lipton  ,  Listerine  ,  Nerf  ,  Neutrogena  ,  Nivea  ,  Nivea  Bébé  ,  Nivea  Men  ,  Nobo  ,  Optimum  Nutrition  ,  Pampers  ,  Pedigree  ,  Play-Doh  ,  Rexel  ,  Scholl  ,  Signal  ,  Simple  Human  ,  Skip  ,  Sun  ,  Schwarzkopf  ,  Vania  ,  Veet  et  Whiskas  .",air_wick,nam_nam,air_wick,sont,être,VERB,France,France,PROPN,en,en,ADP,Buttons,Buttons,PROPN,Dash,Dash,PROPN,",",",",PUNCT,Ariel,Ariel,PROPN,",",",",PUNCT,Brabantia,Brabantia,PROPN,",",",",PUNCT,2016-11-08,2016,2010,PROPN VERB Air Wick PUNCT PROPN,VERB Air Wick PUNCT,PROPN VERB Air Wick,ADP PROPN VERB Air Wick,PROPN ADP PROPN VERB Air Wick,Air Wick PUNCT PROPN,Air Wick PUNCT PROPN PUNCT,Air Wick PUNCT PROPN PUNCT PROPN,"France être Air Wick , Ariel","être Air Wick ,",France être Air Wick,en France être Air Wick,Buttons en France être Air Wick,"Air Wick , Ariel","Air Wick , Ariel ,","Air Wick , Ariel , Brabantia"
http://www.francesoir.fr/lifestyle-shopping/amazon-les-boutons-dash-debarquent-en-france,francesoir.fr,2016-11-09,France,Air_Wick/NAM_NAM/Air_Wick,"Dans  la  liste  ,  on  retrouve  notamment  Lipton  ,  Le  Chat  ,  Pedigree  , Air_Wick  ,  Ariel  ,  Gillette  ,  Huggies  ,  Head  &  Shoulders  ,  Diadermine  ,  Kleenex  ,  Nicorette  ou  encore  Schwarzkopf  .",air_wick,nam_nam,air_wick,",",",",PUNCT,Pedigree,Pedigree,PROPN,",",",",PUNCT,Chat,Chat,PROPN,Le,le,DET,",",",",PUNCT,Ariel,Ariel,PROPN,",",",",PUNCT,Gillette,Gillette,PROPN,",",",",PUNCT,2016-11-09,2016,2010,PROPN PUNCT Air Wick PUNCT PROPN,PUNCT Air Wick PUNCT,PROPN PUNCT Air Wick,PUNCT PROPN PUNCT Air Wick,PROPN PUNCT PROPN PUNCT Air Wick,Air Wick PUNCT PROPN,Air Wick PUNCT PROPN PUNCT,Air Wick PUNCT PROPN PUNCT PROPN,"Pedigree , Air Wick , Ariel",", Air Wick ,","Pedigree , Air Wick",", Pedigree , Air Wick","Chat , Pedigree , Air Wick","Air Wick , Ariel","Air Wick , Ariel ,","Air Wick , Ariel , Gillette"
http://votreargent.lexpress.fr/consommation/amazon-va-vous-filer-des-boutons-avec-ses-dash_1849354.html,lexpress.fr,2016-11-10,France,Air_Wick/NAM_NAM/Air_Wick,"Ils  peuvent  d'  ores  et  déjà  être  paramétrés  avec  les  centaines  de  produits  de  la  quarantaine  de  marques  partenaires  (  Nivea  ,  Gillette  ,  Diadermine  ,  Pampers  ,  Huggies  ,  Durex  ,  Pedigree  , Air_Wick  ,  Whiskas  ...  )  .",air_wick,nam_nam,air_wick,",",",",PUNCT,Pedigree,Pedigree,PROPN,",",",",PUNCT,Durex,Durex,PROPN,",",",",PUNCT,",",",",PUNCT,Whiskas,Whiskas,PROPN,...,...,PUNCT,),),PUNCT,.,.,PUNCT,2016-11-10,2016,2010,PROPN PUNCT Air Wick PUNCT PROPN,PUNCT Air Wick PUNCT,PROPN PUNCT Air Wick,PUNCT PROPN PUNCT Air Wick,PROPN PUNCT PROPN PUNCT Air Wick,Air Wick PUNCT PROPN,Air Wick PUNCT PROPN PUNCT,Air Wick PUNCT PROPN PUNCT PUNCT,"Pedigree , Air Wick , Whiskas",", Air Wick ,","Pedigree , Air Wick",", Pedigree , Air Wick","Durex , Pedigree , Air Wick","Air Wick , Whiskas","Air Wick , Whiskas ...","Air Wick , Whiskas ... )"
