url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://tempsreel.nouvelobs.com/sport/20131220.OBS0389/pour-noel-je-veux-un-cerveau-inventif-pour-le-xv-de-france.html?xtor=RSS-31,nouvelobs.com,2014-01-02,France,Albaladejo/NAM/Albaladejo,"J'  ai  laissé  à  Pierre Albaladejo  le  rôle  du  rabat-joie  pour  qui  ""  le  rugby  c'  était  mieux  avant  ""  .",albaladejo,nam,albaladejo,Pierre,Pierre,PROPN,à,à,ADP,laissé,laisser,VERB,ai,avoir,VERB,J',je,PRON,le,le,DET,rôle,rôle,NOUN,du,du,ADP DET,rabat-joie,rabat-joie,NOUN,pour,pour,ADP,2014-01-02,2014,2010,ADP PROPN Albal DET NOUN,PROPN Albal DET,ADP PROPN Albal,VERB ADP PROPN Albal,VERB VERB ADP PROPN Albal,Albal DET NOUN,Albal DET NOUN ADP DET,Albal DET NOUN ADP DET NOUN,à Pierre Albal le rôle,Pierre Albal le,à Pierre Albal,laisser à Pierre Albal,avoir laisser à Pierre Albal,Albal le rôle,Albal le rôle du,Albal le rôle du rabat-joie
http://tempsreel.nouvelobs.com/sport/20131220.OBS0389/pour-noel-je-veux-un-cerveau-inventif-pour-le-xv-de-france.html?xtor=RSS-31,nouvelobs.com,2014-01-02,France,Albalalejo/NAM/Albalalejo,"Pierre Albalalejo  ne  se  reconnaît  plus  dans  ce  rugby  ,  disais-je  en  introduction  .",albalalejo,nam,albalalejo,Pierre,Pierre,PROPN,,,,,,,,,,,,,ne,ne,ADV,se,se,PRON,reconnaît,reconnaître,VERB,plus,plus,ADV,dans,dans,ADP,2014-01-02,2014,2010,,PROPN Albal ADV,,,,Albal ADV PRON,Albal ADV PRON VERB,Albal ADV PRON VERB ADV,,Pierre Albal ne,,,,Albal ne se,Albal ne se reconnaître,Albal ne se reconnaître plus
http://www.rfimusique.com/actu-musique/musique-africaine/album/20140109-aminata-wassidje-traore-tamala?utm_source=dlvr.it&utm_medium=twitter,rfimusique.com,2014-01-09,===NONE===,Albala/NAM/Albala,"Il  y  a  aussi  ces  multiples  apparitions  dans  le  programme  télévisé  très  regardé  Top  Etoile  ,  de  l'  ORTM  ,  ou  encore  sa  participation  en  2008  au  projet  Sept  étoiles  de  Diré  réunissant  quelques  artistes  de  cette  ville  de  la  région  de  Tombouctou  ,  comme  Samba  Touré  -  pour  lequel  elle  a  joué  les  choristes  dans  le  cadre  de  son  récent  album Albala  .",albala,nam,albala,album,album,NOUN,récent,récent,ADJ,son,son,DET,de,de,ADP,cadre,cadre,NOUN,.,.,PUNCT,,,,,,,,,,,,,2014-01-09,2014,2010,,NOUN Albal PUNCT,ADJ NOUN Albal,DET ADJ NOUN Albal,ADP DET ADJ NOUN Albal,,,,,album Albal .,récent album Albal,son récent album Albal,de son récent album Albal,,,
http://storify.com/omarheart83/autumn-et-de-winter-robes-de-bal-une-tendance,storify.com,2014-01-19,===NONE===,falbala/NOM/falbala,"Décorations  Froncé  ,  de falbala  et  des  choses  comme  ça  faire  aux  modèles  plus  belles  et  enchanteur  .",falbala,nom,falbala,de,de,ADP,",",",",PUNCT,Froncé,Froncé,PROPN,Décorations,décoration,NOUN,,,,et,et,CONJ,des,du,ADP DET,choses,chose,NOUN,comme,comme,ADV,ça,cela,PRON,2014-01-19,2014,2010,PUNCT ADP Albal CONJ ADP DET,ADP Albal CONJ,PUNCT ADP Albal,PROPN PUNCT ADP Albal,NOUN PROPN PUNCT ADP Albal,Albal CONJ ADP DET,Albal CONJ ADP DET NOUN,Albal CONJ ADP DET NOUN ADV,", de Albal et du",de Albal et,", de Albal","Froncé , de Albal","décoration Froncé , de Albal",Albal et du,Albal et du chose,Albal et du chose comme
http://www.ladepeche.fr/article/2014/02/04/1810280-riverdance-de-belfast-a-toulouse.html,ladepeche.fr,2014-02-04,France,falbalas/NOM/falbala,"Blanches  et  vertes  frappées  du  trèfle  irlandais  et  quelques  autres  très  colorées  à falbalas  sont  destinées  ,  comme  les  imposantes  perruques  que  coiffent  les  compétitrices  ,  à  attirer  sur  elles  l'  attention  des  jurys  .",falbalas,nom,falbala,à,à,ADP,colorées,colorer,VERB,très,très,ADV,autres,autre,ADJ,quelques,quelque,PRON,sont,être,VERB,destinées,destiner,VERB,",",",",PUNCT,comme,comme,CONJ,les,le,DET,2014-02-04,2014,2010,VERB ADP Albal VERB VERB,ADP Albal VERB,VERB ADP Albal,ADV VERB ADP Albal,ADJ ADV VERB ADP Albal,Albal VERB VERB,Albal VERB VERB PUNCT,Albal VERB VERB PUNCT CONJ,colorer à Albal être destiner,à Albal être,colorer à Albal,très colorer à Albal,autre très colorer à Albal,Albal être destiner,"Albal être destiner ,","Albal être destiner , comme"
http://www.lefigaro.fr/flash-actu/2014/02/05/97001-20140205FILWWW00278-deces-de-l-ancien-international-andre-abadie.php,lefigaro.fr,2014-02-05,France,Albaladejo/NAM/Albaladejo,"Une  sélection  ,  le  11  avril  1964  dans  le  Tournoi  des  cinq  nations  (  victoire  27  -  6  contre  l'  Irlande  )  entouré  en  première  ligne  d'  Aldo  Gruarin  et  de  Jean-Pierre  Berejnoï  ,  il  a  complété  son  palmarès  auprès  des  Crauste  ,  Gachassin  ,  Pierre Albaladejo  et  Dauga  .",albaladejo,nam,albaladejo,Pierre,Pierre,PROPN,",",",",PUNCT,Gachassin,Gachassin,PROPN,",",",",PUNCT,Crauste,Crauste,PROPN,et,et,CONJ,Dauga,Dauga,PROPN,.,.,PUNCT,,,,,,,2014-02-05,2014,2010,PUNCT PROPN Albal CONJ PROPN,PROPN Albal CONJ,PUNCT PROPN Albal,PROPN PUNCT PROPN Albal,PUNCT PROPN PUNCT PROPN Albal,Albal CONJ PROPN,Albal CONJ PROPN PUNCT,,", Pierre Albal et Dauga",Pierre Albal et,", Pierre Albal","Gachassin , Pierre Albal",", Gachassin , Pierre Albal",Albal et Dauga,Albal et Dauga .,
http://www.tv5.org/cms/chaine-francophone/info/p-1911-redir.htm?&rub=9&xml=newsmlmmd.urn.newsml.afp.com.20140207.c4e26989.5ec9.4e82.a21e.16efe8477557.xml,tv5.org,2014-02-07,France,Albaladejo/NAM/Albaladejo,"Victorieux  de  leur  1  er  match  contre  l'  Espagne  (  21  -  15  )  ,  avec  trois  essais  signé  Jonathan  Laugel  ,  Julien  Jane  et  Paul Albaladejo  ,  les  Tricolores  ont  ensuite  reçu  deux  claques  ,  battus  26  -  5  par  les  Fidji  puis  47  -  0  par  les  All  Blacks  .",albaladejo,nam,albaladejo,Paul,Paul,PROPN,et,et,CONJ,Jane,Jane,PROPN,Julien,Julien,PROPN,",",",",PUNCT,",",",",PUNCT,les,le,DET,Tricolores,Tricolores,PROPN,ont,avoir,VERB,ensuite,ensuite,ADV,2014-02-07,2014,2010,CONJ PROPN Albal PUNCT DET,PROPN Albal PUNCT,CONJ PROPN Albal,PROPN CONJ PROPN Albal,PROPN PROPN CONJ PROPN Albal,Albal PUNCT DET,Albal PUNCT DET PROPN,Albal PUNCT DET PROPN VERB,"et Paul Albal , le","Paul Albal ,",et Paul Albal,Jane et Paul Albal,Julien Jane et Paul Albal,"Albal , le","Albal , le Tricolores","Albal , le Tricolores avoir"
http://www.newswire.ca/en/story/1304541/dressilyme-annonce-le-lancement-d-une-grande-collection-de-nouvelles-robes-de-mariage-pour-2014,newswire.ca,2014-02-12,Canada,falbalas/NOM/falbala,"La  collection  propose  les  élégantes  robes  de  cérémonie  2014  avec  des  imprimés  aux  couleurs  vives  et  des  éléments  asymétriques  qui  font  fureur  cette  saison  ,  les  robes  de  mariage  2014  avec  les  styles  les  plus  en  vogue  notamment  des  robes  perlées  et  brodées  ,  des  encolures  en  pointe  ,  de  la  dentelle  romantique  ,  des  variantes  courtes  ,  des  robes  élégantes  à falbalas  ,  des  tissages  jacquard  uniques  et  des  modèles  minimalistes  .",falbalas,nom,falbala,à,à,ADP,élégantes,élégant,ADJ,robes,robe,NOUN,des,du,ADP DET,",",",",PUNCT,",",",",PUNCT,des,du,ADP DET,tissages,tissage,NOUN,jacquard,jacquard,ADJ,uniques,unique,ADJ,2014-02-12,2014,2010,ADJ ADP Albal PUNCT ADP DET,ADP Albal PUNCT,ADJ ADP Albal,NOUN ADJ ADP Albal,ADP DET NOUN ADJ ADP Albal,Albal PUNCT ADP DET,Albal PUNCT ADP DET NOUN,Albal PUNCT ADP DET NOUN ADJ,"élégant à Albal , du","à Albal ,",élégant à Albal,robe élégant à Albal,du robe élégant à Albal,"Albal , du","Albal , du tissage","Albal , du tissage jacquard"
http://www.lesinrocks.com/2014/02/13/cinema/top-100-plus-beaux-films-francais-11468683/,lesinrocks.com,2014-02-14,===NONE===,Falbalas/NAM/Falbalas,"Avec Falbalas  (  93  eme  )  ,  Le  Trou  est  un  des  deux  films  classés  de  Jacques  Becker  (  car  dans  la  série  ""  nous  ne  respectons  rien  ""  ,  Casque  d'  or  n'  a  pas  non  plus  réussi  a  se  faufiler  dans  le  top  100  )  .",falbalas,nam,falbalas,Avec,avec,ADP,,,,,,,,,,,,,(,(,PUNCT,93,@card@,ADJ,eme,eme,NOUN,),),PUNCT,",",",",PUNCT,2014-02-14,2014,2010,,ADP Albal PUNCT,,,,Albal PUNCT ADJ,Albal PUNCT ADJ NOUN,Albal PUNCT ADJ NOUN PUNCT,,avec Albal (,,,,Albal ( @card@,Albal ( @card@ eme,Albal ( @card@ eme )
http://www.ladepeche.fr/article/2014/02/12/1816102-montauban-issandou-a-la-galerie-du-fort.html,ladepeche.fr,2014-02-15,France,Falbala/NAM/Falbala,"Une  Villa Falbala  à  Montauban  !  Dans  cette  attente  ,  l'  exposition  est  visible  jusqu'  au  25  février  à  la  Galerie  du  Fort  du  lundi  au  vendredi  de  9  h  à  19  h. </doc>",falbala,nam,falbala,Villa,Villa,PROPN,Une,un,DET,,,,,,,,,,à,à,ADP,Montauban,Montauban,PROPN,!,!,PUNCT,Dans,dans,ADP,cette,ce,PRON,2014-02-15,2014,2010,DET PROPN Albal ADP PROPN,PROPN Albal ADP,DET PROPN Albal,,,Albal ADP PROPN,Albal ADP PROPN PUNCT,Albal ADP PROPN PUNCT ADP,un Villa Albal à Montauban,Villa Albal à,un Villa Albal,,,Albal à Montauban,Albal à Montauban !,Albal à Montauban ! dans
