url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.sudouest.fr/2014/08/21/un-homme-de-devoir-1647206-4018.php#xtor%3DRSS-10521769,sudouest.fr,2014-08-21,France,Alcampo/NAM/Alcampo,"atrick  Urquia  ,  dépanneur  hendayais  ,  rentrait  avec  ses  deux  filles  des  feux  d'  artifice  de  Saint-Sébastien  ,  dans  la  nuit  de  jeudi  à  vendredi  ,  lorsqu'  il  a  vu  arriver  dans  son  rétroviseur  une  BMW  325  ,  qui  roulait  à  tombeau  ouvert  sur  la  nationale  ,  au  niveau  d' Alcampo  .",alcampo,nam,alcampo,d',de,ADP,niveau,niveau,NOUN,au,au,ADP DET,",",",",PUNCT,nationale,national,ADJ,.,.,PUNCT,,,,,,,,,,,,,2014-08-21,2014,2010,,ADP Alcampo PUNCT,NOUN ADP Alcampo,ADP DET NOUN ADP Alcampo,PUNCT ADP DET NOUN ADP Alcampo,,,,,de Alcampo .,niveau de Alcampo,au niveau de Alcampo,", au niveau de Alcampo",,,
http://www.lesechos.fr/journal20141211/lec2_industrie_et_services/0204006717026-carrefour-espagne-met-le-paquet-pour-les-fetes-1073890.php?xtor=RSS-2062,lesechos.fr,2014-12-10,France,Alcampo/NAM/Alcampo," Alcampo  ,  la  filiale  espagnole  d'  Auchan  ,  propose  un  dispositif  moins  puissant  ,  avec  un  financement  en  trois  mois  sans  intérêts  pour  les  achats  de  jouets  à  partir  de  90  euros  ,  et  de  dix  mois  sans  intérêts  à  partir  de  200  euros  d'  achats  dans  son  prospectus  spécial  cadeaux  . </doc>",alcampo,nam,alcampo,,,,,,,,,,,,,,,,",",",",PUNCT,la,le,DET,filiale,filiale,NOUN,espagnole,espagnol,ADJ,d',de,ADP,2014-12-10,2014,2010,,,,,,Alcampo PUNCT DET,Alcampo PUNCT DET NOUN,Alcampo PUNCT DET NOUN ADJ,,,,,,"Alcampo , le","Alcampo , le filiale","Alcampo , le filiale espagnol"
http://www.leparisien.fr/flash-actualite-economie/pour-les-fetes-le-retour-des-espagnols-dans-les-magasins-21-12-2014-4391891.php,leparisien.fr,2014-12-21,France,Alcampo/NAM/Alcampo,"La  tendance  est  à  la  reprise  et  pas  seulement  dans  la  capitale  ,  se  réjouit  le  porte-parole  de  l'  Association  nationale  des  grandes  entreprises  de  distribution  (  Anged  )  ,  regroupant  les  grands  magasins  Corte  Ingles  ,  les  supermarchés  Carrefour  , Alcampo  (  Auchan  )  ,  Hypercor  ou  encore  le  géant  de  l'  ameublement  Ikea  ,  les  magasins  de  jouets  Toy  '  s  ""  R  ""  Us  et  l'  enseigne  de  produits  culturels  et  techniques  Fnac  .",alcampo,nam,alcampo,",",",",PUNCT,Carrefour,Carrefour,PROPN,supermarchés,supermarché,NOUN,les,le,DET,",",",",PUNCT,(,(,PUNCT,Auchan,Auchan,PROPN,),),PUNCT,",",",",PUNCT,Hypercor,Hypercor,PROPN,2014-12-21,2014,2010,PROPN PUNCT Alcampo PUNCT PROPN,PUNCT Alcampo PUNCT,PROPN PUNCT Alcampo,NOUN PROPN PUNCT Alcampo,DET NOUN PROPN PUNCT Alcampo,Alcampo PUNCT PROPN,Alcampo PUNCT PROPN PUNCT,Alcampo PUNCT PROPN PUNCT PUNCT,"Carrefour , Alcampo ( Auchan",", Alcampo (","Carrefour , Alcampo","supermarché Carrefour , Alcampo","le supermarché Carrefour , Alcampo",Alcampo ( Auchan,Alcampo ( Auchan ),"Alcampo ( Auchan ) ,"
http://www.lapresse.ca/le-droit/arts-et-spectacles/arts-visuels/201508/29/01-4896332-la-nature-au-fil-des-souvenirs.php,lapresse.ca,2015-08-29,Canada,Alcampo/NAM/Alcampo,"Dans  Singing  Plants  Reconstruct  Memory  ,  l'  artiste  Jo  SiMalaya Alcampo  confie  le  récit  de  sa  famille  à  un  plant  de  bananiers  .",alcampo,nam,alcampo,SiMalaya,SiMalaya,PROPN,Jo,Jo,PROPN,artiste,artiste,ADJ,l',le,DET,",",",",PUNCT,confie,confier,VERB,le,le,DET,récit,récit,NOUN,de,de,ADP,sa,son,DET,2015-08-29,2015,2010,PROPN PROPN Alcampo VERB DET,PROPN Alcampo VERB,PROPN PROPN Alcampo,ADJ PROPN PROPN Alcampo,DET ADJ PROPN PROPN Alcampo,Alcampo VERB DET,Alcampo VERB DET NOUN,Alcampo VERB DET NOUN ADP,Jo SiMalaya Alcampo confier le,SiMalaya Alcampo confier,Jo SiMalaya Alcampo,artiste Jo SiMalaya Alcampo,le artiste Jo SiMalaya Alcampo,Alcampo confier le,Alcampo confier le récit,Alcampo confier le récit de
http://www.lesechos.fr/journal20160418/lec2_industrie_et_services/021841913589-lespagne-et-litalie-se-font-laboratoires-dinnovation-de-carrefour-1214437.php#xtor%3DRSS-2242,lesechos.fr,2016-04-17,France,Alcampo/NAM/Alcampo,"Avec  une  application  mobile  qui  permet  de  comparer  ses  prix  avec  ceux  de  la  concurrence  ( Alcampo  ,  Simply  ,  Lidl  ,  Mercadona  ...  )  .",alcampo,nam,alcampo,(,(,PUNCT,concurrence,concurrence,NOUN,la,le,DET,de,de,ADP,ceux,celui,PRON,",",",",PUNCT,Simply,Simply,PROPN,",",",",PUNCT,Lidl,Lidl,PROPN,",",",",PUNCT,2016-04-17,2016,2010,NOUN PUNCT Alcampo PUNCT PROPN,PUNCT Alcampo PUNCT,NOUN PUNCT Alcampo,DET NOUN PUNCT Alcampo,ADP DET NOUN PUNCT Alcampo,Alcampo PUNCT PROPN,Alcampo PUNCT PROPN PUNCT,Alcampo PUNCT PROPN PUNCT PROPN,"concurrence ( Alcampo , Simply","( Alcampo ,",concurrence ( Alcampo,le concurrence ( Alcampo,de le concurrence ( Alcampo,"Alcampo , Simply","Alcampo , Simply ,","Alcampo , Simply , Lidl"
https://www.lesechos.fr/finance-marches/banque-assurances/0211868631066-paiements-oney-enregistre-une-annee-record-2071472.php,lesechos.fr,2017-03-10,France,Alcampo/NAM/Alcampo,"Dans  le  domaine  du  crédit  ,  l'  établissement  bancaire  a  déployé  son  offre  de  paiement  en  plusieurs  fois  dans  l'  enseigne  d'  électronique  grand  public  Worten  en  Espagne  ainsi  que  la  signature  électronique  auprès  de  Leroy  Merlin  ,  Décathlon  et  les  magasins Alcampo  en  Espagne  .",alcampo,nam,alcampo,magasins,magasin,NOUN,les,le,DET,et,et,CONJ,Décathlon,Décathlon,PROPN,",",",",PUNCT,en,en,ADP,Espagne,Espagne,PROPN,.,.,PUNCT,,,,,,,2017-03-10,2017,2010,DET NOUN Alcampo ADP PROPN,NOUN Alcampo ADP,DET NOUN Alcampo,CONJ DET NOUN Alcampo,PROPN CONJ DET NOUN Alcampo,Alcampo ADP PROPN,Alcampo ADP PROPN PUNCT,,le magasin Alcampo en Espagne,magasin Alcampo en,le magasin Alcampo,et le magasin Alcampo,Décathlon et le magasin Alcampo,Alcampo en Espagne,Alcampo en Espagne .,
http://www.lemonde.fr/economie/article/2017/09/30/kiabi-vient-empieter-sur-les-plates-bandes-de-l-espagnol-zara_5194027_3234.html,lemonde.fr,2017-09-30,France,AlCampo/NAM/AlCampo,"Jusque-là  ,  l'  enseigne  inaugurait  de  grandes  surfaces  à  proximité  des  hypermarchés AlCampo  ,  filiale  d'  Auchan  en  Espagne  ,  de  Decathlon  et  de  Leroy-Merlin  ,  deux  autres  enseignes  de  la  galaxie  Mulliez  que  les  entrepreneurs  nordistes  ont  implantées  en  Espagne  dans  les  années  1980  pour  conquérir  un  marché  à  l'  époque  florissant  .",alcampo,nam,alcampo,hypermarchés,hypermarché,NOUN,des,du,ADP DET,proximité,proximité,NOUN,à,à,ADP,surfaces,surface,NOUN,",",",",PUNCT,filiale,filial,ADJ,d',de,ADP,Auchan,Auchan,PROPN,en,en,ADP,2017-09-30,2017,2010,ADP DET NOUN Alcampo PUNCT ADJ,NOUN Alcampo PUNCT,ADP DET NOUN Alcampo,NOUN ADP DET NOUN Alcampo,ADP NOUN ADP DET NOUN Alcampo,Alcampo PUNCT ADJ,Alcampo PUNCT ADJ ADP,Alcampo PUNCT ADJ ADP PROPN,"du hypermarché Alcampo , filial","hypermarché Alcampo ,",du hypermarché Alcampo,proximité du hypermarché Alcampo,à proximité du hypermarché Alcampo,"Alcampo , filial","Alcampo , filial de","Alcampo , filial de Auchan"
https://www.paris-normandie.fr/region/realcamp--les-anciens-passent-a-table-pour-noel-NA14277695,paris-normandie.fr,2018-12-13,France,Réalcampoise/NOM/Réalcampoise,"""  Je  ne  sors  plus  beaucoup  ,  reconnaît  cette Réalcampoise  .",réalcampoise,nom,réalcampoise,cette,ce,PRON,reconnaît,reconnaître,VERB,",",",",PUNCT,beaucoup,beaucoup,ADV,plus,plus,ADV,.,.,PUNCT,,,,,,,,,,,,,2018-12-13,2018,2010,,PRON Alcampo PUNCT,VERB PRON Alcampo,PUNCT VERB PRON Alcampo,ADV PUNCT VERB PRON Alcampo,,,,,ce Alcampo .,reconnaître ce Alcampo,", reconnaître ce Alcampo","beaucoup , reconnaître ce Alcampo",,,
https://fr.sputniknews.com/international/201911111042407983-le-mensonge-du-recyclage-des-dechets-en-espagne/,sputniknews.com,2019-11-11,===NONE===,Alcampo/NAM/Alcampo,"A  ces  géants  se  joignent  également  les  compagnies  PepsiCo  et  Coca-Cola  ,  les  hypermarchés  comme  Carrefour  , Alcampo  ,  Mercadona  ou  El  Corte  Inglés  et  ,  enfin  ,  les  compagnies  des  manières  premières  et  les  associations  de  transformation  des  matières  premières  .",alcampo,nam,alcampo,",",",",PUNCT,Carrefour,Carrefour,PROPN,comme,comme,CONJ,hypermarchés,hypermarché,NOUN,les,le,DET,",",",",PUNCT,Mercadona,Mercadona,PROPN,ou,ou,CONJ,El,El,PROPN,Corte,Corte,PROPN,2019-11-11,2019,2010,PROPN PUNCT Alcampo PUNCT PROPN,PUNCT Alcampo PUNCT,PROPN PUNCT Alcampo,CONJ PROPN PUNCT Alcampo,NOUN CONJ PROPN PUNCT Alcampo,Alcampo PUNCT PROPN,Alcampo PUNCT PROPN CONJ,Alcampo PUNCT PROPN CONJ PROPN,"Carrefour , Alcampo , Mercadona",", Alcampo ,","Carrefour , Alcampo","comme Carrefour , Alcampo","hypermarché comme Carrefour , Alcampo","Alcampo , Mercadona","Alcampo , Mercadona ou","Alcampo , Mercadona ou El"
http://www.cadtm.org/Combattre-les-acteurs-de-la-financiarisation-et-interdire-les-profits-sur-les,cadtm.org,2020-09-10,===NONE===,Alcampo/NAM/Alcampo,"De  grands  supermarchés  (  Carrefour  , Alcampo  et  d'  autres  )  se  mettent  à  vendre  leurs  prêts  non-performants  à  des  fonds  vautours  .",alcampo,nam,alcampo,",",",",PUNCT,Carrefour,Carrefour,PROPN,(,(,PUNCT,supermarchés,supermarché,NOUN,grands,grand,ADJ,et,et,CONJ,d',de,ADP,autres,autre,ADJ,),),PUNCT,se,se,PRON,2020-09-10,2020,2020,PROPN PUNCT Alcampo CONJ ADP,PUNCT Alcampo CONJ,PROPN PUNCT Alcampo,PUNCT PROPN PUNCT Alcampo,NOUN PUNCT PROPN PUNCT Alcampo,Alcampo CONJ ADP,Alcampo CONJ ADP ADJ,Alcampo CONJ ADP ADJ PUNCT,"Carrefour , Alcampo et de",", Alcampo et","Carrefour , Alcampo","( Carrefour , Alcampo","supermarché ( Carrefour , Alcampo",Alcampo et de,Alcampo et de autre,Alcampo et de autre )
