url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lexpress.fr/diaporama/diapo-photo/tendances/mode-homme/les-pires-looks-de-la-fashion-week-homme-automne-hiver-2014-2015-de-londres_1312803.html,lexpress.fr,2014-01-09,France,Alexander_McQueen/NAM_NAM/Alexander_McQueen,"Voici  le  pire  de  la  Fashion  Week  ,  des  créations  en  maille  de  Sibling  aux  personnages  tout  droit  sortis  d'  Edward  aux  mains  d'  argent  du  défilé Alexander_McQueen  ,  en  passant  par  les  excentriques  tenues  de  JW  Anderson  ,  petit  tour  d'  horizon  des  looks  les  plus  ridicules  . </doc>",alexander_mcqueen,nam_nam,alexander_mcqueen,défilé,défilé,NOUN,du,du,ADP DET,argent,argent,NOUN,d',de,ADP,mains,main,NOUN,",",",",PUNCT,en,en,PRON,passant,passer,VERB,par,par,ADP,les,le,DET,2014-01-09,2014,2010,ADP DET NOUN Alexander McQueen PUNCT PRON,NOUN Alexander McQueen PUNCT,ADP DET NOUN Alexander McQueen,NOUN ADP DET NOUN Alexander McQueen,ADP NOUN ADP DET NOUN Alexander McQueen,Alexander McQueen PUNCT PRON,Alexander McQueen PUNCT PRON VERB,Alexander McQueen PUNCT PRON VERB ADP,"du défilé Alexander McQueen , en","défilé Alexander McQueen ,",du défilé Alexander McQueen,argent du défilé Alexander McQueen,de argent du défilé Alexander McQueen,"Alexander McQueen , en","Alexander McQueen , en passer","Alexander McQueen , en passer par"
http://www.ladepeche.fr/article/2014/01/09/1790969-london-collections-men-les-tendances-majeures.html,ladepeche.fr,2014-01-10,France,Alexander_McQueen/NAM_NAM/Alexander_McQueen,"Chez Alexander_McQueen  ,  les  pièces  aux  couleurs  unies  ou  ornées  d'  imprimés  dorés  n'  ont  pas  échappé  à  la  tendance  .",alexander_mcqueen,nam_nam,alexander_mcqueen,Chez,chez,ADP,,,,,,,,,,,,,",",",",PUNCT,les,le,DET,pièces,pièce,NOUN,aux,au,ADP DET,couleurs,couleur,NOUN,2014-01-10,2014,2010,,ADP Alexander McQueen PUNCT,,,,Alexander McQueen PUNCT DET,Alexander McQueen PUNCT DET NOUN,Alexander McQueen PUNCT DET NOUN ADP DET,,"chez Alexander McQueen ,",,,,"Alexander McQueen , le","Alexander McQueen , le pièce","Alexander McQueen , le pièce au"
http://www.lesoir.be/399070/article/styles/air-du-temps/2014-01-10/tendances-retenir-london-collections-men-2014,lesoir.be,2014-01-10,Belgium,Alexander_McQueen/NAM_NAM/Alexander_McQueen,"Chez Alexander_McQueen  ,  Hardy  Amies  et  Gieves  &  Hawkes  ,  on  porte  le  manteau  à  double  boutonnage  pour  un  côté  plus  chic  .",alexander_mcqueen,nam_nam,alexander_mcqueen,Chez,chez,ADP,,,,,,,,,,,,,",",",",PUNCT,Hardy,Hardy,PROPN,Amies,Amies,PROPN,et,et,CONJ,Gieves,Gieves,PROPN,2014-01-10,2014,2010,,ADP Alexander McQueen PUNCT,,,,Alexander McQueen PUNCT PROPN,Alexander McQueen PUNCT PROPN PROPN,Alexander McQueen PUNCT PROPN PROPN CONJ,,"chez Alexander McQueen ,",,,,"Alexander McQueen , Hardy","Alexander McQueen , Hardy Amies","Alexander McQueen , Hardy Amies et"
http://www.lesoir.be/399070/article/styles/air-du-temps/2014-01-10/tendances-retenir-london-collections-men-2014,lesoir.be,2014-01-10,Belgium,Alexander_McQueen/NAM_NAM/Alexander_McQueen,"On  le  retrouve  chez  Richard  James  ,  Casely-Hayford  , Alexander_McQueen  ou  encore  Agi  &  Sam  .",alexander_mcqueen,nam_nam,alexander_mcqueen,",",",",PUNCT,Casely-Hayford,Casely-Hayford,PROPN,",",",",PUNCT,James,James,PROPN,Richard,Richard,PROPN,ou,ou,CONJ,encore,encore,ADV,Agi,agir,VERB,&,&,SYM,Sam,Sam,PROPN,2014-01-10,2014,2010,PROPN PUNCT Alexander McQueen CONJ ADV,PUNCT Alexander McQueen CONJ,PROPN PUNCT Alexander McQueen,PUNCT PROPN PUNCT Alexander McQueen,PROPN PUNCT PROPN PUNCT Alexander McQueen,Alexander McQueen CONJ ADV,Alexander McQueen CONJ ADV VERB,Alexander McQueen CONJ ADV VERB SYM,"Casely-Hayford , Alexander McQueen ou encore",", Alexander McQueen ou","Casely-Hayford , Alexander McQueen",", Casely-Hayford , Alexander McQueen","James , Casely-Hayford , Alexander McQueen",Alexander McQueen ou encore,Alexander McQueen ou encore agir,Alexander McQueen ou encore agir &
http://www.lesoir.be/399070/article/styles/air-du-temps/2014-01-10/tendances-retenir-london-collections-men-2014,lesoir.be,2014-01-10,Belgium,Alexander_McQueen/NAM_NAM/Alexander_McQueen,"Quant  à  Sarah  Burton  pour Alexander_McQueen  ,  ses  mannequins  sont  apparus  avec  des  coiffures  ""  nids  d'  oiseaux  ""  avec  des  plumes  qui  ont  apporté  une  touche  de  féminité  . </doc>",alexander_mcqueen,nam_nam,alexander_mcqueen,pour,pour,ADP,Burton,Burton,PROPN,Sarah,Sarah,PROPN,à,à,ADP,Quant,quant,ADP,",",",",PUNCT,ses,son,DET,mannequins,mannequin,NOUN,sont,être,VERB,apparus,apparaître,VERB,2014-01-10,2014,2010,PROPN ADP Alexander McQueen PUNCT DET,ADP Alexander McQueen PUNCT,PROPN ADP Alexander McQueen,PROPN PROPN ADP Alexander McQueen,ADP PROPN PROPN ADP Alexander McQueen,Alexander McQueen PUNCT DET,Alexander McQueen PUNCT DET NOUN,Alexander McQueen PUNCT DET NOUN VERB,"Burton pour Alexander McQueen , son","pour Alexander McQueen ,",Burton pour Alexander McQueen,Sarah Burton pour Alexander McQueen,à Sarah Burton pour Alexander McQueen,"Alexander McQueen , son","Alexander McQueen , son mannequin","Alexander McQueen , son mannequin être"
http://www.terrafemina.com/culture/medias/articles/36373-girls-lena-dunham-en-couverture-de-vogue-us.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BTerrafeminaNews%2B%2528TerrafeminaNews%2529,terrafemina.com,2014-01-17,France,Alexander_McQueen/NAM_NAM/Alexander_McQueen,"Fan  de  mode  ,  elle  a  revêtu  pour  les  différents  clichés  les  plus  belles  créations  de  Rochas  , Alexander_McQueen  ,  Prada  ,  Dolce  &  Gabbana  ou  encore  Céline  . </doc>",alexander_mcqueen,nam_nam,alexander_mcqueen,",",",",PUNCT,Rochas,Rochas,PROPN,de,de,ADP,créations,création,NOUN,belles,beau,ADJ,",",",",PUNCT,Prada,Prada,PROPN,",",",",PUNCT,Dolce,Dolce,PROPN,&,&,SYM,2014-01-17,2014,2010,PROPN PUNCT Alexander McQueen PUNCT PROPN,PUNCT Alexander McQueen PUNCT,PROPN PUNCT Alexander McQueen,ADP PROPN PUNCT Alexander McQueen,NOUN ADP PROPN PUNCT Alexander McQueen,Alexander McQueen PUNCT PROPN,Alexander McQueen PUNCT PROPN PUNCT,Alexander McQueen PUNCT PROPN PUNCT PROPN,"Rochas , Alexander McQueen , Prada",", Alexander McQueen ,","Rochas , Alexander McQueen","de Rochas , Alexander McQueen","création de Rochas , Alexander McQueen","Alexander McQueen , Prada","Alexander McQueen , Prada ,","Alexander McQueen , Prada , Dolce"
http://www.ladepeche.fr/article/2014/01/21/1799852-mode-masculine-les-textiles-de-l-automne-hiver-2014-15.html,ladepeche.fr,2014-01-22,France,Alexander_McQueen/NAM_NAM/Alexander_McQueen,"<doc uri=http://www.ladepeche.fr/article/2014/01/21/1799852-mode-masculine-les-textiles-de-l-automne-hiver-2014-15.html website=ladepeche.fr date=2014-01-22 source_country=France> /à/PRP /Londres/NAM /,/PUN Alexander_McQueen  et  Casely-Hayford  ont  utilisé  le  tartan  en  hommage  à  la  tradition  punk  .",alexander_mcqueen,nam_nam,alexander_mcqueen,",",",",PUNCT,Londres,Londres,PROPN,À,à,ADP,,,,,,,et,et,CONJ,Casely-Hayford,Casely-Hayford,PROPN,ont,avoir,VERB,utilisé,utiliser,VERB,le,le,DET,2014-01-22,2014,2010,PROPN PUNCT Alexander McQueen CONJ PROPN,PUNCT Alexander McQueen CONJ,PROPN PUNCT Alexander McQueen,ADP PROPN PUNCT Alexander McQueen,,Alexander McQueen CONJ PROPN,Alexander McQueen CONJ PROPN VERB,Alexander McQueen CONJ PROPN VERB VERB,"Londres , Alexander McQueen et Casely-Hayford",", Alexander McQueen et","Londres , Alexander McQueen","à Londres , Alexander McQueen",,Alexander McQueen et Casely-Hayford,Alexander McQueen et Casely-Hayford avoir,Alexander McQueen et Casely-Hayford avoir utiliser
http://www.lapresse.ca/le-soleil/arts-et-spectacles/theatre/201401/19/01-4730297-arlequin-serviteur-de-deux-maitres-que-tombent-les-masques.php,lapresse.ca,2014-01-22,Canada,Alexander_McQueen/NAM_NAM/Alexander_McQueen,"Le  designer Alexander_McQueen  a  aussi  été  une  source  d'  inspiration  pour  Denis  Denoncourt  ,  qui  s'  avoue  passionné  de  commedia  dell  '  arte  .",alexander_mcqueen,nam_nam,alexander_mcqueen,designer,designer,NOUN,Le,le,DET,,,,,,,,,,a,avoir,VERB,aussi,aussi,ADV,été,être,VERB,une,un,DET,source,source,NOUN,2014-01-22,2014,2010,DET NOUN Alexander McQueen VERB ADV,NOUN Alexander McQueen VERB,DET NOUN Alexander McQueen,,,Alexander McQueen VERB ADV,Alexander McQueen VERB ADV VERB,Alexander McQueen VERB ADV VERB DET,le designer Alexander McQueen avoir aussi,designer Alexander McQueen avoir,le designer Alexander McQueen,,,Alexander McQueen avoir aussi,Alexander McQueen avoir aussi être,Alexander McQueen avoir aussi être un
http://www.leparisien.fr/laparisienne/mode/mario-sorrenti-signe-une-campagne-sensuelle-pour-calvin-klein-jeans-23-01-2014-3523491.php,leparisien.fr,2014-01-24,France,Alexander_McQueen/NAM_NAM/Alexander_McQueen,"Vanessa  Axente  a  récemment  posé  pour  la  campagne  make-up  de  Chanel  et  défilé  pour  Hermès  ,  Miu  Miu  et Alexander_McQueen  ,  alors  que  Matt  Terry  a  défilé  pour  Versace  et  DKNY  Men  . </doc>",alexander_mcqueen,nam_nam,alexander_mcqueen,et,et,CONJ,Miu,Miu,PROPN,Miu,Miu,PROPN,",",",",PUNCT,Hermès,Hermès,PROPN,",",",",PUNCT,alors,alors,ADV,que,que,CONJ,Matt,Matt,NOUN,Terry,Terry,PROPN,2014-01-24,2014,2010,PROPN CONJ Alexander McQueen PUNCT ADV,CONJ Alexander McQueen PUNCT,PROPN CONJ Alexander McQueen,PROPN PROPN CONJ Alexander McQueen,PUNCT PROPN PROPN CONJ Alexander McQueen,Alexander McQueen PUNCT ADV,Alexander McQueen PUNCT ADV CONJ,Alexander McQueen PUNCT ADV CONJ NOUN,"Miu et Alexander McQueen , alors","et Alexander McQueen ,",Miu et Alexander McQueen,Miu Miu et Alexander McQueen,", Miu Miu et Alexander McQueen","Alexander McQueen , alors","Alexander McQueen , alors que","Alexander McQueen , alors que Matt"
http://www.ladepeche.fr/article/2014/01/27/1804197-kate-moss-et-sa-poupee-dans-la-campagne-alexander-mcqueen.html,ladepeche.fr,2014-01-27,France,Alexander_McQueen/NAM_NAM/Alexander_McQueen,<doc uri=http://www.ladepeche.fr/article/2014/01/27/1804197-kate-moss-et-sa-poupee-dans-la-campagne-alexander-mcqueen.html website=ladepeche.fr date=2014-01-27 source_country=France> /Kate/NAM /Moss/NAM /et/KON /son/DET:POS /poupée/NOM /dans/PRP /le/DET:ART /campagne/NOM Alexander_McQueen ,alexander_mcqueen,nam_nam,alexander_mcqueen,campagne,campagne,NOUN,la,le,DET,dans,dans,ADP,poupée,poupée,NOUN,sa,son,DET,,,,,,,,,,,,,,,,2014-01-27,2014,2010,,,DET NOUN Alexander McQueen,ADP DET NOUN Alexander McQueen,NOUN ADP DET NOUN Alexander McQueen,,,,,,le campagne Alexander McQueen,dans le campagne Alexander McQueen,poupée dans le campagne Alexander McQueen,,,
