url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.ladepeche.fr/article/2013/12/29/1784430-tarbes-michel-zeller-fait-galerie.html,ladepeche.fr,2014-01-02,France,Alhambra/NAM/Alhambra,"Le  voilà  qui  ouvre  pour  les  fêtes  une  boutique  dans  la  galerie Alhambra  ,  où  il  présente  un  large  éventail  de  ses  réserves  ,  pour  la  plus  grande  joie  des  amateurs  .",alhambra,nam,alhambra,galerie,galerie,NOUN,la,le,DET,dans,dans,ADP,boutique,boutique,NOUN,une,un,DET,",",",",PUNCT,où,où,PRON,il,il,PRON,présente,présenter,VERB,un,un,DET,2014-01-02,2014,2010,DET NOUN Alhambra PUNCT PRON,NOUN Alhambra PUNCT,DET NOUN Alhambra,ADP DET NOUN Alhambra,NOUN ADP DET NOUN Alhambra,Alhambra PUNCT PRON,Alhambra PUNCT PRON PRON,Alhambra PUNCT PRON PRON VERB,"le galerie Alhambra , où","galerie Alhambra ,",le galerie Alhambra,dans le galerie Alhambra,boutique dans le galerie Alhambra,"Alhambra , où","Alhambra , où il","Alhambra , où il présenter"
http://www.ladepeche.fr/article/2013/12/29/1784430-tarbes-michel-zeller-fait-galerie.html,ladepeche.fr,2014-01-02,France,Alhambra/NAM/Alhambra,"(  1  )  Boutique  éphémère  Michel  Zeller  ,  galerie  de  l' Alhambra  ,  rue  Maréchal-Foch  à  Tarbes  ,  jusqu'  au  début  janvier  . </doc>",alhambra,nam,alhambra,l',le,DET,de,de,ADP,galerie,galerie,NOUN,",",",",PUNCT,Zeller,Zeller,PROPN,",",",",PUNCT,rue,rue,NOUN,Maréchal-Foch,Maréchal-Foch,PROPN,à,à,ADP,Tarbes,Tarbes,PROPN,2014-01-02,2014,2010,ADP DET Alhambra PUNCT NOUN,DET Alhambra PUNCT,ADP DET Alhambra,NOUN ADP DET Alhambra,PUNCT NOUN ADP DET Alhambra,Alhambra PUNCT NOUN,Alhambra PUNCT NOUN PROPN,Alhambra PUNCT NOUN PROPN ADP,"de le Alhambra , rue","le Alhambra ,",de le Alhambra,galerie de le Alhambra,", galerie de le Alhambra","Alhambra , rue","Alhambra , rue Maréchal-Foch","Alhambra , rue Maréchal-Foch à"
http://www.24heures.ch/vaud-regions/la-cote/Dieudonne-sera-bien-a-Nyon-en-fevrier/story/21641516,24heures.ch,2014-01-07,Switzerland,Alhambra/NAM/Alhambra,"En  2004  ,  Patrice  Mugny  ,  alors  en  charge  de  la  culture  à  la  Ville  ,  refusait  de  lui  louer  le  théâtre  municipal  de  l' Alhambra  ,  avant  de  changer  d'  avis  ,  suite  aux  excuses  publiques  de  l'  humoriste  .",alhambra,nam,alhambra,l',le,DET,de,de,ADP,municipal,municipal,ADJ,théâtre,théâtre,NOUN,le,le,DET,",",",",PUNCT,avant,avant,ADP,de,de,ADP,changer,changer,VERB,d',de,ADP,2014-01-07,2014,2010,ADP DET Alhambra PUNCT ADP,DET Alhambra PUNCT,ADP DET Alhambra,ADJ ADP DET Alhambra,NOUN ADJ ADP DET Alhambra,Alhambra PUNCT ADP,Alhambra PUNCT ADP ADP,Alhambra PUNCT ADP ADP VERB,"de le Alhambra , avant","le Alhambra ,",de le Alhambra,municipal de le Alhambra,théâtre municipal de le Alhambra,"Alhambra , avant","Alhambra , avant de","Alhambra , avant de changer"
http://www.24heures.ch/vaud-regions/la-cote/Dieudonne-sera-bien-a-Nyon-en-fevrier/story/21641516,24heures.ch,2014-01-07,Switzerland,Alhambra/NAM/Alhambra,"En  2010  ,  le  même  Patrice  Mugny  interdisait  à  Dieudonné  de  se  produire  à  l' Alhambra  .",alhambra,nam,alhambra,l',le,DET,à,à,ADP,produire,produire,VERB,se,se,PRON,de,de,ADP,.,.,PUNCT,,,,,,,,,,,,,2014-01-07,2014,2010,,DET Alhambra PUNCT,ADP DET Alhambra,VERB ADP DET Alhambra,PRON VERB ADP DET Alhambra,,,,,le Alhambra .,à le Alhambra,produire à le Alhambra,se produire à le Alhambra,,,
http://www.lepoint.fr/culture/aznavour-rend-heureux-07-01-2014-1777516_3.php,lepoint.fr,2014-01-07,France,Alhambra/NAM/Alhambra,"Et  la  rage  !  Ah  ,  le  coup  de  poker  de  l' Alhambra  ,  le  12  décembre  1960  ,  lorsque  ,  alors  que  le  concert  ne  décolle  pas  ,  une  fois  de  plus  ,  il  sort  de  sa  manche  ce  ""  Je  m'  voyais  déjà  ""  refusé  par  Montand  ,  et  pour  la  première  fois  ,  se  fait  acclamer  .",alhambra,nam,alhambra,l',le,DET,de,de,ADP,poker,poker,NOUN,de,de,ADP,coup,coup,NOUN,",",",",PUNCT,le,le,DET,12,@card@,ADJ,décembre,décembre,NOUN,1960,@card@,ADJ,2014-01-07,2014,2010,ADP DET Alhambra PUNCT DET,DET Alhambra PUNCT,ADP DET Alhambra,NOUN ADP DET Alhambra,ADP NOUN ADP DET Alhambra,Alhambra PUNCT DET,Alhambra PUNCT DET ADJ,Alhambra PUNCT DET ADJ NOUN,"de le Alhambra , le","le Alhambra ,",de le Alhambra,poker de le Alhambra,de poker de le Alhambra,"Alhambra , le","Alhambra , le @card@","Alhambra , le @card@ décembre"
http://www.lepoint.fr/societe/dieudonne-va-jouer-a-guichets-fermes-en-suisse-08-01-2014-1777951_23.php,lepoint.fr,2014-01-08,France,Alhambra/NOM/alhambra,"En  décembre  2009  ,  Patrice  Mugny  ,  élu  vert  en  charge  de  la  culture  à  Genève  ,  avait  refusé  d'accord  er  la  salle  de  l' Alhambra  au  producteur  de  Dieudonné  ,  expliquant  que  la  cité  de  Calvin  ""  n'  allait  pas  se  rendre  complice  d'  un  humoriste  clairement  antisémite  en  lui  louant  ses  installations  ""  .",alhambra,nom,alhambra,l',le,DET,de,de,ADP,salle,salle,NOUN,la,le,DET,er,er,VERB,au,au,ADP DET,producteur,producteur,NOUN,de,de,ADP,Dieudonné,Dieudonné,PROPN,",",",",PUNCT,2014-01-08,2014,2010,ADP DET Alhambra ADP DET NOUN,DET Alhambra ADP DET,ADP DET Alhambra,NOUN ADP DET Alhambra,DET NOUN ADP DET Alhambra,Alhambra ADP DET NOUN,Alhambra ADP DET NOUN ADP,Alhambra ADP DET NOUN ADP PROPN,de le Alhambra au producteur,le Alhambra au,de le Alhambra,salle de le Alhambra,le salle de le Alhambra,Alhambra au producteur,Alhambra au producteur de,Alhambra au producteur de Dieudonné
http://www.lefigaro.fr/international/2014/01/08/01003-20140108ARTFIG00552-en-suisse-dieudonne-joue-a-guichets-fermes.php,lefigaro.fr,2014-01-08,France,Alhambra/NAM/Alhambra,"Cela  n'  empêche  pas  Dieudonné  de  demander  de  nouveau  l'  autorisation  de  jouer  à  Genève  ,  en  2009  ,  cette  fois  dans  une  salle  nommée  l' Alhambra  .",alhambra,nam,alhambra,l',le,DET,nommée,nommer,VERB,salle,salle,NOUN,une,un,DET,dans,dans,ADP,.,.,PUNCT,,,,,,,,,,,,,2014-01-08,2014,2010,,DET Alhambra PUNCT,VERB DET Alhambra,NOUN VERB DET Alhambra,DET NOUN VERB DET Alhambra,,,,,le Alhambra .,nommer le Alhambra,salle nommer le Alhambra,un salle nommer le Alhambra,,,
http://www.dhnet.be/regions/mons-centre/l-alhambra-nouvelle-est-arrivee-52ce27b93570105ef7e82b20,dhnet.be,2014-01-09,Belgium,Alhambra/NOM/alhambra,<doc uri=http://www.dhnet.be/regions/mons-centre/l-alhambra-nouvelle-est-arrivee-52ce27b93570105ef7e82b20 website=dhnet.be date=2014-01-09 source_country=Belgium> /le/DET:ART Alhambra  nouvelle  est  arrivée,alhambra,nom,alhambra,L',le,DET,,,,,,,,,,,,,nouvelle,nouveau,ADJ,est,être,VERB,arrivée,arriver,VERB,,,,,,,2014-01-09,2014,2010,,DET Alhambra ADJ,,,,Alhambra ADJ VERB,Alhambra ADJ VERB VERB,,,le Alhambra nouveau,,,,Alhambra nouveau être,Alhambra nouveau être arriver,
http://www.dhnet.be/regions/mons-centre/l-alhambra-nouvelle-est-arrivee-52ce27b93570105ef7e82b20,dhnet.be,2014-01-09,Belgium,Alhambra/NAM/Alhambra,"Le  23  janvier  ,  l' Alhambra  rouvre  ses  portes  dans  la  rue  du  Miroir  .",alhambra,nam,alhambra,l',le,DET,",",",",PUNCT,janvier,janvier,NOUN,23,@card@,ADJ,Le,le,DET,rouvre,rouvrir,VERB,ses,son,DET,portes,porte,NOUN,dans,dans,ADP,la,le,DET,2014-01-09,2014,2010,PUNCT DET Alhambra VERB DET,DET Alhambra VERB,PUNCT DET Alhambra,NOUN PUNCT DET Alhambra,ADJ NOUN PUNCT DET Alhambra,Alhambra VERB DET,Alhambra VERB DET NOUN,Alhambra VERB DET NOUN ADP,", le Alhambra rouvrir son",le Alhambra rouvrir,", le Alhambra","janvier , le Alhambra","@card@ janvier , le Alhambra",Alhambra rouvrir son,Alhambra rouvrir son porte,Alhambra rouvrir son porte dans
http://www.dhnet.be/regions/mons-centre/l-alhambra-nouvelle-est-arrivee-52ce27b93570105ef7e82b20,dhnet.be,2014-01-09,Belgium,Alhambra/NAM/Alhambra,"La  Fondation  a  alors  jeté  son  dévolu  sur  feu  l' Alhambra  ,  qui  s'  apprête  donc  à  renaître  de  ses  cendres  après  avoir  servi  tour  à  tout  de  cinéma  ,  de  discothèque  ,  de  bowling  et  plus  récemment  ,  de  salle  de  concert  avec  le  On  Air  Studio  .",alhambra,nam,alhambra,l',le,DET,feu,feu,ADJ,sur,sur,ADP,dévolu,dévolu,NOUN,son,son,DET,",",",",PUNCT,qui,qui,PRON,s',se,PRON,apprête,apprêter,VERB,donc,donc,ADV,2014-01-09,2014,2010,ADJ DET Alhambra PUNCT PRON,DET Alhambra PUNCT,ADJ DET Alhambra,ADP ADJ DET Alhambra,NOUN ADP ADJ DET Alhambra,Alhambra PUNCT PRON,Alhambra PUNCT PRON PRON,Alhambra PUNCT PRON PRON VERB,"feu le Alhambra , qui","le Alhambra ,",feu le Alhambra,sur feu le Alhambra,dévolu sur feu le Alhambra,"Alhambra , qui","Alhambra , qui se","Alhambra , qui se apprêter"
