url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.zenit.org/fr/articles/elle-s-offre-pour-son-pays-l-espagne?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Bzenit%252Ffrench%2B%2528ZENIT%2BFrench%2529,zenit.org,2014-02-11,===NONE===,Cantalpino/NAM/Cantalpino,"La  jeune  Eusébie  Palomino  Yenes  naquit  dans  une  famille  espagnole  pauvre  de Cantalpino  ,  dans  la  région  de  Salamanque  ,  le  15  décembre  1899  .",cantalpino,nam,cantalpino,de,de,ADP,pauvre,pauvre,ADJ,espagnole,espagnol,ADJ,famille,famille,NOUN,une,un,DET,",",",",PUNCT,dans,dans,ADP,la,le,DET,région,région,NOUN,de,de,ADP,2014-02-11,2014,2010,ADJ ADP Alpino PUNCT ADP,ADP Alpino PUNCT,ADJ ADP Alpino,ADJ ADJ ADP Alpino,NOUN ADJ ADJ ADP Alpino,Alpino PUNCT ADP,Alpino PUNCT ADP DET,Alpino PUNCT ADP DET NOUN,"pauvre de Alpino , dans","de Alpino ,",pauvre de Alpino,espagnol pauvre de Alpino,famille espagnol pauvre de Alpino,"Alpino , dans","Alpino , dans le","Alpino , dans le région"
http://www.tdg.ch/economie/entreprises/Alstom-recourt-contre-l-achat-de-29-trains-a-Stadler-Rail/story/12396088,tdg.ch,2014-06-01,Switzerland,Cisalpino/NAM/Cisalpino,Les  convois Cisalpino  ETR  610  qui  transportent  les  voyageurs  vers  l'  Italie  avaient  défrayé  la  chronique  en  raison  notamment  de  retards  de  livraison  .,cisalpino,nam,cisalpino,convois,convoi,NOUN,Les,le,DET,,,,,,,,,,ETR,ETR,PROPN,610,@card@,ADJ,qui,qui,PRON,transportent,transporter,VERB,les,le,DET,2014-06-01,2014,2010,DET NOUN Alpino PROPN ADJ,NOUN Alpino PROPN,DET NOUN Alpino,,,Alpino PROPN ADJ,Alpino PROPN ADJ PRON,Alpino PROPN ADJ PRON VERB,le convoi Alpino ETR @card@,convoi Alpino ETR,le convoi Alpino,,,Alpino ETR @card@,Alpino ETR @card@ qui,Alpino ETR @card@ qui transporter
http://www.lematin.ch/suisse/Le-tunnel-du-Loetschberg-en-precurseur/story/18458666,lematin.ch,2016-05-26,Switzerland,Cisalpino/NAM/Cisalpino,"En  2008  ,  le  16  février  et  le  22  décembre  ,  des Cisalpino  ont  connu  des  problèmes  techniques  dans  le  tunnel  .",cisalpino,nam,cisalpino,des,du,ADP DET,",",",",PUNCT,décembre,décembre,NOUN,22,@card@,ADJ,le,le,DET,ont,avoir,VERB,connu,connaître,VERB,des,du,ADP DET,problèmes,problème,NOUN,techniques,technique,ADJ,2016-05-26,2016,2010,PUNCT ADP DET Alpino VERB VERB,ADP DET Alpino VERB,PUNCT ADP DET Alpino,NOUN PUNCT ADP DET Alpino,ADJ NOUN PUNCT ADP DET Alpino,Alpino VERB VERB,Alpino VERB VERB ADP DET,Alpino VERB VERB ADP DET NOUN,", du Alpino avoir connaître",du Alpino avoir,", du Alpino","décembre , du Alpino","@card@ décembre , du Alpino",Alpino avoir connaître,Alpino avoir connaître du,Alpino avoir connaître du problème
http://www.swissinfo.ch/fre/les-trains-des-cff-vers-l-italie-seront-%C3%A9quip%C3%A9s-de-wifi/42270114,swissinfo.ch,2016-07-03,Switzerland,ex-Cisalpino/NOM/ex-Cisalpino,"Le  WiFi  sera  installé  dans  le  nouveau  train  Giruno  ,  construit  par  Stadler  Rail  et  qui  reliera  l'  axe  nord-sud  par  le  Gothard  ,  et  dans  l' ex-Cisalpino  (  ETR  610  d'  Alstom  )  qui  relie  Genève  à  l'  Italie  ,  via  le  Simplon  .",ex-cisalpino,nom,ex-cisalpino,l',le,DET,dans,dans,ADP,et,et,CONJ,",",",",PUNCT,Gothard,Gothard,PROPN,(,(,PUNCT,ETR,ETR,PROPN,610,@card@,ADJ,d',de,ADP,Alstom,Alstom,PROPN,2016-07-03,2016,2010,ADP DET Alpino PUNCT PROPN,DET Alpino PUNCT,ADP DET Alpino,CONJ ADP DET Alpino,PUNCT CONJ ADP DET Alpino,Alpino PUNCT PROPN,Alpino PUNCT PROPN ADJ,Alpino PUNCT PROPN ADJ ADP,dans le Alpino ( ETR,le Alpino (,dans le Alpino,et dans le Alpino,", et dans le Alpino",Alpino ( ETR,Alpino ( ETR @card@,Alpino ( ETR @card@ de
http://www.zonebourse.com/NESTLE-INDIA-LIMITED-9058921/actualite/Nestle-se-lance-dans-le-chocolat-haut-de-gamme-en-Inde-23094760/,zonebourse.com,2016-09-22,===NONE===,Alpino/NAM/Alpino,"Nestlé  distribuera  notamment  la  marque Alpino  ,  ainsi  que  d'  autres  marques  du  groupe  .",alpino,nam,alpino,marque,marque,NOUN,la,le,DET,notamment,notamment,ADV,distribuera,distribuer,VERB,Nestlé,Nestlé,PROPN,",",",",PUNCT,ainsi,ainsi,CONJ,que,que,CONJ,d',de,ADP,autres,autre,ADJ,2016-09-22,2016,2010,DET NOUN Alpino PUNCT CONJ,NOUN Alpino PUNCT,DET NOUN Alpino,ADV DET NOUN Alpino,VERB ADV DET NOUN Alpino,Alpino PUNCT CONJ,Alpino PUNCT CONJ CONJ,Alpino PUNCT CONJ CONJ ADP,"le marque Alpino , ainsi","marque Alpino ,",le marque Alpino,notamment le marque Alpino,distribuer notamment le marque Alpino,"Alpino , ainsi","Alpino , ainsi que","Alpino , ainsi que de"
http://www.lalibre.be/economie/libre-entreprise/bayens-patron-de-connections-en-1990-on-a-imagine-airbnb-avant-la-lettre-58b05f44cd70e898180a471e,lalibre.be,2017-02-26,Belgium,Transalpino/NAM/Transalpino,"En  1986  ,  avec  Angel  Olivares  ,  son  directeur  commercial  chez Transalpino  ,  Ronny  Bayens  ,  qui  s'  occupait  principalement  des  billets  et  voyages  pour  les  jeunes  ,  fonde  Connections  .",transalpino,nam,transalpino,chez,chez,ADP,commercial,commercial,ADJ,directeur,directeur,NOUN,son,son,DET,",",",",PUNCT,",",",",PUNCT,Ronny,Ronny,PROPN,Bayens,Bayens,PROPN,",",",",PUNCT,qui,qui,PRON,2017-02-26,2017,2010,ADJ ADP Alpino PUNCT PROPN,ADP Alpino PUNCT,ADJ ADP Alpino,NOUN ADJ ADP Alpino,DET NOUN ADJ ADP Alpino,Alpino PUNCT PROPN,Alpino PUNCT PROPN PROPN,Alpino PUNCT PROPN PROPN PUNCT,"commercial chez Alpino , Ronny","chez Alpino ,",commercial chez Alpino,directeur commercial chez Alpino,son directeur commercial chez Alpino,"Alpino , Ronny","Alpino , Ronny Bayens","Alpino , Ronny Bayens ,"
http://www.tdg.ch/suisse/faits-divers/Un-train-deraille-a-Lucerne/story/10760172,tdg.ch,2017-03-22,Switzerland,Cisalpino/NAM/Cisalpino,Un  train  inclinable Cisalpino  a  déraillé  mercredi  en  début  d'après  -midi  à  sa  sortie  de  la  gare  de  Lucerne  .,cisalpino,nam,cisalpino,inclinable,inclinable,ADJ,train,train,NOUN,Un,Un,VERB,,,,,,,a,avoir,VERB,déraillé,dérailler,VERB,mercredi,mercredi,NOUN,en,en,ADP,début,début,NOUN,2017-03-22,2017,2010,NOUN ADJ Alpino VERB VERB,ADJ Alpino VERB,NOUN ADJ Alpino,VERB NOUN ADJ Alpino,,Alpino VERB VERB,Alpino VERB VERB NOUN,Alpino VERB VERB NOUN ADP,train inclinable Alpino avoir dérailler,inclinable Alpino avoir,train inclinable Alpino,Un train inclinable Alpino,,Alpino avoir dérailler,Alpino avoir dérailler mercredi,Alpino avoir dérailler mercredi en
http://www.arcinfo.ch/articles/suisse/un-train-cisalpino-deraille-en-gare-de-lucerne-652110,arcinfo.ch,2017-03-22,Switzerland,Cisalpino/NAM/Cisalpino,"trafic  -  Il  était  environ  14  heures  ,  ce  mercredi  après-midi  ,  lorsque  le  train Cisalpino  Milan-Bâle  a  déraillé  en  gare  de  Lucerne  .",cisalpino,nam,cisalpino,train,train,NOUN,le,le,DET,lorsque,lorsque,CONJ,",",",",PUNCT,après-midi,après-midi,NOUN,Milan-Bâle,Milan-Bâle,PROPN,a,avoir,VERB,déraillé,dérailler,VERB,en,en,ADP,gare,gare,NOUN,2017-03-22,2017,2010,DET NOUN Alpino PROPN VERB,NOUN Alpino PROPN,DET NOUN Alpino,CONJ DET NOUN Alpino,PUNCT CONJ DET NOUN Alpino,Alpino PROPN VERB,Alpino PROPN VERB VERB,Alpino PROPN VERB VERB ADP,le train Alpino Milan-Bâle avoir,train Alpino Milan-Bâle,le train Alpino,lorsque le train Alpino,", lorsque le train Alpino",Alpino Milan-Bâle avoir,Alpino Milan-Bâle avoir dérailler,Alpino Milan-Bâle avoir dérailler en
http://www.arcinfo.ch/articles/suisse/un-train-cisalpino-deraille-en-gare-de-lucerne-652110,arcinfo.ch,2017-03-22,Switzerland,Cisalpino/NAM/Cisalpino,"C'  est  notamment  le  cas  de  Bettina  Casanova  qui  était  à  l'  intérieur  du Cisalpino  ,  alors  qu'  elle  se  rendait  à  Baselworld  .",cisalpino,nam,cisalpino,du,du,ADP DET,intérieur,intérieur,NOUN,l',le,DET,à,à,ADP,était,être,VERB,",",",",PUNCT,alors,alors,ADV,qu',que,CONJ,elle,elle,PRON,se,se,PRON,2017-03-22,2017,2010,NOUN ADP DET Alpino PUNCT ADV,ADP DET Alpino PUNCT,NOUN ADP DET Alpino,DET NOUN ADP DET Alpino,ADP DET NOUN ADP DET Alpino,Alpino PUNCT ADV,Alpino PUNCT ADV CONJ,Alpino PUNCT ADV CONJ PRON,"intérieur du Alpino , alors","du Alpino ,",intérieur du Alpino,le intérieur du Alpino,à le intérieur du Alpino,"Alpino , alors","Alpino , alors que","Alpino , alors que elle"
https://article.wn.com/view/2017/07/19/Cesare_Prandelli_Naples_pratique_le_meilleur_football_dEurop/,wn.com,2017-07-19,United States,Alpino/NAM/Alpino,"Roberto Alpino  ,  euronews  :  C  \  '  est  à  la  Cremonese  qu  \  '  il  a  grandi  footballistiquement  ,  et  débuté  au  poste  de  milieu  de  terrain  .",alpino,nam,alpino,Roberto,Roberto,PROPN,,,,,,,,,,,,,",",",",PUNCT,euronews,euronews,NOUN,:,:,PUNCT,C,C,ADJ,\,\,NOUN,2017-07-19,2017,2010,,PROPN Alpino PUNCT,,,,Alpino PUNCT NOUN,Alpino PUNCT NOUN PUNCT,Alpino PUNCT NOUN PUNCT ADJ,,"Roberto Alpino ,",,,,"Alpino , euronews","Alpino , euronews :","Alpino , euronews : C"
