url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lefigaro.fr/societes/2014/01/17/20005-20140117ARTFIG00001-lidl-renonce-au-hard-discount-pour-se-relancer.php,lefigaro.fr,2014-01-16,France,BN/NAM/BN,"Les  magasins  prennent  des  couleurs  ,  vendent  du  pain  frais  et  des  fleurs  et  changent  d'  assortiment  proposant  une  nouvelle  gamme  de  produits  régionaux  et  surtout  de  nombreuses  marques  (  Nutella  , BN  ,  Ariel  ,  Tampax  ,  Lays  ...  )  .",bn,nam,bn,",",",",PUNCT,Nutella,Nutella,PROPN,(,(,PUNCT,marques,marque,NOUN,nombreuses,nombreux,ADJ,",",",",PUNCT,Ariel,Ariel,PROPN,",",",",PUNCT,Tampax,Tampax,PROPN,",",",",PUNCT,2014-01-16,2014,2010,PROPN PUNCT BN PUNCT PROPN,PUNCT BN PUNCT,PROPN PUNCT BN,PUNCT PROPN PUNCT BN,NOUN PUNCT PROPN PUNCT BN,BN PUNCT PROPN,BN PUNCT PROPN PUNCT,BN PUNCT PROPN PUNCT PROPN,"Nutella , BN , Ariel",", BN ,","Nutella , BN","( Nutella , BN","marque ( Nutella , BN","BN , Ariel","BN , Ariel ,","BN , Ariel , Tampax"
http://www.lexpress.fr/styles/saveurs/les-biscuits-bn-affichent-une-blague-sexiste-sur-leur-paquet_1315678.html,lexpress.fr,2014-01-20,France,BN/NAM/BN,<doc uri=http://www.lexpress.fr/styles/saveurs/les-biscuits-bn-affichent-une-blague-sexiste-sur-leur-paquet_1315678.html website=lexpress.fr date=2014-01-20 source_country=France> /Biscuits/NAM BN  :  la  blague  sexiste  sera  retirée  des  sachets,bn,nam,bn,Biscuits,Biscuits,PROPN,,,,,,,,,,,,,:,:,PUNCT,la,le,DET,blague,blague,NOUN,sexiste,sexiste,ADJ,sera,être,VERB,2014-01-20,2014,2010,,PROPN BN PUNCT,,,,BN PUNCT DET,BN PUNCT DET NOUN,BN PUNCT DET NOUN ADJ,,Biscuits BN :,,,,BN : le,BN : le blague,BN : le blague sexiste
http://www.lexpress.fr/styles/saveurs/les-biscuits-bn-affichent-une-blague-sexiste-sur-leur-paquet_1315678.html,lexpress.fr,2014-01-20,France,BN/NAM/BN,"Après  Numericable  ,  c'  est  au  tour  des  biscuits BN  d'  afficher  un  humour  d'  un  goût  douteux  sur  ses  paquets  de  XD  ,  destinés  aux  pré-ados  .",bn,nam,bn,biscuits,biscuit,NOUN,des,du,ADP DET,tour,tour,NOUN,au,au,ADP DET,est,être,VERB,d',de,ADP,afficher,afficher,VERB,un,un,DET,humour,humour,NOUN,d',de,ADP,2014-01-20,2014,2010,ADP DET NOUN BN ADP VERB,NOUN BN ADP,ADP DET NOUN BN,NOUN ADP DET NOUN BN,ADP DET NOUN ADP DET NOUN BN,BN ADP VERB,BN ADP VERB DET,BN ADP VERB DET NOUN,du biscuit BN de afficher,biscuit BN de,du biscuit BN,tour du biscuit BN,au tour du biscuit BN,BN de afficher,BN de afficher un,BN de afficher un humour
http://www.lexpress.fr/styles/saveurs/les-biscuits-bn-affichent-une-blague-sexiste-sur-leur-paquet_1315678.html,lexpress.fr,2014-01-20,France,BN/NAM/BN,"""  Cette  blague  de  mauvais  goût  s'  affiche  en  majuscules  sur  un  paquet  de  gâteaux BN  XD  .",bn,nam,bn,gâteaux,gâteau,NOUN,de,de,ADP,paquet,paquet,NOUN,un,un,DET,sur,sur,ADP,XD,XD,PROPN,.,.,PUNCT,,,,,,,,,,2014-01-20,2014,2010,ADP NOUN BN PROPN PUNCT,NOUN BN PROPN,ADP NOUN BN,NOUN ADP NOUN BN,DET NOUN ADP NOUN BN,BN PROPN PUNCT,,,de gâteau BN XD .,gâteau BN XD,de gâteau BN,paquet de gâteau BN,un paquet de gâteau BN,BN XD .,,
http://www.lexpress.fr/styles/saveurs/les-biscuits-bn-affichent-une-blague-sexiste-sur-leur-paquet_1315678.html,lexpress.fr,2014-01-20,France,BN/NAM/BN,Les  plus  âgés  se  souviennent  des BN  Pocket  .,bn,nam,bn,des,du,ADP DET,souviennent,souvenir,VERB,se,se,PRON,âgés,âgé,ADJ,plus,plus,ADV,Pocket,pocket,NOUN,.,.,PUNCT,,,,,,,,,,2014-01-20,2014,2010,VERB ADP DET BN NOUN PUNCT,ADP DET BN NOUN,VERB ADP DET BN,PRON VERB ADP DET BN,ADJ PRON VERB ADP DET BN,BN NOUN PUNCT,,,souvenir du BN pocket .,du BN pocket,souvenir du BN,se souvenir du BN,âgé se souvenir du BN,BN pocket .,,
http://www.lexpress.fr/styles/saveurs/les-biscuits-bn-affichent-une-blague-sexiste-sur-leur-paquet_1315678.html,lexpress.fr,2014-01-20,France,BN/NAM/BN,"Devant  le  tollé  ,  United  Biscuits  ,  propriétaire  de BN  ,  a  réagi  .",bn,nam,bn,de,de,ADP,propriétaire,propriétaire,NOUN,",",",",PUNCT,Biscuits,Biscuits,PROPN,United,United,PROPN,",",",",PUNCT,a,avoir,VERB,réagi,réagir,VERB,.,.,PUNCT,,,,2014-01-20,2014,2010,NOUN ADP BN PUNCT VERB,ADP BN PUNCT,NOUN ADP BN,PUNCT NOUN ADP BN,PROPN PUNCT NOUN ADP BN,BN PUNCT VERB,BN PUNCT VERB VERB,BN PUNCT VERB VERB PUNCT,"propriétaire de BN , avoir","de BN ,",propriétaire de BN,", propriétaire de BN","Biscuits , propriétaire de BN","BN , avoir","BN , avoir réagir","BN , avoir réagir ."
http://www.lexpress.fr/styles/saveurs/les-biscuits-bn-affichent-une-blague-sexiste-sur-leur-paquet_1315678.html,lexpress.fr,2014-01-20,France,BN/NAM/BN,"La  journaliste  Anne  Simonot  avait  contacté  en  octobre  la  société  United  Biscuits  ,  qui  détient BN  .",bn,nam,bn,détient,détenir,VERB,qui,qui,PRON,",",",",PUNCT,Biscuits,Biscuits,PROPN,United,United,PROPN,.,.,PUNCT,,,,,,,,,,,,,2014-01-20,2014,2010,,VERB BN PUNCT,PRON VERB BN,PUNCT PRON VERB BN,PROPN PUNCT PRON VERB BN,,,,,détenir BN .,qui détenir BN,", qui détenir BN","Biscuits , qui détenir BN",,,
http://www.lexpress.fr/styles/saveurs/les-biscuits-bn-affichent-une-blague-sexiste-sur-leur-paquet_1315678.html,lexpress.fr,2014-01-20,France,BN/NAM/BN,Message  au  service  marketing  de  # BN  :  la  France  accueillera  la  Coupe  du  Monde  féminine  de  rugby  en  août  @  Sophie_Gourion  @  UnitedBiscuits--  Nicolas  Latour  (  @  nicolaslatour  ),bn,nam,bn,#,#,NOUN,de,de,ADP,marketing,marketing,NOUN,service,service,NOUN,au,au,ADP DET,:,:,PUNCT,la,le,DET,France,France,PROPN,accueillera,accueillir,VERB,la,le,DET,2014-01-20,2014,2010,ADP NOUN BN PUNCT DET,NOUN BN PUNCT,ADP NOUN BN,NOUN ADP NOUN BN,NOUN NOUN ADP NOUN BN,BN PUNCT DET,BN PUNCT DET PROPN,BN PUNCT DET PROPN VERB,de # BN : le,# BN :,de # BN,marketing de # BN,service marketing de # BN,BN : le,BN : le France,BN : le France accueillir
http://www.terrafemina.com/societe/buzz/articles/36549-biscuits-bn-la-blague-sexiste-sera-retiree-des-sachets.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BTerrafeminaNews%2B%2528TerrafeminaNews%2529,terrafemina.com,2014-01-21,France,BN/NAM/BN,"Deux  semaines  après  la  publicité  Numéricable  (  ""  téléchargez  aussi  vite  que  votre  femme  change  d'  avis  ""  )  ,  les  biscuits BN  ont  tenté  eux  aussi  une  ""  blague  ""  à  l'  humour  douteux  sur  leurs  paquets  de  biscuits  ...  avant  de  retirer  leurs  produits  .",bn,nam,bn,biscuits,biscuit,NOUN,les,le,DET,",",",",PUNCT,),),PUNCT,"""","""",PUNCT,ont,avoir,VERB,tenté,tenter,VERB,eux,eux,PRON,aussi,aussi,ADV,une,un,DET,2014-01-21,2014,2010,DET NOUN BN VERB VERB,NOUN BN VERB,DET NOUN BN,PUNCT DET NOUN BN,PUNCT PUNCT DET NOUN BN,BN VERB VERB,BN VERB VERB PRON,BN VERB VERB PRON ADV,le biscuit BN avoir tenter,biscuit BN avoir,le biscuit BN,", le biscuit BN",") , le biscuit BN",BN avoir tenter,BN avoir tenter eux,BN avoir tenter eux aussi
http://www.terrafemina.com/societe/buzz/articles/36549-biscuits-bn-la-blague-sexiste-sera-retiree-des-sachets.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BTerrafeminaNews%2B%2528TerrafeminaNews%2529,terrafemina.com,2014-01-21,France,BN/NAM/BN,"Sur  les BN  XD  (  pour  extra  drôle  en  langage  SMS  )  la  marque  destinée  aux  pré-adolescents  ,  est  ,  en  effet  ,  inscrit  en  lettre  capitales  :  ""  Le  rugby  féminin  existe  ...  ça  s'  appelle  les  soldes  !  ""  .",bn,nam,bn,les,le,DET,Sur,sur,ADP,,,,,,,,,,XD,XD,PROPN,(,(,PUNCT,pour,pour,ADP,extra,extra,ADJ,drôle,drôle,NOUN,2014-01-21,2014,2010,ADP DET BN PROPN PUNCT,DET BN PROPN,ADP DET BN,,,BN PROPN PUNCT,BN PROPN PUNCT ADP,BN PROPN PUNCT ADP ADJ,sur le BN XD (,le BN XD,sur le BN,,,BN XD (,BN XD ( pour,BN XD ( pour extra
