url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://economie.jeuneafrique.com/regions/afrique-subsaharienne/21109-danone-boit-du-petit-lait-au-sud-du-sahara.html,jeuneafrique.com,2014-01-21,===NONE===,Babybel/NAM/Babybel,"Et  il  ne  faut  pas  non  plus  oublier  l'  offensive  de  Lactalis  et  du  fromager  Bel  (  La  vache  qui  rit  , Babybel  ,  etc  .  )  .",babybel,nam,babybel,",",",",PUNCT,rit,rire,VERB,qui,qui,PRON,vache,vache,NOUN,La,le,DET,",",",",PUNCT,etc,etc,ABR,.,.,PUNCT,),),PUNCT,.,.,PUNCT,2014-01-21,2014,2010,VERB PUNCT Babybel PUNCT ABR,PUNCT Babybel PUNCT,VERB PUNCT Babybel,PRON VERB PUNCT Babybel,NOUN PRON VERB PUNCT Babybel,Babybel PUNCT ABR,Babybel PUNCT ABR PUNCT,Babybel PUNCT ABR PUNCT PUNCT,"rire , Babybel , etc",", Babybel ,","rire , Babybel","qui rire , Babybel","vache qui rire , Babybel","Babybel , etc","Babybel , etc .","Babybel , etc . )"
http://www.lexpress.fr/styles/saveurs/top-chef-emission-5-jordan-est-elimine_1492329.html,lexpress.fr,2014-02-17,France,Babybel/NOM/Babybel,"Les  phrases  qui  nous  ont  fait  rire  :  ""  J'  ai  une  laitue  ,  une  tomate  ,  un  oignon  ...  et  25 Babybel  ""  ,  Julien  .",babybel,nom,babybel,25,@card@,ADJ,et,et,CONJ,...,...,PUNCT,oignon,oignon,NOUN,un,un,DET,"""","""",PUNCT,",",",",PUNCT,Julien,Julien,PROPN,.,.,PUNCT,,,,2014-02-17,2014,2010,CONJ ADJ Babybel PUNCT PUNCT,ADJ Babybel PUNCT,CONJ ADJ Babybel,PUNCT CONJ ADJ Babybel,NOUN PUNCT CONJ ADJ Babybel,Babybel PUNCT PUNCT,Babybel PUNCT PUNCT PROPN,Babybel PUNCT PUNCT PROPN PUNCT,"et @card@ Babybel "" ,","@card@ Babybel """,et @card@ Babybel,... et @card@ Babybel,oignon ... et @card@ Babybel,"Babybel "" ,","Babybel "" , Julien","Babybel "" , Julien ."
http://www.macplus.net/depeche-78511-une-nouvelle-manette-a-venir-pour-moga,macplus.net,2014-02-28,===NONE===,Babybel/NAM/Babybel,"On  devine  en  effet  dans  l'  image  teaser  les  lettres  ""  BEL  ""  ,  et  il  y  a  fort  à  parier  que  l'  engin  ne  s'  appellera  pas Babybel  .",babybel,nam,babybel,pas,pas,ADV,appellera,appeler,VERB,s',se,PRON,ne,ne,ADV,engin,engin,NOUN,.,.,PUNCT,,,,,,,,,,,,,2014-02-28,2014,2010,,ADV Babybel PUNCT,VERB ADV Babybel,PRON VERB ADV Babybel,ADV PRON VERB ADV Babybel,,,,,pas Babybel .,appeler pas Babybel,se appeler pas Babybel,ne se appeler pas Babybel,,,
http://www.zonebourse.com/UNIBEL-5361/actualite/UNIBEL--resultats-annuels-2013-18138155/,zonebourse.com,2014-03-21,===NONE===,Babybel/NAM/Babybel,"Son  portefeuille  de  produits  différenciés  et  d'  envergure  internationale  tels  que  La  vache  qui  rit  ,  Kiri  ,  Mini Babybel  ,  Leerdammer  ou  Boursin  ,  ainsi  qu'  une  vingtaine  d'  autres  marques  locales  ,  lui  ont  permis  de  réaliser  en  2013  un  chiffre  d'  affaires  de  2,7  milliards  d'  euros  .",babybel,nam,babybel,Mini,Mini,PROPN,",",",",PUNCT,Kiri,Kiri,PROPN,",",",",PUNCT,rit,rire,VERB,",",",",PUNCT,Leerdammer,Leerdammer,PROPN,ou,ou,CONJ,Boursin,Boursin,PROPN,",",",",PUNCT,2014-03-21,2014,2010,PUNCT PROPN Babybel PUNCT PROPN,PROPN Babybel PUNCT,PUNCT PROPN Babybel,PROPN PUNCT PROPN Babybel,PUNCT PROPN PUNCT PROPN Babybel,Babybel PUNCT PROPN,Babybel PUNCT PROPN CONJ,Babybel PUNCT PROPN CONJ PROPN,", Mini Babybel , Leerdammer","Mini Babybel ,",", Mini Babybel","Kiri , Mini Babybel",", Kiri , Mini Babybel","Babybel , Leerdammer","Babybel , Leerdammer ou","Babybel , Leerdammer ou Boursin"
http://www.newswire.ca/en/story/1327287/lancement-du-nouveau-boursin-piment-fort-au-canada,newswire.ca,2014-03-24,Canada,Babybel/NAM/Babybel,"Elle  connait  une  forte  croissance  dans  l'  ensemble  du  pays  à  travers  ses  marques  réputées  La  Vache  Qui  rit  ®  ,  Mini Babybel  ®  et  Boursin  ®  commercialisé  nationalement  . </doc>",babybel,nam,babybel,Mini,Mini,PROPN,",",",",PUNCT,®,®,ADJ,rit,rire,VERB,Qui,Qui,PROPN,®,®,NOUN,et,et,CONJ,Boursin,Boursin,NOUN,®,®,ADJ,commercialisé,commercialiser,VERB,2014-03-24,2014,2010,PUNCT PROPN Babybel NOUN CONJ,PROPN Babybel NOUN,PUNCT PROPN Babybel,ADJ PUNCT PROPN Babybel,VERB ADJ PUNCT PROPN Babybel,Babybel NOUN CONJ,Babybel NOUN CONJ NOUN,Babybel NOUN CONJ NOUN ADJ,", Mini Babybel ® et",Mini Babybel ®,", Mini Babybel","® , Mini Babybel","rire ® , Mini Babybel",Babybel ® et,Babybel ® et Boursin,Babybel ® et Boursin ®
http://www.lefigaro.fr/societes/2014/04/04/20005-20140404ARTFIG00013-la-vache-qui-rit-echappe-a-la-crise.php,lefigaro.fr,2014-04-04,France,Babybel/NAM/Babybel,"Pour  atteindre  son  objectif  ,  Bel  -  qui  fêtera  l'  an  prochain  ses  150  ans  -  parie  d'abord  sur  ses  cinq  marques  vedettes  (  Kiri  , Babybel  ,  Boursin  ,  Vache  qui  rit  ,  Leerdammer  )  .",babybel,nam,babybel,",",",",PUNCT,Kiri,Kiri,PROPN,(,(,PUNCT,vedettes,vedette,NOUN,marques,marque,NOUN,",",",",PUNCT,Boursin,Boursin,PROPN,",",",",PUNCT,Vache,vache,NOUN,qui,qui,PRON,2014-04-04,2014,2010,PROPN PUNCT Babybel PUNCT PROPN,PUNCT Babybel PUNCT,PROPN PUNCT Babybel,PUNCT PROPN PUNCT Babybel,NOUN PUNCT PROPN PUNCT Babybel,Babybel PUNCT PROPN,Babybel PUNCT PROPN PUNCT,Babybel PUNCT PROPN PUNCT NOUN,"Kiri , Babybel , Boursin",", Babybel ,","Kiri , Babybel","( Kiri , Babybel","vedette ( Kiri , Babybel","Babybel , Boursin","Babybel , Boursin ,","Babybel , Boursin , vache"
http://www.lefigaro.fr/societes/2014/04/04/20005-20140404ARTFIG00013-la-vache-qui-rit-echappe-a-la-crise.php,lefigaro.fr,2014-04-04,France,Babybel/NAM/Babybel,"Sur  ce  marché  ,  la  star  est  incontestablement  Mini Babybel  dont  les  volumes  ont  crû  de  43  %  en  cinq  ans  .",babybel,nam,babybel,Mini,Mini,PROPN,incontestablement,incontestablement,ADV,est,être,VERB,star,star,NOUN,la,le,DET,dont,dont,PRON,les,le,DET,volumes,volume,NOUN,ont,avoir,VERB,crû,croître,VERB,2014-04-04,2014,2010,ADV PROPN Babybel PRON DET,PROPN Babybel PRON,ADV PROPN Babybel,VERB ADV PROPN Babybel,NOUN VERB ADV PROPN Babybel,Babybel PRON DET,Babybel PRON DET NOUN,Babybel PRON DET NOUN VERB,incontestablement Mini Babybel dont le,Mini Babybel dont,incontestablement Mini Babybel,être incontestablement Mini Babybel,star être incontestablement Mini Babybel,Babybel dont le,Babybel dont le volume,Babybel dont le volume avoir
http://www.lefigaro.fr/societes/2014/04/04/20005-20140404ARTFIG00013-la-vache-qui-rit-echappe-a-la-crise.php,lefigaro.fr,2014-04-04,France,Babybel/NAM/Babybel,Ses  Mini Babybel  y  sont  très  en  vogue  dans  les  lunch  box  des  enfants  .,babybel,nam,babybel,Mini,mini,NOUN,Ses,son,DET,,,,,,,,,,y,y,PRON,sont,être,VERB,très,très,ADV,en,en,ADP,vogue,vogue,NOUN,2014-04-04,2014,2010,DET NOUN Babybel PRON VERB,NOUN Babybel PRON,DET NOUN Babybel,,,Babybel PRON VERB,Babybel PRON VERB ADV,Babybel PRON VERB ADV ADP,son mini Babybel y être,mini Babybel y,son mini Babybel,,,Babybel y être,Babybel y être très,Babybel y être très en
http://www.franceinfo.fr/sports/cyclisme/article/blel-kadri-victoire-d-etape-pour-un-garcon-attachant-532019,franceinfo.fr,2014-07-12,France,Babybel/NAM/Babybel,"Blel  Kadri  ,  ""  baby  ""  comme  le  surnomment  ses  coéquipiers  en  référence  au  fromage Babybel  ,  vient  donc  garnir  son  palmarès  lui  qui  a  longtemps  été  abonné  aux  places  d'  honneurs  .",babybel,nam,babybel,fromage,fromage,NOUN,au,au,ADP DET,référence,référence,NOUN,en,en,ADP,coéquipiers,coéquipier,NOUN,",",",",PUNCT,vient,venir,VERB,donc,donc,ADV,garnir,garnir,VERB,son,son,DET,2014-07-12,2014,2010,ADP DET NOUN Babybel PUNCT VERB,NOUN Babybel PUNCT,ADP DET NOUN Babybel,NOUN ADP DET NOUN Babybel,ADP NOUN ADP DET NOUN Babybel,Babybel PUNCT VERB,Babybel PUNCT VERB ADV,Babybel PUNCT VERB ADV VERB,"au fromage Babybel , venir","fromage Babybel ,",au fromage Babybel,référence au fromage Babybel,en référence au fromage Babybel,"Babybel , venir","Babybel , venir donc","Babybel , venir donc garnir"
http://jobs.dyalna.com/job/responsable-qualit%C3%A9-coordinateur-qualit%C3%A9-total-etablissement-cqte-3?utm_source=dlvr.it&utm_medium=twitter,dyalna.com,2014-07-16,===NONE===,Babybel/NAM/Babybel,"La  vache  qui  rit  ,  Mini Babybel  ,  Kiri  ,  Leerdammer  ,  Boursin  sont  les  5  marques  cœur  de  Bel  distribuées  sur  les  5  continents  .",babybel,nam,babybel,Mini,Mini,PROPN,",",",",PUNCT,rit,rire,VERB,qui,qui,PRON,vache,vache,NOUN,",",",",PUNCT,Kiri,Kiri,PROPN,",",",",PUNCT,Leerdammer,Leerdammer,PROPN,",",",",PUNCT,2014-07-16,2014,2010,PUNCT PROPN Babybel PUNCT PROPN,PROPN Babybel PUNCT,PUNCT PROPN Babybel,VERB PUNCT PROPN Babybel,PRON VERB PUNCT PROPN Babybel,Babybel PUNCT PROPN,Babybel PUNCT PROPN PUNCT,Babybel PUNCT PROPN PUNCT PROPN,", Mini Babybel , Kiri","Mini Babybel ,",", Mini Babybel","rire , Mini Babybel","qui rire , Mini Babybel","Babybel , Kiri","Babybel , Kiri ,","Babybel , Kiri , Leerdammer"
