url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.capital.fr/bourse/actualites/le-torchon-brule-entre-danone-et-fonterra-901182#xtor%3DRSS-217,capital.fr,2014-01-09,France,Badoit/NAM/Badoit,"-  Meilleure  visibilité  du  pôle  Eaux  (  marques  Evian  , Badoit  ...  )  ,  après  la  prise  de  contrôle  de  Sirma  qui  fait  du  groupe  le  leader  en  Turquie  ,  onzième  marché  mondial  en  volume  ,  et  après  l'  ouverture  d'  une  usine  ""  Solok  ""  en  Indonésie  ;",badoit,nam,badoit,",",",",PUNCT,Evian,Evian,PROPN,marques,marque,NOUN,(,(,PUNCT,Eaux,Eaux,PROPN,...,...,PUNCT,),),PUNCT,",",",",PUNCT,après,après,ADP,la,le,DET,2014-01-09,2014,2010,PROPN PUNCT Badoit PUNCT PUNCT,PUNCT Badoit PUNCT,PROPN PUNCT Badoit,NOUN PROPN PUNCT Badoit,PUNCT NOUN PROPN PUNCT Badoit,Badoit PUNCT PUNCT,Badoit PUNCT PUNCT PUNCT,Badoit PUNCT PUNCT PUNCT ADP,"Evian , Badoit ... )",", Badoit ...","Evian , Badoit","marque Evian , Badoit","( marque Evian , Badoit",Badoit ... ),"Badoit ... ) ,","Badoit ... ) , après"
http://www.leprogres.fr/loire/2014/01/09/saint-galmier-trop-de-pagaille-autour-du-puisage-gratuit-de-l-eau-de-badoit,leprogres.fr,2014-01-09,France,Badoit/NAM/Badoit,<doc uri=http://www.leprogres.fr/loire/2014/01/09/saint-galmier-trop-de-pagaille-autour-du-puisage-gratuit-de-l-eau-de-badoit website=leprogres.fr date=2014-01-09 source_country=France> /trop/ADV /de/PRP /pagaille/NOM /autour/ADV /du/PRP:det /puisage/NOM /gratuit/ADJ /de/PRP /le/DET:ART /eau/NOM /de/PRP Badoit ,badoit,nam,badoit,de,de,ADP,eau,eau,NOUN,l',le,DET,de,de,ADP,gratuit,gratuit,ADJ,,,,,,,,,,,,,,,,2014-01-09,2014,2010,,,NOUN ADP Badoit,DET NOUN ADP Badoit,ADP DET NOUN ADP Badoit,,,,,,eau de Badoit,le eau de Badoit,de le eau de Badoit,,,
http://www.leprogres.fr/loire/2014/01/09/saint-galmier-trop-de-pagaille-autour-du-puisage-gratuit-de-l-eau-de-badoit,leprogres.fr,2014-01-09,France,Badoit/NAM/Badoit,"La  situation  est  devenue  tendue  et  l'  attente  insupportable  pour  les  habitants  de  Saint-Galmier  ,  qui  viennent  se  servir  gratuitement  au  kiosque  de  la  source  d'  eau  minérale Badoit  .",badoit,nam,badoit,minérale,minéral,ADJ,eau,eau,NOUN,d',de,ADP,source,source,NOUN,la,le,DET,.,.,PUNCT,,,,,,,,,,,,,2014-01-09,2014,2010,,ADJ Badoit PUNCT,NOUN ADJ Badoit,ADP NOUN ADJ Badoit,NOUN ADP NOUN ADJ Badoit,,,,,minéral Badoit .,eau minéral Badoit,de eau minéral Badoit,source de eau minéral Badoit,,,
http://www.ladepeche.fr/article/2014/01/29/1805634-rivieres-samedi-1-fevrier-kestekop-en-concert-a-la-javanaise.html,ladepeche.fr,2014-01-29,France,Badoit/NOM/Badoit,Et  déquiller  une Badoit  millésimée  :  il  faut  bien  ça  pour  un  Kestekop  qui  décoiffe  et  qui  assoiffe  . </doc>,badoit,nom,badoit,une,un,DET,déquiller,déquiller,VERB,Et,et,CONJ,,,,,,,millésimée,millésimer,VERB,:,:,PUNCT,il,il,PRON,faut,falloir,VERB,bien,bien,ADV,2014-01-29,2014,2010,VERB DET Badoit VERB PUNCT,DET Badoit VERB,VERB DET Badoit,CONJ VERB DET Badoit,,Badoit VERB PUNCT,Badoit VERB PUNCT PRON,Badoit VERB PUNCT PRON VERB,déquiller un Badoit millésimer :,un Badoit millésimer,déquiller un Badoit,et déquiller un Badoit,,Badoit millésimer :,Badoit millésimer : il,Badoit millésimer : il falloir
http://www.leparisien.fr/rhone-alpes/loire-coup-d-arret-a-la-guerre-de-l-eau-de-badoit-06-02-2014-3563875.php,leparisien.fr,2014-02-06,France,Badoit/NAM/Badoit,<doc uri=http://www.leparisien.fr/rhone-alpes/loire-coup-d-arret-a-la-guerre-de-l-eau-de-badoit-06-02-2014-3563875.php website=leparisien.fr date=2014-02-06 source_country=France> /Loire/NAM /:/PUN /coup/NOM /de/PRP /arrêt/NOM /à/PRP /le/DET:ART /guerre/NOM /de/PRP /le/DET:ART /eau/NOM /de/PRP Badoit ,badoit,nam,badoit,de,de,ADP,eau,eau,NOUN,l',le,DET,de,de,ADP,guerre,guerre,NOUN,,,,,,,,,,,,,,,,2014-02-06,2014,2010,,,NOUN ADP Badoit,DET NOUN ADP Badoit,ADP DET NOUN ADP Badoit,,,,,,eau de Badoit,le eau de Badoit,de le eau de Badoit,,,
http://www.leparisien.fr/rhone-alpes/loire-coup-d-arret-a-la-guerre-de-l-eau-de-badoit-06-02-2014-3563875.php,leparisien.fr,2014-02-06,France,Badoit/NAM/Badoit,"Saint-Galmier  (  Loire  )  ,  son  casino  ,  son  hippodrome  ,  et  sa  source Badoit  .",badoit,nam,badoit,source,source,NOUN,sa,son,DET,et,et,CONJ,",",",",PUNCT,hippodrome,hippodrome,NOUN,.,.,PUNCT,,,,,,,,,,,,,2014-02-06,2014,2010,,NOUN Badoit PUNCT,DET NOUN Badoit,CONJ DET NOUN Badoit,PUNCT CONJ DET NOUN Badoit,,,,,source Badoit .,son source Badoit,et son source Badoit,", et son source Badoit",,,
http://www.leparisien.fr/rhone-alpes/loire-coup-d-arret-a-la-guerre-de-l-eau-de-badoit-06-02-2014-3563875.php,leparisien.fr,2014-02-06,France,Badoit/NAM/Badoit,"L'  eau  pétille  dans  la  cité  depuis  1778  pour  le  plus  grand  bonheur  de  ses  5  500  habitants  qui  ,  jusqu'  alors  ,  bénéficiaient  d'  un  accès  gratuit  et  illimité  au  kiosque  de  puisage Badoit  ,  situé  à  l'  entrée  de  la  ville  .",badoit,nam,badoit,puisage,puisage,NOUN,de,de,ADP,kiosque,kiosque,NOUN,au,au,ADP DET,illimité,illimiter,VERB,",",",",PUNCT,situé,situer,VERB,à,à,ADP,l',le,DET,entrée,entrée,NOUN,2014-02-06,2014,2010,ADP NOUN Badoit PUNCT VERB,NOUN Badoit PUNCT,ADP NOUN Badoit,NOUN ADP NOUN Badoit,ADP DET NOUN ADP NOUN Badoit,Badoit PUNCT VERB,Badoit PUNCT VERB ADP,Badoit PUNCT VERB ADP DET,"de puisage Badoit , situer","puisage Badoit ,",de puisage Badoit,kiosque de puisage Badoit,au kiosque de puisage Badoit,"Badoit , situer","Badoit , situer à","Badoit , situer à le"
http://www.leparisien.fr/rhone-alpes/loire-coup-d-arret-a-la-guerre-de-l-eau-de-badoit-06-02-2014-3563875.php,leparisien.fr,2014-02-06,France,Badoit/NAM/Badoit,"L'  affluence  était  telle  au  kiosque  de  puisage Badoit  ""  qu'  en  été  ,  pour  remplir  une  douzaine  de  bouteilles  d'  eau  ,  il  fallait  parfois  une  demi-heure  ""  ,  déplore  Christian  ,  un  habitant  de  la  commune  ""  élevé  à  la  Badoit  ""  .",badoit,nam,badoit,puisage,puisage,NOUN,de,de,ADP,kiosque,kiosque,NOUN,au,au,ADP DET,telle,tel,PRON,"""","""",PUNCT,qu',que,PRON,en,en,PRON,été,être,VERB,",",",",PUNCT,2014-02-06,2014,2010,ADP NOUN Badoit PUNCT PRON,NOUN Badoit PUNCT,ADP NOUN Badoit,NOUN ADP NOUN Badoit,ADP DET NOUN ADP NOUN Badoit,Badoit PUNCT PRON,Badoit PUNCT PRON PRON,Badoit PUNCT PRON PRON VERB,"de puisage Badoit "" que","puisage Badoit """,de puisage Badoit,kiosque de puisage Badoit,au kiosque de puisage Badoit,"Badoit "" que","Badoit "" que en","Badoit "" que en être"
http://www.leparisien.fr/rhone-alpes/loire-coup-d-arret-a-la-guerre-de-l-eau-de-badoit-06-02-2014-3563875.php,leparisien.fr,2014-02-06,France,Badoit/NAM/Badoit,"L'  affluence  était  telle  au  kiosque  de  puisage  Badoit  ""  qu'  en  été  ,  pour  remplir  une  douzaine  de  bouteilles  d'  eau  ,  il  fallait  parfois  une  demi-heure  ""  ,  déplore  Christian  ,  un  habitant  de  la  commune  ""  élevé  à  la Badoit  ""  .",badoit,nam,badoit,la,le,DET,à,à,ADP,élevé,élever,VERB,"""","""",PUNCT,commune,commune,NOUN,"""","""",PUNCT,.,.,PUNCT,,,,,,,,,,2014-02-06,2014,2010,ADP DET Badoit PUNCT PUNCT,DET Badoit PUNCT,ADP DET Badoit,VERB ADP DET Badoit,PUNCT VERB ADP DET Badoit,Badoit PUNCT PUNCT,,,"à le Badoit "" .","le Badoit """,à le Badoit,élever à le Badoit,""" élever à le Badoit","Badoit "" .",,
http://www.leparisien.fr/rhone-alpes/loire-coup-d-arret-a-la-guerre-de-l-eau-de-badoit-06-02-2014-3563875.php,leparisien.fr,2014-02-06,France,Badoit/NAM/Badoit,"Depuis  lundi  3  février  ,  l'  accès  à  la  source Badoit  est  désormais  surveillé  et  régulé  .",badoit,nam,badoit,source,source,NOUN,la,le,DET,à,à,ADP,accès,accès,NOUN,l',le,DET,est,être,VERB,désormais,désormais,ADV,surveillé,surveiller,VERB,et,et,CONJ,régulé,réguler,VERB,2014-02-06,2014,2010,DET NOUN Badoit VERB ADV,NOUN Badoit VERB,DET NOUN Badoit,ADP DET NOUN Badoit,NOUN ADP DET NOUN Badoit,Badoit VERB ADV,Badoit VERB ADV VERB,Badoit VERB ADV VERB CONJ,le source Badoit être désormais,source Badoit être,le source Badoit,à le source Badoit,accès à le source Badoit,Badoit être désormais,Badoit être désormais surveiller,Badoit être désormais surveiller et
http://www.leparisien.fr/rhone-alpes/loire-coup-d-arret-a-la-guerre-de-l-eau-de-badoit-06-02-2014-3563875.php,leparisien.fr,2014-02-06,France,Badoit/NAM/Badoit,"Et  ,  afin  de  mettre  de  l'  ordre  dans  le  puisage  de  l'  eau  pétillante  forézienne  ,  des  cartes  numérotées  ont  été  distribuées  aux  habitants  de  la  ville  ainsi  qu'  au  personnel  de  l'  entreprise Badoit  .",badoit,nam,badoit,entreprise,entreprise,NOUN,l',le,DET,de,de,ADP,personnel,personnel,NOUN,au,au,ADP DET,.,.,PUNCT,,,,,,,,,,,,,2014-02-06,2014,2010,,NOUN Badoit PUNCT,DET NOUN Badoit,ADP DET NOUN Badoit,NOUN ADP DET NOUN Badoit,,,,,entreprise Badoit .,le entreprise Badoit,de le entreprise Badoit,personnel de le entreprise Badoit,,,
http://www.lefigaro.fr/emploi/2014/02/20/09005-20140220ARTFIG00034-ses-collegues-lui-donnent-leurs-rtt-pour-soutenir-son-enfant-malade-sa-hierarchie-refuse.php,lefigaro.fr,2014-02-20,France,Badoit/NAM/Badoit,"En  2011  ,  les  salariés  de Badoit  avaient  par  exemple  offert  170  jours  de  RTT  à  l'  un  de  leurs  collègues  pour  accompagner  jusqu'  au  bout  son  enfant  atteint  d'  un  cancer  du  foie  .",badoit,nam,badoit,de,de,ADP,salariés,salarié,NOUN,les,le,DET,",",",",PUNCT,2011,@card@,ADJ,avaient,avoir,VERB,par,par,ADP,exemple,exemple,NOUN,offert,offrir,VERB,170,@card@,ADJ,2014-02-20,2014,2010,NOUN ADP Badoit VERB ADP,ADP Badoit VERB,NOUN ADP Badoit,DET NOUN ADP Badoit,PUNCT DET NOUN ADP Badoit,Badoit VERB ADP,Badoit VERB ADP NOUN,Badoit VERB ADP NOUN VERB,salarié de Badoit avoir par,de Badoit avoir,salarié de Badoit,le salarié de Badoit,", le salarié de Badoit",Badoit avoir par,Badoit avoir par exemple,Badoit avoir par exemple offrir
