url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.libe.ma/Blague-raciste-mise-a-part_a45511.html,libe.ma,2014-01-02,Morocco,banania/NOM/banania,"Exemple  1  :  Tout  récemment  ,  dans  un  pays  démocratique  du  Nord  ,  une  ministre  noire  a  fait  l'  objet  d'  une  affiche  issue  de  la  publicité  raciste  coloniale  ""  y  a  pas  bon banania  ""  mise  sur  internet  par  une  élue  d'  un  grand  parti  politique  .",banania,nom,banania,bon,bon,ADJ,pas,pas,ADV,a,avoir,VERB,y,y,PRON,"""","""",PUNCT,"""","""",PUNCT,mise,mettre,VERB,sur,sur,ADP,internet,Internet,NOUN,par,par,ADP,2014-01-02,2014,2010,ADV ADJ Banania PUNCT VERB,ADJ Banania PUNCT,ADV ADJ Banania,VERB ADV ADJ Banania,PRON VERB ADV ADJ Banania,Banania PUNCT VERB,Banania PUNCT VERB ADP,Banania PUNCT VERB ADP NOUN,"pas bon Banania "" mettre","bon Banania """,pas bon Banania,avoir pas bon Banania,y avoir pas bon Banania,"Banania "" mettre","Banania "" mettre sur","Banania "" mettre sur Internet"
http://www.jeuneafrique.com/Article/JA2763p160.xml1/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Bjeune_afrique_Politique%2B%2528Jeune%2BAfrique%2BPolitique%2529&utm_content=FeedBurner%2Buser%2Bview,jeuneafrique.com,2014-01-07,United States,Banania/NAM/Banania,"Un  nationalisme  nord-africain  prendra  forme  ,  et  ,  alors  que  naît  le  cliché  du  ""  bon  ""  tirailleur Banania  ,  ""  brave  et  fidèle  soldat  ""  ,  ce  dernier  revendiquera  une  égalité  de  droit  :  ""  Avant  j'  étais  nègre  ,  s'  exclame  un  tirailleur  en  1916  ,  maintenant  je  suis  français  !  "" </doc>",banania,nam,banania,tirailleur,tirailleur,NOUN,"""","""",PUNCT,bon,bon,ADJ,"""","""",PUNCT,du,du,ADP DET,",",",",PUNCT,"""","""",PUNCT,brave,brave,ADJ,et,et,CONJ,fidèle,fidèle,ADJ,2014-01-07,2014,2010,PUNCT NOUN Banania PUNCT PUNCT,NOUN Banania PUNCT,PUNCT NOUN Banania,ADJ PUNCT NOUN Banania,PUNCT ADJ PUNCT NOUN Banania,Banania PUNCT PUNCT,Banania PUNCT PUNCT ADJ,Banania PUNCT PUNCT ADJ CONJ,""" tirailleur Banania , ""","tirailleur Banania ,",""" tirailleur Banania","bon "" tirailleur Banania",""" bon "" tirailleur Banania","Banania , ""","Banania , "" brave","Banania , "" brave et"
http://www.jeuneafrique.com/articles/dossier/ja2763p160.xml3/maroc-bande-dessinee-banania-premiere-guerre-mondialeguerre-14-18-deux-celebres-inconnus.html,jeuneafrique.com,2014-01-08,United States,Banania/NAM/Banania,"La  première  ,  c'  était  de  se  dire  :  et  si  le  Soldat  inconnu  était  un  tirailleur  sénégalais  ?  La  seconde  ,  c'  était  de  chercher  qui  était  l'  homme  derrière  le  visage  pour  toujours  associé  à  la  marque Banania  .",banania,nam,banania,marque,marque,NOUN,la,le,DET,à,à,ADP,associé,associer,VERB,toujours,toujours,ADV,.,.,PUNCT,,,,,,,,,,,,,2014-01-08,2014,2010,,NOUN Banania PUNCT,DET NOUN Banania,ADP DET NOUN Banania,VERB ADP DET NOUN Banania,,,,,marque Banania .,le marque Banania,à le marque Banania,associer à le marque Banania,,,
http://www.jeuneafrique.com/articles/dossier/ja2763p160.xml3/maroc-bande-dessinee-banania-premiere-guerre-mondialeguerre-14-18-deux-celebres-inconnus.html,jeuneafrique.com,2014-01-08,United States,Banania/NAM/Banania,"Mieux  ,  par  un  autre  tour  de  passe-passe  ,  Bouba  devient  le  visage  d'  un  autre  inconnu  célèbre  ,  le  zouave  de  la  marque Banania  ...",banania,nam,banania,marque,marque,NOUN,la,le,DET,de,de,ADP,zouave,zouave,NOUN,le,le,DET,...,...,PUNCT,,,,,,,,,,,,,2014-01-08,2014,2010,,NOUN Banania PUNCT,DET NOUN Banania,ADP DET NOUN Banania,NOUN ADP DET NOUN Banania,,,,,marque Banania ...,le marque Banania,de le marque Banania,zouave de le marque Banania,,,
http://www.jeuneafrique.com/articles/dossier/ja2763p160.xml3/maroc-bande-dessinee-banania-premiere-guerre-mondialeguerre-14-18-deux-celebres-inconnus.html,jeuneafrique.com,2014-01-08,United States,Banania/NAM/Banania,"On  a  tenté  d'  en  savoir  plus  ,  mais  chez Banania  personne  ne  nous  a  répondu  .",banania,nam,banania,chez,chez,ADP,mais,mais,CONJ,",",",",PUNCT,plus,plus,ADV,savoir,savoir,VERB,personne,personne,ADV,ne,ne,ADV,nous,nous,PRON,a,avoir,VERB,répondu,répondre,VERB,2014-01-08,2014,2010,CONJ ADP Banania ADV ADV,ADP Banania ADV,CONJ ADP Banania,PUNCT CONJ ADP Banania,ADV PUNCT CONJ ADP Banania,Banania ADV ADV,Banania ADV ADV PRON,Banania ADV ADV PRON VERB,mais chez Banania personne ne,chez Banania personne,mais chez Banania,", mais chez Banania","plus , mais chez Banania",Banania personne ne,Banania personne ne nous,Banania personne ne nous avoir
http://www.lefigaro.fr/international/2014/01/15/01003-20140115ARTFIG00662-le-pape-instaure-la-saintete-low-cost.php,lefigaro.fr,2014-01-15,France,Urbanania/NAM/Urbanania,"Au  cours  d'  une  conférence  donnée  cette  semaine  à  l'  Université  pontificale Urbanania  ,  il  a  néanmoins  précisé  que  de  plus  amples  informations  seraient  transmises  prochainement  aux  différentes  juridictions  canoniques  comme  aux  ordres  réguliers  .",urbanania,nam,urbanania,pontificale,pontifical,ADJ,Université,université,NOUN,l',le,DET,à,à,ADP,semaine,semaine,NOUN,",",",",PUNCT,il,il,PRON,a,avoir,VERB,néanmoins,néanmoins,ADV,précisé,préciser,VERB,2014-01-15,2014,2010,NOUN ADJ Banania PUNCT PRON,ADJ Banania PUNCT,NOUN ADJ Banania,DET NOUN ADJ Banania,ADP DET NOUN ADJ Banania,Banania PUNCT PRON,Banania PUNCT PRON VERB,Banania PUNCT PRON VERB ADV,"université pontifical Banania , il","pontifical Banania ,",université pontifical Banania,le université pontifical Banania,à le université pontifical Banania,"Banania , il","Banania , il avoir","Banania , il avoir néanmoins"
http://www.jeuneafrique.com/Article/ARTJAWEB20140121120021/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Bjeune_afrique_Societe%2B%2528Jeune%2BAfrique%2BSoci%25C3%25A9t%25C3%25A9%2529&utm_content=FeedBurner%2Buser%2Bview,jeuneafrique.com,2014-01-25,United States,Banania/NAM/Banania,"Tirailleur  sénégalais  ,  il  ne  parlait  censément  pas  bien  la  langue  française  ,  s'  exclamant  ""  Y  '  a  bon Banania  ""  avec  un  air  d'  imbécile  heureux  au  physique  toujours  caricatural  .",banania,nam,banania,bon,bon,ADJ,a,avoir,VERB,',',PUNCT,Y,Y,PROPN,"""","""",PUNCT,"""","""",PUNCT,avec,avec,ADP,un,un,DET,air,air,NOUN,d',de,ADP,2014-01-25,2014,2010,VERB ADJ Banania PUNCT ADP,ADJ Banania PUNCT,VERB ADJ Banania,PUNCT VERB ADJ Banania,PROPN PUNCT VERB ADJ Banania,Banania PUNCT ADP,Banania PUNCT ADP DET,Banania PUNCT ADP DET NOUN,"avoir bon Banania "" avec","bon Banania """,avoir bon Banania,' avoir bon Banania,Y ' avoir bon Banania,"Banania "" avec","Banania "" avec un","Banania "" avec un air"
http://www.courrier-picard.fr/region/banania-ne-fait-pas-ses-100-ans-ia0b0n302878?xtor=RSS-2,courrier-picard.fr,2014-01-29,France,Banania/NAM/Banania,<doc uri=http://www.courrier-picard.fr/region/banania-ne-fait-pas-ses-100-ans-ia0b0n302878?xtor=RSS-2 website=courrier-picard.fr date=2014-01-29 source_country=France> Banania  ne  fait  pas  ses  100  ans,banania,nam,banania,,,,,,,,,,,,,,,,ne,ne,ADV,fait,faire,VERB,pas,pas,ADV,ses,son,DET,100,@card@,ADJ,2014-01-29,2014,2010,,,,,,Banania ADV VERB,Banania ADV VERB ADV,Banania ADV VERB ADV DET,,,,,,Banania ne faire,Banania ne faire pas,Banania ne faire pas son
http://www.courrier-picard.fr/region/banania-ne-fait-pas-ses-100-ans-ia0b0n302878?xtor=RSS-2,courrier-picard.fr,2014-01-29,France,Banania/NAM/Banania,"Pour  trouver  le  fabricant  picard  de Banania  ,  il  suffit  de  repérer  l'  usine  de  couleur  jaune  à  Faverolles  ,  près  de  Montdidier  ,  dans  le  sud-est  de  la  Somme  .",banania,nam,banania,de,de,ADP,picard,picard,ADJ,fabricant,fabricant,NOUN,le,le,DET,trouver,trouver,VERB,",",",",PUNCT,il,il,PRON,suffit,suffire,VERB,de,de,ADP,repérer,repérer,VERB,2014-01-29,2014,2010,ADJ ADP Banania PUNCT PRON,ADP Banania PUNCT,ADJ ADP Banania,NOUN ADJ ADP Banania,DET NOUN ADJ ADP Banania,Banania PUNCT PRON,Banania PUNCT PRON VERB,Banania PUNCT PRON VERB ADP,"picard de Banania , il","de Banania ,",picard de Banania,fabricant picard de Banania,le fabricant picard de Banania,"Banania , il","Banania , il suffire","Banania , il suffire de"
http://www.courrier-picard.fr/region/banania-ne-fait-pas-ses-100-ans-ia0b0n302878?xtor=RSS-2,courrier-picard.fr,2014-01-29,France,Banania/NAM/Banania,"De  là  ,  depuis  1973  ,  sortent  les  produits  de  la  marque Banania  .",banania,nam,banania,marque,marque,NOUN,la,le,DET,de,de,ADP,produits,produit,NOUN,les,le,DET,.,.,PUNCT,,,,,,,,,,,,,2014-01-29,2014,2010,,NOUN Banania PUNCT,DET NOUN Banania,ADP DET NOUN Banania,NOUN ADP DET NOUN Banania,,,,,marque Banania .,le marque Banania,de le marque Banania,produit de le marque Banania,,,
