url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.peopleinside.fr/jenn-ayache-superbus-en-tournee-solo/news/79311,peopleinside.fr,2014-08-27,France,BeautyBlender/VER:infi/BeautyBlender, BeautyBlender  L'  Original  |  People  Inside  sur  Combien  de  temps  pouvons-nous  conserver  un  fond  de  teint  ?,beautyblender,ver:infi,beautyblender,,,,,,,,,,,,,,,,L',le,DET,Original,original,ADJ,|,|,NOUN,People,People,PROPN,Inside,Inside,PROPN,2014-08-27,2014,2010,,,,,,Beautyblender DET ADJ,Beautyblender DET ADJ NOUN,Beautyblender DET ADJ NOUN PROPN,,,,,,Beautyblender le original,Beautyblender le original |,Beautyblender le original | People
http://www.peopleinside.fr/jenn-ayache-superbus-en-tournee-solo/news/79311,peopleinside.fr,2014-08-27,France,BeautyBlender/NAM/BeautyBlender,"[  ...  ]  par  Rea  Ann  Silva  ,  maquilleuse  à  Hollywood  , BeautyBlender  L'  Original  vous  permet  d'  appliquer  votre  fond  de  teint  avec  un  fini  ultra  [  ...  ]  ...",beautyblender,nam,beautyblender,",",",",PUNCT,Hollywood,Hollywood,PROPN,à,à,ADP,maquilleuse,maquilleur,NOUN,",",",",PUNCT,L',le,DET,Original,Original,PROPN,vous,vous,PRON,permet,permettre,VERB,d',de,ADP,2014-08-27,2014,2010,PROPN PUNCT Beautyblender DET PROPN,PUNCT Beautyblender DET,PROPN PUNCT Beautyblender,ADP PROPN PUNCT Beautyblender,NOUN ADP PROPN PUNCT Beautyblender,Beautyblender DET PROPN,Beautyblender DET PROPN PRON,Beautyblender DET PROPN PRON VERB,"Hollywood , Beautyblender le Original",", Beautyblender le","Hollywood , Beautyblender","à Hollywood , Beautyblender","maquilleur à Hollywood , Beautyblender",Beautyblender le Original,Beautyblender le Original vous,Beautyblender le Original vous permettre
http://www.lemonde.fr/m-styles/article/2015/09/14/le-beautyblender-de-by-terry_4744284_4497319.html#xtor%3DRSS-3208001,lemonde.fr,2015-09-14,France,Beautyblender/NAM/Beautyblender,<doc uri=http://www.lemonde.fr/m-styles/article/2015/09/14/le-beautyblender-de-by-terry_4744284_4497319.html#xtor%3DRSS-3208001 website=lemonde.fr date=2015-09-14 source_country=France> /le/DET:ART Beautyblender  de  By  Terry,beautyblender,nam,beautyblender,Le,le,DET,,,,,,,,,,,,,de,de,ADP,By,By,PROPN,Terry,Terry,PROPN,,,,,,,2015-09-14,2015,2010,,DET Beautyblender ADP,,,,Beautyblender ADP PROPN,Beautyblender ADP PROPN PROPN,,,le Beautyblender de,,,,Beautyblender de By,Beautyblender de By Terry,
http://www.lemonde.fr/m-styles/article/2015/09/14/le-beautyblender-de-by-terry_4744284_4497319.html#xtor%3DRSS-3208001,lemonde.fr,2015-09-14,France,Beautyblender/NAM/Beautyblender,"Créé  en  2003  par  la  maquilleuse  américaine  Rea  Ann  Silva  ,  le Beautyblender  est  une  éponge  en  forme  d'  oeuf  qui  ,  une  fois  humidifiée  ,  grossit  et  permet  d'  appliquer  n'  importe  quelle  crème  teintée  sans  démarcation  .",beautyblender,nam,beautyblender,le,le,DET,",",",",PUNCT,Silva,Silva,PROPN,Ann,Ann,PROPN,Rea,Rea,NOUN,est,être,VERB,une,un,DET,éponge,éponge,NOUN,en,en,ADP,forme,forme,NOUN,2015-09-14,2015,2010,PUNCT DET Beautyblender VERB DET,DET Beautyblender VERB,PUNCT DET Beautyblender,PROPN PUNCT DET Beautyblender,PROPN PROPN PUNCT DET Beautyblender,Beautyblender VERB DET,Beautyblender VERB DET NOUN,Beautyblender VERB DET NOUN ADP,", le Beautyblender être un",le Beautyblender être,", le Beautyblender","Silva , le Beautyblender","Ann Silva , le Beautyblender",Beautyblender être un,Beautyblender être un éponge,Beautyblender être un éponge en
http://www.lemonde.fr/m-styles/article/2015/09/14/le-beautyblender-de-by-terry_4744284_4497319.html#xtor%3DRSS-3208001,lemonde.fr,2015-09-14,France,Beautyblender/NAM/Beautyblender,"""  Le Beautyblender  est  toujours  dans  le  top  10  des  ventes  en  ligne  ,  explique  Mathilde  Lacombe  ,  directrice  éditoriale  du  site  Birchbox  .",beautyblender,nam,beautyblender,Le,le,DET,"""","""",PUNCT,,,,,,,,,,est,être,VERB,toujours,toujours,ADV,dans,dans,ADP,le,le,DET,top,top,NOUN,2015-09-14,2015,2010,PUNCT DET Beautyblender VERB ADV,DET Beautyblender VERB,PUNCT DET Beautyblender,,,Beautyblender VERB ADV,Beautyblender VERB ADV ADP,Beautyblender VERB ADV ADP DET,""" le Beautyblender être toujours",le Beautyblender être,""" le Beautyblender",,,Beautyblender être toujours,Beautyblender être toujours dans,Beautyblender être toujours dans le
http://www.elle.fr/Beaute/Beaute-des-stars/Astuces/On-a-rencontre-Mamzelle-Sooz-youtubeuse-et-blogueuse-beaute-2986679#utm_source%3DRSS-ELLE%26utm_medium%3DFlux-Rss%26utm_campaign%3DRSS_Beaute%26xtor%3DRSS-23,elle.fr,2015-09-19,France,beautyblender/NOM/beautyblender,"M.S.  Trois  c'  est  peu  !  Je  vais  dire  le  sérum  Hydraskin  de  Darphin  qui  hydrate  en  profondeur  la  peau  ,  les beautyblender  que  j'  utilise  pour  appliquer  quotidiennement  mon  fond  de  teint  et  l'  Egyptian  Magic  Cream  qui  ne  me  quitte  pas  et  que  je  trouve  absolument  fantastique  .",beautyblender,nom,beautyblender,les,le,DET,",",",",PUNCT,peau,peau,NOUN,la,le,DET,profondeur,profondeur,NOUN,que,que,PRON,j',je,PRON,utilise,utiliser,VERB,pour,pour,ADP,appliquer,appliquer,VERB,2015-09-19,2015,2010,PUNCT DET Beautyblender PRON PRON,DET Beautyblender PRON,PUNCT DET Beautyblender,NOUN PUNCT DET Beautyblender,DET NOUN PUNCT DET Beautyblender,Beautyblender PRON PRON,Beautyblender PRON PRON VERB,Beautyblender PRON PRON VERB ADP,", le Beautyblender que je",le Beautyblender que,", le Beautyblender","peau , le Beautyblender","le peau , le Beautyblender",Beautyblender que je,Beautyblender que je utiliser,Beautyblender que je utiliser pour
http://www.psychologies.com/Beaute/Visage/Soins-du-visage/Articles-et-Dossiers/Gommer-les-signes-de-fatigue-en-3-etapes,psychologies.com,2016-02-15,France,Beautyblender/NAM/Beautyblender,"Notre  sélection  :  Diorskin  Forever  ,  Dior  ,  46,95  €  ;  Fond  de  teint  Minimalist  Corrective  Serum  Foundation  ,  Gressa  Skin  ,  58  €  sur  Bazar-bio  .  fr  ;  The  Bling  Ring  , Beautyblender  ,  25,50  €  chez  Sephora  ;  Backstage  Blender  ,  Dior  ,  20  €  .",beautyblender,nam,beautyblender,",",",",PUNCT,Ring,Ring,PROPN,Bling,Bling,PROPN,The,The,PROPN,;,;,PUNCT,",",",",PUNCT,"25,50",@card@,ADJ,€,€,NOUN,chez,chez,ADP,Sephora,Sephora,PROPN,2016-02-15,2016,2010,PROPN PUNCT Beautyblender PUNCT ADJ,PUNCT Beautyblender PUNCT,PROPN PUNCT Beautyblender,PROPN PROPN PUNCT Beautyblender,PROPN PROPN PROPN PUNCT Beautyblender,Beautyblender PUNCT ADJ,Beautyblender PUNCT ADJ NOUN,Beautyblender PUNCT ADJ NOUN ADP,"Ring , Beautyblender , @card@",", Beautyblender ,","Ring , Beautyblender","Bling Ring , Beautyblender","The Bling Ring , Beautyblender","Beautyblender , @card@","Beautyblender , @card@ €","Beautyblender , @card@ € chez"
http://quebec.huffingtonpost.ca/2016/03/09/le--beautyblender--a-la-veille-de-devenir-loutil-favori-des-coiffeurs-_n_9418686.html?utm_hp_ref=canada-quebec&ir=Canada%2BQuebec,huffingtonpost.ca,2016-03-09,Canada,Beautyblender/NAM/Beautyblender,"<doc uri=http://quebec.huffingtonpost.ca/2016/03/09/le--beautyblender--a-la-veille-de-devenir-loutil-favori-des-coiffeurs-_n_9418686.html?utm_hp_ref=canada-quebec&ir=Canada%2BQuebec website=huffingtonpost.ca date=2016-03-09 source_country=Canada> /le/DET:ART /""/PUN:cit Beautyblender  ""  à  la  veille  de  devenir  l'  outil  favori  ...  des  coiffeurs",beautyblender,nam,beautyblender,"""","""",PUNCT,Le,le,DET,,,,,,,,,,"""","""",PUNCT,à,à,ADP,la,le,DET,veille,veille,NOUN,de,de,ADP,2016-03-09,2016,2010,DET PUNCT Beautyblender PUNCT ADP,PUNCT Beautyblender PUNCT,DET PUNCT Beautyblender,,,Beautyblender PUNCT ADP,Beautyblender PUNCT ADP DET,Beautyblender PUNCT ADP DET NOUN,"le "" Beautyblender "" à",""" Beautyblender ""","le "" Beautyblender",,,"Beautyblender "" à","Beautyblender "" à le","Beautyblender "" à le veille"
http://quebec.huffingtonpost.ca/2016/03/09/le--beautyblender--a-la-veille-de-devenir-loutil-favori-des-coiffeurs-_n_9418686.html?utm_hp_ref=canada-quebec&ir=Canada%2BQuebec,huffingtonpost.ca,2016-03-09,Canada,Beautyblender/NAM/Beautyblender,"Le  "" Beautyblender  ""  est  l'  outil  favori  des  adeptes  de  maquillage  et  il  est  à  la  veille  de  devenir  un  essentiel  des  coiffeurs  .",beautyblender,nam,beautyblender,"""","""",PUNCT,Le,le,DET,,,,,,,,,,"""","""",PUNCT,est,être,VERB,l',le,DET,outil,outil,NOUN,favori,favori,ADJ,2016-03-09,2016,2010,DET PUNCT Beautyblender PUNCT VERB,PUNCT Beautyblender PUNCT,DET PUNCT Beautyblender,,,Beautyblender PUNCT VERB,Beautyblender PUNCT VERB DET,Beautyblender PUNCT VERB DET NOUN,"le "" Beautyblender "" être",""" Beautyblender ""","le "" Beautyblender",,,"Beautyblender "" être","Beautyblender "" être le","Beautyblender "" être le outil"
http://quebec.huffingtonpost.ca/2016/03/09/le--beautyblender--a-la-veille-de-devenir-loutil-favori-des-coiffeurs-_n_9418686.html?utm_hp_ref=canada-quebec&ir=Canada%2BQuebec,huffingtonpost.ca,2016-03-09,Canada,Beautyblender/NAM/Beautyblender,"Suffit  de  couper  le  "" Beautyblender  ""  en  deux  ,  et  le  tour  est  joué  .",beautyblender,nam,beautyblender,"""","""",PUNCT,le,le,DET,couper,couper,VERB,de,de,ADP,Suffit,suffire,VERB,"""","""",PUNCT,en,en,ADP,deux,deux,ADJ,",",",",PUNCT,et,et,CONJ,2016-03-09,2016,2010,DET PUNCT Beautyblender PUNCT ADP,PUNCT Beautyblender PUNCT,DET PUNCT Beautyblender,VERB DET PUNCT Beautyblender,ADP VERB DET PUNCT Beautyblender,Beautyblender PUNCT ADP,Beautyblender PUNCT ADP ADJ,Beautyblender PUNCT ADP ADJ PUNCT,"le "" Beautyblender "" en",""" Beautyblender ""","le "" Beautyblender","couper le "" Beautyblender","de couper le "" Beautyblender","Beautyblender "" en","Beautyblender "" en deux","Beautyblender "" en deux ,"
http://www.ladepeche.fr/article/2016/03/22/2309348-cosmetiques-quelles-innovations-pour-cet-ete.html,ladepeche.fr,2016-03-22,France,Beautyblender/NAM/Beautyblender,"Blotterazzi  ™  de Beautyblender  ,  19  euros  le  boîtier  miroir  de  2  unités  ,  en  vente  sur  www.beautyblender.fr </doc>",beautyblender,nam,beautyblender,de,de,ADP,™,™,SYM,Blotterazzi,Blotterazzi,PROPN,,,,,,,",",",",PUNCT,19,@card@,ADJ,euros,euro,NOUN,le,le,DET,boîtier,boîtier,NOUN,2016-03-22,2016,2010,SYM ADP Beautyblender PUNCT ADJ,ADP Beautyblender PUNCT,SYM ADP Beautyblender,PROPN SYM ADP Beautyblender,,Beautyblender PUNCT ADJ,Beautyblender PUNCT ADJ NOUN,Beautyblender PUNCT ADJ NOUN DET,"™ de Beautyblender , @card@","de Beautyblender ,",™ de Beautyblender,Blotterazzi ™ de Beautyblender,,"Beautyblender , @card@","Beautyblender , @card@ euro","Beautyblender , @card@ euro le"
http://www.ladepeche.fr/article/2016/03/22/2309348-cosmetiques-quelles-innovations-pour-cet-ete.html,ladepeche.fr,2016-03-22,France,www.beautyblender.fr/NOM/www.beautyblender.fr,"Blotterazzi  ™  de  Beautyblender  ,  19  euros  le  boîtier  miroir  de  2  unités  ,  en  vente  sur www.beautyblender.fr </doc>",www.beautyblender.fr,nom,www.beautyblender.fr,sur,sur,ADP,vente,vente,NOUN,en,en,ADP,",",",",PUNCT,unités,unité,NOUN,</doc>,,,,,,,,,,,,,,,2016-03-22,2016,2010,,,NOUN ADP Beautyblender,ADP NOUN ADP Beautyblender,PUNCT ADP NOUN ADP Beautyblender,,,,,,vente sur Beautyblender,en vente sur Beautyblender,", en vente sur Beautyblender",,,
http://quebec.huffingtonpost.ca/2016/04/04/maripier-morin-beaute-astuces-beaute_n_9611368.html?utm_hp_ref=canada-quebec&ir=Canada%2BQuebec,huffingtonpost.ca,2016-04-04,Canada,BeautyBlender/NAM/BeautyBlender,"Le  truc  de  pro  ,  c'  est  de  vaporiser  une  eau  thermale  ou  une  bruine  à  l'  eau  de  rose  ou  à  la  lavande  sur  son  visage  ,  puis  de  tapoter  avec  une  éponge BeautyBlender  .",beautyblender,nam,beautyblender,éponge,éponge,NOUN,une,un,DET,avec,avec,ADP,tapoter,tapoter,VERB,de,de,ADP,.,.,PUNCT,,,,,,,,,,,,,2016-04-04,2016,2010,,NOUN Beautyblender PUNCT,DET NOUN Beautyblender,ADP DET NOUN Beautyblender,VERB ADP DET NOUN Beautyblender,,,,,éponge Beautyblender .,un éponge Beautyblender,avec un éponge Beautyblender,tapoter avec un éponge Beautyblender,,,
