url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lemonde.fr/sport/visuel/2014/11/15/sports-en-parc_4522383_3242.html#xtor%3DRSS-3208,lemonde.fr,2014-11-15,France,Betadine/NAM/Betadine,Il  n'  hésite  pas  à  les  soigner  avec  de  la Betadine  en  gel  avant  de  les  relâcher  .,betadine,nam,betadine,la,le,DET,de,de,ADP,avec,avec,ADP,soigner,soigner,VERB,les,la|le,PRON,en,en,ADP,gel,gel,NOUN,avant,avant,ADP,de,de,ADP,les,la|le,PRON,2014-11-15,2014,2010,ADP DET Betadine ADP NOUN,DET Betadine ADP,ADP DET Betadine,ADP ADP DET Betadine,VERB ADP ADP DET Betadine,Betadine ADP NOUN,Betadine ADP NOUN ADP,Betadine ADP NOUN ADP ADP,de le Betadine en gel,le Betadine en,de le Betadine,avec de le Betadine,soigner avec de le Betadine,Betadine en gel,Betadine en gel avant,Betadine en gel avant de
http://www.alwihdainfo.com/Centrafrique-Appel-a-l-unite-des-musulmans_a14925.html,alwihdainfo.com,2015-02-17,France,BETADINE/NAM/BETADINE,"<doc uri=http://www.alwihdainfo.com/Centrafrique-Appel-a-l-unite-des-musulmans_a14925.html website=alwihdainfo.com date=2015-02-17 source_country=France> /Mundipharma/NAM /faire/VER:pres /don/NOM /de/PRP BETADINE  pour  soutenir  la  lutte  contre  le  virus  Ebola  17  /  0  2  /  2015  Cameroun  :  Huit  soldats  tués  par  Boko  Haram  17  /  0  2  /  2015  Gabon  :  Le  président  de  l'  ONG  ""  On  ne  m'  achète  pas  ""  ,  Pierre  Ndong  Aboghé  dénonce  les  détournements  17  /  0  2  /  2015  ""  Eagles  International  Cargo  ""  spécialiste  de  transport  partout  au  Monde  17  /  0  2  /  2015  Boko  Haram  demande  au  Tchad  d'  arrêter  son  intervention  militaire  et  menace  de  guerre  civile  17  /  0  2  /  2015 </doc>",betadine,nam,betadine,de,de,ADP,don,don,NOUN,fait,faire,VERB,Mundipharma,Mundipharma,PROPN,,,,pour,pour,CONJ,soutenir,soutenir,VERB,la,le,DET,lutte,lutte,NOUN,contre,contre,ADP,2015-02-17,2015,2010,NOUN ADP Betadine CONJ VERB,ADP Betadine CONJ,NOUN ADP Betadine,VERB NOUN ADP Betadine,PROPN VERB NOUN ADP Betadine,Betadine CONJ VERB,Betadine CONJ VERB DET,Betadine CONJ VERB DET NOUN,don de Betadine pour soutenir,de Betadine pour,don de Betadine,faire don de Betadine,Mundipharma faire don de Betadine,Betadine pour soutenir,Betadine pour soutenir le,Betadine pour soutenir le lutte
https://appablog.wordpress.com/2015/02/17/mundipharma-fait-don-de-betadine-pour-soutenir-la-lutte-contre-le-virus-ebola/,wordpress.com,2015-02-17,===NONE===,Betadine/NAM/Betadine,"DUBAI  ,  UAE  ,  17  février  2015  /  African  Press  Organization  (  APO  )  /  -  Mundipharma  (  http://www.mundipharma.com.sg  )  a  annoncé  aujourd  '  hui  qu'  elle  a  conclu  un  partenariat  avec  Direct  Relief  pour  faire  don  de  provisions  de  sa  gamme  de Betadine  ®  d'  antivirus  pour  soutenir  les  efforts  de  l'  organisation  d'  aide  pour  limiter  l'  épidémie  actuelle  d'  Ebola  en  Afrique  de  l'  Ouest  .",betadine,nam,betadine,de,de,ADP,gamme,gamme,NOUN,sa,son,DET,de,de,ADP,provisions,provision,NOUN,®,®,NOUN,d',de,ADP,antivirus,antivirus,NOUN,pour,pour,ADP,soutenir,soutenir,VERB,2015-02-17,2015,2010,NOUN ADP Betadine NOUN ADP,ADP Betadine NOUN,NOUN ADP Betadine,DET NOUN ADP Betadine,ADP DET NOUN ADP Betadine,Betadine NOUN ADP,Betadine NOUN ADP NOUN,Betadine NOUN ADP NOUN ADP,gamme de Betadine ® de,de Betadine ®,gamme de Betadine,son gamme de Betadine,de son gamme de Betadine,Betadine ® de,Betadine ® de antivirus,Betadine ® de antivirus pour
https://appablog.wordpress.com/2015/02/17/mundipharma-fait-don-de-betadine-pour-soutenir-la-lutte-contre-le-virus-ebola/,wordpress.com,2015-02-17,===NONE===,Betadine/NAM/Betadine,"""  Le  don  de Betadine  ®  est  tout  à  fait  compatible  avec  notre  mission  et  engagement  à  améliorer  la  santé  et  la  qualité  de  vie  de  la  race  humaine  partout  dans  le  monde  ,  même  dans  les  circonstances  les  plus  difficiles  comme  celles-ci  ,  et  cela  souligne  notre  attention  sur  les  soins  des  plus  nécessiteux  .",betadine,nam,betadine,de,de,ADP,don,don,NOUN,Le,le,DET,"""","""",PUNCT,,,,®,®,ADJ,est,être,VERB,tout,tout,ADV,à,à,ADP,fait,fait,NOUN,2015-02-17,2015,2010,NOUN ADP Betadine ADJ VERB,ADP Betadine ADJ,NOUN ADP Betadine,DET NOUN ADP Betadine,PUNCT DET NOUN ADP Betadine,Betadine ADJ VERB,Betadine ADJ VERB ADV,Betadine ADJ VERB ADV ADP,don de Betadine ® être,de Betadine ®,don de Betadine,le don de Betadine,""" le don de Betadine",Betadine ® être,Betadine ® être tout,Betadine ® être tout à
https://appablog.wordpress.com/2015/02/17/mundipharma-fait-don-de-betadine-pour-soutenir-la-lutte-contre-le-virus-ebola/,wordpress.com,2015-02-17,===NONE===,BETADINE/NOM/BETADINE," BETADINE  ®  a  été  utilisée  et  approuvée  comme  antiseptique  pour  plus  de  50  ans  ,  il  existe  plusieurs  publications  de  Betadine  ®  et  de  son  activité  virucide  générale  ,  c'  est  pourquoi  nous  croyons  que  la  gamme  de  Betadine  ®  peut  jouer  un  rôle  important  dans  la  lutte  contre  la  propagation  du  virus  Ebola  ""  .",betadine,nom,betadine,,,,,,,,,,,,,,,,®,®,ADJ,a,avoir,VERB,été,être,VERB,utilisée,utiliser,VERB,et,et,CONJ,2015-02-17,2015,2010,,,,,,Betadine ADJ VERB,Betadine ADJ VERB VERB,Betadine ADJ VERB VERB VERB,,,,,,Betadine ® avoir,Betadine ® avoir être,Betadine ® avoir être utiliser
https://appablog.wordpress.com/2015/02/17/mundipharma-fait-don-de-betadine-pour-soutenir-la-lutte-contre-le-virus-ebola/,wordpress.com,2015-02-17,===NONE===,Betadine/NAM/Betadine,"BETADINE  ®  a  été  utilisée  et  approuvée  comme  antiseptique  pour  plus  de  50  ans  ,  il  existe  plusieurs  publications  de Betadine  ®  et  de  son  activité  virucide  générale  ,  c'  est  pourquoi  nous  croyons  que  la  gamme  de  Betadine  ®  peut  jouer  un  rôle  important  dans  la  lutte  contre  la  propagation  du  virus  Ebola  ""  .",betadine,nam,betadine,de,de,ADP,publications,publication,NOUN,plusieurs,plusieurs,PRON,existe,exister,VERB,il,il,PRON,®,®,NOUN,et,et,CONJ,de,de,ADP,son,son,DET,activité,activité,NOUN,2015-02-17,2015,2010,NOUN ADP Betadine NOUN CONJ,ADP Betadine NOUN,NOUN ADP Betadine,PRON NOUN ADP Betadine,VERB PRON NOUN ADP Betadine,Betadine NOUN CONJ,Betadine NOUN CONJ ADP,Betadine NOUN CONJ ADP DET,publication de Betadine ® et,de Betadine ®,publication de Betadine,plusieurs publication de Betadine,exister plusieurs publication de Betadine,Betadine ® et,Betadine ® et de,Betadine ® et de son
https://appablog.wordpress.com/2015/02/17/mundipharma-fait-don-de-betadine-pour-soutenir-la-lutte-contre-le-virus-ebola/,wordpress.com,2015-02-17,===NONE===,Betadine/NAM/Betadine,"BETADINE  ®  a  été  utilisée  et  approuvée  comme  antiseptique  pour  plus  de  50  ans  ,  il  existe  plusieurs  publications  de  Betadine  ®  et  de  son  activité  virucide  générale  ,  c'  est  pourquoi  nous  croyons  que  la  gamme  de Betadine  ®  peut  jouer  un  rôle  important  dans  la  lutte  contre  la  propagation  du  virus  Ebola  ""  .",betadine,nam,betadine,de,de,ADP,gamme,gamme,NOUN,la,le,DET,que,que,CONJ,croyons,croire,VERB,®,®,ADJ,peut,pouvoir,VERB,jouer,jouer,VERB,un,un,DET,rôle,rôle,NOUN,2015-02-17,2015,2010,NOUN ADP Betadine ADJ VERB,ADP Betadine ADJ,NOUN ADP Betadine,DET NOUN ADP Betadine,CONJ DET NOUN ADP Betadine,Betadine ADJ VERB,Betadine ADJ VERB VERB,Betadine ADJ VERB VERB DET,gamme de Betadine ® pouvoir,de Betadine ®,gamme de Betadine,le gamme de Betadine,que le gamme de Betadine,Betadine ® pouvoir,Betadine ® pouvoir jouer,Betadine ® pouvoir jouer un
https://appablog.wordpress.com/2015/02/17/mundipharma-fait-don-de-betadine-pour-soutenir-la-lutte-contre-le-virus-ebola/,wordpress.com,2015-02-17,===NONE===,Betadine/NAM/Betadine,"Les  provisions  de Betadine  ®  Gommage  chirurgical  et  Betadine  ®  nettoyant  de  chevelure  et  de  peau  par  Mundipharma  sont  des  savons  médicamentés  contenant  de  la  povidone  d'  iode  ,  un  antivirus  bien  connu  ,  pour  la  désinfection  des  mains  ,  même  dans  les  zones  sans  accès  à  l'  eau  courante  .",betadine,nam,betadine,de,de,ADP,provisions,provision,NOUN,Les,le,DET,,,,,,,®,®,ADJ,Gommage,gommage,NOUN,chirurgical,chirurgical,ADJ,et,et,CONJ,Betadine,Betadine,ADJ,2015-02-17,2015,2010,NOUN ADP Betadine ADJ NOUN,ADP Betadine ADJ,NOUN ADP Betadine,DET NOUN ADP Betadine,,Betadine ADJ NOUN,Betadine ADJ NOUN ADJ,Betadine ADJ NOUN ADJ CONJ,provision de Betadine ® gommage,de Betadine ®,provision de Betadine,le provision de Betadine,,Betadine ® gommage,Betadine ® gommage chirurgical,Betadine ® gommage chirurgical et
https://appablog.wordpress.com/2015/02/17/mundipharma-fait-don-de-betadine-pour-soutenir-la-lutte-contre-le-virus-ebola/,wordpress.com,2015-02-17,===NONE===,Betadine/ADJ/Betadine,"Les  provisions  de  Betadine  ®  Gommage  chirurgical  et Betadine  ®  nettoyant  de  chevelure  et  de  peau  par  Mundipharma  sont  des  savons  médicamentés  contenant  de  la  povidone  d'  iode  ,  un  antivirus  bien  connu  ,  pour  la  désinfection  des  mains  ,  même  dans  les  zones  sans  accès  à  l'  eau  courante  .",betadine,adj,betadine,et,et,CONJ,chirurgical,chirurgical,ADJ,Gommage,gommage,NOUN,®,®,ADJ,Betadine,Betadine,PROPN,®,®,NOUN,nettoyant,nettoyer,VERB,de,de,ADP,chevelure,chevelure,NOUN,et,et,CONJ,2015-02-17,2015,2010,ADJ CONJ Betadine NOUN VERB,CONJ Betadine NOUN,ADJ CONJ Betadine,NOUN ADJ CONJ Betadine,ADJ NOUN ADJ CONJ Betadine,Betadine NOUN VERB,Betadine NOUN VERB ADP,Betadine NOUN VERB ADP NOUN,chirurgical et Betadine ® nettoyer,et Betadine ®,chirurgical et Betadine,gommage chirurgical et Betadine,® gommage chirurgical et Betadine,Betadine ® nettoyer,Betadine ® nettoyer de,Betadine ® nettoyer de chevelure
https://appablog.wordpress.com/2015/02/17/mundipharma-fait-don-de-betadine-pour-soutenir-la-lutte-contre-le-virus-ebola/,wordpress.com,2015-02-17,===NONE===,Betadine/NOM/Betadine, Betadine  ®  a  démontré  une  forte  efficacité  contre  les  virus  enveloppés  et  une  efficacité  suffisante  contre  les  virus  non  enveloppés  et  son  utilisation  pour  limiter  la  propagation  du  virus  Ebola  a  déjà  été  approuvée  par  le  département  Australien  de  la  Santé  et  du  Vieillissement  .,betadine,nom,betadine,,,,,,,,,,,,,,,,®,®,ADJ,a,avoir,VERB,démontré,démontrer,VERB,une,un,DET,forte,fort,ADJ,2015-02-17,2015,2010,,,,,,Betadine ADJ VERB,Betadine ADJ VERB VERB,Betadine ADJ VERB VERB DET,,,,,,Betadine ® avoir,Betadine ® avoir démontrer,Betadine ® avoir démontrer un
