url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lavoixdunord.fr/region/la-chapelle-d-armentieres-pour-maitriser-son-avenir-ia11b49733n1823174?xtor=RSS-2,lavoixdunord.fr,2014-01-04,France,Blédina/NAM/Blédina,"Pouchain  s'  était  ensuite  adaptée  :  les  entreprises  textiles  disparaissant  ,  elle  est  allée  chercher  de  nouveaux  marchés  dans  l'  industrie  agroalimentaire  (  Lesaffre  , Blédina  ,  Roquette  )  et  dans  le  tertiaire  (  hôpitaux  ,  lycées  ,  écoles  )  .",blédina,nam,blédina,",",",",PUNCT,Lesaffre,Lesaffre,PROPN,(,(,PUNCT,agroalimentaire,agroalimentaire,ADJ,industrie,industrie,NOUN,",",",",PUNCT,Roquette,Roquette,PROPN,),),PUNCT,et,et,CONJ,dans,dans,ADP,2014-01-04,2014,2010,PROPN PUNCT Blédina PUNCT PROPN,PUNCT Blédina PUNCT,PROPN PUNCT Blédina,PUNCT PROPN PUNCT Blédina,ADJ PUNCT PROPN PUNCT Blédina,Blédina PUNCT PROPN,Blédina PUNCT PROPN PUNCT,Blédina PUNCT PROPN PUNCT CONJ,"Lesaffre , Blédina , Roquette",", Blédina ,","Lesaffre , Blédina","( Lesaffre , Blédina","agroalimentaire ( Lesaffre , Blédina","Blédina , Roquette","Blédina , Roquette )","Blédina , Roquette ) et"
http://rue89.nouvelobs.com/2014/01/16/salaries-ils-ont-choisi-travailler-moins-profiter-vie-248293,nouvelobs.com,2014-01-17,===NONE===,Blédina/NAM/Blédina,"Si  nous  avions  conservé  notre  ancien  mode  de  vie  ,  notre  fille  aurait  été  nourrie  avec Blédina  et  par  une  nounou  ...",blédina,nam,blédina,avec,avec,ADP,nourrie,nourrir,VERB,été,être,VERB,aurait,avoir,VERB,fille,fille,NOUN,et,et,CONJ,par,par,ADP,une,un,DET,nounou,nounou,NOUN,...,...,PUNCT,2014-01-17,2014,2010,VERB ADP Blédina CONJ ADP,ADP Blédina CONJ,VERB ADP Blédina,VERB VERB ADP Blédina,VERB VERB VERB ADP Blédina,Blédina CONJ ADP,Blédina CONJ ADP DET,Blédina CONJ ADP DET NOUN,nourrir avec Blédina et par,avec Blédina et,nourrir avec Blédina,être nourrir avec Blédina,avoir être nourrir avec Blédina,Blédina et par,Blédina et par un,Blédina et par un nounou
http://www.tv5.org/cms/chaine-francophone/info/p-1911-redir.htm?&rub=7&xml=newsmlmmd.urn.newsml.afp.com.20140220.f7ddfe97.9dbf.4a14.be41.ae761c71d1ba.xml,tv5.org,2014-02-20,France,Blédina/NAM/Blédina,"Le  groupe  agroalimentaire  français  ,  connu  pour  ses  marques  Evian  ,  Danette  ou Blédina  ,  aborde  l'  année  ""  avec  les  idées  assez  claires  à  la  fois  sur  les  priorités  et  les  objectifs  ""  ,  explique  à  une  poignée  de  journalistes  Pierre  André  Térisse  ,  son  directeur  général  finances  .",blédina,nam,blédina,ou,ou,CONJ,Danette,Danette,PROPN,",",",",PUNCT,Evian,Evian,PROPN,marques,marque,NOUN,",",",",PUNCT,aborde,aborder,VERB,l',le,DET,année,année,NOUN,"""","""",PUNCT,2014-02-20,2014,2010,PROPN CONJ Blédina PUNCT VERB,CONJ Blédina PUNCT,PROPN CONJ Blédina,PUNCT PROPN CONJ Blédina,PROPN PUNCT PROPN CONJ Blédina,Blédina PUNCT VERB,Blédina PUNCT VERB DET,Blédina PUNCT VERB DET NOUN,"Danette ou Blédina , aborder","ou Blédina ,",Danette ou Blédina,", Danette ou Blédina","Evian , Danette ou Blédina","Blédina , aborder","Blédina , aborder le","Blédina , aborder le année"
http://www.lefigaro.fr/societes/2014/03/25/20005-20140325ARTFIG00321-l-alimentation-infantile-en-quete-d-un-second-souffle.php,lefigaro.fr,2014-03-26,France,Blédina/NAM/Blédina,"""  Les  parents  ne  perçoivent  plus  la  spécificité  de  l'  alimentation  infantile  ,  analyse  Didier  Lamblin  ,  directeur  général  de Blédina  (  Danone  )  .",blédina,nam,blédina,de,de,ADP,général,général,ADJ,directeur,directeur,NOUN,",",",",PUNCT,Lamblin,Lamblin,PROPN,(,(,PUNCT,Danone,Danone,PROPN,),),PUNCT,.,.,PUNCT,,,,2014-03-26,2014,2010,ADJ ADP Blédina PUNCT PROPN,ADP Blédina PUNCT,ADJ ADP Blédina,NOUN ADJ ADP Blédina,PUNCT NOUN ADJ ADP Blédina,Blédina PUNCT PROPN,Blédina PUNCT PROPN PUNCT,Blédina PUNCT PROPN PUNCT PUNCT,général de Blédina ( Danone,de Blédina (,général de Blédina,directeur général de Blédina,", directeur général de Blédina",Blédina ( Danone,Blédina ( Danone ),Blédina ( Danone ) .
http://www.lefigaro.fr/societes/2014/03/25/20005-20140325ARTFIG00321-l-alimentation-infantile-en-quete-d-un-second-souffle.php,lefigaro.fr,2014-03-26,France,Blédina/NAM/Blédina,"""  Danone  a  par  ailleurs  joué  de  malchance  avec  l'  une  de  ses  innovations  , Blédina  du  jour  ,  lancée  en  2012  ,  arrêtée  au  bout  d'  un  an  .",blédina,nam,blédina,",",",",PUNCT,innovations,innovation,NOUN,ses,son,DET,de,de,ADP,une,un,ADJ,du,du,ADP DET,jour,jour,NOUN,",",",",PUNCT,lancée,lancer,VERB,en,en,ADP,2014-03-26,2014,2010,NOUN PUNCT Blédina ADP DET NOUN,PUNCT Blédina ADP DET,NOUN PUNCT Blédina,DET NOUN PUNCT Blédina,ADP DET NOUN PUNCT Blédina,Blédina ADP DET NOUN,Blédina ADP DET NOUN PUNCT,Blédina ADP DET NOUN PUNCT VERB,"innovation , Blédina du jour",", Blédina du","innovation , Blédina","son innovation , Blédina","de son innovation , Blédina",Blédina du jour,"Blédina du jour ,","Blédina du jour , lancer"
http://www.zonebourse.com/PROLOGUE-40216/actualite/PROLOGUE--SIGNE-UN-ACCORD-DE-FINANCEMENT-AVEC-UN-FONDS-DINVESTISSEMENT-AMERICAIN-18175255/,zonebourse.com,2014-03-28,===NONE===,Blédina/NAM/Blédina,"Les  technologies  du  Groupe  sont  utilisées  par  des  entreprises  prestigieuses  en  France  et  à  l'  étranger  comme  :  Generali  ,  Société  Générale  ,  Orange  ,  SFR  ,  LVMH  ,  Vilmorin  ,  Immobilière  3  F  ,  MASSA  Autopneu  ,  J.C.  Decaux  ,  Facom  ,  Telefonica  ,  REALE  Assurances  ,  Toyota  ,  Adecco  ,  TINSA  ,  Inter-parfums  ,  NEXITY  ,  Jones  Lang  Lasalle  ,  AENA  ,  ATOS  ,  EMC  , Blédina  ,  Siemens  ,  Liebherr  Aerospace  ,  Eurocopter  ,  Kone  ,  Uponor  ,  Cadyssa  /  Bodybel  . </doc>",blédina,nam,blédina,",",",",PUNCT,EMC,EMC,ABR,",",",",PUNCT,ATOS,ATOS,PROPN,",",",",PUNCT,",",",",PUNCT,Siemens,Siemens,PROPN,",",",",PUNCT,Liebherr,Liebherr,PROPN,Aerospace,Aerospace,PROPN,2014-03-28,2014,2010,ABR PUNCT Blédina PUNCT PROPN,PUNCT Blédina PUNCT,ABR PUNCT Blédina,PUNCT ABR PUNCT Blédina,PROPN PUNCT ABR PUNCT Blédina,Blédina PUNCT PROPN,Blédina PUNCT PROPN PUNCT,Blédina PUNCT PROPN PUNCT PROPN,"EMC , Blédina , Siemens",", Blédina ,","EMC , Blédina",", EMC , Blédina","ATOS , EMC , Blédina","Blédina , Siemens","Blédina , Siemens ,","Blédina , Siemens , Liebherr"
http://www.terraeco.net/Qu-y-a-t-il-dans-les-petits-pots%2C53616.html,terraeco.net,2014-04-22,===NONE===,Blédina/NAM/Blédina,"Ainsi  , Blédina  annonce  réaliser  ,  en  tout  ,  entre  200  et  300  contrôles  sur  les  matières  premières  ,  puis  une  centaine  sur  le  produit  en  cours  et  en  fin  de  fabrication  .",blédina,nam,blédina,",",",",PUNCT,Ainsi,ainsi,ADV,,,,,,,,,,annonce,annoncer,VERB,réaliser,réaliser,VERB,",",",",PUNCT,en,en,ADP,tout,tout,ADV,2014-04-22,2014,2010,ADV PUNCT Blédina VERB VERB,PUNCT Blédina VERB,ADV PUNCT Blédina,,,Blédina VERB VERB,Blédina VERB VERB PUNCT,Blédina VERB VERB PUNCT ADP,"ainsi , Blédina annoncer réaliser",", Blédina annoncer","ainsi , Blédina",,,Blédina annoncer réaliser,"Blédina annoncer réaliser ,","Blédina annoncer réaliser , en"
http://www.terraeco.net/Qu-y-a-t-il-dans-les-petits-pots%2C53616.html,terraeco.net,2014-04-22,===NONE===,Blédina/NAM/Blédina,"Anne-Sophie  Vittaz  ,  responsable  qualité  de Blédina  -  leader  du  secteur  avec  120  millions  de  petits  pots  fabriqués  chaque  année  et  près  de  la  moitié  des  parts  du  marché  de  la  ""  babyfood  ""  -  ,  assure  ,  elle  ,  que  ses  équipes  se  rendent  régulièrement  chez  les  agriculteurs  .",blédina,nam,blédina,de,de,ADP,qualité,qualité,NOUN,responsable,responsable,ADJ,",",",",PUNCT,Vittaz,Vittaz,PROPN,-,-,PUNCT,leader,leader,NOUN,du,du,ADP DET,secteur,secteur,NOUN,avec,avec,ADP,2014-04-22,2014,2010,NOUN ADP Blédina PUNCT NOUN,ADP Blédina PUNCT,NOUN ADP Blédina,ADJ NOUN ADP Blédina,PUNCT ADJ NOUN ADP Blédina,Blédina PUNCT NOUN,Blédina PUNCT NOUN ADP DET,Blédina PUNCT NOUN ADP DET NOUN,qualité de Blédina - leader,de Blédina -,qualité de Blédina,responsable qualité de Blédina,", responsable qualité de Blédina",Blédina - leader,Blédina - leader du,Blédina - leader du secteur
http://www.terraeco.net/Qu-y-a-t-il-dans-les-petits-pots%2C53616.html,terraeco.net,2014-04-22,===NONE===,Blédina/NAM/Blédina,"Au  final  ,  pour  ses  fruits  , Blédina  se  fournit  à  85  %  en  France  et  en  Italie  .  95  %  des  légumes  sont  européens  ;  les  5  %  restants  proviennent  d'  Amérique  du  Sud  (  pour  les  tomates  )  et  les  aubergines  et  poivrons  de  Turquie  .",blédina,nam,blédina,",",",",PUNCT,fruits,fruit,NOUN,ses,son,DET,pour,pour,ADP,",",",",PUNCT,se,se,PRON,fournit,fournir,VERB,à,à,ADP,85,@card@,ADJ,%,%,SYM,2014-04-22,2014,2010,NOUN PUNCT Blédina PRON VERB,PUNCT Blédina PRON,NOUN PUNCT Blédina,DET NOUN PUNCT Blédina,ADP DET NOUN PUNCT Blédina,Blédina PRON VERB,Blédina PRON VERB ADP,Blédina PRON VERB ADP ADJ,"fruit , Blédina se fournir",", Blédina se","fruit , Blédina","son fruit , Blédina","pour son fruit , Blédina",Blédina se fournir,Blédina se fournir à,Blédina se fournir à @card@
http://www.terraeco.net/Qu-y-a-t-il-dans-les-petits-pots%2C53616.html,terraeco.net,2014-04-22,===NONE===,Blédina/NAM/Blédina," Blédina  essaye  également  ,  progressivement  ,  de  se  passer  d'  amidon  de  maïs  dans  ses  recettes  .",blédina,nam,blédina,,,,,,,,,,,,,,,,essaye,essayer,VERB,également,également,ADV,",",",",PUNCT,progressivement,progressivement,ADV,",",",",PUNCT,2014-04-22,2014,2010,,,,,,Blédina VERB ADV,Blédina VERB ADV PUNCT,Blédina VERB ADV PUNCT ADV,,,,,,Blédina essayer également,"Blédina essayer également ,","Blédina essayer également , progressivement"
