url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lematin.ch/people/Ce-sont-tous-des-idiots-botoxes/story/10756129,lematin.ch,2014-01-02,Switzerland,botoxés/VER:pper/botoxés,"<doc uri=http://www.lematin.ch/people/Ce-sont-tous-des-idiots-botoxes/story/10756129 website=lematin.ch date=2014-01-02 source_country=Switzerland> /""/PUN:cit /ce/PRO:DEM /être/VER:pres /tout/PRO:IND /du/PRP:det /idiot/NOM botoxés  """,botoxés,ver:pper,botoxés,idiots,idiot,NOUN,des,du,ADP DET,tous,tout,PRON,sont,être,VERB,Ce,ce,PRON,"""","""",PUNCT,,,,,,,,,,,,,2014-01-02,2014,2010,,NOUN Botox PUNCT,ADP DET NOUN Botox,PRON ADP DET NOUN Botox,VERB PRON ADP DET NOUN Botox,,,,,"idiot Botox """,du idiot Botox,tout du idiot Botox,être tout du idiot Botox,,,
http://www.lematin.ch/people/Ce-sont-tous-des-idiots-botoxes/story/10756129,lematin.ch,2014-01-02,Switzerland,Botox/NAM/Botox,Alors  comprenez  ma  déception  quand  j'  ai  vu  qu'  il  n'  y  avait  chez  les  stars  que  des  idiots  bourrés  de Botox  qui  puent  le  désespoir  .,botox,nam,botox,de,de,ADP,bourrés,bourrer,VERB,idiots,idiot,NOUN,des,du,ADP DET,que,que,CONJ,qui,qui,PRON,puent,puer,VERB,le,le,DET,désespoir,désespoir,NOUN,.,.,PUNCT,2014-01-02,2014,2010,VERB ADP Botox PRON VERB,ADP Botox PRON,VERB ADP Botox,NOUN VERB ADP Botox,ADP DET NOUN VERB ADP Botox,Botox PRON VERB,Botox PRON VERB DET,Botox PRON VERB DET NOUN,bourrer de Botox qui puer,de Botox qui,bourrer de Botox,idiot bourrer de Botox,du idiot bourrer de Botox,Botox qui puer,Botox qui puer le,Botox qui puer le désespoir
http://www.lexpress.fr/styles/beaute/l-ideal-feminin-des-americains-la-francaise-qui-vieillit-sans-lifting_1311168.html,lexpress.fr,2014-01-02,France,Botox/NOM/Botox,"Alors  ,  dans  son  dernier  ouvrage  qui  donne  ""  le  secret  de  vieillir  avec  style  et  allure  ""  ,  celle  que  l'  on  a  surnommée  au  Etats-Unis  ""  la  grande  prêtresse  de  la  sagesse  française  ""  dit  ""  Non  à  l'  aiguille  ""  qui  injecte  l'  antirides Botox  .",botox,nom,botox,antirides,antirides,ADJ,l',le,DET,injecte,injecter,VERB,qui,qui,PRON,"""","""",PUNCT,.,.,PUNCT,,,,,,,,,,,,,2014-01-02,2014,2010,,ADJ Botox PUNCT,DET ADJ Botox,VERB DET ADJ Botox,PRON VERB DET ADJ Botox,,,,,antirides Botox .,le antirides Botox,injecter le antirides Botox,qui injecter le antirides Botox,,,
http://www.7sur7.be/7s7/fr/1525/Tendances/article/detail/1767373/2014/01/03/Jane-Seymour-etourdissante-a-62-ans.dhtml,7sur7.be,2014-01-03,Belgium,Botox/NAM/Botox,"Elle  a  eu  des  implants  mammaires  après  la  naissance  de  ses  jumeaux  en  1995  ,  un  lifting  mineur  des  yeux  et  des  injections  de Botox  .",botox,nam,botox,de,de,ADP,injections,injection,NOUN,des,du,ADP DET,et,et,CONJ,yeux,œil,NOUN,.,.,PUNCT,,,,,,,,,,,,,2014-01-03,2014,2010,,ADP Botox PUNCT,NOUN ADP Botox,ADP DET NOUN ADP Botox,CONJ ADP DET NOUN ADP Botox,,,,,de Botox .,injection de Botox,du injection de Botox,et du injection de Botox,,,
http://www.tdg.ch/lesquotidiennes/blogs/-C-est-a-vous-la-Range-Rover--/story/27505846,tdg.ch,2014-01-03,Switzerland,botoxés/VER:pper/botoxés,"C'  est  la  guerre  entre  vous  ,  juchée  sur  vos  quatre  pneus botoxés  ,  et  eux  ,  les  purs  ,  en  bas  .",botoxés,ver:pper,botoxés,pneus,pneu,NOUN,quatre,quatre,ADJ,vos,votre,DET,sur,sur,ADP,juchée,jucher,VERB,",",",",PUNCT,et,et,CONJ,eux,eux,PRON,",",",",PUNCT,les,le,DET,2014-01-03,2014,2010,ADJ NOUN Botox PUNCT CONJ,NOUN Botox PUNCT,ADJ NOUN Botox,DET ADJ NOUN Botox,ADP DET ADJ NOUN Botox,Botox PUNCT CONJ,Botox PUNCT CONJ PRON,Botox PUNCT CONJ PRON PUNCT,"quatre pneu Botox , et","pneu Botox ,",quatre pneu Botox,votre quatre pneu Botox,sur votre quatre pneu Botox,"Botox , et","Botox , et eux","Botox , et eux ,"
http://www.tdg.ch/lesquotidiennes/blogs/Quatre-francs-cinquante-pour-Angelina/story/30895560,tdg.ch,2014-01-03,Switzerland,botoxé/VER:pper/botoxé,"Derrière  le  comptoir botoxé  de  chocolats  et  de  grilles  de  loto  ,  deux  vendeuses  ,  la  cinquantaine  .",botoxé,ver:pper,botoxé,comptoir,comptoir,NOUN,le,le,DET,Derrière,derrière,ADP,,,,,,,de,de,ADP,chocolats,chocolat,NOUN,et,et,CONJ,de,de,ADP,grilles,grille,NOUN,2014-01-03,2014,2010,DET NOUN Botox ADP NOUN,NOUN Botox ADP,DET NOUN Botox,ADP DET NOUN Botox,,Botox ADP NOUN,Botox ADP NOUN CONJ,Botox ADP NOUN CONJ ADP,le comptoir Botox de chocolat,comptoir Botox de,le comptoir Botox,derrière le comptoir Botox,,Botox de chocolat,Botox de chocolat et,Botox de chocolat et de
http://journalmetro.com/culture/427267/cameron-diaz-regrette-la-chirurgie-esthetique/,journalmetro.com,2014-01-07,Canada,Botox/NAM/Botox,"L'  actrice  de  41  ans  ,  Cameron  Diaz  ,  admet  que  l'  opération  au Botox  a  changé  son  visage  ""  d'  une  façon  vraiment  bizarre  ""  ,  a-t-elle  confié  à  ET  online  .",botox,nam,botox,au,au,ADP DET,opération,opération,NOUN,l',le,DET,que,que,CONJ,admet,admettre,VERB,a,avoir,VERB,changé,changer,VERB,son,son,DET,visage,visage,NOUN,"""","""",PUNCT,2014-01-07,2014,2010,NOUN ADP DET Botox VERB VERB,ADP DET Botox VERB,NOUN ADP DET Botox,DET NOUN ADP DET Botox,CONJ DET NOUN ADP DET Botox,Botox VERB VERB,Botox VERB VERB DET,Botox VERB VERB DET NOUN,opération au Botox avoir changer,au Botox avoir,opération au Botox,le opération au Botox,que le opération au Botox,Botox avoir changer,Botox avoir changer son,Botox avoir changer son visage
http://journalmetro.com/culture/427267/cameron-diaz-regrette-la-chirurgie-esthetique/,journalmetro.com,2014-01-07,Canada,Botox/NOM/Botox,"Diaz  ,  qui  fait  la  promotion  de  son  livre  The  Body  Book  ,  se  dit  très  à  l'  aise  avec  ses  pattes  d'  oie  lorsqu'  elle  sourit  ,  et  ne  veut  plus  toucher  au Botox  .",botox,nom,botox,au,au,ADP DET,toucher,toucher,VERB,plus,plus,ADV,veut,vouloir,VERB,ne,ne,ADV,.,.,PUNCT,,,,,,,,,,,,,2014-01-07,2014,2010,,ADP DET Botox PUNCT,VERB ADP DET Botox,ADV VERB ADP DET Botox,VERB ADV VERB ADP DET Botox,,,,,au Botox .,toucher au Botox,plus toucher au Botox,vouloir plus toucher au Botox,,,
http://www.7sur7.be/7s7/fr/1527/People/article/detail/1769680/2014/01/07/Pourquoi-Cameron-Diaz-n-utilisera-plus-de-Botox.dhtml,7sur7.be,2014-01-07,Belgium,Botox/NAM/Botox,<doc uri=http://www.7sur7.be/7s7/fr/1527/People/article/detail/1769680/2014/01/07/Pourquoi-Cameron-Diaz-n-utilisera-plus-de-Botox.dhtml website=7sur7.be date=2014-01-07 source_country=Belgium> /pourquoi/ADV /Cameron/NAM /Diaz/NAM /ne/ADV /utiliser/VER:futu /plus/ADV /de/PRP Botox ,botox,nam,botox,de,de,ADP,plus,plus,ADV,utilisera,utiliser,VERB,n',ne,ADV,Diaz,Diaz,PROPN,,,,,,,,,,,,,,,,2014-01-07,2014,2010,,,ADV ADP Botox,VERB ADV ADP Botox,ADV VERB ADV ADP Botox,,,,,,plus de Botox,utiliser plus de Botox,ne utiliser plus de Botox,,,
http://www.7sur7.be/7s7/fr/1527/People/article/detail/1769680/2014/01/07/Pourquoi-Cameron-Diaz-n-utilisera-plus-de-Botox.dhtml,7sur7.be,2014-01-07,Belgium,botox/NOM/botox,"""  J'  ai  eu  recours  au botox  par  petites  touches  .",botox,nom,botox,au,au,ADP DET,recours,recours,NOUN,eu,avoir,VERB,ai,avoir,VERB,J',je,PRON,par,par,ADP,petites,petit,ADJ,touches,touche,NOUN,.,.,PUNCT,,,,2014-01-07,2014,2010,NOUN ADP DET Botox ADP ADJ,ADP DET Botox ADP,NOUN ADP DET Botox,VERB NOUN ADP DET Botox,VERB VERB NOUN ADP DET Botox,Botox ADP ADJ,Botox ADP ADJ NOUN,Botox ADP ADJ NOUN PUNCT,recours au Botox par petit,au Botox par,recours au Botox,avoir recours au Botox,avoir avoir recours au Botox,Botox par petit,Botox par petit touche,Botox par petit touche .
http://www.terrafemina.com/societe/buzz/articles/35823-cameron-diaz-a-decide-darreter-le-botox.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BTerrafeminaNews%2B%2528TerrafeminaNews%2529,terrafemina.com,2014-01-09,France,Botox/NAM/Botox,<doc uri=http://www.terrafemina.com/societe/buzz/articles/35823-cameron-diaz-a-decide-darreter-le-botox.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BTerrafeminaNews%2B%2528TerrafeminaNews%2529 website=terrafemina.com date=2014-01-09 source_country=France> /Buzz/NAM /:/PUN /Cameron/NAM /Diaz/NAM /avoir/VER:pres /décider/VER:pper /de/PRP /arrêter/VER:infi /le/DET:ART Botox ,botox,nam,botox,le,le,DET,arrêter,arrêter,VERB,d',de,ADP,décidé,décider,VERB,a,avoir,VERB,,,,,,,,,,,,,,,,2014-01-09,2014,2010,,,VERB DET Botox,ADP VERB DET Botox,VERB ADP VERB DET Botox,,,,,,arrêter le Botox,de arrêter le Botox,décider de arrêter le Botox,,,
http://www.terrafemina.com/societe/buzz/articles/35823-cameron-diaz-a-decide-darreter-le-botox.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BTerrafeminaNews%2B%2528TerrafeminaNews%2529,terrafemina.com,2014-01-09,France,Botox/NOM/Botox,"Venue  faire  la  promotion  de  son  livre  consacré  au  bien-être  ,  Cameron  Diaz  a  confié  sur  le  plateau  d'  Entertainment  Tonight  avoir  succombé  au Botox  .",botox,nom,botox,au,au,ADP DET,succombé,succomber,VERB,avoir,avoir,VERB,Tonight,Tonight,NOUN,Entertainment,Entertainment,NOUN,.,.,PUNCT,,,,,,,,,,,,,2014-01-09,2014,2010,,ADP DET Botox PUNCT,VERB ADP DET Botox,VERB VERB ADP DET Botox,NOUN VERB VERB ADP DET Botox,,,,,au Botox .,succomber au Botox,avoir succomber au Botox,Tonight avoir succomber au Botox,,,
http://www.terrafemina.com/societe/buzz/articles/35823-cameron-diaz-a-decide-darreter-le-botox.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BTerrafeminaNews%2B%2528TerrafeminaNews%2529,terrafemina.com,2014-01-09,France,Botox/NAM/Botox,"Venue  sur  le  plateau  de  l'  émission  Entertainment  Tonight  pour  présenter  son  livre  ,  The  Body  Book  ,  consacré  au  bien-être  ,  la  star  a  avoué  avoir  eu  recours  au Botox  ,  technique  d'  injection  très  prisée  des  actrices  hollywoodiennes  pour  combler  les  rides  .",botox,nam,botox,au,au,ADP DET,recours,recours,NOUN,eu,avoir,VERB,avoir,avoir,VERB,avoué,avouer,VERB,",",",",PUNCT,technique,technique,NOUN,d',de,ADP,injection,injection,NOUN,très,très,ADV,2014-01-09,2014,2010,NOUN ADP DET Botox PUNCT NOUN,ADP DET Botox PUNCT,NOUN ADP DET Botox,VERB NOUN ADP DET Botox,VERB VERB NOUN ADP DET Botox,Botox PUNCT NOUN,Botox PUNCT NOUN ADP,Botox PUNCT NOUN ADP NOUN,"recours au Botox , technique","au Botox ,",recours au Botox,avoir recours au Botox,avoir avoir recours au Botox,"Botox , technique","Botox , technique de","Botox , technique de injection"
http://www.terrafemina.com/societe/buzz/articles/35823-cameron-diaz-a-decide-darreter-le-botox.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BTerrafeminaNews%2B%2528TerrafeminaNews%2529,terrafemina.com,2014-01-09,France,Botox/NAM/Botox,"Nicole  Kidman  ,  dont  l'  utilisation  excessive  de Botox  a  été  régulièrement  pointée  du  doigt  ,  a  récemment  confié  regretter  d'  avoir  eu  recours  à  cette  technique  pour  masquer  ses  rides  . </doc>",botox,nam,botox,de,de,ADP,excessive,excessif,ADJ,utilisation,utilisation,NOUN,l',le,DET,dont,dont,PRON,a,avoir,VERB,été,être,VERB,régulièrement,régulièrement,ADV,pointée,pointer,VERB,du,du,ADP DET,2014-01-09,2014,2010,ADJ ADP Botox VERB VERB,ADP Botox VERB,ADJ ADP Botox,NOUN ADJ ADP Botox,DET NOUN ADJ ADP Botox,Botox VERB VERB,Botox VERB VERB ADV,Botox VERB VERB ADV VERB,excessif de Botox avoir être,de Botox avoir,excessif de Botox,utilisation excessif de Botox,le utilisation excessif de Botox,Botox avoir être,Botox avoir être régulièrement,Botox avoir être régulièrement pointer
http://www.ladepeche.fr/article/2014/01/10/1791540-contre-la-douleur-c-est-evidemment-un-progres.html,ladepeche.fr,2014-01-10,France,Botox/NOM/Botox,"Avant  ,  on  leur  prescrivait  parfois  du Botox  ,  voire  on  leur  proposait  de  sectionner  un  muscle  .",botox,nom,botox,du,du,ADP DET,parfois,parfois,ADV,prescrivait,prescrire,VERB,leur,lui,PRON,on,on,PRON,",",",",PUNCT,voire,voire,ADV,on,on,PRON,leur,lui,PRON,proposait,proposer,VERB,2014-01-10,2014,2010,ADV ADP DET Botox PUNCT ADV,ADP DET Botox PUNCT,ADV ADP DET Botox,VERB ADV ADP DET Botox,PRON VERB ADV ADP DET Botox,Botox PUNCT ADV,Botox PUNCT ADV PRON,Botox PUNCT ADV PRON PRON,"parfois du Botox , voire","du Botox ,",parfois du Botox,prescrire parfois du Botox,lui prescrire parfois du Botox,"Botox , voire","Botox , voire on","Botox , voire on lui"
http://www.lamontagne.fr/auvergne/actualite/departement/puy-de-dome/riom/2014/01/12/luvre-dediee-a-saint-calmin-et-sainte-namadie-est-de-retour-a-labbaye-apres-restauration_1831645.html,lamontagne.fr,2014-01-12,France,botoxer/NOM/botoxer,"Mais  pas  trop  ,  attention  :  ""  Il  n'  était  pas  question  de  "" botoxer  ""  l'  '  uvre  ,  indique  Marie-Blanche  Potte  .",botoxer,nom,botoxer,"""","""",PUNCT,de,de,ADP,question,question,NOUN,pas,pas,ADV,était,être,VERB,"""","""",PUNCT,l',la|le,PRON,',',PUNCT,uvre,uvre,NOUN,",",",",PUNCT,2014-01-12,2014,2010,ADP PUNCT Botox PUNCT PRON,PUNCT Botox PUNCT,ADP PUNCT Botox,NOUN ADP PUNCT Botox,ADV NOUN ADP PUNCT Botox,Botox PUNCT PRON,Botox PUNCT PRON PUNCT,Botox PUNCT PRON PUNCT NOUN,"de "" Botox "" la|le",""" Botox ""","de "" Botox","question de "" Botox","pas question de "" Botox","Botox "" la|le","Botox "" la|le '","Botox "" la|le ' uvre"
