url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://next.liberation.fr/food/2014/04/09/les-garriguettes-sont-cuites_994523?xtor=rss-450,liberation.fr,2014-04-23,France,bouillon_Kub/NOM_NAM/bouillon_Kub,"On  en  connaît  ainsi  qu'  étaient  partis  acheter  un bouillon_Kub  chez  l'  Arabe  du  coin  et  qui  sont  revenus  ,  un  quinquennat  plus  tard  ,  avec  une  tribu  de  Mohicans  en  bandoulière  .",bouillon_kub,nom_nam,bouillon_kub,un,un,DET,acheter,acheter,VERB,partis,partir,VERB,étaient,être,VERB,qu',que,CONJ,chez,chez,ADP,l',le,DET,Arabe,arabe,NOUN,du,du,ADP DET,coin,coin,NOUN,2014-04-23,2014,2010,VERB DET Bouillon Kub ADP DET,DET Bouillon Kub ADP,VERB DET Bouillon Kub,VERB VERB DET Bouillon Kub,VERB VERB VERB DET Bouillon Kub,Bouillon Kub ADP DET,Bouillon Kub ADP DET NOUN,Bouillon Kub ADP DET NOUN ADP DET,acheter un Bouillon Kub chez le,un Bouillon Kub chez,acheter un Bouillon Kub,partir acheter un Bouillon Kub,être partir acheter un Bouillon Kub,Bouillon Kub chez le,Bouillon Kub chez le arabe,Bouillon Kub chez le arabe du
http://www.nordeclair.fr/info-locale/journal-de-paul-destombes-combien-sont-partis-de-roubaix-ia50b12891n456327?xtor=RSS-2,nordeclair.fr,2014-08-06,France,Bouillon_Kub/NAM_NAM/Bouillon_Kub,"Le  même  jour  ,  au  Croisé-Laroche  ,  le  père  et  le  fils  voient  un  sergent  en  train  de  décrocher  une  réclame  pour  le  "" Bouillon_Kub  ""  .",bouillon_kub,nam_nam,bouillon_kub,"""","""",PUNCT,le,le,DET,pour,pour,ADP,réclame,réclame,NOUN,une,un,DET,"""","""",PUNCT,.,.,PUNCT,,,,,,,,,,2014-08-06,2014,2010,DET PUNCT Bouillon Kub PUNCT PUNCT,PUNCT Bouillon Kub PUNCT,DET PUNCT Bouillon Kub,ADP DET PUNCT Bouillon Kub,NOUN ADP DET PUNCT Bouillon Kub,Bouillon Kub PUNCT PUNCT,,,"le "" Bouillon Kub "" .",""" Bouillon Kub ""","le "" Bouillon Kub","pour le "" Bouillon Kub","réclame pour le "" Bouillon Kub","Bouillon Kub "" .",,
http://www.le-perche.fr/32862/beau-temps-pour-les-musees/?utm_source=rss&utm_medium=rss&utm_campaign=beau-temps-pour-les-musees,le-perche.fr,2014-08-20,France,bouillon_Kub/NOM_NAM/bouillon_Kub,Il  faut  passer  au  milieu  du  rideau  estampillé bouillon_Kub  pour  pénétrer  le  Musée  du  commerce  et  des  marques  .,bouillon_kub,nom_nam,bouillon_kub,estampillé,estampiller,VERB,rideau,rideau,NOUN,du,du,ADP DET,milieu,milieu,NOUN,au,au,ADP DET,pour,pour,CONJ,pénétrer,pénétrer,VERB,le,le,DET,Musée,Musée,PROPN,du,du,ADP DET,2014-08-20,2014,2010,NOUN VERB Bouillon Kub CONJ VERB,VERB Bouillon Kub CONJ,NOUN VERB Bouillon Kub,ADP DET NOUN VERB Bouillon Kub,NOUN ADP DET NOUN VERB Bouillon Kub,Bouillon Kub CONJ VERB,Bouillon Kub CONJ VERB DET,Bouillon Kub CONJ VERB DET PROPN,rideau estampiller Bouillon Kub pour pénétrer,estampiller Bouillon Kub pour,rideau estampiller Bouillon Kub,du rideau estampiller Bouillon Kub,milieu du rideau estampiller Bouillon Kub,Bouillon Kub pour pénétrer,Bouillon Kub pour pénétrer le,Bouillon Kub pour pénétrer le Musée
http://www.nordeclair.fr/info-locale/une-expo-une-oeuvre-au-lam-a-villeneuve-d-ascq-g-jna49b0n462830?xtor=RSS-2,nordeclair.fr,2014-08-22,France,bouillon_Kub/NOM_NOM/bouillon_Kub,"On  note  principalement  la  représentation  cubique  de  la  terre  qui  renvoie  à  la  forme  du  fameux bouillon_Kub  sorti  en  1907  ,  la  même  année  que  l'  éclosion  du  cubisme  !  Comme  la  plupart  de  ses  collègues  ,  Lorin  ne  s'  est  pas  privé  d'  utiliser  la  forme  originale  du  produit  lancé  par  la  société  Maggi  (  ""  J'  ai  failli  avoir  la  tête  carrée  ""  ,  dit  la  légende  )  pour  se  moquer  des  cubistes  .",bouillon_kub,nom_nom,bouillon_kub,fameux,fameux,ADJ,du,du,ADP DET,forme,forme,NOUN,la,le,DET,à,à,ADP,sorti,sortir,VERB,en,en,ADP,1907,@card@,ADJ,",",",",PUNCT,la,le,DET,2014-08-22,2014,2010,ADP DET ADJ Bouillon Kub VERB ADP,ADJ Bouillon Kub VERB,ADP DET ADJ Bouillon Kub,NOUN ADP DET ADJ Bouillon Kub,DET NOUN ADP DET ADJ Bouillon Kub,Bouillon Kub VERB ADP,Bouillon Kub VERB ADP ADJ,Bouillon Kub VERB ADP ADJ PUNCT,du fameux Bouillon Kub sortir en,fameux Bouillon Kub sortir,du fameux Bouillon Kub,forme du fameux Bouillon Kub,le forme du fameux Bouillon Kub,Bouillon Kub sortir en,Bouillon Kub sortir en @card@,"Bouillon Kub sortir en @card@ ,"
http://www.lesechos.fr/tech-medias/medias/0203872150560-art-et-publicite-une-ambiguite-croissante-1055257.php?xtor=RSS38,lesechos.fr,2014-10-19,France,bouillon_Kub/NOM_NAM/bouillon_Kub,"Un  exemple  ?  En  1911  sort  une  campagne  d'  affichage  ,  conçue  par  Leonetto  Cappiello  pour  le bouillon_Kub  .",bouillon_kub,nom_nam,bouillon_kub,le,le,DET,pour,pour,ADP,Cappiello,Cappiello,PROPN,Leonetto,Leonetto,PROPN,par,par,ADP,.,.,PUNCT,,,,,,,,,,,,,2014-10-19,2014,2010,,DET Bouillon Kub PUNCT,ADP DET Bouillon Kub,PROPN ADP DET Bouillon Kub,PROPN PROPN ADP DET Bouillon Kub,,,,,le Bouillon Kub .,pour le Bouillon Kub,Cappiello pour le Bouillon Kub,Leonetto Cappiello pour le Bouillon Kub,,,
http://www.lesechos.fr/tech-medias/medias/0203872150560-art-et-publicite-une-ambiguite-croissante-1055257.php?xtor=RSS38,lesechos.fr,2014-10-19,France,bouillon_Kub/NOM_NOM/bouillon_Kub,"En  1914  ,  Piet  Mondrian  lui  emboîte  le  pas  ,  au  point  qu'  une  légende  naîtra  :  le  graphisme  du bouillon_Kub  aurait  inspiré  le  mouvement  cubiste  .",bouillon_kub,nom_nom,bouillon_kub,du,du,ADP DET,graphisme,graphisme,NOUN,le,le,DET,:,:,PUNCT,naîtra,naître,VERB,aurait,avoir,VERB,inspiré,inspirer,VERB,le,le,DET,mouvement,mouvement,NOUN,cubiste,cubiste,ADJ,2014-10-19,2014,2010,NOUN ADP DET Bouillon Kub VERB VERB,ADP DET Bouillon Kub VERB,NOUN ADP DET Bouillon Kub,DET NOUN ADP DET Bouillon Kub,PUNCT DET NOUN ADP DET Bouillon Kub,Bouillon Kub VERB VERB,Bouillon Kub VERB VERB DET,Bouillon Kub VERB VERB DET NOUN,graphisme du Bouillon Kub avoir inspirer,du Bouillon Kub avoir,graphisme du Bouillon Kub,le graphisme du Bouillon Kub,: le graphisme du Bouillon Kub,Bouillon Kub avoir inspirer,Bouillon Kub avoir inspirer le,Bouillon Kub avoir inspirer le mouvement
http://www.lemonde.fr/afrique/article/2015/03/06/en-afrique-du-cube-maggi-a-toutes-les-sauces_4588992_3212.html#xtor%3DRSS-3208,lemonde.fr,2015-03-06,France,bouillon_Kub/NOM_NAM/bouillon_Kub,Tous  les  cordons  bleus  disent  aujourd  '  hui  qu'  elles  ont  vu  leur  mère  et  leur  grand-mère  assaisonner  leurs  sauces  avec  le  fameux bouillon_Kub  .,bouillon_kub,nom_nam,bouillon_kub,fameux,fameux,ADJ,le,le,DET,avec,avec,ADP,sauces,sauce,NOUN,leurs,leur,DET,.,.,PUNCT,,,,,,,,,,,,,2015-03-06,2015,2010,,ADJ Bouillon Kub PUNCT,DET ADJ Bouillon Kub,ADP DET ADJ Bouillon Kub,NOUN ADP DET ADJ Bouillon Kub,,,,,fameux Bouillon Kub .,le fameux Bouillon Kub,avec le fameux Bouillon Kub,sauce avec le fameux Bouillon Kub,,,
http://www.lemonde.fr/afrique/article/2015/03/06/en-afrique-du-cube-maggi-a-toutes-les-sauces_4588992_3212.html#xtor%3DRSS-3208,lemonde.fr,2015-03-06,France,bouillon_Kub/NOM_NAM/bouillon_Kub,"""  Si  l'  affaire  devient  florissante  ,  elle  le  doit  à  l'  intense  travail  de  publicité  ,  on  pourrait  même  dire  de  propagande  ,  mené  par  Julius  Maggi  lui-même  ,  tant  pour  vanter  la  qualité  de  ses  produits  que  pour  barrer  la  concurrence  ""  ,  écrit  Monique  Pivot  dans  son  ouvrage  Maggi  et  la  magie  du bouillon_Kub  (  Ed  .",bouillon_kub,nom_nam,bouillon_kub,du,du,ADP DET,magie,magie,NOUN,la,le,DET,et,et,CONJ,Maggi,Maggi,PROPN,(,(,PUNCT,Ed,Ed,ABR,.,.,PUNCT,,,,,,,2015-03-06,2015,2010,NOUN ADP DET Bouillon Kub PUNCT ABR,ADP DET Bouillon Kub PUNCT,NOUN ADP DET Bouillon Kub,DET NOUN ADP DET Bouillon Kub,CONJ DET NOUN ADP DET Bouillon Kub,Bouillon Kub PUNCT ABR,Bouillon Kub PUNCT ABR PUNCT,,magie du Bouillon Kub ( Ed,du Bouillon Kub (,magie du Bouillon Kub,le magie du Bouillon Kub,et le magie du Bouillon Kub,Bouillon Kub ( Ed,Bouillon Kub ( Ed .,
http://tempsreel.nouvelobs.com/centrafrique/20150512.OBS8792/viols-en-centrafrique-l-honneur-sali-de-l-armee-francaise.html,nouvelobs.com,2015-05-13,France,Bouillon_Kub/NAM_NAM/Bouillon_Kub,"""  A  moins  de  20  mètres  du  petit  stand  où  il  vend  cigarettes  et  boîtes  de Bouillon_Kub  se  dressait  à  l'  époque  Alpha  2  ,  la  guérite  des  soldats  français  qui  sécurisaient  l'  aéroport  .",bouillon_kub,nam_nam,bouillon_kub,de,de,ADP,boîtes,boîte,NOUN,et,et,CONJ,cigarettes,cigarette,NOUN,vend,vendre,VERB,se,se,PRON,dressait,dresser,VERB,à,à,ADP,l',le,DET,époque,époque,NOUN,2015-05-13,2015,2010,NOUN ADP Bouillon Kub PRON VERB,ADP Bouillon Kub PRON,NOUN ADP Bouillon Kub,CONJ NOUN ADP Bouillon Kub,NOUN CONJ NOUN ADP Bouillon Kub,Bouillon Kub PRON VERB,Bouillon Kub PRON VERB ADP,Bouillon Kub PRON VERB ADP DET,boîte de Bouillon Kub se dresser,de Bouillon Kub se,boîte de Bouillon Kub,et boîte de Bouillon Kub,cigarette et boîte de Bouillon Kub,Bouillon Kub se dresser,Bouillon Kub se dresser à,Bouillon Kub se dresser à le
http://next.liberation.fr/food/2015/09/30/le-mug-en-fer-vieux-copain-a-tout-faire_1393985?xtor=rss-450,liberation.fr,2015-10-01,France,bouillon_Kub/NOM_NAM/bouillon_Kub,"Il  nous  arrive  aussi  de  l'  enrôler  aux  fourneaux  quand  ,  pris  d'  une  envie  de  blanquette  ou  d'  autres  cocottes  mijotées  ,  on  lui  fait  dissoudre  le bouillon_Kub  qui  corsera  la  sauce  .",bouillon_kub,nom_nam,bouillon_kub,le,le,DET,dissoudre,dissoudre,VERB,fait,faire,VERB,lui,lui,PRON,on,on,PRON,qui,qui,PRON,corsera,corser,VERB,la,le,DET,sauce,sauce,NOUN,.,.,PUNCT,2015-10-01,2015,2010,VERB DET Bouillon Kub PRON VERB,DET Bouillon Kub PRON,VERB DET Bouillon Kub,VERB VERB DET Bouillon Kub,PRON VERB VERB DET Bouillon Kub,Bouillon Kub PRON VERB,Bouillon Kub PRON VERB DET,Bouillon Kub PRON VERB DET NOUN,dissoudre le Bouillon Kub qui corser,le Bouillon Kub qui,dissoudre le Bouillon Kub,faire dissoudre le Bouillon Kub,lui faire dissoudre le Bouillon Kub,Bouillon Kub qui corser,Bouillon Kub qui corser le,Bouillon Kub qui corser le sauce
http://www.cherbourg.maville.com/actu/actudet_-exposition-a-orval-le-bouillons-kub-revele-les-saveurs-de-l-art_fil-2865675_actu.Htm?xtor=RSS-4&utm_source=RSS_MVI_cherbourg&utm_medium=RSS&utm_campaign=RSS,maville.com,2015-11-12,===NONE===,Bouillons_Kub/NAM_NAM/Bouillons_Kub,<doc uri=http://www.cherbourg.maville.com/actu/actudet_-exposition-a-orval-le-bouillons-kub-revele-les-saveurs-de-l-art_fil-2865675_actu.Htm?xtor=RSS-4&utm_source=RSS_MVI_cherbourg&utm_medium=RSS&utm_campaign=RSS website=maville.com date=2015-11-12 source_country=> /exposition/NOM /à/PRP /Orval/NAM /:/PUN /le/DET:ART Bouillons_Kub  révèle  les  saveurs  de  l'  art  (  Ouest-France  ),bouillons_kub,nam_nam,bouillons_kub,Le,le,DET,:,:,PUNCT,Orval,Orval,PROPN,à,à,ADP,Exposition,exposition,NOUN,révèle,révéler,VERB,les,le,DET,saveurs,saveur,NOUN,de,de,ADP,l',le,DET,2015-11-12,2015,2010,PUNCT DET Bouillon Kub VERB DET,DET Bouillon Kub VERB,PUNCT DET Bouillon Kub,PROPN PUNCT DET Bouillon Kub,ADP PROPN PUNCT DET Bouillon Kub,Bouillon Kub VERB DET,Bouillon Kub VERB DET NOUN,Bouillon Kub VERB DET NOUN ADP,: le Bouillon Kub révéler le,le Bouillon Kub révéler,: le Bouillon Kub,Orval : le Bouillon Kub,à Orval : le Bouillon Kub,Bouillon Kub révéler le,Bouillon Kub révéler le saveur,Bouillon Kub révéler le saveur de
