url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lesechos.fr/entreprises-secteurs/energie-environnement/actu/afp-00584124-la-bourse-de-paris-attendue-en-hausse-a-l-aube-d-une-semaine-de-resultats-650984.php?xtor=RSS-2007,lesechos.fr,2014-02-17,France,Caprice_des_Dieux/NOM_PRP:det_NOM/caprice_du_Dieu,"BONGRAIN  ,  le  groupe  fromager  connu  pour  ses  marques  Elle  et  Vire  , Caprice_des_Dieux  et  St  Moret  ,  a  résisté  à  la  flambée  des  prix  du  lait  en  2013  défendant  un  chiffre  d'  affaires  en  hausse  de  près  de  8  %  .",caprice_des_dieux,nom_prp:det_nom,caprice_du_dieu,",",",",PUNCT,Vire,Vire,PROPN,et,et,CONJ,Elle,Elle,PROPN,marques,marque,NOUN,et,et,CONJ,St,St,PROPN,Moret,Moret,PROPN,",",",",PUNCT,a,avoir,VERB,2014-02-17,2014,2010,PROPN PUNCT Caprice des Dieux CONJ PROPN,PUNCT Caprice des Dieux CONJ,PROPN PUNCT Caprice des Dieux,CONJ PROPN PUNCT Caprice des Dieux,PROPN CONJ PROPN PUNCT Caprice des Dieux,Caprice des Dieux CONJ PROPN,Caprice des Dieux CONJ PROPN PROPN,Caprice des Dieux CONJ PROPN PROPN PUNCT,"Vire , Caprice des Dieux et St",", Caprice des Dieux et","Vire , Caprice des Dieux","et Vire , Caprice des Dieux","Elle et Vire , Caprice des Dieux",Caprice des Dieux et St,Caprice des Dieux et St Moret,"Caprice des Dieux et St Moret ,"
http://www.zonebourse.com/BONGRAIN-5217/actualite/Bongrain-Lannee-2014-a-bien-debute-sauf-en-France-18059683/,zonebourse.com,2014-03-06,===NONE===,Caprice_des_dieux/NOM_PRP:det_NOM/caprice_du_dieu,"La  situation  reste  difficile  en  France  avec  l'  évolution  défavorable  du  prix  du  lait  et  la  difficulté  à  ajuster  les  tarifs  en  conséquence  ""  a  déclaré  le  groupe  de  transformation  de  lait  ( Caprice_des_dieux  ,  Tartare  )  dans  un  communiqué  .",caprice_des_dieux,nom_prp:det_nom,caprice_du_dieu,(,(,PUNCT,lait,lait,NOUN,de,de,ADP,transformation,transformation,NOUN,de,de,ADP,",",",",PUNCT,Tartare,Tartare,PROPN,),),PUNCT,dans,dans,ADP,un,un,DET,2014-03-06,2014,2010,NOUN PUNCT Caprice des Dieux PUNCT PROPN,PUNCT Caprice des Dieux PUNCT,NOUN PUNCT Caprice des Dieux,ADP NOUN PUNCT Caprice des Dieux,NOUN ADP NOUN PUNCT Caprice des Dieux,Caprice des Dieux PUNCT PROPN,Caprice des Dieux PUNCT PROPN PUNCT,Caprice des Dieux PUNCT PROPN PUNCT ADP,"lait ( Caprice des Dieux , Tartare","( Caprice des Dieux ,",lait ( Caprice des Dieux,de lait ( Caprice des Dieux,transformation de lait ( Caprice des Dieux,"Caprice des Dieux , Tartare","Caprice des Dieux , Tartare )","Caprice des Dieux , Tartare ) dans"
http://www.zonebourse.com/BONGRAIN-5217/actualite/BONGRAIN--en-repli-la-hausse-du-prix-du-lait-pese-sur-les-resultats-est-perspectives-18062782/,zonebourse.com,2014-03-07,===NONE===,Caprice_des_dieux/NOM_PRP:det_NOM/caprice_du_dieu,"La  rentabilité  du  fabricant  du Caprice_des_dieux  et  du  Tartare  a  été  affectée  par  l'  augmentation  du  prix  du  lait  (  +  8,3  %  en  2013  ,  dont  +13,1  %  au  second  semestre  )  ,  non  totalement  répercutée  dans  les  tarifs  .",caprice_des_dieux,nom_prp:det_nom,caprice_du_dieu,du,du,ADP DET,fabricant,fabricant,NOUN,du,du,ADP DET,rentabilité,rentabilité,NOUN,La,le,DET,et,et,CONJ,du,du,ADP DET,Tartare,Tartare,PROPN,a,avoir,VERB,été,être,VERB,2014-03-07,2014,2010,NOUN ADP DET Caprice des Dieux CONJ ADP DET,ADP DET Caprice des Dieux CONJ,NOUN ADP DET Caprice des Dieux,ADP DET NOUN ADP DET Caprice des Dieux,NOUN ADP DET NOUN ADP DET Caprice des Dieux,Caprice des Dieux CONJ ADP DET,Caprice des Dieux CONJ ADP DET PROPN,Caprice des Dieux CONJ ADP DET PROPN VERB,fabricant du Caprice des Dieux et du,du Caprice des Dieux et,fabricant du Caprice des Dieux,du fabricant du Caprice des Dieux,rentabilité du fabricant du Caprice des Dieux,Caprice des Dieux et du,Caprice des Dieux et du Tartare,Caprice des Dieux et du Tartare avoir
http://www.zonebourse.com/BONGRAIN-5217/actualite/BONGRAIN--penalise-par-la-hausse-des-prix-du-lait-18064766/,zonebourse.com,2014-03-07,===NONE===,Caprice_des_dieux/ADJ_PRP:det_NOM/Caprice_du_dieu,"En  dépit  d'  un  chiffre  d'  affaires  annuel  en  hausse  de  7,9  %  à  4,407  milliards  d'  euros  ,  le  fabricant  des  fromages Caprice_des_dieux  et  Tartare  a  réalisé  un  résultat  opérationnel  courant  de  153,7  millions  ,  en  progression  de  seulement  2,9  %  .",caprice_des_dieux,adj_prp:det_nom,caprice_du_dieu,fromages,fromage,NOUN,des,du,ADP DET,fabricant,fabricant,NOUN,le,le,DET,",",",",PUNCT,et,et,CONJ,Tartare,Tartare,PROPN,a,avoir,VERB,réalisé,réaliser,VERB,un,un,DET,2014-03-07,2014,2010,ADP DET NOUN Caprice des Dieux CONJ PROPN,NOUN Caprice des Dieux CONJ,ADP DET NOUN Caprice des Dieux,NOUN ADP DET NOUN Caprice des Dieux,DET NOUN ADP DET NOUN Caprice des Dieux,Caprice des Dieux CONJ PROPN,Caprice des Dieux CONJ PROPN VERB,Caprice des Dieux CONJ PROPN VERB VERB,du fromage Caprice des Dieux et Tartare,fromage Caprice des Dieux et,du fromage Caprice des Dieux,fabricant du fromage Caprice des Dieux,le fabricant du fromage Caprice des Dieux,Caprice des Dieux et Tartare,Caprice des Dieux et Tartare avoir,Caprice des Dieux et Tartare avoir réaliser
http://www.lefigaro.fr/conso/2014/03/14/05007-20140314ARTFIG00139-skip-contrex-ou-danette-les-produits-que-l-on-a-tous-achetes-en-2013.php,lefigaro.fr,2014-03-14,France,Caprice_des_Dieux/NAM_PRP:det_NOM/Caprice_du_Dieu,"Danone  est  4  ème  ,  grâce  à  ses  yaourts  Activia  ,  Danette  ou  encore  Jockey  ;  Lactalis  est  5  ème  ,  avec  ses  fromages  Chaussée  aux  Moines  ,  Président  ou  encore  Galbani  ;  Bongrain  (  6  ème  )  profite  également  de  notre  goût  prononcé  pour  le  lait  coagulé  ,  avec  ses  marques  Riches  Monts  ,  Saint-Morêt  ou Caprice_des_Dieux  ;  et  Yoplait  ,  connu  pour  ses  desserts  et  encas  laitiers  (  Yop  ,  Calin  ou  encore  Petits  Filous  )  est  9  ème  .",caprice_des_dieux,nam_prp:det_nom,caprice_du_dieu,ou,ou,CONJ,Saint-Morêt,Saint-Morêt,PROPN,",",",",PUNCT,Monts,Monts,PROPN,Riches,Riches,PROPN,;,;,PUNCT,et,et,CONJ,Yoplait,Yoplait,PROPN,",",",",PUNCT,connu,connaître,VERB,2014-03-14,2014,2010,PROPN CONJ Caprice des Dieux PUNCT CONJ,CONJ Caprice des Dieux PUNCT,PROPN CONJ Caprice des Dieux,PUNCT PROPN CONJ Caprice des Dieux,PROPN PUNCT PROPN CONJ Caprice des Dieux,Caprice des Dieux PUNCT CONJ,Caprice des Dieux PUNCT CONJ PROPN,Caprice des Dieux PUNCT CONJ PROPN PUNCT,Saint-Morêt ou Caprice des Dieux ; et,ou Caprice des Dieux ;,Saint-Morêt ou Caprice des Dieux,", Saint-Morêt ou Caprice des Dieux","Monts , Saint-Morêt ou Caprice des Dieux",Caprice des Dieux ; et,Caprice des Dieux ; et Yoplait,"Caprice des Dieux ; et Yoplait ,"
http://www.usinenouvelle.com/article/bongrain-veut-developper-une-marque-mondiale-de-fromages.N248194#xtor%3DRSS-215,usinenouvelle.com,2014-03-14,===NONE===,Caprice_des_Dieux/ADJ_PRP:det_NOM/Caprice_du_Dieu,"Le  groupe  familial  ,  spécialisé  dans  les  spécialités  fromagères  ,  avec  des  marques  aussi  connues  que Caprice_des_Dieux  ,  St-Moret  ,  Tartare  ou  Chavroux  ,  veut  développer  une  marque  mondiale  transversale  ,  sur  plusieurs  catégories  de  produits  .",caprice_des_dieux,adj_prp:det_nom,caprice_du_dieu,que,que,CONJ,connues,connu,ADJ,aussi,aussi,ADV,marques,marque,NOUN,des,du,ADP DET,",",",",PUNCT,St-Moret,St-Moret,PROPN,",",",",PUNCT,Tartare,Tartare,PROPN,ou,ou,CONJ,2014-03-14,2014,2010,ADJ CONJ Caprice des Dieux PUNCT PROPN,CONJ Caprice des Dieux PUNCT,ADJ CONJ Caprice des Dieux,ADV ADJ CONJ Caprice des Dieux,NOUN ADV ADJ CONJ Caprice des Dieux,Caprice des Dieux PUNCT PROPN,Caprice des Dieux PUNCT PROPN PUNCT,Caprice des Dieux PUNCT PROPN PUNCT PROPN,"connu que Caprice des Dieux , St-Moret","que Caprice des Dieux ,",connu que Caprice des Dieux,aussi connu que Caprice des Dieux,marque aussi connu que Caprice des Dieux,"Caprice des Dieux , St-Moret","Caprice des Dieux , St-Moret ,","Caprice des Dieux , St-Moret , Tartare"
http://rue89.nouvelobs.com/2014/04/10/peut-sortir-table-ayant-peu-faim-choix-frugalite-251377,nouvelobs.com,2014-04-10,===NONE===,Caprice_des_dieux/NOM_PRP:det_NOM/caprice_du_dieu,"""  On  paye  plus  cher  que  du Caprice_des_dieux  ,  mais  c'  est  du  vrai  fromage  au  lait  cru  .",caprice_des_dieux,nom_prp:det_nom,caprice_du_dieu,du,du,ADP DET,que,que,CONJ,cher,cher,ADV,plus,plus,ADV,paye,payer,VERB,",",",",PUNCT,mais,mais,CONJ,c',ce,PRON,est,être,VERB,du,du,ADP DET,2014-04-10,2014,2010,CONJ ADP DET Caprice des Dieux PUNCT CONJ,ADP DET Caprice des Dieux PUNCT,CONJ ADP DET Caprice des Dieux,ADV CONJ ADP DET Caprice des Dieux,ADV ADV CONJ ADP DET Caprice des Dieux,Caprice des Dieux PUNCT CONJ,Caprice des Dieux PUNCT CONJ PRON,Caprice des Dieux PUNCT CONJ PRON VERB,"que du Caprice des Dieux , mais","du Caprice des Dieux ,",que du Caprice des Dieux,cher que du Caprice des Dieux,plus cher que du Caprice des Dieux,"Caprice des Dieux , mais","Caprice des Dieux , mais ce","Caprice des Dieux , mais ce être"
http://www.lalibre.be/actu/international/un-speed-dating-avec-des-eurodeputes-belges-5370d28435704f05d691447e,lalibre.be,2014-05-12,Belgium,Caprice_des_Dieux/NOM_PRP:det_NOM/caprice_du_Dieu,"D'  autres  activités  seront  organisées  tout  au  long  de  la  journée  dans  le  "" Caprice_des_Dieux  ""  ,  mais  aussi  au  Parlamentarium  ,  le  musée  attenant  dédié  à  l'  histoire  de  la  démocratie  européenne  .",caprice_des_dieux,nom_prp:det_nom,caprice_du_dieu,"""","""",PUNCT,le,le,DET,dans,dans,ADP,journée,journée,NOUN,la,le,DET,"""","""",PUNCT,",",",",PUNCT,mais,mais,CONJ,aussi,aussi,ADV,au,au,ADP DET,2014-05-12,2014,2010,DET PUNCT Caprice des Dieux PUNCT PUNCT,PUNCT Caprice des Dieux PUNCT,DET PUNCT Caprice des Dieux,ADP DET PUNCT Caprice des Dieux,NOUN ADP DET PUNCT Caprice des Dieux,Caprice des Dieux PUNCT PUNCT,Caprice des Dieux PUNCT PUNCT CONJ,Caprice des Dieux PUNCT PUNCT CONJ ADV,"le "" Caprice des Dieux "" ,",""" Caprice des Dieux ""","le "" Caprice des Dieux","dans le "" Caprice des Dieux","journée dans le "" Caprice des Dieux","Caprice des Dieux "" ,","Caprice des Dieux "" , mais","Caprice des Dieux "" , mais aussi"
http://www.cafebabel.fr/article/europeennes-chronique-dune-soiree-a-bruxelles.html,cafebabel.fr,2014-05-26,France,Caprice_des_Dieux/NOM_PRP:det_NOM/caprice_du_Dieu,"Une  partie  continue  d'  arpenter  les  couloirs  du Caprice_des_Dieux  (  avec  une  petite  interview  de  Jean  Quatremer  ,  journaliste  à  Libération  ,  nda  )  et  la  Place  Lux  tandis  qu'  une  autre  continue  de  suivre  la  conférence  de  presse  des  grands  partis  .",caprice_des_dieux,nom_prp:det_nom,caprice_du_dieu,du,du,ADP DET,couloirs,couloir,NOUN,les,le,DET,arpenter,arpenter,VERB,d',de,ADP,(,(,PUNCT,avec,avec,ADP,une,un,DET,petite,petit,ADJ,interview,interview,NOUN,2014-05-26,2014,2010,NOUN ADP DET Caprice des Dieux PUNCT ADP,ADP DET Caprice des Dieux PUNCT,NOUN ADP DET Caprice des Dieux,DET NOUN ADP DET Caprice des Dieux,VERB DET NOUN ADP DET Caprice des Dieux,Caprice des Dieux PUNCT ADP,Caprice des Dieux PUNCT ADP DET,Caprice des Dieux PUNCT ADP DET ADJ,couloir du Caprice des Dieux ( avec,du Caprice des Dieux (,couloir du Caprice des Dieux,le couloir du Caprice des Dieux,arpenter le couloir du Caprice des Dieux,Caprice des Dieux ( avec,Caprice des Dieux ( avec un,Caprice des Dieux ( avec un petit
http://www.leparisien.fr/laparisienne/actu-people/videos-thierry-redler-de-succes-en-rechutes-28-07-2014-4032867.php?utm_source=dlvr.it&utm_medium=twitter,leparisien.fr,2014-07-28,France,Caprice_des_Dieux/ADJ_PRP:det_NOM/Caprice_du_Dieu,Des  pubs  comme Caprice_des_Dieux  .,caprice_des_dieux,adj_prp:det_nom,caprice_du_dieu,comme,comme,ADV,pubs,pub,NOUN,Des,du,ADP DET,,,,,,,.,.,PUNCT,,,,,,,,,,,,,2014-07-28,2014,2010,,ADV Caprice des Dieux PUNCT,NOUN ADV Caprice des Dieux,ADP DET NOUN ADV Caprice des Dieux,,,,,,comme Caprice des Dieux .,pub comme Caprice des Dieux,du pub comme Caprice des Dieux,,,,
