url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://tvanouvelles.ca/lcn/infos/lemonde/archives/2013/12/20131231-095536.html,tvanouvelles.ca,2014-01-01,Canada,Cariocas/NAM/Cariocas,"Les Cariocas  (  habitants  de  Rio  )  ,  la  plupart  vêtus  de  blanc  ,  feront  ensuite  leurs  offrandes  (  des  fleurs  )  à  Yemanja  ,  la  déesse  de  la  mer  du  candomblé  ,  le  culte  afro-brésilien  .",cariocas,nam,cariocas,Les,le,DET,,,,,,,,,,,,,(,(,PUNCT,habitants,habitant,NOUN,de,de,ADP,Rio,Rio,PROPN,),),PUNCT,2014-01-01,2014,2010,,DET Carioca PUNCT,,,,Carioca PUNCT NOUN,Carioca PUNCT NOUN ADP,Carioca PUNCT NOUN ADP PROPN,,le Carioca (,,,,Carioca ( habitant,Carioca ( habitant de,Carioca ( habitant de Rio
http://www.lexpressiondz.com/sports/187074-retrospective-sur-le-foot-algerien.html,lexpressiondz.com,2014-01-02,Algeria,cariocas/NOM/cariocas,"Les  Verts  se  qualifient  ainsi  à  une  seconde  phase  finale  du  Mondial  ,  la  45  ème  ,  dans  l'  histoire  de  notre  sélection  nationale  au  bout  d'  un  match  à  suspense  ,  l'  Algérie  avait  réussi  à  assurer  sa  présence  au  pays  des cariocas  ,  le  19  novembre  dernier  ,  à  l'  issue  d'  une  victoire  au  forceps  face  au  Burkina  Faso  (  1  -  0  )  ,  en  match  retour  des  barrages  qualificatifs  au  Mondial  .",cariocas,nom,cariocas,des,du,ADP DET,pays,pays,NOUN,au,au,ADP DET,présence,présence,NOUN,sa,son,DET,",",",",PUNCT,le,le,DET,19,@card@,ADJ,novembre,novembre,NOUN,dernier,dernier,ADJ,2014-01-02,2014,2010,NOUN ADP DET Carioca PUNCT DET,ADP DET Carioca PUNCT,NOUN ADP DET Carioca,ADP DET NOUN ADP DET Carioca,NOUN ADP DET NOUN ADP DET Carioca,Carioca PUNCT DET,Carioca PUNCT DET ADJ,Carioca PUNCT DET ADJ NOUN,"pays du Carioca , le","du Carioca ,",pays du Carioca,au pays du Carioca,présence au pays du Carioca,"Carioca , le","Carioca , le @card@","Carioca , le @card@ novembre"
http://www.liberation.fr/culture/2013/12/30/reveillons-parisiens_969784?xtor=rss-450,liberation.fr,2014-01-02,France,carioca/NOM/carioca,"Avec  roda  de  samba  ,  on  y  vient  de  préférence  habillé  de  blanc  ,  à  la carioca  El  Chihuahua  ,  36  ,  bd  de  la  Bastille  ,  75012  .",carioca,nom,carioca,la,le,DET,à,à,ADP,",",",",PUNCT,blanc,blanc,ADJ,de,de,ADP,El,El,PROPN,Chihuahua,Chihuahua,PROPN,",",",",PUNCT,36,@card@,ADJ,",",",",PUNCT,2014-01-02,2014,2010,ADP DET Carioca PROPN PROPN,DET Carioca PROPN,ADP DET Carioca,PUNCT ADP DET Carioca,ADJ PUNCT ADP DET Carioca,Carioca PROPN PROPN,Carioca PROPN PROPN PUNCT,Carioca PROPN PROPN PUNCT ADJ,à le Carioca El Chihuahua,le Carioca El,à le Carioca,", à le Carioca","blanc , à le Carioca",Carioca El Chihuahua,"Carioca El Chihuahua ,","Carioca El Chihuahua , @card@"
http://www.foot01.com/equipe/ol/juninho-veut-un-jubile-plus-muscle-que-celui-de-l-ol%2C132417,foot01.com,2014-01-02,France,carioca/NOM/carioca,Je  pense  que  le  plus  simple  serait  de  disputer  le  championnat carioca  en  2014  avec  Vasco  et  de  terminer  ma  carrière  sur  un  match  à  São  Januario  face  à  River  Plate  .,carioca,nom,carioca,championnat,championnat,NOUN,le,le,DET,disputer,disputer,VERB,de,de,ADP,serait,être,VERB,en,en,ADP,2014,@card@,ADJ,avec,avec,ADP,Vasco,Vasco,PROPN,et,et,CONJ,2014-01-02,2014,2010,DET NOUN Carioca ADP ADJ,NOUN Carioca ADP,DET NOUN Carioca,VERB DET NOUN Carioca,ADP VERB DET NOUN Carioca,Carioca ADP ADJ,Carioca ADP ADJ ADP,Carioca ADP ADJ ADP PROPN,le championnat Carioca en @card@,championnat Carioca en,le championnat Carioca,disputer le championnat Carioca,de disputer le championnat Carioca,Carioca en @card@,Carioca en @card@ avec,Carioca en @card@ avec Vasco
http://www.lavenir.net/article/detail.aspx?articleid=dmf20140108_00413844,lavenir.net,2014-01-08,Belgium,Carioca/NAM/Carioca,"Le  tatouage  fait  maintenant  partie  de  la  manière  d'  être  du Carioca  ,  qu'  il  soit  issu  des  favelas  ou  des  quartiers  aisés  .",carioca,nam,carioca,du,du,ADP DET,être,être,VERB,d',de,ADP,manière,manière,NOUN,la,le,DET,",",",",PUNCT,qu',que,PRON,il,il,PRON,soit,être,VERB,issu,issu,ADJ,2014-01-08,2014,2010,VERB ADP DET Carioca PUNCT PRON,ADP DET Carioca PUNCT,VERB ADP DET Carioca,ADP VERB ADP DET Carioca,NOUN ADP VERB ADP DET Carioca,Carioca PUNCT PRON,Carioca PUNCT PRON PRON,Carioca PUNCT PRON PRON VERB,"être du Carioca , que","du Carioca ,",être du Carioca,de être du Carioca,manière de être du Carioca,"Carioca , que","Carioca , que il","Carioca , que il être"
http://www.lavenir.net/article/detail.aspx?articleid=dmf20140108_00413844,lavenir.net,2014-01-08,Belgium,Carioca/NAM/Carioca,"""  Nombreux  sont  ceux  qui  s'  habillent  pour  exprimer  leur  personnalité  ,  le Carioca  le  fait  en  montrant  son  corps  ""  ,  ajoute-t-elle  .",carioca,nam,carioca,le,le,DET,",",",",PUNCT,personnalité,personnalité,NOUN,leur,leur,DET,exprimer,exprimer,VERB,le,le,PRON,fait,faire,VERB,en,en,ADP,montrant,montrer,VERB,son,son,DET,2014-01-08,2014,2010,PUNCT DET Carioca PRON VERB,DET Carioca PRON,PUNCT DET Carioca,NOUN PUNCT DET Carioca,DET NOUN PUNCT DET Carioca,Carioca PRON VERB,Carioca PRON VERB ADP,Carioca PRON VERB ADP VERB,", le Carioca le faire",le Carioca le,", le Carioca","personnalité , le Carioca","leur personnalité , le Carioca",Carioca le faire,Carioca le faire en,Carioca le faire en montrer
http://www.lavenir.net/article/detail.aspx?articleid=dmf20140108_00413844,lavenir.net,2014-01-08,Belgium,Cariocas/NOM/Cariocas,"Dans  la  galerie  ""  River  ""  ,  réduit  de  surfeurs  et  skaters  ,  il  a  vu  augmenter  le  goût  des Cariocas  pour  cet  art  corporel  .",cariocas,nom,cariocas,des,du,ADP DET,goût,goût,NOUN,le,le,DET,augmenter,augmenter,VERB,vu,voir,VERB,pour,pour,ADP,cet,ce,PRON,art,art,NOUN,corporel,corporel,ADJ,.,.,PUNCT,2014-01-08,2014,2010,NOUN ADP DET Carioca ADP PRON,ADP DET Carioca ADP,NOUN ADP DET Carioca,DET NOUN ADP DET Carioca,VERB DET NOUN ADP DET Carioca,Carioca ADP PRON,Carioca ADP PRON NOUN,Carioca ADP PRON NOUN ADJ,goût du Carioca pour ce,du Carioca pour,goût du Carioca,le goût du Carioca,augmenter le goût du Carioca,Carioca pour ce,Carioca pour ce art,Carioca pour ce art corporel
http://www.lavenir.net/article/detail.aspx?articleid=dmf20140108_00413844,lavenir.net,2014-01-08,Belgium,Cariocas/NAM/Cariocas,"Pour  les Cariocas  ,  l'  idéal  est  d'  exhiber  un  tatouage  sur  un  corps  parfait  .",cariocas,nam,cariocas,les,le,DET,Pour,pour,ADP,,,,,,,,,,",",",",PUNCT,l',le,DET,idéal,idéal,ADJ,est,être,VERB,d',de,ADP,2014-01-08,2014,2010,ADP DET Carioca PUNCT DET,DET Carioca PUNCT,ADP DET Carioca,,,Carioca PUNCT DET,Carioca PUNCT DET ADJ,Carioca PUNCT DET ADJ VERB,"pour le Carioca , le","le Carioca ,",pour le Carioca,,,"Carioca , le","Carioca , le idéal","Carioca , le idéal être"
http://www.jeuneafrique.com/Article/JA2763p134.xml0/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Bjeune_afrique_Societe%2B%2528Jeune%2BAfrique%2BSoci%25C3%25A9t%25C3%25A9%2529&utm_content=FeedBurner%2Buser%2Bview,jeuneafrique.com,2014-01-09,United States,carioca/NOM/carioca,La  capitale  rivalise  avec  l'  industrie  télévisuelle  mexicaine  ou carioca  pour  produire  ses  propres  séries  .,carioca,nom,carioca,ou,ou,CONJ,mexicaine,mexicain,ADJ,télévisuelle,télévisuel,ADJ,industrie,industrie,NOUN,l',le,DET,pour,pour,ADP,produire,produire,VERB,ses,son,DET,propres,propre,ADJ,séries,série,NOUN,2014-01-09,2014,2010,ADJ CONJ Carioca ADP VERB,CONJ Carioca ADP,ADJ CONJ Carioca,ADJ ADJ CONJ Carioca,NOUN ADJ ADJ CONJ Carioca,Carioca ADP VERB,Carioca ADP VERB DET,Carioca ADP VERB DET ADJ,mexicain ou Carioca pour produire,ou Carioca pour,mexicain ou Carioca,télévisuel mexicain ou Carioca,industrie télévisuel mexicain ou Carioca,Carioca pour produire,Carioca pour produire son,Carioca pour produire son propre
http://www.maxifoot.fr/football-rss191111/vasco-gama.php,maxifoot.fr,2014-01-09,France,carioca/NOM/carioca,"""  Le  contrat  de  Juninho  a  été  prolongé  jusqu'  au  30  mai  ,  date  de  la  fin  du  championnat carioca  .",carioca,nom,carioca,championnat,championnat,NOUN,du,du,ADP DET,fin,fin,NOUN,la,le,DET,de,de,ADP,.,.,PUNCT,,,,,,,,,,,,,2014-01-09,2014,2010,,NOUN Carioca PUNCT,ADP DET NOUN Carioca,NOUN ADP DET NOUN Carioca,DET NOUN ADP DET NOUN Carioca,,,,,championnat Carioca .,du championnat Carioca,fin du championnat Carioca,le fin du championnat Carioca,,,
