url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.ladepeche.fr/article/2014/01/13/1793481-golden-globes-2014-tendances-de-tapis-rouge.html,ladepeche.fr,2014-01-13,France,Carolina_Herrera/NAM_NAM/Carolina_Herrera,"Animatrice  lors  de  cette  soirée  ,  Tina  Fey  a  jeté  son  dévolu  sur  une  robe  de  la  pré-collection  d'  automne  2014  de Carolina_Herrera  .",carolina_herrera,nam_nam,carolina_herrera,de,de,ADP,2014,@card@,ADJ,automne,automne,NOUN,d',de,ADP,pré-collection,pré-collection,NOUN,.,.,PUNCT,,,,,,,,,,,,,2014-01-13,2014,2010,,ADP Carolina Herrera PUNCT,ADJ ADP Carolina Herrera,NOUN ADJ ADP Carolina Herrera,ADP NOUN ADJ ADP Carolina Herrera,,,,,de Carolina Herrera .,@card@ de Carolina Herrera,automne @card@ de Carolina Herrera,de automne @card@ de Carolina Herrera,,,
http://www.lesoir.be/420253/article/styles/air-du-temps/2014-02-06/fashion-week-new-york-defiles-ne-pas-manquer,lesoir.be,2014-02-06,Belgium,Carolina_Herrera/NAM_NAM/Carolina_Herrera,"Lacoste  ,  Michael  Kors  ,  Anna  Sui  ,  Zac  Posen  , Carolina_Herrera  ,  Altuzarra  ,  Helmut  Lang  ,  Derek  Lam  ou  encore  Thakoon  et  Phillip  Lim  ,  figurent  aussi  parmi  les  grands  noms  qui  défileront  cette  semaine  à  New  York  .",carolina_herrera,nam_nam,carolina_herrera,",",",",PUNCT,Posen,Posen,PROPN,Zac,Zac,PROPN,",",",",PUNCT,Sui,Sui,PROPN,",",",",PUNCT,Altuzarra,Altuzarra,PROPN,",",",",PUNCT,Helmut,Helmut,PROPN,Lang,Lang,PROPN,2014-02-06,2014,2010,PROPN PUNCT Carolina Herrera PUNCT PROPN,PUNCT Carolina Herrera PUNCT,PROPN PUNCT Carolina Herrera,PROPN PROPN PUNCT Carolina Herrera,PUNCT PROPN PROPN PUNCT Carolina Herrera,Carolina Herrera PUNCT PROPN,Carolina Herrera PUNCT PROPN PUNCT,Carolina Herrera PUNCT PROPN PUNCT PROPN,"Posen , Carolina Herrera , Altuzarra",", Carolina Herrera ,","Posen , Carolina Herrera","Zac Posen , Carolina Herrera",", Zac Posen , Carolina Herrera","Carolina Herrera , Altuzarra","Carolina Herrera , Altuzarra ,","Carolina Herrera , Altuzarra , Helmut"
http://tempsreel.nouvelobs.com/culture/20140210.AFP9684/fashion-week-les-enfants-beckham-et-la-robe-portefeuille-en-vedettes.html,nouvelobs.com,2014-02-10,France,Carolina_Herrera/NAM_NAM/Carolina_Herrera,"Lundi  ,  place  entre  autres  à  Philip  Lim  ,  Patrick  Ervell  ,  Honor  ,  Zac  Posen  , Carolina_Herrera  et  Tommy  Hilfiger  . </doc>",carolina_herrera,nam_nam,carolina_herrera,",",",",PUNCT,Posen,Posen,PROPN,Zac,Zac,PROPN,",",",",PUNCT,Honor,Honor,PROPN,et,et,CONJ,Tommy,Tommy,PROPN,Hilfiger,Hilfiger,PROPN,.,.,PUNCT,</doc>,,,2014-02-10,2014,2010,PROPN PUNCT Carolina Herrera CONJ PROPN,PUNCT Carolina Herrera CONJ,PROPN PUNCT Carolina Herrera,PROPN PROPN PUNCT Carolina Herrera,PUNCT PROPN PROPN PUNCT Carolina Herrera,Carolina Herrera CONJ PROPN,Carolina Herrera CONJ PROPN PROPN,Carolina Herrera CONJ PROPN PROPN PUNCT,"Posen , Carolina Herrera et Tommy",", Carolina Herrera et","Posen , Carolina Herrera","Zac Posen , Carolina Herrera",", Zac Posen , Carolina Herrera",Carolina Herrera et Tommy,Carolina Herrera et Tommy Hilfiger,Carolina Herrera et Tommy Hilfiger .
http://www.tv5.org/cms/chaine-francophone/info/p-1911-redir.htm?&rub=1&xml=newsmlmmd.urn.newsml.afp.com.20140211.f15c2729.cc98.47ce.8b86.f2b42389d144.xml,tv5.org,2014-02-11,France,Carolina_Herrera/NAM_NAM/Carolina_Herrera,"A  75  ans  ,  la  doyenne  des  podiums Carolina_Herrera  était  elle  résolument  tournée  vers  l'  avenir  ,  et  l'  Américain  d'  origine  chinoise  Phillip  Lim  ,  très  urbain  ,  a  ""  revisité  tout  ce  qu'  (  il  )  avait  fait  ""  depuis  dix  ans  .",carolina_herrera,nam_nam,carolina_herrera,podiums,podium,NOUN,des,du,ADP DET,doyenne,doyen,NOUN,la,le,DET,",",",",PUNCT,était,être,VERB,elle,elle,PRON,résolument,résolument,ADV,tournée,tourner,VERB,vers,vers,ADP,2014-02-11,2014,2010,ADP DET NOUN Carolina Herrera VERB PRON,NOUN Carolina Herrera VERB,ADP DET NOUN Carolina Herrera,NOUN ADP DET NOUN Carolina Herrera,DET NOUN ADP DET NOUN Carolina Herrera,Carolina Herrera VERB PRON,Carolina Herrera VERB PRON ADV,Carolina Herrera VERB PRON ADV VERB,du podium Carolina Herrera être elle,podium Carolina Herrera être,du podium Carolina Herrera,doyen du podium Carolina Herrera,le doyen du podium Carolina Herrera,Carolina Herrera être elle,Carolina Herrera être elle résolument,Carolina Herrera être elle résolument tourner
http://www.tv5.org/cms/chaine-francophone/info/p-1911-redir.htm?&rub=1&xml=newsmlmmd.urn.newsml.afp.com.20140211.f15c2729.cc98.47ce.8b86.f2b42389d144.xml,tv5.org,2014-02-11,France,Carolina_Herrera/NAM_NAM/Carolina_Herrera," Carolina_Herrera  ,  la  doyenne  des  créateurs  présents  à  New  York  jusqu'  à  jeudi  ,  préférait  regarder  résolument  vers  un  avenir  tout  en  élégance  et  retenue  .",carolina_herrera,nam_nam,carolina_herrera,,,,,,,,,,,,,,,,",",",",PUNCT,la,le,DET,doyenne,doyen,NOUN,des,du,ADP DET,créateurs,créateur,ADJ,2014-02-11,2014,2010,,,,,,Carolina Herrera PUNCT DET,Carolina Herrera PUNCT DET NOUN,Carolina Herrera PUNCT DET NOUN ADP DET,,,,,,"Carolina Herrera , le","Carolina Herrera , le doyen","Carolina Herrera , le doyen du"
http://www.tv5.org/cms/chaine-francophone/info/p-1911-redir.htm?&rub=1&xml=newsmlmmd.urn.newsml.afp.com.20140211.f15c2729.cc98.47ce.8b86.f2b42389d144.xml,tv5.org,2014-02-11,France,Carolina_Herrera/NAM_NAM/Carolina_Herrera,"En  coulisses  , Carolina_Herrera  ,  dont  les  collections  toujours  très  élégantes  lui  ont  valu  d'  habiller  célébrités  et  Premières  dames  un  peu  partout  dans  le  monde  ,  a  indiqué  à  l'  AFP  qu'  elle  avait  conçu  cette  collection  ""  pour  les  femmes  d'  aujourd  '  hui  tournées  vers  l'  avenir  ""  .",carolina_herrera,nam_nam,carolina_herrera,",",",",PUNCT,coulisses,coulisse,NOUN,En,en,ADP,,,,,,,",",",",PUNCT,dont,dont,PRON,les,la|le,PRON,collections,collecter,VERB,toujours,toujours,ADV,2014-02-11,2014,2010,NOUN PUNCT Carolina Herrera PUNCT PRON,PUNCT Carolina Herrera PUNCT,NOUN PUNCT Carolina Herrera,ADP NOUN PUNCT Carolina Herrera,,Carolina Herrera PUNCT PRON,Carolina Herrera PUNCT PRON PRON,Carolina Herrera PUNCT PRON PRON VERB,"coulisse , Carolina Herrera , dont",", Carolina Herrera ,","coulisse , Carolina Herrera","en coulisse , Carolina Herrera",,"Carolina Herrera , dont","Carolina Herrera , dont la|le","Carolina Herrera , dont la|le collecter"
http://www.7sur7.be/7s7/fr/1525/Tendances/article/detail/1792274/2014/02/12/La-robe-de-soiree-princiere-de-Michelle-Obama.dhtml,7sur7.be,2014-02-12,Belgium,Carolina_Herrera/NAM_VER:futu/Carolina_Herrera,Michelle  Obama  a  choisi  de  faire  confiance  à Carolina_Herrera  pour  la  robe  qu'  elle  portait  au  dîner  officiel  avec  François  Hollande  .,carolina_herrera,nam_ver:futu,carolina_herrera,à,à,ADP,confiance,confiance,NOUN,faire,faire,VERB,de,de,ADP,choisi,choisir,VERB,pour,pour,ADP,la,le,DET,robe,robe,NOUN,qu',que,PRON,elle,elle,PRON,2014-02-12,2014,2010,NOUN ADP Carolina Herrera ADP DET,ADP Carolina Herrera ADP,NOUN ADP Carolina Herrera,VERB NOUN ADP Carolina Herrera,ADP VERB NOUN ADP Carolina Herrera,Carolina Herrera ADP DET,Carolina Herrera ADP DET NOUN,Carolina Herrera ADP DET NOUN PRON,confiance à Carolina Herrera pour le,à Carolina Herrera pour,confiance à Carolina Herrera,faire confiance à Carolina Herrera,de faire confiance à Carolina Herrera,Carolina Herrera pour le,Carolina Herrera pour le robe,Carolina Herrera pour le robe que
http://www.lemonde.fr/ameriques/article/2014/02/12/en-diner-de-gala-mm-obama-et-hollande-multiplient-les-demonstrations-d-amitie_4364921_3222.html,lemonde.fr,2014-02-12,France,Carolina_Herrera/NAM_NAM/Carolina_Herrera,"Pour  célébrer  l'  amitié  franco-américaine  ,  la  Maison  Blanche  avait  transformé  la  tente  en  un  jardin  français  ,  avec  des  silhouettes  d'  arbres  entre  les  tables  ,  des  rivières  de  lianes  tombant  du  plafond  et  des  iris  bleus  ,  assortis  à  la  robe Carolina_Herrera  de  Michelle  Obama  .",carolina_herrera,nam_nam,carolina_herrera,robe,robe,NOUN,la,le,DET,à,à,ADP,assortis,assortir,VERB,",",",",PUNCT,de,de,ADP,Michelle,Michelle,PROPN,Obama,Obama,PROPN,.,.,PUNCT,,,,2014-02-12,2014,2010,DET NOUN Carolina Herrera ADP PROPN,NOUN Carolina Herrera ADP,DET NOUN Carolina Herrera,ADP DET NOUN Carolina Herrera,VERB ADP DET NOUN Carolina Herrera,Carolina Herrera ADP PROPN,Carolina Herrera ADP PROPN PROPN,Carolina Herrera ADP PROPN PROPN PUNCT,le robe Carolina Herrera de Michelle,robe Carolina Herrera de,le robe Carolina Herrera,à le robe Carolina Herrera,assortir à le robe Carolina Herrera,Carolina Herrera de Michelle,Carolina Herrera de Michelle Obama,Carolina Herrera de Michelle Obama .
http://www.lesechos.fr/luxe/mode/0203312537916-carolina-herrera-habille-la-maison-blanche-649949.php,lesechos.fr,2014-02-12,France,Carolina_Herrera/NAM_NAM/Carolina_Herrera,<doc uri=http://www.lesechos.fr/luxe/mode/0203312537916-carolina-herrera-habille-la-maison-blanche-649949.php website=lesechos.fr date=2014-02-12 source_country=France> Carolina_Herrera  habille  la  Maison  Blanche  -  Les  Échos,carolina_herrera,nam_nam,carolina_herrera,,,,,,,,,,,,,,,,habille,habiller,VERB,la,le,DET,Maison,maison,NOUN,Blanche,Blanche,PROPN,-,-,PUNCT,2014-02-12,2014,2010,,,,,,Carolina Herrera VERB DET,Carolina Herrera VERB DET NOUN,Carolina Herrera VERB DET NOUN PROPN,,,,,,Carolina Herrera habiller le,Carolina Herrera habiller le maison,Carolina Herrera habiller le maison Blanche
http://www.lesechos.fr/luxe/mode/0203312537916-carolina-herrera-habille-la-maison-blanche-649949.php,lesechos.fr,2014-02-12,France,Carolina_Herrera/NAM_NAM/Carolina_Herrera,"Michelle  Obama  était  comme  toujours  élégante  ,  habillée  d'  une  robe  en  satin  bleu  ,  rebrodée  de  perles  réalisée  dans  les  ateliers  Couture  new-yorkais  de Carolina_Herrera  .",carolina_herrera,nam_nam,carolina_herrera,de,de,ADP,new-yorkais,new-yorkais,NOUN,Couture,Couture,PROPN,ateliers,atelier,NOUN,les,le,DET,.,.,PUNCT,,,,,,,,,,,,,2014-02-12,2014,2010,,ADP Carolina Herrera PUNCT,NOUN ADP Carolina Herrera,PROPN NOUN ADP Carolina Herrera,NOUN PROPN NOUN ADP Carolina Herrera,,,,,de Carolina Herrera .,new-yorkais de Carolina Herrera,Couture new-yorkais de Carolina Herrera,atelier Couture new-yorkais de Carolina Herrera,,,
