url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
https://eburnienews.net/limage-des-noirs-dans-la-publicite-100-ans-de-racisme/,eburnienews.net,2017-03-31,===NONE===,Conguitos/NAM/Conguitos,C'  est  ainsi  que  les  bonbons Conguitos  voient  le  jour  en  1961  en  Espagne  .,conguitos,nam,conguitos,bonbons,bonbon,NOUN,les,le,DET,que,que,CONJ,ainsi,ainsi,ADV,est,être,VERB,voient,voir,VERB,le,le,DET,jour,jour,NOUN,en,en,ADP,1961,@card@,ADJ,2017-03-31,2017,2010,DET NOUN Conguitos VERB DET,NOUN Conguitos VERB,DET NOUN Conguitos,CONJ DET NOUN Conguitos,ADV CONJ DET NOUN Conguitos,Conguitos VERB DET,Conguitos VERB DET NOUN,Conguitos VERB DET NOUN ADP,le bonbon Conguitos voir le,bonbon Conguitos voir,le bonbon Conguitos,que le bonbon Conguitos,ainsi que le bonbon Conguitos,Conguitos voir le,Conguitos voir le jour,Conguitos voir le jour en
https://www.forbes.fr/classements/les-10-meilleurs-restaurants-gastronomiques-au-monde-selon-tripadvisor/,forbes.fr,2018-12-10,France,conguitos/NOM/conguitos,"Les  menus  de  dégustation  du  restaurant  ,  dont  les  prix  peuvent  atteindre  300  €  ,  incluent  un  rouget  avec  des  cristaux  d'  écailles  comestibles  ,  accompagné  de  fenouil  au  safran  et  de  douceur  liquide  de  calamars  ,  mais  aussi  un  flan  aux  fruits  de  mer  et  aux  algues  et  plancton  ,  du  bouillon  de  crevette  ,  ou  encore  des  pieds  de  porc  ibérique  farcis  ,  accompagnés  d'  endives  braisées  au  coing  et  de  petits  morceaux  de  boudin  croustillants  "" conguitos  ""  .",conguitos,nom,conguitos,"""","""",PUNCT,croustillants,croustillant,ADJ,boudin,boudin,NOUN,de,de,ADP,morceaux,morceau,NOUN,"""","""",PUNCT,.,.,PUNCT,,,,,,,,,,2018-12-10,2018,2010,ADJ PUNCT Conguitos PUNCT PUNCT,PUNCT Conguitos PUNCT,ADJ PUNCT Conguitos,NOUN ADJ PUNCT Conguitos,ADP NOUN ADJ PUNCT Conguitos,Conguitos PUNCT PUNCT,,,"croustillant "" Conguitos "" .",""" Conguitos ""","croustillant "" Conguitos","boudin croustillant "" Conguitos","de boudin croustillant "" Conguitos","Conguitos "" .",,
http://www.football.fr/buzz/articles/quand-silva-compare-mendy-a-un-bonbon-chocolate-1202322/,football.fr,2019-09-22,France,Conguitos/NOM/Conguitos,"<doc uri=http://www.football.fr/buzz/articles/quand-silva-compare-mendy-a-un-bonbon-chocolate-1202322/ website=football.fr date=2019-09-22 source_country=France> /Sur/NAM /le/DET:ART /réseau/NOM /social/ADJ /,/PUN /Bernardo/NAM /Silva/NAM /avoir/VER:pres /comparer/VER:pper /ce/PRO:DEM /dimanche/NOM /son/DET:POS /coéquipier/NOM /et/KON /ami/NOM /,/PUN /Benjamin/NAM /Mendy/NAM /,/PUN /à/PRP /le/DET:ART /mascotte/NOM /du/PRP:det /bonbon/NOM /chocolaté/ADJ /""/PUN:cit Conguitos  ""  .",conguitos,nom,conguitos,"""","""",PUNCT,chocolatés,chocolaté,ADJ,bonbons,bonbon,NOUN,des,du,ADP DET,mascotte,mascotte,NOUN,"""","""",PUNCT,.,.,PUNCT,,,,,,,,,,2019-09-22,2019,2010,ADJ PUNCT Conguitos PUNCT PUNCT,PUNCT Conguitos PUNCT,ADJ PUNCT Conguitos,NOUN ADJ PUNCT Conguitos,ADP DET NOUN ADJ PUNCT Conguitos,Conguitos PUNCT PUNCT,,,"chocolaté "" Conguitos "" .",""" Conguitos ""","chocolaté "" Conguitos","bonbon chocolaté "" Conguitos","du bonbon chocolaté "" Conguitos","Conguitos "" .",,
http://www.football.fr/buzz/articles/quand-silva-compare-mendy-a-un-bonbon-chocolate-1202322/,football.fr,2019-09-22,France,Conguitos/NAM/Conguitos,"Ce  dimanche  ,  le  milieu  offensif  de  Manchester  City  a  posté  une  petite  vidéo  dans  lequel  il  s'  amuse  avec  Benjamin  Mendy  ,  et  au  cours  de  laquelle  il  s'  est  laissé  aller  à  une  comparaison  du  champion  du  monde  tricolore  ,  avec  la  mascotte  (  déjà  contestée  )  des  bonbons  de  la  marque  "" Conguitos  ""  .",conguitos,nam,conguitos,"""","""",PUNCT,marque,marque,NOUN,la,le,DET,de,de,ADP,bonbons,bonbon,NOUN,"""","""",PUNCT,.,.,PUNCT,,,,,,,,,,2019-09-22,2019,2010,NOUN PUNCT Conguitos PUNCT PUNCT,PUNCT Conguitos PUNCT,NOUN PUNCT Conguitos,DET NOUN PUNCT Conguitos,ADP DET NOUN PUNCT Conguitos,Conguitos PUNCT PUNCT,,,"marque "" Conguitos "" .",""" Conguitos ""","marque "" Conguitos","le marque "" Conguitos","de le marque "" Conguitos","Conguitos "" .",,
https://rmcsport.bfmtv.com/football/manchester-city-bernardo-silva-inquiete-pour-une-blague-a-benjamin-mendy-1772762.html,bfmtv.com,2019-09-23,===NONE===,Conguitos/NOM/Conguitos,"Après  avoir  retrouvé  une  photo  de  Benjamin  Mendy  enfant  ,  le  joueur  formé  au  Benfica  s'  est  amusé  à  le  comparer  avec  le  personnage  publicitaire  d'  une  marque  de  chocolat  espagnole  "" Conguitos  ""  .",conguitos,nom,conguitos,"""","""",PUNCT,espagnole,espagnol,ADJ,chocolat,chocolat,NOUN,de,de,ADP,marque,marque,NOUN,"""","""",PUNCT,.,.,PUNCT,,,,,,,,,,2019-09-23,2019,2010,ADJ PUNCT Conguitos PUNCT PUNCT,PUNCT Conguitos PUNCT,ADJ PUNCT Conguitos,NOUN ADJ PUNCT Conguitos,ADP NOUN ADJ PUNCT Conguitos,Conguitos PUNCT PUNCT,,,"espagnol "" Conguitos "" .",""" Conguitos ""","espagnol "" Conguitos","chocolat espagnol "" Conguitos","de chocolat espagnol "" Conguitos","Conguitos "" .",,
https://lessportsplus.dhnet.be/football/europe/championnatsetrangers/un-joueur-de-manchester-city-fait-une-vanne-a-benjamin-mendy-les-internautes-mecontents-de-son-caractere-raciste-5d88803b9978e25f64434e03,dhnet.be,2019-09-23,Belgium,Conguitos/NOM/Conguitos,"Bernardo  Silva  a  trouvé  une  photo  de  Benjamin  Mendy  lorsqu'  il  était  enfant  et  l'  a  comparé  avec  le  personnage  de  la  marque  de  chocolat  espagnole  "" Conguitos  ""  .",conguitos,nom,conguitos,"""","""",PUNCT,espagnole,espagnol,ADJ,chocolat,chocolat,NOUN,de,de,ADP,marque,marque,NOUN,"""","""",PUNCT,.,.,PUNCT,,,,,,,,,,2019-09-23,2019,2010,ADJ PUNCT Conguitos PUNCT PUNCT,PUNCT Conguitos PUNCT,ADJ PUNCT Conguitos,NOUN ADJ PUNCT Conguitos,ADP NOUN ADJ PUNCT Conguitos,Conguitos PUNCT PUNCT,,,"espagnol "" Conguitos "" .",""" Conguitos ""","espagnol "" Conguitos","chocolat espagnol "" Conguitos","de chocolat espagnol "" Conguitos","Conguitos "" .",,
https://fr.besoccer.com/info/bernardo-silva-accuse-de-racisme-apres-son-tweet-sur-mendy-713545,besoccer.com,2019-09-23,===NONE===,conguitos/NOM/conguitos,"Car  quand  Benjamin  Mendy  a  posté  une  photo  de  lui  petit  sur  Twitter  ,  Bernardo  Silva  a  répondu  avec  une  photo  du  logo  ' conguitos  '  ,  en  écrivant  :  ""  Devinez  qui  c'  est  ?  """,conguitos,nom,conguitos,',',PUNCT,logo,logo,NOUN,du,du,ADP DET,photo,photo,NOUN,une,un,DET,',',PUNCT,",",",",PUNCT,en,en,PRON,écrivant,écrire,VERB,:,:,PUNCT,2019-09-23,2019,2010,NOUN PUNCT Conguitos PUNCT PUNCT,PUNCT Conguitos PUNCT,NOUN PUNCT Conguitos,ADP DET NOUN PUNCT Conguitos,NOUN ADP DET NOUN PUNCT Conguitos,Conguitos PUNCT PUNCT,Conguitos PUNCT PUNCT PRON,Conguitos PUNCT PUNCT PRON VERB,"logo ' Conguitos ' ,",' Conguitos ',logo ' Conguitos,du logo ' Conguitos,photo du logo ' Conguitos,"Conguitos ' ,","Conguitos ' , en","Conguitos ' , en écrire"
https://www.20minutes.fr/sport/2610919-20190923-premier-league-peut-plus-blaguer-vanne-bernardo-silva-benjamin-mendy-passe-mal#xtor%3DRSS-149,20minutes.fr,2019-09-23,France,Conguitos/NAM/Conguitos,"Dans  un  tweet  ,  Bernardo  a  comparé  une  photo  de  Mendy  enfant  au  personnage  publicitaire  d'  une  marque  de  chocolat  espagnol Conguitos  ,  dont  le  dessin  rappelle  un  autre  temps  .",conguitos,nam,conguitos,espagnol,espagnol,ADJ,chocolat,chocolat,NOUN,de,de,ADP,marque,marque,NOUN,une,un,DET,",",",",PUNCT,dont,dont,PRON,le,le,DET,dessin,dessin,NOUN,rappelle,rappeler,VERB,2019-09-23,2019,2010,NOUN ADJ Conguitos PUNCT PRON,ADJ Conguitos PUNCT,NOUN ADJ Conguitos,ADP NOUN ADJ Conguitos,NOUN ADP NOUN ADJ Conguitos,Conguitos PUNCT PRON,Conguitos PUNCT PRON DET,Conguitos PUNCT PRON DET NOUN,"chocolat espagnol Conguitos , dont","espagnol Conguitos ,",chocolat espagnol Conguitos,de chocolat espagnol Conguitos,marque de chocolat espagnol Conguitos,"Conguitos , dont","Conguitos , dont le","Conguitos , dont le dessin"
https://www.dna.fr/sport/2019/09/23/tolle-apres-un-tweet-juge-raciste-de-bernardo-silva-a-benjamin-mendy,dna.fr,2019-09-23,France,Conguitos/NAM/Conguitos,"Bernardo  Silva  ,  qui  connaît  Mendy  depuis  leur  aventure  commune  à  Monaco  et  avec  qui  il  est  très  complice  en  dehors  du  terrain  ,  a  publié  un  tweet  dans  lequel  il  associe  une  photo  de  son  coéquipier  enfant  à  l'  emblème  d'  une  marque  de  chocolat  espagnole  , Conguitos  . </doc>",conguitos,nam,conguitos,",",",",PUNCT,espagnole,espagnol,ADJ,chocolat,chocolat,NOUN,de,de,ADP,marque,marque,NOUN,.,.,PUNCT,</doc>,,,,,,,,,,,,2019-09-23,2019,2010,,PUNCT Conguitos PUNCT,ADJ PUNCT Conguitos,NOUN ADJ PUNCT Conguitos,ADP NOUN ADJ PUNCT Conguitos,,,,,", Conguitos .","espagnol , Conguitos","chocolat espagnol , Conguitos","de chocolat espagnol , Conguitos",,,
http://sport24.lefigaro.fr/football/etranger/angleterre/fil-info/enquete-ouverte-pour-racisme-pour-un-tweet-de-bernardo-silva-a-benjamin-mendy-975080,lefigaro.fr,2019-09-23,France,Conguitos/NAM/Conguitos,"Ce  dimanche  ,  Silva  a  tweeté  à  l'  adresse  de  son  ami  et  coéquipier  des  Citizens  ,  le  latéral  français  Benjamin  Mendy  ,  le  comparant  à  l'  emblème  des  sucreries Conguitos  .",conguitos,nam,conguitos,sucreries,sucrerie,NOUN,des,du,ADP DET,emblème,emblème,NOUN,l',le,DET,à,à,ADP,.,.,PUNCT,,,,,,,,,,,,,2019-09-23,2019,2010,,NOUN Conguitos PUNCT,ADP DET NOUN Conguitos,NOUN ADP DET NOUN Conguitos,DET NOUN ADP DET NOUN Conguitos,,,,,sucrerie Conguitos .,du sucrerie Conguitos,emblème du sucrerie Conguitos,le emblème du sucrerie Conguitos,,,
