url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.zonebourse.com/MOLSON-COORS-CANADA-INC-1410861/actualite/Molson-Coors-Canada--ET-HEINEKEN-ETENDENT-LEUR-PARTENARIAT-DE-MARKETING-AU-CANADA-18916835/,zonebourse.com,2014-08-18,===NONE===,Cruzcampo/NAM/Cruzcampo,"Sa  gamme  de  produits  comprend  HeinekenMD  ,  Amstel  ,  Anchor  ,  Biere  Larue  ,  Bintang  ,  Birra  Moretti  , Cruzcampo  ,  Desperados  ,  Dos  Equis  ,  Foster  '  s  ,  Newcastle  Brown  Ale  ,  Ochota  ,  Primus  ,  Sagres  ,  Sol  ,  Star  ,  Strongbow  ,  Tecate  ,  Tiger  et  Zywiec  .",cruzcampo,nam,cruzcampo,",",",",PUNCT,Moretti,Moretti,PROPN,Birra,Birra,PROPN,",",",",PUNCT,Bintang,Bintang,PROPN,",",",",PUNCT,Desperados,Desperados,PROPN,",",",",PUNCT,Dos,Dos,PROPN,Equis,Equis,PROPN,2014-08-18,2014,2010,PROPN PUNCT Cruzcampo PUNCT PROPN,PUNCT Cruzcampo PUNCT,PROPN PUNCT Cruzcampo,PROPN PROPN PUNCT Cruzcampo,PUNCT PROPN PROPN PUNCT Cruzcampo,Cruzcampo PUNCT PROPN,Cruzcampo PUNCT PROPN PUNCT,Cruzcampo PUNCT PROPN PUNCT PROPN,"Moretti , Cruzcampo , Desperados",", Cruzcampo ,","Moretti , Cruzcampo","Birra Moretti , Cruzcampo",", Birra Moretti , Cruzcampo","Cruzcampo , Desperados","Cruzcampo , Desperados ,","Cruzcampo , Desperados , Dos"
http://www.lefigaro.fr/conjoncture/2015/04/06/20002-20150406ARTFIG00011-quelle-est-la-biere-preferee-de-chaque-pays-du-monde.php,lefigaro.fr,2015-04-06,France,Cruzcampo/NAM/Cruzcampo,"Dans  d'  autres  pays  d'  Europe  ,  les  goûts  des  consommateurs  penchent  pour  leur  marque  nationale  ou  historique  :  Jupiler  en  Belgique  ,  Carling  au  Royaume-Uni  , Cruzcampo  en  Espagne  et  la  Guinness  ...  en  Irlande  .",cruzcampo,nam,cruzcampo,",",",",PUNCT,Royaume-Uni,Royaume-Uni,PROPN,au,au,ADP DET,Carling,Carling,PROPN,",",",",PUNCT,en,en,ADP,Espagne,Espagne,PROPN,et,et,CONJ,la,le,DET,Guinness,Guinness,PROPN,2015-04-06,2015,2010,PROPN PUNCT Cruzcampo ADP PROPN,PUNCT Cruzcampo ADP,PROPN PUNCT Cruzcampo,ADP DET PROPN PUNCT Cruzcampo,PROPN ADP DET PROPN PUNCT Cruzcampo,Cruzcampo ADP PROPN,Cruzcampo ADP PROPN CONJ,Cruzcampo ADP PROPN CONJ DET,"Royaume-Uni , Cruzcampo en Espagne",", Cruzcampo en","Royaume-Uni , Cruzcampo","au Royaume-Uni , Cruzcampo","Carling au Royaume-Uni , Cruzcampo",Cruzcampo en Espagne,Cruzcampo en Espagne et,Cruzcampo en Espagne et le
http://www.paris-communiques.com/communiques/gastronomie-la-semaine-des-restaurants-2015-se-deroule-du-19-au-29-novembre-a-va-c141717.htm,paris-communiques.com,2015-11-12,===NONE===,Cruzcampo/NAM/Cruzcampo,"En  amont  de  La  Cuina  Oberta  ,  le  28  octobre  ,  le  prix  spécial Cruzcampo  Gran  Reserva  aux  Meilleurs  Menus  Cuina  Oberta  a  été  remis  par  Turismo  Valencia  et  son  partenaire  l'  entreprise  Heineken  ,  ŕ  deux  restaurants  plébiscités  par  le  public  suite  aux  éditions  précédentes  :  Canalla  Bistro  et  Vertical  .",cruzcampo,nam,cruzcampo,spécial,spécial,ADJ,prix,prix,NOUN,le,le,DET,",",",",PUNCT,octobre,octobre,NOUN,Gran,Gran,PROPN,Reserva,Reserva,PROPN,aux,au,ADP DET,Meilleurs,Meilleurs,PROPN,Menus,Menus,PROPN,2015-11-12,2015,2010,NOUN ADJ Cruzcampo PROPN PROPN,ADJ Cruzcampo PROPN,NOUN ADJ Cruzcampo,DET NOUN ADJ Cruzcampo,PUNCT DET NOUN ADJ Cruzcampo,Cruzcampo PROPN PROPN,Cruzcampo PROPN PROPN ADP DET,Cruzcampo PROPN PROPN ADP DET PROPN,prix spécial Cruzcampo Gran Reserva,spécial Cruzcampo Gran,prix spécial Cruzcampo,le prix spécial Cruzcampo,", le prix spécial Cruzcampo",Cruzcampo Gran Reserva,Cruzcampo Gran Reserva au,Cruzcampo Gran Reserva au Meilleurs
http://www.paris-communiques.com/communiques/gastronomie-la-semaine-des-restaurants-2015-se-deroule-du-19-au-29-novembre-a-va-c141717.htm,paris-communiques.com,2015-11-12,===NONE===,Cruzcampo/NAM/Cruzcampo,"Canalla  Bistro  s'  ajoute  donc  ŕ  la  liste  des  favoris  du  public  ayant  remporté  le  prix Cruzcampo  Gran  Reserva  du  Meilleur  Menu  tels  que  :  RiFF  (  trois  fois  )  ,  El  Senyoret  ,  Seu  Xeres  ,  La  Sucursal  ,  Samsha  ,  Alejandro  del  Toro  ,  El  Canyar  et  Vertical  (  trois  fois  )  .",cruzcampo,nam,cruzcampo,prix,prix,NOUN,le,le,DET,remporté,remporter,VERB,ayant,avoir,VERB,public,public,NOUN,Gran,Gran,PROPN,Reserva,Reserva,PROPN,du,du,ADP DET,Meilleur,Meilleur,PROPN,Menu,Menu,PROPN,2015-11-12,2015,2010,DET NOUN Cruzcampo PROPN PROPN,NOUN Cruzcampo PROPN,DET NOUN Cruzcampo,VERB DET NOUN Cruzcampo,VERB VERB DET NOUN Cruzcampo,Cruzcampo PROPN PROPN,Cruzcampo PROPN PROPN ADP DET,Cruzcampo PROPN PROPN ADP DET PROPN,le prix Cruzcampo Gran Reserva,prix Cruzcampo Gran,le prix Cruzcampo,remporter le prix Cruzcampo,avoir remporter le prix Cruzcampo,Cruzcampo Gran Reserva,Cruzcampo Gran Reserva du,Cruzcampo Gran Reserva du Meilleur
http://sport24.lefigaro.fr/football/etranger/espagne/actualites/le-bouillant-derby-sevillan-comme-si-vous-y-etiez-847797,lefigaro.fr,2017-02-26,France,Cruzcampo/NAM/Cruzcampo,"Au  ""  Dona  Clara  ""  ,  l'  un  des  nombreux  repères  ""  beticos  ""  ,  les  supporters  échangent  autour  d'  une  savoureuse Cruzcampo  ,  bière  traditionnelle  de  Séville  .",cruzcampo,nam,cruzcampo,savoureuse,savoureux,ADJ,une,un,DET,d',de,ADP,autour,autour,ADV,échangent,échanger,VERB,",",",",PUNCT,bière,bière,NOUN,traditionnelle,traditionnel,ADJ,de,de,ADP,Séville,Séville,PROPN,2017-02-26,2017,2010,DET ADJ Cruzcampo PUNCT NOUN,ADJ Cruzcampo PUNCT,DET ADJ Cruzcampo,ADP DET ADJ Cruzcampo,ADV ADP DET ADJ Cruzcampo,Cruzcampo PUNCT NOUN,Cruzcampo PUNCT NOUN ADJ,Cruzcampo PUNCT NOUN ADJ ADP,"un savoureux Cruzcampo , bière","savoureux Cruzcampo ,",un savoureux Cruzcampo,de un savoureux Cruzcampo,autour de un savoureux Cruzcampo,"Cruzcampo , bière","Cruzcampo , bière traditionnel","Cruzcampo , bière traditionnel de"
http://www.liberation.fr/planete/2017/06/14/payes-en-canettes-les-musiciens-espagnols-disent-non_1576607?xtor=rss-450,liberation.fr,2017-06-14,France,Cruzcampo/NAM/Cruzcampo,"La  marque  ,  ainsi  que  les  autres  brasseries  espagnoles  (  Damm  , Cruzcampo  ,  San  Miguel  ,  Estrella  Galicia  )  sont  des  sponsors  habituels  des  manifestations  musicales  ,  grâce  à  une  législation  moins  contraignante  que  la  loi  Evin  en  France  .",cruzcampo,nam,cruzcampo,",",",",PUNCT,Damm,Damm,PROPN,(,(,PUNCT,espagnoles,espagnol,ADJ,brasseries,brasserie,NOUN,",",",",PUNCT,San,San,PROPN,Miguel,Miguel,PROPN,",",",",PUNCT,Estrella,Estrella,PROPN,2017-06-14,2017,2010,PROPN PUNCT Cruzcampo PUNCT PROPN,PUNCT Cruzcampo PUNCT,PROPN PUNCT Cruzcampo,PUNCT PROPN PUNCT Cruzcampo,ADJ PUNCT PROPN PUNCT Cruzcampo,Cruzcampo PUNCT PROPN,Cruzcampo PUNCT PROPN PROPN,Cruzcampo PUNCT PROPN PROPN PUNCT,"Damm , Cruzcampo , San",", Cruzcampo ,","Damm , Cruzcampo","( Damm , Cruzcampo","espagnol ( Damm , Cruzcampo","Cruzcampo , San","Cruzcampo , San Miguel","Cruzcampo , San Miguel ,"
https://www.informaticien.be/index.ks?page=articles_item&id=23492,informaticien.be,2018-02-12,Belgium,Cruzcampo/NAM/Cruzcampo,"Lyon  ,  le  12  février  2018  -  Esker  a  été  choisi  par  HEINEKEN  Espagne  ,  groupe  leader  sur  le  marché  de  la  bière  et  du  cidre  avec  les  marques  HEINEKEN  ®  , Cruzcampo  ,  Amstel  et  Buckler  ,  pour  l'  automatisation  de  ses  processus  de  gestion  de  commandes  clients  .",cruzcampo,nam,cruzcampo,",",",",PUNCT,®,®,ADJ,HEINEKEN,HEINEKEN,PROPN,marques,marque,NOUN,les,le,DET,",",",",PUNCT,Amstel,Amstel,PROPN,et,et,CONJ,Buckler,Buckler,PROPN,",",",",PUNCT,2018-02-12,2018,2010,ADJ PUNCT Cruzcampo PUNCT PROPN,PUNCT Cruzcampo PUNCT,ADJ PUNCT Cruzcampo,PROPN ADJ PUNCT Cruzcampo,NOUN PROPN ADJ PUNCT Cruzcampo,Cruzcampo PUNCT PROPN,Cruzcampo PUNCT PROPN CONJ,Cruzcampo PUNCT PROPN CONJ PROPN,"® , Cruzcampo , Amstel",", Cruzcampo ,","® , Cruzcampo","HEINEKEN ® , Cruzcampo","marque HEINEKEN ® , Cruzcampo","Cruzcampo , Amstel","Cruzcampo , Amstel et","Cruzcampo , Amstel et Buckler"
http://www.lalibre.be/actu/international/la-ville-twitter-mise-sur-la-democratie-directe-5af5b9bdcd70c60ea6eeb223,lalibre.be,2018-05-11,Belgium,Cruzcampo/NAM/Cruzcampo,"International  Au  sud  de  l'  Espagne  ,  la  petite  commune  de  Jun  a  l'  apparence  d'  un  village  andalou  comme  un  autre  :  rues  pavées  et  tortueuses  ,  maisons  d'  un  blanc  étourdissant  quand  le  soleil  tape  fort  ,  bars  où  la Cruzcampo  -  la  bière  locale  -  coule  à  flot  .",cruzcampo,nam,cruzcampo,la,le,DET,où,où,PRON,bars,bar,NOUN,",",",",PUNCT,fort,fort,ADJ,-,-,PUNCT,la,le,DET,bière,bière,NOUN,locale,local,ADJ,-,-,PUNCT,2018-05-11,2018,2010,PRON DET Cruzcampo PUNCT DET,DET Cruzcampo PUNCT,PRON DET Cruzcampo,NOUN PRON DET Cruzcampo,PUNCT NOUN PRON DET Cruzcampo,Cruzcampo PUNCT DET,Cruzcampo PUNCT DET NOUN,Cruzcampo PUNCT DET NOUN ADJ,où le Cruzcampo - le,le Cruzcampo -,où le Cruzcampo,bar où le Cruzcampo,", bar où le Cruzcampo",Cruzcampo - le,Cruzcampo - le bière,Cruzcampo - le bière local
https://marseille.latribune.fr/entreprises-finance/2018-10-31/quelle-strategie-d-investissement-pour-heineken-dans-le-sud-796027.html,latribune.fr,2018-10-31,France,Cruzcampo/NAM/Cruzcampo,"Parmi  les  marques  brassées  ,  outre  Heineken  ,  se  trouvent  33  Export  ,  Amstel  ,  Panach  '  ,  Monaco  ,  Perlforth  , Cruzcampo  et  La  Phénicienne  . </doc>",cruzcampo,nam,cruzcampo,",",",",PUNCT,Perlforth,Perlforth,PROPN,",",",",PUNCT,Monaco,Monaco,PROPN,",",",",PUNCT,et,et,CONJ,La,le,DET,Phénicienne,Phénicienne,PROPN,.,.,PUNCT,</doc>,,,2018-10-31,2018,2010,PROPN PUNCT Cruzcampo CONJ DET,PUNCT Cruzcampo CONJ,PROPN PUNCT Cruzcampo,PUNCT PROPN PUNCT Cruzcampo,PROPN PUNCT PROPN PUNCT Cruzcampo,Cruzcampo CONJ DET,Cruzcampo CONJ DET PROPN,Cruzcampo CONJ DET PROPN PUNCT,"Perlforth , Cruzcampo et le",", Cruzcampo et","Perlforth , Cruzcampo",", Perlforth , Cruzcampo","Monaco , Perlforth , Cruzcampo",Cruzcampo et le,Cruzcampo et le Phénicienne,Cruzcampo et le Phénicienne .
http://www.slate.fr/story/171894/serotonine-michel-houellebecq-roman-maladroit-vrai-decevant,slate.fr,2019-01-07,France,Cruzcampo/NAM/Cruzcampo,"Outre  le  fictif  Captorix  ,  on  trouve  dans  Sérotonine  :  Malongo  ,  Volvic  ,  Seroplex  ,  Prozac  ,  4  x  4  Mercedes  G  350  TD  (  et  une  G  500  )  ,  Repsol  ,  Coca-Cola  Zéro  ,  Coccinelle  Volkswagen  ,  ""  vulgaires  Samsonite  pour  cadres  moyens  ""  ,  iPhone  ,  brandy  Cardenal  Mendoza  ,  hôtel  Parador  , Cruzcampo  ,  Ruinart  ,  oui  il  y  a  beaucoup  de  boissons  ,  évidemment  ,  hôtels  Mercure  ,  Relais  Poitevin  ,  Paris  Gobelins  et  Côte  de  nacre  ,  Figaro  magazine  ,  Côte  basque  ,  Vanity  fair  ,  Sony  ,  Toyota  ,  SFR  ,  longuement  vanté  pour  son  ""  merveilleux  bouquet  sportif  ""  ,  Uber  ,  Public  Sénat  ,  G  20  ,  célébré  pour  son  vaste  choix  de  houmous  ,  Crédit  agricole  ,  BNP  ,  Google  ,  MacBook  Air  ,  carte  Visa  ,  Carrefour  City  ,  Daily  Monop  '  ,  Challenges  ,  plusieurs  cafés  et  restaurants  ,  Doctolib  ,  Monsanto  ,  Club  Med",cruzcampo,nam,cruzcampo,",",",",PUNCT,Parador,Parador,PROPN,hôtel,hôtel,NOUN,",",",",PUNCT,Mendoza,Mendoza,PROPN,",",",",PUNCT,Ruinart,Ruinart,PROPN,",",",",PUNCT,oui,oui,INT,il,il,PRON,2019-01-07,2019,2010,PROPN PUNCT Cruzcampo PUNCT PROPN,PUNCT Cruzcampo PUNCT,PROPN PUNCT Cruzcampo,NOUN PROPN PUNCT Cruzcampo,PUNCT NOUN PROPN PUNCT Cruzcampo,Cruzcampo PUNCT PROPN,Cruzcampo PUNCT PROPN PUNCT,Cruzcampo PUNCT PROPN PUNCT INT,"Parador , Cruzcampo , Ruinart",", Cruzcampo ,","Parador , Cruzcampo","hôtel Parador , Cruzcampo",", hôtel Parador , Cruzcampo","Cruzcampo , Ruinart","Cruzcampo , Ruinart ,","Cruzcampo , Ruinart , oui"
