url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.midilibre.fr/2014/02/28/katia-snytsina-en-renfort%2C828472.php#xtor%3DRSS-5,midilibre.fr,2014-02-28,France,Cucala/NAM/Cucala,"""  Pour  peu  que  la  commission  de  qualification  de  la  ligue  valide  son  dossier  aujourd  '  hui  ,  le  speaker  au  palais  des  sports  ,  Jean-Louis Cucala  ,  va  pouvoir  s'  entraîner  à  annoncer  ""  et  la  n  °  21  ,  Katsiaryna  Snytsina  ""  ... </doc>",cucala,nam,cucala,Jean-Louis,Jean-Louis,PROPN,",",",",PUNCT,sports,sport,NOUN,des,du,ADP DET,palais,palais,NOUN,",",",",PUNCT,va,aller,VERB,pouvoir,pouvoir,VERB,s',se,PRON,entraîner,entraîner,VERB,2014-02-28,2014,2010,PUNCT PROPN Cucal PUNCT VERB,PROPN Cucal PUNCT,PUNCT PROPN Cucal,NOUN PUNCT PROPN Cucal,ADP DET NOUN PUNCT PROPN Cucal,Cucal PUNCT VERB,Cucal PUNCT VERB VERB,Cucal PUNCT VERB VERB PRON,", Jean-Louis Cucal , aller","Jean-Louis Cucal ,",", Jean-Louis Cucal","sport , Jean-Louis Cucal","du sport , Jean-Louis Cucal","Cucal , aller","Cucal , aller pouvoir","Cucal , aller pouvoir se"
http://www.leparisien.fr/flash-actualite-culture/la-biodiversite-du-panama-au-coeur-du-musee-dessine-par-gehry-a-l-entree-du-canal-30-09-2014-4175997.php,leparisien.fr,2014-09-30,France,Cucalon/NAM/Cucalon,"""  La  biodiversité  et  sa  protection  ,  et  comment  le  Panama  a  provoqué  un  changement  climatique  de  grande  envergure  qui  a  pesé  sur  l'  évolution  ,  y  compris  de  l'  Homme  ,  constitue  le  principal  message  du  biomusée  ""  ,  explique  à  l'  AFP  son  directeur  ,  Victor Cucalon  .",cucalon,nam,cucalon,Victor,Victor,PROPN,",",",",PUNCT,directeur,directeur,NOUN,son,son,DET,AFP,AFP,ABR,.,.,PUNCT,,,,,,,,,,,,,2014-09-30,2014,2010,,PROPN Cucal PUNCT,PUNCT PROPN Cucal,NOUN PUNCT PROPN Cucal,DET NOUN PUNCT PROPN Cucal,,,,,Victor Cucal .,", Victor Cucal","directeur , Victor Cucal","son directeur , Victor Cucal",,,
http://lci.tf1.fr/monde/amerique/le-naufrage-du-pacifique-poursuivi-pour-cannibalisme-8695983.html,tf1.fr,2015-12-15,France,Cucalon/NAM/Cucalon,"""  Je  crois  que  la  demande  est  plus  un  moyen  de  faire  pression  pour  qu'  il  donne  une  partie  de  ses  gains  ""  ,  avance  Ricardo Cucalon  dans  une  interview  à  El  Diario  de  Hoy  ,  tout  en  assurant  que  son  client  n'  a  pas  fait  fortune  avec  son  histoire  .",cucalon,nam,cucalon,Ricardo,Ricardo,PROPN,avance,avance,NOUN,",",",",PUNCT,"""","""",PUNCT,gains,gain,NOUN,dans,dans,ADP,une,un,DET,interview,interview,NOUN,à,à,ADP,El,El,PROPN,2015-12-15,2015,2010,NOUN PROPN Cucal ADP DET,PROPN Cucal ADP,NOUN PROPN Cucal,PUNCT NOUN PROPN Cucal,PUNCT PUNCT NOUN PROPN Cucal,Cucal ADP DET,Cucal ADP DET NOUN,Cucal ADP DET NOUN ADP,avance Ricardo Cucal dans un,Ricardo Cucal dans,avance Ricardo Cucal,", avance Ricardo Cucal",""" , avance Ricardo Cucal",Cucal dans un,Cucal dans un interview,Cucal dans un interview à
http://www.courrier-picard.fr/region/amiens-greve-de-123-salaries-de-ajinomoto-ia201b0n765891?xtor=RSS-2,courrier-picard.fr,2016-04-25,France,Cucalon/NAM/Cucalon,"""  L'  absence  de  dialogue  social  et  le  blocage  des  négociations  salariales  annuelles  a  conduit  123  personnes  à  faire  grève  sur  les  300  que  compte  le  site  ""  ,  indique  Jean-Noël Cucalon  ,  délégué  du  personnel  CFDT  ,  qui  a  sondé  les  salariés  au  sujet  de  ce  mouvement  de  grève  .",cucalon,nam,cucalon,Jean-Noël,Jean-Noël,PROPN,indique,indiquer,VERB,",",",",PUNCT,"""","""",PUNCT,site,site,NOUN,",",",",PUNCT,délégué,déléguer,VERB,du,du,ADP DET,personnel,personnel,NOUN,CFDT,CFDT,ABR,2016-04-25,2016,2010,VERB PROPN Cucal PUNCT VERB,PROPN Cucal PUNCT,VERB PROPN Cucal,PUNCT VERB PROPN Cucal,PUNCT PUNCT VERB PROPN Cucal,Cucal PUNCT VERB,Cucal PUNCT VERB ADP DET,Cucal PUNCT VERB ADP DET NOUN,"indiquer Jean-Noël Cucal , déléguer","Jean-Noël Cucal ,",indiquer Jean-Noël Cucal,", indiquer Jean-Noël Cucal",""" , indiquer Jean-Noël Cucal","Cucal , déléguer","Cucal , déléguer du","Cucal , déléguer du personnel"
http://www.courrier-picard.fr/region/amiens-fin-du-conflit-chez-ajinomoto-sur-la-zi-nord-ia201b0n766504?xtor=RSS-2,courrier-picard.fr,2016-04-26,France,Cucalon/NAM/Cucalon,"Les  négociations  salariales  individuelles  et  d'  autres  points  seront  évoqués  ce  mercredi  27  avril  ""  ,  a  développé  Jean-Noël Cucalon  ,  délégué  du  personnel  de  la  CFDT  . </doc>",cucalon,nam,cucalon,Jean-Noël,Jean-Noël,PROPN,développé,développer,VERB,a,avoir,VERB,",",",",PUNCT,"""","""",PUNCT,",",",",PUNCT,délégué,déléguer,VERB,du,du,ADP DET,personnel,personnel,NOUN,de,de,ADP,2016-04-26,2016,2010,VERB PROPN Cucal PUNCT VERB,PROPN Cucal PUNCT,VERB PROPN Cucal,VERB VERB PROPN Cucal,PUNCT VERB VERB PROPN Cucal,Cucal PUNCT VERB,Cucal PUNCT VERB ADP DET,Cucal PUNCT VERB ADP DET NOUN,"développer Jean-Noël Cucal , déléguer","Jean-Noël Cucal ,",développer Jean-Noël Cucal,avoir développer Jean-Noël Cucal,", avoir développer Jean-Noël Cucal","Cucal , déléguer","Cucal , déléguer du","Cucal , déléguer du personnel"
http://www.letemps.ch/culture/2016/07/08/racines-militantisme,letemps.ch,2016-07-08,Switzerland,Cucala/NAM/Cucala,"Pour  le  moment  ,  sa  grande  affaire  est  de  sauver  son  grand-papa  chéri  (  Manuel Cucala  ,  un  bel  acteur  non  professionnel  )  ,  qui  décline  et  ne  parle  plus  .",cucala,nam,cucala,Manuel,Manuel,PROPN,(,(,PUNCT,chéri,chérir,VERB,grand-papa,grand-papa,NOUN,son,son,DET,",",",",PUNCT,un,un,DET,bel,beau,ADJ,acteur,acteur,NOUN,non,non,ADV,2016-07-08,2016,2010,PUNCT PROPN Cucal PUNCT DET,PROPN Cucal PUNCT,PUNCT PROPN Cucal,VERB PUNCT PROPN Cucal,NOUN VERB PUNCT PROPN Cucal,Cucal PUNCT DET,Cucal PUNCT DET ADJ,Cucal PUNCT DET ADJ NOUN,"( Manuel Cucal , un","Manuel Cucal ,",( Manuel Cucal,chérir ( Manuel Cucal,grand-papa chérir ( Manuel Cucal,"Cucal , un","Cucal , un beau","Cucal , un beau acteur"
http://www.lefigaro.fr/cinema/2016/07/12/03002-20160712ARTFIG00209--l-olivier-l-arbre-de-vie.php,lefigaro.fr,2016-07-12,France,Cucala/NAM/Cucala,"Dans  un  petit  village  de  la  côte  Est  espagnole  ,  Ramon  (  Manuel Cucala  )  ,  le  grand-père  d'  Alma  (  Anna  Castillo  )  dépérit  .",cucala,nam,cucala,Manuel,Manuel,PROPN,(,(,PUNCT,Ramon,Ramon,PROPN,",",",",PUNCT,espagnole,espagnol,ADJ,),),PUNCT,",",",",PUNCT,le,le,DET,grand-père,grand-père,NOUN,d',de,ADP,2016-07-12,2016,2010,PUNCT PROPN Cucal PUNCT PUNCT,PROPN Cucal PUNCT,PUNCT PROPN Cucal,PROPN PUNCT PROPN Cucal,PUNCT PROPN PUNCT PROPN Cucal,Cucal PUNCT PUNCT,Cucal PUNCT PUNCT DET,Cucal PUNCT PUNCT DET NOUN,"( Manuel Cucal ) ,",Manuel Cucal ),( Manuel Cucal,Ramon ( Manuel Cucal,", Ramon ( Manuel Cucal","Cucal ) ,","Cucal ) , le","Cucal ) , le grand-père"
http://tempsreel.nouvelobs.com/cinema/20160713.OBS4577/juillet-aout-l-olivier-sparrows-les-films-a-voir-ou-pas-cette-semaine.html,nouvelobs.com,2016-07-13,France,Cucala/NAM/Cucala,"L'  arbre  était  passé  de  génération  en  génération  ,  le  vieux  Ramón  (  Manuel Cucala  )  y  tenait  plus  qu'  à  sa  propre  vie  .",cucala,nam,cucala,Manuel,Manuel,PROPN,(,(,PUNCT,Ramón,Ramón,PROPN,vieux,vieux,ADJ,le,le,DET,),),PUNCT,y,y,PRON,tenait,tenir,VERB,plus,plus,ADV,qu',que,CONJ,2016-07-13,2016,2010,PUNCT PROPN Cucal PUNCT PRON,PROPN Cucal PUNCT,PUNCT PROPN Cucal,PROPN PUNCT PROPN Cucal,ADJ PROPN PUNCT PROPN Cucal,Cucal PUNCT PRON,Cucal PUNCT PRON VERB,Cucal PUNCT PRON VERB ADV,( Manuel Cucal ) y,Manuel Cucal ),( Manuel Cucal,Ramón ( Manuel Cucal,vieux Ramón ( Manuel Cucal,Cucal ) y,Cucal ) y tenir,Cucal ) y tenir plus
http://tempsreel.nouvelobs.com/cinema/20160713.OBS4577/juillet-aout-l-olivier-sparrows-les-films-a-voir-ou-pas-cette-semaine.html,nouvelobs.com,2016-07-13,France,Cucala/NAM/Cucala,"En  pasionaria  donquichottesque  ,  la  jeune  Anna  Castillo  est  formidable  et  Manuel Cucala  ,  aussi  silencieux  et  raboteux  qu'  un  vieil  olivier  ,  bouleversant  .",cucala,nam,cucala,Manuel,Manuel,PROPN,et,et,CONJ,formidable,formidable,ADJ,est,être,VERB,Castillo,Castillo,PROPN,",",",",PUNCT,aussi,aussi,ADV,silencieux,silencieux,ADJ,et,et,CONJ,raboteux,raboteux,ADJ,2016-07-13,2016,2010,CONJ PROPN Cucal PUNCT ADV,PROPN Cucal PUNCT,CONJ PROPN Cucal,ADJ CONJ PROPN Cucal,VERB ADJ CONJ PROPN Cucal,Cucal PUNCT ADV,Cucal PUNCT ADV ADJ,Cucal PUNCT ADV ADJ CONJ,"et Manuel Cucal , aussi","Manuel Cucal ,",et Manuel Cucal,formidable et Manuel Cucal,être formidable et Manuel Cucal,"Cucal , aussi","Cucal , aussi silencieux","Cucal , aussi silencieux et"
http://www.land.lu/2016/07/22/comme-un-arbre-dans-la-ville%e2%80%a9/,land.lu,2016-07-21,Luxembourg,Cucala/NAM/Cucala,"Le  grand-père  (  Manuel Cucala  )  le  chérit  ,  la  petite-fille  apprend  .",cucala,nam,cucala,Manuel,Manuel,PROPN,(,(,PUNCT,grand-père,grand-père,NOUN,Le,le,DET,,,,),),PUNCT,le,le,PRON,chérit,chérir,VERB,",",",",PUNCT,la,le,DET,2016-07-21,2016,2010,PUNCT PROPN Cucal PUNCT PRON,PROPN Cucal PUNCT,PUNCT PROPN Cucal,NOUN PUNCT PROPN Cucal,DET NOUN PUNCT PROPN Cucal,Cucal PUNCT PRON,Cucal PUNCT PRON VERB,Cucal PUNCT PRON VERB PUNCT,( Manuel Cucal ) le,Manuel Cucal ),( Manuel Cucal,grand-père ( Manuel Cucal,le grand-père ( Manuel Cucal,Cucal ) le,Cucal ) le chérir,"Cucal ) le chérir ,"
