url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lefigaro.fr/societes/2014/07/18/20005-20140718ARTFIG00023-danone-poursuit-sa-conquete-de-l-afrique.php,lefigaro.fr,2014-07-18,France,Danonino/NAM/Danonino,"Il  ne  prévoit  pas  à  ce  stade  d'  implanter  ses  propres  marques  (  Activia  ,  Taillefine  , Danonino  ...  )  dans  cette  région  .",danonino,nam,danonino,",",",",PUNCT,Taillefine,Taillefine,PROPN,",",",",PUNCT,Activia,Activia,PROPN,(,(,PUNCT,...,...,PUNCT,),),PUNCT,dans,dans,ADP,cette,ce,PRON,région,région,NOUN,2014-07-18,2014,2010,PROPN PUNCT Danonino PUNCT PUNCT,PUNCT Danonino PUNCT,PROPN PUNCT Danonino,PUNCT PROPN PUNCT Danonino,PROPN PUNCT PROPN PUNCT Danonino,Danonino PUNCT PUNCT,Danonino PUNCT PUNCT ADP,Danonino PUNCT PUNCT ADP PRON,"Taillefine , Danonino ... )",", Danonino ...","Taillefine , Danonino",", Taillefine , Danonino","Activia , Taillefine , Danonino",Danonino ... ),Danonino ... ) dans,Danonino ... ) dans ce
http://www.lefigaro.fr/societes/2014/07/18/20005-20140718ARTFIG00023-danone-poursuit-sa-conquete-de-l-afrique.php,lefigaro.fr,2014-07-18,France,Danonino/NAM/Danonino,"Il  y  possède  dix  usines  où  il  fabrique  à  la  fois  ses  marques  internationales  (  Activia  ,  Danette  , Danonino  )  et  locales  ,  parmi  lesquelles  des  yaourts  longue-conservation  (  Mayo  ,  UltraMel  )  .",danonino,nam,danonino,",",",",PUNCT,Danette,Danette,PROPN,",",",",PUNCT,Activia,Activia,PROPN,(,(,PUNCT,),),PUNCT,et,et,CONJ,locales,local,ADJ,",",",",PUNCT,parmi,parmi,ADP,2014-07-18,2014,2010,PROPN PUNCT Danonino PUNCT CONJ,PUNCT Danonino PUNCT,PROPN PUNCT Danonino,PUNCT PROPN PUNCT Danonino,PROPN PUNCT PROPN PUNCT Danonino,Danonino PUNCT CONJ,Danonino PUNCT CONJ ADJ,Danonino PUNCT CONJ ADJ PUNCT,"Danette , Danonino ) et",", Danonino )","Danette , Danonino",", Danette , Danonino","Activia , Danette , Danonino",Danonino ) et,Danonino ) et local,"Danonino ) et local ,"
http://www.lefigaro.fr/societes/2014/10/15/20005-20141015ARTFIG00351-danone-se-remet-en-ordre-de-bataille-en-europe.php,lefigaro.fr,2014-10-15,France,Danonino/NAM/Danonino,"Il  concentre  ainsi  ses  efforts  sur  des  gammes  plaisir  (  Liégeois  ,  Danette  )  ,  sur  de  nouveaux  moments  de  consommation  (  l'  en-cas  avec  Danio  )  ou  sur  des  publics  spécifiques  (  les  enfants  avec Danonino  )  .",danonino,nam,danonino,avec,avec,ADP,enfants,enfant,NOUN,les,le,DET,(,(,PUNCT,spécifiques,spécifique,ADJ,),),PUNCT,.,.,PUNCT,,,,,,,,,,2014-10-15,2014,2010,NOUN ADP Danonino PUNCT PUNCT,ADP Danonino PUNCT,NOUN ADP Danonino,DET NOUN ADP Danonino,PUNCT DET NOUN ADP Danonino,Danonino PUNCT PUNCT,,,enfant avec Danonino ) .,avec Danonino ),enfant avec Danonino,le enfant avec Danonino,( le enfant avec Danonino,Danonino ) .,,
http://www.lefigaro.fr/societes/2014/11/17/20005-20141117ARTFIG00051-danone-fait-appel-a-disney-pour-creer-un-dessin-anime.php,lefigaro.fr,2014-11-17,France,Danonino/NAM/Danonino,"C'  est  une  première  pour  Danone  :  le  numéro  un  mondial  des  produits  laitiers  va  porter  sur  le  petit  écran  les  aventures  de  Dino  ,  son  petit  dinosaure  bleu  qui  est  la  mascotte  de  la  marque  Petit  Gervais  ( Danonino  dans  le  reste  du  monde  )  .",danonino,nam,danonino,(,(,PUNCT,Gervais,Gervais,PROPN,Petit,Petit,PROPN,marque,marque,NOUN,la,le,DET,dans,dans,ADP,le,le,DET,reste,reste,NOUN,du,du,ADP DET,monde,monde,NOUN,2014-11-17,2014,2010,PROPN PUNCT Danonino ADP DET,PUNCT Danonino ADP,PROPN PUNCT Danonino,PROPN PROPN PUNCT Danonino,NOUN PROPN PROPN PUNCT Danonino,Danonino ADP DET,Danonino ADP DET NOUN,Danonino ADP DET NOUN ADP DET,Gervais ( Danonino dans le,( Danonino dans,Gervais ( Danonino,Petit Gervais ( Danonino,marque Petit Gervais ( Danonino,Danonino dans le,Danonino dans le reste,Danonino dans le reste du
http://www.zonebourse.com/DANONE-4634/actualite/DANONE--Convocation-a-LAssemblee-Generale-Mixte-Du-29-Avril-2015-20137879/,zonebourse.com,2015-04-03,===NONE===,Danonino/NAM/Danonino,"Danone  possède  un  portefeuille  de  marques  internationales  (  Activia  ,  Actimel  ,  Danette  , Danonino  ,  Danio  ,  Evian  ,  Volvic  ,  Nutrilon  /  Aptamil  ,  Nutricia  )  et  locales  (  Prostokvashino  ,  Aqua  ,  Bonafont  ,  Mizone  ,  Blédina  ,  Cow  &  Gate  ,  Dumex  )  .",danonino,nam,danonino,",",",",PUNCT,Danette,Danette,PROPN,",",",",PUNCT,Actimel,Actimel,PROPN,",",",",PUNCT,",",",",PUNCT,Danio,Danio,PROPN,",",",",PUNCT,Evian,Evian,PROPN,",",",",PUNCT,2015-04-03,2015,2010,PROPN PUNCT Danonino PUNCT PROPN,PUNCT Danonino PUNCT,PROPN PUNCT Danonino,PUNCT PROPN PUNCT Danonino,PROPN PUNCT PROPN PUNCT Danonino,Danonino PUNCT PROPN,Danonino PUNCT PROPN PUNCT,Danonino PUNCT PROPN PUNCT PROPN,"Danette , Danonino , Danio",", Danonino ,","Danette , Danonino",", Danette , Danonino","Actimel , Danette , Danonino","Danonino , Danio","Danonino , Danio ,","Danonino , Danio , Evian"
http://www.zonebourse.com/DANONE-4634/actualite/DANONE--Notification-de-mise-a-disposition-par-Danone-de-son-rapport-financier-semestriel-2015-20741935/,zonebourse.com,2015-07-24,===NONE===,Danonino/NAM/Danonino,"Danone  possède  un  portefeuille  de  marques  internationales  (  Activia  ,  Actimel  ,  Danette  , Danonino  ,  Danio  ,  Evian  ,  Volvic  ,  Nutrilon  /  Aptamil  ,  Nutricia  )  et  locales  (  Prostokvashino  ,  Aqua  ,  Bonafont  ,  Mizone  ,  Blédina  ,  Cow  &  Gate  ,  Dumex  )  .",danonino,nam,danonino,",",",",PUNCT,Danette,Danette,PROPN,",",",",PUNCT,Actimel,Actimel,PROPN,",",",",PUNCT,",",",",PUNCT,Danio,Danio,PROPN,",",",",PUNCT,Evian,Evian,PROPN,",",",",PUNCT,2015-07-24,2015,2010,PROPN PUNCT Danonino PUNCT PROPN,PUNCT Danonino PUNCT,PROPN PUNCT Danonino,PUNCT PROPN PUNCT Danonino,PROPN PUNCT PROPN PUNCT Danonino,Danonino PUNCT PROPN,Danonino PUNCT PROPN PUNCT,Danonino PUNCT PROPN PUNCT PROPN,"Danette , Danonino , Danio",", Danonino ,","Danette , Danonino",", Danette , Danonino","Actimel , Danette , Danonino","Danonino , Danio","Danonino , Danio ,","Danonino , Danio , Evian"
http://www.zonebourse.com/DANONE-4634/actualite/DANONE--et-B-Lab-annoncent-un-partenariat-visant-a-ouvrir-la-voie-de-la-certification--B-Corp--au-21570062/,zonebourse.com,2015-12-17,===NONE===,Danonino/NAM/Danonino,"Danone  possède  un  portefeuille  de  marques  internationales  (  Activia  ,  Actimel  ,  Danette  , Danonino  ,  Danio  ,  Evian  ,  Volvic  ,  Nutrilon  /  Aptamil  ,  Nutricia  )  et  locales  (  Prostokvashino  ,  Aqua  ,  Bonafont  ,  Mizone  ,  Blédina  ,  Cow  &  Gate  ,  Dumex  )  .",danonino,nam,danonino,",",",",PUNCT,Danette,Danette,PROPN,",",",",PUNCT,Actimel,Actimel,PROPN,",",",",PUNCT,",",",",PUNCT,Danio,Danio,PROPN,",",",",PUNCT,Evian,Evian,PROPN,",",",",PUNCT,2015-12-17,2015,2010,PROPN PUNCT Danonino PUNCT PROPN,PUNCT Danonino PUNCT,PROPN PUNCT Danonino,PUNCT PROPN PUNCT Danonino,PROPN PUNCT PROPN PUNCT Danonino,Danonino PUNCT PROPN,Danonino PUNCT PROPN PUNCT,Danonino PUNCT PROPN PUNCT PROPN,"Danette , Danonino , Danio",", Danonino ,","Danette , Danonino",", Danette , Danonino","Actimel , Danette , Danonino","Danonino , Danio","Danonino , Danio ,","Danonino , Danio , Evian"
http://www.usinenouvelle.com/editorial/danone-investit-en-afrique-et-freine-sa-chute-dans-les-produits-laitiers.N381236?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Ba-la-une%2B%2528Usine%2BNouvelle%2B-%2BA%2Bla%2Bune%2529,usinenouvelle.com,2016-02-24,===NONE===,Danonino/NAM/Danonino,"""  2016  va  concrétiser  nos  efforts  de  repositionnement  de  nos  marques  ,  avec  le  transfert  récent  de  Petit  Gervais  vers  notre  marque  mondiale Danonino  .",danonino,nam,danonino,mondiale,mondial,ADJ,marque,marque,NOUN,notre,notre,DET,vers,vers,ADP,Gervais,Gervais,PROPN,.,.,PUNCT,,,,,,,,,,,,,2016-02-24,2016,2010,,ADJ Danonino PUNCT,NOUN ADJ Danonino,DET NOUN ADJ Danonino,ADP DET NOUN ADJ Danonino,,,,,mondial Danonino .,marque mondial Danonino,notre marque mondial Danonino,vers notre marque mondial Danonino,,,
http://www.zonebourse.com/DANONE-4634/actualite/DANONE-UITA-signature-d-une-dixieme-convention-sur-l-emploi-durable-22015205/,zonebourse.com,2016-03-15,===NONE===,Danonino/NAM/Danonino,"Danone  possède  un  portefeuille  de  marques  internationales  (  Activia  ,  Actimel  ,  Danette  , Danonino  ,  Danio  ,  Evian  ,  Volvic  ,  Nutrilon  /  Aptamil  ,  Nutricia  )  et  locales  (  Oikos  ,  Prostokvashino  ,  Aqua  ,  Bonafont  ,  Mizone  ,  Blédina  ,  Cow  &  Gate  )  .",danonino,nam,danonino,",",",",PUNCT,Danette,Danette,PROPN,",",",",PUNCT,Actimel,Actimel,PROPN,",",",",PUNCT,",",",",PUNCT,Danio,Danio,PROPN,",",",",PUNCT,Evian,Evian,PROPN,",",",",PUNCT,2016-03-15,2016,2010,PROPN PUNCT Danonino PUNCT PROPN,PUNCT Danonino PUNCT,PROPN PUNCT Danonino,PUNCT PROPN PUNCT Danonino,PROPN PUNCT PROPN PUNCT Danonino,Danonino PUNCT PROPN,Danonino PUNCT PROPN PUNCT,Danonino PUNCT PROPN PUNCT PROPN,"Danette , Danonino , Danio",", Danonino ,","Danette , Danonino",", Danette , Danonino","Actimel , Danette , Danonino","Danonino , Danio","Danonino , Danio ,","Danonino , Danio , Evian"
http://www.zonebourse.com/DANONE-4634/actualite/DANONE-Nomination-au-Comite-Executif-Bridgette-Heller-Directrice-Generale-du-pole-Nutrition-Inf-22161795/,zonebourse.com,2016-04-13,===NONE===,Danonino/NAM/Danonino,"Danone  possède  un  portefeuille  de  marques  internationales  (  Activia  ,  Actimel  ,  Danette  , Danonino  ,  Danio  ,  Evian  ,  Volvic  ,  Nutrilon  /  Aptamil  ,  Nutricia  )  et  locales  (  Oikos  ,  Prostokvashino  ,  Aqua  ,  Bonafont  ,  Mizone  ,  Blédina  ,  Cow  &  Gate  )  .",danonino,nam,danonino,",",",",PUNCT,Danette,Danette,PROPN,",",",",PUNCT,Actimel,Actimel,PROPN,",",",",PUNCT,",",",",PUNCT,Danio,Danio,PROPN,",",",",PUNCT,Evian,Evian,PROPN,",",",",PUNCT,2016-04-13,2016,2010,PROPN PUNCT Danonino PUNCT PROPN,PUNCT Danonino PUNCT,PROPN PUNCT Danonino,PUNCT PROPN PUNCT Danonino,PROPN PUNCT PROPN PUNCT Danonino,Danonino PUNCT PROPN,Danonino PUNCT PROPN PUNCT,Danonino PUNCT PROPN PUNCT PROPN,"Danette , Danonino , Danio",", Danonino ,","Danette , Danonino",", Danette , Danonino","Actimel , Danette , Danonino","Danonino , Danio","Danonino , Danio ,","Danonino , Danio , Evian"
