url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lejdd.fr/Medias/Television/Lorant-Deutsch-Si-je-n-avais-pas-ete-comedien-644694,lejdd.fr,2014-01-02,France,digicodes/NOM/digicodes,Maudits digicodes  .,digicodes,nom,digicodes,Maudits,maudit,ADJ,,,,,,,,,,,,,.,.,PUNCT,,,,,,,,,,,,,2014-01-02,2014,2010,,ADJ Digicode PUNCT,,,,,,,,maudit Digicode .,,,,,,
http://www.lepopulaire.fr/limousin/actualite/departement/haute-vienne/2014/01/02/les-echanges-de-projectiles-entre-linterieur-et-lexterieur-de-la-prison-excedent-des-riverains_1822103.html,lepopulaire.fr,2014-01-02,France,digicode/NOM/digicode,"Installation  d'  interphone  ,  pose  de  portail  ,  investissement  dans  un digicode  ,  appels  au  17  ...",digicode,nom,digicode,un,un,DET,dans,dans,ADP,investissement,investissement,NOUN,",",",",PUNCT,portail,portail,NOUN,",",",",PUNCT,appels,appel,NOUN,au,au,ADP DET,17,@card@,ADJ,...,...,PUNCT,2014-01-02,2014,2010,ADP DET Digicode PUNCT NOUN,DET Digicode PUNCT,ADP DET Digicode,NOUN ADP DET Digicode,PUNCT NOUN ADP DET Digicode,Digicode PUNCT NOUN,Digicode PUNCT NOUN ADP DET,Digicode PUNCT NOUN ADP DET ADJ,"dans un Digicode , appel","un Digicode ,",dans un Digicode,investissement dans un Digicode,", investissement dans un Digicode","Digicode , appel","Digicode , appel au","Digicode , appel au @card@"
http://forums.futura-sciences.com/bricolage-decoration/631059-controle-dacces.html,futura-sciences.com,2014-01-08,France,digicode/NOM/digicode,"-  installation  d'  une  ventouse  sur  une  première  porte  qui  sera  commandé  par  une digicode  ,  une  télécommande  4  bouton  CAME  et  un  interphone  relié  a  l'  accueil  .",digicode,nom,digicode,une,un,DET,par,par,ADP,commandé,commander,VERB,sera,être,VERB,qui,qui,PRON,",",",",PUNCT,une,un,DET,télécommande,télécommande,NOUN,4,@card@,ADJ,bouton,bouton,NOUN,2014-01-08,2014,2010,ADP DET Digicode PUNCT DET,DET Digicode PUNCT,ADP DET Digicode,VERB ADP DET Digicode,VERB VERB ADP DET Digicode,Digicode PUNCT DET,Digicode PUNCT DET NOUN,Digicode PUNCT DET NOUN ADJ,"par un Digicode , un","un Digicode ,",par un Digicode,commander par un Digicode,être commander par un Digicode,"Digicode , un","Digicode , un télécommande","Digicode , un télécommande @card@"
http://www.ledauphine.com/isere-sud/2014/01/13/ils-la-draguent-avant-de-lui-voler-son-sac,ledauphine.com,2014-01-14,===NONE===,digicode/NOM/digicode,"La  jeune  femme  s'  est  éloignée  du  groupe  ,  est  allée  chercher  des  croissants  et  lorsqu'  elle  est  arrivée  devant  l'  hôtel  et  qu'  elle  a  posé  son  sac  à  terre  pour  composer  le digicode  ,  les  deux  individus  en  ont  profité  pour  le  lui  voler  et  prendre  la  fuite  .",digicode,nom,digicode,le,le,DET,composer,composer,VERB,pour,pour,ADP,terre,terre,NOUN,à,à,ADP,",",",",PUNCT,les,le,DET,deux,deux,ADJ,individus,individu,NOUN,en,en,PRON,2014-01-14,2014,2010,VERB DET Digicode PUNCT DET,DET Digicode PUNCT,VERB DET Digicode,ADP VERB DET Digicode,NOUN ADP VERB DET Digicode,Digicode PUNCT DET,Digicode PUNCT DET ADJ,Digicode PUNCT DET ADJ NOUN,"composer le Digicode , le","le Digicode ,",composer le Digicode,pour composer le Digicode,terre pour composer le Digicode,"Digicode , le","Digicode , le deux","Digicode , le deux individu"
http://forums.futura-sciences.com/electronique/632472-digicode-style-dessamorsage.html,futura-sciences.com,2014-01-18,France,Digicode/NAM/Digicode,<doc uri=http://forums.futura-sciences.com/electronique/632472-digicode-style-dessamorsage.html website=futura-sciences.com date=2014-01-18 source_country=France> Digicode  (  Style  dessamorsage  ),digicode,nam,digicode,,,,,,,,,,,,,,,,(,(,PUNCT,Style,Style,PROPN,dessamorsage,dessamorsage,NOUN,),),PUNCT,,,,2014-01-18,2014,2010,,,,,,Digicode PUNCT PROPN,Digicode PUNCT PROPN NOUN,Digicode PUNCT PROPN NOUN PUNCT,,,,,,Digicode ( Style,Digicode ( Style dessamorsage,Digicode ( Style dessamorsage )
http://forums.futura-sciences.com/electronique/632472-digicode-style-dessamorsage.html,futura-sciences.com,2014-01-18,France,digicode/NOM/digicode,"Je  voudrais  savoir  comment  créer  un digicode  qui  puisse  faire  office  d'  interrupteur  (  interrupteur  fermer  quand  on  trouve  le  bon  code  )  ,  mais  un  peut  plus  complexe  tout  de  même  :",digicode,nom,digicode,un,un,DET,créer,créer,VERB,comment,comment,ADV,savoir,savoir,VERB,voudrais,vouloir,VERB,qui,qui,PRON,puisse,pouvoir,VERB,faire,faire,VERB,office,office,NOUN,d',de,ADP,2014-01-18,2014,2010,VERB DET Digicode PRON VERB,DET Digicode PRON,VERB DET Digicode,ADV VERB DET Digicode,VERB ADV VERB DET Digicode,Digicode PRON VERB,Digicode PRON VERB VERB,Digicode PRON VERB VERB NOUN,créer un Digicode qui pouvoir,un Digicode qui,créer un Digicode,comment créer un Digicode,savoir comment créer un Digicode,Digicode qui pouvoir,Digicode qui pouvoir faire,Digicode qui pouvoir faire office
http://forums.futura-sciences.com/electronique/632472-digicode-style-dessamorsage.html,futura-sciences.com,2014-01-18,France,digicode/NOM/digicode,-  il  devra  posséder  un  afficheur  7  segment  (  qui  affiche  le  code  si  brancher  au  boitier digicode  ),digicode,nom,digicode,boitier,boitier,ADJ,au,au,ADP DET,brancher,brancher,VERB,si,si,CONJ,code,code,NOUN,),),PUNCT,,,,,,,,,,,,,2014-01-18,2014,2010,,ADJ Digicode PUNCT,ADP DET ADJ Digicode,VERB ADP DET ADJ Digicode,CONJ VERB ADP DET ADJ Digicode,,,,,boitier Digicode ),au boitier Digicode,brancher au boitier Digicode,si brancher au boitier Digicode,,,
http://www.ligury.com/?p=18449,ligury.com,2014-01-19,===NONE===,Digicode/NAM/Digicode,"(  M.  Lemoine  -  Le  Monde  Diplomatique  ,  18  /  0  1  /  14  )  -  Lorsque  ,  voilà  deux  décennies  ,  un Digicode  a  remplacé  la  concierge  qui  ,  cerbère  embusqué  derrière  le  rideau  de  sa  loge  ,  surveillait  l'  escalier  ,  vous  avez  soupiré  ,  soulagé  :  vos  allées  et  venues  et  fréquentations  allaient  enfin  passer  inaperçues  .",digicode,nam,digicode,un,un,DET,",",",",PUNCT,décennies,décennie,NOUN,deux,deux,ADJ,voilà,voilà,ADV,a,avoir,VERB,remplacé,remplacer,VERB,la,le,DET,concierge,concierge,NOUN,qui,qui,PRON,2014-01-19,2014,2010,PUNCT DET Digicode VERB VERB,DET Digicode VERB,PUNCT DET Digicode,NOUN PUNCT DET Digicode,ADJ NOUN PUNCT DET Digicode,Digicode VERB VERB,Digicode VERB VERB DET,Digicode VERB VERB DET NOUN,", un Digicode avoir remplacer",un Digicode avoir,", un Digicode","décennie , un Digicode","deux décennie , un Digicode",Digicode avoir remplacer,Digicode avoir remplacer le,Digicode avoir remplacer le concierge
http://next.liberation.fr/arts/2014/01/17/data-centers-art-around-the-bunker_973670?xtor=rss-450,liberation.fr,2014-01-20,France,digicodes/NOM/digicodes,"""  Le  data  center  ,  poursuivent-ils  ,  est  un  espace  hautement  sécurisé  ,  qui  garantit  l'  intégrité  des  données  ,  avec  des  systèmes  de  protection  redondants  ,  des  barbelés  ,  des  vigiles  ,  des  chiens  ,  des digicodes  ,  des  caméras  de  surveillance  ,  des  systèmes  de  détections  d'  intrusion  ,  des  dispositifs  biométriques  ""  qui  vont  créer  comme  une  machine  autonome  ,  un  univers  de  données  où  toute  présence  humaine  semble  incongrue  ""  .",digicodes,nom,digicodes,des,du,ADP DET,",",",",PUNCT,chiens,chien,NOUN,des,du,ADP DET,",",",",PUNCT,",",",",PUNCT,des,du,ADP DET,caméras,caméra,NOUN,de,de,ADP,surveillance,surveillance,NOUN,2014-01-20,2014,2010,PUNCT ADP DET Digicode PUNCT ADP DET,ADP DET Digicode PUNCT,PUNCT ADP DET Digicode,NOUN PUNCT ADP DET Digicode,ADP DET NOUN PUNCT ADP DET Digicode,Digicode PUNCT ADP DET,Digicode PUNCT ADP DET NOUN,Digicode PUNCT ADP DET NOUN ADP,", du Digicode , du","du Digicode ,",", du Digicode","chien , du Digicode","du chien , du Digicode","Digicode , du","Digicode , du caméra","Digicode , du caméra de"
http://www.ladepeche.fr/article/2014/01/21/1799434-couiza-premiere-pierre-du-funerarium.html,ladepeche.fr,2014-01-21,France,digicode/NOM/digicode,Ce  funérarium  sera  composé  de  deux  salons  sécurisés  par digicode  pour  visite  de  jour  comme  de  nuit  .,digicode,nom,digicode,par,par,ADP,sécurisés,sécuriser,VERB,salons,salon,NOUN,deux,deux,ADJ,de,de,ADP,pour,pour,ADP,visite,visite,NOUN,de,de,ADP,jour,jour,NOUN,comme,comme,CONJ,2014-01-21,2014,2010,VERB ADP Digicode ADP NOUN,ADP Digicode ADP,VERB ADP Digicode,NOUN VERB ADP Digicode,ADJ NOUN VERB ADP Digicode,Digicode ADP NOUN,Digicode ADP NOUN ADP,Digicode ADP NOUN ADP NOUN,sécuriser par Digicode pour visite,par Digicode pour,sécuriser par Digicode,salon sécuriser par Digicode,deux salon sécuriser par Digicode,Digicode pour visite,Digicode pour visite de,Digicode pour visite de jour
