url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://bourse.lesechos.fr/infos-conseils-boursiers/infos-conseils-valeurs/infos/pleins-feux-sur-sodastream-apres-l-accord-coke-green-mountain-949170.php,lesechos.fr,2014-02-06,France,Dr_Pepper/NAM_NAM/Dr_Pepper,"7  février  (  Reuters  )  -  L'  entrée  fracassante  de  Coca-Cola  au  capital  de  Green  Mountain  Coffee  Roasters  met  sous  pression  le  leader  des  sodas  à  domicile  ,  SodaStream  International  ,  qui  pourrait  désormais  rechercher  un  partenariat  voire  une  fusion  avec  un  PepsiCo  ou  autre Dr_Pepper  Snapple  Group  .",dr_pepper,nam_nam,dr_pepper,autre,autre,ADJ,ou,ou,CONJ,PepsiCo,PepsiCo,NOUN,un,un,DET,avec,avec,ADP,Snapple,Snapple,PROPN,Group,Group,PROPN,.,.,PUNCT,,,,,,,2014-02-06,2014,2010,CONJ ADJ Dr Pepper PROPN PROPN,ADJ Dr Pepper PROPN,CONJ ADJ Dr Pepper,NOUN CONJ ADJ Dr Pepper,DET NOUN CONJ ADJ Dr Pepper,Dr Pepper PROPN PROPN,Dr Pepper PROPN PROPN PUNCT,,ou autre Dr Pepper Snapple Group,autre Dr Pepper Snapple,ou autre Dr Pepper,PepsiCo ou autre Dr Pepper,un PepsiCo ou autre Dr Pepper,Dr Pepper Snapple Group,Dr Pepper Snapple Group .,
http://www.anderlecht-online.be/article.php?id=23014&lang=fra,anderlecht-online.be,2014-02-21,Belgium,Dr_Pepper/NAM_NAM/Dr_Pepper,<doc uri=http://www.anderlecht-online.be/article.php?id=23014&lang=fra website=anderlecht-online.be date=2014-02-21 source_country=Belgium> /le/DET:ART /Elites/NOM /au/PRP:det Dr_Pepper  Dallas  Cup,dr_pepper,nam_nam,dr_pepper,au,au,ADP DET,Elites,Elites,NOUN,Les,le,DET,,,,,,,Dallas,Dallas,PROPN,Cup,Cup,PROPN,,,,,,,,,,2014-02-21,2014,2010,NOUN ADP DET Dr Pepper PROPN PROPN,ADP DET Dr Pepper PROPN,NOUN ADP DET Dr Pepper,DET NOUN ADP DET Dr Pepper,,Dr Pepper PROPN PROPN,,,Elites au Dr Pepper Dallas Cup,au Dr Pepper Dallas,Elites au Dr Pepper,le Elites au Dr Pepper,,Dr Pepper Dallas Cup,,
http://www.anderlecht-online.be/article.php?id=23014&lang=fra,anderlecht-online.be,2014-02-21,Belgium,Dr_Pepper/NAM_NAM/Dr_Pepper,"Du  13  au  20  avril  2014  ,  se  déroulera  le  prestigieux  tournoi Dr_Pepper  Dallas  Cup  .",dr_pepper,nam_nam,dr_pepper,tournoi,tournoi,NOUN,prestigieux,prestigieux,ADJ,le,le,DET,déroulera,dérouler,VERB,se,se,PRON,Dallas,Dallas,PROPN,Cup,Cup,PROPN,.,.,PUNCT,,,,,,,2014-02-21,2014,2010,ADJ NOUN Dr Pepper PROPN PROPN,NOUN Dr Pepper PROPN,ADJ NOUN Dr Pepper,DET ADJ NOUN Dr Pepper,VERB DET ADJ NOUN Dr Pepper,Dr Pepper PROPN PROPN,Dr Pepper PROPN PROPN PUNCT,,prestigieux tournoi Dr Pepper Dallas Cup,tournoi Dr Pepper Dallas,prestigieux tournoi Dr Pepper,le prestigieux tournoi Dr Pepper,dérouler le prestigieux tournoi Dr Pepper,Dr Pepper Dallas Cup,Dr Pepper Dallas Cup .,
http://www.anderlecht-online.be/article.php?id=23014&lang=fra,anderlecht-online.be,2014-02-21,Belgium,Dr_Pepper/NAM_NAM/Dr_Pepper,"Le Dr_Pepper  Dallas  dispose  de  la  marque  Adidas  comme  sponsor  ,  tout  comme  le  Sporting  d'  Anderlecht  qui  peut  ainsi  représenter  la  Belgique  . </doc>",dr_pepper,nam_nam,dr_pepper,Le,le,DET,,,,,,,,,,,,,Dallas,Dallas,PROPN,dispose,disposer,VERB,de,de,ADP,la,le,DET,marque,marque,NOUN,2014-02-21,2014,2010,,DET Dr Pepper PROPN,,,,Dr Pepper PROPN VERB,Dr Pepper PROPN VERB ADP,Dr Pepper PROPN VERB ADP DET,,le Dr Pepper Dallas,,,,Dr Pepper Dallas disposer,Dr Pepper Dallas disposer de,Dr Pepper Dallas disposer de le
http://24hmontreal.canoe.ca/24hmontreal/actualites/archives/2014/07/20140709-120004.html,canoe.ca,2014-07-10,Canada,Dr_Pepper/NAM_NAM/Dr_Pepper,"Le  camion  tente  aussi  de  reproduire  de  façon  artisanale  différentes  boissons  gazeuses  populaires  ,  comme  le Dr_Pepper  .",dr_pepper,nam_nam,dr_pepper,le,le,DET,comme,comme,CONJ,",",",",PUNCT,populaires,populaire,ADJ,gazeuses,gazeuse|gazeux,ADJ,.,.,PUNCT,,,,,,,,,,,,,2014-07-10,2014,2010,,DET Dr Pepper PUNCT,CONJ DET Dr Pepper,PUNCT CONJ DET Dr Pepper,ADJ PUNCT CONJ DET Dr Pepper,,,,,le Dr Pepper .,comme le Dr Pepper,", comme le Dr Pepper","populaire , comme le Dr Pepper",,,
http://24hmontreal.canoe.ca/24hmontreal/actualites/archives/2014/07/20140709-120004.html,canoe.ca,2014-07-10,Canada,Dr_Pepper/NAM_NAM/Dr_Pepper,Deux Dr_Pepper  à  3  $  chacun  complètent  le  repas  .,dr_pepper,nam_nam,dr_pepper,Deux,deux,ADJ,,,,,,,,,,,,,à,à,ADP,3,@card@,ADJ,$,$,NOUN,chacun,chacun,PRON,complètent,compléter,VERB,2014-07-10,2014,2010,,ADJ Dr Pepper ADP,,,,Dr Pepper ADP ADJ,Dr Pepper ADP ADJ NOUN,Dr Pepper ADP ADJ NOUN PRON,,deux Dr Pepper à,,,,Dr Pepper à @card@,Dr Pepper à @card@ $,Dr Pepper à @card@ $ chacun
http://24hmontreal.canoe.ca/24hmontreal/actualites/archives/2014/07/20140709-120004.html,canoe.ca,2014-07-10,Canada,Dr_Pepper/NAM_NOM/Dr_Pepper,"Côté  boissons  ,  les  clients  peuvent  transformer  un Dr_Pepper  en  flotteur  pour  2  $  supplémentaires  .",dr_pepper,nam_nom,dr_pepper,un,un,DET,transformer,transformer,VERB,peuvent,pouvoir,VERB,clients,client,NOUN,les,le,DET,en,en,ADP,flotteur,flotteur,NOUN,pour,pour,ADP,2,@card@,ADJ,$,$,NOUN,2014-07-10,2014,2010,VERB DET Dr Pepper ADP NOUN,DET Dr Pepper ADP,VERB DET Dr Pepper,VERB VERB DET Dr Pepper,NOUN VERB VERB DET Dr Pepper,Dr Pepper ADP NOUN,Dr Pepper ADP NOUN ADP,Dr Pepper ADP NOUN ADP ADJ,transformer un Dr Pepper en flotteur,un Dr Pepper en,transformer un Dr Pepper,pouvoir transformer un Dr Pepper,client pouvoir transformer un Dr Pepper,Dr Pepper en flotteur,Dr Pepper en flotteur pour,Dr Pepper en flotteur pour @card@
http://24hmontreal.canoe.ca/24hmontreal/actualites/archives/2014/07/20140709-120004.html,canoe.ca,2014-07-10,Canada,Dr_Pepper/NAM_NAM/Dr_Pepper,Un  mot  sur  le  service  :  ils  n'  ont  pas  hésité  une  seconde  à  remplacer  le Dr_Pepper  qu'  Olivier  a  échappé  sur  le  sol  .,dr_pepper,nam_nam,dr_pepper,le,le,DET,remplacer,remplacer,VERB,à,à,ADP,seconde,second,ADJ,une,un,DET,qu',que,CONJ,Olivier,Olivier,PROPN,a,avoir,VERB,échappé,échapper,VERB,sur,sur,ADP,2014-07-10,2014,2010,VERB DET Dr Pepper CONJ PROPN,DET Dr Pepper CONJ,VERB DET Dr Pepper,ADP VERB DET Dr Pepper,ADJ ADP VERB DET Dr Pepper,Dr Pepper CONJ PROPN,Dr Pepper CONJ PROPN VERB,Dr Pepper CONJ PROPN VERB VERB,remplacer le Dr Pepper que Olivier,le Dr Pepper que,remplacer le Dr Pepper,à remplacer le Dr Pepper,second à remplacer le Dr Pepper,Dr Pepper que Olivier,Dr Pepper que Olivier avoir,Dr Pepper que Olivier avoir échapper
http://24hmontreal.canoe.ca/24hmontreal/actualites/archives/2014/07/20140709-120004.html,canoe.ca,2014-07-10,Canada,Dr_Pepper/NAM_NAM/Dr_Pepper,"La  plus  chère  (  20  $  )  comprend  une  poutine  ,  une  brioche  sucrée  et  une  brioche  salée  (  sans  garniture  )  ,  ainsi  qu'  un Dr_Pepper  .",dr_pepper,nam_nam,dr_pepper,un,un,DET,qu',que,CONJ,ainsi,ainsi,CONJ,",",",",PUNCT,),),PUNCT,.,.,PUNCT,,,,,,,,,,,,,2014-07-10,2014,2010,,DET Dr Pepper PUNCT,CONJ DET Dr Pepper,CONJ CONJ DET Dr Pepper,PUNCT CONJ CONJ DET Dr Pepper,,,,,un Dr Pepper .,que un Dr Pepper,ainsi que un Dr Pepper,", ainsi que un Dr Pepper",,,
http://www.gizmodo.fr/2014/07/28/boire-ecran-bleu-mort-hakers-bar.html,gizmodo.fr,2014-07-28,France,Dr_Pepper/NAM_NOM/Dr_Pepper,"Le  breuvage  préféré  du  patron  ?  Le  Hackers  Highball  ,  avec  du Dr_Pepper  -  difficile  à  trouver  au  Pays  du  Soleil  Levant  ,  il  est  très  prisé  des  hackers  japonais  ,  alors  l'  approvisionnement  est  assuré  par  Amazon  !  -  .",dr_pepper,nam_nom,dr_pepper,du,du,ADP DET,avec,avec,ADP,",",",",PUNCT,Highball,Highball,PROPN,Hackers,Hackers,NOUN,-,-,PUNCT,difficile,difficile,ADJ,à,à,ADP,trouver,trouver,VERB,au,au,ADP DET,2014-07-28,2014,2010,ADP ADP DET Dr Pepper PUNCT ADJ,ADP DET Dr Pepper PUNCT,ADP ADP DET Dr Pepper,PUNCT ADP ADP DET Dr Pepper,PROPN PUNCT ADP ADP DET Dr Pepper,Dr Pepper PUNCT ADJ,Dr Pepper PUNCT ADJ ADP,Dr Pepper PUNCT ADJ ADP VERB,avec du Dr Pepper - difficile,du Dr Pepper -,avec du Dr Pepper,", avec du Dr Pepper","Highball , avec du Dr Pepper",Dr Pepper - difficile,Dr Pepper - difficile à,Dr Pepper - difficile à trouver
