url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.leparisien.fr/loisirs-et-spectacles/video-willy-rovelli-electrise-la-nouvelle-ecole-des-fans-03-01-2014-3459355.php,leparisien.fr,2014-01-03,France,Duracell/NAM/Duracell,"Parmi  les  invités  qui  marqueront  la  saison  ,  le  rappeur  La  Fouine  (  au  centre  )  sera  prochainement  sur  le  plateau  de  Willy  Rovelli  .  |  (  LP  /  Matthieu  de  Martignac  .  )  Une  voix  inimitable  et  une  énergie  de  lapin Duracell  .",duracell,nam,duracell,lapin,lapin,NOUN,de,de,ADP,énergie,énergie,NOUN,une,un,DET,et,et,CONJ,.,.,PUNCT,,,,,,,,,,,,,2014-01-03,2014,2010,,NOUN Duracell PUNCT,ADP NOUN Duracell,NOUN ADP NOUN Duracell,DET NOUN ADP NOUN Duracell,,,,,lapin Duracell .,de lapin Duracell,énergie de lapin Duracell,un énergie de lapin Duracell,,,
http://24hmontreal.canoe.ca/24hmontreal/chroniques/lesjusticiersmasques/archives/2014/01/20140115-152040.html,canoe.ca,2014-01-16,Canada,Duracell/NAM/Duracell,"Une  femme  se  rend  à  l'  urgence  à  cause  d'  un  orgasme  qui  dure  près  de  trois  heures  :  Y  '  a  pas  à  dire  ,  les  nouvelles  piles Duracell  au  lithium  sont  TRÈS  efficaces  ! </doc>",duracell,nam,duracell,piles,pile,NOUN,nouvelles,nouveau,ADJ,les,le,DET,",",",",PUNCT,dire,dire,VERB,au,au,ADP DET,lithium,lithium,NOUN,sont,être,VERB,TRÈS,TRÈS,PROPN,efficaces,efficace,ADJ,2014-01-16,2014,2010,ADJ NOUN Duracell ADP DET NOUN,NOUN Duracell ADP DET,ADJ NOUN Duracell,DET ADJ NOUN Duracell,PUNCT DET ADJ NOUN Duracell,Duracell ADP DET NOUN,Duracell ADP DET NOUN VERB,Duracell ADP DET NOUN VERB PROPN,nouveau pile Duracell au lithium,pile Duracell au,nouveau pile Duracell,le nouveau pile Duracell,", le nouveau pile Duracell",Duracell au lithium,Duracell au lithium être,Duracell au lithium être TRÈS
http://www.enerzine.com/603/16801%2Bdes-millions-de-watts-generes-a-partir-dun-carburant-a-base-deau%2B.html,enerzine.com,2014-01-16,===NONE===,Duracell/NAM/Duracell,"Le  docteur  Terry  Copeland  ,  qui  a  dirigé  le  développement  de  produits  pour  plusieurs  entreprises  spécialistes  de  l'  électrochimie  et  de  l'  électricité  ,  telles  que  DuPont  Company  et Duracell  ,  a  ajouté  :  ""  Le  docteur  James  Pugh  (  alors  directeur  technologique  d'  ENSER  )  et  le  docteur  Ethirajulu  Dayalan  ont  participé  avec  moi  aux  essais  indépendants  des  piles  CIHT  sur  le  site  d'  ENSER  Corporation  à  Pinellas  Park  ,  en  Floride  ,  à  partir  du  28  novembre  2012  .",duracell,nam,duracell,et,et,CONJ,Company,Company,PROPN,DuPont,Dupont,PROPN,que,que,PRON,telles,tel,PRON,",",",",PUNCT,a,avoir,VERB,ajouté,ajouter,VERB,:,:,PUNCT,"""","""",PUNCT,2014-01-16,2014,2010,PROPN CONJ Duracell PUNCT VERB,CONJ Duracell PUNCT,PROPN CONJ Duracell,PROPN PROPN CONJ Duracell,PRON PROPN PROPN CONJ Duracell,Duracell PUNCT VERB,Duracell PUNCT VERB VERB,Duracell PUNCT VERB VERB PUNCT,"Company et Duracell , avoir","et Duracell ,",Company et Duracell,Dupont Company et Duracell,que Dupont Company et Duracell,"Duracell , avoir","Duracell , avoir ajouter","Duracell , avoir ajouter :"
http://www.generation-nt.com/powermat-flextronics-recharge-sans-fil-solution-mobile-actualite-1839322.html,generation-nt.com,2014-01-17,France,Duracell/NAM/Duracell, Duracell  Powermat  veut  tenter  un  passage  en  force  pour  démocratiser  la  recharge  sans  fil  dans  les  produits  mobiles  et  annonce  un  partenariat  avec  Flextronics  pour  développer  un  composant  pouvant  être  produit  en  masse  .,duracell,nam,duracell,,,,,,,,,,,,,,,,Powermat,Powermat,PROPN,veut,vouloir,VERB,tenter,tenter,VERB,un,un,DET,passage,passage,NOUN,2014-01-17,2014,2010,,,,,,Duracell PROPN VERB,Duracell PROPN VERB VERB,Duracell PROPN VERB VERB DET,,,,,,Duracell Powermat vouloir,Duracell Powermat vouloir tenter,Duracell Powermat vouloir tenter un
http://www.lapresse.ca/arts/musique/201401/20/01-4730416-lempire-de-jay-z.php,lapresse.ca,2014-01-21,Canada,Duracell/NAM/Duracell,"Sinon  ,  il  a  investi  ou  s'  est  associé  dans  le  passé  au  moteur  de  recherche  Bing  ,  à  Budweiser  Select  (  comme  codirecteur  de  marque  )  ,  aux  montres  Audemars  Piguet  ,  au  jeu  de  Facebook  Empire  ,  à  l'  équipe  de  foot  Arsenal  FC  et  à  des  marques  de  toutes  sortes  ,  dont Duracell  ,  Heineken  et  Chrysler  .",duracell,nam,duracell,dont,dont,PRON,",",",",PUNCT,sortes,sorte,NOUN,toutes,tout,PRON,de,de,ADP,",",",",PUNCT,Heineken,Heineken,PROPN,et,et,CONJ,Chrysler,Chrysler,PROPN,.,.,PUNCT,2014-01-21,2014,2010,PUNCT PRON Duracell PUNCT PROPN,PRON Duracell PUNCT,PUNCT PRON Duracell,NOUN PUNCT PRON Duracell,PRON NOUN PUNCT PRON Duracell,Duracell PUNCT PROPN,Duracell PUNCT PROPN CONJ,Duracell PUNCT PROPN CONJ PROPN,", dont Duracell , Heineken","dont Duracell ,",", dont Duracell","sorte , dont Duracell","tout sorte , dont Duracell","Duracell , Heineken","Duracell , Heineken et","Duracell , Heineken et Chrysler"
http://www.capital.fr/bourse/actualites/essilor-a-finalise-six-nouveaux-partenariats-en-amerique-du-nord-907052#xtor%3DRSS-217,capital.fr,2014-01-31,France,Duracell/NAM/Duracell,"Procter  &  Gamble  (  marques  Pampers  ,  Gillette  ,  Ariel  , Duracell  ...  )  a  lancé  un  nouveau  produit  en  France  sur  le  créneau  des  lessives  unidoses  ,  un  an  après  le  lancement  aux  Etats-Unis  .",duracell,nam,duracell,",",",",PUNCT,Ariel,Ariel,PROPN,",",",",PUNCT,Gillette,Gillette,PROPN,",",",",PUNCT,...,...,PUNCT,),),PUNCT,a,avoir,VERB,lancé,lancer,VERB,un,un,DET,2014-01-31,2014,2010,PROPN PUNCT Duracell PUNCT PUNCT,PUNCT Duracell PUNCT,PROPN PUNCT Duracell,PUNCT PROPN PUNCT Duracell,PROPN PUNCT PROPN PUNCT Duracell,Duracell PUNCT PUNCT,Duracell PUNCT PUNCT VERB,Duracell PUNCT PUNCT VERB VERB,"Ariel , Duracell ... )",", Duracell ...","Ariel , Duracell",", Ariel , Duracell","Gillette , Ariel , Duracell",Duracell ... ),Duracell ... ) avoir,Duracell ... ) avoir lancer
http://tempsreel.nouvelobs.com/video/20140131.OBS4653/super-bowl-humour-star-sexy-les-5-ingredients-d-une-bonne-pub.html?xtor=RSS-31,nouvelobs.com,2014-02-02,France,Duracell/NAM/Duracell,"L'  histoire  vraie  de  Derrick  Coleman  ,  premier  joueur  sourd  à  évoluer  en  NFL  a  inspiré  le  fabricant  de  piles Duracell  pour  un  spot  digne  d'  un  drama  hollywoodien  et  un  slogan  non  moins  porteur  d'  espoir  :  ""  Croyez  en  votre  feu  intérieur  ""  .",duracell,nam,duracell,piles,pile,NOUN,de,de,ADP,fabricant,fabricant,NOUN,le,le,DET,inspiré,inspirer,VERB,pour,pour,ADP,un,un,DET,spot,spot,NOUN,digne,digne,ADJ,d',de,ADP,2014-02-02,2014,2010,ADP NOUN Duracell ADP DET,NOUN Duracell ADP,ADP NOUN Duracell,NOUN ADP NOUN Duracell,DET NOUN ADP NOUN Duracell,Duracell ADP DET,Duracell ADP DET NOUN,Duracell ADP DET NOUN ADJ,de pile Duracell pour un,pile Duracell pour,de pile Duracell,fabricant de pile Duracell,le fabricant de pile Duracell,Duracell pour un,Duracell pour un spot,Duracell pour un spot digne
http://www.capital.fr/bourse/actualites/essilor-acquisition-de-l-americain-costa-finalisee-907691,capital.fr,2014-02-03,France,Duracell/NAM/Duracell,"Procter  &  Gamble  (  marques  Pampers  ,  Gillette  ,  Ariel  , Duracell  ...  )  a  lancé  un  nouveau  produit  en  France  sur  le  créneau  des  lessives  unidoses  ,  un  an  après  le  lancement  aux  Etats-Unis  .",duracell,nam,duracell,",",",",PUNCT,Ariel,Ariel,PROPN,",",",",PUNCT,Gillette,Gillette,PROPN,",",",",PUNCT,...,...,PUNCT,),),PUNCT,a,avoir,VERB,lancé,lancer,VERB,un,un,DET,2014-02-03,2014,2010,PROPN PUNCT Duracell PUNCT PUNCT,PUNCT Duracell PUNCT,PROPN PUNCT Duracell,PUNCT PROPN PUNCT Duracell,PROPN PUNCT PROPN PUNCT Duracell,Duracell PUNCT PUNCT,Duracell PUNCT PUNCT VERB,Duracell PUNCT PUNCT VERB VERB,"Ariel , Duracell ... )",", Duracell ...","Ariel , Duracell",", Ariel , Duracell","Gillette , Ariel , Duracell",Duracell ... ),Duracell ... ) avoir,Duracell ... ) avoir lancer
http://www.zonebourse.com/THE-PROCTER--GAMBLE-COMP-4838/actualite/The-Procter--Gamble-Company--Oral-B-Blend-a-Med-et-Crest-aident-a-proteger-le-sourire-des-Jeux-Ol-17893820/,zonebourse.com,2014-02-04,===NONE===,Duracell/NAM/Duracell,"L'  entreprise  dispose  de  l'  un  des  plus  importants  portefeuilles  de  marques  de  qualité  et  de  renom  ,  dont  Ace  ®  ,  Always  ®  ,  Ambi  Pur  ®  ,  Ariel  ®  ,  Bounty  ®  ,  Charmin  ®  ,  Crest  ®  ,  Dawn  ®  ,  Downy  ®  , Duracell  ®  ,  Fairy  ®  ,  Febreze  ®  ,  Fusion  ®  ,  Gain  ®  ,  Gillette  ®  ,  Head  &  Shoulders  ®  ,  Iams  ®  ,  Lenor  ®  ,  Mach  3  ®  ,  Olay  ®  ,  Oral-B  ®  ,  Pampers  ®  ,  Pantene  ®  ,  Prestobarba  ®  ,  SK-II  ®  ,  Tide  ®  ,  Vicks  ®  ,  Wella  ®  et  Whisper  ®  .",duracell,nam,duracell,",",",",PUNCT,®,®,NOUN,Downy,Downy,PROPN,",",",",PUNCT,®,®,NOUN,®,®,NOUN,",",",",PUNCT,Fairy,Fairy,PROPN,®,®,NOUN,",",",",PUNCT,2014-02-04,2014,2010,NOUN PUNCT Duracell NOUN PUNCT,PUNCT Duracell NOUN,NOUN PUNCT Duracell,PROPN NOUN PUNCT Duracell,PUNCT PROPN NOUN PUNCT Duracell,Duracell NOUN PUNCT,Duracell NOUN PUNCT PROPN,Duracell NOUN PUNCT PROPN NOUN,"® , Duracell ® ,",", Duracell ®","® , Duracell","Downy ® , Duracell",", Downy ® , Duracell","Duracell ® ,","Duracell ® , Fairy","Duracell ® , Fairy ®"
http://www.zonebourse.com/THE-PROCTER--GAMBLE-COMP-4838/actualite/The-Procter--Gamble-Company--Les-marques-Procter--Gamble-ouvrent-une-Maison-familiale-mondiale-po-17910767/,zonebourse.com,2014-02-06,===NONE===,Duracell/NAM/Duracell,"Bounty  ,  Charmin  ®  et  Puffs  ®  fournissent  des  produits  d'  entretien  de  la  maison  à  la  Maison  familiale  Pampers  offre  un  espace  de  change  à  la  disposition  des  familles  qui  ont  de  jeunes  enfants Duracell  Powermat  ®  permet  aux  invités  de  recharger  leurs  appareils  mobiles  tout  en  se  détendant  et  en  regardant  les  Jeux  Ariel  ®  sera  utilisée  pour  laver  30  0  0  0  pièces  de  linge  par  jour  ,  ainsi  que  pour  offrir  aux  mères  des  athlètes  parrainés  des  services  quotidiens  de  blanchisserie  ,  durant  toute  la  durée  des  Jeux  Fairy  ®  sera  utilisée  pour  laver  la  vaisselle  au  Village  Olympique  Crest  ®  /  Oral-B  ®  /  blend-a-med  ®  se  sont  associées  au  SOCOG  pour  équiper  la  clinique  dentaire  de  Sotchi  2014  .",duracell,nam,duracell,enfants,enfant,NOUN,jeunes,jeune,ADJ,de,de,ADP,ont,avoir,VERB,qui,qui,PRON,Powermat,Powermat,NOUN,®,®,ADJ,permet,permettre,VERB,aux,au,ADP DET,invités,invité,NOUN,2014-02-06,2014,2010,ADJ NOUN Duracell NOUN ADJ,NOUN Duracell NOUN,ADJ NOUN Duracell,ADP ADJ NOUN Duracell,VERB ADP ADJ NOUN Duracell,Duracell NOUN ADJ,Duracell NOUN ADJ VERB,Duracell NOUN ADJ VERB ADP DET,jeune enfant Duracell Powermat ®,enfant Duracell Powermat,jeune enfant Duracell,de jeune enfant Duracell,avoir de jeune enfant Duracell,Duracell Powermat ®,Duracell Powermat ® permettre,Duracell Powermat ® permettre au
