url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://journalmetro.com/monde/387469/david-rusenko-fondez-votre-compagnie-a-20-ans/,journalmetro.com,2014-01-02,Canada,Weebly/NAM/Weebly,Un  des  fondateurs  de Weebly  parle  d'  entrepreneuriat  et  de  la  place  de  l'  université  .,weebly,nam,weebly,de,de,ADP,fondateurs,fondateur,NOUN,des,du,ADP DET,Un,un,NOUN,,,,parle,parler,VERB,d',de,ADP,entrepreneuriat,entrepreneuriat,NOUN,et,et,CONJ,de,de,ADP,2014-01-02,2014,2010,NOUN ADP Ebly VERB ADP,ADP Ebly VERB,NOUN ADP Ebly,ADP DET NOUN ADP Ebly,NOUN ADP DET NOUN ADP Ebly,Ebly VERB ADP,Ebly VERB ADP NOUN,Ebly VERB ADP NOUN CONJ,fondateur de Ebly parler de,de Ebly parler,fondateur de Ebly,du fondateur de Ebly,un du fondateur de Ebly,Ebly parler de,Ebly parler de entrepreneuriat,Ebly parler de entrepreneuriat et
http://journalmetro.com/monde/387469/david-rusenko-fondez-votre-compagnie-a-20-ans/,journalmetro.com,2014-01-02,Canada,Weebly/NAM/Weebly,"À  20  ans  ,  il  a  quitté  l'  université  pour  fonder  sa  propre  compagnie  , Weebly  ,  qui  est  désormais  le  site  de  conception  de  pages  web  personelles  qui  jouit  ,  avec  20  millions  d'  utilisateurs  ,  de  la  plus  grande  popularité  auprès  des  internautes  .",weebly,nam,weebly,",",",",PUNCT,compagnie,compagnie,NOUN,propre,propre,ADJ,sa,son,DET,fonder,fonder,VERB,",",",",PUNCT,qui,qui,PRON,est,être,VERB,désormais,désormais,ADV,le,le,DET,2014-01-02,2014,2010,NOUN PUNCT Ebly PUNCT PRON,PUNCT Ebly PUNCT,NOUN PUNCT Ebly,ADJ NOUN PUNCT Ebly,DET ADJ NOUN PUNCT Ebly,Ebly PUNCT PRON,Ebly PUNCT PRON VERB,Ebly PUNCT PRON VERB ADV,"compagnie , Ebly , qui",", Ebly ,","compagnie , Ebly","propre compagnie , Ebly","son propre compagnie , Ebly","Ebly , qui","Ebly , qui être","Ebly , qui être désormais"
http://journalmetro.com/monde/387469/david-rusenko-fondez-votre-compagnie-a-20-ans/,journalmetro.com,2014-01-02,Canada,Weebly/NAM/Weebly,"Alors  même  que Weebly  faisait  de  Rusenko  un  homme  d'  affaires  prospère  ,  le  site  permettait  à  beaucoup  de  diplômés  au  chômage  de  bâtir  leurs  propres  compagnies  virtuelles  grâce  à  une  page  créée  ...  avec  Weebly  ,  bien  sûr  .",weebly,nam,weebly,que,que,CONJ,même,même,ADV,Alors,alors,ADV,,,,,,,faisait,faire,VERB,de,de,ADP,Rusenko,Rusenko,PROPN,un,un,DET,homme,homme,NOUN,2014-01-02,2014,2010,ADV CONJ Ebly VERB ADP,CONJ Ebly VERB,ADV CONJ Ebly,ADV ADV CONJ Ebly,,Ebly VERB ADP,Ebly VERB ADP PROPN,Ebly VERB ADP PROPN DET,même que Ebly faire de,que Ebly faire,même que Ebly,alors même que Ebly,,Ebly faire de,Ebly faire de Rusenko,Ebly faire de Rusenko un
http://journalmetro.com/monde/387469/david-rusenko-fondez-votre-compagnie-a-20-ans/,journalmetro.com,2014-01-02,Canada,Weebly/NAM/Weebly,"Alors  même  que  Weebly  faisait  de  Rusenko  un  homme  d'  affaires  prospère  ,  le  site  permettait  à  beaucoup  de  diplômés  au  chômage  de  bâtir  leurs  propres  compagnies  virtuelles  grâce  à  une  page  créée  ...  avec Weebly  ,  bien  sûr  .",weebly,nam,weebly,avec,avec,ADP,...,...,PUNCT,créée,créer,VERB,page,page,NOUN,une,un,DET,",",",",PUNCT,bien,bien,ADV,sûr,sûr,ADJ,.,.,PUNCT,,,,2014-01-02,2014,2010,PUNCT ADP Ebly PUNCT ADV,ADP Ebly PUNCT,PUNCT ADP Ebly,VERB PUNCT ADP Ebly,NOUN VERB PUNCT ADP Ebly,Ebly PUNCT ADV,Ebly PUNCT ADV ADJ,Ebly PUNCT ADV ADJ PUNCT,"... avec Ebly , bien","avec Ebly ,",... avec Ebly,créer ... avec Ebly,page créer ... avec Ebly,"Ebly , bien","Ebly , bien sûr","Ebly , bien sûr ."
http://journalmetro.com/monde/387469/david-rusenko-fondez-votre-compagnie-a-20-ans/,journalmetro.com,2014-01-02,Canada,Weebly/NAM/Weebly," Weebly  ,  c'  était  à  l'  origine  un  projet  scolaire  .",weebly,nam,weebly,,,,,,,,,,,,,,,,",",",",PUNCT,c',ce,PRON,était,être,VERB,à,à,ADP,l',le,DET,2014-01-02,2014,2010,,,,,,Ebly PUNCT PRON,Ebly PUNCT PRON VERB,Ebly PUNCT PRON VERB ADP,,,,,,"Ebly , ce","Ebly , ce être","Ebly , ce être à"
http://journalmetro.com/monde/387469/david-rusenko-fondez-votre-compagnie-a-20-ans/,journalmetro.com,2014-01-02,Canada,Weebly/NAM/Weebly,"Quand  vous  engagez  des  gens  chez Weebly  ,  qu'  est-ce  que  vous  recherchez  ?",weebly,nam,weebly,chez,chez,ADP,gens,gens,NOUN,des,du,ADP DET,engagez,engager,VERB,vous,vous,PRON,",",",",PUNCT,qu',que,CONJ,est-ce,est-ce,ADJ,que,que,CONJ,vous,vous,PRON,2014-01-02,2014,2010,NOUN ADP Ebly PUNCT CONJ,ADP Ebly PUNCT,NOUN ADP Ebly,ADP DET NOUN ADP Ebly,VERB ADP DET NOUN ADP Ebly,Ebly PUNCT CONJ,Ebly PUNCT CONJ ADJ,Ebly PUNCT CONJ ADJ CONJ,"gens chez Ebly , que","chez Ebly ,",gens chez Ebly,du gens chez Ebly,engager du gens chez Ebly,"Ebly , que","Ebly , que est-ce","Ebly , que est-ce que"
http://journalmetro.com/monde/387469/david-rusenko-fondez-votre-compagnie-a-20-ans/,journalmetro.com,2014-01-02,Canada,Weebly/NAM/Weebly,Cofondateur  du  site Weebly  .,weebly,nam,weebly,site,site,NOUN,du,du,ADP DET,Cofondateur,Cofondateur,NOUN,,,,,,,.,.,PUNCT,,,,,,,,,,,,,2014-01-02,2014,2010,,NOUN Ebly PUNCT,ADP DET NOUN Ebly,NOUN ADP DET NOUN Ebly,,,,,,site Ebly .,du site Ebly,Cofondateur du site Ebly,,,,
http://journalmetro.com/monde/387469/david-rusenko-fondez-votre-compagnie-a-20-ans/,journalmetro.com,2014-01-02,Canada,Weebly/NAM/Weebly,"Mardi  :  Entrevue  avec  David  Rusenko  ,  fondateur  de Weebly  Mercredi  :  Rencontre  avec  trois  décrocheurs  entrepreneurs  Jeudi  :  À  bas  les  salles  de  classe  bondées </doc>",weebly,nam,weebly,de,de,ADP,fondateur,fondateur,NOUN,",",",",PUNCT,Rusenko,Rusenko,PROPN,David,David,PROPN,Mercredi,Mercredi,PROPN,:,:,PUNCT,Rencontre,rencontre,NOUN,avec,avec,ADP,trois,trois,ADJ,2014-01-02,2014,2010,NOUN ADP Ebly PROPN PUNCT,ADP Ebly PROPN,NOUN ADP Ebly,PUNCT NOUN ADP Ebly,PROPN PUNCT NOUN ADP Ebly,Ebly PROPN PUNCT,Ebly PROPN PUNCT NOUN,Ebly PROPN PUNCT NOUN ADP,fondateur de Ebly Mercredi :,de Ebly Mercredi,fondateur de Ebly,", fondateur de Ebly","Rusenko , fondateur de Ebly",Ebly Mercredi :,Ebly Mercredi : rencontre,Ebly Mercredi : rencontre avec
http://www.zonebourse.com/actualite-bourse/Le-fonds-Elliott-offre-308-mds-pour-acquerir-Riverbed--17767820/,zonebourse.com,2014-01-08,===NONE===,Shebly/NAM/Shebly,"""  Je  ne  pense  pas  que  les  dirigeants  de  Riverbed  souhaitent  vendre  maintenant  ,  ce  qui  pourrait  faire  monter  les  prix  selon  moi  ""  ,  a  déclaré  à  Reuters Shebly  Seyrafi  ,  analyste  chez  FBN  Securities  .",shebly,nam,shebly,Reuters,Reuters,PROPN,à,à,ADP,déclaré,déclarer,VERB,a,avoir,VERB,",",",",PUNCT,Seyrafi,Seyrafi,PROPN,",",",",PUNCT,analyste,analyste,NOUN,chez,chez,ADP,FBN,FBN,PROPN,2014-01-08,2014,2010,ADP PROPN Ebly PROPN PUNCT,PROPN Ebly PROPN,ADP PROPN Ebly,VERB ADP PROPN Ebly,VERB VERB ADP PROPN Ebly,Ebly PROPN PUNCT,Ebly PROPN PUNCT NOUN,Ebly PROPN PUNCT NOUN ADP,"à Reuters Ebly Seyrafi ,",Reuters Ebly Seyrafi,à Reuters Ebly,déclarer à Reuters Ebly,avoir déclarer à Reuters Ebly,"Ebly Seyrafi ,","Ebly Seyrafi , analyste","Ebly Seyrafi , analyste chez"
http://www.lalibre.be/economie/actualite/whatsapp-un-achat-couteux-mais-strategique-pour-facebook-5306781235708d729d7d69d3,lalibre.be,2014-02-20,Belgium,Shebly/NAM/Shebly,"""  Bien  que  l'  opération  semble  chère  (  ...  )  elle  a  une  logique  stratégique  incontestable  ""  ,  écrit  dans  une  note  de  recherche Shebly  Seyrafi  de  FBN  Securities  .",shebly,nam,shebly,recherche,recherche,NOUN,de,de,ADP,note,note,NOUN,une,un,DET,dans,dans,ADP,Seyrafi,Seyrafi,PROPN,de,de,ADP,FBN,FBN,PROPN,Securities,Securities,PROPN,.,.,PUNCT,2014-02-20,2014,2010,ADP NOUN Ebly PROPN ADP,NOUN Ebly PROPN,ADP NOUN Ebly,NOUN ADP NOUN Ebly,DET NOUN ADP NOUN Ebly,Ebly PROPN ADP,Ebly PROPN ADP PROPN,Ebly PROPN ADP PROPN PROPN,de recherche Ebly Seyrafi de,recherche Ebly Seyrafi,de recherche Ebly,note de recherche Ebly,un note de recherche Ebly,Ebly Seyrafi de,Ebly Seyrafi de FBN,Ebly Seyrafi de FBN Securities
