url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.la-croix.com/Solidarite/Actualite/Au-Bangladesh-la-justice-ordonne-l-arrestation-des-patrons-d-une-usine-textile-2013-12-31-1082989,la-croix.com,2014-01-01,France,El_Corte_Inglés/NAM_NAM_NAM/El_Corte_Inglés,"Les  enseignes  Primark  (  Irlande  )  , El_Corte_Inglés  (  Espagne  )  ,  Loblaw  (  Canada  )  et  Bonmarché  (  chaîne  britannique  )  abonderont  ce  fonds  ,  qui  devrait  réunir  à  terme  40  millions  de  dollars  (  30  millions  d'  euros  )  .",el_corte_inglés,nam_nam_nam,el_corte_inglés,",",",",PUNCT,),),PUNCT,Irlande,Irlande,PROPN,(,(,PUNCT,Primark,Primark,PROPN,(,(,PUNCT,Espagne,Espagne,PROPN,),),PUNCT,",",",",PUNCT,Loblaw,Loblaw,PROPN,2014-01-01,2014,2010,PUNCT PUNCT El Corte Inglés PUNCT PROPN,PUNCT El Corte Inglés PUNCT,PUNCT PUNCT El Corte Inglés,PROPN PUNCT PUNCT El Corte Inglés,PUNCT PROPN PUNCT PUNCT El Corte Inglés,El Corte Inglés PUNCT PROPN,El Corte Inglés PUNCT PROPN PUNCT,El Corte Inglés PUNCT PROPN PUNCT PUNCT,") , El Corte Inglés ( Espagne",", El Corte Inglés (",") , El Corte Inglés","Irlande ) , El Corte Inglés","( Irlande ) , El Corte Inglés",El Corte Inglés ( Espagne,El Corte Inglés ( Espagne ),"El Corte Inglés ( Espagne ) ,"
http://www.leparisien.fr/laparisienne/mode/el-corte-ingles-s-attaque-au-marche-francais-de-la-vente-en-ligne-24-04-2014-3791847.php,leparisien.fr,2014-04-24,France,El_Corte_Inglés/NAM_NAM_NAM/El_Corte_Inglés,<doc uri=http://www.leparisien.fr/laparisienne/mode/el-corte-ingles-s-attaque-au-marche-francais-de-la-vente-en-ligne-24-04-2014-3791847.php website=leparisien.fr date=2014-04-24 source_country=France> El_Corte_Inglés  s'  attaque  au  marché  français  de  la  vente  en  ligne,el_corte_inglés,nam_nam_nam,el_corte_inglés,,,,,,,,,,,,,,,,s',se,PRON,attaque,attaquer,VERB,au,au,ADP DET,marché,marché,NOUN,français,français,ADJ,2014-04-24,2014,2010,,,,,,El Corte Inglés PRON VERB,El Corte Inglés PRON VERB ADP DET,El Corte Inglés PRON VERB ADP DET NOUN,,,,,,El Corte Inglés se attaquer,El Corte Inglés se attaquer au,El Corte Inglés se attaquer au marché
http://www.leparisien.fr/laparisienne/mode/el-corte-ingles-s-attaque-au-marche-francais-de-la-vente-en-ligne-24-04-2014-3791847.php,leparisien.fr,2014-04-24,France,El_Corte_Inglés/NAM_NAM_NAM/El_Corte_Inglés, El_Corte_Inglés  est  très  populaire  en  Espagne  .,el_corte_inglés,nam_nam_nam,el_corte_inglés,,,,,,,,,,,,,,,,est,être,VERB,très,très,ADV,populaire,populaire,ADJ,en,en,ADP,Espagne,Espagne,PROPN,2014-04-24,2014,2010,,,,,,El Corte Inglés VERB ADV,El Corte Inglés VERB ADV ADJ,El Corte Inglés VERB ADV ADJ ADP,,,,,,El Corte Inglés être très,El Corte Inglés être très populaire,El Corte Inglés être très populaire en
http://www.leparisien.fr/laparisienne/mode/el-corte-ingles-s-attaque-au-marche-francais-de-la-vente-en-ligne-24-04-2014-3791847.php,leparisien.fr,2014-04-24,France,El_Corte_Inglés/NAM_NAM_NAM/El_Corte_Inglés,"Le  nom El_Corte_Inglés  (  La  Coupe  anglaise  )  ,  nom  d'  un  style  de  confection  ,  d'  une  manière  de  couper  les  habits  vient  du  nom  du  magasin  de  tailleur  qui  fut  à  l'  origine  de  la  marque  . </doc>",el_corte_inglés,nam_nam_nam,el_corte_inglés,nom,nom,NOUN,Le,le,DET,,,,,,,,,,(,(,PUNCT,La,le,DET,Coupe,Coupe,PROPN,anglaise,anglais,ADJ,),),PUNCT,2014-04-24,2014,2010,DET NOUN El Corte Inglés PUNCT DET,NOUN El Corte Inglés PUNCT,DET NOUN El Corte Inglés,,,El Corte Inglés PUNCT DET,El Corte Inglés PUNCT DET PROPN,El Corte Inglés PUNCT DET PROPN ADJ,le nom El Corte Inglés ( le,nom El Corte Inglés (,le nom El Corte Inglés,,,El Corte Inglés ( le,El Corte Inglés ( le Coupe,El Corte Inglés ( le Coupe anglais
http://bourse.lesechos.fr/infos-conseils-boursiers/actus-des-marches/infos-marches/deces-du-president-des-magasins-espagnols-el-corte-ingles-999046.php,lesechos.fr,2014-09-14,France,El_Corte_Inglés/NAM_NAM_NAM/El_Corte_Inglés,"<doc uri=http://bourse.lesechos.fr/infos-conseils-boursiers/actus-des-marches/infos-marches/deces-du-president-des-magasins-espagnols-el-corte-ingles-999046.php website=lesechos.fr date=2014-09-14 source_country=France> El_Corte_Inglés  (  La  Coupe  anglaise  ,  par  référence  à  son  fondateur  qui  était  tailleur  )  était  devenu  sous  sa  direction  une  enseigne  incontournable  dans  les  villes  espagnoles  .",el_corte_inglés,nam_nam_nam,el_corte_inglés,,,,,,,,,,,,,,,,(,(,PUNCT,La,le,DET,Coupe,Coupe,PROPN,anglaise,anglais,ADJ,",",",",PUNCT,2014-09-14,2014,2010,,,,,,El Corte Inglés PUNCT DET,El Corte Inglés PUNCT DET PROPN,El Corte Inglés PUNCT DET PROPN ADJ,,,,,,El Corte Inglés ( le,El Corte Inglés ( le Coupe,El Corte Inglés ( le Coupe anglais
http://bourse.lesechos.fr/infos-conseils-boursiers/actus-des-marches/infos-marches/deces-du-president-des-magasins-espagnols-el-corte-ingles-999046.php,lesechos.fr,2014-09-14,France,El_Corte_Inglés/NAM_NAM_NAM/El_Corte_Inglés,"Fondé  dans  les  années  1930  à  Madrid  par  l'  oncle  d'  Isidiro  Alvarez  , El_Corte_Inglés  est  le  seul  groupe  de  grands  magasins  présent  dans  toute  l'  Espagne  ,  ainsi  qu'  au  Portugal  .",el_corte_inglés,nam_nam_nam,el_corte_inglés,",",",",PUNCT,Alvarez,Alvarez,PROPN,Isidiro,Isidiro,PROPN,d',de,ADP,oncle,oncle,NOUN,est,être,VERB,le,le,DET,seul,seul,ADJ,groupe,groupe,NOUN,de,de,ADP,2014-09-14,2014,2010,PROPN PUNCT El Corte Inglés VERB DET,PUNCT El Corte Inglés VERB,PROPN PUNCT El Corte Inglés,PROPN PROPN PUNCT El Corte Inglés,ADP PROPN PROPN PUNCT El Corte Inglés,El Corte Inglés VERB DET,El Corte Inglés VERB DET ADJ,El Corte Inglés VERB DET ADJ NOUN,"Alvarez , El Corte Inglés être le",", El Corte Inglés être","Alvarez , El Corte Inglés","Isidiro Alvarez , El Corte Inglés","de Isidiro Alvarez , El Corte Inglés",El Corte Inglés être le,El Corte Inglés être le seul,El Corte Inglés être le seul groupe
http://www.latribune.fr/actualites/economie/union-europeenne/20140915trib675dd1a99/mort-d-isidoro-alvarez-patron-d-el-corte-ingles.html,latribune.fr,2014-09-15,France,El_Corte_Inglés/NAM_NAM_NAM/El_Corte_Inglés,"<doc uri=http://www.latribune.fr/actualites/economie/union-europeenne/20140915trib675dd1a99/mort-d-isidoro-alvarez-patron-d-el-corte-ingles.html website=latribune.fr date=2014-09-15 source_country=France> /mort/NOM /de/PRP /Isidoro/NAM /Álvarez/VER:pres /,/PUN /patron/NOM /de/PRP El_Corte_Inglés  -  La  Tribune  .  fr",el_corte_inglés,nam_nam_nam,el_corte_inglés,d',de,ADP,patron,patron,NOUN,",",",",PUNCT,Álvarez,Álvarez,VERB,Isidoro,Isidoro,PROPN,-,-,PUNCT,La,le,DET,Tribune,Tribune,PROPN,.,.,PUNCT,fr,fr,NOUN,2014-09-15,2014,2010,NOUN ADP El Corte Inglés PUNCT DET,ADP El Corte Inglés PUNCT,NOUN ADP El Corte Inglés,PUNCT NOUN ADP El Corte Inglés,VERB PUNCT NOUN ADP El Corte Inglés,El Corte Inglés PUNCT DET,El Corte Inglés PUNCT DET PROPN,El Corte Inglés PUNCT DET PROPN PUNCT,patron de El Corte Inglés - le,de El Corte Inglés -,patron de El Corte Inglés,", patron de El Corte Inglés","Álvarez , patron de El Corte Inglés",El Corte Inglés - le,El Corte Inglés - le Tribune,El Corte Inglés - le Tribune .
http://www.latribune.fr/actualites/economie/union-europeenne/20140915trib675dd1a99/mort-d-isidoro-alvarez-patron-d-el-corte-ingles.html,latribune.fr,2014-09-15,France,El_Corte_Inglés/NAM_NAM_NAM/El_Corte_Inglés,"Isidoro  Álvarez  ,  président  des  célèbres  grands  magasins El_Corte_Inglés  ,  est  mort  le  week-end  dernier  ,  à  l'  âge  de  79  ans  .",el_corte_inglés,nam_nam_nam,el_corte_inglés,magasins,magasin,NOUN,grands,grand,ADJ,célèbres,célèbre,ADJ,des,du,ADP DET,président,président,NOUN,",",",",PUNCT,est,être,VERB,mort,mourir,VERB,le,le,DET,week-end,week-end,NOUN,2014-09-15,2014,2010,ADJ NOUN El Corte Inglés PUNCT VERB,NOUN El Corte Inglés PUNCT,ADJ NOUN El Corte Inglés,ADJ ADJ NOUN El Corte Inglés,ADP DET ADJ ADJ NOUN El Corte Inglés,El Corte Inglés PUNCT VERB,El Corte Inglés PUNCT VERB VERB,El Corte Inglés PUNCT VERB VERB DET,"grand magasin El Corte Inglés , être","magasin El Corte Inglés ,",grand magasin El Corte Inglés,célèbre grand magasin El Corte Inglés,du célèbre grand magasin El Corte Inglés,"El Corte Inglés , être","El Corte Inglés , être mourir","El Corte Inglés , être mourir le"
http://www.latribune.fr/actualites/economie/union-europeenne/20140915trib675dd1a99/mort-d-isidoro-alvarez-patron-d-el-corte-ingles.html,latribune.fr,2014-09-15,France,El_Corte_Inglés/NAM_NAM_NAM/El_Corte_Inglés,"Le  décès  d'  Emilio  Botín  ,  président  de  la  banque  Santander  ,  le  10  septembre  ,  a  été  suivi  du  trépas  d'  Isidoro  Álvarez  ,  président  de  la  plus  grande  enseigne  de  grands  magasins  européenne  , El_Corte_Inglés  .",el_corte_inglés,nam_nam_nam,el_corte_inglés,",",",",PUNCT,européenne,européen,ADJ,magasins,magasin,NOUN,grands,grand,ADJ,de,de,ADP,.,.,PUNCT,,,,,,,,,,,,,2014-09-15,2014,2010,,PUNCT El Corte Inglés PUNCT,ADJ PUNCT El Corte Inglés,NOUN ADJ PUNCT El Corte Inglés,ADJ NOUN ADJ PUNCT El Corte Inglés,,,,,", El Corte Inglés .","européen , El Corte Inglés","magasin européen , El Corte Inglés","grand magasin européen , El Corte Inglés",,,
http://www.latribune.fr/actualites/economie/union-europeenne/20140915trib675dd1a99/mort-d-isidoro-alvarez-patron-d-el-corte-ingles.html,latribune.fr,2014-09-15,France,El_Corte_Inglés/NAM_NAM_NAM/El_Corte_Inglés,"L'  entrepreneur  ibère  naquit  en  1935  ,  année  même  où  Ramón  Aceres  ,  son  oncle  ,  fonda  la  marque El_Corte_Inglés  .",el_corte_inglés,nam_nam_nam,el_corte_inglés,marque,marque,NOUN,la,le,DET,fonda,fonder,VERB,",",",",PUNCT,oncle,oncle,NOUN,.,.,PUNCT,,,,,,,,,,,,,2014-09-15,2014,2010,,NOUN El Corte Inglés PUNCT,DET NOUN El Corte Inglés,VERB DET NOUN El Corte Inglés,PUNCT VERB DET NOUN El Corte Inglés,,,,,marque El Corte Inglés .,le marque El Corte Inglés,fonder le marque El Corte Inglés,", fonder le marque El Corte Inglés",,,
