url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lacapitale.be/1335656/article/2015-07-18/rugby-a-7-la-belgique-en-quarts-de-finale-du-tournoi-de-repechage-olympique-de-l,lacapitale.be,2015-07-19,Belgium,BelSevens/NAM/BelSevens,Les BelSevens  rencontreront  les  Pays-Bas  dimanche  en  quarts  de  finale  .,belsevens,nam,belsevens,Les,le,DET,,,,,,,,,,,,,rencontreront,rencontrer,VERB,les,le,DET,Pays-Bas,Pays-Bas,PROPN,dimanche,dimanche,NOUN,en,en,ADP,2015-07-19,2015,2010,,DET Elseve VERB,,,,Elseve VERB DET,Elseve VERB DET PROPN,Elseve VERB DET PROPN NOUN,,le Elseve rencontrer,,,,Elseve rencontrer le,Elseve rencontrer le Pays-Bas,Elseve rencontrer le Pays-Bas dimanche
http://www.femmeactuelle.fr/beaute/coiffure/soins-cheveux/low-shampoo-cheveux-crepus-29912,femmeactuelle.fr,2016-05-13,France,Elseve/NAM/Elseve,"D'ailleurs  ,  on  craque  pour  la  Crème  Lavante  Nutritive  Huile  Extraordinaire  d' Elseve  ,  à  l'  huile  d'  alma  :  elle  hydrate  et  protège  en  profondeur  et  a  été  spécialement  développée  pour  les  cheveux  crépus  et  frisés  .",elseve,nam,elseve,d',de,ADP,Extraordinaire,Extraordinaire,PROPN,Huile,Huile,PROPN,Nutritive,Nutritive,PROPN,Lavante,Lavante,PROPN,",",",",PUNCT,à,à,ADP,l',le,DET,huile,huile,NOUN,d',de,ADP,2016-05-13,2016,2010,PROPN ADP Elseve PUNCT ADP,ADP Elseve PUNCT,PROPN ADP Elseve,PROPN PROPN ADP Elseve,PROPN PROPN PROPN ADP Elseve,Elseve PUNCT ADP,Elseve PUNCT ADP DET,Elseve PUNCT ADP DET NOUN,"Extraordinaire de Elseve , à","de Elseve ,",Extraordinaire de Elseve,Huile Extraordinaire de Elseve,Nutritive Huile Extraordinaire de Elseve,"Elseve , à","Elseve , à le","Elseve , à le huile"
http://www.femmeactuelle.fr/beaute/coiffure/soins-cheveux/low-shampoo-cheveux-crepus-29912,femmeactuelle.fr,2016-05-13,France,Elseve/NAM/Elseve,Le  rythme  parfait  est  d'  utiliser  une  crème  lavante  comme  celle  d' Elseve  une  fois  par  semaine  ou  tous  les  10  jours  .,elseve,nam,elseve,d',de,ADP,celle,celui,PRON,comme,comme,CONJ,lavante,lavante,ADJ,crème,crème,NOUN,une,un,DET,fois,foi|fois,NOUN,par,par,ADP,semaine,semaine,NOUN,ou,ou,CONJ,2016-05-13,2016,2010,PRON ADP Elseve DET NOUN,ADP Elseve DET,PRON ADP Elseve,CONJ PRON ADP Elseve,ADJ CONJ PRON ADP Elseve,Elseve DET NOUN,Elseve DET NOUN ADP,Elseve DET NOUN ADP NOUN,celui de Elseve un foi|fois,de Elseve un,celui de Elseve,comme celui de Elseve,lavante comme celui de Elseve,Elseve un foi|fois,Elseve un foi|fois par,Elseve un foi|fois par semaine
http://www.femmeactuelle.fr/beaute/coiffure/astuces-cheveux/demeler-cheveux-crepus-29911,femmeactuelle.fr,2016-05-13,France,Elseve/NAM/Elseve,"Après  avoir  retiré  tous  les  nœuds  ,  pour  retrouver  une  coiffure  digne  de  ce  nom  ,  le  top  est  d'  appliquer  un  baume  démêlant  comme  le  baume  à  l'  huile  d'  alma  Huile-en-Baume  Huile  Extraordinaire  d' Elseve  qui  redéfinit  les  boucles  ,  contrôle  le  volume  et  empêche  les  frisottis  qui  pointent  habituellement  leur  nez  après  avoir  manipulé  les  cheveux  .",elseve,nam,elseve,d',de,ADP,Extraordinaire,Extraordinaire,PROPN,Huile,Huile,PROPN,Huile-en-Baume,Huile-en-Baume,PROPN,alma,alma,NOUN,qui,qui,PRON,redéfinit,redéfinir,VERB,les,le,DET,boucles,boucle,NOUN,",",",",PUNCT,2016-05-13,2016,2010,PROPN ADP Elseve PRON VERB,ADP Elseve PRON,PROPN ADP Elseve,PROPN PROPN ADP Elseve,PROPN PROPN PROPN ADP Elseve,Elseve PRON VERB,Elseve PRON VERB DET,Elseve PRON VERB DET NOUN,Extraordinaire de Elseve qui redéfinir,de Elseve qui,Extraordinaire de Elseve,Huile Extraordinaire de Elseve,Huile-en-Baume Huile Extraordinaire de Elseve,Elseve qui redéfinir,Elseve qui redéfinir le,Elseve qui redéfinir le boucle
http://www.femmeactuelle.fr/beaute/coiffure/soins-cheveux/astuces-brillance-cheveux-crepus-29913,femmeactuelle.fr,2016-05-13,France,Elseve/NAM/Elseve,"Une  fois  par  semaine  ,  un  baume  nourrissant  sans  rinçage  peut  être  utilisé  pour  retrouver  des  cheveux  brillants  ,  comme  le  Masque-Beurre  Huile  Extraordinaire  d' Elseve  à  l'  huile  d'  alma  .",elseve,nam,elseve,d',de,ADP,Extraordinaire,Extraordinaire,PROPN,Huile,Huile,PROPN,Masque-Beurre,Masque-Beurre,NOUN,le,le,DET,à,à,ADP,l',le,DET,huile,huile,NOUN,d',de,ADP,alma,alma,NOUN,2016-05-13,2016,2010,PROPN ADP Elseve ADP DET,ADP Elseve ADP,PROPN ADP Elseve,PROPN PROPN ADP Elseve,NOUN PROPN PROPN ADP Elseve,Elseve ADP DET,Elseve ADP DET NOUN,Elseve ADP DET NOUN ADP,Extraordinaire de Elseve à le,de Elseve à,Extraordinaire de Elseve,Huile Extraordinaire de Elseve,Masque-Beurre Huile Extraordinaire de Elseve,Elseve à le,Elseve à le huile,Elseve à le huile de
http://www.femmeactuelle.fr/beaute/coiffure/astuces-cheveux/astuces-anti-frisottis-cheveux-crepus-29914,femmeactuelle.fr,2016-05-13,France,Elseve/NAM/Elseve,"Le  top  est  de  choisir  un  masque  sans  silicone  comme  le  masque  beurre  de  la  gamme  Huile  Extraordinaire  Nutrition  Suprême  d' Elseve  ,,  conçu  avec  de  l'  huile  d'  alma  .",elseve,nam,elseve,d',de,ADP,Suprême,Suprême,PROPN,Nutrition,Nutrition,PROPN,Extraordinaire,Extraordinaire,PROPN,Huile,Huile,PROPN,",,",",,",VERB,conçu,concevoir,VERB,avec,avec,ADP,de,de,ADP,l',le,DET,2016-05-13,2016,2010,PROPN ADP Elseve VERB VERB,ADP Elseve VERB,PROPN ADP Elseve,PROPN PROPN ADP Elseve,PROPN PROPN PROPN ADP Elseve,Elseve VERB VERB,Elseve VERB VERB ADP,Elseve VERB VERB ADP ADP,"Suprême de Elseve ,, concevoir","de Elseve ,,",Suprême de Elseve,Nutrition Suprême de Elseve,Extraordinaire Nutrition Suprême de Elseve,"Elseve ,, concevoir","Elseve ,, concevoir avec","Elseve ,, concevoir avec de"
http://www.presse-dz.com/revue-de-presse/boutiques-franchisees-en-algerie-une-arnaque-cousue-de-fil-blanc,presse-dz.com,2016-08-03,===NONE===,Elseve/NAM/Elseve,"Comment  peut-on  savoir  ,  en  effet  ,  que  le  shampoing Elseve  de  l'  Oréal-Paris  donne  réellement  un  effet  de  brillance  à  la  chevelure  ,  si  le  même  flacon  acheté  dans  une  boutique  à  place  Audin  a  pour  seul  effet  de  ...  sentir  bon  ?  Une  canette  de  coca-cola  acheté  dans  un  MacDo  en  France  pétille  en  bouche  tandis  que  celle  que  propose  l'  épicier  de  Bab  El  Oued  donne  l'  impression  d'  asperger  une  quantité  de  sucre  accompagnée  d'  un  verre  d'  eau  ...",elseve,nam,elseve,shampoing,shampoing,NOUN,le,le,DET,que,que,CONJ,",",",",PUNCT,effet,effet,NOUN,de,de,ADP,l',le,DET,Oréal-Paris,Oréal-Paris,NOUN,donne,donner,VERB,réellement,réellement,ADV,2016-08-03,2016,2010,DET NOUN Elseve ADP DET,NOUN Elseve ADP,DET NOUN Elseve,CONJ DET NOUN Elseve,PUNCT CONJ DET NOUN Elseve,Elseve ADP DET,Elseve ADP DET NOUN,Elseve ADP DET NOUN VERB,le shampoing Elseve de le,shampoing Elseve de,le shampoing Elseve,que le shampoing Elseve,", que le shampoing Elseve",Elseve de le,Elseve de le Oréal-Paris,Elseve de le Oréal-Paris donner
http://www.lexpress.fr/styles/mannequins/irina-shayk-top-star-du-defile-victoria-s-secret-2016_1854249.html,lexpress.fr,2016-11-30,France,Elseve/NAM/Elseve,Elle  prête  notamment  ses  traits  à  la  ligne  de  mascaras  Volume  Millions  ou  son  épaisse  crinière  brune  pour  les  produits  capillaires Elseve  .,elseve,nam,elseve,capillaires,capillaire,ADJ,produits,produit,NOUN,les,le,DET,pour,pour,ADP,brune,brun,ADJ,.,.,PUNCT,,,,,,,,,,,,,2016-11-30,2016,2010,,ADJ Elseve PUNCT,NOUN ADJ Elseve,DET NOUN ADJ Elseve,ADP DET NOUN ADJ Elseve,,,,,capillaire Elseve .,produit capillaire Elseve,le produit capillaire Elseve,pour le produit capillaire Elseve,,,
http://www.lesechos.fr/industrie-services/conso-distribution/0211816741022-pres-de-400-produits-cosmetiques-dangereux-recenses-par-lufc-que-choisir-2066614.php#xtor%3DRSS-2219,lesechos.fr,2017-02-21,France,Elseve/NAM/Elseve,"Le  sodium  lauryl  sulfate  ,  lui  aussi  considéré  comme  un  ingrédient  nocif  ,  se  retrouve  pourtant  dans  plusieurs  dentifrices  de  marques  différentes  (  Biocaril  ,  Carrefour  ,  Audchan  ,  Colgate  ,  Fluocaril  ,  Signal  )  ,  des  shampooings  (  Head  &  Shoulders  ,  L'  Oréal Elseve  )  et  des  gels  douche  (  Le  Petit  Marseillais  )  .",elseve,nam,elseve,Oréal,Oréal,PROPN,L',le,DET,",",",",PUNCT,Shoulders,Shoulders,NOUN,&,&,SYM,),),PUNCT,et,et,CONJ,des,du,ADP DET,gels,gel,NOUN,douche,douche,NOUN,2017-02-21,2017,2010,DET PROPN Elseve PUNCT CONJ,PROPN Elseve PUNCT,DET PROPN Elseve,PUNCT DET PROPN Elseve,NOUN PUNCT DET PROPN Elseve,Elseve PUNCT CONJ,Elseve PUNCT CONJ ADP DET,Elseve PUNCT CONJ ADP DET NOUN,le Oréal Elseve ) et,Oréal Elseve ),le Oréal Elseve,", le Oréal Elseve","Shoulders , le Oréal Elseve",Elseve ) et,Elseve ) et du,Elseve ) et du gel
http://www.journaldesfemmes.com/beaute/coiffure/1814936-astuce-pousse-cheveux/,journaldesfemmes.com,2017-03-09,===NONE===,Elseve/NAM/Elseve,Optez  pour  un  shampoing  volumateur  comme  le  Shampooing  Créateur  de  Matière Elseve  Fibralogy  de  l'  Oréal  Paris  .,elseve,nam,elseve,Matière,Matière,PROPN,de,de,ADP,Créateur,Créateur,PROPN,Shampooing,Shampooing,PROPN,le,le,DET,Fibralogy,Fibralogy,PROPN,de,de,ADP,l',le,DET,Oréal,Oréal,PROPN,Paris,Paris,PROPN,2017-03-09,2017,2010,ADP PROPN Elseve PROPN ADP,PROPN Elseve PROPN,ADP PROPN Elseve,PROPN ADP PROPN Elseve,PROPN PROPN ADP PROPN Elseve,Elseve PROPN ADP,Elseve PROPN ADP DET,Elseve PROPN ADP DET PROPN,de Matière Elseve Fibralogy de,Matière Elseve Fibralogy,de Matière Elseve,Créateur de Matière Elseve,Shampooing Créateur de Matière Elseve,Elseve Fibralogy de,Elseve Fibralogy de le,Elseve Fibralogy de le Oréal
