url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.zonebourse.com/THE-PROCTER--GAMBLE-COMP-4838/actualite/The-Procter--Gamble-Company--Oral-B-Blend-a-Med-et-Crest-aident-a-proteger-le-sourire-des-Jeux-Ol-17893820/,zonebourse.com,2014-02-04,===NONE===,Febreze/NAM/Febreze,"L'  entreprise  dispose  de  l'  un  des  plus  importants  portefeuilles  de  marques  de  qualité  et  de  renom  ,  dont  Ace  ®  ,  Always  ®  ,  Ambi  Pur  ®  ,  Ariel  ®  ,  Bounty  ®  ,  Charmin  ®  ,  Crest  ®  ,  Dawn  ®  ,  Downy  ®  ,  Duracell  ®  ,  Fairy  ®  , Febreze  ®  ,  Fusion  ®  ,  Gain  ®  ,  Gillette  ®  ,  Head  &  Shoulders  ®  ,  Iams  ®  ,  Lenor  ®  ,  Mach  3  ®  ,  Olay  ®  ,  Oral-B  ®  ,  Pampers  ®  ,  Pantene  ®  ,  Prestobarba  ®  ,  SK-II  ®  ,  Tide  ®  ,  Vicks  ®  ,  Wella  ®  et  Whisper  ®  .",febreze,nam,febreze,",",",",PUNCT,®,®,NOUN,Fairy,Fairy,PROPN,",",",",PUNCT,®,®,NOUN,®,®,NOUN,",",",",PUNCT,Fusion,fusion,NOUN,®,®,ADJ,",",",",PUNCT,2014-02-04,2014,2010,NOUN PUNCT Febreze NOUN PUNCT,PUNCT Febreze NOUN,NOUN PUNCT Febreze,PROPN NOUN PUNCT Febreze,PUNCT PROPN NOUN PUNCT Febreze,Febreze NOUN PUNCT,Febreze NOUN PUNCT NOUN,Febreze NOUN PUNCT NOUN ADJ,"® , Febreze ® ,",", Febreze ®","® , Febreze","Fairy ® , Febreze",", Fairy ® , Febreze","Febreze ® ,","Febreze ® , fusion","Febreze ® , fusion ®"
http://argent.canoe.ca/vos-finances/consommation/les-marquent-gagnantes-aux-jeux-olympiques-17022014,canoe.ca,2014-02-17,Canada,Febreze/NAM/Febreze,"La  multinationale  ,  qui  possède  plusieurs  noms  tels  que  Always  ,  Bounty  ,  Charmin  ,  Crest  , Febreze  ,  Folgers  et  Gilette  ,  a  conçu  une  publicité  pour  les  jeux  qui  a  touché  des  millions  de  personnes  .",febreze,nam,febreze,",",",",PUNCT,Crest,Crest,PROPN,",",",",PUNCT,Charmin,Charmin,PROPN,",",",",PUNCT,",",",",PUNCT,Folgers,Folgers,PROPN,et,et,CONJ,Gilette,Gilette,PROPN,",",",",PUNCT,2014-02-17,2014,2010,PROPN PUNCT Febreze PUNCT PROPN,PUNCT Febreze PUNCT,PROPN PUNCT Febreze,PUNCT PROPN PUNCT Febreze,PROPN PUNCT PROPN PUNCT Febreze,Febreze PUNCT PROPN,Febreze PUNCT PROPN CONJ,Febreze PUNCT PROPN CONJ PROPN,"Crest , Febreze , Folgers",", Febreze ,","Crest , Febreze",", Crest , Febreze","Charmin , Crest , Febreze","Febreze , Folgers","Febreze , Folgers et","Febreze , Folgers et Gilette"
http://www.zonebourse.com/THE-PROCTER--GAMBLE-COMP-4838/actualite/Procter--Gamble--presente-un-benefice-trimestriel-en-hausse-18311234/,zonebourse.com,2014-04-23,===NONE===,Febreze/NAM/Febreze,"Cette  branche  inclut  entre  autres  les  lessives  Dash  et  Ariel  ,  les  désodorisants Febreze  et  les  piles  Duracell  .",febreze,nam,febreze,désodorisants,désodorisant,ADJ,les,le,DET,",",",",PUNCT,Ariel,Ariel,PROPN,et,et,CONJ,et,et,CONJ,les,le,DET,piles,pile,NOUN,Duracell,Duracell,PROPN,.,.,PUNCT,2014-04-23,2014,2010,DET ADJ Febreze CONJ DET,ADJ Febreze CONJ,DET ADJ Febreze,PUNCT DET ADJ Febreze,PROPN PUNCT DET ADJ Febreze,Febreze CONJ DET,Febreze CONJ DET NOUN,Febreze CONJ DET NOUN PROPN,le désodorisant Febreze et le,désodorisant Febreze et,le désodorisant Febreze,", le désodorisant Febreze","Ariel , le désodorisant Febreze",Febreze et le,Febreze et le pile,Febreze et le pile Duracell
http://www.zonebourse.com/THE-PROCTER--GAMBLE-COMP-4838/actualite/Procter--Gamble--PG-elargit-ses-objectifs-de-developpement-durable-afin-de-preserver-les-ressourc-19191805/,zonebourse.com,2014-10-13,===NONE===,Febreze/NAM/Febreze,"L'  entreprise  dispose  de  l'  un  des  plus  importants  portefeuilles  de  marques  de  qualité  et  de  renom  ,  dont  Always  ®  ,  Ambi  Pur  ®  ,  Ariel  ®  ,  Bounty  ®  ,  Charmin  ®  ,  Crest  ®  ,  Dawn  ®  ,  Downy  ®  ,  Duracell  ®  ,  Fairy  ®  , Febreze  ®  ,  Gain  ®  ,  Gillette  ®  ,  Head  &  Shoulders  ®  ,  Lenor  ®  ,  Olay  ®  ,  Oral-B  ®  ,  Pampers  ®  ,  Pantene  ®  ,  SK-II  ®  ,  Tide  ®  ,  Vicks  ®  ,  Wella  ®  et  Whisper  ®  .",febreze,nam,febreze,",",",",PUNCT,®,®,NOUN,Fairy,Fairy,PROPN,",",",",PUNCT,®,®,NOUN,®,®,NOUN,",",",",PUNCT,Gain,Gain,PROPN,®,®,NOUN,",",",",PUNCT,2014-10-13,2014,2010,NOUN PUNCT Febreze NOUN PUNCT,PUNCT Febreze NOUN,NOUN PUNCT Febreze,PROPN NOUN PUNCT Febreze,PUNCT PROPN NOUN PUNCT Febreze,Febreze NOUN PUNCT,Febreze NOUN PUNCT PROPN,Febreze NOUN PUNCT PROPN NOUN,"® , Febreze ® ,",", Febreze ®","® , Febreze","Fairy ® , Febreze",", Fairy ® , Febreze","Febreze ® ,","Febreze ® , Gain","Febreze ® , Gain ®"
http://www.zonebourse.com/actualite-bourse/NickJonas-et-Duracell-alimentent-les-sourires-pour-le-Reseau-Enfants-Sante--19484117/,zonebourse.com,2014-12-02,===NONE===,Febreze/NAM/Febreze,"Notre  société  propose  l'  un  des  plus  importants  portefeuilles  de  marques  de  renom  ,  de  qualité  et  de  chef  de  file  telles  que  Always  ®  ,  Ambi  Pur  ®  ,  Ariel  ®  ,  Bounty  ®  ,  Charmin  ®  ,  Crest  ®  ,  Dawn  ®  ,  Downy  ®  ,  Duracell  ®  ,  Fairy  ®  , Febreze  ®  ,  Gain  ®  ,  Gillette  ®  ,  Head  &  Shoulders  ®  ,  Lenor  ®  ,  Olay  ®  ,  Oral-B  ®  ,  Pampers  ®  ,  Pantene  ®  ,  SK-II  ®  ,  Tide  ®  ,  Vicks  ®  ,  Wella  ®  ,  et  Whisper  ®  .",febreze,nam,febreze,",",",",PUNCT,®,®,NOUN,Fairy,Fairy,PROPN,",",",",PUNCT,®,®,NOUN,®,®,NOUN,",",",",PUNCT,Gain,Gain,PROPN,®,®,NOUN,",",",",PUNCT,2014-12-02,2014,2010,NOUN PUNCT Febreze NOUN PUNCT,PUNCT Febreze NOUN,NOUN PUNCT Febreze,PROPN NOUN PUNCT Febreze,PUNCT PROPN NOUN PUNCT Febreze,Febreze NOUN PUNCT,Febreze NOUN PUNCT PROPN,Febreze NOUN PUNCT PROPN NOUN,"® , Febreze ® ,",", Febreze ®","® , Febreze","Fairy ® , Febreze",", Fairy ® , Febreze","Febreze ® ,","Febreze ® , Gain","Febreze ® , Gain ®"
http://www.businesswire.com/news/home/20150212006209/fr,businesswire.com,2015-02-12,===NONE===,Febreze/NAM/Febreze,"L'  entreprise  dispose  de  l'  un  des  plus  importants  portefeuilles  de  marques  de  qualité  et  de  renom  ,  dont  Always  ®  ,  Ambi  Pur  ®  ,  Ariel  ®  ,  Bounty  ®  ,  Charmin  ®  ,  Crest  ®  ,  Dawn  ®  ,  Downy  ®  ,  Fairy  ®  , Febreze  ®  ,  Gain  ®  ,  Gillette  ®  ,  Head  &  Shoulders  ®  ,  Lenor  ®  ,  Olay  ®  ,  Oral-B  ®  ,  Pampers  ®  ,  Pantene  ®  ,  SK-II  ®  ,  Tide  ®  ,  Vicks  ®  ,  Wella  ®  et  Whisper  ®  .",febreze,nam,febreze,",",",",PUNCT,®,®,NOUN,Fairy,Fairy,PROPN,",",",",PUNCT,®,®,NOUN,®,®,NOUN,",",",",PUNCT,Gain,Gain,PROPN,®,®,NOUN,",",",",PUNCT,2015-02-12,2015,2010,NOUN PUNCT Febreze NOUN PUNCT,PUNCT Febreze NOUN,NOUN PUNCT Febreze,PROPN NOUN PUNCT Febreze,PUNCT PROPN NOUN PUNCT Febreze,Febreze NOUN PUNCT,Febreze NOUN PUNCT PROPN,Febreze NOUN PUNCT PROPN NOUN,"® , Febreze ® ,",", Febreze ®","® , Febreze","Fairy ® , Febreze",", Fairy ® , Febreze","Febreze ® ,","Febreze ® , Gain","Febreze ® , Gain ®"
http://bourse.lesechos.fr/infos-conseils-boursiers/actus-des-marches/infos-marches/non-la-guerre-des-devises-n-a-pas-lieu-1029861.php,lesechos.fr,2015-02-06,France,Febreze/NAM/Febreze,"Propre  , Febreze  ,  mais  aussi  de  soin  Pampers  ou  encore  Gillette  )  de  ses  comptes  du  trimestre  achevé  fin  décembre  ,  le  deuxième  de  son  exercice  décalé  2014  -  2015  .",febreze,nam,febreze,",",",",PUNCT,Propre,propre,ADJ,,,,,,,,,,",",",",PUNCT,mais,mais,CONJ,aussi,aussi,ADV,de,de,ADP,soin,soin,NOUN,2015-02-06,2015,2010,ADJ PUNCT Febreze PUNCT CONJ,PUNCT Febreze PUNCT,ADJ PUNCT Febreze,,,Febreze PUNCT CONJ,Febreze PUNCT CONJ ADV,Febreze PUNCT CONJ ADV ADP,"propre , Febreze , mais",", Febreze ,","propre , Febreze",,,"Febreze , mais","Febreze , mais aussi","Febreze , mais aussi de"
http://www.newswire.ca/en/story/1494933/oral-b-devoile-une-nouvelle-technologie-avec-application-lors-du-mobile-world-congress-2015,newswire.ca,2015-03-02,Canada,Febreze/NAM/Febreze,"La  société  dispose  de  l'  un  des  plus  importants  portefeuilles  de  marques  de  renom  ,  de  qualité  et  d'  initiative  ,  comme  Always  ®  ,  Ambi  Pur  ®  ,  Ariel  ®  ,  Bounty  ®  ,  Charmin  ®  ,  Crest  ®  ,  Dawn  ®  ,  Downy  ®  ,  Duracell  ®  ,  Fairy  ®  , Febreze  ®  ,  Gain  ®  ,  Gillette  ®  ,  Head  &  Shoulders  ®  ,  Lenor  ®  ,  Olay  ®  ,  Oral-B  ®  ,  Pampers  ®  ,  Pantene  ®  ,  SK-II  ®  ,  Tide  ®  ,  Vicks  ®  ,  Wella  ®  et  Whisper  ®  .",febreze,nam,febreze,",",",",PUNCT,®,®,NOUN,Fairy,Fairy,PROPN,",",",",PUNCT,®,®,NOUN,®,®,NOUN,",",",",PUNCT,Gain,Gain,PROPN,®,®,NOUN,",",",",PUNCT,2015-03-02,2015,2010,NOUN PUNCT Febreze NOUN PUNCT,PUNCT Febreze NOUN,NOUN PUNCT Febreze,PROPN NOUN PUNCT Febreze,PUNCT PROPN NOUN PUNCT Febreze,Febreze NOUN PUNCT,Febreze NOUN PUNCT PROPN,Febreze NOUN PUNCT PROPN NOUN,"® , Febreze ® ,",", Febreze ®","® , Febreze","Fairy ® , Febreze",", Fairy ® , Febreze","Febreze ® ,","Febreze ® , Gain","Febreze ® , Gain ®"
http://www.newswire.ca/en/story/1552537/olay-decouvre-une-empreinte-de-la-peau-unique-chez-les-personnes-qui-paraissent-exceptionnellement-plus-jeunes-que-leur-age-reel,newswire.ca,2015-06-10,Canada,Febreze/NAM/Febreze,"L'  entreprise  rassemble  certaines  des  plus  importantes  marques  au  monde  ,  qui  sont  reconnues  ,  qui  offrent  de  la  qualité  et  qui  font  preuve  de  leadership  ,  notamment  Always  ®  ,  Ambi  Pur  ®  ,  Ariel  ®  ,  Bounty  ®  ,  Charmin  ®  ,  Crest  ®  ,  Dawn  ®  ,  Downy  ®  ,  Duracell  ®  ,  Fairy  ®  , Febreze  ®  ,  Gain  ®  ,  Gillette  ®  ,  Head  &  Shoulders  ®  ,  Lenor  ®  ,  Olay  ®  ,  Oral-B  ®  ,  Pampers  ®  ,  Pantene  ®  ,  SK-II  ®  ,  Tide  ®  ,  Vicks  ®  ,  Wella  ®  et  Whisper  ®  .",febreze,nam,febreze,",",",",PUNCT,®,®,NOUN,Fairy,Fairy,PROPN,",",",",PUNCT,®,®,NOUN,®,®,NOUN,",",",",PUNCT,Gain,Gain,PROPN,®,®,NOUN,",",",",PUNCT,2015-06-10,2015,2010,NOUN PUNCT Febreze NOUN PUNCT,PUNCT Febreze NOUN,NOUN PUNCT Febreze,PROPN NOUN PUNCT Febreze,PUNCT PROPN NOUN PUNCT Febreze,Febreze NOUN PUNCT,Febreze NOUN PUNCT PROPN,Febreze NOUN PUNCT PROPN NOUN,"® , Febreze ® ,",", Febreze ®","® , Febreze","Fairy ® , Febreze",", Fairy ® , Febreze","Febreze ® ,","Febreze ® , Gain","Febreze ® , Gain ®"
http://www.zonebourse.com/PROCTER--GAMBLE-CO-4838/actualite/Procter--Gamble--Head--Shoulders-annonce-qursquoOdell-Beckham-Jr-receveur-ecarte-de-lrsquoe-20945956/,zonebourse.com,2015-08-28,===NONE===,Febreze/NAM/Febreze,"P  &  G  est  au  service  des  consommateurs  à  travers  le  monde  avec  l'  une  des  plus  vastes  gammes  de  marques  prestigieuses  ,  de  confiance  et  de  qualité  ,  parmi  lesquelles  Always  ®  ,  Ambi  Pur  ®  ,  Ariel  ®  ,  Bounty  ®  ,  Charmin  ®  ,  Crest  ®  ,  Dawn  ®  ,  Downy  ®  ,  Fairy  ®  , Febreze  ®  ,  Gain  ®  ,  Gillette  ®  ,  Head  &  Shoulders  ®  ,  Lenor  ®  ,  Olay  ®  ,  Oral-B  ®  ,  Pampers  ®  ,  Pantene  ®  ,  SK-II  ®  ,  Tide  ®  ,  Vicks  ®  et  Whisper  ®  .",febreze,nam,febreze,",",",",PUNCT,®,®,NOUN,Fairy,Fairy,PROPN,",",",",PUNCT,®,®,NOUN,®,®,NOUN,",",",",PUNCT,Gain,Gain,PROPN,®,®,NOUN,",",",",PUNCT,2015-08-28,2015,2010,NOUN PUNCT Febreze NOUN PUNCT,PUNCT Febreze NOUN,NOUN PUNCT Febreze,PROPN NOUN PUNCT Febreze,PUNCT PROPN NOUN PUNCT Febreze,Febreze NOUN PUNCT,Febreze NOUN PUNCT PROPN,Febreze NOUN PUNCT PROPN NOUN,"® , Febreze ® ,",", Febreze ®","® , Febreze","Fairy ® , Febreze",", Fairy ® , Febreze","Febreze ® ,","Febreze ® , Gain","Febreze ® , Gain ®"
