url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.ladepeche.fr/article/2014/02/14/1818266-castelnaudary-une-salle-polyvalente-pour-le-roc-et-le-coc.html,ladepeche.fr,2014-02-15,France,fibrociment/NOM/fibrociment,"Quant  à  l'  extérieur  ,  il  sera  en  bardage  de fibrociment  blanc  pour  s'  intégrer  dans  le  site  d'  ambiance  moderniste  .",fibrociment,nom,fibrociment,de,de,ADP,bardage,bardage,NOUN,en,en,ADP,sera,être,VERB,il,il,PRON,blanc,blanc,ADJ,pour,pour,ADP,s',se,PRON,intégrer,intégrer,VERB,dans,dans,ADP,2014-02-15,2014,2010,NOUN ADP Fibrociment ADJ ADP,ADP Fibrociment ADJ,NOUN ADP Fibrociment,ADP NOUN ADP Fibrociment,VERB ADP NOUN ADP Fibrociment,Fibrociment ADJ ADP,Fibrociment ADJ ADP PRON,Fibrociment ADJ ADP PRON VERB,bardage de Fibrociment blanc pour,de Fibrociment blanc,bardage de Fibrociment,en bardage de Fibrociment,être en bardage de Fibrociment,Fibrociment blanc pour,Fibrociment blanc pour se,Fibrociment blanc pour se intégrer
http://www.lapresse.ca/le-soleil/maison/habitation/201402/27/01-4743204-la-maison-dune-etoile-a-canal-vie.php,lapresse.ca,2014-03-04,Canada,fibrociment/NOM/fibrociment,Bois  et fibrociment  recouvrent  maintenant  les  façades  extérieures  .,fibrociment,nom,fibrociment,et,et,CONJ,Bois,bois,NOUN,,,,,,,,,,recouvrent,recouvrer|recouvrir,VERB,maintenant,maintenant,ADV,les,le,DET,façades,façade,NOUN,extérieures,extérieur,ADJ,2014-03-04,2014,2010,NOUN CONJ Fibrociment VERB ADV,CONJ Fibrociment VERB,NOUN CONJ Fibrociment,,,Fibrociment VERB ADV,Fibrociment VERB ADV DET,Fibrociment VERB ADV DET NOUN,bois et Fibrociment recouvrer|recouvrir maintenant,et Fibrociment recouvrer|recouvrir,bois et Fibrociment,,,Fibrociment recouvrer|recouvrir maintenant,Fibrociment recouvrer|recouvrir maintenant le,Fibrociment recouvrer|recouvrir maintenant le façade
http://www.vosgesmatin.fr/vosges/2014/04/09/un-hangar-agricole-entierement-detruit-par-le-feu,vosgesmatin.fr,2014-04-09,France,fibrociment/NOM/fibrociment,"Sous  lâeffet  de  la  terrible  chaleur  ,  le  toit  en  tÃ  ´  le  de fibrociment  sâest  rapidement  effondrÃ  ©  ,  le  seul  mur  du  bÃ  ¢  timent  menaÃ  §  ant  ,  lui  ,  de  se  coucher  .",fibrociment,nom,fibrociment,de,de,ADP,le,le,PRON,´,´,ADJ,tÃ,tÃ,NOUN,en,en,ADP,sâest,sâest,NOUN,rapidement,rapidement,ADV,effondrÃ,effondrÃ,ADJ,©,©,NOUN,",",",",PUNCT,2014-04-09,2014,2010,PRON ADP Fibrociment NOUN ADV,ADP Fibrociment NOUN,PRON ADP Fibrociment,ADJ PRON ADP Fibrociment,NOUN ADJ PRON ADP Fibrociment,Fibrociment NOUN ADV,Fibrociment NOUN ADV ADJ,Fibrociment NOUN ADV ADJ NOUN,le de Fibrociment sâest rapidement,de Fibrociment sâest,le de Fibrociment,´ le de Fibrociment,tÃ ´ le de Fibrociment,Fibrociment sâest rapidement,Fibrociment sâest rapidement effondrÃ,Fibrociment sâest rapidement effondrÃ ©
http://www.ladepeche.fr/article/2014/04/10/1860637-villeneuve-frederic-gourc-comme-un-poisson-dans-l-eau.html,ladepeche.fr,2014-04-23,France,fibrociment/NOM/fibrociment,La  devanture  vert  oriental  en  bardage fibrociment  a  été  choisie  aussi  par  ce  dernier  et  réalisé  par  l'  entreprise  locale  Comparain  .,fibrociment,nom,fibrociment,bardage,bardage,NOUN,en,en,ADP,oriental,oriental,ADJ,vert,vert,ADJ,devanture,devanture,NOUN,a,avoir,VERB,été,être,VERB,choisie,choisir,VERB,aussi,aussi,ADV,par,par,ADP,2014-04-23,2014,2010,ADP NOUN Fibrociment VERB VERB,NOUN Fibrociment VERB,ADP NOUN Fibrociment,ADJ ADP NOUN Fibrociment,ADJ ADJ ADP NOUN Fibrociment,Fibrociment VERB VERB,Fibrociment VERB VERB VERB,Fibrociment VERB VERB VERB ADV,en bardage Fibrociment avoir être,bardage Fibrociment avoir,en bardage Fibrociment,oriental en bardage Fibrociment,vert oriental en bardage Fibrociment,Fibrociment avoir être,Fibrociment avoir être choisir,Fibrociment avoir être choisir aussi
http://www.ledauphine.com/haute-savoie/2014/04/22/la-grille-d-enceinte-de-l-intermarche-de-l-avenue-d-evian-est-toujours-close-et-devrait-le-rester,ledauphine.com,2014-04-23,===NONE===,fibrociment/NOM/fibrociment,"Sous  son  poids  ,  une  plaque  de fibrociment  a  cÃ  ©  dÃ  ©  le  prÃ  ©  cipitant  dans  le  vide  .",fibrociment,nom,fibrociment,de,de,ADP,plaque,plaque,NOUN,une,un,DET,",",",",PUNCT,poids,poids,NOUN,a,avoir,VERB,cÃ,cÃ,NOUN,©,©,VER:subi,dÃ,dÃ,NOUN,©,©,VER:subi,2014-04-23,2014,2010,NOUN ADP Fibrociment VERB NOUN,ADP Fibrociment VERB,NOUN ADP Fibrociment,DET NOUN ADP Fibrociment,PUNCT DET NOUN ADP Fibrociment,Fibrociment VERB NOUN,Fibrociment VERB NOUN VER:subi,Fibrociment VERB NOUN VER:subi NOUN,plaque de Fibrociment avoir cÃ,de Fibrociment avoir,plaque de Fibrociment,un plaque de Fibrociment,", un plaque de Fibrociment",Fibrociment avoir cÃ,Fibrociment avoir cÃ ©,Fibrociment avoir cÃ © dÃ
http://www.lavoixdunord.fr/region/chantier-du-corbeau-la-galere-jusqu-a-la-fin-de-ia22b129506n2088025?xtor=RSS-2,lavoixdunord.fr,2014-04-23,France,fibrociment/NOM/fibrociment,"On  se  souvient  que  ,  le  12  février  ,  l'  Inspection  du  travail  avait  fait  stopper  les  travaux  après  la  découverte  d'  amiante  dans  la  composition  de  certaines  conduites  en fibrociment  utilisées  pour  plusieurs  raccordements  (  notre  édition  du  1  er  mars  )  .",fibrociment,nom,fibrociment,en,en,ADP,conduites,conduite,NOUN,certaines,certain,PRON,de,de,ADP,composition,composition,NOUN,utilisées,utiliser,VERB,pour,pour,ADP,plusieurs,plusieurs,PRON,raccordements,raccordement,NOUN,(,(,PUNCT,2014-04-23,2014,2010,NOUN ADP Fibrociment VERB ADP,ADP Fibrociment VERB,NOUN ADP Fibrociment,PRON NOUN ADP Fibrociment,ADP PRON NOUN ADP Fibrociment,Fibrociment VERB ADP,Fibrociment VERB ADP PRON,Fibrociment VERB ADP PRON NOUN,conduite en Fibrociment utiliser pour,en Fibrociment utiliser,conduite en Fibrociment,certain conduite en Fibrociment,de certain conduite en Fibrociment,Fibrociment utiliser pour,Fibrociment utiliser pour plusieurs,Fibrociment utiliser pour plusieurs raccordement
http://www.lapresse.ca/le-quotidien/actualites/201405/12/01-4766029-une-usine-ouvrira-a-alma.php,lapresse.ca,2014-05-13,Canada,fibrociment/NOM/fibrociment,"Ce  matériau  pourrait  un  jour  remplacer  les  plaques  de  plâtre  ,  ou  encore  les  panneaux  de fibrociment  ou  de  béton  léger  dans  la  construction  au  Québec  .",fibrociment,nom,fibrociment,de,de,ADP,panneaux,panneau,NOUN,les,le,DET,encore,encore,ADV,ou,ou,CONJ,ou,ou,CONJ,de,de,ADP,béton,béton,NOUN,léger,léger,ADJ,dans,dans,ADP,2014-05-13,2014,2010,NOUN ADP Fibrociment CONJ ADP,ADP Fibrociment CONJ,NOUN ADP Fibrociment,DET NOUN ADP Fibrociment,ADV DET NOUN ADP Fibrociment,Fibrociment CONJ ADP,Fibrociment CONJ ADP NOUN,Fibrociment CONJ ADP NOUN ADJ,panneau de Fibrociment ou de,de Fibrociment ou,panneau de Fibrociment,le panneau de Fibrociment,encore le panneau de Fibrociment,Fibrociment ou de,Fibrociment ou de béton,Fibrociment ou de béton léger
http://www.lequotidien.lu/le-pays/56488.html,lequotidien.lu,2014-05-16,Luxembourg,fibrociment/NOM/fibrociment,"En  plus  des  gravats  ,  entre  80  et  90  plaques  en fibrociment  d'  une  taille  de  1  x  2  mètres  ont  été  abandonnées  .",fibrociment,nom,fibrociment,en,en,ADP,plaques,plaque,NOUN,90,@card@,ADJ,et,et,CONJ,80,@card@,ADJ,d',de,ADP,une,un,DET,taille,taille,NOUN,de,de,ADP,1,@card@,ADJ,2014-05-16,2014,2010,NOUN ADP Fibrociment ADP DET,ADP Fibrociment ADP,NOUN ADP Fibrociment,ADJ NOUN ADP Fibrociment,CONJ ADJ NOUN ADP Fibrociment,Fibrociment ADP DET,Fibrociment ADP DET NOUN,Fibrociment ADP DET NOUN ADP,plaque en Fibrociment de un,en Fibrociment de,plaque en Fibrociment,@card@ plaque en Fibrociment,et @card@ plaque en Fibrociment,Fibrociment de un,Fibrociment de un taille,Fibrociment de un taille de
http://www.lequotidien.lu/le-pays/56488.html,lequotidien.lu,2014-05-16,Luxembourg,fibrociment/NOM/fibrociment,"Surtout  ces  plaques  doivent-être  enlevées  le  plus  rapidement  possible  ,  car  le fibrociment  contient  de  l'  amiante  (  asbeste  )  .",fibrociment,nom,fibrociment,le,le,DET,car,car,CONJ,",",",",PUNCT,possible,possible,ADJ,rapidement,rapidement,ADV,contient,contenir,VERB,de,de,ADP,l',le,DET,amiante,amiante,NOUN,(,(,PUNCT,2014-05-16,2014,2010,CONJ DET Fibrociment VERB ADP,DET Fibrociment VERB,CONJ DET Fibrociment,PUNCT CONJ DET Fibrociment,ADJ PUNCT CONJ DET Fibrociment,Fibrociment VERB ADP,Fibrociment VERB ADP DET,Fibrociment VERB ADP DET NOUN,car le Fibrociment contenir de,le Fibrociment contenir,car le Fibrociment,", car le Fibrociment","possible , car le Fibrociment",Fibrociment contenir de,Fibrociment contenir de le,Fibrociment contenir de le amiante
http://www.lanouvellerepublique.fr/Indre/Actualite/Faits-divers-justice/n/Contenus/Articles/2014/05/23/Orage-violent-Levroux-a-eu-peur-1918246,lanouvellerepublique.fr,2014-05-23,France,fibrociment/NOM/fibrociment,"Les  plaques  en fibrociment  ont  été  projetées  ,  tel  des  flèches  mortelles  ,  dans  toute  la  zone  .",fibrociment,nom,fibrociment,en,en,ADP,plaques,plaque,NOUN,Les,le,DET,,,,,,,ont,avoir,VERB,été,être,VERB,projetées,projeter,VERB,",",",",PUNCT,tel,tel,PRON,2014-05-23,2014,2010,NOUN ADP Fibrociment VERB VERB,ADP Fibrociment VERB,NOUN ADP Fibrociment,DET NOUN ADP Fibrociment,,Fibrociment VERB VERB,Fibrociment VERB VERB VERB,Fibrociment VERB VERB VERB PUNCT,plaque en Fibrociment avoir être,en Fibrociment avoir,plaque en Fibrociment,le plaque en Fibrociment,,Fibrociment avoir être,Fibrociment avoir être projeter,"Fibrociment avoir être projeter ,"
