url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.ladepeche.fr/article/2014/01/22/1800725-les-personnages-publicitaires-de-notre-enfance-nous-font-grossir.html,ladepeche.fr,2014-01-22,France,Frosties/NAM/Frosties,La  Vache  qui  rit  ;  Tony  le  tigre Frosties  ;  Oum  le  dauphin  Galak  ;  Quicky  le  lapin  Nesquik  ou  encore  le  gringo  Pepito  ...,frosties,nam,frosties,tigre,tigre,NOUN,le,le,DET,Tony,Tony,PROPN,;,;,PUNCT,rit,rire,VERB,;,;,PUNCT,Oum,Oum,NOUN,le,le,DET,dauphin,dauphin,NOUN,Galak,Galak,PROPN,2014-01-22,2014,2010,DET NOUN Frosties PUNCT NOUN,NOUN Frosties PUNCT,DET NOUN Frosties,PROPN DET NOUN Frosties,PUNCT PROPN DET NOUN Frosties,Frosties PUNCT NOUN,Frosties PUNCT NOUN DET,Frosties PUNCT NOUN DET NOUN,le tigre Frosties ; Oum,tigre Frosties ;,le tigre Frosties,Tony le tigre Frosties,; Tony le tigre Frosties,Frosties ; Oum,Frosties ; Oum le,Frosties ; Oum le dauphin
http://www.liberation.fr/vous/2014/02/13/pour-la-vache-qui-rit-l-amour-est-eternel_980041?xtor=rss-450,liberation.fr,2014-02-14,France,Frosties/NAM/Frosties,"Tony  ,  le  tigre Frosties  ,  Cric  ,  Crac  et  Croc  ,  les  trois  lutins  Rice  Krispies  ,  Captain  Igloo  ,  Ronald  McDonald  ,  la  Vache  qui  rit  ,  le  Géant  vert  ,  la  vache  Milka  ...",frosties,nam,frosties,tigre,tigre,NOUN,le,le,DET,",",",",PUNCT,Tony,Tony,PROPN,,,,",",",",PUNCT,Cric,Cric,PROPN,",",",",PUNCT,Crac,Crac,PROPN,et,et,CONJ,2014-02-14,2014,2010,DET NOUN Frosties PUNCT PROPN,NOUN Frosties PUNCT,DET NOUN Frosties,PUNCT DET NOUN Frosties,PROPN PUNCT DET NOUN Frosties,Frosties PUNCT PROPN,Frosties PUNCT PROPN PUNCT,Frosties PUNCT PROPN PUNCT PROPN,"le tigre Frosties , Cric","tigre Frosties ,",le tigre Frosties,", le tigre Frosties","Tony , le tigre Frosties","Frosties , Cric","Frosties , Cric ,","Frosties , Cric , Crac"
http://www.lesoir.be/488061/article/styles/air-du-temps/2014-03-07/supermarche-du-luxe-chanel-indecent,lesoir.be,2014-03-07,Belgium,Frosties/NAM/Frosties,"La  métaphore  alimentaire  était  présente  partout  ,  des  robes  imprimé  pop-corn  aux  robes Frosties  ...",frosties,nam,frosties,robes,robe,NOUN,aux,au,ADP DET,pop-corn,pop-corn,NOUN,imprimé,imprimer,VERB,robes,robe,NOUN,...,...,PUNCT,,,,,,,,,,,,,2014-03-07,2014,2010,,NOUN Frosties PUNCT,ADP DET NOUN Frosties,NOUN ADP DET NOUN Frosties,VERB NOUN ADP DET NOUN Frosties,,,,,robe Frosties ...,au robe Frosties,pop-corn au robe Frosties,imprimer pop-corn au robe Frosties,,,
http://www.ad-hoc-news.de/le-propri-taire-de-croc-parc-pi-g-par-gonzague--/de/News/36450881,ad-hoc-news.de,2014-04-15,Germany,Frosties/NAM/Frosties,"Nachricht  von  yahoo  .  com  :  Pour  la  Vache  qui  rit  ,  l'  amour  est  éternel  Tony  ,  le  tigre Frosties  ,  Cric  ,  Crac  et  Croc  ,  les  trois  lutins  Rice  Krispies  ,  Captain  Igloo  ,  Ronald  McDonald  ,  la  Vache  qui  rit  ,  le  Géant  vert  ,  la  vache  Milka  ...  weiterlesen  ...",frosties,nam,frosties,tigre,tigre,NOUN,le,le,DET,",",",",PUNCT,Tony,Tony,PROPN,éternel,éternel,ADJ,",",",",PUNCT,Cric,Cric,PROPN,",",",",PUNCT,Crac,Crac,PROPN,et,et,CONJ,2014-04-15,2014,2010,DET NOUN Frosties PUNCT PROPN,NOUN Frosties PUNCT,DET NOUN Frosties,PUNCT DET NOUN Frosties,PROPN PUNCT DET NOUN Frosties,Frosties PUNCT PROPN,Frosties PUNCT PROPN PUNCT,Frosties PUNCT PROPN PUNCT PROPN,"le tigre Frosties , Cric","tigre Frosties ,",le tigre Frosties,", le tigre Frosties","Tony , le tigre Frosties","Frosties , Cric","Frosties , Cric ,","Frosties , Cric , Crac"
http://www.metronews.fr/info/le-fait-divers-du-jour-six-mois-de-prison-pour-une-fausse-sextape-avec-un-tigre/mnka%210o6e8WREMl/,metronews.fr,2014-11-01,France,Frosties/NAM/Frosties,"""  comme  celui  de  la  publicité  pour  les  céréales Frosties  .",frosties,nam,frosties,céréales,céréale,NOUN,les,le,DET,pour,pour,ADP,publicité,publicité,NOUN,la,le,DET,.,.,PUNCT,,,,,,,,,,,,,2014-11-01,2014,2010,,NOUN Frosties PUNCT,DET NOUN Frosties,ADP DET NOUN Frosties,NOUN ADP DET NOUN Frosties,,,,,céréale Frosties .,le céréale Frosties,pour le céréale Frosties,publicité pour le céréale Frosties,,,
http://www.7sur7.be/7s7/fr/1505/Monde/article/detail/2108697/2014/11/01/Six-mois-de-prison-pour-une-sextape-avec-un-tigre.dhtml,7sur7.be,2014-11-01,Belgium,Frosties/NAM/Frosties,"Les  agents  de  police  ont  effectivement  entendu  le  tigre  dire  ""  C'  est  bon  !  ""  ,  comme  dans  la  publicité  pour  les  céréales Frosties  .",frosties,nam,frosties,céréales,céréale,NOUN,les,le,DET,pour,pour,ADP,publicité,publicité,NOUN,la,le,DET,.,.,PUNCT,,,,,,,,,,,,,2014-11-01,2014,2010,,NOUN Frosties PUNCT,DET NOUN Frosties,ADP DET NOUN Frosties,NOUN ADP DET NOUN Frosties,,,,,céréale Frosties .,le céréale Frosties,pour le céréale Frosties,publicité pour le céréale Frosties,,,
http://www.elle.fr/Elle-a-Table/Les-dossiers-de-la-redaction/News-de-la-redaction/Le-bar-a-cereales-le-nouvel-endroit-qui-fait-du-foin-2869438,elle.fr,2014-12-14,France,Frosties/NAM/Frosties,"Des  affiches  vintage  de  dessins  animés  et  de  céréales  qui  nous  rappellent  notre  enfance  habillent  les  murs  et  des  bouteilles  de  lait  rétro  ,  des  produits  dérivés  des  icônes  des  boîtes  de  céréales  comme  le  lion Frosties  de  Kellog  '  s  ou  encore  le  singe  coco  Pops  sont  posées  sur  les  étagères  .",frosties,nam,frosties,lion,lion,NOUN,le,le,DET,comme,comme,CONJ,céréales,céréale,NOUN,de,de,ADP,de,de,ADP,Kellog,Kellog,PROPN,',',PUNCT,s,s,NOUN,ou,ou,CONJ,2014-12-14,2014,2010,DET NOUN Frosties ADP PROPN,NOUN Frosties ADP,DET NOUN Frosties,CONJ DET NOUN Frosties,NOUN CONJ DET NOUN Frosties,Frosties ADP PROPN,Frosties ADP PROPN PUNCT,Frosties ADP PROPN PUNCT NOUN,le lion Frosties de Kellog,lion Frosties de,le lion Frosties,comme le lion Frosties,céréale comme le lion Frosties,Frosties de Kellog,Frosties de Kellog ',Frosties de Kellog ' s
http://www.lefigaro.fr/gastronomie/2014/12/15/30005-20141215ARTFIG00387-un-bar-a-cereales-ouvert-a-londres.php,lefigaro.fr,2014-12-16,France,Frosties/NAM/Frosties,"Rien  d'  artisanal  cependant  ,  mais  les  grands  classiques  -  majoritairement  anglais  et  américains  -  qui  ont  bercé  l'  enfance  des  deux  patrons  : Frosties  ,  Rice  Krispies  ou  autres  Special  K  (  mais  aussi  nos  Chocapic  nationaux  )  .",frosties,nam,frosties,:,:,PUNCT,patrons,patron,NOUN,deux,deux,ADJ,des,du,ADP DET,enfance,enfance,NOUN,",",",",PUNCT,Rice,Rice,PROPN,Krispies,Krispies,PROPN,ou,ou,CONJ,autres,autre,ADJ,2014-12-16,2014,2010,NOUN PUNCT Frosties PUNCT PROPN,PUNCT Frosties PUNCT,NOUN PUNCT Frosties,ADJ NOUN PUNCT Frosties,ADP DET ADJ NOUN PUNCT Frosties,Frosties PUNCT PROPN,Frosties PUNCT PROPN PROPN,Frosties PUNCT PROPN PROPN CONJ,"patron : Frosties , Rice",": Frosties ,",patron : Frosties,deux patron : Frosties,du deux patron : Frosties,"Frosties , Rice","Frosties , Rice Krispies","Frosties , Rice Krispies ou"
http://www.elle.fr/Elle-a-Table/Les-dossiers-de-la-redaction/News-de-la-redaction/Le-bar-a-cereales-le-nouvel-endroit-qui-fait-du-foin-2869438#utm_source%3DRSS-ELLE%26utm_medium%3DFlux-Rss%26utm_campaign%3DRSS_Cuisine%26xtor%3DRSS-25,elle.fr,2015-01-28,France,Frosties/NAM/Frosties,"Des  affiches  vintage  de  dessins  animés  et  de  céréales  qui  nous  rappellent  notre  enfance  habillent  les  murs  et  des  bouteilles  de  lait  rétro  ,  des  produits  dérivés  des  icônes  des  boîtes  de  céréales  comme  le  lion Frosties  de  Kellog  '  s  ou  encore  le  singe  coco  Pops  sont  posées  sur  les  étagères  .",frosties,nam,frosties,lion,lion,NOUN,le,le,DET,comme,comme,CONJ,céréales,céréale,NOUN,de,de,ADP,de,de,ADP,Kellog,Kellog,PROPN,',',PUNCT,s,s,NOUN,ou,ou,CONJ,2015-01-28,2015,2010,DET NOUN Frosties ADP PROPN,NOUN Frosties ADP,DET NOUN Frosties,CONJ DET NOUN Frosties,NOUN CONJ DET NOUN Frosties,Frosties ADP PROPN,Frosties ADP PROPN PUNCT,Frosties ADP PROPN PUNCT NOUN,le lion Frosties de Kellog,lion Frosties de,le lion Frosties,comme le lion Frosties,céréale comme le lion Frosties,Frosties de Kellog,Frosties de Kellog ',Frosties de Kellog ' s
http://www.chefdentreprise.com/Thematique/vente-marketing-communication-1027/Breves/Idee-ailleurs-bar-qui-rapporte-beaucoup-ble-249690.htm#xtor%3D%26utm_source%3DTouteLinfo%26utm_medium%3DRss%26utm_campaign%3D,chefdentreprise.com,2015-01-15,===NONE===,Frosties/NAM/Frosties,"Au  milieu  des  grands  classiques  ( Frosties  ,  Rice  Krispies  ,  Special  K  ,  Chocapic  ...  )  se  cachent  des  produits  plus  rares  aux  goûts  moins  communs  de  bleuet  ou  de  guimauves  ,  qui  proviennent  des  quatre  coins  du  monde  .",frosties,nam,frosties,(,(,PUNCT,classiques,classique,ADJ,grands,grand,ADJ,des,du,ADP DET,milieu,milieu,NOUN,",",",",PUNCT,Rice,Rice,PROPN,Krispies,Krispies,PROPN,",",",",PUNCT,Special,Special,PROPN,2015-01-15,2015,2010,ADJ PUNCT Frosties PUNCT PROPN,PUNCT Frosties PUNCT,ADJ PUNCT Frosties,ADJ ADJ PUNCT Frosties,ADP DET ADJ ADJ PUNCT Frosties,Frosties PUNCT PROPN,Frosties PUNCT PROPN PROPN,Frosties PUNCT PROPN PROPN PUNCT,"classique ( Frosties , Rice","( Frosties ,",classique ( Frosties,grand classique ( Frosties,du grand classique ( Frosties,"Frosties , Rice","Frosties , Rice Krispies","Frosties , Rice Krispies ,"
