url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://economie.jeuneafrique.com/regions/afrique-subsaharienne/23176-francis-nana-djomou-met-un-pied-dans-les-plats.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BJeune_Afrique_Economie%2B%2528Jeune%2BAfrique%2BEconomie%2529&utm_content=FeedBurner%2Buser%2Bview,jeuneafrique.com,2014-10-03,===NONE===,Gallina_Blanca/NAM_NAM/Gallina_Blanca,"Avec  FooDis  ,  sa  nouvelle  entreprise  ,  il  s'  est  allié  à  l'  espagnol Gallina_Blanca  ,  dans  un  partenariat  technique  et  commercial  pour  distribuer  et  importer  ces  produits  .",gallina_blanca,nam_nam,gallina_blanca,espagnol,espagnol,ADJ,l',le,DET,à,à,ADP,allié,allier,VERB,est,être,VERB,",",",",PUNCT,dans,dans,ADP,un,un,DET,partenariat,partenariat,NOUN,technique,technique,ADJ,2014-10-03,2014,2010,DET ADJ Gallina Blanca PUNCT ADP,ADJ Gallina Blanca PUNCT,DET ADJ Gallina Blanca,ADP DET ADJ Gallina Blanca,VERB ADP DET ADJ Gallina Blanca,Gallina Blanca PUNCT ADP,Gallina Blanca PUNCT ADP DET,Gallina Blanca PUNCT ADP DET NOUN,"le espagnol Gallina Blanca , dans","espagnol Gallina Blanca ,",le espagnol Gallina Blanca,à le espagnol Gallina Blanca,allier à le espagnol Gallina Blanca,"Gallina Blanca , dans","Gallina Blanca , dans un","Gallina Blanca , dans un partenariat"
http://rapideinfo.net/node/7682,rapideinfo.net,2015-09-29,===NONE===,Gallina_Blanca/NAM_NAM/Gallina_Blanca,"Alors  qu'  il  voyage  en  Espagne  ,  il  rencontre  le  dirigeant  de Gallina_Blanca  .",gallina_blanca,nam_nam,gallina_blanca,de,de,ADP,dirigeant,dirigeant,NOUN,le,le,DET,rencontre,rencontrer,VERB,il,il,PRON,.,.,PUNCT,,,,,,,,,,,,,2015-09-29,2015,2010,,ADP Gallina Blanca PUNCT,NOUN ADP Gallina Blanca,DET NOUN ADP Gallina Blanca,VERB DET NOUN ADP Gallina Blanca,,,,,de Gallina Blanca .,dirigeant de Gallina Blanca,le dirigeant de Gallina Blanca,rencontrer le dirigeant de Gallina Blanca,,,
http://www.cridem.org/C_Info.php?article=676668,cridem.org,2015-10-21,===NONE===,Gallina_Blanca/NAM_NAM/Gallina_Blanca,"Il  a  fondé  ,  à  partir  de  ce  premier  investissement  ,  une  entreprise  de  bonbons  Cogitrem  ,  devenant  ainsi  le  premier  partenaire  mauritanien  des  marques  bien  connues  telles  que Gallina_Blanca  ,  Phillip  Morris  et  Nissan  .",gallina_blanca,nam_nam,gallina_blanca,que,que,PRON,telles,tel,PRON,connues,connaître,VERB,bien,bien,ADV,marques,marque,NOUN,",",",",PUNCT,Phillip,Phillip,PROPN,Morris,Morris,PROPN,et,et,CONJ,Nissan,Nissan,PROPN,2015-10-21,2015,2010,PRON PRON Gallina Blanca PUNCT PROPN,PRON Gallina Blanca PUNCT,PRON PRON Gallina Blanca,VERB PRON PRON Gallina Blanca,ADV VERB PRON PRON Gallina Blanca,Gallina Blanca PUNCT PROPN,Gallina Blanca PUNCT PROPN PROPN,Gallina Blanca PUNCT PROPN PROPN CONJ,"tel que Gallina Blanca , Phillip","que Gallina Blanca ,",tel que Gallina Blanca,connaître tel que Gallina Blanca,bien connaître tel que Gallina Blanca,"Gallina Blanca , Phillip","Gallina Blanca , Phillip Morris","Gallina Blanca , Phillip Morris et"
http://www.lelezard.com/communique-13459262.html,lelezard.com,2017-05-03,===NONE===,Gallina_Blanca/NAM_NAM/Gallina_Blanca,"Le  groupe  est  présent  avec  ses  produits  alimentaires  du  quotidien  en  Espagne  ,  en  Italie  ,  aux  Pays-Bas  ,  en  Russie  ,  dans  les  républiques  de  la  CEI  et  dans  28  pays  du  continent  africain  et  du  Moyen-Orient  ,  à  travers  des  marques  prestigieuses  comme Gallina_Blanca  ,  Star  ,  Jumbo  ou  Grand  '  Italia  .",gallina_blanca,nam_nam,gallina_blanca,comme,comme,CONJ,prestigieuses,prestigieux,ADJ,marques,marque,NOUN,des,du,ADP DET,travers,travers,NOUN,",",",",PUNCT,Star,Star,PROPN,",",",",PUNCT,Jumbo,Jumbo,PROPN,ou,ou,CONJ,2017-05-03,2017,2010,ADJ CONJ Gallina Blanca PUNCT PROPN,CONJ Gallina Blanca PUNCT,ADJ CONJ Gallina Blanca,NOUN ADJ CONJ Gallina Blanca,ADP DET NOUN ADJ CONJ Gallina Blanca,Gallina Blanca PUNCT PROPN,Gallina Blanca PUNCT PROPN PUNCT,Gallina Blanca PUNCT PROPN PUNCT PROPN,"prestigieux comme Gallina Blanca , Star","comme Gallina Blanca ,",prestigieux comme Gallina Blanca,marque prestigieux comme Gallina Blanca,du marque prestigieux comme Gallina Blanca,"Gallina Blanca , Star","Gallina Blanca , Star ,","Gallina Blanca , Star , Jumbo"
https://www.lecho.be/entreprises/alimentation-boisson/Un-Espagnol-lorgne-sur-Devos-Lemmens/9942627?ckc=1&ts=1507923684,lecho.be,2017-10-13,Belgium,Gallina_Blanca/NAM_NAM/Gallina_Blanca,"Les  marques  les  plus  connues  de  GBFoods  sont Gallina_Blanca  ,  Grand  '  Italia  et  Jumbo  .",gallina_blanca,nam_nam,gallina_blanca,sont,être,VERB,GBFoods,GBFoods,PROPN,de,de,ADP,connues,connaître,VERB,plus,plus,ADV,",",",",PUNCT,Grand,Grand,PROPN,',',PUNCT,Italia,Italia,PROPN,et,et,CONJ,2017-10-13,2017,2010,PROPN VERB Gallina Blanca PUNCT PROPN,VERB Gallina Blanca PUNCT,PROPN VERB Gallina Blanca,ADP PROPN VERB Gallina Blanca,VERB ADP PROPN VERB Gallina Blanca,Gallina Blanca PUNCT PROPN,Gallina Blanca PUNCT PROPN PUNCT,Gallina Blanca PUNCT PROPN PUNCT PROPN,"GBFoods être Gallina Blanca , Grand","être Gallina Blanca ,",GBFoods être Gallina Blanca,de GBFoods être Gallina Blanca,connaître de GBFoods être Gallina Blanca,"Gallina Blanca , Grand","Gallina Blanca , Grand '","Gallina Blanca , Grand ' Italia"
http://www.cridem.org/C_Info.php?article=706504,cridem.org,2018-01-04,===NONE===,Gallina_Blanca/NAM_NAM/Gallina_Blanca,"Auparavant  Leila  s'  était  fait  la  main  auprès  d'  institutions  financières  de  renommée  internationale  comme  entre  autres  ,  la  BMCE  International  (  Madrid  )  ,  Deloitte  &  Touch  (  Tunis  )  , Gallina_Blanca  (  Barcelone  )  .",gallina_blanca,nam_nam,gallina_blanca,",",",",PUNCT,),),PUNCT,Tunis,Tunis,PROPN,(,(,PUNCT,Touch,Touch,PROPN,(,(,PUNCT,Barcelone,Barcelone,PROPN,),),PUNCT,.,.,PUNCT,,,,2018-01-04,2018,2010,PUNCT PUNCT Gallina Blanca PUNCT PROPN,PUNCT Gallina Blanca PUNCT,PUNCT PUNCT Gallina Blanca,PROPN PUNCT PUNCT Gallina Blanca,PUNCT PROPN PUNCT PUNCT Gallina Blanca,Gallina Blanca PUNCT PROPN,Gallina Blanca PUNCT PROPN PUNCT,Gallina Blanca PUNCT PROPN PUNCT PUNCT,") , Gallina Blanca ( Barcelone",", Gallina Blanca (",") , Gallina Blanca","Tunis ) , Gallina Blanca","( Tunis ) , Gallina Blanca",Gallina Blanca ( Barcelone,Gallina Blanca ( Barcelone ),Gallina Blanca ( Barcelone ) .
https://www.bfmtv.com/economie/les-soupes-liebig-et-royco-tombent-dans-le-panier-d-un-groupe-espagnol-1684651.html,bfmtv.com,2019-05-03,France,ex-Gallina_Blanca/NOM_NAM/ex-Gallina_Blanca,"Selon  un  communiqué  conjoint  ,  le  fonds  d'  investissement  CVC  Capital  Partners  ,  propriétaire  de  Continental  Foods  ,  et  GB  Foods  ( ex-Gallina_Blanca  ,  marque  de  bouillons  cubes  créée  à  Barcelone  en  1937  )  sont  entrés  en  ""  négociations  finales  exclusives  ""  pour  que  le  premier  cède  au  second  Continental  Foods  ,  dont  le  siège  est  à  Puurs  ,  en  Belgique  .",ex-gallina_blanca,nom_nam,ex-gallina_blanca,(,(,PUNCT,Foods,Foods,PROPN,GB,GB,PROPN,et,et,CONJ,",",",",PUNCT,",",",",PUNCT,marque,marque,NOUN,de,de,ADP,bouillons,bouillon,NOUN,cubes,cube,ADJ,2019-05-03,2019,2010,PROPN PUNCT Gallina Blanca PUNCT NOUN,PUNCT Gallina Blanca PUNCT,PROPN PUNCT Gallina Blanca,PROPN PROPN PUNCT Gallina Blanca,CONJ PROPN PROPN PUNCT Gallina Blanca,Gallina Blanca PUNCT NOUN,Gallina Blanca PUNCT NOUN ADP,Gallina Blanca PUNCT NOUN ADP NOUN,"Foods ( Gallina Blanca , marque","( Gallina Blanca ,",Foods ( Gallina Blanca,GB Foods ( Gallina Blanca,et GB Foods ( Gallina Blanca,"Gallina Blanca , marque","Gallina Blanca , marque de","Gallina Blanca , marque de bouillon"
https://www.agenceecofin.com/grand-format/0304-75399-mohamed-ould-bouamatou-10-annees-d-exil,agenceecofin.com,2020-04-03,===NONE===,Gallina_Blanca/NAM_NAM/Gallina_Blanca,"Au  début  des  années  1980  ,  lors  d'  un  voyage  en  Espagne  ,  il  rencontre  le  dirigeant  de Gallina_Blanca  ,  l'  entreprise  qui  commercialise  les  célébrissimes  bouillons  Jumbo  en  Afrique  .",gallina_blanca,nam_nam,gallina_blanca,de,de,ADP,dirigeant,dirigeant,NOUN,le,le,DET,rencontre,rencontrer,VERB,il,il,PRON,",",",",PUNCT,l',le,DET,entreprise,entreprise,NOUN,qui,qui,PRON,commercialise,commercialiser,VERB,2020-04-03,2020,2020,NOUN ADP Gallina Blanca PUNCT DET,ADP Gallina Blanca PUNCT,NOUN ADP Gallina Blanca,DET NOUN ADP Gallina Blanca,VERB DET NOUN ADP Gallina Blanca,Gallina Blanca PUNCT DET,Gallina Blanca PUNCT DET NOUN,Gallina Blanca PUNCT DET NOUN PRON,"dirigeant de Gallina Blanca , le","de Gallina Blanca ,",dirigeant de Gallina Blanca,le dirigeant de Gallina Blanca,rencontrer le dirigeant de Gallina Blanca,"Gallina Blanca , le","Gallina Blanca , le entreprise","Gallina Blanca , le entreprise qui"
http://www.cridem.org/C_Info.php?article=734973,cridem.org,2020-04-16,===NONE===,Gallina_Blanca/NAM_NAM/Gallina_Blanca,"Ses  nombreux  voyages  d'  affaires  à  la  recherche  de  nouvelles  opportunités  ,  l'  ont  mené  en  Espagne  où  il  fit  la  connaissance  des  dirigeants  de Gallina_Blanca  ,  le  géant  des  bouillons  culinaires  .",gallina_blanca,nam_nam,gallina_blanca,de,de,ADP,dirigeants,dirigeant,NOUN,des,du,ADP DET,connaissance,connaissance,NOUN,la,le,DET,",",",",PUNCT,le,le,DET,géant,géant,NOUN,des,du,ADP DET,bouillons,bouillon,NOUN,2020-04-16,2020,2020,NOUN ADP Gallina Blanca PUNCT DET,ADP Gallina Blanca PUNCT,NOUN ADP Gallina Blanca,ADP DET NOUN ADP Gallina Blanca,NOUN ADP DET NOUN ADP Gallina Blanca,Gallina Blanca PUNCT DET,Gallina Blanca PUNCT DET NOUN,Gallina Blanca PUNCT DET NOUN ADP DET,"dirigeant de Gallina Blanca , le","de Gallina Blanca ,",dirigeant de Gallina Blanca,du dirigeant de Gallina Blanca,connaissance du dirigeant de Gallina Blanca,"Gallina Blanca , le","Gallina Blanca , le géant","Gallina Blanca , le géant du"
https://www.kccall.com/connaissez-vous-les-bienfaits-de-lartichaut-pour-la-sante/,kccall.com,2020-08-14,===NONE===,Gallina_Blanca/NAM_NAM/Gallina_Blanca,Sources  d'  images  :  Le  chef  andalou  / Gallina_Blanca </doc>,gallina_blanca,nam_nam,gallina_blanca,/,,,andalou,andalou,ADJ,chef,chef,NOUN,Le,le,DET,:,:,PUNCT,</doc>,,,,,,,,,,,,,,,2020-08-14,2020,2020,,,,,,,,,,,,,,,,
