url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.medi1.com/infos/actualite/actualite.php?idinf=59144,medi1.com,2014-01-01,Morocco,Gillette/NAM/Gillette,"""  Cela  va  créer  de  l'  emploi  ,  des  rentrées  fiscales  pour  l'  état  ,  une  activité  touristique  supplémentaire  ,  et  entraîner  le  développement  d'  une  nouvelle  industrie  dans  le  Colorado  ""  ,  explique  à  l'  AFP  Rachel Gillette  ,  avocate  de  NORML  .",gillette,nam,gillette,Rachel,Rachel,PROPN,AFP,AFP,ABR,l',le,DET,à,à,ADP,explique,expliquer,VERB,",",",",PUNCT,avocate,avocat,NOUN,de,de,ADP,NORML,NORML,PROPN,.,.,PUNCT,2014-01-01,2014,2010,ABR PROPN Gillette PUNCT NOUN,PROPN Gillette PUNCT,ABR PROPN Gillette,DET ABR PROPN Gillette,ADP DET ABR PROPN Gillette,Gillette PUNCT NOUN,Gillette PUNCT NOUN ADP,Gillette PUNCT NOUN ADP PROPN,"AFP Rachel Gillette , avocat","Rachel Gillette ,",AFP Rachel Gillette,le AFP Rachel Gillette,à le AFP Rachel Gillette,"Gillette , avocat","Gillette , avocat de","Gillette , avocat de NORML"
http://www.metronews.fr/culture/benedict-cumberbatch-est-il-le-meilleur-de-tous-les-sherlock-holmes/mnae%21fRMkbuMHuDCD2/,metronews.fr,2014-01-05,France,Gillette/NAM/Gillette,"Le  tout  premier  ?  William Gillette  dans  un  film  muet  de  1916  ,  d'après  une  pièce  qu'  il  avait  écrite  quelques  années  plus  tôt  .",gillette,nam,gillette,William,William,PROPN,?,?,PUNCT,premier,premier,NOUN,tout,tout,PRON,Le,le,DET,dans,dans,ADP,un,un,DET,film,film,NOUN,muet,muet,ADJ,de,de,ADP,2014-01-05,2014,2010,PUNCT PROPN Gillette ADP DET,PROPN Gillette ADP,PUNCT PROPN Gillette,NOUN PUNCT PROPN Gillette,PRON NOUN PUNCT PROPN Gillette,Gillette ADP DET,Gillette ADP DET NOUN,Gillette ADP DET NOUN ADJ,? William Gillette dans un,William Gillette dans,? William Gillette,premier ? William Gillette,tout premier ? William Gillette,Gillette dans un,Gillette dans un film,Gillette dans un film muet
http://www.lapresse.ca/sports/football/201401/11/01-4727720-les-patriots-en-terrain-connu.php,lapresse.ca,2014-01-11,Canada,Gillette/NAM/Gillette,"C'  est  donc  une  équipe  qui  n'  aura  rien  à  perdre  qui  se  présentera  au Gillette  Stadium  ,  ce  qui  est  toujours  dangereux  pour  l'  adversaire  .",gillette,nam,gillette,au,au,ADP DET,présentera,présenter,VERB,se,se,PRON,qui,qui,PRON,perdre,perdre,VERB,Stadium,Stadium,PROPN,",",",",PUNCT,ce,ce,PRON,qui,qui,PRON,est,être,VERB,2014-01-11,2014,2010,VERB ADP DET Gillette PROPN PUNCT,ADP DET Gillette PROPN,VERB ADP DET Gillette,PRON VERB ADP DET Gillette,PRON PRON VERB ADP DET Gillette,Gillette PROPN PUNCT,Gillette PROPN PUNCT PRON,Gillette PROPN PUNCT PRON PRON,"présenter au Gillette Stadium ,",au Gillette Stadium,présenter au Gillette,se présenter au Gillette,qui se présenter au Gillette,"Gillette Stadium ,","Gillette Stadium , ce","Gillette Stadium , ce qui"
http://www.terrafemina.com/vie-privee/sexo/articles/36366-huit-trucs-sexy-que-font-les-hommes-sans-sen-rendre-compte.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BTerrafeminaNews%2B%2528TerrafeminaNews%2529,terrafemina.com,2014-01-17,France,Gillette/NAM/Gillette,"Fortement  impressionnées  pendant  leur  enfance  par  les  pubs Gillette  ,  certaines  journalistes  de  cette  rédaction  (  qui  ont  désiré  rester  anonymes  )  fantasment  résolument  sur  l'  homme  qui  se  rase  en  peignoir  blanc  dans  la  salle  de  bains  (  si  possible  avec  une  fossette  sur  le  menton  )  et  qui  n'  oublie  pas  de  caresser  son  menton  une  fois  l'  opération  effectuée  (  officiellement  pour  vérifier  qu'  il  n'  a  oublié  aucun  poil  rebelle  ,  officieusement  pour  plaire  aux  femmes  .  cf  .  le  paragraphe  :  Se  frotter  la  nuque  /  le  crâne  /  la  barbe  )  .",gillette,nam,gillette,pubs,pub,NOUN,les,le,DET,par,par,ADP,enfance,enfance,NOUN,leur,leur,DET,",",",",PUNCT,certaines,certain,PRON,journalistes,journaliste,NOUN,de,de,ADP,cette,ce,PRON,2014-01-17,2014,2010,DET NOUN Gillette PUNCT PRON,NOUN Gillette PUNCT,DET NOUN Gillette,ADP DET NOUN Gillette,NOUN ADP DET NOUN Gillette,Gillette PUNCT PRON,Gillette PUNCT PRON NOUN,Gillette PUNCT PRON NOUN ADP,"le pub Gillette , certain","pub Gillette ,",le pub Gillette,par le pub Gillette,enfance par le pub Gillette,"Gillette , certain","Gillette , certain journaliste","Gillette , certain journaliste de"
http://www.lapresse.ca/le-soleil/affaires/les-regions/201401/21/01-4731075-les-patriots-sen-remettent-a-canatal-pour-des-nouveaux-locaux.php,lapresse.ca,2014-01-24,Canada,Gillette/NAM/Gillette,"En  revanche  ,  ils  emménageront  sous  peu  dans  des  locaux  administratifs  tout  neufs  au Gillette  Stadium  à  Foxborough  ,  une  municipalité  située  à  une  trentaine  de  kilomètres  de  Boston  .",gillette,nam,gillette,au,au,ADP DET,neufs,neuf,ADJ,tout,tout,ADV,administratifs,administratif,ADJ,locaux,local,NOUN,Stadium,Stadium,PROPN,à,à,ADP,Foxborough,Foxborough,PROPN,",",",",PUNCT,une,un,DET,2014-01-24,2014,2010,ADJ ADP DET Gillette PROPN ADP,ADP DET Gillette PROPN,ADJ ADP DET Gillette,ADV ADJ ADP DET Gillette,ADJ ADV ADJ ADP DET Gillette,Gillette PROPN ADP,Gillette PROPN ADP PROPN,Gillette PROPN ADP PROPN PUNCT,neuf au Gillette Stadium à,au Gillette Stadium,neuf au Gillette,tout neuf au Gillette,administratif tout neuf au Gillette,Gillette Stadium à,Gillette Stadium à Foxborough,"Gillette Stadium à Foxborough ,"
http://www.lapresse.ca/le-soleil/affaires/les-regions/201401/21/01-4731075-les-patriots-sen-remettent-a-canatal-pour-des-nouveaux-locaux.php,lapresse.ca,2014-01-24,Canada,Gillette/NAM/Gillette,"C'  est  Structal  ,  une  division  du  Groupe  Canam  ,  de  Saint-Georges  ,  qui  avait  réalisé  ,  au  début  des  années  2000  ,  la  conception-ingénierie  ,  la  fabrication  et  le  montage  des  17  0  0  0  tonnes  de  composantes  de  charpente  ,  de  poutrelles  et  de  tablier  métalliques  du  même Gillette  Stadium  ,  une  cathédrale  du  football  d'  une  capacité  de  près  de  70  0  0  0  spectateurs  .",gillette,nam,gillette,même,même,ADJ,du,du,ADP DET,métalliques,métallique,ADJ,tablier,tablier,NOUN,de,de,ADP,Stadium,Stadium,PROPN,",",",",PUNCT,une,un,DET,cathédrale,cathédrale,NOUN,du,du,ADP DET,2014-01-24,2014,2010,ADP DET ADJ Gillette PROPN PUNCT,ADJ Gillette PROPN,ADP DET ADJ Gillette,ADJ ADP DET ADJ Gillette,NOUN ADJ ADP DET ADJ Gillette,Gillette PROPN PUNCT,Gillette PROPN PUNCT DET,Gillette PROPN PUNCT DET NOUN,"du même Gillette Stadium ,",même Gillette Stadium,du même Gillette,métallique du même Gillette,tablier métallique du même Gillette,"Gillette Stadium ,","Gillette Stadium , un","Gillette Stadium , un cathédrale"
http://www.zonebourse.com/THE-PROCTER--GAMBLE-COMP-4838/actualite/The-Procter--Gamble-Company--Recul-du-benefice-trimestriel-de-Procter--Gamble-hausse-du-CA-17839742/,zonebourse.com,2014-01-24,===NONE===,Gillette/NAM/Gillette,"P  &  G  ,  qui  possède  entre  autres  les  marques  Pampers  ,  Ariel  et Gillette  ,  a  maintenu  ses  prévisions  2014  .",gillette,nam,gillette,et,et,CONJ,Ariel,Ariel,PROPN,",",",",PUNCT,Pampers,Pampers,PROPN,marques,marque,NOUN,",",",",PUNCT,a,avoir,VERB,maintenu,maintenir,VERB,ses,son,DET,prévisions,prévision,NOUN,2014-01-24,2014,2010,PROPN CONJ Gillette PUNCT VERB,CONJ Gillette PUNCT,PROPN CONJ Gillette,PUNCT PROPN CONJ Gillette,PROPN PUNCT PROPN CONJ Gillette,Gillette PUNCT VERB,Gillette PUNCT VERB VERB,Gillette PUNCT VERB VERB DET,"Ariel et Gillette , avoir","et Gillette ,",Ariel et Gillette,", Ariel et Gillette","Pampers , Ariel et Gillette","Gillette , avoir","Gillette , avoir maintenir","Gillette , avoir maintenir son"
http://lci.tf1.fr/economie/entreprise/la-mode-des-barbes-freine-les-ventes-de-rasoirs-8353688.html,tf1.fr,2014-01-24,France,Gillette/NAM/Gillette,"Les  ventes  du  fabricant  des  rasoirs Gillette  et  des  couches  Pampers  ont  été  tirées  par  les  produits  d'  hygiène  et  de  santé  (  +  4  %  )  ,  alors  que  les  produits  de  beauté  ont  vu  leurs  ventes  reculer  de  2  %  et  les  produits  de  rasage  rester  stables  .",gillette,nam,gillette,rasoirs,rasoir,NOUN,des,du,ADP DET,fabricant,fabricant,NOUN,du,du,ADP DET,ventes,vente,NOUN,et,et,CONJ,des,du,ADP DET,couches,couche,NOUN,Pampers,Pampers,PROPN,ont,avoir,VERB,2014-01-24,2014,2010,ADP DET NOUN Gillette CONJ ADP DET,NOUN Gillette CONJ,ADP DET NOUN Gillette,NOUN ADP DET NOUN Gillette,ADP DET NOUN ADP DET NOUN Gillette,Gillette CONJ ADP DET,Gillette CONJ ADP DET NOUN,Gillette CONJ ADP DET NOUN PROPN,du rasoir Gillette et du,rasoir Gillette et,du rasoir Gillette,fabricant du rasoir Gillette,du fabricant du rasoir Gillette,Gillette et du,Gillette et du couche,Gillette et du couche Pampers
http://tvasports.ca/hockey/canadiens/canadien-bruins-en-plein-air-25012014,tvasports.ca,2014-01-25,Canada,Gillette/NAM/Gillette,"Selon  ce  qu'  a  rapporté  John  Shannon  du  réseau  Sportsnet  ,  samedi  ,  la  LNH  préparerait  un  tel  affrontement  pour  le  mois  de  février  2015  ,  soit  la  saison  prochaine  ,  à  Foxboro  au Gillette  Stadium  ,  domicile  des  Patriots  de  la  Nouvelle-Angleterre  dans  la  NFL  .",gillette,nam,gillette,au,au,ADP DET,Foxboro,Foxboro,PROPN,à,à,ADP,",",",",PUNCT,prochaine,prochain,ADJ,Stadium,Stadium,PROPN,",",",",PUNCT,domicile,domicile,NOUN,des,du,ADP DET,Patriots,Patriots,NOUN,2014-01-25,2014,2010,PROPN ADP DET Gillette PROPN PUNCT,ADP DET Gillette PROPN,PROPN ADP DET Gillette,ADP PROPN ADP DET Gillette,PUNCT ADP PROPN ADP DET Gillette,Gillette PROPN PUNCT,Gillette PROPN PUNCT NOUN,Gillette PROPN PUNCT NOUN ADP DET,"Foxboro au Gillette Stadium ,",au Gillette Stadium,Foxboro au Gillette,à Foxboro au Gillette,", à Foxboro au Gillette","Gillette Stadium ,","Gillette Stadium , domicile","Gillette Stadium , domicile du"
http://24hmontreal.canoe.ca/24hmontreal/sports/archives/2014/01/20140125-164937.html,canoe.ca,2014-01-25,Canada,Gillette/NAM/Gillette,"D'après  le  réseau  Sportsnet  ,  l'  affrontement  se  déroulerait  au Gillette  Stadium  de  Foxboro  ,  domicile  des  Patriots  de  la  Nouvelle-Angleterre  de  la  NFL  .",gillette,nam,gillette,au,au,ADP DET,déroulerait,dérouler,VERB,se,se,PRON,affrontement,affrontement,NOUN,l',le,DET,Stadium,Stadium,PROPN,de,de,ADP,Foxboro,Foxboro,PROPN,",",",",PUNCT,domicile,domicile,NOUN,2014-01-25,2014,2010,VERB ADP DET Gillette PROPN ADP,ADP DET Gillette PROPN,VERB ADP DET Gillette,PRON VERB ADP DET Gillette,NOUN PRON VERB ADP DET Gillette,Gillette PROPN ADP,Gillette PROPN ADP PROPN,Gillette PROPN ADP PROPN PUNCT,dérouler au Gillette Stadium de,au Gillette Stadium,dérouler au Gillette,se dérouler au Gillette,affrontement se dérouler au Gillette,Gillette Stadium de,Gillette Stadium de Foxboro,"Gillette Stadium de Foxboro ,"
