url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.dhnet.be/regions/brabant/kids-day-une-reussite-complete-52c0f84d35701baedaacd022,dhnet.be,2014-01-02,Belgium,hula_hoop/NOM_NOM/hula_hoop,"Le  numéro  de hula_hoop  revisité  est  lui  aussi  impressionnant  de  même  que  les  nouveaux  numéros  ,  qu'  il  s'  agisse  des  ""  cascadeurs  ""  ,  alliant  performances  et  rire  ,  des  voltigeurs  et  voltigeuse  ,  du  numéro  de  la  femme  coupée  en  deux  et  autres  jongleries  enflammées  qui  ont  également  séduit  les  familles  .",hula_hoop,nom_nom,hula_hoop,de,de,ADP,numéro,numéro,NOUN,Le,le,DET,,,,,,,revisité,revisiter,VERB,est,être,VERB,lui,lui,PRON,aussi,aussi,ADV,impressionnant,impressionnant,ADJ,2014-01-02,2014,2010,NOUN ADP Hula Hoop VERB VERB,ADP Hula Hoop VERB,NOUN ADP Hula Hoop,DET NOUN ADP Hula Hoop,,Hula Hoop VERB VERB,Hula Hoop VERB VERB PRON,Hula Hoop VERB VERB PRON ADV,numéro de Hula Hoop revisiter être,de Hula Hoop revisiter,numéro de Hula Hoop,le numéro de Hula Hoop,,Hula Hoop revisiter être,Hula Hoop revisiter être lui,Hula Hoop revisiter être lui aussi
http://www.ladepeche.fr/article/2014/01/14/1794030-semaine-cabaret-au-theatre-jules-julien.html,ladepeche.fr,2014-01-14,France,hula_hoop/NOM_NOM/hula_hoop,"Egalement  sur  scène  :  Dani  Cercos  Mozota  ,  jongleur  espagnol  de  la  dérision  ,  Sabine  Rieck  ,  clown  au hula_hoop  et  Mr  .",hula_hoop,nom_nom,hula_hoop,au,au,ADP DET,clown,clown,NOUN,",",",",PUNCT,Rieck,Rieck,PROPN,Sabine,Sabine,PROPN,et,et,CONJ,Mr,monsieur,ABR,.,.,PUNCT,,,,,,,2014-01-14,2014,2010,NOUN ADP DET Hula Hoop CONJ ABR,ADP DET Hula Hoop CONJ,NOUN ADP DET Hula Hoop,PUNCT NOUN ADP DET Hula Hoop,PROPN PUNCT NOUN ADP DET Hula Hoop,Hula Hoop CONJ ABR,Hula Hoop CONJ ABR PUNCT,,clown au Hula Hoop et monsieur,au Hula Hoop et,clown au Hula Hoop,", clown au Hula Hoop","Rieck , clown au Hula Hoop",Hula Hoop et monsieur,Hula Hoop et monsieur .,
http://www.leparisien.fr/espace-premium/seine-et-marne-77/rosie-rose-magique-06-02-2014-3563343.php,leparisien.fr,2014-02-06,France,hula_hoops/NOM_NOM/hula_hoops,"Rosie  Rose  aime  la  magie  de  l'  inattendu  et  multiplie  les  effets  de  balles  ,  d'  ombrelles  et  de hula_hoops  .",hula_hoops,nom_nom,hula_hoops,de,de,ADP,et,et,CONJ,ombrelles,ombrelle,NOUN,d',de,ADP,",",",",PUNCT,.,.,PUNCT,,,,,,,,,,,,,2014-02-06,2014,2010,,ADP Hula Hoop PUNCT,CONJ ADP Hula Hoop,NOUN CONJ ADP Hula Hoop,ADP NOUN CONJ ADP Hula Hoop,,,,,de Hula Hoop .,et de Hula Hoop,ombrelle et de Hula Hoop,de ombrelle et de Hula Hoop,,,
http://www.lefigaro.fr/vox/culture/2014/02/13/31006-20140213ARTFIG00140-retour-vers-le-futur.php,lefigaro.fr,2014-02-14,France,hula_hoop/NOM_NOM/hula_hoop,Le  gadget  dans  le  vent  sera  le hula_hoop  .,hula_hoop,nom_nom,hula_hoop,le,le,DET,sera,être,VERB,vent,vent,NOUN,le,le,DET,dans,dans,ADP,.,.,PUNCT,,,,,,,,,,,,,2014-02-14,2014,2010,,DET Hula Hoop PUNCT,VERB DET Hula Hoop,NOUN VERB DET Hula Hoop,DET NOUN VERB DET Hula Hoop,,,,,le Hula Hoop .,être le Hula Hoop,vent être le Hula Hoop,le vent être le Hula Hoop,,,
http://www.estrieplus.com/contenu-grands_spectacles_place_nikitotek-1376-30539.html,estrieplus.com,2014-03-19,Canada,Hula_hoop/VER:simp_NOM/Hula_hoop,"Acrobaties  ,  jonglerie  ,  barres  russes  , Hula_hoop  ,  cerceau  aérien  ,  trampoline  ,  trampomur  ,  numéros  de  main  à  main  et  nombreuses  fantaisies  sont  aussi  du  programme  !",hula_hoop,ver:simp_nom,hula_hoop,",",",",PUNCT,russes,russe,ADJ,barres,barre,NOUN,",",",",PUNCT,jonglerie,jonglerie,NOUN,",",",",PUNCT,cerceau,cerceau,NOUN,aérien,aérien,ADJ,",",",",PUNCT,trampoline,trampoline,NOUN,2014-03-19,2014,2010,ADJ PUNCT Hula Hoop PUNCT NOUN,PUNCT Hula Hoop PUNCT,ADJ PUNCT Hula Hoop,NOUN ADJ PUNCT Hula Hoop,PUNCT NOUN ADJ PUNCT Hula Hoop,Hula Hoop PUNCT NOUN,Hula Hoop PUNCT NOUN ADJ,Hula Hoop PUNCT NOUN ADJ PUNCT,"russe , Hula Hoop , cerceau",", Hula Hoop ,","russe , Hula Hoop","barre russe , Hula Hoop",", barre russe , Hula Hoop","Hula Hoop , cerceau","Hula Hoop , cerceau aérien","Hula Hoop , cerceau aérien ,"
http://www.terrafemina.com/culture/medias/articles/42002-l-the-best-le-meilleur-artiste-r-trois-bonnes-raisons-de-suivre-la-deuxieme-saison.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BTerrafeminaNews%2B%2528TerrafeminaNews%2529,terrafemina.com,2014-04-18,France,hula_hoop/NOM_NOM/hula_hoop,"""  Par  exemple  ,  j'  ai  tenté  de  faire  du hula_hoop  avec  une  artiste  ukrainienne  ,  mais  je  ressemblais  plutôt  à  un  vieillard  avec  une  hanche  artificielle  ...",hula_hoop,nom_nom,hula_hoop,du,du,ADP DET,faire,faire,VERB,de,de,ADP,tenté,tenter,VERB,ai,avoir,VERB,avec,avec,ADP,une,un,DET,artiste,artiste,NOUN,ukrainienne,ukrainien,ADJ,",",",",PUNCT,2014-04-18,2014,2010,VERB ADP DET Hula Hoop ADP DET,ADP DET Hula Hoop ADP,VERB ADP DET Hula Hoop,ADP VERB ADP DET Hula Hoop,VERB ADP VERB ADP DET Hula Hoop,Hula Hoop ADP DET,Hula Hoop ADP DET NOUN,Hula Hoop ADP DET NOUN ADJ,faire du Hula Hoop avec un,du Hula Hoop avec,faire du Hula Hoop,de faire du Hula Hoop,tenter de faire du Hula Hoop,Hula Hoop avec un,Hula Hoop avec un artiste,Hula Hoop avec un artiste ukrainien
http://www.7sur7.be/7s7/fr/1523/Famille/article/detail/1867290/2014/04/28/Baddie-Winkle-l-arriere-grand-mere-qui-veut-piquer-votre-mari.dhtml,7sur7.be,2014-04-28,Belgium,hula_hoop/NOM_NOM/hula_hoop,"Fan  de  Ellen  DeGeneres  et  de  Justin  Bieber  ,  elle  préfère  le hula_hoop  au  twerk  et  aime  montrer  son  sens  de  rythme  en  vidéo  .",hula_hoop,nom_nom,hula_hoop,le,le,DET,préfère,préférer,VERB,elle,elle,PRON,",",",",PUNCT,Bieber,Bieber,PROPN,au,au,ADP DET,twerk,twerk,NOUN,et,et,CONJ,aime,aimer,VERB,montrer,montrer,VERB,2014-04-28,2014,2010,VERB DET Hula Hoop ADP DET NOUN,DET Hula Hoop ADP DET,VERB DET Hula Hoop,PRON VERB DET Hula Hoop,PUNCT PRON VERB DET Hula Hoop,Hula Hoop ADP DET NOUN,Hula Hoop ADP DET NOUN CONJ,Hula Hoop ADP DET NOUN CONJ VERB,préférer le Hula Hoop au twerk,le Hula Hoop au,préférer le Hula Hoop,elle préférer le Hula Hoop,", elle préférer le Hula Hoop",Hula Hoop au twerk,Hula Hoop au twerk et,Hula Hoop au twerk et aimer
http://www.leberry.fr/france-monde/actualites/societe/sante-beaute/2014/05/29/10-000-pas-par-jour-le-secret-pour-garder-la-forme_11022695.html,leberry.fr,2014-05-29,France,hula_hoop/NOM_NOM/hula_hoop,"Mais  surtout  des  initiations  au  badminton  ,  à  la  salsa  ,  marche  nordique  ,  zumba  ,  voguing  ,  pana  football  ,  surf  , hula_hoop  et  tango  afin  que  vous  trouviez  votre  bonheur  parmi  toutes  ces  activités  en  vogue  . </doc>",hula_hoop,nom_nom,hula_hoop,",",",",PUNCT,surf,surf,NOUN,",",",",PUNCT,football,football,NOUN,pana,paner,VERB,et,et,CONJ,tango,tango,NOUN,afin,afin,CONJ,que,que,PRON,vous,vous,PRON,2014-05-29,2014,2010,NOUN PUNCT Hula Hoop CONJ NOUN,PUNCT Hula Hoop CONJ,NOUN PUNCT Hula Hoop,PUNCT NOUN PUNCT Hula Hoop,NOUN PUNCT NOUN PUNCT Hula Hoop,Hula Hoop CONJ NOUN,Hula Hoop CONJ NOUN CONJ,Hula Hoop CONJ NOUN CONJ PRON,"surf , Hula Hoop et tango",", Hula Hoop et","surf , Hula Hoop",", surf , Hula Hoop","football , surf , Hula Hoop",Hula Hoop et tango,Hula Hoop et tango afin,Hula Hoop et tango afin que
http://www.lefigaro.fr/societes/2014/07/03/20005-20140703ARTFIG00453-deux-fonds-veulent-introduire-bn-en-bourse-pour-mieux-le-vendre.php,lefigaro.fr,2014-07-11,France,Hula_Hoops/NAM_NAM/Hula_Hoops,"Du  coup  ,  Blackstone  et  PAI  ont  scindé  UB  il  y  a  deux  ans  afin  de  le  rendre  plus  digeste  :  ils  ont  cédé  les  crackers  ,  chips  et  snacks  salés  (  McCoy  '  s  , Hula_Hoops  ,  Carr  '  s.  ..  )  ,  soit  22  %  de  l'  activité  (  Vico  ,  Curly  ,  Apérifruits  ...  )  ,  à  l'  allemand  Intersnack  pour  environ  500  millions  de  livres  .",hula_hoops,nam_nam,hula_hoops,",",",",PUNCT,s,s,NOUN,',',PUNCT,McCoy,McCoy,PROPN,(,(,PUNCT,",",",",PUNCT,Carr,Carr,PROPN,',',PUNCT,s.,s.,ABR,..,..,ABR,2014-07-11,2014,2010,NOUN PUNCT Hula Hoop PUNCT PROPN,PUNCT Hula Hoop PUNCT,NOUN PUNCT Hula Hoop,PUNCT NOUN PUNCT Hula Hoop,PROPN PUNCT NOUN PUNCT Hula Hoop,Hula Hoop PUNCT PROPN,Hula Hoop PUNCT PROPN PUNCT,Hula Hoop PUNCT PROPN PUNCT ABR,"s , Hula Hoop , Carr",", Hula Hoop ,","s , Hula Hoop","' s , Hula Hoop","McCoy ' s , Hula Hoop","Hula Hoop , Carr","Hula Hoop , Carr '","Hula Hoop , Carr ' s."
http://www.lepoint.fr/c-est-arrive-aujourd-hui/14-juillet-1921-andre-malraux-aide-clara-goldschmidt-a-perdre-sa-virginite-dans-une-chambre-de-bonne-13-07-2012-1485434_494.php,lepoint.fr,2014-07-13,France,hula_hoop/NOM_NOM/hula_hoop,"Le  jeune  Malraux  danse  avec  la  sensualité  d'  un  Couve  de  Murville  pratiquant  le hula_hoop  ,  mais  Clara  s'  en  fiche  ,  c'  est  son  intarissable  bagout  et  son  culot  qui  la  fascinent  .",hula_hoop,nom_nom,hula_hoop,le,le,DET,pratiquant,pratiquer,VERB,Murville,Murville,PROPN,de,de,ADP,Couve,Couve,PROPN,",",",",PUNCT,mais,mais,CONJ,Clara,Clara,PROPN,s',si,CONJ,en,en,ADP,2014-07-13,2014,2010,VERB DET Hula Hoop PUNCT CONJ,DET Hula Hoop PUNCT,VERB DET Hula Hoop,PROPN VERB DET Hula Hoop,ADP PROPN VERB DET Hula Hoop,Hula Hoop PUNCT CONJ,Hula Hoop PUNCT CONJ PROPN,Hula Hoop PUNCT CONJ PROPN CONJ,"pratiquer le Hula Hoop , mais","le Hula Hoop ,",pratiquer le Hula Hoop,Murville pratiquer le Hula Hoop,de Murville pratiquer le Hula Hoop,"Hula Hoop , mais","Hula Hoop , mais Clara","Hula Hoop , mais Clara si"
