url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.tv5.org/cms/chaine-francophone/info/p-1911-redir.htm?&rub=9&xml=newsmlmmd.urn.newsml.afp.com.20140101.129279e6.153e.4623.a52b.f74b38b10d30.xml,tv5.org,2014-01-01,France,Ibanez/NAM/Ibanez,"""  Être  capable  d'  inverser  la  tendance  ,  d'  avoir  autant  de  caractère  prouvent  que  cette  équipe  a  des  ressources  qu'  elle  ne  soupçonne  même  pas  ,  soutient  pour  sa  part  le  manager  Raphaël Ibanez  .",ibanez,nam,ibanez,Raphaël,Raphaël,PROPN,manager,manager,NOUN,le,le,DET,part,part,NOUN,sa,son,DET,.,.,PUNCT,,,,,,,,,,,,,2014-01-01,2014,2010,,PROPN Ibanez PUNCT,NOUN PROPN Ibanez,DET NOUN PROPN Ibanez,NOUN DET NOUN PROPN Ibanez,,,,,Raphaël Ibanez .,manager Raphaël Ibanez,le manager Raphaël Ibanez,part le manager Raphaël Ibanez,,,
http://www.rugbyrama.fr/rugby/top-14/2013-2014/15e-journee-top-14-ubb-cabcl-raphael-ibanez-a-brive-nous-avions-ete-battus-dans-le-combat_sto4064729/story.shtml,rugbyrama.fr,2014-01-01,France,Ibanez/NAM/Ibanez,"<doc uri=http://www.rugbyrama.fr/rugby/top-14/2013-2014/15e-journee-top-14-ubb-cabcl-raphael-ibanez-a-brive-nous-avions-ete-battus-dans-le-combat_sto4064729/story.shtml website=rugbyrama.fr date=2014-01-01 source_country=France> /rugby/NOM /-/PUN /Top/NAM /@card@/NUM /-/PUN Ibanez  :  ""  A  Brive  ,  nous  avions  été  battus  dans  le  combat  """,ibanez,nam,ibanez,-,-,PUNCT,14,@card@,ADJ,Top,Top,PROPN,-,-,PUNCT,Rugby,rugby,NOUN,:,:,PUNCT,"""","""",PUNCT,A,à,ADP,Brive,Brive,PROPN,",",",",PUNCT,2014-01-01,2014,2010,ADJ PUNCT Ibanez PUNCT PUNCT,PUNCT Ibanez PUNCT,ADJ PUNCT Ibanez,PROPN ADJ PUNCT Ibanez,PUNCT PROPN ADJ PUNCT Ibanez,Ibanez PUNCT PUNCT,Ibanez PUNCT PUNCT ADP,Ibanez PUNCT PUNCT ADP PROPN,"@card@ - Ibanez : """,- Ibanez :,@card@ - Ibanez,Top @card@ - Ibanez,- Top @card@ - Ibanez,"Ibanez : ""","Ibanez : "" à","Ibanez : "" à Brive"
http://www.rugbyrama.fr/rugby/top-14/2013-2014/15e-journee-top-14-ubb-cabcl-raphael-ibanez-a-brive-nous-avions-ete-battus-dans-le-combat_sto4064729/story.shtml,rugbyrama.fr,2014-01-01,France,Ibanez/NAM/Ibanez,"Dimanche  ,  Raphaël Ibanez  et  Bordeaux-Bègles  retrouvent  Brive  ,  concurrent  direct  au  maintien  .",ibanez,nam,ibanez,Raphaël,Raphaël,PROPN,",",",",PUNCT,Dimanche,Dimanche,PROPN,,,,,,,et,et,CONJ,Bordeaux-Bègles,Bordeaux-Bègles,PROPN,retrouvent,retrouver,VERB,Brive,Brive,PROPN,",",",",PUNCT,2014-01-01,2014,2010,PUNCT PROPN Ibanez CONJ PROPN,PROPN Ibanez CONJ,PUNCT PROPN Ibanez,PROPN PUNCT PROPN Ibanez,,Ibanez CONJ PROPN,Ibanez CONJ PROPN VERB,Ibanez CONJ PROPN VERB PROPN,", Raphaël Ibanez et Bordeaux-Bègles",Raphaël Ibanez et,", Raphaël Ibanez","Dimanche , Raphaël Ibanez",,Ibanez et Bordeaux-Bègles,Ibanez et Bordeaux-Bègles retrouver,Ibanez et Bordeaux-Bègles retrouver Brive
http://www.rugbyrama.fr/rugby/top-14/2013-2014/15e-journee-top-14-ubb-cabcl-raphael-ibanez-a-brive-nous-avions-ete-battus-dans-le-combat_sto4064729/story.shtml,rugbyrama.fr,2014-01-01,France,IBANEZ/NAM/IBANEZ,"Raphaël IBANEZ  :  Sincèrement  ,  nous  avions  été  battus  dans  le  combat  ,  l'  agressivité  et  quand  tu  es  pris  dans  ce  registre-là  ,  tu  n'  as  qu'  une  chose  à  faire  à  la  fin  du  match  ,  assumer  ,  prendre  ça  plein  fer  et  aller  serrer  la  main  des  coaches  adverses  et  leur  dire  bravo  !  C'  est  exactement  ce  que  j'  ai  fait  en  étant  conscient  qu'  on  a  été  battu  à  plate  couture  .",ibanez,nam,ibanez,Raphaël,Raphaël,PROPN,,,,,,,,,,,,,:,:,PUNCT,Sincèrement,sincèrement,ADV,",",",",PUNCT,nous,nous,PRON,avions,avoir,VERB,2014-01-01,2014,2010,,PROPN Ibanez PUNCT,,,,Ibanez PUNCT ADV,Ibanez PUNCT ADV PUNCT,Ibanez PUNCT ADV PUNCT PRON,,Raphaël Ibanez :,,,,Ibanez : sincèrement,"Ibanez : sincèrement ,","Ibanez : sincèrement , nous"
http://www.rugbyrama.fr/rugby/top-14/2013-2014/15e-journee-top-14-ubb-cabcl-raphael-ibanez-a-brive-nous-avions-ete-battus-dans-le-combat_sto4064729/story.shtml,rugbyrama.fr,2014-01-01,France,IbanezUnion/NAM/IbanezUnion,"AFP  -  Rugbyrama  @  RugbyramaFRSur  ce  sujet  Bordeaux-Bègles  ,  fidèle  au  jeu  Bordeaux-Bègles  :  Treloar  pas  conservé  à  la  fin  de  la  saison  Bordeaux-Bègles  :  Brousse  et  Toetu  prolongent  de  deux  ansPlus  d'  infosRaphaël IbanezUnion  Bordeaux-BèglesCA  Brive-Corrèze </doc>",ibanezunion,nam,ibanezunion,infosRaphaël,infosRaphaël,PROPN,d',de,ADP,ansPlus,ansPlus,NOUN,deux,deux,ADJ,de,de,ADP,Bordeaux-BèglesCA,Bordeaux-BèglesCA,PROPN,Brive-Corrèze,Brive-Corrèze,PROPN,</doc>,,,,,,,,,2014-01-01,2014,2010,ADP PROPN Ibanez PROPN PROPN,PROPN Ibanez PROPN,ADP PROPN Ibanez,NOUN ADP PROPN Ibanez,ADJ NOUN ADP PROPN Ibanez,Ibanez PROPN PROPN,,,de infosRaphaël Ibanez Bordeaux-BèglesCA Brive-Corrèze,infosRaphaël Ibanez Bordeaux-BèglesCA,de infosRaphaël Ibanez,ansPlus de infosRaphaël Ibanez,deux ansPlus de infosRaphaël Ibanez,Ibanez Bordeaux-BèglesCA Brive-Corrèze,,
http://www.rugbyrama.fr/rugby/top-14/2013-2014/14e-journee-top-14-stade-toulousain-ubb-18-16-toulouse-s-en-sort-vraiment-bien._sto4058188/story.shtml,rugbyrama.fr,2014-01-02,France,Ibanez/NAM/Ibanez,Les  joueurs  de  Raphaël Ibanez  pourront  s'  en  vouloir  même  s'  ils  repartent  d'  Ernest-Wallon  avec  le  point  du  bonus  défensif  .,ibanez,nam,ibanez,Raphaël,Raphaël,PROPN,de,de,ADP,joueurs,joueur,NOUN,Les,le,DET,,,,pourront,pouvoir,VERB,s',se,PRON,en,en,PRON,vouloir,vouloir,VERB,même,même,ADV,2014-01-02,2014,2010,ADP PROPN Ibanez VERB PRON,PROPN Ibanez VERB,ADP PROPN Ibanez,NOUN ADP PROPN Ibanez,DET NOUN ADP PROPN Ibanez,Ibanez VERB PRON,Ibanez VERB PRON PRON,Ibanez VERB PRON PRON VERB,de Raphaël Ibanez pouvoir se,Raphaël Ibanez pouvoir,de Raphaël Ibanez,joueur de Raphaël Ibanez,le joueur de Raphaël Ibanez,Ibanez pouvoir se,Ibanez pouvoir se en,Ibanez pouvoir se en vouloir
http://www.rugbyrama.fr/rugby/top-14/2013-2014/15e-journee-top-14-le-tour-de-midi-olympique_sto4068385/story.shtml,rugbyrama.fr,2014-01-02,France,Ibanez/NAM/Ibanez,"La  petite  frayeur  évacuée  ,  c'  est  l'  encadrement  technique Ibanez  ,  Etcheto  ,  Sonnes  qui  a  pu  ensuite  se  lâcher  en  interprétant  quelques  tubes  -  notamment  un  remarquable  I  love  you  baby  -  au  sein  de  l'  orchestre  ""  Les  chemises  froissées  ""  que  manage  ...",ibanez,nam,ibanez,technique,technique,ADJ,encadrement,encadrement,NOUN,l',le,DET,est,être,VERB,c',ce,PRON,",",",",PUNCT,Etcheto,Etcheto,PROPN,",",",",PUNCT,Sonnes,Sonnes,PROPN,qui,qui,PRON,2014-01-02,2014,2010,NOUN ADJ Ibanez PUNCT PROPN,ADJ Ibanez PUNCT,NOUN ADJ Ibanez,DET NOUN ADJ Ibanez,VERB DET NOUN ADJ Ibanez,Ibanez PUNCT PROPN,Ibanez PUNCT PROPN PUNCT,Ibanez PUNCT PROPN PUNCT PROPN,"encadrement technique Ibanez , Etcheto","technique Ibanez ,",encadrement technique Ibanez,le encadrement technique Ibanez,être le encadrement technique Ibanez,"Ibanez , Etcheto","Ibanez , Etcheto ,","Ibanez , Etcheto , Sonnes"
http://www.rugbyrama.fr/rugby/top-14/2013-2014/15e-journee-top-14-le-tour-de-midi-olympique_sto4068385/story.shtml,rugbyrama.fr,2014-01-02,France,Ibanez/NAM/Ibanez,"Et  pour  cause  ,  ce  groupe  de  qualité  est  composé  de  quatre  champions  de  France  2005  de  2  e  série  sous  le  maillot  de  Campet  Lamolère  ,  la  chanteuse  Céline  est  la  sœur  de  Régis  et  le  jeune  fils  de  Raph Ibanez  est  au  saxo  .",ibanez,nam,ibanez,Raph,Raph,PROPN,de,de,ADP,fils,fil|fils,NOUN,jeune,jeune,ADJ,le,le,DET,est,être,VERB,au,au,ADP DET,saxo,saxo,NOUN,.,.,PUNCT,,,,2014-01-02,2014,2010,ADP PROPN Ibanez VERB ADP DET,PROPN Ibanez VERB,ADP PROPN Ibanez,NOUN ADP PROPN Ibanez,ADJ NOUN ADP PROPN Ibanez,Ibanez VERB ADP DET,Ibanez VERB ADP DET NOUN,Ibanez VERB ADP DET NOUN PUNCT,de Raph Ibanez être au,Raph Ibanez être,de Raph Ibanez,fil|fils de Raph Ibanez,jeune fil|fils de Raph Ibanez,Ibanez être au,Ibanez être au saxo,Ibanez être au saxo .
http://www.rugbyrama.fr/rugby/top-14/2013-2014/15e-journee-top-14-mignoni-il-y-a-des-choses-que-je-ne-comprends-pas._sto4067347/story.shtml,rugbyrama.fr,2014-01-02,France,Ibanez/NAM/Ibanez,"<doc uri=http://www.rugbyrama.fr/rugby/top-14/2013-2014/15e-journee-top-14-mignoni-il-y-a-des-choses-que-je-ne-comprends-pas._sto4067347/story.shtml website=rugbyrama.fr date=2014-01-02 source_country=France> /le/DET:ART /interrogation/NOM /de/PRP /Mignoni/NAM /,/PUN /le/DET:ART /satisfaction/NOM /de/PRP /Quesada/NAM /,/PUN Ibanez  et  Lanta  ,  les  regrets  de  Faugeron  et  Urios  ...",ibanez,nam,ibanez,",",",",PUNCT,Quesada,Quesada,PROPN,de,de,ADP,satisfaction,satisfaction,NOUN,la,le,DET,et,et,CONJ,Lanta,Lanta,PROPN,",",",",PUNCT,les,le,DET,regrets,regret,NOUN,2014-01-02,2014,2010,PROPN PUNCT Ibanez CONJ PROPN,PUNCT Ibanez CONJ,PROPN PUNCT Ibanez,ADP PROPN PUNCT Ibanez,NOUN ADP PROPN PUNCT Ibanez,Ibanez CONJ PROPN,Ibanez CONJ PROPN PUNCT,Ibanez CONJ PROPN PUNCT DET,"Quesada , Ibanez et Lanta",", Ibanez et","Quesada , Ibanez","de Quesada , Ibanez","satisfaction de Quesada , Ibanez",Ibanez et Lanta,"Ibanez et Lanta ,","Ibanez et Lanta , le"
http://www.rugbyrama.fr/rugby/top-14/2013-2014/15e-journee-top-14-mignoni-il-y-a-des-choses-que-je-ne-comprends-pas._sto4067347/story.shtml,rugbyrama.fr,2014-01-02,France,Ibanez/NAM/Ibanez,"Raphaël Ibanez  (  manager  de  Bordeaux-Bègles  )  :  ""  Il  n'  y  a  pas  de  match  facile  dans  ce  Top  14  .",ibanez,nam,ibanez,Raphaël,Raphaël,PROPN,,,,,,,,,,,,,(,(,PUNCT,manager,manager,NOUN,de,de,ADP,Bordeaux-Bègles,Bordeaux-Bègles,PROPN,),),PUNCT,2014-01-02,2014,2010,,PROPN Ibanez PUNCT,,,,Ibanez PUNCT NOUN,Ibanez PUNCT NOUN ADP,Ibanez PUNCT NOUN ADP PROPN,,Raphaël Ibanez (,,,,Ibanez ( manager,Ibanez ( manager de,Ibanez ( manager de Bordeaux-Bègles
