url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.digitalcongo.net/article/97204,digitalcongo.net,2014-01-08,Congo (DR),Kas/NAM/Kas,"Werrason  ,  JB  Mpiana  ,  Papa  Wemba  ,  Ferré  Gola  ,  Jossart  Nyoka  longo  ,  Wazekwa  ,  Blaise  Bula  ,  Reddy  Amisi  ,  Mabele  Elisi  ,  Bayuda  du  Congo  sans  oublier Kas  Kasongo  et  bien  d'  autres  musiciens  .",kas,nam,kas,oublier,oublier,VERB,sans,sans,ADP,Congo,Congo,PROPN,du,du,ADP DET,Bayuda,Bayuda,PROPN,Kasongo,Kasongo,PROPN,et,et,CONJ,bien,bien,ADV,d',de,ADP,autres,autre,ADJ,2014-01-08,2014,2010,ADP VERB Kas PROPN CONJ,VERB Kas PROPN,ADP VERB Kas,PROPN ADP VERB Kas,ADP DET PROPN ADP VERB Kas,Kas PROPN CONJ,Kas PROPN CONJ ADV,Kas PROPN CONJ ADV ADP,sans oublier Kas Kasongo et,oublier Kas Kasongo,sans oublier Kas,Congo sans oublier Kas,du Congo sans oublier Kas,Kas Kasongo et,Kas Kasongo et bien,Kas Kasongo et bien de
http://www4.lalibre.be/culture/livres/le-talent-fou-de-grzegorz-rosinski-52c24a453570105ef7e0bd35,lalibre.be,2014-01-11,Belgium,Kas/NAM/Kas,"Le  recueil  réunit  aussi  de  substantiels  entretiens  avec  des  proches  de  Rosinski  ,  comme  André-Paul  Duchâteau  (  pour  ""  Hans  ""  )  ,  Carlos  Blanchart  ,  Mythic  (  pour  ""  La  Croisière  fantastique  ""  )  ,  Jean  Dufaux  (  pour  ""  Complainte  des  landes  perdues  ""  )  ,  Yves  Sente  (  pour  ""  La  Vengeance  du  comte  Skarbek  ""  )  ,  Yann  , Kas  et  Graza  ,  etc  .  ,  ainsi  que  des  dessinateurs  qui  œuvrent  sur  des  séries  dérivées  de  ""  Thorgal  ""  comme  Giulio  De  Vita  et  Roman  Surzhenko  .",kas,nam,kas,",",",",PUNCT,Yann,Yann,PROPN,",",",",PUNCT,),),PUNCT,"""","""",PUNCT,et,et,CONJ,Graza,Graza,PROPN,",",",",PUNCT,etc,etc,ABR,.,.,PUNCT,2014-01-11,2014,2010,PROPN PUNCT Kas CONJ PROPN,PUNCT Kas CONJ,PROPN PUNCT Kas,PUNCT PROPN PUNCT Kas,PUNCT PUNCT PROPN PUNCT Kas,Kas CONJ PROPN,Kas CONJ PROPN PUNCT,Kas CONJ PROPN PUNCT ABR,"Yann , Kas et Graza",", Kas et","Yann , Kas",", Yann , Kas",") , Yann , Kas",Kas et Graza,"Kas et Graza ,","Kas et Graza , etc"
http://www.dhnet.be/sports/football/division2/eupen/un-premier-renfort-a-l-alliance-52e29f8b3570e5b8eee601df,dhnet.be,2014-01-26,Belgium,KAS/NAM/KAS,Nous  sommes  heureux  qu'  il  ait  accepté  de  troquer  la  D  1  espagnole  pour  la KAS  Eupen  .,kas,nam,kas,la,le,DET,pour,pour,ADP,espagnole,espagnol,NOUN,1,@card@,ADJ,D,D,NOUN,Eupen,Eupen,PROPN,.,.,PUNCT,,,,,,,,,,2014-01-26,2014,2010,ADP DET Kas PROPN PUNCT,DET Kas PROPN,ADP DET Kas,NOUN ADP DET Kas,ADJ NOUN ADP DET Kas,Kas PROPN PUNCT,,,pour le Kas Eupen .,le Kas Eupen,pour le Kas,espagnol pour le Kas,@card@ espagnol pour le Kas,Kas Eupen .,,
http://www.digitalcongo.net/article/97731,digitalcongo.net,2014-02-01,Congo (DR),Kas/NAM/Kas,"Werrason  ,  JB  Mpiana  ,  Papa  Wemba  ,  Ferré  Gola  ,  Jossart  Nyoka  longo  ,  Wazekwa  ,  Blaise  Bula  ,  Reddy  Amisi  ,  Mabele  Elisi  ,  Bayuda  du  Congo  sans  oublier Kas  Kasongo  et  bien  d'  autres  musiciens  .",kas,nam,kas,oublier,oublier,VERB,sans,sans,ADP,Congo,Congo,PROPN,du,du,ADP DET,Bayuda,Bayuda,PROPN,Kasongo,Kasongo,PROPN,et,et,CONJ,bien,bien,ADV,d',de,ADP,autres,autre,ADJ,2014-02-01,2014,2010,ADP VERB Kas PROPN CONJ,VERB Kas PROPN,ADP VERB Kas,PROPN ADP VERB Kas,ADP DET PROPN ADP VERB Kas,Kas PROPN CONJ,Kas PROPN CONJ ADV,Kas PROPN CONJ ADV ADP,sans oublier Kas Kasongo et,oublier Kas Kasongo,sans oublier Kas,Congo sans oublier Kas,du Congo sans oublier Kas,Kas Kasongo et,Kas Kasongo et bien,Kas Kasongo et bien de
http://www.marketwired.com/press-release/exploration-khalkos-resultats-de-forage-sur-la-propriete-aurifere-villebon-et-echantillonnage-tsx-croissance-kas-1875147.htm,marketwired.com,2014-02-03,===NONE===,KAS/NOM/ka,"MONTRÉAL  ,  QUÉBEC--  (  Marketwired  -  3  fév  .  2014  )  -  EXPLORATION  KHALKOS  (  ""  Khalkos  ""  )  (  TSX  CROISSANCE  : KAS  )  annonce  les  résultats  de  sa  première  campagne  de  forage  réalisée  récemment  sur  la  Veine  4  de  sa  propriété  aurifère  Villebon  dans  la  région  de  Val-  d'  Or  au  Québec  .",kas,nom,ka,:,:,PUNCT,CROISSANCE,CROISSANCE,PROPN,TSX,TSX,PROPN,(,(,PUNCT,),),PUNCT,),),PUNCT,annonce,annoncer,VERB,les,le,DET,résultats,résultat,NOUN,de,de,ADP,2014-02-03,2014,2010,PROPN PUNCT Kas PUNCT VERB,PUNCT Kas PUNCT,PROPN PUNCT Kas,PROPN PROPN PUNCT Kas,PUNCT PROPN PROPN PUNCT Kas,Kas PUNCT VERB,Kas PUNCT VERB DET,Kas PUNCT VERB DET NOUN,CROISSANCE : Kas ) annoncer,: Kas ),CROISSANCE : Kas,TSX CROISSANCE : Kas,( TSX CROISSANCE : Kas,Kas ) annoncer,Kas ) annoncer le,Kas ) annoncer le résultat
http://www.dhnet.be/sports/football/division2/eupen/les-feux-sont-au-vert-pour-eupen-530cc21d35709867e406819f,dhnet.be,2014-02-26,Belgium,KAS/NAM/KAS,"Les  chiffres  ne  représentaient  pas  le  bilan  à  ce  jour  car  ils  concernaient  uniquement  la  période  située  entre  le  1  er  juillet  2012  ,  date  de  la  reprise  de  l'  ASBL KAS  Eupen  par  AFD  Eupen  (  Aspire  Football  Dreams  )  et  le  30  juin  2013  .",kas,nam,kas,ASBL,ASBL,NOUN,l',le,DET,de,de,ADP,reprise,reprise,NOUN,la,le,DET,Eupen,Eupen,PROPN,par,par,ADP,AFD,AFD,PROPN,Eupen,Eupen,PROPN,(,(,PUNCT,2014-02-26,2014,2010,DET NOUN Kas PROPN ADP,NOUN Kas PROPN,DET NOUN Kas,ADP DET NOUN Kas,NOUN ADP DET NOUN Kas,Kas PROPN ADP,Kas PROPN ADP PROPN,Kas PROPN ADP PROPN PROPN,le ASBL Kas Eupen par,ASBL Kas Eupen,le ASBL Kas,de le ASBL Kas,reprise de le ASBL Kas,Kas Eupen par,Kas Eupen par AFD,Kas Eupen par AFD Eupen
http://balkans.courriers.info/article24209.html,courriers.info,2014-02-26,===NONE===,KAS/NAM/KAS,"(  Avec  AFP  )  -  En  tout  ,  il  aura  fallu  onze  heures  de  débats  ,  quatre  votes  et  des  échanges  de  points  de  vue  houleux  pour  que  le  Conseil  central  de  l'  archéologie  ( KAS  )  du  ministère  grec  de  la  Culture  ,  décide  après  plus  d'  un  an  d'  études  de  l'  avenir  des  vestiges  byzantins  qui  ont  été  découverts  lors  des  travaux  de  construction  de  la  station  Vénizélos  du  métro  de  Thessalonique  .",kas,nam,kas,(,(,PUNCT,archéologie,archéologie,NOUN,l',le,DET,de,de,ADP,central,central,ADJ,),),PUNCT,du,du,ADP DET,ministère,ministère,NOUN,grec,grec,ADJ,de,de,ADP,2014-02-26,2014,2010,NOUN PUNCT Kas PUNCT ADP DET,PUNCT Kas PUNCT,NOUN PUNCT Kas,DET NOUN PUNCT Kas,ADP DET NOUN PUNCT Kas,Kas PUNCT ADP DET,Kas PUNCT ADP DET NOUN,Kas PUNCT ADP DET NOUN ADJ,archéologie ( Kas ) du,( Kas ),archéologie ( Kas,le archéologie ( Kas,de le archéologie ( Kas,Kas ) du,Kas ) du ministère,Kas ) du ministère grec
http://balkans.courriers.info/article24209.html,courriers.info,2014-02-26,===NONE===,KAS/NAM/KAS,La  dernière  décision  gouvernementale  a  été  la  plus  difficile  à  prendre  :  elle  devait  être  précédée  du  vote  au KAS  d'  une  solution  à  adopter  parmi  six  propositions  .,kas,nam,kas,au,au,ADP DET,vote,vote,NOUN,du,du,ADP DET,précédée,précéder,VERB,être,être,VERB,d',de,ADP,une,un,DET,solution,solution,NOUN,à,à,ADP,adopter,adopter,VERB,2014-02-26,2014,2010,NOUN ADP DET Kas ADP DET,ADP DET Kas ADP,NOUN ADP DET Kas,ADP DET NOUN ADP DET Kas,VERB ADP DET NOUN ADP DET Kas,Kas ADP DET,Kas ADP DET NOUN,Kas ADP DET NOUN ADP,vote au Kas de un,au Kas de,vote au Kas,du vote au Kas,précéder du vote au Kas,Kas de un,Kas de un solution,Kas de un solution à
http://balkans.courriers.info/article24209.html,courriers.info,2014-02-26,===NONE===,KAS/NAM/KAS,"La  présidente  du KAS  reconnaît  que  le  tracé  du  métro  est  mauvais  :  ""  Attiko  Metro  est  retardée  par  les  découvertes  archéologiques  ""  .",kas,nam,kas,du,du,ADP DET,présidente,président,NOUN,La,le,DET,,,,,,,reconnaît,reconnaître,VERB,que,que,CONJ,le,le,DET,tracé,tracé,NOUN,du,du,ADP DET,2014-02-26,2014,2010,NOUN ADP DET Kas VERB CONJ,ADP DET Kas VERB,NOUN ADP DET Kas,DET NOUN ADP DET Kas,,Kas VERB CONJ,Kas VERB CONJ DET,Kas VERB CONJ DET NOUN,président du Kas reconnaître que,du Kas reconnaître,président du Kas,le président du Kas,,Kas reconnaître que,Kas reconnaître que le,Kas reconnaître que le tracé
http://www.leparisien.fr/espace-premium/seine-et-marne-77/kas-prod-de-nouveau-prime-au-chelles-battle-video-27-02-2014-3627011.php,leparisien.fr,2014-02-27,France,Kas/NAM/Kas,<doc uri=http://www.leparisien.fr/espace-premium/seine-et-marne-77/kas-prod-de-nouveau-prime-au-chelles-battle-video-27-02-2014-3627011.php website=leparisien.fr date=2014-02-27 source_country=France> Kas  Prod  de  nouveau  primé  au  Chelles  Battle  Vidéo,kas,nam,kas,,,,,,,,,,,,,,,,Prod,Prod,PROPN,de,de,ADP,nouveau,nouveau,ADJ,primé,primer,VERB,au,au,ADP DET,2014-02-27,2014,2010,,,,,,Kas PROPN ADP,Kas PROPN ADP ADJ,Kas PROPN ADP ADJ VERB,,,,,,Kas Prod de,Kas Prod de nouveau,Kas Prod de nouveau primer
