url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lesechos.fr/luxe/saveurs/gastronomie/0203184734297-la-street-food-monte-en-gamme-638762.php?xtor=RSS-2102,lesechos.fr,2014-01-02,France,La_vache_qui_rit/DET:ART_NOM_PRO:REL_VER:pres/le_vache_qui_rire,"Des  lobster  roll  ,  des  dim  sum  ,  des  hot  dogs  ,  ceux  de  Eat  My  Truck  à  la  saucisse  de  Morteau  ou  de  Toulouse  ou  plus  fous  encore  ceux  de  Little  Fernand  à  la  saucisse  de  20  centimètres  fabriquée  par  un  boucher  alsacien  ,  en  pain  viennois  et  sauce  de  moutardier  !  Le  Meuh  :  knack  boeuf-porc  ,  de La_vache_qui_rit  ,  oignons  frits  ,  relish  ,  moutarde  gingembre  ,  ketchup  au  vinaigre  balsamique  ,  existe  aussi  en  veau  volaille  ,  ça  nous  en  bouche  un  coin  !  Mangez  debout  ,  bougez  ,  courez  ,  téléphonez  ,  soyez  pressés  mais  régalez-vous  !  La  street  &  fast  food  a  le  droit  d'  être  bonne  . </doc>",la_vache_qui_rit,det:art_nom_pro:rel_ver:pres,le_vache_qui_rire,de,de,ADP,",",",",PUNCT,boeuf-porc,boeuf-porc,NOUN,knack,knack,NOUN,:,:,PUNCT,",",",",PUNCT,oignons,oignon,NOUN,frits,frit,ADJ,",",",",PUNCT,relish,relish,NOUN,2014-01-02,2014,2010,PUNCT ADP La vache qui rit PUNCT NOUN,ADP La vache qui rit PUNCT,PUNCT ADP La vache qui rit,NOUN PUNCT ADP La vache qui rit,NOUN NOUN PUNCT ADP La vache qui rit,La vache qui rit PUNCT NOUN,La vache qui rit PUNCT NOUN ADJ,La vache qui rit PUNCT NOUN ADJ PUNCT,", de La vache qui rit , oignon","de La vache qui rit ,",", de La vache qui rit","boeuf-porc , de La vache qui rit","knack boeuf-porc , de La vache qui rit","La vache qui rit , oignon","La vache qui rit , oignon frit","La vache qui rit , oignon frit ,"
http://www.lunion.presse.fr/region/ardennais-de-l-annee-l-amour-vache-de-yolande-turquin-ia0b0n276326?xtor=RSS-2,presse.fr,2014-01-02,France,la_Vache_qui_rit/DET:ART_NOM_PRO:REL_VER:pres/le_vache_qui_rire,Sa  dernière  création  :  une  porte  peinte  à  l'  effigie  de la_Vache_qui_rit  .,la_vache_qui_rit,det:art_nom_pro:rel_ver:pres,le_vache_qui_rire,de,de,ADP,effigie,effigie,NOUN,l',le,DET,à,à,ADP,peinte,peindre,VERB,.,.,PUNCT,,,,,,,,,,,,,2014-01-02,2014,2010,,ADP La vache qui rit PUNCT,NOUN ADP La vache qui rit,DET NOUN ADP La vache qui rit,ADP DET NOUN ADP La vache qui rit,,,,,de La vache qui rit .,effigie de La vache qui rit,le effigie de La vache qui rit,à le effigie de La vache qui rit,,,
http://economie.jeuneafrique.com/regions/afrique-subsaharienne/21109-danone-boit-du-petit-lait-au-sud-du-sahara.html,jeuneafrique.com,2014-01-21,===NONE===,La_vache_qui_rit/DET:ART_NOM_PRO:REL_VER:pres/le_vache_qui_rire,"Et  il  ne  faut  pas  non  plus  oublier  l'  offensive  de  Lactalis  et  du  fromager  Bel  ( La_vache_qui_rit  ,  Babybel  ,  etc  .  )  .",la_vache_qui_rit,det:art_nom_pro:rel_ver:pres,le_vache_qui_rire,(,(,PUNCT,Bel,Bel,PROPN,fromager,fromager,ADJ,du,du,ADP DET,et,et,CONJ,",",",",PUNCT,Babybel,Babybel,PROPN,",",",",PUNCT,etc,etc,ABR,.,.,PUNCT,2014-01-21,2014,2010,PROPN PUNCT La vache qui rit PUNCT PROPN,PUNCT La vache qui rit PUNCT,PROPN PUNCT La vache qui rit,ADJ PROPN PUNCT La vache qui rit,ADP DET ADJ PROPN PUNCT La vache qui rit,La vache qui rit PUNCT PROPN,La vache qui rit PUNCT PROPN PUNCT,La vache qui rit PUNCT PROPN PUNCT ABR,"Bel ( La vache qui rit , Babybel","( La vache qui rit ,",Bel ( La vache qui rit,fromager Bel ( La vache qui rit,du fromager Bel ( La vache qui rit,"La vache qui rit , Babybel","La vache qui rit , Babybel ,","La vache qui rit , Babybel , etc"
http://www.ladepeche.fr/article/2014/01/22/1800725-les-personnages-publicitaires-de-notre-enfance-nous-font-grossir.html,ladepeche.fr,2014-01-22,France,La_Vache_qui_rit/DET:ART_NAM_PRO:REL_VER:pres/le_Vache_qui_rire, La_Vache_qui_rit  ;  Tony  le  tigre  Frosties  ;  Oum  le  dauphin  Galak  ;  Quicky  le  lapin  Nesquik  ou  encore  le  gringo  Pepito  ...,la_vache_qui_rit,det:art_nam_pro:rel_ver:pres,le_vache_qui_rire,,,,,,,,,,,,,,,,;,;,PUNCT,Tony,Tony,PROPN,le,le,DET,tigre,tigre,NOUN,Frosties,Frosties,PROPN,2014-01-22,2014,2010,,,,,,La vache qui rit PUNCT PROPN,La vache qui rit PUNCT PROPN DET,La vache qui rit PUNCT PROPN DET NOUN,,,,,,La vache qui rit ; Tony,La vache qui rit ; Tony le,La vache qui rit ; Tony le tigre
http://www.ladepeche.fr/article/2014/01/22/1800725-les-personnages-publicitaires-de-notre-enfance-nous-font-grossir.html,ladepeche.fr,2014-01-22,France,la_Vache_qui_rit/DET:ART_NOM_PRO:REL_VER:pres/le_vache_qui_rire,Le  premier  était  composé  de  figures  familières  les  ayant  accompagné  au  cours  de  l'  enfance  ( la_Vache_qui_rit  ...  )  .,la_vache_qui_rit,det:art_nom_pro:rel_ver:pres,le_vache_qui_rire,(,(,PUNCT,enfance,enfance,NOUN,l',le,DET,de,de,ADP,cours,cour|cours,NOUN,...,...,PUNCT,),),PUNCT,.,.,PUNCT,,,,,,,2014-01-22,2014,2010,NOUN PUNCT La vache qui rit PUNCT PUNCT,PUNCT La vache qui rit PUNCT,NOUN PUNCT La vache qui rit,DET NOUN PUNCT La vache qui rit,ADP DET NOUN PUNCT La vache qui rit,La vache qui rit PUNCT PUNCT,La vache qui rit PUNCT PUNCT PUNCT,,enfance ( La vache qui rit ... ),( La vache qui rit ...,enfance ( La vache qui rit,le enfance ( La vache qui rit,de le enfance ( La vache qui rit,La vache qui rit ... ),La vache qui rit ... ) .,
http://www.liberation.fr/vous/2014/02/13/pour-la-vache-qui-rit-l-amour-est-eternel_980041?xtor=rss-450,liberation.fr,2014-02-14,France,la_Vache_qui_rit/DET:ART_NOM_PRO:REL_VER:pres/le_vache_qui_rire,"<doc uri=http://www.liberation.fr/vous/2014/02/13/pour-la-vache-qui-rit-l-amour-est-eternel_980041?xtor=rss-450 website=liberation.fr date=2014-02-14 source_country=France> /pour/PRP la_Vache_qui_rit  ,  l'  amour  est  éternel",la_vache_qui_rit,det:art_nom_pro:rel_ver:pres,le_vache_qui_rire,Pour,pour,ADP,,,,,,,,,,,,,",",",",PUNCT,l',le,DET,amour,amour,NOUN,est,être,VERB,éternel,éternel,ADJ,2014-02-14,2014,2010,,ADP La vache qui rit PUNCT,,,,La vache qui rit PUNCT DET,La vache qui rit PUNCT DET NOUN,La vache qui rit PUNCT DET NOUN VERB,,"pour La vache qui rit ,",,,,"La vache qui rit , le","La vache qui rit , le amour","La vache qui rit , le amour être"
http://www.liberation.fr/vous/2014/02/13/pour-la-vache-qui-rit-l-amour-est-eternel_980041?xtor=rss-450,liberation.fr,2014-02-14,France,la_Vache_qui_rit/DET:ART_NOM_PRO:REL_VER:pres/le_vache_qui_rire,"Tony  ,  le  tigre  Frosties  ,  Cric  ,  Crac  et  Croc  ,  les  trois  lutins  Rice  Krispies  ,  Captain  Igloo  ,  Ronald  McDonald  , la_Vache_qui_rit  ,  le  Géant  vert  ,  la  vache  Milka  ...",la_vache_qui_rit,det:art_nom_pro:rel_ver:pres,le_vache_qui_rire,",",",",PUNCT,McDonald,McDonald,PROPN,Ronald,Ronald,PROPN,",",",",PUNCT,Igloo,Igloo,PROPN,",",",",PUNCT,le,le,DET,Géant,Géant,PROPN,vert,vert,ADJ,",",",",PUNCT,2014-02-14,2014,2010,PROPN PUNCT La vache qui rit PUNCT DET,PUNCT La vache qui rit PUNCT,PROPN PUNCT La vache qui rit,PROPN PROPN PUNCT La vache qui rit,PUNCT PROPN PROPN PUNCT La vache qui rit,La vache qui rit PUNCT DET,La vache qui rit PUNCT DET PROPN,La vache qui rit PUNCT DET PROPN ADJ,"McDonald , La vache qui rit , le",", La vache qui rit ,","McDonald , La vache qui rit","Ronald McDonald , La vache qui rit",", Ronald McDonald , La vache qui rit","La vache qui rit , le","La vache qui rit , le Géant","La vache qui rit , le Géant vert"
http://www.zonebourse.com/UNIBEL-5361/actualite/UNIBEL--resultats-annuels-2013-18138155/,zonebourse.com,2014-03-21,===NONE===,La_vache_qui_rit/DET:ART_NOM_PRO:REL_VER:pres/le_vache_qui_rire,"Son  portefeuille  de  produits  différenciés  et  d'  envergure  internationale  tels  que La_vache_qui_rit  ,  Kiri  ,  Mini  Babybel  ,  Leerdammer  ou  Boursin  ,  ainsi  qu'  une  vingtaine  d'  autres  marques  locales  ,  lui  ont  permis  de  réaliser  en  2013  un  chiffre  d'  affaires  de  2,7  milliards  d'  euros  .",la_vache_qui_rit,det:art_nom_pro:rel_ver:pres,le_vache_qui_rire,que,que,PRON,tels,tel,PRON,internationale,international,ADJ,envergure,envergure,NOUN,d',de,ADP,",",",",PUNCT,Kiri,Kiri,PROPN,",",",",PUNCT,Mini,Mini,PROPN,Babybel,Babybel,PROPN,2014-03-21,2014,2010,PRON PRON La vache qui rit PUNCT PROPN,PRON La vache qui rit PUNCT,PRON PRON La vache qui rit,ADJ PRON PRON La vache qui rit,NOUN ADJ PRON PRON La vache qui rit,La vache qui rit PUNCT PROPN,La vache qui rit PUNCT PROPN PUNCT,La vache qui rit PUNCT PROPN PUNCT PROPN,"tel que La vache qui rit , Kiri","que La vache qui rit ,",tel que La vache qui rit,international tel que La vache qui rit,envergure international tel que La vache qui rit,"La vache qui rit , Kiri","La vache qui rit , Kiri ,","La vache qui rit , Kiri , Mini"
http://www.newswire.ca/en/story/1327287/lancement-du-nouveau-boursin-piment-fort-au-canada,newswire.ca,2014-03-24,Canada,La_Vache_Qui_rit/DET:ART_NOM_NAM_VER:simp/le_vache_Qui_rire,"Elle  connait  une  forte  croissance  dans  l'  ensemble  du  pays  à  travers  ses  marques  réputées La_Vache_Qui_rit  ®  ,  Mini  Babybel  ®  et  Boursin  ®  commercialisé  nationalement  . </doc>",la_vache_qui_rit,det:art_nom_nam_ver:simp,le_vache_qui_rire,réputées,réputé,ADJ,marques,marque,NOUN,ses,son,DET,travers,travers,NOUN,à,à,ADP,®,®,ADJ,",",",",PUNCT,Mini,Mini,PROPN,Babybel,Babybel,PROPN,®,®,NOUN,2014-03-24,2014,2010,NOUN ADJ La vache qui rit ADJ PUNCT,ADJ La vache qui rit ADJ,NOUN ADJ La vache qui rit,DET NOUN ADJ La vache qui rit,NOUN DET NOUN ADJ La vache qui rit,La vache qui rit ADJ PUNCT,La vache qui rit ADJ PUNCT PROPN,La vache qui rit ADJ PUNCT PROPN PROPN,"marque réputé La vache qui rit ® ,",réputé La vache qui rit ®,marque réputé La vache qui rit,son marque réputé La vache qui rit,travers son marque réputé La vache qui rit,"La vache qui rit ® ,","La vache qui rit ® , Mini","La vache qui rit ® , Mini Babybel"
http://www.lefigaro.fr/conso/2014/03/28/05007-20140328ARTFIG00033-la-vache-qui-rit-se-glisse-dans-un-burger.php,lefigaro.fr,2014-03-28,France,La_Vache_qui_Rit/DET:ART_NOM_PRO:REL_VER:subi/le_vache_qui_Rit,<doc uri=http://www.lefigaro.fr/conso/2014/03/28/05007-20140328ARTFIG00033-la-vache-qui-rit-se-glisse-dans-un-burger.php website=lefigaro.fr date=2014-03-28 source_country=France> La_Vache_qui_Rit  se  glisse  dans  un  burger,la_vache_qui_rit,det:art_nom_pro:rel_ver:subi,le_vache_qui_rit,,,,,,,,,,,,,,,,se,se,PRON,glisse,glisser,VERB,dans,dans,ADP,un,un,DET,burger,burger,NOUN,2014-03-28,2014,2010,,,,,,La vache qui rit PRON VERB,La vache qui rit PRON VERB ADP,La vache qui rit PRON VERB ADP DET,,,,,,La vache qui rit se glisser,La vache qui rit se glisser dans,La vache qui rit se glisser dans un
