url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lactualite.com/actualites/quebec-canada/funerailles-de-lancien-depute-et-ministre-liberal-herb-gray-a-ottawa/,lactualite.com,2014-04-25,===NONE===,Listerine/NAM/Listerine,Paul  Martin  a  illustré  les  prouesses  oratoires  et  l'  intelligence  de  M.  Gray  durant  les  périodes  de  questions  quotidiennes  à  la  Chambre  des  communes  par  un  récit  autour  des  pastilles  fraîcheur Listerine  .,listerine,nam,listerine,fraîcheur,fraîcheur,NOUN,pastilles,pastille,NOUN,des,du,ADP DET,autour,autour,ADV,récit,récit,NOUN,.,.,PUNCT,,,,,,,,,,,,,2014-04-25,2014,2010,,NOUN Listerine PUNCT,NOUN NOUN Listerine,ADP DET NOUN NOUN Listerine,ADV ADP DET NOUN NOUN Listerine,,,,,fraîcheur Listerine .,pastille fraîcheur Listerine,du pastille fraîcheur Listerine,autour du pastille fraîcheur Listerine,,,
http://www.marketwired.com/press-release/sauver-chaque-femme-chaque-enfant-le-canada-incube-22-nouvelles-idees-audacieuses-1949202.htm,marketwired.com,2014-09-22,===NONE===,Listerine/NAM/Listerine,"Le  polymère  -  le  pullulane  -  est  un  polysaccharide  sécuritaire  ,  de  qualité  alimentaire  (  utilisé  dans  les  bandes  d'  haleine Listerine  )  ,  comportant  la  propriété  unique  de  fournir  une  barrière  efficace  à  l'  oxygène  tout  en  étant  facilement  dissout  dans  l'  eau  .",listerine,nam,listerine,haleine,haleine,NOUN,d',de,ADP,bandes,bande,NOUN,les,le,DET,dans,dans,ADP,),),PUNCT,",",",",PUNCT,comportant,comporter,VERB,la,le,DET,propriété,propriété,NOUN,2014-09-22,2014,2010,ADP NOUN Listerine PUNCT PUNCT,NOUN Listerine PUNCT,ADP NOUN Listerine,NOUN ADP NOUN Listerine,DET NOUN ADP NOUN Listerine,Listerine PUNCT PUNCT,Listerine PUNCT PUNCT VERB,Listerine PUNCT PUNCT VERB DET,"de haleine Listerine ) ,",haleine Listerine ),de haleine Listerine,bande de haleine Listerine,le bande de haleine Listerine,"Listerine ) ,","Listerine ) , comporter","Listerine ) , comporter le"
http://tvanouvelles.ca/lcn/artsetspectacles/general/archives/2014/11/20141110-235811.html,tvanouvelles.ca,2014-11-11,Canada,Listerine/NAM/Listerine,"Ces  toiles  appartenaient  à  la  collection  privée  de  Rachel  Bunny  Mellon  ,  l'  héritière  de  la  fortune  des  bains  de  bouche Listerine  ,  décédée  en  mars  .",listerine,nam,listerine,bouche,bouche,NOUN,de,de,ADP,bains,bain,NOUN,des,du,ADP DET,fortune,fortune,NOUN,",",",",PUNCT,décédée,décéder,VERB,en,en,ADP,mars,mars,NOUN,.,.,PUNCT,2014-11-11,2014,2010,ADP NOUN Listerine PUNCT VERB,NOUN Listerine PUNCT,ADP NOUN Listerine,NOUN ADP NOUN Listerine,ADP DET NOUN ADP NOUN Listerine,Listerine PUNCT VERB,Listerine PUNCT VERB ADP,Listerine PUNCT VERB ADP NOUN,"de bouche Listerine , décéder","bouche Listerine ,",de bouche Listerine,bain de bouche Listerine,du bain de bouche Listerine,"Listerine , décéder","Listerine , décéder en","Listerine , décéder en mars"
http://www.lapresse.ca/arts/arts-visuels/201411/10/01-4817607-des-toiles-de-rothko-en-vedette-lors-dune-vente-aux-encheres.php,lapresse.ca,2014-11-14,Canada,Listerine/NAM/Listerine,"Mellon  était  héritière  de  la  fortune  de  la  marque Listerine  ,  une  horticultrice  remarquée  et  la  veuve  du  philanthrope  Paul  Mellon  .",listerine,nam,listerine,marque,marque,NOUN,la,le,DET,de,de,ADP,fortune,fortune,NOUN,la,le,DET,",",",",PUNCT,une,un,DET,horticultrice,horticulteur,NOUN,remarquée,remarquer,VERB,et,et,CONJ,2014-11-14,2014,2010,DET NOUN Listerine PUNCT DET,NOUN Listerine PUNCT,DET NOUN Listerine,ADP DET NOUN Listerine,NOUN ADP DET NOUN Listerine,Listerine PUNCT DET,Listerine PUNCT DET NOUN,Listerine PUNCT DET NOUN VERB,"le marque Listerine , un","marque Listerine ,",le marque Listerine,de le marque Listerine,fortune de le marque Listerine,"Listerine , un","Listerine , un horticulteur","Listerine , un horticulteur remarquer"
http://www.journallesactualites.ca/2014/09/19/daniel-lemire-revient-plus-en-forme-que-jamais,journallesactualites.ca,2015-01-29,Canada,Listerine/NAM/Listerine,"Il  signe  les  publicités  de Listerine  ,  un  sixième  One  man  show  et  le  Bye  Bye  de  Radio-Canada  .",listerine,nam,listerine,de,de,ADP,publicités,publicité,NOUN,les,le,DET,signe,signer,VERB,Il,il,PRON,",",",",PUNCT,un,un,DET,sixième,sixième,ADJ,One,One,ADJ,man,man,NOUN,2015-01-29,2015,2010,NOUN ADP Listerine PUNCT DET,ADP Listerine PUNCT,NOUN ADP Listerine,DET NOUN ADP Listerine,VERB DET NOUN ADP Listerine,Listerine PUNCT DET,Listerine PUNCT DET ADJ,Listerine PUNCT DET ADJ ADJ,"publicité de Listerine , un","de Listerine ,",publicité de Listerine,le publicité de Listerine,signer le publicité de Listerine,"Listerine , un","Listerine , un sixième","Listerine , un sixième One"
http://votreargent.lexpress.fr/bourse-de-paris/mondelez-nomination-d-un-responsable-en-amerique-du-nord_1655032.html,lexpress.fr,2015-02-24,France,Listerine/NAM/Listerine,"Au  sein  de  ses  précédentes  fonctions  ,  chez  le  groupe  pharmaceutique  Johnson  &  Johnson  ,  Roberto  Marques  chapeautait  des  marques  de  la  trempe  de  Band-Aid  , Listerine  ,  Neutrogena  et  Zyrtec  . </doc>",listerine,nam,listerine,",",",",PUNCT,Band-Aid,Band-Aid,PROPN,de,de,ADP,trempe,trempe,NOUN,la,le,DET,",",",",PUNCT,Neutrogena,Neutrogena,PROPN,et,et,CONJ,Zyrtec,Zyrtec,PROPN,.,.,PUNCT,2015-02-24,2015,2010,PROPN PUNCT Listerine PUNCT PROPN,PUNCT Listerine PUNCT,PROPN PUNCT Listerine,ADP PROPN PUNCT Listerine,NOUN ADP PROPN PUNCT Listerine,Listerine PUNCT PROPN,Listerine PUNCT PROPN CONJ,Listerine PUNCT PROPN CONJ PROPN,"Band-Aid , Listerine , Neutrogena",", Listerine ,","Band-Aid , Listerine","de Band-Aid , Listerine","trempe de Band-Aid , Listerine","Listerine , Neutrogena","Listerine , Neutrogena et","Listerine , Neutrogena et Zyrtec"
http://voir.ca/chroniques/prise-de-tete/2015/06/11/reduire-en-cendres-leurs-arguments/,voir.ca,2015-06-12,Canada,Listerine/NAM/Listerine,Fumez  l'  esprit  tranquille  grâce  à  :  la  cigarette  au  menthol  ;  la  cigarette  à  bout  filtre  ;  la  cigarette  légère  ;  la  cigarette  douce  ;  la  cigarette Listerine  .,listerine,nam,listerine,cigarette,cigarette,NOUN,la,le,DET,;,;,PUNCT,douce,doux,ADJ,cigarette,cigarette,NOUN,.,.,PUNCT,,,,,,,,,,,,,2015-06-12,2015,2010,,NOUN Listerine PUNCT,DET NOUN Listerine,PUNCT DET NOUN Listerine,ADJ PUNCT DET NOUN Listerine,,,,,cigarette Listerine .,le cigarette Listerine,; le cigarette Listerine,doux ; le cigarette Listerine,,,
http://www.leblogauto.com/2016/01/vic-lee-btcc-and-drugs-and-rock-nroll.html,leblogauto.com,2016-01-16,===NONE===,Listerine/NAM/Listerine,"Surtout  ,  il  a  convaincu Listerine  d'  arrêter  de  sponsoriser  Andy  Rouse  pour  venir  chez  lui  .",listerine,nam,listerine,convaincu,convaincre,VERB,a,avoir,VERB,il,il,PRON,",",",",PUNCT,Surtout,surtout,ADV,d',de,ADP,arrêter,arrêter,VERB,de,de,ADP,sponsoriser,sponsoriser,VERB,Andy,Andy,PROPN,2016-01-16,2016,2010,VERB VERB Listerine ADP VERB,VERB Listerine ADP,VERB VERB Listerine,PRON VERB VERB Listerine,PUNCT PRON VERB VERB Listerine,Listerine ADP VERB,Listerine ADP VERB ADP,Listerine ADP VERB ADP VERB,avoir convaincre Listerine de arrêter,convaincre Listerine de,avoir convaincre Listerine,il avoir convaincre Listerine,", il avoir convaincre Listerine",Listerine de arrêter,Listerine de arrêter de,Listerine de arrêter de sponsoriser
http://www.leblogauto.com/2016/01/vic-lee-btcc-and-drugs-and-rock-nroll.html,leblogauto.com,2016-01-16,===NONE===,Listerine/NAM/Listerine,"En  prime  , Listerine  arrête  le  sponsoring  .",listerine,nam,listerine,",",",",PUNCT,prime,prime,NOUN,En,en,ADP,,,,,,,arrête,arrêter,VERB,le,le,DET,sponsoring,sponsoring,NOUN,.,.,PUNCT,,,,2016-01-16,2016,2010,NOUN PUNCT Listerine VERB DET,PUNCT Listerine VERB,NOUN PUNCT Listerine,ADP NOUN PUNCT Listerine,,Listerine VERB DET,Listerine VERB DET NOUN,Listerine VERB DET NOUN PUNCT,"prime , Listerine arrêter le",", Listerine arrêter","prime , Listerine","en prime , Listerine",,Listerine arrêter le,Listerine arrêter le sponsoring,Listerine arrêter le sponsoring .
http://www.lemonde.fr/economie/article/2016/06/08/lancome-le-parfum-de-la-volte-face_4942696_3234.html#xtor%3DRSS-3208,lemonde.fr,2016-06-09,France,Listerine/NAM/Listerine,"Le  quotidien  officiel  Global  Times  a  dénoncé  ,  samedi  4  juin  au  matin  ,  sur  son  compte  Weibo  ,  le  Twitter  chinois  ,  l'  utilisation  par  Lancôme  mais  aussi  par  les  bains  de  bouche Listerine  de  l'  image  de  l'  artiste  de  39  ans  .",listerine,nam,listerine,bouche,bouche,NOUN,de,de,ADP,bains,bain,NOUN,les,le,DET,par,par,ADP,de,de,ADP,l',le,DET,image,image,NOUN,de,de,ADP,l',le,DET,2016-06-09,2016,2010,ADP NOUN Listerine ADP DET,NOUN Listerine ADP,ADP NOUN Listerine,NOUN ADP NOUN Listerine,DET NOUN ADP NOUN Listerine,Listerine ADP DET,Listerine ADP DET NOUN,Listerine ADP DET NOUN ADP,de bouche Listerine de le,bouche Listerine de,de bouche Listerine,bain de bouche Listerine,le bain de bouche Listerine,Listerine de le,Listerine de le image,Listerine de le image de
