url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lefigaro.fr/secteur/high-tech/2014/04/01/01007-20140401ARTFIG00203-remi-gaillard-un-business-tentaculaire-mais-pas-si-rentable.php,lefigaro.fr,2014-04-01,France,Loctite/NOM/Loctite,"Le  trublion  signe  en  2007  ses  premiers  contrats  pour  des  vidéos  de  marketing  viral  ,  un  filon  qu'  il  a  exploité  auprès  de  nombreuses  marques  plus  ou  moins  prestigieuses  :  Nike  ,  Orangina  ,  Bwin  ,  LG  ,  mais  aussi  les  adhésifs Loctite  ou  les  pneus  Euromaster  .",loctite,nom,loctite,adhésifs,adhésif,ADJ,les,le,DET,aussi,aussi,ADV,mais,mais,CONJ,",",",",PUNCT,ou,ou,CONJ,les,le,DET,pneus,pneu,NOUN,Euromaster,Euromaster,PROPN,.,.,PUNCT,2014-04-01,2014,2010,DET ADJ Loctite CONJ DET,ADJ Loctite CONJ,DET ADJ Loctite,ADV DET ADJ Loctite,CONJ ADV DET ADJ Loctite,Loctite CONJ DET,Loctite CONJ DET NOUN,Loctite CONJ DET NOUN PROPN,le adhésif Loctite ou le,adhésif Loctite ou,le adhésif Loctite,aussi le adhésif Loctite,mais aussi le adhésif Loctite,Loctite ou le,Loctite ou le pneu,Loctite ou le pneu Euromaster
http://votreargent.lexpress.fr/bourse-de-paris/henkel-en-tete-du-dax-apres-ses-trimestriels_365690.html,lexpress.fr,2014-05-07,France,Loctite/NAM/Loctite,"Au  terme  du  premier  quart  de  l'  exercice  2014  ,  le  groupe  chimique  et  de  produits  de  grande  consommation  de  Düsseldorf  (  marques  Schwarzkopf  ,  Persil  , Loctite  ,  Pritt  ...  )  a  dégagé  un  résultat  net  part  du  groupe  ajusté  en  hausse  de  8,4  %  à  452  millions  d'  euros  (  1,04  euro  par  action  de  préférence  )  .",loctite,nam,loctite,",",",",PUNCT,Persil,Persil,PROPN,",",",",PUNCT,Schwarzkopf,Schwarzkopf,PROPN,marques,marque,NOUN,",",",",PUNCT,Pritt,Pritt,PROPN,...,...,PUNCT,),),PUNCT,a,avoir,VERB,2014-05-07,2014,2010,PROPN PUNCT Loctite PUNCT PROPN,PUNCT Loctite PUNCT,PROPN PUNCT Loctite,PUNCT PROPN PUNCT Loctite,PROPN PUNCT PROPN PUNCT Loctite,Loctite PUNCT PROPN,Loctite PUNCT PROPN PUNCT,Loctite PUNCT PROPN PUNCT PUNCT,"Persil , Loctite , Pritt",", Loctite ,","Persil , Loctite",", Persil , Loctite","Schwarzkopf , Persil , Loctite","Loctite , Pritt","Loctite , Pritt ...","Loctite , Pritt ... )"
http://votreargent.lexpress.fr/bourse-de-paris/henkel-en-tete-du-dax-sur-des-previsions-relevees_1620783.html,lexpress.fr,2014-11-11,France,Loctite/NAM/Loctite,"Le  groupe  chimique  allemand  ,  dont  la  gamme  comprend  les  produits  grand  public  Persil  ,  Le  Chat  ,  Pril  (  détergents  )  , Loctite  ,  Pritt  ,  Pattex  (  colles  fortes  )  ,  Schwarzkopf  (  soins  capillaires  )  ,  etc  .  ,  a  enregistré  sur  la  période  un  CA  de  12,3  milliards  d'  euros  en  baisse  de  1,6  %  .",loctite,nam,loctite,",",",",PUNCT,),),PUNCT,détergents,détergent,ADJ,(,(,PUNCT,Pril,Pril,PROPN,",",",",PUNCT,Pritt,Pritt,PROPN,",",",",PUNCT,Pattex,Pattex,PROPN,(,(,PUNCT,2014-11-11,2014,2010,PUNCT PUNCT Loctite PUNCT PROPN,PUNCT Loctite PUNCT,PUNCT PUNCT Loctite,ADJ PUNCT PUNCT Loctite,PUNCT ADJ PUNCT PUNCT Loctite,Loctite PUNCT PROPN,Loctite PUNCT PROPN PUNCT,Loctite PUNCT PROPN PUNCT PROPN,") , Loctite , Pritt",", Loctite ,",") , Loctite","détergent ) , Loctite","( détergent ) , Loctite","Loctite , Pritt","Loctite , Pritt ,","Loctite , Pritt , Pattex"
http://www.journaldequebec.com/2015/01/29/super-bowl-les-publicites-americaines-seront-disponibles-au-canada-en-2017,journaldequebec.com,2015-01-30,Armenia,-Loctite/ADJ/-Loctite," -Loctite  ,  une  marque  de  colle  qui  a  misé  100  %  de  son  budget  annuel  de  publicité  uniquement  pour  le  Super  Bowl  . </doc>",-loctite,adj,-loctite,,,,,,,,,,,,,,,,",",",",PUNCT,une,un,DET,marque,marque,NOUN,de,de,ADP,colle,colle,NOUN,2015-01-30,2015,2010,,,,,,Loctite PUNCT DET,Loctite PUNCT DET NOUN,Loctite PUNCT DET NOUN ADP,,,,,,"Loctite , un","Loctite , un marque","Loctite , un marque de"
http://www.journaldequebec.com/2015/01/30/blitz-de-pub-du-super-bowl,journaldequebec.com,2015-01-30,Armenia,Loctite/NAM/Loctite,"L'  alignement  des  annonceurs  pour  le  Super  Bowl  comptera  cette  année  quelques  nouvelles  recrues  ,  dont  Skittles  et  la  marque  de  colle Loctite  Super  Glue  .",loctite,nam,loctite,colle,colle,NOUN,de,de,ADP,marque,marque,NOUN,la,le,DET,et,et,CONJ,Super,Super,PROPN,Glue,Glue,PROPN,.,.,PUNCT,,,,,,,2015-01-30,2015,2010,ADP NOUN Loctite PROPN PROPN,NOUN Loctite PROPN,ADP NOUN Loctite,NOUN ADP NOUN Loctite,DET NOUN ADP NOUN Loctite,Loctite PROPN PROPN,Loctite PROPN PROPN PUNCT,,de colle Loctite Super Glue,colle Loctite Super,de colle Loctite,marque de colle Loctite,le marque de colle Loctite,Loctite Super Glue,Loctite Super Glue .,
http://www.lapresse.ca/le-soleil/sports/dossiers/super-bowl/201501/28/01-4839068-super-bowl-xlix-le-dimanche-soir-ou-30-secondes-valent-45-millions-.php,lapresse.ca,2015-01-28,Canada,Loctite/NAM/Loctite,"Parmi  eux  ,  on  retrouve  Wix  .  com  (  une  société  de  construction  de  site  Web  )  , Loctite  ,  Mophie  ,  BuzzFeed  et  The  Verge  . </doc>",loctite,nam,loctite,",",",",PUNCT,),),PUNCT,Web,Web,PROPN,site,site,NOUN,de,de,ADP,",",",",PUNCT,Mophie,Mophie,PROPN,",",",",PUNCT,BuzzFeed,BuzzFeed,PROPN,et,et,CONJ,2015-01-28,2015,2010,PUNCT PUNCT Loctite PUNCT PROPN,PUNCT Loctite PUNCT,PUNCT PUNCT Loctite,PROPN PUNCT PUNCT Loctite,NOUN PROPN PUNCT PUNCT Loctite,Loctite PUNCT PROPN,Loctite PUNCT PROPN PUNCT,Loctite PUNCT PROPN PUNCT PROPN,") , Loctite , Mophie",", Loctite ,",") , Loctite","Web ) , Loctite","site Web ) , Loctite","Loctite , Mophie","Loctite , Mophie ,","Loctite , Mophie , BuzzFeed"
http://www.lesechos.fr/journal20150420/lec2_industrie_et_services/02115002820-henkel-fait-les-yeux-doux-a-wella-douze-ans-apres-sa-premiere-tentative-1112699.php#xtor%3DRSS-2062,lesechos.fr,2015-04-20,France,Loctite/NOM/Loctite,"Selon  les  médias  ,  le  groupe  allemand  de  biens  de  consommation  ,  connu  en  France  pour  sa  marque  de  lessive  Le  Chat  ou  ses  adhésifs Loctite  ,  serait  sur  le  point  de  formuler  une  offre  sur  la  filiale  de  P  &  G  ,  qui  l'  aurait  mise  en  vente  .",loctite,nom,loctite,adhésifs,adhésif,ADJ,ses,son,DET,ou,ou,CONJ,Chat,Chat,PROPN,Le,le,DET,",",",",PUNCT,serait,être,VERB,sur,sur,ADP,le,le,DET,point,point,NOUN,2015-04-20,2015,2010,DET ADJ Loctite PUNCT VERB,ADJ Loctite PUNCT,DET ADJ Loctite,CONJ DET ADJ Loctite,PROPN CONJ DET ADJ Loctite,Loctite PUNCT VERB,Loctite PUNCT VERB ADP,Loctite PUNCT VERB ADP DET,"son adhésif Loctite , être","adhésif Loctite ,",son adhésif Loctite,ou son adhésif Loctite,Chat ou son adhésif Loctite,"Loctite , être","Loctite , être sur","Loctite , être sur le"
http://forums.futura-sciences.com/habitat-bioclimatique-isolation-chauffage/103922-lampes-basse-consommation-minuterie.html,futura-sciences.com,2015-09-08,France,loctite/NOM/loctite,Je  met  un  point  de  bleu loctite  sur  la  douille  et  je  visse  .,loctite,nom,loctite,bleu,bleu,ADJ,de,de,ADP,point,point,NOUN,un,un,DET,met,mettre,VERB,sur,sur,ADP,la,le,DET,douille,douille,NOUN,et,et,CONJ,je,je,PRON,2015-09-08,2015,2010,ADP ADJ Loctite ADP DET,ADJ Loctite ADP,ADP ADJ Loctite,NOUN ADP ADJ Loctite,DET NOUN ADP ADJ Loctite,Loctite ADP DET,Loctite ADP DET NOUN,Loctite ADP DET NOUN CONJ,de bleu Loctite sur le,bleu Loctite sur,de bleu Loctite,point de bleu Loctite,un point de bleu Loctite,Loctite sur le,Loctite sur le douille,Loctite sur le douille et
http://www.romandie.com/news/Henkel-plus-optimiste-pour-lannee-apres-un-3eme-trimestre-en-progression/647561.rom,romandie.com,2015-11-11,Switzerland,Loctite/ADJ/Loctite,"Générant  la  moitié  des  revenus  du  groupe  ,  l'  activité  d'  adhésifs  ,  avec  notamment  la  glue Loctite  ,  a  vu  ses  ventes  progresser  de  8,5  %  sur  le  trimestre  à  2,3  milliards  d'  euros  et  sa  marge  opérationnelle  ,  dont  la  baisse  au  deuxième  trimestre  avait  été  mal  digérée  par  les  investisseurs  ,  a  rebondi  à  18,1  %  .",loctite,adj,loctite,glue,gluer,VERB,la,la,PRON,notamment,notamment,ADV,avec,avec,ADP,",",",",PUNCT,",",",",PUNCT,a,avoir,VERB,vu,voir,VERB,ses,son,DET,ventes,vente,NOUN,2015-11-11,2015,2010,PRON VERB Loctite PUNCT VERB,VERB Loctite PUNCT,PRON VERB Loctite,ADV PRON VERB Loctite,ADP ADV PRON VERB Loctite,Loctite PUNCT VERB,Loctite PUNCT VERB VERB,Loctite PUNCT VERB VERB DET,"la gluer Loctite , avoir","gluer Loctite ,",la gluer Loctite,notamment la gluer Loctite,avec notamment la gluer Loctite,"Loctite , avoir","Loctite , avoir voir","Loctite , avoir voir son"
http://www.romandie.com/news/Henkel-annonce-le-depart-de-son-patron-Adidas-grimpe-en-Bourse/667716.rom,romandie.com,2016-01-18,Switzerland,Loctite/ADJ/Loctite,"Son  action  à  la  tête  du  fabricant  des  lessives  Le  Chat  (  Persil  sur  la  plupart  des  marchés  en  dehors  de  France  )  ,  de  l'  adoucissant  Minidou  ,  du  dentifrice  Vademecum  ou  encore  de  la  glue Loctite  ,  est  largement  perçue  comme  un  succès  .",loctite,adj,loctite,glue,gluer,VERB,la,le,DET,de,de,ADP,encore,encore,ADV,ou,ou,CONJ,",",",",PUNCT,est,être,VERB,largement,largement,ADV,perçue,percevoir,VERB,comme,comme,CONJ,2016-01-18,2016,2010,DET VERB Loctite PUNCT VERB,VERB Loctite PUNCT,DET VERB Loctite,ADP DET VERB Loctite,ADV ADP DET VERB Loctite,Loctite PUNCT VERB,Loctite PUNCT VERB ADV,Loctite PUNCT VERB ADV VERB,"le gluer Loctite , être","gluer Loctite ,",le gluer Loctite,de le gluer Loctite,encore de le gluer Loctite,"Loctite , être","Loctite , être largement","Loctite , être largement percevoir"
