url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lyonne.fr/yonne/actualite/pays/centre-yonne/2013/12/30/philippe-frot-et-sa-famille-se-lancent-dans-une-nouvelle-aventure-entre-cambrai-et-valenciennes_1819781.html,lyonne.fr,2014-01-01,France,Loewenguth/NAM/Loewenguth,"""  Ce  mardi  31  décembre  ,  Philippe  Frot  ,  le  boulanger  du  quartier  jovinien  Saint-André  et  sa  compagne  Sandrine Loewenguth  ferment  les  portes  de  leur  commerce  (  lire  ci-dessous  )  .",loewenguth,nam,loewenguth,Sandrine,Sandrine,PROPN,compagne,compagne,NOUN,sa,son,DET,et,et,CONJ,Saint-André,Saint-André,PROPN,ferment,fermer,VERB,les,le,DET,portes,porte,NOUN,de,de,ADP,leur,leur,DET,2014-01-01,2014,2010,NOUN PROPN Loewe VERB DET,PROPN Loewe VERB,NOUN PROPN Loewe,DET NOUN PROPN Loewe,CONJ DET NOUN PROPN Loewe,Loewe VERB DET,Loewe VERB DET NOUN,Loewe VERB DET NOUN ADP,compagne Sandrine Loewe fermer le,Sandrine Loewe fermer,compagne Sandrine Loewe,son compagne Sandrine Loewe,et son compagne Sandrine Loewe,Loewe fermer le,Loewe fermer le porte,Loewe fermer le porte de
http://www.lyonne.fr/yonne/actualite/pays/centre-yonne/2013/12/30/philippe-frot-et-sa-famille-se-lancent-dans-une-nouvelle-aventure-entre-cambrai-et-valenciennes_1819781.html,lyonne.fr,2014-01-01,France,Loewenguth/NAM/Loewenguth,Une  annonce  publiée  dans  un  magazine  spécialisé  a  attiré  la  curiosité  de  Philippe  Frot  et  Sandrine Loewenguth  .,loewenguth,nam,loewenguth,Sandrine,Sandrine,PROPN,et,et,CONJ,Frot,Frot,PROPN,Philippe,Philippe,PROPN,de,de,ADP,.,.,PUNCT,,,,,,,,,,,,,2014-01-01,2014,2010,,PROPN Loewe PUNCT,CONJ PROPN Loewe,PROPN CONJ PROPN Loewe,PROPN PROPN CONJ PROPN Loewe,,,,,Sandrine Loewe .,et Sandrine Loewe,Frot et Sandrine Loewe,Philippe Frot et Sandrine Loewe,,,
http://www.lyonne.fr/yonne/actualite/pays/centre-yonne/2013/12/30/philippe-frot-et-sa-famille-se-lancent-dans-une-nouvelle-aventure-entre-cambrai-et-valenciennes_1819781.html,lyonne.fr,2014-01-01,France,Loewenguth/NAM/Loewenguth,"""  Philippe  Frot  et  Sandrine Loewenguth  proposaient  des  spécialités  ,  dont  la  baguette  du  chef  et  une  autre  à  base  de  graines  .",loewenguth,nam,loewenguth,Sandrine,Sandrine,PROPN,et,et,CONJ,Frot,Frot,PROPN,Philippe,Philippe,PROPN,"""","""",PUNCT,proposaient,proposer,VERB,des,du,ADP DET,spécialités,spécialité,NOUN,",",",",PUNCT,dont,dont,PRON,2014-01-01,2014,2010,CONJ PROPN Loewe VERB ADP DET,PROPN Loewe VERB,CONJ PROPN Loewe,PROPN CONJ PROPN Loewe,PROPN PROPN CONJ PROPN Loewe,Loewe VERB ADP DET,Loewe VERB ADP DET NOUN,Loewe VERB ADP DET NOUN PUNCT,et Sandrine Loewe proposer du,Sandrine Loewe proposer,et Sandrine Loewe,Frot et Sandrine Loewe,Philippe Frot et Sandrine Loewe,Loewe proposer du,Loewe proposer du spécialité,"Loewe proposer du spécialité ,"
http://www.ladepeche.fr/article/2014/01/06/1788715-london-collections-men-les-defiles-a-ne-pas-rater.html,ladepeche.fr,2014-01-06,France,Loewe/NAM/Loewe,"Après  les  robes  féminines  et  les  cuissardes  de  l'  automne  2013  ,  les  dos-nus  et  les  tops  raccourcis  de  la  saison  printemps  2014  ,  quelles  surprises  nous  réserve  ce  mardi  l'  espiègle  créateur  récemment  nommé  directeur  artistique  de Loewe  ?",loewe,nam,loewe,de,de,ADP,artistique,artistique,ADJ,directeur,directeur,NOUN,nommé,nommé,ADJ,récemment,récemment,ADV,?,?,PUNCT,,,,,,,,,,,,,2014-01-06,2014,2010,,ADP Loewe PUNCT,ADJ ADP Loewe,NOUN ADJ ADP Loewe,ADJ NOUN ADJ ADP Loewe,,,,,de Loewe ?,artistique de Loewe,directeur artistique de Loewe,nommé directeur artistique de Loewe,,,
http://future.arte.tv/fr/sujet/pret-jeter#article-anchor-9941,arte.tv,2014-01-08,Tuvalu,Loewe/NAM/Loewe,"Exception  notoire  ,  le  vétéran  du  secteur  , Loewe  ,  installé  en  Bavière  ,  et  qui  continue  de  produire  en  Allemagne  .",loewe,nam,loewe,",",",",PUNCT,secteur,secteur,NOUN,du,du,ADP DET,vétéran,vétéran,NOUN,le,le,DET,",",",",PUNCT,installé,installer,VERB,en,en,ADP,Bavière,Bavière,PROPN,",",",",PUNCT,2014-01-08,2014,2010,NOUN PUNCT Loewe PUNCT VERB,PUNCT Loewe PUNCT,NOUN PUNCT Loewe,ADP DET NOUN PUNCT Loewe,NOUN ADP DET NOUN PUNCT Loewe,Loewe PUNCT VERB,Loewe PUNCT VERB ADP,Loewe PUNCT VERB ADP PROPN,"secteur , Loewe , installer",", Loewe ,","secteur , Loewe","du secteur , Loewe","vétéran du secteur , Loewe","Loewe , installer","Loewe , installer en","Loewe , installer en Bavière"
http://future.arte.tv/fr/sujet/pret-jeter#article-anchor-9941,arte.tv,2014-01-08,Tuvalu,Loewe/NAM/Loewe,"Les  téléviseurs Loewe  sont  chers  ,  on  les  retrouve  plutôt  dans  des  foyers  au  niveau  de  vie  élevé  .",loewe,nam,loewe,téléviseurs,téléviseur,NOUN,Les,le,DET,,,,,,,,,,sont,être,VERB,chers,cher,ADJ,",",",",PUNCT,on,on,PRON,les,la|le,PRON,2014-01-08,2014,2010,DET NOUN Loewe VERB ADJ,NOUN Loewe VERB,DET NOUN Loewe,,,Loewe VERB ADJ,Loewe VERB ADJ PUNCT,Loewe VERB ADJ PUNCT PRON,le téléviseur Loewe être cher,téléviseur Loewe être,le téléviseur Loewe,,,Loewe être cher,"Loewe être cher ,","Loewe être cher , on"
http://future.arte.tv/fr/sujet/pret-jeter#article-anchor-9941,arte.tv,2014-01-08,Tuvalu,Loewe/NAM/Loewe,"Sur  ses  1  0  0  0  postes  , Loewe  est  en  train  d'  en  supprimer  190  .",loewe,nam,loewe,",",",",PUNCT,postes,poste|postes,NOUN,0,@card@,ADJ,0,@card@,ABR,0,@card@,ADJ,est,être,VERB,en,en,ADP,train,train,NOUN,d',de,ADP,en,en,PRON,2014-01-08,2014,2010,NOUN PUNCT Loewe VERB ADP,PUNCT Loewe VERB,NOUN PUNCT Loewe,ADJ NOUN PUNCT Loewe,ABR ADJ NOUN PUNCT Loewe,Loewe VERB ADP,Loewe VERB ADP NOUN,Loewe VERB ADP NOUN ADP,"poste|postes , Loewe être en",", Loewe être","poste|postes , Loewe","@card@ poste|postes , Loewe","@card@ @card@ poste|postes , Loewe",Loewe être en,Loewe être en train,Loewe être en train de
http://www.ladepeche.fr/article/2014/01/08/1790157-loewe-presente-sa-derniere-campagne-avec-penelope-cruz.html,ladepeche.fr,2014-01-09,France,Loewe/NAM/Loewe,<doc uri=http://www.ladepeche.fr/article/2014/01/08/1790157-loewe-presente-sa-derniere-campagne-avec-penelope-cruz.html website=ladepeche.fr date=2014-01-09 source_country=France> Loewe  présente  sa  dernière  campagne  avec  Penélope  Cruz,loewe,nam,loewe,,,,,,,,,,,,,,,,présente,présenter,VERB,sa,son,DET,dernière,dernier,ADJ,campagne,campagne,NOUN,avec,avec,ADP,2014-01-09,2014,2010,,,,,,Loewe VERB DET,Loewe VERB DET ADJ,Loewe VERB DET ADJ NOUN,,,,,,Loewe présenter son,Loewe présenter son dernier,Loewe présenter son dernier campagne
http://www.ladepeche.fr/article/2014/01/08/1790157-loewe-presente-sa-derniere-campagne-avec-penelope-cruz.html,ladepeche.fr,2014-01-09,France,Loewe/NAM/Loewe,"Beige  ,  blanc  cassé  ,  ivoire  :  la  collection  de  prêt-à-porter  et  d'  accessoires  Printemps-Eté  2014  de Loewe  joue  la  carte  des  teintes  neutres  ,  très  sobres  ,  mais  ultra-chics  .",loewe,nam,loewe,de,de,ADP,2014,@card@,ADJ,Printemps-Eté,Printemps-Eté,NOUN,accessoires,accessoire,ADJ,d',de,ADP,joue,jouer,VERB,la,le,DET,carte,carte,NOUN,des,du,ADP DET,teintes,teinte,NOUN,2014-01-09,2014,2010,ADJ ADP Loewe VERB DET,ADP Loewe VERB,ADJ ADP Loewe,NOUN ADJ ADP Loewe,ADJ NOUN ADJ ADP Loewe,Loewe VERB DET,Loewe VERB DET NOUN,Loewe VERB DET NOUN ADP DET,@card@ de Loewe jouer le,de Loewe jouer,@card@ de Loewe,Printemps-Eté @card@ de Loewe,accessoire Printemps-Eté @card@ de Loewe,Loewe jouer le,Loewe jouer le carte,Loewe jouer le carte du
http://www.informaticien.be/index.ks?page=news_item&id=17827,informaticien.be,2014-01-17,Belgium,Loewe/NAM/Loewe,<doc uri=http://www.informaticien.be/index.ks?page=news_item&id=17827 website=informaticien.be date=2014-01-17 source_country=Belgium> /un/DET:ART /groupe/NOM /d/VER:futu /&rsquo;/ADJ /investisseur/NOM /allemand/ADJ /acheter/VER:pres Loewe  .,loewe,nam,loewe,achète,acheter,VERB,allemands,allemand,ADJ,investisseurs,investisseur,NOUN,&rsquo;,&rsquo;,ADJ,d,d,VERB,.,.,PUNCT,,,,,,,,,,,,,2014-01-17,2014,2010,,VERB Loewe PUNCT,ADJ VERB Loewe,NOUN ADJ VERB Loewe,ADJ NOUN ADJ VERB Loewe,,,,,acheter Loewe .,allemand acheter Loewe,investisseur allemand acheter Loewe,&rsquo; investisseur allemand acheter Loewe,,,
