url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lapresse.ca/vivre/mode/201402/14/01-4738926-la-mode-detruit-elle-nos-forets.php,lapresse.ca,2014-02-15,Canada,lyocell/NOM/lyocell,"Une  chaîne  d'  approvisionnement  fort  complexe  ,  qui  peut  être  difficile  à  percer  pour  de  petits  designers  ,  souligne  Anne-Marie  Laflamme  ,  une  des  deux  têtes  créatrices  d'  atelier  b.  ""  Un  de  nos  plus  grands  défis  est  le  manque  de  transparence  des  fournisseurs  ,  qui  peuvent  manipuler  l'  information  en  nous  disant  ,  par  exemple  ,  que  leur lyocell  vient  de  retailles  d'  eucalyptus  ...  tout  en  omettant  d'  indiquer  que  cette  plante  provient  peut-être  d'  une  forêt  protégée  ou  menacée  !",lyocell,nom,lyocell,leur,leur,DET,que,que,CONJ,",",",",PUNCT,exemple,exemple,NOUN,par,par,ADP,vient,venir,VERB,de,de,ADP,retailles,retaille,NOUN,d',de,ADP,eucalyptus,eucalyptus,NOUN,2014-02-15,2014,2010,CONJ DET Lyocell VERB ADP,DET Lyocell VERB,CONJ DET Lyocell,PUNCT CONJ DET Lyocell,NOUN PUNCT CONJ DET Lyocell,Lyocell VERB ADP,Lyocell VERB ADP NOUN,Lyocell VERB ADP NOUN ADP,que leur Lyocell venir de,leur Lyocell venir,que leur Lyocell,", que leur Lyocell","exemple , que leur Lyocell",Lyocell venir de,Lyocell venir de retaille,Lyocell venir de retaille de
http://www.lapresse.ca/vivre/mode/201402/14/01-4738926-la-mode-detruit-elle-nos-forets.php,lapresse.ca,2014-02-15,Canada,Lyocell/NAM/Lyocell,"Nous  n'  allons  pas  arrêter  d'  utiliser  du Lyocell  ,  car  c'  est  un  produit  non  toxique  qui  a  moins  d'  impact  sur  l'  environnement  que  le  coton  ,  même  le  coton  bio  .",lyocell,nam,lyocell,du,du,ADP DET,utiliser,utiliser,VERB,d',de,ADP,arrêter,arrêter,VERB,pas,pas,ADV,",",",",PUNCT,car,car,CONJ,c',ce,PRON,est,être,VERB,un,un,DET,2014-02-15,2014,2010,VERB ADP DET Lyocell PUNCT CONJ,ADP DET Lyocell PUNCT,VERB ADP DET Lyocell,ADP VERB ADP DET Lyocell,VERB ADP VERB ADP DET Lyocell,Lyocell PUNCT CONJ,Lyocell PUNCT CONJ PRON,Lyocell PUNCT CONJ PRON VERB,"utiliser du Lyocell , car","du Lyocell ,",utiliser du Lyocell,de utiliser du Lyocell,arrêter de utiliser du Lyocell,"Lyocell , car","Lyocell , car ce","Lyocell , car ce être"
http://www.lepoint.fr/culture/mode-homme-la-colere-de-rick-owens-l-hommage-de-dries-van-noten-a-marilyn-25-06-2015-1940055_3.php#xtor%3DRSS-221,lepoint.fr,2015-06-25,France,lyocell/NOM/lyocell,"Les  vêtements  sont  travaillés  dans  des  matières  écologiques  comme  la  laine  ,  le  coton  ou  le lyocell  ,  la  nouvelle  fibre  bio  à  la  mode  .",lyocell,nom,lyocell,le,le,DET,ou,ou,CONJ,coton,coton,NOUN,le,le,DET,",",",",PUNCT,",",",",PUNCT,la,le,DET,nouvelle,nouveau,ADJ,fibre,fibre,NOUN,bio,biologique,ADJ,2015-06-25,2015,2010,CONJ DET Lyocell PUNCT DET,DET Lyocell PUNCT,CONJ DET Lyocell,NOUN CONJ DET Lyocell,DET NOUN CONJ DET Lyocell,Lyocell PUNCT DET,Lyocell PUNCT DET ADJ,Lyocell PUNCT DET ADJ NOUN,"ou le Lyocell , le","le Lyocell ,",ou le Lyocell,coton ou le Lyocell,le coton ou le Lyocell,"Lyocell , le","Lyocell , le nouveau","Lyocell , le nouveau fibre"
http://www.leparisien.fr/magazine/plaisir/retrouvailles-entre-amies-13-01-2016-5447063.php#xtor%3DRSS-1481423633,leparisien.fr,2016-01-23,France,Lyocell/NAM/Lyocell,"Des  détails  fun  ,  des  lignes  minimalistes  ,  des  matières  fortes  ,  comme  le Lyocell  -  un  mélange  confortable  de  pulpe  d'  eucalyptus  et  de  bambou  .",lyocell,nam,lyocell,le,le,DET,comme,comme,CONJ,",",",",PUNCT,fortes,fort,ADJ,matières,matière,NOUN,-,-,PUNCT,un,un,DET,mélange,mélange,NOUN,confortable,confortable,ADJ,de,de,ADP,2016-01-23,2016,2010,CONJ DET Lyocell PUNCT DET,DET Lyocell PUNCT,CONJ DET Lyocell,PUNCT CONJ DET Lyocell,ADJ PUNCT CONJ DET Lyocell,Lyocell PUNCT DET,Lyocell PUNCT DET NOUN,Lyocell PUNCT DET NOUN ADJ,comme le Lyocell - un,le Lyocell -,comme le Lyocell,", comme le Lyocell","fort , comme le Lyocell",Lyocell - un,Lyocell - un mélange,Lyocell - un mélange confortable
http://blogs.lexpress.fr/styles/mode-personnel/2016/04/04/polyester-ou-viscose-quelle-matiere-privilegier-pour-sa-silhouette/,lexpress.fr,2016-04-04,France,LYOCELL/NAM/LYOCELL,"Des  chercheurs  expérimentent  des  procédés  moins  toxiques  pour  l'  environnement  ,  comme  pour  le LYOCELL  -  ou  Tencel  -  un  textile  éco-friendly  issu  de  la  cellulose  d'  eucalyptus  -  ou  de  la  pulpe  de  bois  -  puis  remaniée  avec  des  produits  non  polluants  .",lyocell,nam,lyocell,le,le,DET,pour,pour,ADP,comme,comme,ADV,",",",",PUNCT,environnement,environnement,NOUN,-,-,PUNCT,ou,ou,CONJ,Tencel,Tencel,PROPN,-,-,PUNCT,un,un,DET,2016-04-04,2016,2010,ADP DET Lyocell PUNCT CONJ,DET Lyocell PUNCT,ADP DET Lyocell,ADV ADP DET Lyocell,PUNCT ADV ADP DET Lyocell,Lyocell PUNCT CONJ,Lyocell PUNCT CONJ PROPN,Lyocell PUNCT CONJ PROPN PUNCT,pour le Lyocell - ou,le Lyocell -,pour le Lyocell,comme pour le Lyocell,", comme pour le Lyocell",Lyocell - ou,Lyocell - ou Tencel,Lyocell - ou Tencel -
http://www.elle.fr/Mode/L-instant-mode-quand-Comptoir-des-Cotonniers-reinvente-les-basiques-3078223#utm_source%3DRSS-ELLE%26utm_medium%3DFlux-Rss%26utm_campaign%3DRSS_Le_fil_info_de_ELLE%26xtor%3DRSS-21,elle.fr,2016-04-05,France,lyocell/NOM/lyocell,"Quelle  fille  ne  possède  pas  de  T-shirt  ou  de  débardeur  neutres  ?  Basiques  de  toutes  les  garde-robes  ,  ce  sont  ces  deux  pièces  que  revisite  aujourd  '  hui  Comptoir  des  Cotonniers  à  l'  aide  d'  une  fibre  à  base  de  cellulose  ,  le lyocell  .",lyocell,nom,lyocell,le,le,DET,",",",",PUNCT,cellulose,cellulose,NOUN,de,de,ADP,base,base,NOUN,.,.,PUNCT,,,,,,,,,,,,,2016-04-05,2016,2010,,DET Lyocell PUNCT,PUNCT DET Lyocell,NOUN PUNCT DET Lyocell,ADP NOUN PUNCT DET Lyocell,,,,,le Lyocell .,", le Lyocell","cellulose , le Lyocell","de cellulose , le Lyocell",,,
http://www.marketwired.com/press-release/en-partenariat-avec-bullfrog-power-simons-renforce-son-engagement-legard-de-la-durabilite-2116246.htm,marketwired.com,2016-04-19,===NONE===,Lyocell/NAM/Lyocell,"De  surcroît  ,  pour  sa  gamme  Créer  vert  ,  elle  a  recours  à  des  matériaux  écologiques  populaires  ,  comme  le  coton  biologique  ,  le  chanvre  et  le Lyocell  ,  pour  la  confection  de  vêtements  moins  nocifs  pour  les  écosystèmes  .",lyocell,nam,lyocell,le,le,DET,et,et,CONJ,chanvre,chanvre,NOUN,le,le,DET,",",",",PUNCT,",",",",PUNCT,pour,pour,ADP,la,le,DET,confection,confection,NOUN,de,de,ADP,2016-04-19,2016,2010,CONJ DET Lyocell PUNCT ADP,DET Lyocell PUNCT,CONJ DET Lyocell,NOUN CONJ DET Lyocell,DET NOUN CONJ DET Lyocell,Lyocell PUNCT ADP,Lyocell PUNCT ADP DET,Lyocell PUNCT ADP DET NOUN,"et le Lyocell , pour","le Lyocell ,",et le Lyocell,chanvre et le Lyocell,le chanvre et le Lyocell,"Lyocell , pour","Lyocell , pour le","Lyocell , pour le confection"
http://quebec.huffingtonpost.ca/2016/04/19/griffes-quebecoises-de-mode-verte_n_9729000.html?utm_hp_ref=canada-quebec&ir=Canada%2BQuebec,huffingtonpost.ca,2016-04-19,Canada,lyocell/NOM/lyocell,"En  dix  ans  ,  OÖM  Ethikwear  a  bien  grandi  ,  proposant  toujours  plus  de  lignes  éco-responsables  ,  conçues  au  Québec  en  utilisant  des  matières  telles  que  le  coton  bio  ,  le  lin  ,  le  chanvre  ,  le lyocell  ou  le  polyester  recyclé  .",lyocell,nom,lyocell,le,le,DET,",",",",PUNCT,chanvre,chanvre,NOUN,le,le,DET,",",",",PUNCT,ou,ou,CONJ,le,le,DET,polyester,polyester,NOUN,recyclé,recycler,VERB,.,.,PUNCT,2016-04-19,2016,2010,PUNCT DET Lyocell CONJ DET,DET Lyocell CONJ,PUNCT DET Lyocell,NOUN PUNCT DET Lyocell,DET NOUN PUNCT DET Lyocell,Lyocell CONJ DET,Lyocell CONJ DET NOUN,Lyocell CONJ DET NOUN VERB,", le Lyocell ou le",le Lyocell ou,", le Lyocell","chanvre , le Lyocell","le chanvre , le Lyocell",Lyocell ou le,Lyocell ou le polyester,Lyocell ou le polyester recycler
http://www.lesoir.be/1198671/article/victoire/air-du-temps/2016-05-02/20-idees-cadeaux-pour-fete-des-meres,lesoir.be,2016-05-02,Belgium,lyocell/NOM/lyocell,"Marcel  Ma  Seconde  Peau  Albora  en  coton  et lyocell  biodégradable  ,  55  €  ,  Comptoir  des  Cotonniers  ,  www.comptoirdescotonniers.com",lyocell,nom,lyocell,et,et,CONJ,coton,coton,NOUN,en,en,ADP,Albora,Albora,VERB,Peau,Peau,PROPN,biodégradable,biodégradable,ADJ,",",",",PUNCT,55,@card@,ADJ,€,€,NOUN,",",",",PUNCT,2016-05-02,2016,2010,NOUN CONJ Lyocell ADJ PUNCT,CONJ Lyocell ADJ,NOUN CONJ Lyocell,ADP NOUN CONJ Lyocell,VERB ADP NOUN CONJ Lyocell,Lyocell ADJ PUNCT,Lyocell ADJ PUNCT ADJ,Lyocell ADJ PUNCT ADJ NOUN,"coton et Lyocell biodégradable ,",et Lyocell biodégradable,coton et Lyocell,en coton et Lyocell,Albora en coton et Lyocell,"Lyocell biodégradable ,","Lyocell biodégradable , @card@","Lyocell biodégradable , @card@ €"
http://www.leparisien.fr/laparisienne/mode/10-pieces-a-avoir-dans-son-dressing-avant-30-ans-20-02-2017-6696342.php#xtor%3DRSS-1481423633,leparisien.fr,2017-02-21,France,lyocell/NOM/lyocell,L'  étole  pelucheuse  en lyocell  que  vous  trainez  partout  .,lyocell,nom,lyocell,en,en,ADP,pelucheuse,pelucheux,ADJ,étole,étole,NOUN,L',le,DET,,,,que,que,PRON,vous,vous,PRON,trainez,trainer,VERB,partout,partout,ADV,.,.,PUNCT,2017-02-21,2017,2010,ADJ ADP Lyocell PRON PRON,ADP Lyocell PRON,ADJ ADP Lyocell,NOUN ADJ ADP Lyocell,DET NOUN ADJ ADP Lyocell,Lyocell PRON PRON,Lyocell PRON PRON VERB,Lyocell PRON PRON VERB ADV,pelucheux en Lyocell que vous,en Lyocell que,pelucheux en Lyocell,étole pelucheux en Lyocell,le étole pelucheux en Lyocell,Lyocell que vous,Lyocell que vous trainer,Lyocell que vous trainer partout
