url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://scally.typepad.com/cest_moi_qui_lai_fait/2014/10/flan-pas-p%C3%A2tissier-%C3%A0-la-vanille.html,typepad.com,2014-10-26,===NONE===,maizena/NOM/maizena,"Pour  cela  ,  dans  une  casserole  hors  du  feu  ,  mélangez  les  jeunes  avc  le  sucre  et  la maizena  ,  longuement  .",maizena,nom,maizena,la,le,DET,et,et,CONJ,sucre,sucre,NOUN,le,le,DET,avc,avc,NOUN,",",",",PUNCT,longuement,longuement,ADV,.,.,PUNCT,,,,,,,2014-10-26,2014,2010,CONJ DET Maizena PUNCT ADV,DET Maizena PUNCT,CONJ DET Maizena,NOUN CONJ DET Maizena,DET NOUN CONJ DET Maizena,Maizena PUNCT ADV,Maizena PUNCT ADV PUNCT,,"et le Maizena , longuement","le Maizena ,",et le Maizena,sucre et le Maizena,le sucre et le Maizena,"Maizena , longuement","Maizena , longuement .",
http://www.elle.fr/Elle-a-Table/Cuisine-minceur/gateau-minceur-2945508#utm_source%3DRSS-ELLE%26utm_medium%3DFlux-Rss%26utm_campaign%3DRSS_tout_ELLE%26xtor%3DRSS-20,elle.fr,2015-04-30,France,Maizena-eau/NAM/Maizena-eau,"Mais  on  peut  facilement  sans  passer  dans  sa  pâte  à  gâteau  en  les  remplaçant  par  du  yaourt  (  végétal  ou  non  )  ,  de  la  compote  de  pomme  ,  de  la  banane  écrasée  ,  un  mélange Maizena-eau  ou  encore  du  tofu  soyeux  dans  un  gâteau  épicé  surprenant  .",maizena-eau,nam,maizena-eau,mélange,mélange,NOUN,un,un,DET,",",",",PUNCT,écrasée,écrasé,ADJ,banane,banane,NOUN,ou,ou,CONJ,encore,encore,ADV,du,du,ADP DET,tofu,tofu,NOUN,soyeux,soyeux,ADJ,2015-04-30,2015,2010,DET NOUN Maizena CONJ ADV,NOUN Maizena CONJ,DET NOUN Maizena,PUNCT DET NOUN Maizena,ADJ PUNCT DET NOUN Maizena,Maizena CONJ ADV,Maizena CONJ ADV ADP DET,Maizena CONJ ADV ADP DET NOUN,un mélange Maizena ou encore,mélange Maizena ou,un mélange Maizena,", un mélange Maizena","écrasé , un mélange Maizena",Maizena ou encore,Maizena ou encore du,Maizena ou encore du tofu
http://www.elle.fr/Elle-a-Table/Cuisine-minceur/gateau-minceur-2945508#utm_source%3DRSS-ELLE%26utm_medium%3DFlux-Rss%26utm_campaign%3DRSS_Cuisine%26xtor%3DRSS-25,elle.fr,2015-05-01,France,Maizena-eau/NAM/Maizena-eau,"Mais  on  peut  facilement  sans  passer  dans  sa  pâte  à  gâteau  en  les  remplaçant  par  du  yaourt  (  végétal  ou  non  )  ,  de  la  compote  de  pomme  ,  de  la  banane  écrasée  ,  un  mélange Maizena-eau  ou  encore  du  tofu  soyeux  dans  un  gâteau  épicé  surprenant  .",maizena-eau,nam,maizena-eau,mélange,mélange,NOUN,un,un,DET,",",",",PUNCT,écrasée,écrasé,ADJ,banane,banane,NOUN,ou,ou,CONJ,encore,encore,ADV,du,du,ADP DET,tofu,tofu,NOUN,soyeux,soyeux,ADJ,2015-05-01,2015,2010,DET NOUN Maizena CONJ ADV,NOUN Maizena CONJ,DET NOUN Maizena,PUNCT DET NOUN Maizena,ADJ PUNCT DET NOUN Maizena,Maizena CONJ ADV,Maizena CONJ ADV ADP DET,Maizena CONJ ADV ADP DET NOUN,un mélange Maizena ou encore,mélange Maizena ou,un mélange Maizena,", un mélange Maizena","écrasé , un mélange Maizena",Maizena ou encore,Maizena ou encore du,Maizena ou encore du tofu
http://www.journaldujura.ch/nouvelles-en-ligne/magazine-extra/en-exclusivite-pour-les-fetes-directement-devant-votre-porte,journaldujura.ch,2015-12-22,Switzerland,Maizena/NOM/Maizena,"Entre  temps  ,  porter  le  vin  à  ébullition  dans  la  poêle  ,  ajouter  une  tombée  de  crème  et  lier  avec  la Maizena  pour  obtenir  la  consistance  souhaitée  .",maizena,nom,maizena,la,le,DET,avec,avec,ADP,lier,lier,VERB,et,et,CONJ,crème,crème,NOUN,pour,pour,ADP,obtenir,obtenir,VERB,la,le,DET,consistance,consistance,NOUN,souhaitée,souhaiter,VERB,2015-12-22,2015,2010,ADP DET Maizena ADP VERB,DET Maizena ADP,ADP DET Maizena,VERB ADP DET Maizena,CONJ VERB ADP DET Maizena,Maizena ADP VERB,Maizena ADP VERB DET,Maizena ADP VERB DET NOUN,avec le Maizena pour obtenir,le Maizena pour,avec le Maizena,lier avec le Maizena,et lier avec le Maizena,Maizena pour obtenir,Maizena pour obtenir le,Maizena pour obtenir le consistance
http://www.entrevue.fr/cloche-a-merde-faux-cul-maizena-baratin-nabilla-dezingue-canal-plus-dans-son-livre/,entrevue.fr,2016-04-14,France,Maizena/NOM/Maizena,"T'  as  trois  copains  en  Suisse  ,  c'  est  tout  ""  ,  renommant  l'  animatrice  "" Maizena  Baratin  ""  .",maizena,nom,maizena,"""","""",PUNCT,animatrice,animateur,ADJ,l',le,DET,renommant,renommer,VERB,",",",",PUNCT,Baratin,Baratin,PROPN,"""","""",PUNCT,.,.,PUNCT,,,,,,,2016-04-14,2016,2010,ADJ PUNCT Maizena PROPN PUNCT,PUNCT Maizena PROPN,ADJ PUNCT Maizena,DET ADJ PUNCT Maizena,VERB DET ADJ PUNCT Maizena,Maizena PROPN PUNCT,Maizena PROPN PUNCT PUNCT,,"animateur "" Maizena Baratin """,""" Maizena Baratin","animateur "" Maizena","le animateur "" Maizena","renommer le animateur "" Maizena","Maizena Baratin ""","Maizena Baratin "" .",
http://www.metronews.fr/people/la-prison-la-cavale-la-tele-ce-qu-on-apprend-dans-trop-vite-la-bio-de-nabilla/mpdn%21v0Hr07DW6sMK6/,metronews.fr,2016-04-14,France,Maizena/NAM/Maizena,"Son  expérience  pour  Le  Supplément  avec  Maïtena  Biraben  qu'  elle  surnomme  "" Maizena  Baratin  ""  ,  ou  encore  ""  cloche  à  merde  ""  ""  vautour  ""  vire  à  l'  exécution  publique  .",maizena,nam,maizena,"""","""",PUNCT,surnomme,surnommer,VERB,elle,elle,PRON,qu',que,PRON,Biraben,Biraben,PROPN,Baratin,Baratin,PROPN,"""","""",PUNCT,",",",",PUNCT,ou,ou,CONJ,encore,encore,ADV,2016-04-14,2016,2010,VERB PUNCT Maizena PROPN PUNCT,PUNCT Maizena PROPN,VERB PUNCT Maizena,PRON VERB PUNCT Maizena,PRON PRON VERB PUNCT Maizena,Maizena PROPN PUNCT,Maizena PROPN PUNCT PUNCT,Maizena PROPN PUNCT PUNCT CONJ,"surnommer "" Maizena Baratin """,""" Maizena Baratin","surnommer "" Maizena","elle surnommer "" Maizena","que elle surnommer "" Maizena","Maizena Baratin ""","Maizena Baratin "" ,","Maizena Baratin "" , ou"
http://www.madmoizelle.com/recette-tacos-poulet-frit-552737,madmoizelle.com,2016-05-06,===NONE===,Maizena/NOM/Maizena,2  gros  blancs  de  poulet  3  grosses  cuillères  à  soupe  de  fécule  de Maizena  3  grosses  cuillères  à  soupe  de  farine  4  galettes  de  blé  1  moitié  d'  oignon  rouge  1  peu  de  basilic  séché  1  peu  d'  estragon  séché  1  peu  de  poivre  1  peu  de  sel  1  peu  de  salade  style  bien  croquante  pour  la  fraîcheur,maizena,nom,maizena,de,de,ADP,fécule,fécule,NOUN,de,de,ADP,soupe,soupe,NOUN,à,à,ADP,3,@card@,ADJ,grosses,gros,ADJ,cuillères,cuillère,NOUN,à,à,ADP,soupe,soupe,NOUN,2016-05-06,2016,2010,NOUN ADP Maizena ADJ ADJ,ADP Maizena ADJ,NOUN ADP Maizena,ADP NOUN ADP Maizena,NOUN ADP NOUN ADP Maizena,Maizena ADJ ADJ,Maizena ADJ ADJ NOUN,Maizena ADJ ADJ NOUN ADP,fécule de Maizena @card@ gros,de Maizena @card@,fécule de Maizena,de fécule de Maizena,soupe de fécule de Maizena,Maizena @card@ gros,Maizena @card@ gros cuillère,Maizena @card@ gros cuillère à
http://www.madmoizelle.com/recette-tacos-poulet-frit-552737,madmoizelle.com,2016-05-06,===NONE===,Maizena/NOM/Maizena,"Pendant  ce  temps  ,  remplissez  une  assiette  creuse  de  farine  ,  de Maizena  ,  d'  une  grosse  pincée  de  poivre  ,  de  basilic  et  d'  estragon  .",maizena,nom,maizena,de,de,ADP,",",",",PUNCT,farine,farine,NOUN,de,de,ADP,creuse,creux,ADJ,",",",",PUNCT,d',de,ADP,une,un,DET,grosse,gros,ADJ,pincée,pincée,NOUN,2016-05-06,2016,2010,PUNCT ADP Maizena PUNCT ADP,ADP Maizena PUNCT,PUNCT ADP Maizena,NOUN PUNCT ADP Maizena,ADP NOUN PUNCT ADP Maizena,Maizena PUNCT ADP,Maizena PUNCT ADP DET,Maizena PUNCT ADP DET ADJ,", de Maizena , de","de Maizena ,",", de Maizena","farine , de Maizena","de farine , de Maizena","Maizena , de","Maizena , de un","Maizena , de un gros"
https://www.francebleu.fr/infos/societe/la-tarte-aux-myrtilles-produit-star-dans-les-vosges-des-vacanciers-et-des-randonneurs-1471543309,francebleu.fr,2016-08-18,France,Maizena/NOM/Maizena,Mais  aussi  une  peu  de Maizena  pour  compacter  le  tout  .,maizena,nom,maizena,de,de,ADP,peu,peu,ADV,une,un,DET,aussi,aussi,ADV,Mais,mais,CONJ,pour,pour,ADP,compacter,compacter,VERB,le,le,DET,tout,tout,NOUN,.,.,PUNCT,2016-08-18,2016,2010,ADV ADP Maizena ADP VERB,ADP Maizena ADP,ADV ADP Maizena,DET ADV ADP Maizena,ADV DET ADV ADP Maizena,Maizena ADP VERB,Maizena ADP VERB DET,Maizena ADP VERB DET NOUN,peu de Maizena pour compacter,de Maizena pour,peu de Maizena,un peu de Maizena,aussi un peu de Maizena,Maizena pour compacter,Maizena pour compacter le,Maizena pour compacter le tout
http://www.huffingtonpost.fr/2016/08/19/venezuela-penuries-facebook_n_11603436.html?utm_hp_ref=france&ir=France,huffingtonpost.fr,2016-08-19,France,maizena/NOM/maizena,"Faire  cuire  les  pommes  de  terre  ,  mélanger  avec  le  fromage  et  la maizena  ,  former  les  arepas  et  les  faire  cuire  à  la  poêle  .",maizena,nom,maizena,la,le,DET,et,et,CONJ,fromage,fromage,NOUN,le,le,DET,avec,avec,ADP,",",",",PUNCT,former,former,VERB,les,le,DET,arepas,arepas,NOUN,et,et,CONJ,2016-08-19,2016,2010,CONJ DET Maizena PUNCT VERB,DET Maizena PUNCT,CONJ DET Maizena,NOUN CONJ DET Maizena,DET NOUN CONJ DET Maizena,Maizena PUNCT VERB,Maizena PUNCT VERB DET,Maizena PUNCT VERB DET NOUN,"et le Maizena , former","le Maizena ,",et le Maizena,fromage et le Maizena,le fromage et le Maizena,"Maizena , former","Maizena , former le","Maizena , former le arepas"
