url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.leberry.fr/cher/actualite/pays/cher-nord/2013/12/31/les-mementos_1820578.html,leberry.fr,2014-01-01,France,mémentos/NOM/mémento,<doc uri=http://www.leberry.fr/cher/actualite/pays/cher-nord/2013/12/31/les-mementos_1820578.html website=leberry.fr date=2014-01-01 source_country=France> /le/DET:ART mémentos ,mémentos,nom,mémento,Les,le,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-01,2014,2010,,,,,,,,,,,,,,,,
http://www.lavoixdunord.fr/region/flandre-la-ceremonie-des-voeux-un-exercice-perilleux-ia18b0n1831319?xtor=RSS-2,lavoixdunord.fr,2014-01-08,France,mémentos/NOM/mémento,"""  La  préfecture  du  Nord  met  également  à  disposition  des  candidats  des mémentos  pour  rappeler  le  cadre  juridique  des  élections  .",mémentos,nom,mémento,des,du,ADP DET,candidats,candidat,NOUN,des,du,ADP DET,disposition,disposition,NOUN,à,à,ADP,pour,pour,ADP,rappeler,rappeler,VERB,le,le,DET,cadre,cadre,NOUN,juridique,juridique,ADJ,2014-01-08,2014,2010,NOUN ADP DET Mentos ADP VERB,ADP DET Mentos ADP,NOUN ADP DET Mentos,ADP DET NOUN ADP DET Mentos,NOUN ADP DET NOUN ADP DET Mentos,Mentos ADP VERB,Mentos ADP VERB DET,Mentos ADP VERB DET NOUN,candidat du Mentos pour rappeler,du Mentos pour,candidat du Mentos,du candidat du Mentos,disposition du candidat du Mentos,Mentos pour rappeler,Mentos pour rappeler le,Mentos pour rappeler le cadre
http://www.lepoint.fr/societe/espagne-quand-les-aveugles-deviennent-vendeurs-de-billets-de-loterie-21-01-2014-1782528_23.php,lepoint.fr,2014-01-22,France,pigmentosa/VER:simp/pigmentosa,"Je  ne  sais  pas  ce  que  je  serais  devenu  sans  la  ONCE  ""  ,  témoigne  cet  homme  de  46  ans  ,  atteint  de  retinitis pigmentosa  ,  une  maladie  des  yeux  congénitale  et  dégénérative  ,  qui  l'  a  peu  à  peu  rendu  aveugle  après  qu'  il  a  quitté  l'  école  secondaire  .",pigmentosa,ver:simp,pigmentosa,retinitis,retinitis,NOUN,de,de,ADP,atteint,atteindre,VERB,",",",",PUNCT,ans,an,NOUN,",",",",PUNCT,une,un,DET,maladie,maladie,NOUN,des,du,ADP DET,yeux,œil,NOUN,2014-01-22,2014,2010,ADP NOUN Mentos PUNCT DET,NOUN Mentos PUNCT,ADP NOUN Mentos,VERB ADP NOUN Mentos,PUNCT VERB ADP NOUN Mentos,Mentos PUNCT DET,Mentos PUNCT DET NOUN,Mentos PUNCT DET NOUN ADP DET,"de retinitis Mentos , un","retinitis Mentos ,",de retinitis Mentos,atteindre de retinitis Mentos,", atteindre de retinitis Mentos","Mentos , un","Mentos , un maladie","Mentos , un maladie du"
http://bourse.lesechos.fr/infos-conseils-boursiers/infos-conseils-valeurs/infos/total-cede-ses-15-d-un-bloc-offshore-en-angola-pour-750-mlns-948316.php,lesechos.fr,2014-02-04,France,Investimentos/NAM/Investimentos,"Le  bloc  est  aujourd  '  hui  opéré  par  Eni  (  35  %  )  aux  côtés  de  Total  (  15  %  )  ,  Sonangol  (  15  %  )  ,  SSI  (  filiale  de  Sinopec  et  Sonangol  ,  25  %  )  ,  Statoil  (  5  %  )  et  Falcon  Oil  Angola Investimentos  (  5  %  )  . </doc>",investimentos,nam,investimentos,Angola,Angola,PROPN,Oil,Oil,PROPN,Falcon,Falcon,PROPN,et,et,CONJ,),),PUNCT,(,(,PUNCT,5,@card@,ADJ,%,%,SYM,),),PUNCT,.,.,PUNCT,2014-02-04,2014,2010,PROPN PROPN Mentos PUNCT ADJ,PROPN Mentos PUNCT,PROPN PROPN Mentos,PROPN PROPN PROPN Mentos,CONJ PROPN PROPN PROPN Mentos,Mentos PUNCT ADJ,Mentos PUNCT ADJ SYM,Mentos PUNCT ADJ SYM PUNCT,Oil Angola Mentos ( @card@,Angola Mentos (,Oil Angola Mentos,Falcon Oil Angola Mentos,et Falcon Oil Angola Mentos,Mentos ( @card@,Mentos ( @card@ %,Mentos ( @card@ % )
http://www.leberry.fr/cher/actualite/pays/cher-nord/2014/02/15/les-mementos_1874166.html,leberry.fr,2014-02-15,France,mémentos/NOM/mémento,<doc uri=http://www.leberry.fr/cher/actualite/pays/cher-nord/2014/02/15/les-mementos_1874166.html website=leberry.fr date=2014-02-15 source_country=France> /le/DET:ART mémentos ,mémentos,nom,mémento,Les,le,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-02-15,2014,2010,,,,,,,,,,,,,,,,
http://www.lapresse.ca/voyage/destinations/europe/france/201402/17/01-4739697-deux-jours-pour-decouvrir-les-grottes-francaises.php,lapresse.ca,2014-02-17,Canada,Pigmentosum/NAM/Pigmentosum,"Une  partie  des  bénéfices  de  ces  Journées  sera  reversée  à  l'  association  Les  Enfants  de  la  Lune  ,  vouée  à  aider  les  enfants  atteints  d'  une  maladie  génétique  rare  qui  les  contraint  à  se  cacher  de  la  lumière  du  jour  (  la  Xeroderma Pigmentosum  )  .",pigmentosum,nam,pigmentosum,Xeroderma,Xeroderma,PROPN,la,le,DET,(,(,PUNCT,jour,jour,NOUN,du,du,ADP DET,),),PUNCT,.,.,PUNCT,,,,,,,,,,2014-02-17,2014,2010,DET PROPN Mentos PUNCT PUNCT,PROPN Mentos PUNCT,DET PROPN Mentos,PUNCT DET PROPN Mentos,NOUN PUNCT DET PROPN Mentos,Mentos PUNCT PUNCT,,,le Xeroderma Mentos ) .,Xeroderma Mentos ),le Xeroderma Mentos,( le Xeroderma Mentos,jour ( le Xeroderma Mentos,Mentos ) .,,
http://www.lemonde.fr/economie/article/2014/02/19/liste-de-listes_4369182_3234.html#mf_sid%3D927491854,lemonde.fr,2014-02-19,France,mémentos/NOM/mémento,"Nous  sommes  nombreux  à  élaborer  listes  ,  pense-bêtes  et mémentos  aux  natures  diverses  et  variées  ,  nous  soumettant  à  la  ""  listocratie  ""  ,  définie  par  Maïtis  et  Florence  comme  le  ""  pouvoir  des  listes  ""  .",mémentos,nom,mémento,et,et,CONJ,pense-bêtes,pense-bête,NOUN,",",",",PUNCT,listes,liste,NOUN,élaborer,élaborer,VERB,aux,au,ADP DET,natures,nature,NOUN,diverses,divers,ADJ,et,et,CONJ,variées,varié,ADJ,2014-02-19,2014,2010,NOUN CONJ Mentos ADP DET NOUN,CONJ Mentos ADP DET,NOUN CONJ Mentos,PUNCT NOUN CONJ Mentos,NOUN PUNCT NOUN CONJ Mentos,Mentos ADP DET NOUN,Mentos ADP DET NOUN ADJ,Mentos ADP DET NOUN ADJ CONJ,pense-bête et Mentos au nature,et Mentos au,pense-bête et Mentos,", pense-bête et Mentos","liste , pense-bête et Mentos",Mentos au nature,Mentos au nature divers,Mentos au nature divers et
http://www.lesechos.fr/economie-politique/monde/actu/afp-00586308-bresil-hausse-de-0-25-du-taux-d-interet-directeur-a-10-75-653313.php?xtor=RSS-2103,lesechos.fr,2014-02-27,France,Investimentos/NAM/Investimentos,"Avec  cette  mesure  ,  la  Banque  attend  une  réaction  des  marchés  ""  ,  a  expliqué  à  l'  AFP  Marcelo  Pereira  ,  analyste  de  TAG Investimentos  .",investimentos,nam,investimentos,TAG,TAG,PROPN,de,de,ADP,analyste,analyste,NOUN,",",",",PUNCT,Pereira,Pereira,PROPN,.,.,PUNCT,,,,,,,,,,,,,2014-02-27,2014,2010,,PROPN Mentos PUNCT,ADP PROPN Mentos,NOUN ADP PROPN Mentos,PUNCT NOUN ADP PROPN Mentos,,,,,TAG Mentos .,de TAG Mentos,analyste de TAG Mentos,", analyste de TAG Mentos",,,
http://bourse.lesechos.fr/forex/infos-et-analyses/bresil-le-cycle-de-hausse-des-taux-bientot-en-bout-de-course-954251.php,lesechos.fr,2014-02-27,France,Investimentos/NAM/Investimentos,"""  La  banque  devient  plus  circonspecte  car  elle  a  le  sentiment  que  l'  activité  économique  risque  de  ralentir  beaucoup  en  2014  ""  ,  dit  Andre  Perfeito  ,  chef  économiste  de  Gradual Investimentos  .",investimentos,nam,investimentos,Gradual,Gradual,PROPN,de,de,ADP,économiste,économiste,NOUN,chef,chef,NOUN,",",",",PUNCT,.,.,PUNCT,,,,,,,,,,,,,2014-02-27,2014,2010,,PROPN Mentos PUNCT,ADP PROPN Mentos,NOUN ADP PROPN Mentos,NOUN NOUN ADP PROPN Mentos,,,,,Gradual Mentos .,de Gradual Mentos,économiste de Gradual Mentos,chef économiste de Gradual Mentos,,,
http://www.lematindz.net/news/13746-vos-bilans-parlons-en-m-sellal.html,lematindz.net,2014-02-27,Algeria,divertimentos/NOM/divertimento,"Avec  l'  annonce  officielle  de  la  4  ème  mandature  de  Bouteflika  à  la  Présidence  de  la  RADP  ,  l'  Algérie  vient  d'  entrer  de  plain-pied  dans  le  tragi-comique  politique  ,  de  l'  hilarité  ,  à  l'  exception  atténuée  des  vaudevilles  politiques  africains  de  naguère  ,  du  peu  regretté  empereur  Bokassa  ou  de  feu  Mobutu  Sézé  Zekkou  dont  les  miasmes  et  fantasmes  sont  un  peu  comparables  et  sûrement  en  deçà  des divertimentos  et  caprices  du  sieur  Bouteflika  régnant  .",divertimentos,nom,divertimento,des,du,ADP DET,deçà,deçà,ADV,en,en,ADP,sûrement,sûrement,ADV,et,et,CONJ,et,et,CONJ,caprices,caprice,NOUN,du,du,ADP DET,sieur,sieur,NOUN,Bouteflika,Bouteflika,NOUN,2014-02-27,2014,2010,ADV ADP DET Mentos CONJ NOUN,ADP DET Mentos CONJ,ADV ADP DET Mentos,ADP ADV ADP DET Mentos,ADV ADP ADV ADP DET Mentos,Mentos CONJ NOUN,Mentos CONJ NOUN ADP DET,Mentos CONJ NOUN ADP DET NOUN,deçà du Mentos et caprice,du Mentos et,deçà du Mentos,en deçà du Mentos,sûrement en deçà du Mentos,Mentos et caprice,Mentos et caprice du,Mentos et caprice du sieur
