url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.internetactu.net/2014/01/16/a-lire-ailleurs-du-10-au-16-janvier-2014/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Binternetactu%252FbcmJ%2B%2528InternetActu.net%2529,internetactu.net,2014-01-16,===NONE===,Mercadona/NAM/Mercadona,"S'  ils  sont  mieux  formés  ,  mieux  payés  ,  s'  ils  connaissent  mieux  les  goûts  et  demandes  des  clients  ,  ils  vendent  plus  ,  comme  cela  commence  à  être  le  cas  dans  certaines  chaînes  comme  Costco  ou Mercadona  ...",mercadona,nam,mercadona,ou,ou,CONJ,Costco,Costco,PROPN,comme,comme,CONJ,chaînes,chaîne,NOUN,certaines,certain,PRON,...,...,PUNCT,,,,,,,,,,,,,2014-01-16,2014,2010,,CONJ Mercadona PUNCT,PROPN CONJ Mercadona,CONJ PROPN CONJ Mercadona,NOUN CONJ PROPN CONJ Mercadona,,,,,ou Mercadona ...,Costco ou Mercadona,comme Costco ou Mercadona,chaîne comme Costco ou Mercadona,,,
http://www.zonebourse.com/actualite-bourse/Codic-International--Activite-du-3eme-trimestre-20132014--18125579/,zonebourse.com,2014-03-19,===NONE===,Mercadona/NAM/Mercadona,"En  Espagne  ,  la  vente  du  terrain  de  Villaverde  (  Madrid  )  à  un  distributeur  national  , Mercadona  ,  a  généré  un  chiffre  d'  affaires  de  5,25  M  €  .",mercadona,nam,mercadona,",",",",PUNCT,national,national,ADJ,distributeur,distributeur,NOUN,un,un,DET,à,à,ADP,",",",",PUNCT,a,avoir,VERB,généré,générer,VERB,un,un,DET,chiffre,chiffre,NOUN,2014-03-19,2014,2010,ADJ PUNCT Mercadona PUNCT VERB,PUNCT Mercadona PUNCT,ADJ PUNCT Mercadona,NOUN ADJ PUNCT Mercadona,DET NOUN ADJ PUNCT Mercadona,Mercadona PUNCT VERB,Mercadona PUNCT VERB VERB,Mercadona PUNCT VERB VERB DET,"national , Mercadona , avoir",", Mercadona ,","national , Mercadona","distributeur national , Mercadona","un distributeur national , Mercadona","Mercadona , avoir","Mercadona , avoir générer","Mercadona , avoir générer un"
http://www.lesechos.fr/industrie-services/conso-distribution/0204074463407-senoble-negocie-la-vente-de-ses-activites-espagnoles-1082471.php#xtor%3DRSS-2103,lesechos.fr,2015-01-12,France,Mercadona/NAM/Mercadona,"Ces  deux  usines  produisent  200.000  tonnes  de  produits  laitiers  et  de  desserts  sous  marque  de  distributeur  ,  essentiellement  commercialisés  par Mercadona  ,  le  leader  de  la  distribution  en  Espagne  .",mercadona,nam,mercadona,par,par,ADP,commercialisés,commercialiser,VERB,essentiellement,essentiellement,ADV,",",",",PUNCT,distributeur,distributeur,NOUN,",",",",PUNCT,le,le,DET,leader,leader,NOUN,de,de,ADP,la,le,DET,2015-01-12,2015,2010,VERB ADP Mercadona PUNCT DET,ADP Mercadona PUNCT,VERB ADP Mercadona,ADV VERB ADP Mercadona,PUNCT ADV VERB ADP Mercadona,Mercadona PUNCT DET,Mercadona PUNCT DET NOUN,Mercadona PUNCT DET NOUN ADP,"commercialiser par Mercadona , le","par Mercadona ,",commercialiser par Mercadona,essentiellement commercialiser par Mercadona,", essentiellement commercialiser par Mercadona","Mercadona , le","Mercadona , le leader","Mercadona , le leader de"
http://www.lesechos.fr/journal20150317/lec2_industrie_et_services/0204229342631-klepierre-parie-sur-la-reprise-en-espagne-1102608.php#xtor%3DRSS-2242,lesechos.fr,2015-03-17,France,Mercadona/NAM/Mercadona,"Le  centre  compte  parmi  ses  230  boutiques  les  principales  enseignes  d'  Inditex  (  Zara  ,  Oysho  ...  )  ,  Primark  ,  ou  encore  un  supermarché Mercadona  ,  ainsi  que  des  salles  de  cinéma  Yelmo  .",mercadona,nam,mercadona,supermarché,supermarché,NOUN,un,un,DET,encore,encore,ADV,ou,ou,CONJ,",",",",PUNCT,",",",",PUNCT,ainsi,ainsi,CONJ,que,que,CONJ,des,du,ADP DET,salles,salle,NOUN,2015-03-17,2015,2010,DET NOUN Mercadona PUNCT CONJ,NOUN Mercadona PUNCT,DET NOUN Mercadona,ADV DET NOUN Mercadona,CONJ ADV DET NOUN Mercadona,Mercadona PUNCT CONJ,Mercadona PUNCT CONJ CONJ,Mercadona PUNCT CONJ CONJ ADP DET,"un supermarché Mercadona , ainsi","supermarché Mercadona ,",un supermarché Mercadona,encore un supermarché Mercadona,ou encore un supermarché Mercadona,"Mercadona , ainsi","Mercadona , ainsi que","Mercadona , ainsi que du"
http://www.zonebourse.com/KLEPIERRE-4665/actualite/KLEPIERRE--Klepierre-se-porte-acquereur-de-Plenilunio-un-des-plus-importants-centres-commerciaux-d-20064080/,zonebourse.com,2015-03-21,===NONE===,Mercadona/NAM/Mercadona,"§ Mercadona  (  qui  y  possède  l'  un  de  ses  magasins  les  plus  performants  d'  Espagne  )  ,  H  &  M  ,  Mango  ,",mercadona,nam,mercadona,§,§,NOUN,,,,,,,,,,,,,(,(,PUNCT,qui,qui,PRON,y,y,PRON,possède,posséder,VERB,l',le,DET,2015-03-21,2015,2010,,NOUN Mercadona PUNCT,,,,Mercadona PUNCT PRON,Mercadona PUNCT PRON PRON,Mercadona PUNCT PRON PRON VERB,,§ Mercadona (,,,,Mercadona ( qui,Mercadona ( qui y,Mercadona ( qui y posséder
http://www.paris-normandie.fr/detail_article/articles/4003346/breves%2Bl-essentiel/crise-du-lait-en-espagne-les-eleveurs-bloquent-les-laiteries,paris-normandie.fr,2015-09-15,France,Mercadona/NAM/Mercadona,"La  chaîne  de  supermarchés Mercadona  ,  qui  compte  1.500  points  de  vente  en  Espagne  ,  a  annoncé  lundi  s'  être  entendue  avec  les  3.100  éleveurs  qui  la  fournissent  en  lait  .",mercadona,nam,mercadona,supermarchés,supermarché,NOUN,de,de,ADP,chaîne,chaîne,NOUN,La,le,DET,,,,",",",",PUNCT,qui,qui,PRON,compte,compter,VERB,1.500,@card@,ADJ,points,point,NOUN,2015-09-15,2015,2010,ADP NOUN Mercadona PUNCT PRON,NOUN Mercadona PUNCT,ADP NOUN Mercadona,NOUN ADP NOUN Mercadona,DET NOUN ADP NOUN Mercadona,Mercadona PUNCT PRON,Mercadona PUNCT PRON VERB,Mercadona PUNCT PRON VERB ADJ,"de supermarché Mercadona , qui","supermarché Mercadona ,",de supermarché Mercadona,chaîne de supermarché Mercadona,le chaîne de supermarché Mercadona,"Mercadona , qui","Mercadona , qui compter","Mercadona , qui compter @card@"
http://www.lesechos.fr/pme-regions/actualite-pme/021417808479-europe-snacks-croque-sibell-le-roi-de-la-chips-aromatisee-1167389.php#xtor%3DRSS-2242,lesechos.fr,2015-10-20,France,Mercadona/NAM/Mercadona,Europe  Snacks  a  signé  en  2015  un  contrat  avec  la  chaîne  espagnole  de  supermarchés Mercadona  (  1.100  supermarchés  )  . </doc>,mercadona,nam,mercadona,supermarchés,supermarché,NOUN,de,de,ADP,espagnole,espagnol,ADJ,chaîne,chaîne,NOUN,la,le,DET,(,(,PUNCT,1.100,@card@,ADJ,supermarchés,supermarché,NOUN,),),PUNCT,.,.,PUNCT,2015-10-20,2015,2010,ADP NOUN Mercadona PUNCT ADJ,NOUN Mercadona PUNCT,ADP NOUN Mercadona,ADJ ADP NOUN Mercadona,NOUN ADJ ADP NOUN Mercadona,Mercadona PUNCT ADJ,Mercadona PUNCT ADJ NOUN,Mercadona PUNCT ADJ NOUN PUNCT,de supermarché Mercadona ( @card@,supermarché Mercadona (,de supermarché Mercadona,espagnol de supermarché Mercadona,chaîne espagnol de supermarché Mercadona,Mercadona ( @card@,Mercadona ( @card@ supermarché,Mercadona ( @card@ supermarché )
http://www.sports.fr/football/divers/articles/quand-sergio-ramos-valide-son-sosie-1367760/,sports.fr,2015-10-28,France,Mercadona/NAM/Mercadona,"Alors  quâune  internaute  lui  faisait  remarquer  sa  troublante  ressemblance  avec  un  agent  de  sĂŠcuritĂŠ  dâun  supermarchĂŠ  de  Tenerife  ,  le  dĂŠfenseur  du  Real  Madrid  a  rĂŠponduÂ  avec  humour  :  ""  Je  tiens  officiellement  Ă  dĂŠmentir  ma  signature  chez Mercadona  .",mercadona,nam,mercadona,chez,chez,ADP,signature,signature,NOUN,ma,mon,DET,dĂŠmentir,dĂŠmentir,VERB,Ă,Ă,VERB,.,.,PUNCT,,,,,,,,,,,,,2015-10-28,2015,2010,,ADP Mercadona PUNCT,NOUN ADP Mercadona,DET NOUN ADP Mercadona,VERB DET NOUN ADP Mercadona,,,,,chez Mercadona .,signature chez Mercadona,mon signature chez Mercadona,dĂŠmentir mon signature chez Mercadona,,,
http://www.maxifoot.fr/football-rss227094/real-ramos.php,maxifoot.fr,2015-10-31,France,Mercadona/NAM/Mercadona,"""  Je  n'  ai  pas  été  embauché  chez Mercadona  ,  je  démens  officiellement  ""  ,  a-t-il  répondu  sur  Twitter  . </doc>",mercadona,nam,mercadona,chez,chez,ADP,embauché,embaucher,VERB,été,être,VERB,pas,pas,ADV,ai,avoir,VERB,",",",",PUNCT,je,je,PRON,démens,démentir,VERB,officiellement,officiellement,ADV,"""","""",PUNCT,2015-10-31,2015,2010,VERB ADP Mercadona PUNCT PRON,ADP Mercadona PUNCT,VERB ADP Mercadona,VERB VERB ADP Mercadona,ADV VERB VERB ADP Mercadona,Mercadona PUNCT PRON,Mercadona PUNCT PRON VERB,Mercadona PUNCT PRON VERB ADV,"embaucher chez Mercadona , je","chez Mercadona ,",embaucher chez Mercadona,être embaucher chez Mercadona,pas être embaucher chez Mercadona,"Mercadona , je","Mercadona , je démentir","Mercadona , je démentir officiellement"
http://www.lesechos.fr/monde/europe/021451910583-ca-se-passe-en-europe-le-pape-francois-impuissant-a-mettre-de-lordre-dans-les-finances-vaticanes-1172125.php#xtor%3DRSS-2219,lesechos.fr,2015-11-04,France,Mercadona/NAM/Mercadona,"Amancio  Ortega  reste  néanmoins  l'  indétrônable  première  fortune  d'  Espagne  ,  devant  la  famille  Del  Pino  ,  premier  actionnaire  du  groupe  de  BTP  Ferrovial  ,  et  devant  le  fondateur  de  la  chaîne  de  supermarchés Mercadona  ,  Juan  Roig  .",mercadona,nam,mercadona,supermarchés,supermarché,NOUN,de,de,ADP,chaîne,chaîne,NOUN,la,le,DET,de,de,ADP,",",",",PUNCT,Juan,Juan,PROPN,Roig,Roig,PROPN,.,.,PUNCT,,,,2015-11-04,2015,2010,ADP NOUN Mercadona PUNCT PROPN,NOUN Mercadona PUNCT,ADP NOUN Mercadona,NOUN ADP NOUN Mercadona,DET NOUN ADP NOUN Mercadona,Mercadona PUNCT PROPN,Mercadona PUNCT PROPN PROPN,Mercadona PUNCT PROPN PROPN PUNCT,"de supermarché Mercadona , Juan","supermarché Mercadona ,",de supermarché Mercadona,chaîne de supermarché Mercadona,le chaîne de supermarché Mercadona,"Mercadona , Juan","Mercadona , Juan Roig","Mercadona , Juan Roig ."
