url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lematin.ch/economie/Denner-vend-du-Coca-tcheque-moins-cher/story/14777064,lematin.ch,2014-01-07,Switzerland,Nescafé/NOM/nescafé,Le  distributeur  l'  a  notamment  fait  il  y  a  une  année  avec  le Nescafé  Gold  du  géant  alimentaire  vaudois  Nestlé  et  par  des  produits  du  fabricant  italien  Ferrero  .,nescafé,nom,nescafé,le,le,DET,avec,avec,ADP,année,année,NOUN,une,un,DET,a,avoir,VERB,Gold,Gold,PROPN,du,du,ADP DET,géant,géant,NOUN,alimentaire,alimentaire,ADJ,vaudois,vaudois,ADJ,2014-01-07,2014,2010,ADP DET Nescafé PROPN ADP DET,DET Nescafé PROPN,ADP DET Nescafé,NOUN ADP DET Nescafé,DET NOUN ADP DET Nescafé,Nescafé PROPN ADP DET,Nescafé PROPN ADP DET NOUN,Nescafé PROPN ADP DET NOUN ADJ,avec le Nescafé Gold du,le Nescafé Gold,avec le Nescafé,année avec le Nescafé,un année avec le Nescafé,Nescafé Gold du,Nescafé Gold du géant,Nescafé Gold du géant alimentaire
http://www.lefigaro.fr/societes/2014/01/20/20005-20140120ARTFIG00294-nestle-ouvre-sa-premiere-boutique-kitkat-au-japon.php,lefigaro.fr,2014-01-20,France,Nescafé/NAM/Nescafé,"Le  jeu  en  vaut  la  chandelle  :  KitKat  ,  qui  a  vu  le  jour  en  Angleterre  il  y  a  près  de  80  ans  (  1935  )  ,  fait  partie  des  marques  de  Nestlé  dont  le  chiffre  d'  affaires  se  compte  en  milliards  de  francs  suisses  ,  aux  côtés  de Nescafé  ,  Nespresso  ,  Maggi  ,  Herta  ...",nescafé,nam,nescafé,de,de,ADP,côtés,côté,NOUN,aux,au,ADP DET,",",",",PUNCT,suisses,suisse,ADJ,",",",",PUNCT,Nespresso,Nespresso,PROPN,",",",",PUNCT,Maggi,Maggi,PROPN,",",",",PUNCT,2014-01-20,2014,2010,NOUN ADP Nescafé PUNCT PROPN,ADP Nescafé PUNCT,NOUN ADP Nescafé,ADP DET NOUN ADP Nescafé,PUNCT ADP DET NOUN ADP Nescafé,Nescafé PUNCT PROPN,Nescafé PUNCT PROPN PUNCT,Nescafé PUNCT PROPN PUNCT PROPN,"côté de Nescafé , Nespresso","de Nescafé ,",côté de Nescafé,au côté de Nescafé,", au côté de Nescafé","Nescafé , Nespresso","Nescafé , Nespresso ,","Nescafé , Nespresso , Maggi"
http://www.fmliberte.com/politique-leftmenu-11/2422-benin-nomination-dans-les-cabinets-ministeriels--yayi-boni-promeut-la-fraude-et-la-corruption-komi-koutche-dit-non-,fmliberte.com,2014-01-28,===NONE===,Nescafé/NAM/Nescafé,"La  lutte  contre  la  corruption  est  ainsi  en  marche  dans  la  ""  Démocratie Nescafé  ""  de  Yayi  Boni  pour  lui  emprunter  l'  expression  .",nescafé,nam,nescafé,Démocratie,Démocratie,PROPN,"""","""",PUNCT,la,le,DET,dans,dans,ADP,marche,marche,NOUN,"""","""",PUNCT,de,de,ADP,Yayi,Yayi,PROPN,Boni,Boni,PROPN,pour,pour,ADP,2014-01-28,2014,2010,PUNCT PROPN Nescafé PUNCT ADP,PROPN Nescafé PUNCT,PUNCT PROPN Nescafé,DET PUNCT PROPN Nescafé,ADP DET PUNCT PROPN Nescafé,Nescafé PUNCT ADP,Nescafé PUNCT ADP PROPN,Nescafé PUNCT ADP PROPN PROPN,""" Démocratie Nescafé "" de","Démocratie Nescafé """,""" Démocratie Nescafé","le "" Démocratie Nescafé","dans le "" Démocratie Nescafé","Nescafé "" de","Nescafé "" de Yayi","Nescafé "" de Yayi Boni"
http://www.wort.lu/fr/view/greenpeace-trace-les-pesticides-et-les-ogm-chez-nos-marques-preferees-52f4cd50e4b083149d498529,wort.lu,2014-02-07,Luxembourg,Nescafé/NAM/Nescafé,"Mais  Greenpeace  décerne  aussi  des  bons  points  à  une  quinzaine  d'  autres  marques  ,  comme  Lipton  , Nescafé  ,  Loué  ,  Mousline  ou  Heineken  ,  qui  sont  sur  ""  la  bonne  voie  ""  selon  la  version  en  ligne  du  guide  .",nescafé,nam,nescafé,",",",",PUNCT,Lipton,Lipton,PROPN,comme,comme,CONJ,",",",",PUNCT,marques,marque,NOUN,",",",",PUNCT,Loué,Loué,PROPN,",",",",PUNCT,Mousline,Mousline,PROPN,ou,ou,CONJ,2014-02-07,2014,2010,PROPN PUNCT Nescafé PUNCT PROPN,PUNCT Nescafé PUNCT,PROPN PUNCT Nescafé,CONJ PROPN PUNCT Nescafé,PUNCT CONJ PROPN PUNCT Nescafé,Nescafé PUNCT PROPN,Nescafé PUNCT PROPN PUNCT,Nescafé PUNCT PROPN PUNCT PROPN,"Lipton , Nescafé , Loué",", Nescafé ,","Lipton , Nescafé","comme Lipton , Nescafé",", comme Lipton , Nescafé","Nescafé , Loué","Nescafé , Loué ,","Nescafé , Loué , Mousline"
http://bourse.lesechos.fr/infos-conseils-boursiers/infos-conseils-valeurs/infos/l-oreal-nestle-etudierait-les-voies-d-une-reduction-de-sa-part-949583.php,lesechos.fr,2014-02-08,France,Nescafé/NOM/nescafé,Certains  mettent  en  exergue  le  manque  de  synergies  entre  le Nescafé  et  les  crèmes  L'  Oréal  Paris  ou  la  difficulté  d'  une  offre  hostile  sur  un  fleuron  de  l'  industrie  française  .,nescafé,nom,nescafé,le,le,DET,entre,entre,ADP,synergies,synergie,NOUN,de,de,ADP,manque,manque,NOUN,et,et,CONJ,les,le,DET,crèmes,crème,NOUN,L',le,DET,Oréal,Oréal,PROPN,2014-02-08,2014,2010,ADP DET Nescafé CONJ DET,DET Nescafé CONJ,ADP DET Nescafé,NOUN ADP DET Nescafé,ADP NOUN ADP DET Nescafé,Nescafé CONJ DET,Nescafé CONJ DET NOUN,Nescafé CONJ DET NOUN DET,entre le Nescafé et le,le Nescafé et,entre le Nescafé,synergie entre le Nescafé,de synergie entre le Nescafé,Nescafé et le,Nescafé et le crème,Nescafé et le crème le
http://www.lefigaro.fr/societes/2014/02/13/20005-20140213ARTFIG00078-nestle-clot-une-annee-difficile.php,lefigaro.fr,2014-02-13,France,Nescafé/NAM/Nescafé,"""  Les  plates-formes  stratégiques  que  sont  l'  innovation  et  le  haut  de  gamme  ont  soutenu  notre  croissance  ,  avec Nescafé  Dolce  Gusto  et  la  confiserie  comme  principaux  contributeurs  ""  ,  note  Nestlé  .",nescafé,nam,nescafé,avec,avec,ADP,",",",",PUNCT,croissance,croissance,NOUN,notre,notre,DET,soutenu,soutenir,VERB,Dolce,Dolce,PROPN,Gusto,Gusto,PROPN,et,et,CONJ,la,le,DET,confiserie,confiserie,NOUN,2014-02-13,2014,2010,PUNCT ADP Nescafé PROPN PROPN,ADP Nescafé PROPN,PUNCT ADP Nescafé,NOUN PUNCT ADP Nescafé,DET NOUN PUNCT ADP Nescafé,Nescafé PROPN PROPN,Nescafé PROPN PROPN CONJ,Nescafé PROPN PROPN CONJ DET,", avec Nescafé Dolce Gusto",avec Nescafé Dolce,", avec Nescafé","croissance , avec Nescafé","notre croissance , avec Nescafé",Nescafé Dolce Gusto,Nescafé Dolce Gusto et,Nescafé Dolce Gusto et le
http://bourse.lefigaro.fr/indices-actions/actu-conseils/nestle-a-la-recherche-de-poles-de-croissance-982938,lefigaro.fr,2014-02-13,France,Nescafé/NAM/Nescafé,"Nestlé  ( Nescafé  ,  Maggi  ,  Nespresso  ,  KitKat  ...  )  ,  qui  a  enregistré  l'  an  passé  sa  plus  faible  croissance  en  quatre  ans  ,  s'  attend  à  ""  une  année  difficile  ""  .",nescafé,nam,nescafé,(,(,PUNCT,Nestlé,Nestlé,PROPN,,,,,,,,,,",",",",PUNCT,Maggi,Maggi,PROPN,",",",",PUNCT,Nespresso,Nespresso,PROPN,",",",",PUNCT,2014-02-13,2014,2010,PROPN PUNCT Nescafé PUNCT PROPN,PUNCT Nescafé PUNCT,PROPN PUNCT Nescafé,,,Nescafé PUNCT PROPN,Nescafé PUNCT PROPN PUNCT,Nescafé PUNCT PROPN PUNCT PROPN,"Nestlé ( Nescafé , Maggi","( Nescafé ,",Nestlé ( Nescafé,,,"Nescafé , Maggi","Nescafé , Maggi ,","Nescafé , Maggi , Nespresso"
http://www.lnc.nc/article/noumea/la-fievre-azonto-debarque,lnc.nc,2014-02-15,New Caledonia,Nescafé/NOM/nescafé,"A  l'  occasion  de  la  deuxième  édition  de  la Nescafé  Beach  Party  ,  une  cinquantaine  de  jeunes  ont  réalisé  une  performance  très  remarquée  ,  samedi  après-midi  ,  sur  la  plage  du  Méridien  .",nescafé,nom,nescafé,la,le,DET,de,de,ADP,édition,édition,NOUN,deuxième,deuxième,ADJ,la,le,DET,Beach,Beach,PROPN,Party,Party,PROPN,",",",",PUNCT,une,un,DET,cinquantaine,cinquantaine,NOUN,2014-02-15,2014,2010,ADP DET Nescafé PROPN PROPN,DET Nescafé PROPN,ADP DET Nescafé,NOUN ADP DET Nescafé,ADJ NOUN ADP DET Nescafé,Nescafé PROPN PROPN,Nescafé PROPN PROPN PUNCT,Nescafé PROPN PROPN PUNCT DET,de le Nescafé Beach Party,le Nescafé Beach,de le Nescafé,édition de le Nescafé,deuxième édition de le Nescafé,Nescafé Beach Party,"Nescafé Beach Party ,","Nescafé Beach Party , un"
http://www.lnc.nc/article/noumea/la-fievre-azonto-debarque,lnc.nc,2014-02-15,New Caledonia,Nescafé/NOM/nescafé,"En  à  peine  une  heure  ,  le  groupe  réuni  à  l'  occasion  de  la Nescafé  Beach  Party  a  mémorisé  les  déhanchés  dans  une  bonne  humeur  communicative  .",nescafé,nom,nescafé,la,le,DET,de,de,ADP,occasion,occasion,NOUN,l',le,DET,à,à,ADP,Beach,Beach,PROPN,Party,Party,PROPN,a,avoir,VERB,mémorisé,mémoriser,VERB,les,le,DET,2014-02-15,2014,2010,ADP DET Nescafé PROPN PROPN,DET Nescafé PROPN,ADP DET Nescafé,NOUN ADP DET Nescafé,DET NOUN ADP DET Nescafé,Nescafé PROPN PROPN,Nescafé PROPN PROPN VERB,Nescafé PROPN PROPN VERB VERB,de le Nescafé Beach Party,le Nescafé Beach,de le Nescafé,occasion de le Nescafé,le occasion de le Nescafé,Nescafé Beach Party,Nescafé Beach Party avoir,Nescafé Beach Party avoir mémoriser
http://www.lnc.nc/article/noumea/la-fievre-azonto-debarque,lnc.nc,2014-02-15,New Caledonia,Nescafé/NOM/nescafé,"La Nescafé  Beach  Party  est  effectivement  l'  un  des  rares  événements  ciblés  pour  les  15  -  25  ans  ,  un  public  particulièrement  exigeant  .",nescafé,nom,nescafé,La,le,DET,,,,,,,,,,,,,Beach,Beach,PROPN,Party,Party,PROPN,est,être,VERB,effectivement,effectivement,ADV,l',le,DET,2014-02-15,2014,2010,,DET Nescafé PROPN,,,,Nescafé PROPN PROPN,Nescafé PROPN PROPN VERB,Nescafé PROPN PROPN VERB ADV,,le Nescafé Beach,,,,Nescafé Beach Party,Nescafé Beach Party être,Nescafé Beach Party être effectivement
