url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.ladepeche.fr/article/2014/01/22/1800725-les-personnages-publicitaires-de-notre-enfance-nous-font-grossir.html,ladepeche.fr,2014-01-22,France,Nesquik/NAM/Nesquik,La  Vache  qui  rit  ;  Tony  le  tigre  Frosties  ;  Oum  le  dauphin  Galak  ;  Quicky  le  lapin Nesquik  ou  encore  le  gringo  Pepito  ...,nesquik,nam,nesquik,lapin,lapin,NOUN,le,le,DET,Quicky,Quicky,PROPN,;,;,PUNCT,Galak,Galak,PROPN,ou,ou,CONJ,encore,encore,ADV,le,le,DET,gringo,gringo,ADJ,Pepito,Pepito,NOUN,2014-01-22,2014,2010,DET NOUN Nesquik CONJ ADV,NOUN Nesquik CONJ,DET NOUN Nesquik,PROPN DET NOUN Nesquik,PUNCT PROPN DET NOUN Nesquik,Nesquik CONJ ADV,Nesquik CONJ ADV DET,Nesquik CONJ ADV DET ADJ,le lapin Nesquik ou encore,lapin Nesquik ou,le lapin Nesquik,Quicky le lapin Nesquik,; Quicky le lapin Nesquik,Nesquik ou encore,Nesquik ou encore le,Nesquik ou encore le gringo
http://www.lapresse.ca/vivre/gourmand/cuisine/201402/06/01-4736228-consommation-en-avoir-moins-au-meme-prix.php,lapresse.ca,2014-02-06,Canada,Nesquik/NAM/Nesquik,La  marque  Nestlé  a  décidé  de  changer  le  format  de  ses  bouteilles  de  sirop Nesquik  pour  préparer  le  lait  au  chocolat  .,nesquik,nam,nesquik,sirop,sirop,NOUN,de,de,ADP,bouteilles,bouteille,NOUN,ses,son,DET,de,de,ADP,pour,pour,CONJ,préparer,préparer,VERB,le,le,DET,lait,lait,NOUN,au,au,ADP DET,2014-02-06,2014,2010,ADP NOUN Nesquik CONJ VERB,NOUN Nesquik CONJ,ADP NOUN Nesquik,NOUN ADP NOUN Nesquik,DET NOUN ADP NOUN Nesquik,Nesquik CONJ VERB,Nesquik CONJ VERB DET,Nesquik CONJ VERB DET NOUN,de sirop Nesquik pour préparer,sirop Nesquik pour,de sirop Nesquik,bouteille de sirop Nesquik,son bouteille de sirop Nesquik,Nesquik pour préparer,Nesquik pour préparer le,Nesquik pour préparer le lait
http://www.terraeco.net/Encore-un-peu-de-cereales-avec-ton%2C54771.html,terraeco.net,2014-04-24,===NONE===,Nesquik/NAM/Nesquik,"Car  ,  comme  nous  le  rappelle  le  fabricant  de  Chocapic  (  37  %  de  sucre  )  ,  de Nesquik  (  30  %  de  sucre  )  ou  de  Crunch  en  céréales  (  36  %  de  sucre  )  ,  ""  l'  impact  de  cette  annonce  sera  moindre  en  France  que  dans  d'  autres  pays  ""  .",nesquik,nam,nesquik,de,de,ADP,",",",",PUNCT,),),PUNCT,sucre,sucre,NOUN,de,de,ADP,(,(,PUNCT,30,@card@,ADJ,%,%,SYM,de,de,ADP,sucre,sucre,NOUN,2014-04-24,2014,2010,PUNCT ADP Nesquik PUNCT ADJ,ADP Nesquik PUNCT,PUNCT ADP Nesquik,PUNCT PUNCT ADP Nesquik,NOUN PUNCT PUNCT ADP Nesquik,Nesquik PUNCT ADJ,Nesquik PUNCT ADJ SYM,Nesquik PUNCT ADJ SYM ADP,", de Nesquik ( @card@",de Nesquik (,", de Nesquik",") , de Nesquik","sucre ) , de Nesquik",Nesquik ( @card@,Nesquik ( @card@ %,Nesquik ( @card@ % de
http://www.franceinfo.fr/decryptage/nestle-un-empire-dans-mon-assiette-1394769-2014-04-23,franceinfo.fr,2014-04-24,France,Nesquik/NAM/Nesquik,"L'  internaute  répond  à  un  quiz  sur  des  produits  ultra  célèbres  ,  de Nesquik  à  Kit-Kat  en  passant  par  Nespresso  .",nesquik,nam,nesquik,de,de,ADP,",",",",PUNCT,célèbres,célèbre,ADJ,ultra,ultra,ADJ,produits,produit,NOUN,à,à,ADP,Kit-Kat,Kit-Kat,PROPN,en,en,ADP,passant,passant,NOUN,par,par,ADP,2014-04-24,2014,2010,PUNCT ADP Nesquik ADP PROPN,ADP Nesquik ADP,PUNCT ADP Nesquik,ADJ PUNCT ADP Nesquik,ADJ ADJ PUNCT ADP Nesquik,Nesquik ADP PROPN,Nesquik ADP PROPN ADP,Nesquik ADP PROPN ADP NOUN,", de Nesquik à Kit-Kat",de Nesquik à,", de Nesquik","célèbre , de Nesquik","ultra célèbre , de Nesquik",Nesquik à Kit-Kat,Nesquik à Kit-Kat en,Nesquik à Kit-Kat en passant
http://www.usinenouvelle.com/article/l-empire-nestle-decrypte-dans-un-webdoc.N257833?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Ba-la-une%2B%2528Usine%2BNouvelle%2B-%2BA%2Bla%2Bune%2529#xtor%3DRSS-215,usinenouvelle.com,2014-04-24,===NONE===,Nesquik/NAM/Nesquik,"En  cliquant  sur  du  cacao Nesquik  ,  une  capsule  Nespresso  ,  une  barre  de  Kit-kat  ou  encore  une  bouteille  de  Perrier  ,  un  quizz  est  proposé  en  guise  d'  introduction  avant  un  reportage  vidéo  ou  une  infographie  animée  abordant  des  thèmes  aussi  divers  que  l'  approvisionnement  en  matière  première  ,  la  stratégie  marketing  et  digitale  ou  le  lobbying  de  Nestlé  à  Bruxelles  .",nesquik,nam,nesquik,cacao,cacao,NOUN,du,du,ADP DET,sur,sur,ADP,cliquant,cliquer,VERB,En,en,PRON,",",",",PUNCT,une,un,DET,capsule,capsule,NOUN,Nespresso,Nespresso,PROPN,",",",",PUNCT,2014-04-24,2014,2010,ADP DET NOUN Nesquik PUNCT DET,NOUN Nesquik PUNCT,ADP DET NOUN Nesquik,ADP ADP DET NOUN Nesquik,VERB ADP ADP DET NOUN Nesquik,Nesquik PUNCT DET,Nesquik PUNCT DET NOUN,Nesquik PUNCT DET NOUN PROPN,"du cacao Nesquik , un","cacao Nesquik ,",du cacao Nesquik,sur du cacao Nesquik,cliquer sur du cacao Nesquik,"Nesquik , un","Nesquik , un capsule","Nesquik , un capsule Nespresso"
http://www.jeuneafrique.com/Article/JA2781p132.xml1/,jeuneafrique.com,2014-05-08,United States,Nesquik/NAM/Nesquik,"""  Mais  la  marque  souffrira  pourtant  plus  de  la  concurrence  des  Poulain  , Nesquik  et  autres  Ovomaltine  que  de  la  décolonisation  !  En  1960  ,  quand  de  nombreux  pays  d'  Afrique  accèdent  à  l'  indépendance  ,  l'  entreprise  reçoit  l'  oscar  de  la  publicité  .",nesquik,nam,nesquik,",",",",PUNCT,Poulain,Poulain,PROPN,des,du,ADP DET,concurrence,concurrence,NOUN,la,le,DET,et,et,CONJ,autres,autre,ADJ,Ovomaltine,Ovomaltine,PROPN,que,que,CONJ,de,de,ADP,2014-05-08,2014,2010,PROPN PUNCT Nesquik CONJ ADJ,PUNCT Nesquik CONJ,PROPN PUNCT Nesquik,ADP DET PROPN PUNCT Nesquik,NOUN ADP DET PROPN PUNCT Nesquik,Nesquik CONJ ADJ,Nesquik CONJ ADJ PROPN,Nesquik CONJ ADJ PROPN CONJ,"Poulain , Nesquik et autre",", Nesquik et","Poulain , Nesquik","du Poulain , Nesquik","concurrence du Poulain , Nesquik",Nesquik et autre,Nesquik et autre Ovomaltine,Nesquik et autre Ovomaltine que
http://www.marketwired.com/press-release/lexposition-conservation-des-aliments-de-la-science-on-en-mange-ouvre-ses-portes-au-1909762.htm,marketwired.com,2014-05-13,===NONE===,NESQUIK/NAM/NESQUIK,"Au  Canada  ,  Nestlé  fabrique  des  produits  dont  les  marques  sont  les  plus  reconnues  et  les  plus  appréciées  dans  le  monde  entier  ,  notamment  NESTLÉ  PROFESSIONAL  ,  STOUFFER  '  S  ,  CUISINE  MINCEUR  , NESQUIK  ,  NESTLÉ  BON  DÉPART  ,  POWERBAR  ,  HÄAGEN-DAZS  ,  KIT  KAT  ,  NESCAFÉ  ,  NESTLÉ  PURE  LIFE  ,  NESTLÉ  DRUMSTICK  et  Nestlé  Purina  BENEFUL  .",nesquik,nam,nesquik,",",",",PUNCT,MINCEUR,MINCEUR,PROPN,CUISINE,CUISINE,PROPN,",",",",PUNCT,S,S,NOUN,",",",",PUNCT,NESTLÉ,NESTLÉ,PROPN,BON,BON,PROPN,DÉPART,DÉPART,PROPN,",",",",PUNCT,2014-05-13,2014,2010,PROPN PUNCT Nesquik PUNCT PROPN,PUNCT Nesquik PUNCT,PROPN PUNCT Nesquik,PROPN PROPN PUNCT Nesquik,PUNCT PROPN PROPN PUNCT Nesquik,Nesquik PUNCT PROPN,Nesquik PUNCT PROPN PROPN,Nesquik PUNCT PROPN PROPN PROPN,"MINCEUR , Nesquik , NESTLÉ",", Nesquik ,","MINCEUR , Nesquik","CUISINE MINCEUR , Nesquik",", CUISINE MINCEUR , Nesquik","Nesquik , NESTLÉ","Nesquik , NESTLÉ BON","Nesquik , NESTLÉ BON DÉPART"
http://www.carevox.fr/forme-beaute/article/soin-des-cheveux-recettes?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BCarevox%2B%2528CareVox%2B%253A%2Bapprendre%2Bet%2Bpartager%2Bl%2527info%2Bsant%25C3%25A9%2529&utm_content=FeedBurner,carevox.fr,2014-06-03,France,Nesquik/NAM/Nesquik,"Pour  un  masque  gourmand  et  une  odeur  qui  vous  rappellera  le Nesquik  de  votre  enfance  il  vous  faudra  mélanger  :  4  cuillères  à  soupe  de  lait  de  coco  ,  1  cuillère  à  soupe  de  cacao  bio  ,  1  cuillère  à  soupe  de  beurre  de  cacao  bio  et  1  cuillère  à  soupe  d'  huile  de  coco  .",nesquik,nam,nesquik,le,le,DET,rappellera,rappeler,VERB,vous,vous,PRON,qui,qui,PRON,odeur,odeur,NOUN,de,de,ADP,votre,votre,DET,enfance,enfance,NOUN,il,il,PRON,vous,vous,PRON,2014-06-03,2014,2010,VERB DET Nesquik ADP DET,DET Nesquik ADP,VERB DET Nesquik,PRON VERB DET Nesquik,PRON PRON VERB DET Nesquik,Nesquik ADP DET,Nesquik ADP DET NOUN,Nesquik ADP DET NOUN PRON,rappeler le Nesquik de votre,le Nesquik de,rappeler le Nesquik,vous rappeler le Nesquik,qui vous rappeler le Nesquik,Nesquik de votre,Nesquik de votre enfance,Nesquik de votre enfance il
http://www.lesechos.fr/week-end/culture/0203623639158-la-fete-de-lhumanite-facon-alexandre-singh-1022678.php?xtor=RSS-2067,lesechos.fr,2014-07-11,France,Nesquik/NAM/Nesquik,"Deux  esprits  se  partagent  le  monde  :  Charles  Ray  ,  un  sage  apollinien  qui  passe  son  temps  à  sculpter  des  humains  ,  et  N.  ,  le  lapin  dionysiaque Nesquik  ®  ,  joué  par  une  joyeuse  luronne  qui  engraisse  la  terre  de  ses  excréments  .",nesquik,nam,nesquik,dionysiaque,dionysiaque,ADJ,lapin,lapin,NOUN,le,le,DET,",",",",PUNCT,N.,N.,PROPN,®,®,ADJ,",",",",PUNCT,joué,jouer,VERB,par,par,ADP,une,un,DET,2014-07-11,2014,2010,NOUN ADJ Nesquik ADJ PUNCT,ADJ Nesquik ADJ,NOUN ADJ Nesquik,DET NOUN ADJ Nesquik,PUNCT DET NOUN ADJ Nesquik,Nesquik ADJ PUNCT,Nesquik ADJ PUNCT VERB,Nesquik ADJ PUNCT VERB ADP,"lapin dionysiaque Nesquik ® ,",dionysiaque Nesquik ®,lapin dionysiaque Nesquik,le lapin dionysiaque Nesquik,", le lapin dionysiaque Nesquik","Nesquik ® ,","Nesquik ® , jouer","Nesquik ® , jouer par"
http://www.nordeclair.fr/info-locale/lille-les-roms-expulses-de-la-place-blanche-n-iront-pas-jna49b0n471225?xtor=RSS-2,nordeclair.fr,2014-09-11,France,Nesquik/NAM/Nesquik,Une  boîte  de  chocolat Nesquik  donne  à  un  muret  de  béton  des  allures  de  cuisine  de  campagne  .,nesquik,nam,nesquik,chocolat,chocolat,NOUN,de,de,ADP,boîte,boîte,NOUN,Une,un,DET,,,,donne,donner,VERB,à,à,ADP,un,un,DET,muret,muret,NOUN,de,de,ADP,2014-09-11,2014,2010,ADP NOUN Nesquik VERB ADP,NOUN Nesquik VERB,ADP NOUN Nesquik,NOUN ADP NOUN Nesquik,DET NOUN ADP NOUN Nesquik,Nesquik VERB ADP,Nesquik VERB ADP DET,Nesquik VERB ADP DET NOUN,de chocolat Nesquik donner à,chocolat Nesquik donner,de chocolat Nesquik,boîte de chocolat Nesquik,un boîte de chocolat Nesquik,Nesquik donner à,Nesquik donner à un,Nesquik donner à un muret
