url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lefigaro.fr/gastronomie/2015/06/17/30005-20150617ARTFIG00326-trois-pates-a-tartiner-pour-oublier-le-nutella.php,lefigaro.fr,2015-06-17,France,Nocciolata/NAM/Nocciolata,La Nocciolata  a  un  goût  assez  proche  de  celui  du  Nutella  .,nocciolata,nam,nocciolata,La,le,DET,,,,,,,,,,,,,a,avoir,VERB,un,un,DET,goût,goût,NOUN,assez,assez,ADV,proche,proche,ADJ,2015-06-17,2015,2010,,DET Nocciolata VERB,,,,Nocciolata VERB DET,Nocciolata VERB DET NOUN,Nocciolata VERB DET NOUN ADV,,le Nocciolata avoir,,,,Nocciolata avoir un,Nocciolata avoir un goût,Nocciolata avoir un goût assez
http://www.lejdd.fr/Economie/Qu-est-ce-que-l-on-reproche-au-Nutella-738004,lejdd.fr,2015-06-19,France,Nocciolata/NAM/Nocciolata,"""  Ce  qui  est  possible  :  Selon  le  magazine  Time  ,  la  meilleure  alternative  est  la Nocciolata  ,  une  pâte  bio  et  sans  huile  de  palme  mais  encore  deux  fois  plus  chère  que  le  Nutella  . </doc>",nocciolata,nam,nocciolata,la,le,DET,est,être,VERB,alternative,alternative,NOUN,meilleure,meilleur,ADJ,la,le,DET,",",",",PUNCT,une,un,DET,pâte,pâte,NOUN,bio,biologique,ADJ,et,et,CONJ,2015-06-19,2015,2010,VERB DET Nocciolata PUNCT DET,DET Nocciolata PUNCT,VERB DET Nocciolata,NOUN VERB DET Nocciolata,ADJ NOUN VERB DET Nocciolata,Nocciolata PUNCT DET,Nocciolata PUNCT DET NOUN,Nocciolata PUNCT DET NOUN ADJ,"être le Nocciolata , un","le Nocciolata ,",être le Nocciolata,alternative être le Nocciolata,meilleur alternative être le Nocciolata,"Nocciolata , un","Nocciolata , un pâte","Nocciolata , un pâte biologique"
http://www.marianne.net/pate-tartiner-visage-humain-100236930.html,marianne.net,2015-09-20,===NONE===,Nocciolata/NAM/Nocciolata,"Si  Coca  fut  un  jour  obligé  de  partager  le  marché  avec  Pepsi  ,  il  se  pourrait  bien  que  ,  à  son  plus  grand  dépit  ,  Nutella  soit  bientôt  obligé  de  se  pousser  pour  laisser  de  la  place  à Nocciolata  dans  les  rayons  de  la  grande  distribution  .",nocciolata,nam,nocciolata,à,à,ADP,place,place,NOUN,la,le,DET,de,de,ADP,laisser,laisser,VERB,dans,dans,ADP,les,le,DET,rayons,rayon,NOUN,de,de,ADP,la,le,DET,2015-09-20,2015,2010,NOUN ADP Nocciolata ADP DET,ADP Nocciolata ADP,NOUN ADP Nocciolata,DET NOUN ADP Nocciolata,ADP DET NOUN ADP Nocciolata,Nocciolata ADP DET,Nocciolata ADP DET NOUN,Nocciolata ADP DET NOUN ADP,place à Nocciolata dans le,à Nocciolata dans,place à Nocciolata,le place à Nocciolata,de le place à Nocciolata,Nocciolata dans le,Nocciolata dans le rayon,Nocciolata dans le rayon de
http://www.marianne.net/pate-tartiner-visage-humain-100236930.html,marianne.net,2015-09-20,===NONE===,Nocciolata/NAM/Nocciolata,"À  cette  différence  que  ,  à  quelques  nuances  gustatives  près  ,  Pepsi  et  Coca  ,  c'  est  blanc  bonnet  ,  bonnet  blanc  ,  tandis  que Nocciolata  et  Nutella  vont  se  battre  sur  le  terrain  de  la  nocivité  alimentaire  .",nocciolata,nam,nocciolata,que,que,CONJ,tandis,tandis,CONJ,",",",",PUNCT,blanc,blanc,ADJ,bonnet,bonnet,NOUN,et,et,CONJ,Nutella,Nutella,PROPN,vont,aller,VERB,se,se,PRON,battre,battre,VERB,2015-09-20,2015,2010,CONJ CONJ Nocciolata CONJ PROPN,CONJ Nocciolata CONJ,CONJ CONJ Nocciolata,PUNCT CONJ CONJ Nocciolata,ADJ PUNCT CONJ CONJ Nocciolata,Nocciolata CONJ PROPN,Nocciolata CONJ PROPN VERB,Nocciolata CONJ PROPN VERB PRON,tandis que Nocciolata et Nutella,que Nocciolata et,tandis que Nocciolata,", tandis que Nocciolata","blanc , tandis que Nocciolata",Nocciolata et Nutella,Nocciolata et Nutella aller,Nocciolata et Nutella aller se
http://www.directmatin.fr/restos-bistrots/2016-05-15/les-4-meilleurs-brunchs-de-paris-729377,directmatin.fr,2016-05-15,France,Nocciolata/NAM/Nocciolata,"En  dessert  ,  et  s'  il  reste  un  petit  creux  ,  trois  petits  pancakes  sont  servis  avec  à  disposition  du  sirop  d'  érable  pur  ,  une  excellente  pâte  à  tartiner  bio  ( Nocciolata  )  et  de  la  confiture  .",nocciolata,nam,nocciolata,(,(,PUNCT,bio,biologique,ADJ,tartiner,tartiner,VERB,à,à,ADP,pâte,pâte,NOUN,),),PUNCT,et,et,CONJ,de,de,ADP,la,le,DET,confiture,confiture,NOUN,2016-05-15,2016,2010,ADJ PUNCT Nocciolata PUNCT CONJ,PUNCT Nocciolata PUNCT,ADJ PUNCT Nocciolata,VERB ADJ PUNCT Nocciolata,ADP VERB ADJ PUNCT Nocciolata,Nocciolata PUNCT CONJ,Nocciolata PUNCT CONJ ADP,Nocciolata PUNCT CONJ ADP DET,biologique ( Nocciolata ) et,( Nocciolata ),biologique ( Nocciolata,tartiner biologique ( Nocciolata,à tartiner biologique ( Nocciolata,Nocciolata ) et,Nocciolata ) et de,Nocciolata ) et de le
http://www.lessentiel.lu/fr/lifestyle/story/22708809,lessentiel.lu,2016-11-21,Luxembourg,Nocciolata/NAM/Nocciolata,"Tartinez  toute  la  surface  du  biscuit  de Nocciolata  ,  saupoudrez  3  c.  à  soupe  de  Nocciola  granella  et  roulez  le  biscuit  serré  .",nocciolata,nam,nocciolata,de,de,ADP,biscuit,biscuit,NOUN,du,du,ADP DET,surface,surface,NOUN,la,le,DET,",",",",PUNCT,saupoudrez,saupoudrer,VERB,3,@card@,ADJ,c.,c.,ABR,à,à,ADP,2016-11-21,2016,2010,NOUN ADP Nocciolata PUNCT VERB,ADP Nocciolata PUNCT,NOUN ADP Nocciolata,ADP DET NOUN ADP Nocciolata,NOUN ADP DET NOUN ADP Nocciolata,Nocciolata PUNCT VERB,Nocciolata PUNCT VERB ADJ,Nocciolata PUNCT VERB ADJ ABR,"biscuit de Nocciolata , saupoudrer","de Nocciolata ,",biscuit de Nocciolata,du biscuit de Nocciolata,surface du biscuit de Nocciolata,"Nocciolata , saupoudrer","Nocciolata , saupoudrer @card@","Nocciolata , saupoudrer @card@ c."
http://www.lessentiel.lu/fr/lifestyle/story/22708809,lessentiel.lu,2016-11-21,Luxembourg,Nocciolata/NAM/Nocciolata,Nappez  le  roulé  de Nocciolata  restante  et  saupoudrez  1  c.  à  soupe  de  cacao  en  poudre  .,nocciolata,nam,nocciolata,de,de,ADP,roulé,rouler,VERB,le,le,PRON,Nappez,napper,VERB,,,,restante,restant,ADJ,et,et,CONJ,saupoudrez,saupoudrer,VERB,1,@card@,ADJ,c.,c.,ABR,2016-11-21,2016,2010,VERB ADP Nocciolata ADJ CONJ,ADP Nocciolata ADJ,VERB ADP Nocciolata,PRON VERB ADP Nocciolata,VERB PRON VERB ADP Nocciolata,Nocciolata ADJ CONJ,Nocciolata ADJ CONJ VERB,Nocciolata ADJ CONJ VERB ADJ,rouler de Nocciolata restant et,de Nocciolata restant,rouler de Nocciolata,le rouler de Nocciolata,napper le rouler de Nocciolata,Nocciolata restant et,Nocciolata restant et saupoudrer,Nocciolata restant et saupoudrer @card@
http://www.lesinrocks.com/2017/04/27/style/ibrik-cafe-enfin-un-coffee-shop-oriental-paris-11936478/,lesinrocks.com,2017-04-27,===NONE===,nocciolata/NOM/nocciolata,"Un  yaourt  grec  ,  servi  avec  le  Rubanola  et  des  fruits  frais  ,  ou  une  gourmande  pita  à  la nocciolata  vous  y  attendent  .",nocciolata,nom,nocciolata,la,le,DET,à,à,ADP,pita,pita,NOUN,gourmande,gourmand,ADJ,une,un,DET,vous,vous,PRON,y,y,PRON,attendent,attendre,VERB,.,.,PUNCT,,,,2017-04-27,2017,2010,ADP DET Nocciolata PRON PRON,DET Nocciolata PRON,ADP DET Nocciolata,NOUN ADP DET Nocciolata,ADJ NOUN ADP DET Nocciolata,Nocciolata PRON PRON,Nocciolata PRON PRON VERB,Nocciolata PRON PRON VERB PUNCT,à le Nocciolata vous y,le Nocciolata vous,à le Nocciolata,pita à le Nocciolata,gourmand pita à le Nocciolata,Nocciolata vous y,Nocciolata vous y attendre,Nocciolata vous y attendre .
http://madame.lefigaro.fr/cuisine/thanksgiving-thierry-marx-20e-personnalite-influente-2019-brasserie-231118-151920,lefigaro.fr,2018-11-24,France,Nocciolata/NAM/Nocciolata," Nocciolata  Bianca  Rigoni  di  Asiago  ,  3,75  €  le  pot  de  270  g  ,  en  vente  en  GMS  et  dans  les  magasins  bio  .",nocciolata,nam,nocciolata,,,,,,,,,,,,,,,,Bianca,Bianca,PROPN,Rigoni,Rigoni,PROPN,di,di,VERB,Asiago,Asiago,PROPN,",",",",PUNCT,2018-11-24,2018,2010,,,,,,Nocciolata PROPN PROPN,Nocciolata PROPN PROPN VERB,Nocciolata PROPN PROPN VERB PROPN,,,,,,Nocciolata Bianca Rigoni,Nocciolata Bianca Rigoni di,Nocciolata Bianca Rigoni di Asiago
https://www.bfmtv.com/economie/attaque-de-toutes-parts-le-nutella-seduit-de-moins-en-moins-les-francais-1622451.html,bfmtv.com,2019-01-29,France,Nocciolata/NAM/Nocciolata,"Comme  la Nocciolata  de  l'  italien  Rigoni  di  Asiago  garantie  ""  bio  ""  ,  sans  huile  de  palme  et  sans  gluten  et  qui  pèse  déjà  plus  de  4  %  du  rayon  en  valeur  avec  des  croissances  à  deux  chiffres  depuis  quelques  années  .",nocciolata,nam,nocciolata,la,le,DET,Comme,comme,ADV,,,,,,,,,,de,de,ADP,l',le,DET,italien,italien,ADJ,Rigoni,Rigoni,PROPN,di,di,VERB,2019-01-29,2019,2010,ADV DET Nocciolata ADP DET,DET Nocciolata ADP,ADV DET Nocciolata,,,Nocciolata ADP DET,Nocciolata ADP DET ADJ,Nocciolata ADP DET ADJ PROPN,comme le Nocciolata de le,le Nocciolata de,comme le Nocciolata,,,Nocciolata de le,Nocciolata de le italien,Nocciolata de le italien Rigoni
