url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lessentiel.lu/fr/sports/sports_luxembourgeois/story/17704223,lessentiel.lu,2017-06-28,Luxembourg,Nocilla/NAM/Nocilla,"""  Nous  retournons  alors  sur  le  terrain  prêts  à  tirer  les  deux  tirs  manquants  avec  l'  accord  de  l'  arbitre  ""  ,  ajoute  de  son  côté  l'  entraîneur  des  minimes  de  Dudelange  ,  Vincent Nocilla  ,  dans  son  rapport  .",nocilla,nam,nocilla,Vincent,Vincent,PROPN,",",",",PUNCT,Dudelange,Dudelange,PROPN,de,de,ADP,minimes,minime,ADJ,",",",",PUNCT,dans,dans,ADP,son,son,DET,rapport,rapport,NOUN,.,.,PUNCT,2017-06-28,2017,2010,PUNCT PROPN Nocilla PUNCT ADP,PROPN Nocilla PUNCT,PUNCT PROPN Nocilla,PROPN PUNCT PROPN Nocilla,ADP PROPN PUNCT PROPN Nocilla,Nocilla PUNCT ADP,Nocilla PUNCT ADP DET,Nocilla PUNCT ADP DET NOUN,", Vincent Nocilla , dans","Vincent Nocilla ,",", Vincent Nocilla","Dudelange , Vincent Nocilla","de Dudelange , Vincent Nocilla","Nocilla , dans","Nocilla , dans son","Nocilla , dans son rapport"
http://www.lemonde.fr/europe/article/2017/10/20/les-entreprises-catalanes-craignent-d-etre-boycottees_5203638_3214.html,lemonde.fr,2017-10-20,France,Nocilla/NAM/Nocilla,"Cibles  de  ces  attaques  ,  des  sociétés  comme  Idilia  Foods  ,  laquelle  fabrique  des  grands  classiques  du  petit-déjeuner  espagnol  ,  comme  le  cacao  en  poudre  Cola  Cao  ou  la  pâte  à  tartiner Nocilla  ,  et  qui  déménage  à  Valence  ,  ou  Casa  Tarradellas  ,  un  géant  de  la  pizza  grande  surface  qui  ,  pour  l'  instant  ,  reste  à  Gurb  ,  au  nord  de  Barcelone  .",nocilla,nam,nocilla,tartiner,tartiner,VERB,à,à,ADP,pâte,pâte,NOUN,la,le,DET,ou,ou,CONJ,",",",",PUNCT,et,et,CONJ,qui,qui,PRON,déménage,déménager,VERB,à,à,ADP,2017-10-20,2017,2010,ADP VERB Nocilla PUNCT CONJ,VERB Nocilla PUNCT,ADP VERB Nocilla,NOUN ADP VERB Nocilla,DET NOUN ADP VERB Nocilla,Nocilla PUNCT CONJ,Nocilla PUNCT CONJ PRON,Nocilla PUNCT CONJ PRON VERB,"à tartiner Nocilla , et","tartiner Nocilla ,",à tartiner Nocilla,pâte à tartiner Nocilla,le pâte à tartiner Nocilla,"Nocilla , et","Nocilla , et qui","Nocilla , et qui déménager"
http://www.leconomiste.com/article/1019254-avis-de-tempete-pour-l-economie-espagnole,leconomiste.com,2017-10-25,Morocco,Nocilla/NAM/Nocilla,"(  1  )  Parmi  les  autres  grandes  entreprises  qui  ont  changé  ces  derniers  jours  de  siège  social  ,  il  y  a  aussi  olonial  ,  Bimbo  ,  IdiliaFoods  (  Cola-Cao  et Nocilla  )  ,  Eurona  ,  Oryzon  ,  Dogi  ,  Planeta  ,  Applus  ,  Axa  Vida  y  Axa  Pensiones  ,  Caja  de  Ingenieros  ,  CatalanaOccidente  ,  EDreams  ,  Indukern  ,  GVC  Gaesco  ,  Banco  Mediolanum  ,  Aguas  de  Barcelona  -Agbar-  ,  San  Miguel  ,  la  coopérative  de  crédit  ArquiaBanca  ,  Divina  Pastora  ,  IndustriasPonsa  ,  Service  Point  ,  Klockner  ,  Proclinic  ,  Ballenoil  ,  TorrasPapel  ,  Lleida  .  net  ,  MGS  Seguros  ,  MRW  ,  etc  . </doc>",nocilla,nam,nocilla,et,et,CONJ,Cola-Cao,Cola-Cao,PROPN,(,(,PUNCT,IdiliaFoods,IdiliaFoods,PROPN,",",",",PUNCT,),),PUNCT,",",",",PUNCT,Eurona,Eurona,PROPN,",",",",PUNCT,Oryzon,Oryzon,PROPN,2017-10-25,2017,2010,PROPN CONJ Nocilla PUNCT PUNCT,CONJ Nocilla PUNCT,PROPN CONJ Nocilla,PUNCT PROPN CONJ Nocilla,PROPN PUNCT PROPN CONJ Nocilla,Nocilla PUNCT PUNCT,Nocilla PUNCT PUNCT PROPN,Nocilla PUNCT PUNCT PROPN PUNCT,"Cola-Cao et Nocilla ) ,",et Nocilla ),Cola-Cao et Nocilla,( Cola-Cao et Nocilla,IdiliaFoods ( Cola-Cao et Nocilla,"Nocilla ) ,","Nocilla ) , Eurona","Nocilla ) , Eurona ,"
http://www.lalibre.be/actu/international/catalogne-les-entreprises-sous-la-menace-d-un-boycott-59f16e3fcd705114eff2e555,lalibre.be,2017-10-26,Belgium,Nocilla/NAM/Nocilla,"L'  appel  au  boycott  concerne  avant  tout  l'  industrie  agroalimentaire  ,  pilier  de  l'  économie  catalane  :  cava  (  vin  mousseux  )  ,  bière  Estrella  Damm  ,  pâte  à  tartiner Nocilla  ,  cacao  en  poudre  Cola  Cao  ,  eaux  minérales  Vichy  Catalan  et  Font  Vella  ...",nocilla,nam,nocilla,tartiner,tartiner,VERB,à,à,ADP,pâte,pâte,NOUN,",",",",PUNCT,Damm,Damm,PROPN,",",",",PUNCT,cacao,cacao,NOUN,en,en,ADP,poudre,poudre,NOUN,Cola,Cola,PROPN,2017-10-26,2017,2010,ADP VERB Nocilla PUNCT NOUN,VERB Nocilla PUNCT,ADP VERB Nocilla,NOUN ADP VERB Nocilla,PUNCT NOUN ADP VERB Nocilla,Nocilla PUNCT NOUN,Nocilla PUNCT NOUN ADP,Nocilla PUNCT NOUN ADP NOUN,"à tartiner Nocilla , cacao","tartiner Nocilla ,",à tartiner Nocilla,pâte à tartiner Nocilla,", pâte à tartiner Nocilla","Nocilla , cacao","Nocilla , cacao en","Nocilla , cacao en poudre"
https://www.lesechos.fr/monde/europe/030796487852-lappel-au-boycott-des-produits-catalans-court-sur-les-reseaux-sociaux-2125809.php#xtor%3DRSS-37,lesechos.fr,2017-10-27,France,Nocilla/NAM/Nocilla,"Dans  la  ligne  de  mire  se  trouvent  les  grandes  marques  connues  de  la  région  ,  les  leaders  du  marché  du  cava  Freixenet  et  Codorníu  ,  la  bière  Estrella  Damm  ,  les  pizzas  Casa  Tarradellas  ,  l'  eau  plate  Font  Vella  ,  ou  pétillante  Vichy  Catalan  ,  la  crème  à  tartiner Nocilla  ,  ou  encore  les  voitures  Seat  ...",nocilla,nam,nocilla,tartiner,tartiner,VERB,à,à,ADP,crème,crème,NOUN,la,le,DET,",",",",PUNCT,",",",",PUNCT,ou,ou,CONJ,encore,encore,ADV,les,le,DET,voitures,voiture,NOUN,2017-10-27,2017,2010,ADP VERB Nocilla PUNCT CONJ,VERB Nocilla PUNCT,ADP VERB Nocilla,NOUN ADP VERB Nocilla,DET NOUN ADP VERB Nocilla,Nocilla PUNCT CONJ,Nocilla PUNCT CONJ ADV,Nocilla PUNCT CONJ ADV DET,"à tartiner Nocilla , ou","tartiner Nocilla ,",à tartiner Nocilla,crème à tartiner Nocilla,le crème à tartiner Nocilla,"Nocilla , ou","Nocilla , ou encore","Nocilla , ou encore le"
https://www.tdg.ch/monde/europe/Pour-faire-payer-Barcelone-des-Espagnols-boycottent-les-produits-catalans/story/18433192,tdg.ch,2017-11-10,Switzerland,Nocilla/NAM/Nocilla,"""  Et  des  listes  de  produits  circulent  :  ""  cava  ""  (  vin  mousseux  )  ,  bière  Estrella  Damm  ,  pâte  à  tartiner Nocilla  ,  cacao  en  poudre  Cola  Cao  ,  eaux  minérales  Vichy  Catalan  et  Font  Vella  ...",nocilla,nam,nocilla,tartiner,tartiner,VERB,à,à,ADP,pâte,pâte,NOUN,",",",",PUNCT,Damm,Damm,PROPN,",",",",PUNCT,cacao,cacao,NOUN,en,en,ADP,poudre,poudre,NOUN,Cola,Cola,PROPN,2017-11-10,2017,2010,ADP VERB Nocilla PUNCT NOUN,VERB Nocilla PUNCT,ADP VERB Nocilla,NOUN ADP VERB Nocilla,PUNCT NOUN ADP VERB Nocilla,Nocilla PUNCT NOUN,Nocilla PUNCT NOUN ADP,Nocilla PUNCT NOUN ADP NOUN,"à tartiner Nocilla , cacao","tartiner Nocilla ,",à tartiner Nocilla,pâte à tartiner Nocilla,", pâte à tartiner Nocilla","Nocilla , cacao","Nocilla , cacao en","Nocilla , cacao en poudre"
https://www.challenges.fr/economie/barilla-defie-nutella-en-lancant-sa-propre-pate-a-tartiner_630652,challenges.fr,2018-12-07,France,Nocilla/NAM/Nocilla,"Suivent Nocilla  (  Idilia  Foods  )  avec  1,2  %  et  Ovomaltine  (  Associated  British  Food  )  avec  0,7  %  .",nocilla,nam,nocilla,Suivent,suivre,VERB,,,,,,,,,,,,,(,(,PUNCT,Idilia,Idilia,NOUN,Foods,Foods,PROPN,),),PUNCT,avec,avec,ADP,2018-12-07,2018,2010,,VERB Nocilla PUNCT,,,,Nocilla PUNCT NOUN,Nocilla PUNCT NOUN PROPN,Nocilla PUNCT NOUN PROPN PUNCT,,suivre Nocilla (,,,,Nocilla ( Idilia,Nocilla ( Idilia Foods,Nocilla ( Idilia Foods )
http://www.lefigaro.fr/societes/2018/12/07/20005-20181207ARTFIG00340-avec-son-pan-di-stelle-barilla-ouvre-les-hostilites-contre-nutella.php,lefigaro.fr,2018-12-07,France,Nocilla/NAM/Nocilla,"Il  ne  laisse  que  des  miettes  à  ses  concurrents  poids  plume  :  Cokokrem  (  2  %  du  marché  )  , Nocilla  (  1,2  %  )  ou  Ovomaltine  avec  (  0,7  %  )  .",nocilla,nam,nocilla,",",",",PUNCT,),),PUNCT,marché,marché,NOUN,du,du,ADP DET,%,%,SYM,(,(,PUNCT,"1,2",@card@,ADJ,%,%,SYM,),),PUNCT,ou,ou,CONJ,2018-12-07,2018,2010,PUNCT PUNCT Nocilla PUNCT ADJ,PUNCT Nocilla PUNCT,PUNCT PUNCT Nocilla,NOUN PUNCT PUNCT Nocilla,ADP DET NOUN PUNCT PUNCT Nocilla,Nocilla PUNCT ADJ,Nocilla PUNCT ADJ SYM,Nocilla PUNCT ADJ SYM PUNCT,") , Nocilla ( @card@",", Nocilla (",") , Nocilla","marché ) , Nocilla","du marché ) , Nocilla",Nocilla ( @card@,Nocilla ( @card@ %,Nocilla ( @card@ % )
https://www.huffpostmaghreb.com/entry/212-couple-mixte-nous-etions-amoureux-mais-jetais-genee-a-lidee-quil-vienne-a-rabat_mg_5c4b2cebe4b0e1872d4322e0,huffpostmaghreb.com,2019-01-26,===NONE===,Nocilla/NAM/Nocilla,"En  bonus  ,  ma  tante  de  New-York  avait  apporté  du  beurre  de  cacahuète  ,  et  ma  tante  qui  vit  à  Tanger  du Nocilla  ,  le  Nutella  espagnol  de  contrebande  .",nocilla,nam,nocilla,du,du,ADP DET,Tanger,Tanger,PROPN,à,à,ADP,vit,vivre,VERB,qui,qui,PRON,",",",",PUNCT,le,le,DET,Nutella,Nutella,PROPN,espagnol,espagnol,ADJ,de,de,ADP,2019-01-26,2019,2010,PROPN ADP DET Nocilla PUNCT DET,ADP DET Nocilla PUNCT,PROPN ADP DET Nocilla,ADP PROPN ADP DET Nocilla,VERB ADP PROPN ADP DET Nocilla,Nocilla PUNCT DET,Nocilla PUNCT DET PROPN,Nocilla PUNCT DET PROPN ADJ,"Tanger du Nocilla , le","du Nocilla ,",Tanger du Nocilla,à Tanger du Nocilla,vivre à Tanger du Nocilla,"Nocilla , le","Nocilla , le Nutella","Nocilla , le Nutella espagnol"
http://www.smallcapnetwork.com/Espagne-Le-pretre-qui-a-abuse-de-plusieurs-generations-denfants/s/via/57176/blog/view/p/mid/1/id/15/,smallcapnetwork.com,2020-05-21,===NONE===,nocilla/NOM/nocilla,"J'  y  avais  la  machine  de  jeux  video  Atari  ,  la  table  de  ping-pong  ,  tous  les  derniers  modeles  de  jouets  ,  des  bonbons  ...  Nous  venions  de  familles  humbles  et  tres  devouees  ,  et  il  y  avait  Coca-cola  , nocilla  ,  qui  dans  ma  maison  etait  seulement  en  vacances  .  Il  nous  a  aussi  donne  de  l'  argent  ,  il  m'  a  donne  une  montre  Casio  ""  ,  explique  Tomás  ,  le  nom  fictif  de  l'  une  des  victimes  ,  qui  souhaite  rester  anonyme  .",nocilla,nom,nocilla,",",",",PUNCT,Coca-cola,Coca-cola,PROPN,avait,avoir,VERB,y,y,PRON,il,il,PRON,",",",",PUNCT,qui,qui,PRON,dans,dans,ADP,ma,mon,DET,maison,maison,NOUN,2020-05-21,2020,2020,PROPN PUNCT Nocilla PUNCT PRON,PUNCT Nocilla PUNCT,PROPN PUNCT Nocilla,VERB PROPN PUNCT Nocilla,PRON VERB PROPN PUNCT Nocilla,Nocilla PUNCT PRON,Nocilla PUNCT PRON ADP,Nocilla PUNCT PRON ADP DET,"Coca-cola , Nocilla , qui",", Nocilla ,","Coca-cola , Nocilla","avoir Coca-cola , Nocilla","y avoir Coca-cola , Nocilla","Nocilla , qui","Nocilla , qui dans","Nocilla , qui dans mon"
