url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lavoixdunord.fr/region/le-touquet-dans-le-grand-bain-du-nouvel-an-video-ia36b49168n1818463?xtor=RSS-2,lavoixdunord.fr,2014-01-01,France,néoprène/NOM/néoprène,"Les  hommes-grenouilles  ,  plus néoprène  que  Kermite  ,  souvent  des  habitués  de  longe  côte  ;  les  déguisés  ,  façon  carnaval  de  Dunkerque  ,  super-héros  ,  perruques  et  bonne  humeur  ;  les  touristes  ,  en  maillot  de  bain  comme  l'  été  ,  avec  le  petit  coup  d'  eau  sur  la  nuque  avant  d'  y  aller  .",néoprène,nom,néoprène,plus,plus,ADV,",",",",PUNCT,hommes-grenouilles,hommes-grenouilles,NOUN,Les,le,DET,,,,que,que,CONJ,Kermite,Kermite,NOUN,",",",",PUNCT,souvent,souvent,ADV,des,du,ADP DET,2014-01-01,2014,2010,PUNCT ADV Néoprène CONJ NOUN,ADV Néoprène CONJ,PUNCT ADV Néoprène,NOUN PUNCT ADV Néoprène,DET NOUN PUNCT ADV Néoprène,Néoprène CONJ NOUN,Néoprène CONJ NOUN PUNCT,Néoprène CONJ NOUN PUNCT ADV,", plus Néoprène que Kermite",plus Néoprène que,", plus Néoprène","hommes-grenouilles , plus Néoprène","le hommes-grenouilles , plus Néoprène",Néoprène que Kermite,"Néoprène que Kermite ,","Néoprène que Kermite , souvent"
http://www.lavoixdunord.fr/region/au-touquet-150-givres-ont-pris-leur-premier-bain-de-mer-ia36b49168n1818861?xtor=RSS-2,lavoixdunord.fr,2014-01-01,France,néoprène/NOM/néoprène,"En  guise  de  vêtements  ,  un  simple  slip  de  bain  ,  ou  une  combinaison  en néoprène  pour  les  moins  téméraires  .",néoprène,nom,néoprène,en,en,ADP,combinaison,combinaison,NOUN,une,un,DET,ou,ou,CONJ,",",",",PUNCT,pour,pour,ADP,les,le,DET,moins,moins,ADV,téméraires,téméraire,ADJ,.,.,PUNCT,2014-01-01,2014,2010,NOUN ADP Néoprène ADP DET,ADP Néoprène ADP,NOUN ADP Néoprène,DET NOUN ADP Néoprène,CONJ DET NOUN ADP Néoprène,Néoprène ADP DET,Néoprène ADP DET ADV,Néoprène ADP DET ADV ADJ,combinaison en Néoprène pour le,en Néoprène pour,combinaison en Néoprène,un combinaison en Néoprène,ou un combinaison en Néoprène,Néoprène pour le,Néoprène pour le moins,Néoprène pour le moins téméraire
http://www.lesechos.fr/luxe/mode/0203241653890-fendi-une-histoire-en-mouvement-642783.php?xtor=RSS-2103,lesechos.fr,2014-01-14,France,néoprène/NOM/néoprène,"Ici  le  feutre  devient  luxe  ,  là  la  maille  semble  fourrure  ,  là  encore  le  velours  est  un  vison  rasé  alors  que  le néoprène  joue  les  alligators  -  un  clin  d'  œil  de  Silvia  Fendi  qui  ne  manque  pas  d'  ironie  .",néoprène,nom,néoprène,le,le,DET,que,que,CONJ,alors,alors,ADV,rasé,raser,VERB,vison,vison,NOUN,joue,jouer,VERB,les,le,DET,alligators,alligator,NOUN,-,-,PUNCT,un,un,DET,2014-01-14,2014,2010,CONJ DET Néoprène VERB DET,DET Néoprène VERB,CONJ DET Néoprène,ADV CONJ DET Néoprène,VERB ADV CONJ DET Néoprène,Néoprène VERB DET,Néoprène VERB DET NOUN,Néoprène VERB DET NOUN PUNCT,que le Néoprène jouer le,le Néoprène jouer,que le Néoprène,alors que le Néoprène,raser alors que le Néoprène,Néoprène jouer le,Néoprène jouer le alligator,Néoprène jouer le alligator -
http://www.ladepeche.fr/article/2014/01/19/1798230-la-blogueuse-italienne-eleonora-carisi-imagine-une-capsule-pour-zalando.html,ladepeche.fr,2014-01-20,France,néoprène/NOM/néoprène,"La  créatrice  a  joué  la  carte  du  ""  made  in  Italy  ""  ,  avec  des  matières  de  qualité  (  soie  ,  organza  , néoprène  )  ultra-légères  et  vaporeuses  ,  avec  quelques  jeux  subtils  de  transparence  .",néoprène,nom,néoprène,",",",",PUNCT,organza,organza,NOUN,",",",",PUNCT,soie,soie,NOUN,(,(,PUNCT,),),PUNCT,ultra-légères,ultra-léger,ADJ,et,et,CONJ,vaporeuses,vaporeux,ADJ,",",",",PUNCT,2014-01-20,2014,2010,NOUN PUNCT Néoprène PUNCT ADJ,PUNCT Néoprène PUNCT,NOUN PUNCT Néoprène,PUNCT NOUN PUNCT Néoprène,NOUN PUNCT NOUN PUNCT Néoprène,Néoprène PUNCT ADJ,Néoprène PUNCT ADJ CONJ,Néoprène PUNCT ADJ CONJ ADJ,"organza , Néoprène ) ultra-léger",", Néoprène )","organza , Néoprène",", organza , Néoprène","soie , organza , Néoprène",Néoprène ) ultra-léger,Néoprène ) ultra-léger et,Néoprène ) ultra-léger et vaporeux
http://www.ladepeche.fr/article/2014/01/27/1804189-hilfiger-viree-plage-malibu-printemps-2014.html,ladepeche.fr,2014-01-27,France,néoprène/NOM/néoprène,"La  collection  se  compose  de  shorts  délavés  ,  de  chemises  en  chambray  ,  de  chinos  ,  de  blazers  ,  mais  aussi  d'  une  sélection  de  pièces  en néoprène  et  en  cuir  .",néoprène,nom,néoprène,en,en,ADP,pièces,pièce,NOUN,de,de,ADP,sélection,sélection,NOUN,une,un,DET,et,et,CONJ,en,en,ADP,cuir,cuir,NOUN,.,.,PUNCT,,,,2014-01-27,2014,2010,NOUN ADP Néoprène CONJ ADP,ADP Néoprène CONJ,NOUN ADP Néoprène,ADP NOUN ADP Néoprène,NOUN ADP NOUN ADP Néoprène,Néoprène CONJ ADP,Néoprène CONJ ADP NOUN,Néoprène CONJ ADP NOUN PUNCT,pièce en Néoprène et en,en Néoprène et,pièce en Néoprène,de pièce en Néoprène,sélection de pièce en Néoprène,Néoprène et en,Néoprène et en cuir,Néoprène et en cuir .
http://libresglisses.blog.lemonde.fr/2014/02/05/surf-kite-surf-meteo-pourquoi-une-houle-geante-arrive-sur-la-bretagne-petra-brigit-tempete/#xtor%3DRSS-3208,lemonde.fr,2014-02-05,France,néoprène/NOM/néoprène,"Attention  ,  donc  ,  à  la  sortie  de  trop  et  ,  si  vous  avez  l'  intention  d'  enfiler  votre néoprène  ,  ne  sortez  jamais  seul  et  prévenez  votre  entourage  à  terre  .",néoprène,nom,néoprène,votre,votre,DET,enfiler,enfiler,VERB,d',de,ADP,intention,intention,NOUN,l',le,DET,",",",",PUNCT,ne,ne,ADV,sortez,sortir,VERB,jamais,jamais,ADV,seul,seul,ADJ,2014-02-05,2014,2010,VERB DET Néoprène PUNCT ADV,DET Néoprène PUNCT,VERB DET Néoprène,ADP VERB DET Néoprène,NOUN ADP VERB DET Néoprène,Néoprène PUNCT ADV,Néoprène PUNCT ADV VERB,Néoprène PUNCT ADV VERB ADV,"enfiler votre Néoprène , ne","votre Néoprène ,",enfiler votre Néoprène,de enfiler votre Néoprène,intention de enfiler votre Néoprène,"Néoprène , ne","Néoprène , ne sortir","Néoprène , ne sortir jamais"
http://www.newswire.ca/en/story/1305971/kia-canada-offre-une-rare-chance-de-voir-le-prototype-automobile-provo-pour-la-premiere-fois-en-amerique-du-nord-au-salon-international-de-l-auto-de-t,newswire.ca,2014-02-13,Canada,néoprène/NOM/néoprène,"La  construction  des  portes  étonne  également  -  elles  sont  fabriquées  de  trois  panneaux  individuels  :  un  panneau  externe  ,  un  panneau  intérieur  en  fibre  de  carbone  et  une  section  intérieure  recouverte  de néoprène  ,  de  la  même  couleur  que  la  carrosserie  Storm  métallisé  .",néoprène,nom,néoprène,de,de,ADP,recouverte,recouvrir,VERB,intérieure,intérieur,ADJ,section,section,NOUN,une,un,DET,",",",",PUNCT,de,de,ADP,la,le,DET,même,même,ADJ,couleur,couleur,NOUN,2014-02-13,2014,2010,VERB ADP Néoprène PUNCT ADP,ADP Néoprène PUNCT,VERB ADP Néoprène,ADJ VERB ADP Néoprène,NOUN ADJ VERB ADP Néoprène,Néoprène PUNCT ADP,Néoprène PUNCT ADP DET,Néoprène PUNCT ADP DET ADJ,"recouvrir de Néoprène , de","de Néoprène ,",recouvrir de Néoprène,intérieur recouvrir de Néoprène,section intérieur recouvrir de Néoprène,"Néoprène , de","Néoprène , de le","Néoprène , de le même"
http://www.lesoir.be/427809/article/styles/air-du-temps/2014-02-13/fashion-week-new-york-se-termine-dans-une-tempete-neige,lesoir.be,2014-02-13,Belgium,néoprène/NOM/néoprène,"Pour  la  mode  plus  sportive  ,  Amérique  oblige  ,  beaucoup  aussi  d'  anoraks  ,  parkas  ,  pantalons  style  jogging  revus  et  corrigés  ,  beaucoup  aussi  de  matières  de  nouvelles  technologies  ,  genre néoprène  .",néoprène,nom,néoprène,genre,genre,NOUN,",",",",PUNCT,technologies,technologie,NOUN,nouvelles,nouveau,ADJ,de,de,ADP,.,.,PUNCT,,,,,,,,,,,,,2014-02-13,2014,2010,,NOUN Néoprène PUNCT,PUNCT NOUN Néoprène,NOUN PUNCT NOUN Néoprène,ADJ NOUN PUNCT NOUN Néoprène,,,,,genre Néoprène .,", genre Néoprène","technologie , genre Néoprène","nouveau technologie , genre Néoprène",,,
http://www.femmeactuelle.fr/mode/tendance-mode/le-denim-envahit-les-podiums-printemps-ete-%21-16813,femmeactuelle.fr,2014-02-14,France,néoprène/NOM/néoprène,"Il  prend  de  nouvelles  formes  ,  se  porte  en  total  look  ,  des  matières  comme  le néoprène  s'  habille  de  denim  ,  bref  il  s'  adapte  à  tout  les  styles  et  à  chacune  sa  façon  de  le  vivre  !  Alors  inspirez  vous  des  défilés  et  à  vous  de  choisir  .",néoprène,nom,néoprène,le,le,DET,comme,comme,CONJ,matières,matière,NOUN,des,du,ADP DET,",",",",PUNCT,s',se,PRON,habille,habiller,VERB,de,de,ADP,denim,denim,NOUN,",",",",PUNCT,2014-02-14,2014,2010,CONJ DET Néoprène PRON VERB,DET Néoprène PRON,CONJ DET Néoprène,NOUN CONJ DET Néoprène,ADP DET NOUN CONJ DET Néoprène,Néoprène PRON VERB,Néoprène PRON VERB ADP,Néoprène PRON VERB ADP NOUN,comme le Néoprène se habiller,le Néoprène se,comme le Néoprène,matière comme le Néoprène,du matière comme le Néoprène,Néoprène se habiller,Néoprène se habiller de,Néoprène se habiller de denim
http://www.informaticien.be/index.ks?page=news_item&id=17973,informaticien.be,2014-02-15,Belgium,néoprène/NOM/néoprène,"Pour  le  lancement  ,  l'  Édition  Limitée  Unu  proposera  en  exclusivité  une  protection  en néoprène  pour  la  tablette  .",néoprène,nom,néoprène,en,en,ADP,protection,protection,NOUN,une,un,DET,exclusivité,exclusivité,NOUN,en,en,ADP,pour,pour,ADP,la,le,DET,tablette,tablette,NOUN,.,.,PUNCT,,,,2014-02-15,2014,2010,NOUN ADP Néoprène ADP DET,ADP Néoprène ADP,NOUN ADP Néoprène,DET NOUN ADP Néoprène,NOUN DET NOUN ADP Néoprène,Néoprène ADP DET,Néoprène ADP DET NOUN,Néoprène ADP DET NOUN PUNCT,protection en Néoprène pour le,en Néoprène pour,protection en Néoprène,un protection en Néoprène,exclusivité un protection en Néoprène,Néoprène pour le,Néoprène pour le tablette,Néoprène pour le tablette .
