url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lemonde.fr/economie/article/2015/02/24/l-ufc-que-choisir-prone-l-etiquetage-nutritionnel-en-couleur_4582297_3234.html,lemonde.fr,2015-02-24,France,Perle_de_lait/NAM_PRP_NOM/Perle_de_lait,"Dans  les  produits  laitiers  ,  les  trois-quart  sont  en  jaune  ,  mais Perle_de_lait  de  Yoplait  et  Fjord  de  Danone  ,  enrichis  en  crème  ,  sont  en  orange  .",perle_de_lait,nam_prp_nom,perle_de_lait,mais,mais,CONJ,",",",",PUNCT,jaune,jaune,NOUN,en,en,ADP,sont,être,VERB,de,de,ADP,Yoplait,Yoplait,PROPN,et,et,CONJ,Fjord,Fjord,PROPN,de,de,ADP,2015-02-24,2015,2010,PUNCT CONJ Perle de lait ADP PROPN,CONJ Perle de lait ADP,PUNCT CONJ Perle de lait,NOUN PUNCT CONJ Perle de lait,ADP NOUN PUNCT CONJ Perle de lait,Perle de lait ADP PROPN,Perle de lait ADP PROPN CONJ,Perle de lait ADP PROPN CONJ PROPN,", mais Perle de lait de Yoplait",mais Perle de lait de,", mais Perle de lait","jaune , mais Perle de lait","en jaune , mais Perle de lait",Perle de lait de Yoplait,Perle de lait de Yoplait et,Perle de lait de Yoplait et Fjord
http://www.midilibre.fr/2015/02/24/l-autorite-de-la-concurrence-enquete-sur-un-possible-cartel-du-yaourt%2C1128161.php,midilibre.fr,2015-02-24,France,Perle_de_Lait/NAM_PRP_NAM/Perle_de_Lait,"L'  enquête  sur  les  yaourts  aurait  débuté  en  aout  2011  au  moment  où  Yoplait  (  Panier  ,  Calin  , Perle_de_Lait  ...  )  est  venu  dénoncer  l'  entente  à  l'  Autorité  ,  afin  de  bénéficier  de  la  procédure  de  clémence  que  celle-ci  accorde  aux  sociétés  prêtes  à  dénoncer  des  pratiques  frauduleuses  leur  permettant  ainsi  d'  échapper  pour  tout  ou  partie  à  une  sanction  financière  .",perle_de_lait,nam_prp_nam,perle_de_lait,",",",",PUNCT,Calin,Calin,PROPN,",",",",PUNCT,Panier,Panier,PROPN,(,(,PUNCT,...,...,PUNCT,),),PUNCT,est,être,VERB,venu,venir,VERB,dénoncer,dénoncer,VERB,2015-02-24,2015,2010,PROPN PUNCT Perle de lait PUNCT PUNCT,PUNCT Perle de lait PUNCT,PROPN PUNCT Perle de lait,PUNCT PROPN PUNCT Perle de lait,PROPN PUNCT PROPN PUNCT Perle de lait,Perle de lait PUNCT PUNCT,Perle de lait PUNCT PUNCT VERB,Perle de lait PUNCT PUNCT VERB VERB,"Calin , Perle de lait ... )",", Perle de lait ...","Calin , Perle de lait",", Calin , Perle de lait","Panier , Calin , Perle de lait",Perle de lait ... ),Perle de lait ... ) être,Perle de lait ... ) être venir
http://www.leconomiste.com/article/972969-yoplait-fete-ses-50-ans,leconomiste.com,2015-06-17,Morocco,Perle_de_Lait/NAM_PRP_NAM/Perle_de_Lait,"Ils  sont  près  de  40  franchises  établies  dans  ces  pays  avec  quelque  2.500  références  exclusives  parmi  lesquelles  Panier  de  Yoplait  ,  Yop  ,  Calin  ou  encore Perle_de_Lait  .",perle_de_lait,nam_prp_nam,perle_de_lait,encore,encore,ADV,ou,ou,CONJ,Calin,Calin,PROPN,",",",",PUNCT,Yop,Yop,PROPN,.,.,PUNCT,,,,,,,,,,,,,2015-06-17,2015,2010,,ADV Perle de lait PUNCT,CONJ ADV Perle de lait,PROPN CONJ ADV Perle de lait,PUNCT PROPN CONJ ADV Perle de lait,,,,,encore Perle de lait .,ou encore Perle de lait,Calin ou encore Perle de lait,", Calin ou encore Perle de lait",,,
http://www.20minutes.fr/insolite/1778915-20160203-video-fabrique-bijoux-lait-maternel,20minutes.fr,2016-02-03,France,PERLE_DE_LAIT/NAM_NAM_NAM/PERLE_DE_LAIT," PERLE_DE_LAIT  ""  Je  voulais  vraiment  célébrer  ce  lien  spécial  entre  la  mère  et  l'  enfant  ""  ,  explique  Bridgette  Boudreaux  ...",perle_de_lait,nam_nam_nam,perle_de_lait,,,,,,,,,,,,,,,,"""","""",PUNCT,Je,je,PRON,voulais,vouloir,VERB,vraiment,vraiment,ADV,célébrer,célébrer,VERB,2016-02-03,2016,2010,,,,,,Perle de lait PUNCT PRON,Perle de lait PUNCT PRON VERB,Perle de lait PUNCT PRON VERB ADV,,,,,,"Perle de lait "" je","Perle de lait "" je vouloir","Perle de lait "" je vouloir vraiment"
http://www.20minutes.fr/insolite/1778915-20160203-video-fabrique-bijoux-lait-maternel,20minutes.fr,2016-02-03,France,perles_de_lait/NOM_PRP_NOM/perle_de_lait,Les perles_de_lait  coûtent  de  50  à  200  dollars  .,perles_de_lait,nom_prp_nom,perle_de_lait,Les,le,DET,,,,,,,,,,,,,coûtent,coûter,VERB,de,de,ADP,50,@card@,ADJ,à,à,ADP,200,@card@,ADJ,2016-02-03,2016,2010,,DET Perle de lait VERB,,,,Perle de lait VERB ADP,Perle de lait VERB ADP ADJ,Perle de lait VERB ADP ADJ ADP,,le Perle de lait coûter,,,,Perle de lait coûter de,Perle de lait coûter de @card@,Perle de lait coûter de @card@ à
http://www.elle.fr/Beaute/Soins/Astuces/Beaute-yaourt-3092149#utm_source%3DRSS-ELLE%26utm_medium%3DFlux-Rss%26utm_campaign%3DRSS_tout_ELLE%26xtor%3DRSS-20,elle.fr,2016-05-06,France,Perle_de_lait/NAM_PRP_NOM/Perle_de_lait,"Vous  vous  souvenez  de  cette  pub  "" Perle_de_lait  ""  dans  laquelle  une  jeune  femme  se  tartinait  le  visage  de  yaourt  ?  Et  bien  ce  n'  était  pas  si  bête  ...",perle_de_lait,nam_prp_nom,perle_de_lait,"""","""",PUNCT,pub,pub,NOUN,cette,ce,PRON,de,de,ADP,souvenez,souvenir,VERB,"""","""",PUNCT,dans,dans,ADP,laquelle,lequel,PRON,une,un,DET,jeune,jeune,ADJ,2016-05-06,2016,2010,NOUN PUNCT Perle de lait PUNCT ADP,PUNCT Perle de lait PUNCT,NOUN PUNCT Perle de lait,PRON NOUN PUNCT Perle de lait,ADP PRON NOUN PUNCT Perle de lait,Perle de lait PUNCT ADP,Perle de lait PUNCT ADP PRON,Perle de lait PUNCT ADP PRON DET,"pub "" Perle de lait "" dans",""" Perle de lait ""","pub "" Perle de lait","ce pub "" Perle de lait","de ce pub "" Perle de lait","Perle de lait "" dans","Perle de lait "" dans lequel","Perle de lait "" dans lequel un"
http://autourduciel.blog.lemonde.fr/2016/07/10/des-etoiles-dans-les-yeux-2/,lemonde.fr,2016-07-10,France,perlés_de_lait/VER:pper_PRP_NOM/perler_de_lait,"Puis  mon  œil  s'  évade  vers  d'  autres  néants  ,  balayant  les  moignons perlés_de_lait  de  ces  chaumes  célestes  .",perlés_de_lait,ver:pper_prp_nom,perler_de_lait,moignons,moignon,NOUN,les,le,DET,balayant,balayer|balayer,VERB,",",",",PUNCT,néants,néant,NOUN,de,de,ADP,ces,ce,PRON,chaumes,chaume|chaumes,NOUN,célestes,céleste,ADJ,.,.,PUNCT,2016-07-10,2016,2010,DET NOUN Perle de lait ADP PRON,NOUN Perle de lait ADP,DET NOUN Perle de lait,VERB DET NOUN Perle de lait,PUNCT VERB DET NOUN Perle de lait,Perle de lait ADP PRON,Perle de lait ADP PRON NOUN,Perle de lait ADP PRON NOUN ADJ,le moignon Perle de lait de ce,moignon Perle de lait de,le moignon Perle de lait,balayer|balayer le moignon Perle de lait,", balayer|balayer le moignon Perle de lait",Perle de lait de ce,Perle de lait de ce chaume|chaumes,Perle de lait de ce chaume|chaumes céleste
http://www.lexpress.fr/styles/saveurs/recette/recette-de-cococerise-bien-frappe_1816322.html,lexpress.fr,2016-07-27,France,Perle_de_Lait/NAM_PRP_NAM/Perle_de_Lait,500  g  de  yaourt  aromatisé  à  la  noix  de  coco  (  type Perle_de_Lait  ),perle_de_lait,nam_prp_nam,perle_de_lait,type,type,NOUN,(,(,PUNCT,coco,coco,NOUN,de,de,ADP,noix,noix,NOUN,),),PUNCT,,,,,,,,,,,,,2016-07-27,2016,2010,,NOUN Perle de lait PUNCT,PUNCT NOUN Perle de lait,NOUN PUNCT NOUN Perle de lait,ADP NOUN PUNCT NOUN Perle de lait,,,,,type Perle de lait ),( type Perle de lait,coco ( type Perle de lait,de coco ( type Perle de lait,,,
http://www.latribune.fr/regions/bretagne/grace-aux-chinois-carhaix-boit-du-petit-lait-606669.html,latribune.fr,2016-10-16,France,Perle_de_lait/NAM_PRP_NOM/Perle_de_lait,"La  filiale  de  Sodiaal  ,  première  coopérative  laitière  française  et  propriétaire  de  marques  comme  Candia  ,  Entremont  ou Perle_de_lait  ,  va  investir  16  millions  d'  euros  dans  une  unité  de  déminéralisation  de  ""  petit  lait  ""  .",perle_de_lait,nam_prp_nom,perle_de_lait,ou,ou,CONJ,Entremont,Entremont,PROPN,",",",",PUNCT,Candia,Candia,PROPN,comme,comme,CONJ,",",",",PUNCT,va,aller,VERB,investir,investir,VERB,16,@card@,ADJ,millions,million,NOUN,2016-10-16,2016,2010,PROPN CONJ Perle de lait PUNCT VERB,CONJ Perle de lait PUNCT,PROPN CONJ Perle de lait,PUNCT PROPN CONJ Perle de lait,PROPN PUNCT PROPN CONJ Perle de lait,Perle de lait PUNCT VERB,Perle de lait PUNCT VERB VERB,Perle de lait PUNCT VERB VERB ADJ,"Entremont ou Perle de lait , aller","ou Perle de lait ,",Entremont ou Perle de lait,", Entremont ou Perle de lait","Candia , Entremont ou Perle de lait","Perle de lait , aller","Perle de lait , aller investir","Perle de lait , aller investir @card@"
http://www.tdg.ch/economie/entreprises/Le-client-fixe-le-prix-du-lait-pour-sauver-la-production/story/19101270,tdg.ch,2016-10-30,Switzerland,Perle_de_lait/NAM_PRP_NOM/Perle_de_lait,"Pour  compenser  ,  l'  institution  centenaire  concentre  ses  activités  dans  ses  marques  fortes  (  les  yogourts Perle_de_lait  et  les  flancs  TamTam  ,  notamment  )  et  les  produits  GRTA  (  Genève  Région-Terre  d'  Avenir  )  ,  en  forte  hausse  .",perle_de_lait,nam_prp_nom,perle_de_lait,yogourts,yogourt,NOUN,les,le,DET,(,(,PUNCT,fortes,fort,ADJ,marques,marque,NOUN,et,et,CONJ,les,le,DET,flancs,flanc,NOUN,TamTam,TamTam,PROPN,",",",",PUNCT,2016-10-30,2016,2010,DET NOUN Perle de lait CONJ DET,NOUN Perle de lait CONJ,DET NOUN Perle de lait,PUNCT DET NOUN Perle de lait,ADJ PUNCT DET NOUN Perle de lait,Perle de lait CONJ DET,Perle de lait CONJ DET NOUN,Perle de lait CONJ DET NOUN PROPN,le yogourt Perle de lait et le,yogourt Perle de lait et,le yogourt Perle de lait,( le yogourt Perle de lait,fort ( le yogourt Perle de lait,Perle de lait et le,Perle de lait et le flanc,Perle de lait et le flanc TamTam
