url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lesinrocks.com/2014/01/05/medias/lettre-du-jeu-video-13-10-jeux-2014-11456930/,lesinrocks.com,2014-01-05,===NONE===,photomaton/NOM/photomaton,Certains  rétorqueront  que  ce photomaton  revu  et  corrigé  dont  la  démo  est  à  essayer  sur  Internet  en  attendant  sa  sortie  sur  iPhone  et  Android  n'  est  pas  un  jeu  .,photomaton,nom,photomaton,ce,ce,PRON,que,que,CONJ,rétorqueront,rétorquer,VERB,Certains,certain,PRON,,,,revu,revoir,VERB,et,et,CONJ,corrigé,corriger,VERB,dont,dont,PRON,la,le,DET,2014-01-05,2014,2010,CONJ PRON Photomaton VERB CONJ,PRON Photomaton VERB,CONJ PRON Photomaton,VERB CONJ PRON Photomaton,PRON VERB CONJ PRON Photomaton,Photomaton VERB CONJ,Photomaton VERB CONJ VERB,Photomaton VERB CONJ VERB PRON,que ce Photomaton revoir et,ce Photomaton revoir,que ce Photomaton,rétorquer que ce Photomaton,certain rétorquer que ce Photomaton,Photomaton revoir et,Photomaton revoir et corriger,Photomaton revoir et corriger dont
http://www.dhnet.be/regions/charleroi-centre/les-enfants-ont-bien-profite-de-la-fete-52ca331035701baedab1b702,dhnet.be,2014-01-06,Belgium,photomaton/NOM/photomaton,Les  jeunes  participants  ont  également  emporté  un  souvenir  de  la  fête  après  leur  passage  dans  le photomaton  .,photomaton,nom,photomaton,le,le,DET,dans,dans,ADP,passage,passage,NOUN,leur,leur,DET,après,après,ADP,.,.,PUNCT,,,,,,,,,,,,,2014-01-06,2014,2010,,DET Photomaton PUNCT,ADP DET Photomaton,NOUN ADP DET Photomaton,DET NOUN ADP DET Photomaton,,,,,le Photomaton .,dans le Photomaton,passage dans le Photomaton,leur passage dans le Photomaton,,,
http://www.zinfos974.com/Soiree-Shweppes-la-bulle-tonique_a67050.html,zinfos974.com,2014-01-22,===NONE===,photomaton/NOM/photomaton,"Chouchoutées  ,  elles  l'  ont  été  avec  des  cocktails  ,  des  ateliers  nails  et  maquillage  , photomaton  ...  tout  ce  que  femme  veut  .",photomaton,nom,photomaton,",",",",PUNCT,maquillage,maquillage,NOUN,et,et,CONJ,nails,nails,NOUN,ateliers,atelier,NOUN,...,...,PUNCT,tout,tout,PRON,ce,ce,PRON,que,que,PRON,femme,femme,NOUN,2014-01-22,2014,2010,NOUN PUNCT Photomaton PUNCT PRON,PUNCT Photomaton PUNCT,NOUN PUNCT Photomaton,CONJ NOUN PUNCT Photomaton,NOUN CONJ NOUN PUNCT Photomaton,Photomaton PUNCT PRON,Photomaton PUNCT PRON PRON,Photomaton PUNCT PRON PRON PRON,"maquillage , Photomaton ... tout",", Photomaton ...","maquillage , Photomaton","et maquillage , Photomaton","nails et maquillage , Photomaton",Photomaton ... tout,Photomaton ... tout ce,Photomaton ... tout ce que
http://www.metronews.fr/lyon/sirine-eliminee-de-nouvelle-star-d8-j-ai-eu-une-enorme-absence/mnax%21CqGldhj4N0SJ/,metronews.fr,2014-01-25,France,Photomaton/NAM/Photomaton,"Sur  la  deuxième  (  sur  le  morceau  , Photomaton  ,  de  Jabberwocky  ,  ndlr  )  ,  j'  ai  eu  une  énorme  absence  .",photomaton,nam,photomaton,",",",",PUNCT,morceau,morceau,NOUN,le,le,DET,sur,sur,ADP,(,(,PUNCT,",",",",PUNCT,de,de,ADP,Jabberwocky,Jabberwocky,PROPN,",",",",PUNCT,ndlr,ndlr,NOUN,2014-01-25,2014,2010,NOUN PUNCT Photomaton PUNCT ADP,PUNCT Photomaton PUNCT,NOUN PUNCT Photomaton,DET NOUN PUNCT Photomaton,ADP DET NOUN PUNCT Photomaton,Photomaton PUNCT ADP,Photomaton PUNCT ADP PROPN,Photomaton PUNCT ADP PROPN PUNCT,"morceau , Photomaton , de",", Photomaton ,","morceau , Photomaton","le morceau , Photomaton","sur le morceau , Photomaton","Photomaton , de","Photomaton , de Jabberwocky","Photomaton , de Jabberwocky ,"
http://www.ladepeche.fr/article/2014/01/29/1805907-une-boutique-ephemere-marc-jacobs-acceptera-les-paiements-par-tweets.html,ladepeche.fr,2014-01-29,France,photomaton/NOM/photomaton,"Sur  le  papier  ,  la  boutique  ""  Daisy  Marc  Jacobs  Tweet  Shop  ""  offre  des  services  traditionnels  :  un  salon  ,  une  zone  dédiée  au  nail  art  ,  un photomaton  et  des  boissons  .",photomaton,nom,photomaton,un,un,DET,",",",",PUNCT,art,art,NOUN,nail,nail,NOUN,au,au,ADP DET,et,et,CONJ,des,du,ADP DET,boissons,boisson,NOUN,.,.,PUNCT,,,,2014-01-29,2014,2010,PUNCT DET Photomaton CONJ ADP DET,DET Photomaton CONJ,PUNCT DET Photomaton,NOUN PUNCT DET Photomaton,NOUN NOUN PUNCT DET Photomaton,Photomaton CONJ ADP DET,Photomaton CONJ ADP DET NOUN,Photomaton CONJ ADP DET NOUN PUNCT,", un Photomaton et du",un Photomaton et,", un Photomaton","art , un Photomaton","nail art , un Photomaton",Photomaton et du,Photomaton et du boisson,Photomaton et du boisson .
http://news.autoplus.fr/news/1479562/R%C3%A9tromobile-2014-Premi%C3%A8re-Guerre-Mondiale-Maharadjas-Renault-Peugeot,autoplus.fr,2014-02-05,France,photomaton/NOM/photomaton,"Durant  toute  la  durée  de  l'  événement  ,  le  stand  vous  accueille  pour  feuilleter  les  derniers  numéros  publiés  du  magazine  ,  tandis  qu'  une  Renault  Estafette  sert  de  décor  au photomaton  .",photomaton,nom,photomaton,au,au,ADP DET,décor,décor,NOUN,de,de,ADP,sert,servir,VERB,Estafette,Estafette,PROPN,.,.,PUNCT,,,,,,,,,,,,,2014-02-05,2014,2010,,ADP DET Photomaton PUNCT,NOUN ADP DET Photomaton,ADP NOUN ADP DET Photomaton,VERB ADP NOUN ADP DET Photomaton,,,,,au Photomaton .,décor au Photomaton,de décor au Photomaton,servir de décor au Photomaton,,,
http://www.lnc.nc/article/noumea/sous-les-sunlights-des-tropiques,lnc.nc,2014-02-05,New Caledonia,photomaton/NOM/photomaton,"En  prime  ,  ils  pourront  ramener  un  souvenir  de  leur  soirée  en  passant  dans  le photomaton  installé  à  l'  intérieur  de  l'  établissement  .",photomaton,nom,photomaton,le,le,DET,dans,dans,ADP,passant,passer,VERB,en,en,ADP,soirée,soirée,NOUN,installé,installer,VERB,à,à,ADP,l',le,DET,intérieur,intérieur,NOUN,de,de,ADP,2014-02-05,2014,2010,ADP DET Photomaton VERB ADP,DET Photomaton VERB,ADP DET Photomaton,VERB ADP DET Photomaton,ADP VERB ADP DET Photomaton,Photomaton VERB ADP,Photomaton VERB ADP DET,Photomaton VERB ADP DET NOUN,dans le Photomaton installer à,le Photomaton installer,dans le Photomaton,passer dans le Photomaton,en passer dans le Photomaton,Photomaton installer à,Photomaton installer à le,Photomaton installer à le intérieur
http://www.lameuse.be/929350/article/regions/brabant-wallon/actualite/2014-02-07/brabant-wallon-nos-idees-originales-pour-la-saint-valentin,lameuse.be,2014-02-07,Belgium,photomaton/NOM/photomaton,Mais  ne  vous  emballez  pas  !  Il  s'  agit  d'  un photomaton  qui  vous  tirera  le  portrait  .,photomaton,nom,photomaton,un,un,DET,d',de,ADP,agit,agir,VERB,s',se,PRON,Il,il,PRON,qui,qui,PRON,vous,vous,PRON,tirera,tirer,VERB,le,le,DET,portrait,portrait,NOUN,2014-02-07,2014,2010,ADP DET Photomaton PRON PRON,DET Photomaton PRON,ADP DET Photomaton,VERB ADP DET Photomaton,PRON VERB ADP DET Photomaton,Photomaton PRON PRON,Photomaton PRON PRON VERB,Photomaton PRON PRON VERB DET,de un Photomaton qui vous,un Photomaton qui,de un Photomaton,agir de un Photomaton,se agir de un Photomaton,Photomaton qui vous,Photomaton qui vous tirer,Photomaton qui vous tirer le
http://patwhite.com/node/17183,patwhite.com,2014-02-10,===NONE===,photomaton/NOM/photomaton,"Le  Studio  303  du  Belgo  propose  ,  dans  le  cadre  de  la  fiesta  féministe  Edgy  Redux  ,  la  soirée  All  Nuit  Long  et  ses  courts-métrages  sur  le  thème  Transition  ,  programmée  par  Dayna  McLeod  ,  et  un photomaton  interactif  réalisé  par  la  photographe  Nikol  Mikus  ,  avec  décors  et  costumes  .",photomaton,nom,photomaton,un,un,DET,et,et,CONJ,",",",",PUNCT,McLeod,McLeod,PROPN,Dayna,Dayna,PROPN,interactif,interactif,ADJ,réalisé,réaliser,VERB,par,par,ADP,la,le,DET,photographe,photographe,NOUN,2014-02-10,2014,2010,CONJ DET Photomaton ADJ VERB,DET Photomaton ADJ,CONJ DET Photomaton,PUNCT CONJ DET Photomaton,PROPN PUNCT CONJ DET Photomaton,Photomaton ADJ VERB,Photomaton ADJ VERB ADP,Photomaton ADJ VERB ADP DET,et un Photomaton interactif réaliser,un Photomaton interactif,et un Photomaton,", et un Photomaton","McLeod , et un Photomaton",Photomaton interactif réaliser,Photomaton interactif réaliser par,Photomaton interactif réaliser par le
http://www.jeuxvideo.fr/jeux/the-last-of-us-left-behind/preview-test-the-last-of-us-left-behind.html,jeuxvideo.fr,2014-02-14,France,photomaton/NOM/photomaton,"Les  deux  gamines  essaient  des  masques  terrifiants  dans  un  magasin  de  farces  et  attrapes  ,  grimacent  dans  un photomaton  ou  jouent  à  cache-cache  armées  de  pistolets  à  eau  .",photomaton,nom,photomaton,un,un,DET,dans,dans,ADP,grimacent,grimacer,VERB,",",",",PUNCT,attrapes,attrape,NOUN,ou,ou,CONJ,jouent,jouer,VERB,à,à,ADP,cache-cache,cache-cache,NOUN,armées,armer,VERB,2014-02-14,2014,2010,ADP DET Photomaton CONJ VERB,DET Photomaton CONJ,ADP DET Photomaton,VERB ADP DET Photomaton,PUNCT VERB ADP DET Photomaton,Photomaton CONJ VERB,Photomaton CONJ VERB ADP,Photomaton CONJ VERB ADP NOUN,dans un Photomaton ou jouer,un Photomaton ou,dans un Photomaton,grimacer dans un Photomaton,", grimacer dans un Photomaton",Photomaton ou jouer,Photomaton ou jouer à,Photomaton ou jouer à cache-cache
