url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.agefi.fr/articles/les-firmes-espagnoles-touchees-de-plein-fouet-par-le-credit-crunch--1299051.html,agefi.fr,2014-01-03,France,Pikolin/NAM/Pikolin,"Fagor  Electrodomestiques  ,  le  fabriquant  de  pain  de  mie  Panrico  ,  les  fabricants  de  matelas  Flex  et Pikolin  ,  le  géant  du  poisson  Pescanova  ,  le  groupe  de  textile  Blanco  et  bien  d'  autres  encore  font  partie  de  la  longue  liste  d'  entreprises  espagnoles  qui  ont  déposé  le  bilan  ,  faute  d'  avoir  pu  renégocier  leurs  dettes  .",pikolin,nam,pikolin,et,et,CONJ,Flex,Flex,PROPN,matelas,matelas,NOUN,de,de,ADP,fabricants,fabricant,NOUN,",",",",PUNCT,le,le,DET,géant,géant,NOUN,du,du,ADP DET,poisson,poisson,NOUN,2014-01-03,2014,2010,PROPN CONJ Pikolin PUNCT DET,CONJ Pikolin PUNCT,PROPN CONJ Pikolin,NOUN PROPN CONJ Pikolin,ADP NOUN PROPN CONJ Pikolin,Pikolin PUNCT DET,Pikolin PUNCT DET NOUN,Pikolin PUNCT DET NOUN ADP DET,"Flex et Pikolin , le","et Pikolin ,",Flex et Pikolin,matelas Flex et Pikolin,de matelas Flex et Pikolin,"Pikolin , le","Pikolin , le géant","Pikolin , le géant du"
http://www.lesechos.fr/journal20141104/lec2_pme_et_regions/0203898350687-les-matelas-epeda-vont-retrouver-leur-usine-dans-leure-1060568.php?xtor=RSS-2103,lesechos.fr,2014-11-04,France,Pikolin/NOM/Pikolin,"Cofel  ,  filiale  de  l'  espagnol Pikolin  ,  remplace  une  usine  qui  avait  brûlé  .",pikolin,nom,pikolin,espagnol,espagnol,ADJ,l',le,DET,de,de,ADP,filiale,filial,ADJ,",",",",PUNCT,",",",",PUNCT,remplace,remplacer,VERB,une,un,DET,usine,usine,NOUN,qui,qui,PRON,2014-11-04,2014,2010,DET ADJ Pikolin PUNCT VERB,ADJ Pikolin PUNCT,DET ADJ Pikolin,ADP DET ADJ Pikolin,ADJ ADP DET ADJ Pikolin,Pikolin PUNCT VERB,Pikolin PUNCT VERB DET,Pikolin PUNCT VERB DET NOUN,"le espagnol Pikolin , remplacer","espagnol Pikolin ,",le espagnol Pikolin,de le espagnol Pikolin,filial de le espagnol Pikolin,"Pikolin , remplacer","Pikolin , remplacer un","Pikolin , remplacer un usine"
http://www.lesechos.fr/journal20141104/lec2_pme_et_regions/0203898350687-les-matelas-epeda-vont-retrouver-leur-usine-dans-leure-1060568.php?xtor=RSS-2103,lesechos.fr,2014-11-04,France,Pikolin/NAM/Pikolin,"""  La  taille  de  l'  usine  sera  équivalente  -  37.000  mètres  carrés  -  ,  mais  elle  sera  plus  compacte  et  plus  compétitive  ,  ce  qui  nous  permettra  d'  augmenter  de  80  %  la  production  si  besoin  est  ""  ,  assure  Luis  Flaquer  ,  directeur  général  de  Cofel  ,  filiale  du  groupe  espagnol Pikolin  et  numéro  un  de  la  literie  en  France  avec  ses  marques  Bultex  ,  Mérinos  et  Epéda  .",pikolin,nam,pikolin,espagnol,espagnol,ADJ,groupe,groupe,NOUN,du,du,ADP DET,filiale,filial,ADJ,",",",",PUNCT,et,et,CONJ,numéro,numéro,NOUN,un,un,ADJ,de,de,ADP,la,le,DET,2014-11-04,2014,2010,NOUN ADJ Pikolin CONJ NOUN,ADJ Pikolin CONJ,NOUN ADJ Pikolin,ADP DET NOUN ADJ Pikolin,ADJ ADP DET NOUN ADJ Pikolin,Pikolin CONJ NOUN,Pikolin CONJ NOUN ADJ,Pikolin CONJ NOUN ADJ ADP,groupe espagnol Pikolin et numéro,espagnol Pikolin et,groupe espagnol Pikolin,du groupe espagnol Pikolin,filial du groupe espagnol Pikolin,Pikolin et numéro,Pikolin et numéro un,Pikolin et numéro un de
http://www.lesechos.fr/journal20141104/lec2_pme_et_regions/0203898350687-les-matelas-epeda-vont-retrouver-leur-usine-dans-leure-1060568.php#xtor%3DRSS-2082,lesechos.fr,2015-01-30,France,Pikolin/NOM/Pikolin,"Cofel  ,  filiale  de  l'  espagnol Pikolin  ,  remplace  une  usine  qui  avait  brûlé  .",pikolin,nom,pikolin,espagnol,espagnol,ADJ,l',le,DET,de,de,ADP,filiale,filial,ADJ,",",",",PUNCT,",",",",PUNCT,remplace,remplacer,VERB,une,un,DET,usine,usine,NOUN,qui,qui,PRON,2015-01-30,2015,2010,DET ADJ Pikolin PUNCT VERB,ADJ Pikolin PUNCT,DET ADJ Pikolin,ADP DET ADJ Pikolin,ADJ ADP DET ADJ Pikolin,Pikolin PUNCT VERB,Pikolin PUNCT VERB DET,Pikolin PUNCT VERB DET NOUN,"le espagnol Pikolin , remplacer","espagnol Pikolin ,",le espagnol Pikolin,de le espagnol Pikolin,filial de le espagnol Pikolin,"Pikolin , remplacer","Pikolin , remplacer un","Pikolin , remplacer un usine"
http://www.lesechos.fr/journal20141104/lec2_pme_et_regions/0203898350687-les-matelas-epeda-vont-retrouver-leur-usine-dans-leure-1060568.php#xtor%3DRSS-2082,lesechos.fr,2015-01-30,France,Pikolin/NAM/Pikolin,"""  La  taille  de  l'  usine  sera  équivalente  -  37.000  mètres  carrés  -  ,  mais  elle  sera  plus  compacte  et  plus  compétitive  ,  ce  qui  nous  permettra  d'  augmenter  de  80  %  la  production  si  besoin  est  ""  ,  assure  Luis  Flaquer  ,  directeur  général  de  Cofel  ,  filiale  du  groupe  espagnol Pikolin  et  numéro  un  de  la  literie  en  France  avec  ses  marques  Bultex  ,  Mérinos  et  Epéda  .",pikolin,nam,pikolin,espagnol,espagnol,ADJ,groupe,groupe,NOUN,du,du,ADP DET,filiale,filial,ADJ,",",",",PUNCT,et,et,CONJ,numéro,numéro,NOUN,un,un,ADJ,de,de,ADP,la,le,DET,2015-01-30,2015,2010,NOUN ADJ Pikolin CONJ NOUN,ADJ Pikolin CONJ,NOUN ADJ Pikolin,ADP DET NOUN ADJ Pikolin,ADJ ADP DET NOUN ADJ Pikolin,Pikolin CONJ NOUN,Pikolin CONJ NOUN ADJ,Pikolin CONJ NOUN ADJ ADP,groupe espagnol Pikolin et numéro,espagnol Pikolin et,groupe espagnol Pikolin,du groupe espagnol Pikolin,filial du groupe espagnol Pikolin,Pikolin et numéro,Pikolin et numéro un,Pikolin et numéro un de
http://www.lemonde.fr/entreprises/article/2016/10/04/la-france-cesse-de-perdre-ses-usines_5007593_1656994.html#xtor%3DRSS-3208,lemonde.fr,2016-10-03,France,Cofel-Pikolin/NAM/Cofel-Pikolin,"Puis  viendra  ,  à  la  fin  du  mois  de  novembre  ,  le  tour  de Cofel-Pikolin  :  à  Criquebeuf-sur-Seine  (  Eure  )  ,  l'  industriel  espagnol  détenteur  des  marques  Epeda  ,  Bultex  et  Merinos  met  la  dernière  main  à  une  unité  de  production  et  de  distribution  de  literie  .",cofel-pikolin,nam,cofel-pikolin,de,de,ADP,tour,tour,NOUN,le,le,DET,",",",",PUNCT,novembre,novembre,NOUN,:,:,PUNCT,à,à,ADP,Criquebeuf-sur-Seine,Criquebeuf-sur-Seine,PROPN,(,(,PUNCT,Eure,Eure,PROPN,2016-10-03,2016,2010,NOUN ADP Pikolin PUNCT ADP,ADP Pikolin PUNCT,NOUN ADP Pikolin,DET NOUN ADP Pikolin,PUNCT DET NOUN ADP Pikolin,Pikolin PUNCT ADP,Pikolin PUNCT ADP PROPN,Pikolin PUNCT ADP PROPN PUNCT,tour de Pikolin : à,de Pikolin :,tour de Pikolin,le tour de Pikolin,", le tour de Pikolin",Pikolin : à,Pikolin : à Criquebeuf-sur-Seine,Pikolin : à Criquebeuf-sur-Seine (
https://www.lesechos.fr/industrie-services/conso-distribution/0211966296368-deja-proprietaire-depeda-et-merinos-cofel-fait-le-pari-du-haut-de-gamme-avec-lamericain-serta-2081797.php,lesechos.fr,2017-04-24,France,Pikolin/NAM/Pikolin,"Avec  30  %  de  part  de  marché  ,  le  groupe  (  filiale  de  l'  espagnol  Grupo Pikolin  )  veut  conserver  son  leadership  en  France  ,  alors  que  la  concurrence  se  durcit  ,  avec  l'  arrivée  des  sites  Internet  .",pikolin,nam,pikolin,Grupo,Grupo,PROPN,espagnol,espagnol,ADJ,l',le,DET,de,de,ADP,filiale,filial,ADJ,),),PUNCT,veut,vouloir,VERB,conserver,conserver,VERB,son,son,DET,leadership,leadership,NOUN,2017-04-24,2017,2010,ADJ PROPN Pikolin PUNCT VERB,PROPN Pikolin PUNCT,ADJ PROPN Pikolin,DET ADJ PROPN Pikolin,ADP DET ADJ PROPN Pikolin,Pikolin PUNCT VERB,Pikolin PUNCT VERB VERB,Pikolin PUNCT VERB VERB DET,espagnol Grupo Pikolin ) vouloir,Grupo Pikolin ),espagnol Grupo Pikolin,le espagnol Grupo Pikolin,de le espagnol Grupo Pikolin,Pikolin ) vouloir,Pikolin ) vouloir conserver,Pikolin ) vouloir conserver son
http://www.dhnet.be/regions/bruxelles/le-choc-des-commercants-les-casseurs-etaient-des-enfants-5a0e01cccd707514e8c72e63,dhnet.be,2017-11-17,Belgium,Pikolinos/NOM/Pikolinos,"<doc uri=http://www.dhnet.be/regions/bruxelles/le-choc-des-commercants-les-casseurs-etaient-des-enfants-5a0e01cccd707514e8c72e63 website=dhnet.be date=2017-11-17 source_country=Belgium> /""/PUN:cit /je/PRO:PER /me/PRO:PER /sentir/VER:pres /un/DET:ART /peu/ADV /bizarre/ADJ /""/PUN:cit /,/PUN /souffler/VER:pres /un/DET:ART /vendeur/NOM /du/PRP:det /magasin/NOM /de/PRP /chaussure/NOM Pikolinos  ,  situé  rue  des  Fripiers  ,  à  deux  pas  de  la  place  de  la  Monnaie  .",pikolinos,nom,pikolinos,chaussures,chaussure,NOUN,de,de,ADP,magasin,magasin,NOUN,du,du,ADP DET,vendeuse,vendeur,NOUN,",",",",PUNCT,situé,situer,VERB,rue,rue,NOUN,des,du,ADP DET,Fripiers,Fripiers,PROPN,2017-11-17,2017,2010,ADP NOUN Pikolin PUNCT VERB,NOUN Pikolin PUNCT,ADP NOUN Pikolin,NOUN ADP NOUN Pikolin,ADP DET NOUN ADP NOUN Pikolin,Pikolin PUNCT VERB,Pikolin PUNCT VERB NOUN,Pikolin PUNCT VERB NOUN ADP DET,"de chaussure Pikolin , situer","chaussure Pikolin ,",de chaussure Pikolin,magasin de chaussure Pikolin,du magasin de chaussure Pikolin,"Pikolin , situer","Pikolin , situer rue","Pikolin , situer rue du"
http://www.lefigaro.fr/flash-eco/2019/01/11/97002-20190111FILWWW00344-fermeture-d-une-usine-cofel-en-haute-loire.php,lefigaro.fr,2019-01-11,France,Pikolin/NAM/Pikolin,"Le  groupe  Cofel  est  détenu  pour  moitié  par  le  groupe  espagnol  familial Pikolin  ,  basé  à  Saragosse  ,  leader  sur  les  marchés  espagnol  et  portugais  de  la  literie  ,  et  par  le  groupe  distribution  sud-africain  Steinhoff  .",pikolin,nam,pikolin,familial,familial,ADJ,espagnol,espagnol,ADJ,groupe,groupe,NOUN,le,le,DET,par,par,ADP,",",",",PUNCT,basé,baser,VERB,à,à,ADP,Saragosse,Saragosse,PROPN,",",",",PUNCT,2019-01-11,2019,2010,ADJ ADJ Pikolin PUNCT VERB,ADJ Pikolin PUNCT,ADJ ADJ Pikolin,NOUN ADJ ADJ Pikolin,DET NOUN ADJ ADJ Pikolin,Pikolin PUNCT VERB,Pikolin PUNCT VERB ADP,Pikolin PUNCT VERB ADP PROPN,"espagnol familial Pikolin , baser","familial Pikolin ,",espagnol familial Pikolin,groupe espagnol familial Pikolin,le groupe espagnol familial Pikolin,"Pikolin , baser","Pikolin , baser à","Pikolin , baser à Saragosse"
https://www.lexpress.mu/node/347038,lexpress.mu,2019-02-03,Mauritius,Pikolinos/NOM/Pikolinos,"À  l'  heure  où  vous  lisez  ces  lignes  ,  cet  homme  d'  affaires  de  59  ans  ,  qui  exploitait  avec  son  associé  les  enseignes  de  vêtements  Laughing  Duke  ,  les  chaussures  Clarks  , Pikolinos  et  autres  à  First  Time  et  Dockland  et  de  la  bagagerie  de  luxe  à  Showtime  ,  n'  est  déjà  plus  de  ce  monde  .",pikolinos,nom,pikolinos,",",",",PUNCT,Clarks,Clarks,PROPN,chaussures,chaussure,NOUN,les,le,DET,",",",",PUNCT,et,et,CONJ,autres,autre,ADJ,à,à,ADP,First,First,PROPN,Time,Time,PROPN,2019-02-03,2019,2010,PROPN PUNCT Pikolin CONJ ADJ,PUNCT Pikolin CONJ,PROPN PUNCT Pikolin,NOUN PROPN PUNCT Pikolin,DET NOUN PROPN PUNCT Pikolin,Pikolin CONJ ADJ,Pikolin CONJ ADJ ADP,Pikolin CONJ ADJ ADP PROPN,"Clarks , Pikolin et autre",", Pikolin et","Clarks , Pikolin","chaussure Clarks , Pikolin","le chaussure Clarks , Pikolin",Pikolin et autre,Pikolin et autre à,Pikolin et autre à First
