url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.24heures.ch/suisse/La-moitie-des-locataires-d-un-logement-social-fraudaient/story/10917459,24heures.ch,2014-02-23,Switzerland,Bümpliz/NAM/Bümpliz,"Le  quartier  de Bümpliz  à  Berne  ,  qui  concentre  une  partie  des  logements  sociaux  de  l'  agglomération  .",bümpliz,nam,bümpliz,de,de,ADP,quartier,quartier,NOUN,Le,le,DET,,,,,,,à,à,ADP,Berne,Berne,PROPN,",",",",PUNCT,qui,qui,PRON,concentre,concentrer,VERB,2014-02-23,2014,2010,NOUN ADP Pliz ADP PROPN,ADP Pliz ADP,NOUN ADP Pliz,DET NOUN ADP Pliz,,Pliz ADP PROPN,Pliz ADP PROPN PUNCT,Pliz ADP PROPN PUNCT PRON,quartier de Pliz à Berne,de Pliz à,quartier de Pliz,le quartier de Pliz,,Pliz à Berne,"Pliz à Berne ,","Pliz à Berne , qui"
http://www.rfj.ch/rfj/Sports/Football/20140308-Bassecourt-souffle-Alle-souffre.html,rfj.ch,2014-03-08,Switzerland,Bümpliz/NAM/Bümpliz,"Le  FC  Bassecourt  a  empoché  trois  points  bienvenus  dans  la  course  au  maintien  ,  en  prenant  la  mesure  de Bümpliz  2  -  1  aux  Grands-Prés  .",bümpliz,nam,bümpliz,de,de,ADP,mesure,mesure,NOUN,la,le,DET,prenant,prendre,VERB,en,en,ADP,2,@card@,ADJ,-,-,PUNCT,1,@card@,ADJ,aux,au,ADP DET,Grands-Prés,Grands-Prés,PROPN,2014-03-08,2014,2010,NOUN ADP Pliz ADJ PUNCT,ADP Pliz ADJ,NOUN ADP Pliz,DET NOUN ADP Pliz,VERB DET NOUN ADP Pliz,Pliz ADJ PUNCT,Pliz ADJ PUNCT ADJ,Pliz ADJ PUNCT ADJ ADP DET,mesure de Pliz @card@ -,de Pliz @card@,mesure de Pliz,le mesure de Pliz,prendre le mesure de Pliz,Pliz @card@ -,Pliz @card@ - @card@,Pliz @card@ - @card@ au
http://www.ad-hoc-news.de/bruxelles-d-monstration-de-force-des-syndicats-pour-une-autre-europe--/de/News/36278302,ad-hoc-news.de,2014-04-04,Germany,Bümpliz-Sud/NAM/Bümpliz-Sud,<doc uri=http://www.ad-hoc-news.de/bruxelles-d-monstration-de-force-des-syndicats-pour-une-autre-europe--/de/News/36278302 website=ad-hoc-news.de date=2014-04-04 source_country=Germany> /Dazu/NAM /@card@/NUM /min/NOM /./SENT /ch/ADJ /weiter/NOM /:/PUN /le/DET:ART /trafic/NOM /ferroviaire/ADJ /être/VER:impf /interrompre/VER:pper /vendredi/NOM /après-midi/NOM /entre/PRP /le/DET:ART /station/NOM /Ausserholligen/NAM /et/KON Bümpliz-Sud  .,bümpliz-sud,nam,bümpliz-sud,et,et,CONJ,Ausserholligen,Ausserholligen,PROPN,stations,station,NOUN,les,le,DET,entre,entre,ADP,.,.,PUNCT,,,,,,,,,,,,,2014-04-04,2014,2010,,CONJ Pliz PUNCT,PROPN CONJ Pliz,NOUN PROPN CONJ Pliz,DET NOUN PROPN CONJ Pliz,,,,,et Pliz .,Ausserholligen et Pliz,station Ausserholligen et Pliz,le station Ausserholligen et Pliz,,,
http://www.lematin.ch/faits-divers/Plus-aucun-train-ne-circule-entre-Fribourg-et-Berne/story/25817537,lematin.ch,2014-05-06,Switzerland,Berne-Bümpliz/NAM/Berne-Bümpliz,Un  accident  de  personnes  survenu  en  gare  de Berne-Bümpliz  Sud  est  en  cause  .,berne-bümpliz,nam,berne-bümpliz,de,de,ADP,gare,gare,NOUN,en,en,ADP,survenu,survenir,VERB,personnes,personne,NOUN,Sud,Sud,ADJ,est,être,VERB,en,en,ADP,cause,cause,NOUN,.,.,PUNCT,2014-05-06,2014,2010,NOUN ADP Pliz ADJ VERB,ADP Pliz ADJ,NOUN ADP Pliz,ADP NOUN ADP Pliz,VERB ADP NOUN ADP Pliz,Pliz ADJ VERB,Pliz ADJ VERB ADP,Pliz ADJ VERB ADP NOUN,gare de Pliz Sud être,de Pliz Sud,gare de Pliz,en gare de Pliz,survenir en gare de Pliz,Pliz Sud être,Pliz Sud être en,Pliz Sud être en cause
http://www.lematin.ch/faits-divers/Plus-aucun-train-ne-circule-entre-Fribourg-et-Berne/story/25817537,lematin.ch,2014-05-06,Switzerland,Bümpliz-Sud/NAM/Bümpliz-Sud,"En  décembre  ,  quatre  y  ont  été  tuées  ,  dont  deux  jeunes  dans  cette  même  gare  de Bümpliz-Sud  .",bümpliz-sud,nam,bümpliz-sud,de,de,ADP,gare,gare,NOUN,même,même,ADJ,cette,ce,PRON,dans,dans,ADP,.,.,PUNCT,,,,,,,,,,,,,2014-05-06,2014,2010,,ADP Pliz PUNCT,NOUN ADP Pliz,ADJ NOUN ADP Pliz,PRON ADJ NOUN ADP Pliz,,,,,de Pliz .,gare de Pliz,même gare de Pliz,ce même gare de Pliz,,,
http://www.lematin.ch/suisse/Des-milliers-de-voyageurs-en-rade-mardi-entre-Berne-et-Fribourg/story/25808212,lematin.ch,2014-05-07,Switzerland,Bümpliz/NAM/Bümpliz,"Des  bus  ont  été  engagés  ,  notamment  dans  la  région  de Bümpliz  ,  permettant  via  un  petit  détour  de  poursuivre  sa  route  ,  mais  l'  information  ,  n'  est  ,  semble-t-il  ,  pas  parvenue  jusqu'  aux  passagers  en  rade  .",bümpliz,nam,bümpliz,de,de,ADP,région,région,NOUN,la,le,DET,dans,dans,ADP,notamment,notamment,ADV,",",",",PUNCT,permettant,permettre,VERB,via,via,ADP,un,un,DET,petit,petit,ADJ,2014-05-07,2014,2010,NOUN ADP Pliz PUNCT VERB,ADP Pliz PUNCT,NOUN ADP Pliz,DET NOUN ADP Pliz,ADP DET NOUN ADP Pliz,Pliz PUNCT VERB,Pliz PUNCT VERB ADP,Pliz PUNCT VERB ADP DET,"région de Pliz , permettre","de Pliz ,",région de Pliz,le région de Pliz,dans le région de Pliz,"Pliz , permettre","Pliz , permettre via","Pliz , permettre via un"
http://www.lematin.ch/faits-divers/150-plants-chanvre-saisis-berne/story/31256302,lematin.ch,2014-09-05,Switzerland,Bümpliz/NAM/Bümpliz,Un  jeune  homme  avait  installé  une  plantation  de  chanvre  indoor  à Bümpliz  .,bümpliz,nam,bümpliz,à,à,ADP,indoor,indoor,ADJ,chanvre,chanvre,NOUN,de,de,ADP,plantation,plantation,NOUN,.,.,PUNCT,,,,,,,,,,,,,2014-09-05,2014,2010,,ADP Pliz PUNCT,ADJ ADP Pliz,NOUN ADJ ADP Pliz,ADP NOUN ADJ ADP Pliz,,,,,à Pliz .,indoor à Pliz,chanvre indoor à Pliz,de chanvre indoor à Pliz,,,
http://www.lematin.ch/faits-divers/150-plants-chanvre-saisis-berne/story/31256302,lematin.ch,2014-09-05,Switzerland,Bümpliz/NAM/Bümpliz,"La  police  cantonale  bernoise  a  saisi  mercredi  3  septembre  à Bümpliz  ,  dans  la  banlieue  de  Berne  ,  plus  de  150  plants  de  chanvre  dans  une  plantation  ""  indoor  ""  .",bümpliz,nam,bümpliz,à,à,ADP,septembre,septembre,NOUN,3,@card@,ADJ,mercredi,mercredi,NOUN,saisi,saisir,VERB,",",",",PUNCT,dans,dans,ADP,la,le,DET,banlieue,banlieue,NOUN,de,de,ADP,2014-09-05,2014,2010,NOUN ADP Pliz PUNCT ADP,ADP Pliz PUNCT,NOUN ADP Pliz,ADJ NOUN ADP Pliz,NOUN ADJ NOUN ADP Pliz,Pliz PUNCT ADP,Pliz PUNCT ADP DET,Pliz PUNCT ADP DET NOUN,"septembre à Pliz , dans","à Pliz ,",septembre à Pliz,@card@ septembre à Pliz,mercredi @card@ septembre à Pliz,"Pliz , dans","Pliz , dans le","Pliz , dans le banlieue"
http://www.dhnet.be/dernieres-depeches/afp/en-difficultes-groupe-flo-veut-se-recentrer-sur-hippopotamus-et-tablaplizza-presse-5468a1843570fe7cfbfd4aef,dhnet.be,2014-11-16,Belgium,Tablaplizza/NAM/Tablaplizza,"<doc uri=http://www.dhnet.be/dernieres-depeches/afp/en-difficultes-groupe-flo-veut-se-recentrer-sur-hippopotamus-et-tablaplizza-presse-5468a1843570fe7cfbfd4aef website=dhnet.be date=2014-11-16 source_country=Belgium> /en/PRP /difficulté/NOM /,/PUN /Groupe/NAM /Flo/NAM /vouloir/VER:pres /se/PRO:PER /recentrer/VER:infi /sur/PRP /Hippopotamus/NAM /et/KON Tablaplizza  (  presse  )",tablaplizza,nam,tablaplizza,et,et,CONJ,Hippopotamus,Hippopotamus,PROPN,sur,sur,ADP,recentrer,recentrer,VERB,se,se,PRON,(,(,PUNCT,presse,presse,NOUN,),),PUNCT,,,,,,,2014-11-16,2014,2010,PROPN CONJ Pliz PUNCT NOUN,CONJ Pliz PUNCT,PROPN CONJ Pliz,ADP PROPN CONJ Pliz,VERB ADP PROPN CONJ Pliz,Pliz PUNCT NOUN,Pliz PUNCT NOUN PUNCT,,Hippopotamus et Pliz ( presse,et Pliz (,Hippopotamus et Pliz,sur Hippopotamus et Pliz,recentrer sur Hippopotamus et Pliz,Pliz ( presse,Pliz ( presse ),
http://www.dhnet.be/dernieres-depeches/afp/en-difficultes-groupe-flo-veut-se-recentrer-sur-hippopotamus-et-tablaplizza-presse-5468a1843570fe7cfbfd4aef,dhnet.be,2014-11-16,Belgium,Tablaplizza/NAM/Tablaplizza,"Pour Tablaplizza  le  nombre  devrait  être  porté  à  50  ,  contre  30  actuellement  .",tablaplizza,nam,tablaplizza,Pour,pour,ADP,,,,,,,,,,,,,le,le,DET,nombre,nombre,NOUN,devrait,devoir,VERB,être,être,VERB,porté,porter,VERB,2014-11-16,2014,2010,,ADP Pliz DET,,,,Pliz DET NOUN,Pliz DET NOUN VERB,Pliz DET NOUN VERB VERB,,pour Pliz le,,,,Pliz le nombre,Pliz le nombre devoir,Pliz le nombre devoir être
