url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.tomsguide.fr/actualite/kung-fury-video-kickstarter%2C39854.html#xtor%3DRSS-20,tomsguide.fr,2014-01-01,France,post-it/NOM/post-it,"Au  final  ,  la  bande-annonce  (  voir  ci-dessous  )  montre  à  quel  point  le  film  fleure  bon  (  ou  mauvais  ?  )  les  effets  spéciaux  à  outrance  et  les  dialogues  écrits  sur  un post-it  .",post-it,nom,post-it,un,un,DET,sur,sur,ADP,écrits,écrire,VERB,dialogues,dialogue,NOUN,les,le,DET,.,.,PUNCT,,,,,,,,,,,,,2014-01-01,2014,2010,,DET Post-it PUNCT,ADP DET Post-it,VERB ADP DET Post-it,NOUN VERB ADP DET Post-it,,,,,un Post-it .,sur un Post-it,écrire sur un Post-it,dialogue écrire sur un Post-it,,,
http://www.lapresse.ca/le-soleil/opinions/chroniqueurs/201312/17/01-4721959-qui-veut-avoir-son-horoscope.php,lapresse.ca,2014-01-02,Canada,Post-it/NOM/Post-it,"Godelieve  a  apporté  sept  livres  ce  jour-là  ,  elle  a  marqué  les  pages  avec  des Post-it  de  toutes  les  couleurs  .",post-it,nom,post-it,des,du,ADP DET,avec,avec,ADP,pages,page,NOUN,les,le,DET,marqué,marquer,VERB,de,de,ADP,toutes,tout,PRON,les,le,DET,couleurs,couleur,NOUN,.,.,PUNCT,2014-01-02,2014,2010,ADP ADP DET Post-it ADP PRON,ADP DET Post-it ADP,ADP ADP DET Post-it,NOUN ADP ADP DET Post-it,DET NOUN ADP ADP DET Post-it,Post-it ADP PRON,Post-it ADP PRON DET,Post-it ADP PRON DET NOUN,avec du Post-it de tout,du Post-it de,avec du Post-it,page avec du Post-it,le page avec du Post-it,Post-it de tout,Post-it de tout le,Post-it de tout le couleur
http://www.programme-tv.net/news/buzz/47109-applis-agenda-etudiant-abc-notes-tout-planifier/#xtor%3DRSS-18,programme-tv.net,2014-01-11,===NONE===,post-it/NOM/post-it,Vous  aimez  les post-it  ?  Cette  appli  va  vous  combler  .,post-it,nom,post-it,les,le,DET,aimez,aimer,VERB,Vous,vous,PRON,,,,,,,?,?,PUNCT,Cette,ce,PRON,appli,appli,NOUN,va,aller,VERB,vous,vous,PRON,2014-01-11,2014,2010,VERB DET Post-it PUNCT PRON,DET Post-it PUNCT,VERB DET Post-it,PRON VERB DET Post-it,,Post-it PUNCT PRON,Post-it PUNCT PRON NOUN,Post-it PUNCT PRON NOUN VERB,aimer le Post-it ? ce,le Post-it ?,aimer le Post-it,vous aimer le Post-it,,Post-it ? ce,Post-it ? ce appli,Post-it ? ce appli aller
http://www.programme-tv.net/news/buzz/47109-applis-agenda-etudiant-abc-notes-tout-planifier/#xtor%3DRSS-18,programme-tv.net,2014-01-11,===NONE===,post-it/NOM/post-it,"Mieux  ,  les post-it  se  synchronisent  avec  iCloud  ,  peuvent  être  placés  sur  l'  écran  de  verrouillage  de  votre  appareil  ou  être  envoyés  par  mail  .",post-it,nom,post-it,les,le,DET,",",",",PUNCT,Mieux,mieux,ADV,,,,,,,se,se,PRON,synchronisent,synchroniser,VERB,avec,avec,ADP,iCloud,iCloud,NOUN,",",",",PUNCT,2014-01-11,2014,2010,PUNCT DET Post-it PRON VERB,DET Post-it PRON,PUNCT DET Post-it,ADV PUNCT DET Post-it,,Post-it PRON VERB,Post-it PRON VERB ADP,Post-it PRON VERB ADP NOUN,", le Post-it se synchroniser",le Post-it se,", le Post-it","mieux , le Post-it",,Post-it se synchroniser,Post-it se synchroniser avec,Post-it se synchroniser avec iCloud
http://www.programme-tv.net/news/buzz/47109-applis-agenda-etudiant-abc-notes-tout-planifier/#xtor%3DRSS-18,programme-tv.net,2014-01-11,===NONE===,Post-it/NOM/Post-it,Sur  Google  Play  on  trouve Post-it  de  rappel  BotherMe  (  gratuite  )  .,post-it,nom,post-it,trouve,trouver,VERB,on,on,PRON,Play,Play,PROPN,Google,Google,PROPN,Sur,sur,ADP,de,de,ADP,rappel,rappel,NOUN,BotherMe,BotherMe,ADJ,(,(,PUNCT,gratuite,gratuit,ADJ,2014-01-11,2014,2010,PRON VERB Post-it ADP NOUN,VERB Post-it ADP,PRON VERB Post-it,PROPN PRON VERB Post-it,PROPN PROPN PRON VERB Post-it,Post-it ADP NOUN,Post-it ADP NOUN ADJ,Post-it ADP NOUN ADJ PUNCT,on trouver Post-it de rappel,trouver Post-it de,on trouver Post-it,Play on trouver Post-it,Google Play on trouver Post-it,Post-it de rappel,Post-it de rappel BotherMe,Post-it de rappel BotherMe (
http://leplus.nouvelobs.com/contribution/1126561-shakira-en-duo-avec-rihanna-pour-son-retour-entre-ska-dance-et-pop-un-succes-assure.html,nouvelobs.com,2014-01-14,France,post-it/NOM/post-it,"""  J'  ai  laissé  un post-it  sur  mon  lit  pour  me  rappeler  de  ne  pas  répéter  les  erreurs  d'  hier  ,  ce  que  je  tends  à  faire  /  Dès  qu'  il  s'  agit  de  toi  je  ne  vois  que  le  positif  (  ...  )  Je  n'  arrive  pas  à  me  souvenir  de  t'  oublier  .",post-it,nom,post-it,un,un,DET,laissé,laisser,VERB,ai,avoir,VERB,J',je,PRON,"""","""",PUNCT,sur,sur,ADP,mon,mon,DET,lit,lit,NOUN,pour,pour,ADP,me,me,PRON,2014-01-14,2014,2010,VERB DET Post-it ADP DET,DET Post-it ADP,VERB DET Post-it,VERB VERB DET Post-it,PRON VERB VERB DET Post-it,Post-it ADP DET,Post-it ADP DET NOUN,Post-it ADP DET NOUN ADP,laisser un Post-it sur mon,un Post-it sur,laisser un Post-it,avoir laisser un Post-it,je avoir laisser un Post-it,Post-it sur mon,Post-it sur mon lit,Post-it sur mon lit pour
http://www.lefigaro.fr/culture/2014/01/15/03004-20140115ARTFIG00635-l-art-contemporain-chinois-s-expose-chez-sotheby-s.php,lefigaro.fr,2014-01-16,France,post-it/NOM/post-it,"La  toile  de  Lichtenstein  est  l'  une  des  rares  œuvres  non  asiatique  ,  avec  le  Béret  basque  authentique  de  Robert  Malaval  ,  qui  comporte  aussi  sa  date  de  naissance  ,  ""  comme  un post-it  signé  de  Dieu  ""  ,  ajoute  le  mystique  collectionneur  .",post-it,nom,post-it,un,un,DET,comme,comme,CONJ,"""","""",PUNCT,",",",",PUNCT,naissance,naissance,NOUN,signé,signer,VERB,de,de,ADP,Dieu,Dieu,NOUN,"""","""",PUNCT,",",",",PUNCT,2014-01-16,2014,2010,CONJ DET Post-it VERB ADP,DET Post-it VERB,CONJ DET Post-it,PUNCT CONJ DET Post-it,PUNCT PUNCT CONJ DET Post-it,Post-it VERB ADP,Post-it VERB ADP NOUN,Post-it VERB ADP NOUN PUNCT,comme un Post-it signer de,un Post-it signer,comme un Post-it,""" comme un Post-it",", "" comme un Post-it",Post-it signer de,Post-it signer de Dieu,"Post-it signer de Dieu """
http://www.7sur7.be/7s7/fr/1523/Famille/article/detail/1777071/2014/01/19/Les-post-it-hilarants-d-un-papa-au-foyer-depasse.dhtml,7sur7.be,2014-01-19,Belgium,post-it/NOM/post-it,<doc uri=http://www.7sur7.be/7s7/fr/1523/Famille/article/detail/1777071/2014/01/19/Les-post-it-hilarants-d-un-papa-au-foyer-depasse.dhtml website=7sur7.be date=2014-01-19 source_country=Belgium> /le/DET:ART post-it  hilarants  d'  un  papa  au  foyer  dépassé,post-it,nom,post-it,Les,le,DET,,,,,,,,,,,,,hilarants,hilarant,ADJ,d',de,ADP,un,un,DET,papa,papa,NOUN,au,au,ADP DET,2014-01-19,2014,2010,,DET Post-it ADJ,,,,Post-it ADJ ADP,Post-it ADJ ADP DET,Post-it ADJ ADP DET NOUN,,le Post-it hilarant,,,,Post-it hilarant de,Post-it hilarant de un,Post-it hilarant de un papa
http://www.7sur7.be/7s7/fr/1523/Famille/article/detail/1777071/2014/01/19/Les-post-it-hilarants-d-un-papa-au-foyer-depasse.dhtml,7sur7.be,2014-01-19,Belgium,post-it/NOM/post-it,"La  première  qu'  il  s'  est  retrouvé  en  tête-à-tête  avec  son  fils  de  bientôt  quatre  ans  ,  il  a  collé  un post-it  bien  en  vue  sur  lequel  il  avait  écrit  la  marche  à  suivre  :  ""  Nourrir  le  bébé  ,  changer  le  bébé  ,  ne  pas  donner  le  bébé  à  manger  au  chat  ,  etc  .",post-it,nom,post-it,un,un,DET,collé,coller,VERB,a,avoir,VERB,il,il,PRON,",",",",PUNCT,bien,bien,ADJ,en,en,ADP,vue,vue,NOUN,sur,sur,ADP,lequel,lequel,PRON,2014-01-19,2014,2010,VERB DET Post-it ADJ ADP,DET Post-it ADJ,VERB DET Post-it,VERB VERB DET Post-it,PRON VERB VERB DET Post-it,Post-it ADJ ADP,Post-it ADJ ADP NOUN,Post-it ADJ ADP NOUN ADP,coller un Post-it bien en,un Post-it bien,coller un Post-it,avoir coller un Post-it,il avoir coller un Post-it,Post-it bien en,Post-it bien en vue,Post-it bien en vue sur
http://www.7sur7.be/7s7/fr/1523/Famille/article/detail/1777071/2014/01/19/Les-post-it-hilarants-d-un-papa-au-foyer-depasse.dhtml,7sur7.be,2014-01-19,Belgium,post-it/NOM/post-it,"Au  lieu  d'  un  album  photos  ,  j'  ai  des post-it  ""  ,  sourit-il  .",post-it,nom,post-it,des,du,ADP DET,ai,avoir,VERB,j',je,PRON,",",",",PUNCT,photos,photo,NOUN,"""","""",PUNCT,",",",",PUNCT,sourit-il,sourit-il,ADJ,.,.,PUNCT,,,,2014-01-19,2014,2010,VERB ADP DET Post-it PUNCT PUNCT,ADP DET Post-it PUNCT,VERB ADP DET Post-it,PRON VERB ADP DET Post-it,PUNCT PRON VERB ADP DET Post-it,Post-it PUNCT PUNCT,Post-it PUNCT PUNCT ADJ,Post-it PUNCT PUNCT ADJ PUNCT,"avoir du Post-it "" ,","du Post-it """,avoir du Post-it,je avoir du Post-it,", je avoir du Post-it","Post-it "" ,","Post-it "" , sourit-il","Post-it "" , sourit-il ."
