url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.leparisien.fr/flash-actualite-sante/la-revue-prescrire-appelle-au-retrait-du-motilium-cause-de-morts-subites-19-02-2014-3605519.php,leparisien.fr,2014-02-19,France,Primpéran/NAM/Primpéran,"En  pratique  ,  souvent  les  troubles  qui  motivent  la  prise  de  ce  médicament  disparaissent  spontanément  ,  ou  avec  l'  appoint  de  mesures  diététiques  ,  indique  Prescrire  qui  cite  des  options  thérapeutiques  comme  par  exemple  le  Mopral  en  cas  de  reflux  gastro-oesophagien  (  remontée  du  contenu  de  l'  estomac  dans  la  bouche  )  ou  encore  ""  dans  de  rares  cas  ""  et  ""  avec  beaucoup  de  prudence  ""  le Primpéran  ou  ses  équivalents  (  molécule  :  métoclopramide  )  et  à  dose  ""  minimale  ,  en  surveillant  de  très  près  ses  effets  indésirables  de  neuroleptique  ""  . </doc>",primpéran,nam,primpéran,le,le,DET,"""","""",PUNCT,prudence,prudence,NOUN,de,de,ADP,beaucoup,beaucoup,ADV,ou,ou,CONJ,ses,son,DET,équivalents,équivalent,NOUN,(,(,PUNCT,molécule,molécule,NOUN,2014-02-19,2014,2010,PUNCT DET Primpéran CONJ DET,DET Primpéran CONJ,PUNCT DET Primpéran,NOUN PUNCT DET Primpéran,ADP NOUN PUNCT DET Primpéran,Primpéran CONJ DET,Primpéran CONJ DET NOUN,Primpéran CONJ DET NOUN PUNCT,""" le Primpéran ou son",le Primpéran ou,""" le Primpéran","prudence "" le Primpéran","de prudence "" le Primpéran",Primpéran ou son,Primpéran ou son équivalent,Primpéran ou son équivalent (
http://www.quechoisir.org/sante-bien-etre/maladie-medecine/medicament/actualite-motilium-un-medicament-trop-dangereux,quechoisir.org,2014-02-20,===NONE===,Primpéran/NAM/Primpéran,"Si  un  médicament  est  jugé  indispensable  ,  le  métoclopramide  ( Primpéran  ou  autres  )  peut  être  envisagé  ,  avec  ""  beaucoup  de  prudence  ""  ,  souligne  Prescrire  qui  rappelle  que  ce  médicament  expose  aussi  à  des  effets  indésirables  importants  . </doc>",primpéran,nam,primpéran,(,(,PUNCT,métoclopramide,métoclopramide,NOUN,le,le,DET,",",",",PUNCT,indispensable,indispensable,ADJ,ou,ou,CONJ,autres,autre,ADJ,),),PUNCT,peut,pouvoir,VERB,être,être,VERB,2014-02-20,2014,2010,NOUN PUNCT Primpéran CONJ ADJ,PUNCT Primpéran CONJ,NOUN PUNCT Primpéran,DET NOUN PUNCT Primpéran,PUNCT DET NOUN PUNCT Primpéran,Primpéran CONJ ADJ,Primpéran CONJ ADJ PUNCT,Primpéran CONJ ADJ PUNCT VERB,métoclopramide ( Primpéran ou autre,( Primpéran ou,métoclopramide ( Primpéran,le métoclopramide ( Primpéran,", le métoclopramide ( Primpéran",Primpéran ou autre,Primpéran ou autre ),Primpéran ou autre ) pouvoir
http://news.doctissimo.fr/Medicaments/Motilium-cet-antivomitif-est-il-dangereux-34249,doctissimo.fr,2014-02-20,France,Primpéran/NAM/Primpéran,"-  Et  dans  les  rares  situations  où  un  ""  modificateur  de  la  motricité  ""  gastrique  semble  justifié  ,  le  métoclopramide  ( Primpéran  ou  autre  )  est  à  discuter  ,  mais  avec  beaucoup  de  prudence  :  à  posologie  minimale  ,  en  surveillant  de  très  près  ses  effets  indésirables  de  neuroleptique  .",primpéran,nam,primpéran,(,(,PUNCT,métoclopramide,métoclopramide,NOUN,le,le,DET,",",",",PUNCT,justifié,justifier,VERB,ou,ou,CONJ,autre,autre,ADJ,),),PUNCT,est,être,VERB,à,à,ADP,2014-02-20,2014,2010,NOUN PUNCT Primpéran CONJ ADJ,PUNCT Primpéran CONJ,NOUN PUNCT Primpéran,DET NOUN PUNCT Primpéran,PUNCT DET NOUN PUNCT Primpéran,Primpéran CONJ ADJ,Primpéran CONJ ADJ PUNCT,Primpéran CONJ ADJ PUNCT VERB,métoclopramide ( Primpéran ou autre,( Primpéran ou,métoclopramide ( Primpéran,le métoclopramide ( Primpéran,", le métoclopramide ( Primpéran",Primpéran ou autre,Primpéran ou autre ),Primpéran ou autre ) être
http://www.humanite.fr/societe/motilium-encore-un-medicament-sur-liste-noire-559698,humanite.fr,2014-02-21,France,Primpéran/NAM/Primpéran,"""  Et  dans  les  rares  situations  où  un  ""  modificateur  de  la  motricité  ""  gastrique  semble  justifié  ,  ""  le  métoclopramide  ( Primpéran  ou  autre  )  est  à  discuter  ,  mais  avec  beaucoup  de  prudence  ""  . </doc>",primpéran,nam,primpéran,(,(,PUNCT,métoclopramide,métoclopramide,NOUN,le,le,DET,"""","""",PUNCT,",",",",PUNCT,ou,ou,CONJ,autre,autre,ADJ,),),PUNCT,est,être,VERB,à,à,ADP,2014-02-21,2014,2010,NOUN PUNCT Primpéran CONJ ADJ,PUNCT Primpéran CONJ,NOUN PUNCT Primpéran,DET NOUN PUNCT Primpéran,PUNCT DET NOUN PUNCT Primpéran,Primpéran CONJ ADJ,Primpéran CONJ ADJ PUNCT,Primpéran CONJ ADJ PUNCT VERB,métoclopramide ( Primpéran ou autre,( Primpéran ou,métoclopramide ( Primpéran,le métoclopramide ( Primpéran,""" le métoclopramide ( Primpéran",Primpéran ou autre,Primpéran ou autre ),Primpéran ou autre ) être
http://www.liberation.fr/vous/2014/02/24/prescrire-sans-contestation_982633?xtor=rss-450,liberation.fr,2014-03-04,France,Primpéran/NAM/Primpéran,"Et  Prescrire  d'  ajouter  que  souvent  les  troubles  qui  motivent  la  prise  de  ce  médicament  disparaissent  spontanément  ,  et  de  citer  des  options  thérapeutiques  alternatives  comme  le  Mopral  ou  encore  ,  ""  dans  de  rares  cas  ""  et  ""  avec  beaucoup  de  prudence  ""  ,  le Primpéran  .",primpéran,nam,primpéran,le,le,DET,",",",",PUNCT,"""","""",PUNCT,prudence,prudence,NOUN,de,de,ADP,.,.,PUNCT,,,,,,,,,,,,,2014-03-04,2014,2010,,DET Primpéran PUNCT,PUNCT DET Primpéran,PUNCT PUNCT DET Primpéran,NOUN PUNCT PUNCT DET Primpéran,,,,,le Primpéran .,", le Primpéran",""" , le Primpéran","prudence "" , le Primpéran",,,
http://www1.lalibre.be/actu/sciences-sante/le-motilium-un-medicament-dangereux-bientot-retire-du-marche-5305c5df357025291dd162b4,lalibre.be,2014-03-10,Belgium,Primpéran/NAM/Primpéran,"En  pratique  ,  souvent  les  troubles  qui  motivent  la  prise  de  ce  médicament  disparaissent  spontanément  ,  ou  avec  l'  appoint  de  mesures  diététiques  ,  indique  Prescrire  qui  cite  des  options  thérapeutiques  comme  par  exemple  le  Mopral  en  cas  de  reflux  gastro-oesophagien  (  remontée  du  contenu  de  l'  estomac  dans  la  bouche  )  ou  encore  ""  dans  de  rares  cas  ""  et  ""  avec  beaucoup  de  prudence  ""  le Primpéran  ou  ses  équivalents  (  molécule  :  métoclopramide  )  et  à  dose  ""  minimale  ,  en  surveillant  de  très  près  ses  effets  indésirables  de  neuroleptique  ""  . </doc>",primpéran,nam,primpéran,le,le,DET,"""","""",PUNCT,prudence,prudence,NOUN,de,de,ADP,beaucoup,beaucoup,ADV,ou,ou,CONJ,ses,son,DET,équivalents,équivalent,NOUN,(,(,PUNCT,molécule,molécule,NOUN,2014-03-10,2014,2010,PUNCT DET Primpéran CONJ DET,DET Primpéran CONJ,PUNCT DET Primpéran,NOUN PUNCT DET Primpéran,ADP NOUN PUNCT DET Primpéran,Primpéran CONJ DET,Primpéran CONJ DET NOUN,Primpéran CONJ DET NOUN PUNCT,""" le Primpéran ou son",le Primpéran ou,""" le Primpéran","prudence "" le Primpéran","de prudence "" le Primpéran",Primpéran ou son,Primpéran ou son équivalent,Primpéran ou son équivalent (
http://www.ladepeche.fr/article/2015/03/26/2075617-migraine-les-medicaments-incontournables.html,ladepeche.fr,2015-03-27,France,Primpéran/NAM/Primpéran,On  peut  également  les  associer  à  des  anti-nauséeux  ( Primpéran  ®  )  .,primpéran,nam,primpéran,(,(,PUNCT,anti-nauséeux,anti-nauséeux,NOUN,des,du,ADP DET,à,à,ADP,associer,associer,VERB,®,®,NOUN,),),PUNCT,.,.,PUNCT,,,,,,,2015-03-27,2015,2010,NOUN PUNCT Primpéran NOUN PUNCT,PUNCT Primpéran NOUN,NOUN PUNCT Primpéran,ADP DET NOUN PUNCT Primpéran,ADP ADP DET NOUN PUNCT Primpéran,Primpéran NOUN PUNCT,Primpéran NOUN PUNCT PUNCT,,anti-nauséeux ( Primpéran ® ),( Primpéran ®,anti-nauséeux ( Primpéran,du anti-nauséeux ( Primpéran,à du anti-nauséeux ( Primpéran,Primpéran ® ),Primpéran ® ) .,
http://www.sudinfo.be/1258524/article/2015-04-08/les-anti-nausee-comme-le-motilium-pourraient-etre-responsables-de-plus-de-200-mo,sudinfo.be,2015-04-08,Belgium,Primpéran/NAM/Primpéran,"Elle  ajoute  dans  son  dernier  numéro  que  des  médicaments  comme  la  métopimazine  (  Vogalène  ou  générique  )  et  le  métoclopramide  ( Primpéran  ou  générique  )  sont  ""  voisins  de  la  dompéridone  et  sont  dangereux  aussi  ""  .",primpéran,nam,primpéran,(,(,PUNCT,métoclopramide,métoclopramide,NOUN,le,le,DET,et,et,CONJ,),),PUNCT,ou,ou,CONJ,générique,générique,ADJ,),),PUNCT,sont,être,VERB,"""","""",PUNCT,2015-04-08,2015,2010,NOUN PUNCT Primpéran CONJ ADJ,PUNCT Primpéran CONJ,NOUN PUNCT Primpéran,DET NOUN PUNCT Primpéran,CONJ DET NOUN PUNCT Primpéran,Primpéran CONJ ADJ,Primpéran CONJ ADJ PUNCT,Primpéran CONJ ADJ PUNCT VERB,métoclopramide ( Primpéran ou générique,( Primpéran ou,métoclopramide ( Primpéran,le métoclopramide ( Primpéran,et le métoclopramide ( Primpéran,Primpéran ou générique,Primpéran ou générique ),Primpéran ou générique ) être
http://www.sudinfo.be/1258524/article/2015-04-08/les-anti-nausee-comme-le-motilium-pourraient-etre-responsables-de-plus-de-200-mo,sudinfo.be,2015-04-08,Belgium,Primpéran/NAM/Primpéran,"Le Primpéran  (  et  ses  génériques  )  ,  également  utilisé  pour  combattre  les  nausées  et  les  vomissements  ,  a  lui  aussi  fait  l'  objet  d'  une  réévaluation  européenne  l'  an  dernier  qui  a  abouti  à  des  restrictions  d'  utilisation  pour  diminuer  le  risque  ""  d'  effets  indésirables  neurologiques  et  cardiovasculaires  ""  . </doc>",primpéran,nam,primpéran,Le,le,DET,,,,,,,,,,,,,(,(,PUNCT,et,et,CONJ,ses,son,DET,génériques,générique,NOUN,),),PUNCT,2015-04-08,2015,2010,,DET Primpéran PUNCT,,,,Primpéran PUNCT CONJ,Primpéran PUNCT CONJ DET,Primpéran PUNCT CONJ DET NOUN,,le Primpéran (,,,,Primpéran ( et,Primpéran ( et son,Primpéran ( et son générique
http://www.lemonde.fr/sante/article/2015/04/09/mort-subite-la-domperidone-a-nouveau-accusee_4612213_1651302.html,lemonde.fr,2015-04-09,France,Primpéran/NAM/Primpéran,"Les  médicaments  voisins  ,  tels  que  la  métopimazine  (  commercialisé  sous  le  nom  Vogalène  )  et  la  métoclopramide  ( Primpéran  )  ,  sont  également  dangereux  ,  ajoute  Prescrire  .",primpéran,nam,primpéran,(,(,PUNCT,métoclopramide,métoclopramide,NOUN,la,le,DET,et,et,CONJ,),),PUNCT,),),PUNCT,",",",",PUNCT,sont,être,VERB,également,également,ADV,dangereux,dangereux,ADJ,2015-04-09,2015,2010,NOUN PUNCT Primpéran PUNCT PUNCT,PUNCT Primpéran PUNCT,NOUN PUNCT Primpéran,DET NOUN PUNCT Primpéran,CONJ DET NOUN PUNCT Primpéran,Primpéran PUNCT PUNCT,Primpéran PUNCT PUNCT VERB,Primpéran PUNCT PUNCT VERB ADV,"métoclopramide ( Primpéran ) ,",( Primpéran ),métoclopramide ( Primpéran,le métoclopramide ( Primpéran,et le métoclopramide ( Primpéran,"Primpéran ) ,","Primpéran ) , être","Primpéran ) , être également"
