url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.marianne.net/Malgre-l-austerite-un-Portugais-est-heureux-il-est-a-Paris_a234793.html,marianne.net,2014-01-02,===NONE===,Príncipe/NOM/Príncipe,"Bien  que  le  ministre  de  l'  Administration  Interne  ,  Miguel  Macedo  ,  s'  en  défende  ,  la  nomination  du  surintendant  Gomes  par  ses  soins  ,  comme  officier  de  liaison  à  Paris  ,  pour  un  salaire  mensuel  avoisinant  les  12000  euros  ,  soit  trois  fois  plus  que  son  ancien  salaire  ,  a  tout  d'  une  récompense  qui  provoque  un  certain  émoi  :  le  poste  n'  existait  pas  précédemment  ,  hormis  dans  certains  pays  comme  le  Mozambique  ,  l'  Angola  ,  la  Guinée-Bissau  ,  São  Tomé  e Príncipe  ou  encore  Timor-Leste  ,  et  hasard  du  calendrier  ,  le  président  Cavaco  Silva  vient  de  promulguer  le  budget  2014  ;  un  nouveau  budget  de  rigueur  .",príncipe,nom,príncipe,e,e,VERB,Tomé,Tomé,PROPN,São,São,PROPN,",",",",PUNCT,Guinée-Bissau,Guinée-Bissau,PROPN,ou,ou,CONJ,encore,encore,ADV,Timor-Leste,Timor-Leste,PROPN,",",",",PUNCT,et,et,CONJ,2014-01-02,2014,2010,PROPN VERB Príncipe CONJ ADV,VERB Príncipe CONJ,PROPN VERB Príncipe,PROPN PROPN VERB Príncipe,PUNCT PROPN PROPN VERB Príncipe,Príncipe CONJ ADV,Príncipe CONJ ADV PROPN,Príncipe CONJ ADV PROPN PUNCT,Tomé e Príncipe ou encore,e Príncipe ou,Tomé e Príncipe,São Tomé e Príncipe,", São Tomé e Príncipe",Príncipe ou encore,Príncipe ou encore Timor-Leste,"Príncipe ou encore Timor-Leste ,"
http://new.humanite.fr/monde/historique-lespagne-devance-lestonie-troika-troudu-557729,humanite.fr,2014-01-25,France,Príncipe/NAM/Príncipe,"Devant  le  Centre  de  radiologie  et  de  prises  de  sang  "" Príncipe  de  Viana  ""  ,  des  dizaines  de  patients  font  la  queue  .",príncipe,nam,príncipe,"""","""",PUNCT,sang,sang,NOUN,de,de,ADP,prises,prise,NOUN,de,de,ADP,de,de,ADP,Viana,Viana,PROPN,"""","""",PUNCT,",",",",PUNCT,des,du,ADP DET,2014-01-25,2014,2010,NOUN PUNCT Príncipe ADP PROPN,PUNCT Príncipe ADP,NOUN PUNCT Príncipe,ADP NOUN PUNCT Príncipe,NOUN ADP NOUN PUNCT Príncipe,Príncipe ADP PROPN,Príncipe ADP PROPN PUNCT,Príncipe ADP PROPN PUNCT PUNCT,"sang "" Príncipe de Viana",""" Príncipe de","sang "" Príncipe","de sang "" Príncipe","prise de sang "" Príncipe",Príncipe de Viana,"Príncipe de Viana ""","Príncipe de Viana "" ,"
http://www.jeuneafrique.com/Article/JA2776p062.xml0/,jeuneafrique.com,2014-03-27,United States,Príncipe/NOM/Príncipe,"Vicaire  de  la  cathédrale  qui  travaille  depuis  de  nombreuses  années  avec  les  immigrés  dans  le  quartier  (  en  majorité  musulman  )  du Príncipe  ,  dans  le  sud  de  l'  enclave  ,  José  Manuel  González  sait  fort  bien  que  rien  ne  changera  vraiment  tant  que  les  mafias  contrôleront  ces  mouvements  migratoires  :  ""  Si  un  Subsaharien  a  payé  très  cher  la  mafia  ,  il  se  sent  le  droit  d'  entrer  en  Europe  .",príncipe,nom,príncipe,du,du,ADP DET,),),PUNCT,musulman,musulman,ADJ,majorité,majorité,NOUN,en,en,ADP,",",",",PUNCT,dans,dans,ADP,le,le,DET,sud,sud,NOUN,de,de,ADP,2014-03-27,2014,2010,PUNCT ADP DET Príncipe PUNCT ADP,ADP DET Príncipe PUNCT,PUNCT ADP DET Príncipe,ADJ PUNCT ADP DET Príncipe,NOUN ADJ PUNCT ADP DET Príncipe,Príncipe PUNCT ADP,Príncipe PUNCT ADP DET,Príncipe PUNCT ADP DET NOUN,") du Príncipe , dans","du Príncipe ,",) du Príncipe,musulman ) du Príncipe,majorité musulman ) du Príncipe,"Príncipe , dans","Príncipe , dans le","Príncipe , dans le sud"
http://www.techno-science.net/?onglet=news&news=12689,techno-science.net,2014-04-10,===NONE===,Príncipe/NAM/Príncipe,"Avec  plus  de  ...  )  (  à  l'  exception  de  5  compagnies  aériennes  )  ,  Kazakhstan  (  à  l'  exception  d'  une  compagnie  aérienne  (  Une  compagnie  aérienne  est  une  entreprise  de  transport  aérien  :  passagers  ou  fret  .  )  qui  opère  sous  restrictions  et  conditions  )  ,  le  Kirghizistan  ,  le  Libéria  ,  le  Mozambique  ,  le  Népal  ,  les  Philippines  (  à  l'  exception  de  deux  compagnies  )  ,  Sierra  Leone  ,  São  Tomé  et Príncipe  ,  Soudan  et  Zambie  .",príncipe,nam,príncipe,et,et,CONJ,Tomé,Tomé,PROPN,São,São,PROPN,",",",",PUNCT,Leone,Leone,PROPN,",",",",PUNCT,Soudan,Soudan,PROPN,et,et,CONJ,Zambie,Zambie,PROPN,.,.,PUNCT,2014-04-10,2014,2010,PROPN CONJ Príncipe PUNCT PROPN,CONJ Príncipe PUNCT,PROPN CONJ Príncipe,PROPN PROPN CONJ Príncipe,PUNCT PROPN PROPN CONJ Príncipe,Príncipe PUNCT PROPN,Príncipe PUNCT PROPN CONJ,Príncipe PUNCT PROPN CONJ PROPN,"Tomé et Príncipe , Soudan","et Príncipe ,",Tomé et Príncipe,São Tomé et Príncipe,", São Tomé et Príncipe","Príncipe , Soudan","Príncipe , Soudan et","Príncipe , Soudan et Zambie"
http://www.afriscoop.net/journal/spip.php?article11100,afriscoop.net,2014-04-29,France,Príncipe/NAM/Príncipe,Groupe  B  :  Sao  Tomé  et Príncipe  ou  Benin  ou  Malawi  ou  Tchad,príncipe,nam,príncipe,et,et,CONJ,Tomé,Tomé,PROPN,Sao,Sao,PROPN,:,:,PUNCT,B,B,PROPN,ou,ou,CONJ,Benin,Benin,PROPN,ou,ou,CONJ,Malawi,Malawi,PROPN,ou,ou,CONJ,2014-04-29,2014,2010,PROPN CONJ Príncipe CONJ PROPN,CONJ Príncipe CONJ,PROPN CONJ Príncipe,PROPN PROPN CONJ Príncipe,PUNCT PROPN PROPN CONJ Príncipe,Príncipe CONJ PROPN,Príncipe CONJ PROPN CONJ,Príncipe CONJ PROPN CONJ PROPN,Tomé et Príncipe ou Benin,et Príncipe ou,Tomé et Príncipe,Sao Tomé et Príncipe,: Sao Tomé et Príncipe,Príncipe ou Benin,Príncipe ou Benin ou,Príncipe ou Benin ou Malawi
http://www.courrierinternational.com/article/2014/05/31/lisbonne-capitale-de-la-musique-de-demain-12,courrierinternational.com,2014-05-31,France,Príncipe/NAM/Príncipe,"""  Ce  soir  ,  direction  Noite Príncipe  ,  la  nuit  musicale  à  présent  légendaire  qui  se  tient  chaque  mois  et  rassemble  les  différentes  mouvances  de  cette  nouvelle  musique  .",príncipe,nam,príncipe,Noite,Noite,PROPN,direction,direction,NOUN,",",",",PUNCT,soir,soir,NOUN,Ce,ce,PRON,",",",",PUNCT,la,le,DET,nuit,nuit,NOUN,musicale,musical,ADJ,à,à,ADP,2014-05-31,2014,2010,NOUN PROPN Príncipe PUNCT DET,PROPN Príncipe PUNCT,NOUN PROPN Príncipe,PUNCT NOUN PROPN Príncipe,NOUN PUNCT NOUN PROPN Príncipe,Príncipe PUNCT DET,Príncipe PUNCT DET NOUN,Príncipe PUNCT DET NOUN ADJ,"direction Noite Príncipe , le","Noite Príncipe ,",direction Noite Príncipe,", direction Noite Príncipe","soir , direction Noite Príncipe","Príncipe , le","Príncipe , le nuit","Príncipe , le nuit musical"
http://www.courrierinternational.com/article/2014/06/01/lisbonne-capitale-de-la-musique-de-demain-22,courrierinternational.com,2014-06-01,France,Príncipe/NAM/Príncipe,"Non  seulement  ils  sortent  des  disques  peaufinés  ,  accompagnés  d'  illustrations  minimalistes  du  renommé  graphiste  lisboète  Márcio  Matos  ,  mais  ils  assurent  également  la  promotion  de  la  Noite Príncipe  [  soirée  mensuelle  dans  le  club  lisboète  Music  Box  ]  et  œuvrent  comme  bookers  ,  managers  ,  agents  publicitaires  et  consultants  pour  bon  nombre  des  DJ  de  ce  mouvement  .",príncipe,nam,príncipe,Noite,Noite,PROPN,la,le,DET,de,de,ADP,promotion,promotion,NOUN,la,le,DET,[,[,PUNCT,soirée,soirée,NOUN,mensuelle,mensuel,ADJ,dans,dans,ADP,le,le,DET,2014-06-01,2014,2010,DET PROPN Príncipe PUNCT NOUN,PROPN Príncipe PUNCT,DET PROPN Príncipe,ADP DET PROPN Príncipe,NOUN ADP DET PROPN Príncipe,Príncipe PUNCT NOUN,Príncipe PUNCT NOUN ADJ,Príncipe PUNCT NOUN ADJ ADP,le Noite Príncipe [ soirée,Noite Príncipe [,le Noite Príncipe,de le Noite Príncipe,promotion de le Noite Príncipe,Príncipe [ soirée,Príncipe [ soirée mensuel,Príncipe [ soirée mensuel dans
http://www.courrierinternational.com/article/2014/06/01/lisbonne-capitale-de-la-musique-de-demain-22,courrierinternational.com,2014-06-01,France,Príncipe/NAM/Príncipe,Nous  levons  les  voiles  et  mettons  le  cap  sur  le  centre  de  Lisbonne  pour  la  Noite Príncipe  .,príncipe,nam,príncipe,Noite,Noite,PROPN,la,le,DET,pour,pour,ADP,Lisbonne,Lisbonne,PROPN,de,de,ADP,.,.,PUNCT,,,,,,,,,,,,,2014-06-01,2014,2010,,PROPN Príncipe PUNCT,DET PROPN Príncipe,ADP DET PROPN Príncipe,PROPN ADP DET PROPN Príncipe,,,,,Noite Príncipe .,le Noite Príncipe,pour le Noite Príncipe,Lisbonne pour le Noite Príncipe,,,
http://www.jeuneafrique.com/Article/JA2787p022.xml0/,jeuneafrique.com,2014-06-16,United States,Tomé-et-Príncipe/NAM/Tomé-et-Príncipe,"Que  leur  promet  Bin  Hammam  ?  Certainement  des  douceurs  car  ,  à  partir  de  cette  date  ,  le  Qatari  est  inondé  de  mails  provenant  ,  entre  autres  ,  du  Bénin  ,  du  Botswana  ,  du  Burundi  ,  des  Comores  ,  de  la  Côte  d'  Ivoire  ,  de  Djibouti  ,  de  la  Gambie  ,  de  la  Guinée  ,  du  Liberia  ,  de  Madagascar  ,  du  Maroc  ,  de  la  Namibie  ,  de  São Tomé-et-Príncipe  ,  de  la  Somalie  ,  du  Soudan  ,  du  Swaziland  ,  du  Togo  et  de  la  Zambie  .",tomé-et-príncipe,nam,tomé-et-príncipe,São,São,PROPN,de,de,ADP,",",",",PUNCT,Namibie,Namibie,PROPN,la,le,DET,",",",",PUNCT,de,de,ADP,la,le,DET,Somalie,Somalie,PROPN,",",",",PUNCT,2014-06-16,2014,2010,ADP PROPN Príncipe PUNCT ADP,PROPN Príncipe PUNCT,ADP PROPN Príncipe,PUNCT ADP PROPN Príncipe,PROPN PUNCT ADP PROPN Príncipe,Príncipe PUNCT ADP,Príncipe PUNCT ADP DET,Príncipe PUNCT ADP DET PROPN,"de São Príncipe , de","São Príncipe ,",de São Príncipe,", de São Príncipe","Namibie , de São Príncipe","Príncipe , de","Príncipe , de le","Príncipe , de le Somalie"
http://economie.jeuneafrique.com/regions/afrique-subsaharienne/22368-abidjan-un-havre-pour-le-haut-debit.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BJeune_Afrique_Economie%2B%2528Jeune%2BAfrique%2BEconomie%2529&utm_content=FeedBurner%2Buser%2Bview,jeuneafrique.com,2014-06-16,===NONE===,Tomé-et-Príncipe/NAM/Tomé-et-Príncipe,"Long  de  12  0  0  0  km  et  fin  de  5  cm  de  diamètre  ,  le  câble  en  fibre  optique  ACE  relie  ,  depuis  décembre  2012  ,  la  France  à  São Tomé-et-Príncipe  .",tomé-et-príncipe,nam,tomé-et-príncipe,São,São,PROPN,à,à,ADP,France,France,PROPN,la,le,DET,",",",",PUNCT,.,.,PUNCT,,,,,,,,,,,,,2014-06-16,2014,2010,,PROPN Príncipe PUNCT,ADP PROPN Príncipe,PROPN ADP PROPN Príncipe,DET PROPN ADP PROPN Príncipe,,,,,São Príncipe .,à São Príncipe,France à São Príncipe,le France à São Príncipe,,,
