url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.courrier-picard.fr/france-monde/du-volontarisme-plus-que-des-voeux-ia210b0n279266?xtor=RSS-2,courrier-picard.fr,2014-01-02,France,pédalo/NOM/pédalo,"Bref  ,  la  tempête  est  forte  ,  mais  le  cap  est  bon  (  et  plus  question  de  rêver  à  un  coup  de  barre  à  babord  )  ,  assure  le  capitaine  ,  passé  du  "" pédalo  ""  au  lourd  paquebot  de  l'  État  .",pédalo,nom,pédalo,"""","""",PUNCT,du,du,ADP DET,passé,passer,VERB,",",",",PUNCT,capitaine,capitaine,NOUN,"""","""",PUNCT,au,au,ADP DET,lourd,lourd,ADJ,paquebot,paquebot,NOUN,de,de,ADP,2014-01-02,2014,2010,ADP DET PUNCT Pédalo PUNCT ADP DET,PUNCT Pédalo PUNCT,ADP DET PUNCT Pédalo,VERB ADP DET PUNCT Pédalo,PUNCT VERB ADP DET PUNCT Pédalo,Pédalo PUNCT ADP DET,Pédalo PUNCT ADP DET ADJ,Pédalo PUNCT ADP DET ADJ NOUN,"du "" Pédalo "" au",""" Pédalo ""","du "" Pédalo","passer du "" Pédalo",", passer du "" Pédalo","Pédalo "" au","Pédalo "" au lourd","Pédalo "" au lourd paquebot"
http://www.huffingtonpost.fr/2014/01/02/mains-hollande-serrees-ratees-hollande-font-rire-hollande_n_4530047.html?ncid=edlinkusaolp00000003,huffingtonpost.fr,2014-01-02,France,pédalo/NOM/pédalo,"""  À  gauche  ,  pourquoi  choisir  ,  pour  entrer  dans  la  saison  des  tempêtes  ,  un  capitaine  de pédalo  comme  Hollande  ?  ""  ,  lâche-t-il  avec  le  sens  de  la  formule  qui  le  caractérise  .",pédalo,nom,pédalo,de,de,ADP,capitaine,capitaine,NOUN,un,un,DET,",",",",PUNCT,tempêtes,tempête,NOUN,comme,comme,CONJ,Hollande,Hollande,PROPN,?,?,PUNCT,"""","""",PUNCT,",",",",PUNCT,2014-01-02,2014,2010,NOUN ADP Pédalo CONJ PROPN,ADP Pédalo CONJ,NOUN ADP Pédalo,DET NOUN ADP Pédalo,PUNCT DET NOUN ADP Pédalo,Pédalo CONJ PROPN,Pédalo CONJ PROPN PUNCT,Pédalo CONJ PROPN PUNCT PUNCT,capitaine de Pédalo comme Hollande,de Pédalo comme,capitaine de Pédalo,un capitaine de Pédalo,", un capitaine de Pédalo",Pédalo comme Hollande,Pédalo comme Hollande ?,"Pédalo comme Hollande ? """
http://www.leparisien.fr/politique/sondage-seuls-31-des-francais-jugent-francois-hollande-competent-04-01-2014-3462501.php?utm_source=dlvr.it&utm_medium=twitter,leparisien.fr,2014-01-04,France,pédalo/NOM/pédalo,"Comme  si  ,  de  reculade  en  reculade  ,  de  l'  affaire  Leonarda  aux  Bonnets  rouges  ,  l'  image  du  ""  capitaine  de pédalo  ""  inventée  par  Jean-Luc  Mélenchon  lui  collait  à  la  peau  comme  un  sparadrap  .",pédalo,nom,pédalo,de,de,ADP,capitaine,capitaine,NOUN,"""","""",PUNCT,du,du,ADP DET,image,image,NOUN,"""","""",PUNCT,inventée,inventer,VERB,par,par,ADP,Jean-Luc,Jean-Luc,PROPN,Mélenchon,Mélenchon,PROPN,2014-01-04,2014,2010,NOUN ADP Pédalo PUNCT VERB,ADP Pédalo PUNCT,NOUN ADP Pédalo,PUNCT NOUN ADP Pédalo,ADP DET PUNCT NOUN ADP Pédalo,Pédalo PUNCT VERB,Pédalo PUNCT VERB ADP,Pédalo PUNCT VERB ADP PROPN,"capitaine de Pédalo "" inventer","de Pédalo """,capitaine de Pédalo,""" capitaine de Pédalo","du "" capitaine de Pédalo","Pédalo "" inventer","Pédalo "" inventer par","Pédalo "" inventer par Jean-Luc"
http://www.lnc.nc/article/sports/les-mondiaux-accroches-au-mur,lnc.nc,2014-01-08,New Caledonia,pédalo/NOM/pédalo,"Les  autres  équipements  du  pays  ne  sont  en  effet  pas  au  niveau  pour  leur  permettre  de  se  préparer  et  ,  selon  le  président  du  Comité  ,  ils  ""  ne  peuvent  pas  vraiment  s'  entraîner  à  la  grimpe  ,  en  faisant  du pédalo  ""  .",pédalo,nom,pédalo,du,du,ADP DET,faisant,faire,VERB,en,en,ADP,",",",",PUNCT,grimpe,grimper,VERB,"""","""",PUNCT,.,.,PUNCT,,,,,,,,,,2014-01-08,2014,2010,VERB ADP DET Pédalo PUNCT PUNCT,ADP DET Pédalo PUNCT,VERB ADP DET Pédalo,ADP VERB ADP DET Pédalo,PUNCT ADP VERB ADP DET Pédalo,Pédalo PUNCT PUNCT,,,"faire du Pédalo "" .","du Pédalo """,faire du Pédalo,en faire du Pédalo,", en faire du Pédalo","Pédalo "" .",,
http://www.lepoint.fr/monde/ou-va-le-monde-pierre-beylau/le-veritable-secret-de-francois-hollande-10-01-2014-1778916_231.php,lepoint.fr,2014-01-10,France,pédalo/NOM/pédalo,"François  Hollande  allait  démontrer  qu'  il  était  un  skipper  de  haute  mer  et  non  un  capitaine  de pédalo  ,  comme  l'  avait  brocardé  ce  voyou  de  Mélenchon  .",pédalo,nom,pédalo,de,de,ADP,capitaine,capitaine,NOUN,un,un,DET,non,non,ADV,et,et,CONJ,",",",",PUNCT,comme,comme,CONJ,l',la|le,PRON,avait,avoir,VERB,brocardé,brocarder,VERB,2014-01-10,2014,2010,NOUN ADP Pédalo PUNCT CONJ,ADP Pédalo PUNCT,NOUN ADP Pédalo,DET NOUN ADP Pédalo,ADV DET NOUN ADP Pédalo,Pédalo PUNCT CONJ,Pédalo PUNCT CONJ PRON,Pédalo PUNCT CONJ PRON VERB,"capitaine de Pédalo , comme","de Pédalo ,",capitaine de Pédalo,un capitaine de Pédalo,non un capitaine de Pédalo,"Pédalo , comme","Pédalo , comme la|le","Pédalo , comme la|le avoir"
http://www.lefigaro.fr/politique/2014/01/11/01002-20140111ARTFIG00224-les-revelations-de-closer-tombent-au-pire-moment-pour-francois-hollande.php,lefigaro.fr,2014-01-11,France,pédalo/NOM/pédalo,"On  se  souvient  de  la  formule  de  Jean-Luc  Mélenchon  qualifiant  François  Hollande  de  ""  capitaine  de pédalo  ""  .",pédalo,nom,pédalo,de,de,ADP,capitaine,capitaine,NOUN,"""","""",PUNCT,de,de,ADP,Hollande,Hollande,PROPN,"""","""",PUNCT,.,.,PUNCT,,,,,,,,,,2014-01-11,2014,2010,NOUN ADP Pédalo PUNCT PUNCT,ADP Pédalo PUNCT,NOUN ADP Pédalo,PUNCT NOUN ADP Pédalo,ADP PUNCT NOUN ADP Pédalo,Pédalo PUNCT PUNCT,,,"capitaine de Pédalo "" .","de Pédalo """,capitaine de Pédalo,""" capitaine de Pédalo","de "" capitaine de Pédalo","Pédalo "" .",,
http://www.liberation.fr/economie/2014/01/15/cout-du-travail-le-medef-pas-rassasie_973016?xtor=rss-450,liberation.fr,2014-01-15,France,pédalo/NOM/pédalo,"""  Presque  dans  la  veine  d'  un  Mélenchon  et  son  ""  capitaine  de pédalo  ""  .",pédalo,nom,pédalo,de,de,ADP,capitaine,capitaine,NOUN,"""","""",PUNCT,son,son,DET,et,et,CONJ,"""","""",PUNCT,.,.,PUNCT,,,,,,,,,,2014-01-15,2014,2010,NOUN ADP Pédalo PUNCT PUNCT,ADP Pédalo PUNCT,NOUN ADP Pédalo,PUNCT NOUN ADP Pédalo,DET PUNCT NOUN ADP Pédalo,Pédalo PUNCT PUNCT,,,"capitaine de Pédalo "" .","de Pédalo """,capitaine de Pédalo,""" capitaine de Pédalo","son "" capitaine de Pédalo","Pédalo "" .",,
http://leplus.nouvelobs.com/contribution/1133144-francois-hollande-et-son-virage-liberal-la-social-democratie-le-pire-des-regimes.html,nouvelobs.com,2014-01-21,France,pédalo/NOM/pédalo,"Jean-Luc  Mélenchon  le  traitait  de  ""  capitaine  de pédalo  ""  .",pédalo,nom,pédalo,de,de,ADP,capitaine,capitaine,NOUN,"""","""",PUNCT,de,de,ADP,traitait,traiter,VERB,"""","""",PUNCT,.,.,PUNCT,,,,,,,,,,2014-01-21,2014,2010,NOUN ADP Pédalo PUNCT PUNCT,ADP Pédalo PUNCT,NOUN ADP Pédalo,PUNCT NOUN ADP Pédalo,ADP PUNCT NOUN ADP Pédalo,Pédalo PUNCT PUNCT,,,"capitaine de Pédalo "" .","de Pédalo """,capitaine de Pédalo,""" capitaine de Pédalo","de "" capitaine de Pédalo","Pédalo "" .",,
http://www.ladepeche.fr/article/2014/01/22/1799894-figeac-appel-r-jeunes-elus-ont-anime-debats.html,ladepeche.fr,2014-01-22,France,pédalos/NOM/pédalo,"âgés  de  14  -  18  ans  de  l'  intercommunalité  ,  elle  propose  des  activités  de  loisirs  gratuites  ou  à  coûts  réduits  :  un  concert  gratuit  d'  Africajarc  ,  des  rencontres  musicales  de  Figeac  ,  de  Ségal  '  Arts  de  Prendeignes  ,  une  entrée  gratuite  au  festival  BD  de  Cajarc  ,  à  Dés  en  bulles  ,  à  Cinélot  ,  aux  conférence  sur  l'  égyptologie  ,  à  un  match  du  GSF  ,  aux  piscines  de  Figeac  ,  Capdenac  ,  Bagnac  et  Cajarc  ou  encore  des  réductions  à  Derrière  le  Hublot  ,  à  des  séances  de  cinéma  ,  locations  de  VTT  ou  de pédalos  ,  et  bien  d'  autres  avantages  .",pédalos,nom,pédalo,de,de,ADP,ou,ou,CONJ,VTT,VTT,PROPN,de,de,ADP,locations,location,NOUN,",",",",PUNCT,et,et,CONJ,bien,bien,ADV,d',de,ADP,autres,autre,ADJ,2014-01-22,2014,2010,CONJ ADP Pédalo PUNCT CONJ,ADP Pédalo PUNCT,CONJ ADP Pédalo,PROPN CONJ ADP Pédalo,ADP PROPN CONJ ADP Pédalo,Pédalo PUNCT CONJ,Pédalo PUNCT CONJ ADV,Pédalo PUNCT CONJ ADV ADP,"ou de Pédalo , et","de Pédalo ,",ou de Pédalo,VTT ou de Pédalo,de VTT ou de Pédalo,"Pédalo , et","Pédalo , et bien","Pédalo , et bien de"
http://www.egaliteetreconciliation.fr/Journal-hebdomadaire-de-La-Voix-de-la-Russie-23017.html,egaliteetreconciliation.fr,2014-01-27,France,pédalo/NOM/pédalo,"Valls  se  verrait  bien  capitaine  de pédalo  ,  mais  n'  est-il  déjà  pas  dans  la  tourmente  ?",pédalo,nom,pédalo,de,de,ADP,capitaine,capitaine,NOUN,bien,bien,ADV,verrait,voir,VERB,se,se,PRON,",",",",PUNCT,mais,mais,CONJ,n',ne,ADV,est-il,est-il,ADJ,déjà,déjà,ADV,2014-01-27,2014,2010,NOUN ADP Pédalo PUNCT CONJ,ADP Pédalo PUNCT,NOUN ADP Pédalo,ADV NOUN ADP Pédalo,VERB ADV NOUN ADP Pédalo,Pédalo PUNCT CONJ,Pédalo PUNCT CONJ ADV,Pédalo PUNCT CONJ ADV ADJ,"capitaine de Pédalo , mais","de Pédalo ,",capitaine de Pédalo,bien capitaine de Pédalo,voir bien capitaine de Pédalo,"Pédalo , mais","Pédalo , mais ne","Pédalo , mais ne est-il"
