url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.elwatan.com/actualite/dans-les-coulisses-des-marques-etrangeres-en-algerie-03-01-2014-240772_109.php,elwatan.com,2014-01-03,Algeria,Reebok/NAM/Reebok,"Cependant  ,  quand  nous  devons  commander  nos  produits  Nike  ou  Adidas  pour  City  Sport  ,  nous  devons  passer  par  l'  intermédiaire  de  Playmode  pour  Nike  et  par  Mistral  Sport  pour  Adidas  et Reebok  .",reebok,nam,reebok,et,et,CONJ,Adidas,Adidas,PROPN,pour,pour,ADP,Sport,Sport,PROPN,Mistral,Mistral,PROPN,.,.,PUNCT,,,,,,,,,,,,,2014-01-03,2014,2010,,CONJ Reebok PUNCT,PROPN CONJ Reebok,ADP PROPN CONJ Reebok,PROPN ADP PROPN CONJ Reebok,,,,,et Reebok .,Adidas et Reebok,pour Adidas et Reebok,Sport pour Adidas et Reebok,,,
http://www.begeek.fr/ces-2014-la-puissance-dun-poing-dans-la-figure-par-reebok-115472?utm_source=feedburner_begeek&utm_campaign=Feedburner%2B-%2BBeGeek.fr&utm_medium=feed&utm_content=FeedBurner%2Buser%2Bview,begeek.fr,2014-01-10,France,Reebok/NOM/Reebok,<doc uri=http://www.begeek.fr/ces-2014-la-puissance-dun-poing-dans-la-figure-par-reebok-115472?utm_source=feedburner_begeek&utm_campaign=Feedburner%2B-%2BBeGeek.fr&utm_medium=feed&utm_content=FeedBurner%2Buser%2Bview website=begeek.fr date=2014-01-10 source_country=France> /ce/PRO:DEM /@card@/NUM /:/PUN Reebok  Checklight  protège  votre  cerveau,reebok,nom,reebok,:,:,PUNCT,2014,@card@,ADJ,CES,ce,PRON,,,,,,,Checklight,Checklight,PROPN,protège,protéger,VERB,votre,votre,DET,cerveau,cerveau,NOUN,,,,2014-01-10,2014,2010,ADJ PUNCT Reebok PROPN VERB,PUNCT Reebok PROPN,ADJ PUNCT Reebok,PRON ADJ PUNCT Reebok,,Reebok PROPN VERB,Reebok PROPN VERB DET,Reebok PROPN VERB DET NOUN,@card@ : Reebok Checklight protéger,: Reebok Checklight,@card@ : Reebok,ce @card@ : Reebok,,Reebok Checklight protéger,Reebok Checklight protéger votre,Reebok Checklight protéger votre cerveau
http://www.begeek.fr/ces-2014-la-puissance-dun-poing-dans-la-figure-par-reebok-115472?utm_source=feedburner_begeek&utm_campaign=Feedburner%2B-%2BBeGeek.fr&utm_medium=feed&utm_content=FeedBurner%2Buser%2Bview,begeek.fr,2014-01-10,France,Reebok/NOM/Reebok,"C'  est  justement  le  cas  du Reebok  Checklight  ,  un  dispositif  qui  mesure  la  violence  des  impacts  reçus  à  la  tête  .",reebok,nom,reebok,du,du,ADP DET,cas,cas,NOUN,le,le,DET,justement,justement,ADV,est,être,VERB,Checklight,Checklight,PROPN,",",",",PUNCT,un,un,DET,dispositif,dispositif,NOUN,qui,qui,PRON,2014-01-10,2014,2010,NOUN ADP DET Reebok PROPN PUNCT,ADP DET Reebok PROPN,NOUN ADP DET Reebok,DET NOUN ADP DET Reebok,ADV DET NOUN ADP DET Reebok,Reebok PROPN PUNCT,Reebok PROPN PUNCT DET,Reebok PROPN PUNCT DET NOUN,"cas du Reebok Checklight ,",du Reebok Checklight,cas du Reebok,le cas du Reebok,justement le cas du Reebok,"Reebok Checklight ,","Reebok Checklight , un","Reebok Checklight , un dispositif"
http://www.begeek.fr/ces-2014-la-puissance-dun-poing-dans-la-figure-par-reebok-115472?utm_source=feedburner_begeek&utm_campaign=Feedburner%2B-%2BBeGeek.fr&utm_medium=feed&utm_content=FeedBurner%2Buser%2Bview,begeek.fr,2014-01-10,France,Reebok/NOM/Reebok,Il  est  déjà  disponible  à  la  vente  sur  le  site  de Reebok  pour  150  dollars  et  utilisé  par  des  professionnels  de  différentes  disciplines  Il  va  de  soi  que  le  diagnostic  d'  un  professionnel  de  santé  reste  indispensable  .,reebok,nom,reebok,de,de,ADP,site,site,NOUN,le,le,DET,sur,sur,ADP,vente,vente,NOUN,pour,pour,ADP,150,@card@,ADJ,dollars,dollar,NOUN,et,et,CONJ,utilisé,utiliser,VERB,2014-01-10,2014,2010,NOUN ADP Reebok ADP ADJ,ADP Reebok ADP,NOUN ADP Reebok,DET NOUN ADP Reebok,ADP DET NOUN ADP Reebok,Reebok ADP ADJ,Reebok ADP ADJ NOUN,Reebok ADP ADJ NOUN CONJ,site de Reebok pour @card@,de Reebok pour,site de Reebok,le site de Reebok,sur le site de Reebok,Reebok pour @card@,Reebok pour @card@ dollar,Reebok pour @card@ dollar et
http://www.leberry.fr/france-monde/actualites/societe/sante-beaute/2014/01/12/et-maintenant-du-fitness-au-grand-palais_1831828.html,leberry.fr,2014-01-12,France,Reebok/NOM/Reebok,"Et  2014  ne  dérogera  pas  à  la  règle  ,  avec  l'  organisation  d'  une  leçon  de  fitness  ,  sous  la  houlette  de Reebok  et  du  programme  LesMills  .",reebok,nom,reebok,de,de,ADP,houlette,houlette,NOUN,la,le,DET,sous,sous,ADP,",",",",PUNCT,et,et,CONJ,du,du,ADP DET,programme,programme,NOUN,LesMills,LesMills,PROPN,.,.,PUNCT,2014-01-12,2014,2010,NOUN ADP Reebok CONJ ADP DET,ADP Reebok CONJ,NOUN ADP Reebok,DET NOUN ADP Reebok,ADP DET NOUN ADP Reebok,Reebok CONJ ADP DET,Reebok CONJ ADP DET NOUN,Reebok CONJ ADP DET NOUN PROPN,houlette de Reebok et du,de Reebok et,houlette de Reebok,le houlette de Reebok,sous le houlette de Reebok,Reebok et du,Reebok et du programme,Reebok et du programme LesMills
http://news.doctissimo.fr/Forme-Sport/Le-Grand-Palais-devient-la-plus-grande-salle-de-fitness-du-monde-33882,doctissimo.fr,2014-01-14,France,Reebok/NAM/Reebok, Reebok  et  LesMills  au  Grand  Palais  pour  le  plus  grand  cours  de  fitness  au  monde  . </doc>,reebok,nam,reebok,,,,,,,,,,,,,,,,et,et,CONJ,LesMills,LesMills,PROPN,au,au,ADP DET,Grand,Grand,PROPN,Palais,Palais,PROPN,2014-01-14,2014,2010,,,,,,Reebok CONJ PROPN,Reebok CONJ PROPN ADP DET,Reebok CONJ PROPN ADP DET PROPN,,,,,,Reebok et LesMills,Reebok et LesMills au,Reebok et LesMills au Grand
http://www.lemondenumerique.com/article-30664-ces-2014-bonnet-reebok-checklight-pour-proteger-le-cerveau-pendant-le-sport.html,lemondenumerique.com,2014-01-16,===NONE===,Reebok/NAM/Reebok,<doc uri=http://www.lemondenumerique.com/article-30664-ces-2014-bonnet-reebok-checklight-pour-proteger-le-cerveau-pendant-le-sport.html website=lemondenumerique.com date=2014-01-16 source_country=> /ce/PRO:DEM /@card@/NUM /:/PUN /Bonnet/NAM Reebok  CheckLight  pour  protéger  le  cerveau  pendant  le  sport,reebok,nam,reebok,Bonnet,Bonnet,PROPN,:,:,PUNCT,2014,@card@,ADJ,CES,ce,PRON,,,,CheckLight,CheckLight,PROPN,pour,pour,CONJ,protéger,protéger,VERB,le,le,DET,cerveau,cerveau,NOUN,2014-01-16,2014,2010,PUNCT PROPN Reebok PROPN CONJ,PROPN Reebok PROPN,PUNCT PROPN Reebok,ADJ PUNCT PROPN Reebok,PRON ADJ PUNCT PROPN Reebok,Reebok PROPN CONJ,Reebok PROPN CONJ VERB,Reebok PROPN CONJ VERB DET,: Bonnet Reebok CheckLight pour,Bonnet Reebok CheckLight,: Bonnet Reebok,@card@ : Bonnet Reebok,ce @card@ : Bonnet Reebok,Reebok CheckLight pour,Reebok CheckLight pour protéger,Reebok CheckLight pour protéger le
http://www.lemondenumerique.com/article-30664-ces-2014-bonnet-reebok-checklight-pour-proteger-le-cerveau-pendant-le-sport.html,lemondenumerique.com,2014-01-16,===NONE===,Reebok/NAM/Reebok,La  marque Reebok  a  profité  du  CES  de  Las  Vegas  pour  présenter  un  nouvel  objet  connecté  se  présentant  sous  la  forme  d'  un  bonnet  doté  de  capteurs  permettant  de  mesurer  les  impacts  reçus  par  la  tête  de  l'  utilisateur  lors  de  la  pratique  d'  une  activité  sportive  .,reebok,nam,reebok,marque,marque,NOUN,La,le,DET,,,,,,,,,,a,avoir,VERB,profité,profiter,VERB,du,du,ADP DET,CES,CES,PROPN,de,de,ADP,2014-01-16,2014,2010,DET NOUN Reebok VERB VERB,NOUN Reebok VERB,DET NOUN Reebok,,,Reebok VERB VERB,Reebok VERB VERB ADP DET,Reebok VERB VERB ADP DET PROPN,le marque Reebok avoir profiter,marque Reebok avoir,le marque Reebok,,,Reebok avoir profiter,Reebok avoir profiter du,Reebok avoir profiter du CES
http://www.lemondenumerique.com/article-30664-ces-2014-bonnet-reebok-checklight-pour-proteger-le-cerveau-pendant-le-sport.html,lemondenumerique.com,2014-01-16,===NONE===,Reebok/NAM/Reebok,"A  côté  des  objets  connectés  qui  permettent  de  mieux  dormir  ,  de  suivre  le  nombre  de  calories  brûlées  ,  le  nombre  de  pas  effectués  et  toutes  autres  sortes  de  suivi  ,  la  marque Reebok  a  présenté  un  bonnet  connecté  d'  un  nouveau  genre  .",reebok,nam,reebok,marque,marque,NOUN,la,le,DET,",",",",PUNCT,suivi,suivi,NOUN,de,de,ADP,a,avoir,VERB,présenté,présenter,VERB,un,un,DET,bonnet,bonnet,NOUN,connecté,connecter,VERB,2014-01-16,2014,2010,DET NOUN Reebok VERB VERB,NOUN Reebok VERB,DET NOUN Reebok,PUNCT DET NOUN Reebok,NOUN PUNCT DET NOUN Reebok,Reebok VERB VERB,Reebok VERB VERB DET,Reebok VERB VERB DET NOUN,le marque Reebok avoir présenter,marque Reebok avoir,le marque Reebok,", le marque Reebok","suivi , le marque Reebok",Reebok avoir présenter,Reebok avoir présenter un,Reebok avoir présenter un bonnet
http://www.lemondenumerique.com/article-30664-ces-2014-bonnet-reebok-checklight-pour-proteger-le-cerveau-pendant-le-sport.html,lemondenumerique.com,2014-01-16,===NONE===,Reebok/NAM/Reebok,Le  bonnet Reebok  CheckLight  peut  ainsi  mesurer  la  puissance  d'  un  coup  reçu  ainsi  que  la  réaction  de  la  tête  suite  à  ce  choc  .,reebok,nam,reebok,bonnet,bonnet,NOUN,Le,le,DET,,,,,,,,,,CheckLight,CheckLight,PROPN,peut,pouvoir,VERB,ainsi,ainsi,ADV,mesurer,mesurer,VERB,la,le,DET,2014-01-16,2014,2010,DET NOUN Reebok PROPN VERB,NOUN Reebok PROPN,DET NOUN Reebok,,,Reebok PROPN VERB,Reebok PROPN VERB ADV,Reebok PROPN VERB ADV VERB,le bonnet Reebok CheckLight pouvoir,bonnet Reebok CheckLight,le bonnet Reebok,,,Reebok CheckLight pouvoir,Reebok CheckLight pouvoir ainsi,Reebok CheckLight pouvoir ainsi mesurer
