url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lamanchelibre.fr/cherbourg/depeche-48489-cherbourg-il-menace-policier-mort-devant-discotheque.html#xtor%3DRSS-4,lamanchelibre.fr,2014-01-01,France,Equeurdrevillais/VER:impf/Equeurdrevillais,Un  jeune Equeurdrevillais  de  16  ans  empêché  d'  entrer  en  discothèque  a  insulté  et  menacé  de  mort  les  policiers  venus  en  renfort  .,equeurdrevillais,ver:impf,equeurdrevillais,jeune,jeune,ADJ,Un,Un,VERB,,,,,,,,,,de,de,ADP,16,@card@,ADJ,ans,an,NOUN,empêché,empêcher,VERB,d',de,ADP,2014-01-01,2014,2010,VERB ADJ Revilla ADP ADJ,ADJ Revilla ADP,VERB ADJ Revilla,,,Revilla ADP ADJ,Revilla ADP ADJ NOUN,Revilla ADP ADJ NOUN VERB,Un jeune Revilla de @card@,jeune Revilla de,Un jeune Revilla,,,Revilla de @card@,Revilla de @card@ an,Revilla de @card@ an empêcher
http://www.lamanchelibre.fr/cherbourg/depeche-48489-cherbourg-il-menace-policier-mort-devant-discotheque.html#xtor%3DRSS-4,lamanchelibre.fr,2014-01-01,France,Equeurdrevillais/VER:impf/Equeurdrevillais,"""  Le  portier  a  dès  lors  de  manière  très  responsable  et  conformément  aux  consignes  qui  leur  sont  données  appelé  les  services  de  police  qui  ont  interpellé  cet Equeurdrevillais  de  16  ans  qui  insultait  et  menaçait  de  mort  un  policier  intervenant  ""  .",equeurdrevillais,ver:impf,equeurdrevillais,cet,ce,PRON,interpellé,interpeller,VERB,ont,avoir,VERB,qui,qui,PRON,police,police,NOUN,de,de,ADP,16,@card@,ADJ,ans,an,NOUN,qui,qui,PRON,insultait,insulter,VERB,2014-01-01,2014,2010,VERB PRON Revilla ADP ADJ,PRON Revilla ADP,VERB PRON Revilla,VERB VERB PRON Revilla,PRON VERB VERB PRON Revilla,Revilla ADP ADJ,Revilla ADP ADJ NOUN,Revilla ADP ADJ NOUN PRON,interpeller ce Revilla de @card@,ce Revilla de,interpeller ce Revilla,avoir interpeller ce Revilla,qui avoir interpeller ce Revilla,Revilla de @card@,Revilla de @card@ an,Revilla de @card@ an qui
http://www.cherbourg.maville.com/actu/actudet_-tennis.-coupe-de-france-15-ans-bacher-s-offre-un-double_fil-2467852_actu.Htm?xtor=RSS-4&utm_source=RSS_MVI_cherbourg&utm_medium=RSS&utm_campaign=RSS,maville.com,2014-01-12,===NONE===,Equeurdrevillaise/NOM/Equeurdrevillaise,"Samedi  ,  l' Equeurdrevillaise  a  remporté  le  double  aux  côtés  de  Schéna  Benamar  (  -  2  /  6  ,  Val  d'  Oise  )  face  à  la  paire  Kassandra  Davesne  (  2  /  6  ,  Val  de  Marne  )  -  Carla  Hassaine  (  0  ,  Yvelines  )  après  deux  sets  disputés  (  7  -  5  ,  7  -  5  )  .",equeurdrevillaise,nom,equeurdrevillaise,l',le,DET,",",",",PUNCT,Samedi,samedi,NOUN,,,,,,,a,avoir,VERB,remporté,remporter,VERB,le,le,DET,double,double,NOUN,aux,au,ADP DET,2014-01-12,2014,2010,PUNCT DET Revilla VERB VERB,DET Revilla VERB,PUNCT DET Revilla,NOUN PUNCT DET Revilla,,Revilla VERB VERB,Revilla VERB VERB DET,Revilla VERB VERB DET NOUN,", le Revilla avoir remporter",le Revilla avoir,", le Revilla","samedi , le Revilla",,Revilla avoir remporter,Revilla avoir remporter le,Revilla avoir remporter le double
http://www.zonebourse.com/actualite-bourse/France-Liste-unique-PS-EELV-pour-les-municipales-a-Marseille--17843493/,zonebourse.com,2014-01-26,===NONE===,Revilla/NAM/Revilla,"(  François Revilla  ,  édité  par  Marion  Douet  ) </doc>",revilla,nam,revilla,François,François,PROPN,(,(,PUNCT,,,,,,,,,,",",",",PUNCT,édité,éditer,VERB,par,par,ADP,Marion,Marion,PROPN,Douet,Douet,PROPN,2014-01-26,2014,2010,PUNCT PROPN Revilla PUNCT VERB,PROPN Revilla PUNCT,PUNCT PROPN Revilla,,,Revilla PUNCT VERB,Revilla PUNCT VERB ADP,Revilla PUNCT VERB ADP PROPN,"( François Revilla , éditer","François Revilla ,",( François Revilla,,,"Revilla , éditer","Revilla , éditer par","Revilla , éditer par Marion"
http://www.cherbourg.maville.com/actu/actudet_-cherbourg-il-conduit-sans-permis-assurance-ni-controle-technique_fil-2479747_actu.Htm?xtor=RSS-4&utm_source=RSS_MVI_cherbourg&utm_medium=RSS&utm_campaign=RSS,maville.com,2014-01-28,===NONE===,Équeurdrevillais/NAM/Équeurdrevillais,"Les  policiers  ont  en  outre  appris  que  le  conducteur  ,  un Équeurdrevillais  âgé  de  37  ans  ,  n'  avait  plus  de  permis  de  conduire  .",équeurdrevillais,nam,équeurdrevillais,un,un,DET,",",",",PUNCT,conducteur,conducteur,NOUN,le,le,DET,que,que,CONJ,âgé,âgé,ADJ,de,de,ADP,37,@card@,ADJ,ans,an,NOUN,",",",",PUNCT,2014-01-28,2014,2010,PUNCT DET Revilla ADJ ADP,DET Revilla ADJ,PUNCT DET Revilla,NOUN PUNCT DET Revilla,DET NOUN PUNCT DET Revilla,Revilla ADJ ADP,Revilla ADJ ADP ADJ,Revilla ADJ ADP ADJ NOUN,", un Revilla âgé de",un Revilla âgé,", un Revilla","conducteur , un Revilla","le conducteur , un Revilla",Revilla âgé de,Revilla âgé de @card@,Revilla âgé de @card@ an
http://www.lamanchelibre.fr/cherbourg/actualite-49538-disparition-inquietante-a-cherbourg.html#xtor%3DRSS-4,lamanchelibre.fr,2014-02-15,France,Equeurdrevillais/NAM/Equeurdrevillais,Le  commissariat  de  Cherourg  lance  un  appel  à  témoins  pour  la  disparition  inquiétante  d'  un Equeurdrevillais  âgé  de  32  ans  .,equeurdrevillais,nam,equeurdrevillais,un,un,DET,d',de,ADP,inquiétante,inquiétant,ADJ,disparition,disparition,NOUN,la,le,DET,âgé,âgé,ADJ,de,de,ADP,32,@card@,ADJ,ans,an,NOUN,.,.,PUNCT,2014-02-15,2014,2010,ADP DET Revilla ADJ ADP,DET Revilla ADJ,ADP DET Revilla,ADJ ADP DET Revilla,NOUN ADJ ADP DET Revilla,Revilla ADJ ADP,Revilla ADJ ADP ADJ,Revilla ADJ ADP ADJ NOUN,de un Revilla âgé de,un Revilla âgé,de un Revilla,inquiétant de un Revilla,disparition inquiétant de un Revilla,Revilla âgé de,Revilla âgé de @card@,Revilla âgé de @card@ an
http://www.lamanchelibre.fr/cherbourg/actualite-49538-disparition-inquietante-a-cherbourg.html#xtor%3DRSS-4,lamanchelibre.fr,2014-02-15,France,Equeurdrevillais/NAM/Equeurdrevillais,"La  personne  recherchée  ,  un Equeurdrevillais  âgé  de  32  ans  se  nomme  Aurélien  Deville  .",equeurdrevillais,nam,equeurdrevillais,un,un,DET,",",",",PUNCT,recherchée,recherché,ADJ,personne,personne,NOUN,La,le,DET,âgé,âgé,ADJ,de,de,ADP,32,@card@,ADJ,ans,an,NOUN,se,se,PRON,2014-02-15,2014,2010,PUNCT DET Revilla ADJ ADP,DET Revilla ADJ,PUNCT DET Revilla,ADJ PUNCT DET Revilla,NOUN ADJ PUNCT DET Revilla,Revilla ADJ ADP,Revilla ADJ ADP ADJ,Revilla ADJ ADP ADJ NOUN,", un Revilla âgé de",un Revilla âgé,", un Revilla","recherché , un Revilla","personne recherché , un Revilla",Revilla âgé de,Revilla âgé de @card@,Revilla âgé de @card@ an
http://www.lamanchelibre.fr/cherbourg/depeche-49615-cherbourg-deux-mineurs-interpelles.html#xtor%3DRSS-1,lamanchelibre.fr,2014-02-15,France,équeurdrevillais/VER:impf/équeurdrevillais,"Dans  la  nuit  du  13  au  14  février  ,  la  brigade  anti-criminalité  a  interpellé  deux  mineurs équeurdrevillais  de  13  et  15  ans  en  flagrant  délit  de  vol  à  la  roulotte  à  Cherbourg  .",équeurdrevillais,ver:impf,équeurdrevillais,mineurs,mineur,NOUN,deux,deux,ADJ,interpellé,interpeller,VERB,a,avoir,VERB,anti-criminalité,anti-criminalité,NOUN,de,de,ADP,13,@card@,ADJ,et,et,CONJ,15,@card@,ADJ,ans,an,NOUN,2014-02-15,2014,2010,ADJ NOUN Revilla ADP ADJ,NOUN Revilla ADP,ADJ NOUN Revilla,VERB ADJ NOUN Revilla,VERB VERB ADJ NOUN Revilla,Revilla ADP ADJ,Revilla ADP ADJ CONJ,Revilla ADP ADJ CONJ ADJ,deux mineur Revilla de @card@,mineur Revilla de,deux mineur Revilla,interpeller deux mineur Revilla,avoir interpeller deux mineur Revilla,Revilla de @card@,Revilla de @card@ et,Revilla de @card@ et @card@
http://www.cherbourg.maville.com/actu/actudet_-tournoi-challenger-la-21eme-edition-debute-demain-a-cherbourg._fil-2496610_actu.Htm?xtor=RSS-4&utm_source=RSS_MVI_cherbourg&utm_medium=RSS&utm_campaign=RSS,maville.com,2014-02-21,===NONE===,équeurdrevillais/VER:impf/équeurdrevillais,"Deux  autres  Bas-normands  pourraient  rejoindre  ce  contingent  :  l'  Ornais  Maxime  Forcin  et  l' équeurdrevillais  Robin  Bailly  ,  n  °  1  manchois  .",équeurdrevillais,ver:impf,équeurdrevillais,l',la|le,PRON,et,et,CONJ,Forcin,Forcin,PROPN,Maxime,Maxime,PROPN,Ornais,Ornais,PROPN,Robin,Robin,PROPN,Bailly,Bailly,PROPN,",",",",PUNCT,n,n,VERB,°,°,NOUN,2014-02-21,2014,2010,CONJ PRON Revilla PROPN PROPN,PRON Revilla PROPN,CONJ PRON Revilla,PROPN CONJ PRON Revilla,PROPN PROPN CONJ PRON Revilla,Revilla PROPN PROPN,Revilla PROPN PROPN PUNCT,Revilla PROPN PROPN PUNCT VERB,et la|le Revilla Robin Bailly,la|le Revilla Robin,et la|le Revilla,Forcin et la|le Revilla,Maxime Forcin et la|le Revilla,Revilla Robin Bailly,"Revilla Robin Bailly ,","Revilla Robin Bailly , n"
http://www.cherbourg.maville.com/actu/actudet_-tennis.-challenger-de-cherbourg-jules-marie-passe-le-1er-tour_fil-2497169_actu.Htm?xtor=RSS-4&utm_source=RSS_MVI_cherbourg&utm_medium=RSS&utm_campaign=RSS,maville.com,2014-02-22,===NONE===,Équeurdrevillais/NAM/Équeurdrevillais,"Invité  à  disputer  les  qualifications  ,  l' Équeurdrevillais  Robin  Bailly  (  0  )  n'  est  pas  passé  loin  de  créer  la  sensation  face  au  Polonais  Grzegorz  Panfil  ,  281  e  joueur  mondial  .",équeurdrevillais,nam,équeurdrevillais,l',le,DET,",",",",PUNCT,qualifications,qualification,NOUN,les,le,DET,disputer,disputer,VERB,Robin,Robin,PROPN,Bailly,Bailly,PROPN,(,(,PUNCT,0,@card@,ADJ,),),PUNCT,2014-02-22,2014,2010,PUNCT DET Revilla PROPN PROPN,DET Revilla PROPN,PUNCT DET Revilla,NOUN PUNCT DET Revilla,DET NOUN PUNCT DET Revilla,Revilla PROPN PROPN,Revilla PROPN PROPN PUNCT,Revilla PROPN PROPN PUNCT ADJ,", le Revilla Robin Bailly",le Revilla Robin,", le Revilla","qualification , le Revilla","le qualification , le Revilla",Revilla Robin Bailly,Revilla Robin Bailly (,Revilla Robin Bailly ( @card@
