url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.rtl.be/info/belgique/faitsdivers/1060877/affaire-wesphael-veronique-pirotton-ne-s-est-pas-suicidee,rtl.be,2014-01-10,Belgium,rimmel/NOM/rimmel,"Sur  le  sac  plastique  présent  dans  la  salle  de  bain  de  la  chambre  ,  des  traces  de rimmel  ont  été  retrouvées  à  l'  extérieur  du  sachet  .",rimmel,nom,rimmel,de,de,ADP,traces,trace,NOUN,des,du,ADP DET,",",",",PUNCT,chambre,chambre,NOUN,ont,avoir,VERB,été,être,VERB,retrouvées,retrouver,VERB,à,à,ADP,l',le,DET,2014-01-10,2014,2010,NOUN ADP Rimmel VERB VERB,ADP Rimmel VERB,NOUN ADP Rimmel,ADP DET NOUN ADP Rimmel,PUNCT ADP DET NOUN ADP Rimmel,Rimmel VERB VERB,Rimmel VERB VERB VERB,Rimmel VERB VERB VERB ADP,trace de Rimmel avoir être,de Rimmel avoir,trace de Rimmel,du trace de Rimmel,", du trace de Rimmel",Rimmel avoir être,Rimmel avoir être retrouver,Rimmel avoir être retrouver à
http://www.lequotidien.lu/people/52091.html,lequotidien.lu,2014-01-14,Luxembourg,Rimmel/NAM/Rimmel,"Avec  des  contrats  notamment  avec  Versace  et Rimmel  ,  elle  est  selon  le  magazine  Forbes  la  quatrième  top  model  la  mieux  payée  ,  ayant  engrangé  5,7  millions  de  dollars  (  4,2  millions  d'  euros  )  entre  juin  2012  et  juin  2013  .",rimmel,nam,rimmel,et,et,CONJ,Versace,Versace,PROPN,avec,avec,ADP,notamment,notamment,ADV,contrats,contrat,NOUN,",",",",PUNCT,elle,elle,PRON,est,être,VERB,selon,selon,ADP,le,le,DET,2014-01-14,2014,2010,PROPN CONJ Rimmel PUNCT PRON,CONJ Rimmel PUNCT,PROPN CONJ Rimmel,ADP PROPN CONJ Rimmel,ADV ADP PROPN CONJ Rimmel,Rimmel PUNCT PRON,Rimmel PUNCT PRON VERB,Rimmel PUNCT PRON VERB ADP,"Versace et Rimmel , elle","et Rimmel ,",Versace et Rimmel,avec Versace et Rimmel,notamment avec Versace et Rimmel,"Rimmel , elle","Rimmel , elle être","Rimmel , elle être selon"
http://www.terrafemina.com/tendances/lifestyle/articles/36304-kate-moss-a-40-ans-pourquoi-la-brindille-fait-encore-et-toujours-rever.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BTerrafeminaNews%2B%2528TerrafeminaNews%2529,terrafemina.com,2014-01-16,France,Rimmel/NOM/rimmel,"Elle  a  signé  plusieurs  collections  pour  Topshop  mais  s'  est  aussi  associée  à  Zara  ,  H  &  M  ,  Mango  , Rimmel  et  même  Sushi  Shop  .",rimmel,nom,rimmel,",",",",PUNCT,Mango,Mango,PROPN,",",",",PUNCT,M,M,VERB,&,&,SYM,et,et,CONJ,même,même,ADV,Sushi,Sushi,PROPN,Shop,Shop,PROPN,.,.,PUNCT,2014-01-16,2014,2010,PROPN PUNCT Rimmel CONJ ADV,PUNCT Rimmel CONJ,PROPN PUNCT Rimmel,PUNCT PROPN PUNCT Rimmel,VERB PUNCT PROPN PUNCT Rimmel,Rimmel CONJ ADV,Rimmel CONJ ADV PROPN,Rimmel CONJ ADV PROPN PROPN,"Mango , Rimmel et même",", Rimmel et","Mango , Rimmel",", Mango , Rimmel","M , Mango , Rimmel",Rimmel et même,Rimmel et même Sushi,Rimmel et même Sushi Shop
http://www.lnt.ma/madame/a-la-tribune-kate-moss-40-ans-94822.html,lnt.ma,2014-01-17,Morocco,Rimmel/NAM/Rimmel,"Elle  est  l'  égérie  de  nombreuses  marques  comme  Longchamp  ,  Mango  ,  Dior  , Rimmel  ,  Lui  Jo  .",rimmel,nam,rimmel,",",",",PUNCT,Dior,Dior,PROPN,",",",",PUNCT,Mango,Mango,PROPN,",",",",PUNCT,",",",",PUNCT,Lui,Lui,PROPN,Jo,Jo,PROPN,.,.,PUNCT,,,,2014-01-17,2014,2010,PROPN PUNCT Rimmel PUNCT PROPN,PUNCT Rimmel PUNCT,PROPN PUNCT Rimmel,PUNCT PROPN PUNCT Rimmel,PROPN PUNCT PROPN PUNCT Rimmel,Rimmel PUNCT PROPN,Rimmel PUNCT PROPN PROPN,Rimmel PUNCT PROPN PROPN PUNCT,"Dior , Rimmel , Lui",", Rimmel ,","Dior , Rimmel",", Dior , Rimmel","Mango , Dior , Rimmel","Rimmel , Lui","Rimmel , Lui Jo","Rimmel , Lui Jo ."
http://www.newswire.ca/en/story/1293225/coty-inc-nomme-catia-cesari-premiere-vice-presidente-du-developpement-des-affaires-fusions-et-acquisitions,newswire.ca,2014-01-24,Canada,Rimmel/NAM/Rimmel,"Les  produits  de  Coty  comprennent  des  marques  mondiales  comme  adidas  ,  Calvin  Klein  ,  Chloé  ,  Davidoff  ,  Marc  Jacobs  ,  OPI  ,  philosophy  ,  Playboy  , Rimmel  et  Sally  Hansen  . </doc>",rimmel,nam,rimmel,",",",",PUNCT,Playboy,Playboy,PROPN,",",",",PUNCT,philosophy,philosophy,NOUN,",",",",PUNCT,et,et,CONJ,Sally,Sally,PROPN,Hansen,Hansen,PROPN,.,.,PUNCT,</doc>,,,2014-01-24,2014,2010,PROPN PUNCT Rimmel CONJ PROPN,PUNCT Rimmel CONJ,PROPN PUNCT Rimmel,PUNCT PROPN PUNCT Rimmel,NOUN PUNCT PROPN PUNCT Rimmel,Rimmel CONJ PROPN,Rimmel CONJ PROPN PROPN,Rimmel CONJ PROPN PROPN PUNCT,"Playboy , Rimmel et Sally",", Rimmel et","Playboy , Rimmel",", Playboy , Rimmel","philosophy , Playboy , Rimmel",Rimmel et Sally,Rimmel et Sally Hansen,Rimmel et Sally Hansen .
http://www.newswire.ca/en/story/1295781/coty-inc-et-enrique-iglesias-concluent-un-accord-de-partenariat-dans-le-secteur-de-la-parfumerie,newswire.ca,2014-01-28,Canada,Rimmel/NAM/Rimmel,"L'  offre  de  produits  de  Coty  comprend  les  marques  mondiales  comme  adidas  ,  Calvin  Klein  ,  Chloe  ,  Davidoff  ,  Marc  Jacobs  ,  OPI  ,  philosophy  ,  Playboy  , Rimmel  et  Sally  Hansen  .",rimmel,nam,rimmel,",",",",PUNCT,Playboy,Playboy,PROPN,",",",",PUNCT,philosophy,philosophy,NOUN,",",",",PUNCT,et,et,CONJ,Sally,Sally,PROPN,Hansen,Hansen,PROPN,.,.,PUNCT,,,,2014-01-28,2014,2010,PROPN PUNCT Rimmel CONJ PROPN,PUNCT Rimmel CONJ,PROPN PUNCT Rimmel,PUNCT PROPN PUNCT Rimmel,NOUN PUNCT PROPN PUNCT Rimmel,Rimmel CONJ PROPN,Rimmel CONJ PROPN PROPN,Rimmel CONJ PROPN PROPN PUNCT,"Playboy , Rimmel et Sally",", Rimmel et","Playboy , Rimmel",", Playboy , Rimmel","philosophy , Playboy , Rimmel",Rimmel et Sally,Rimmel et Sally Hansen,Rimmel et Sally Hansen .
http://www.ladepeche.fr/article/2014/01/28/1805000-georgia-may-jagger-sexy-et-glamour-pour-thomas-sabo.html,ladepeche.fr,2014-01-28,France,Rimmel/NAM/Rimmel,"La  jeune  femme  d'  à  peine  22  ans  a  récemment  posé  pour Rimmel  ,  Hudson  Jeans  ,  Sisley  ,  ou  encore  Just  Cavalli  . </doc>",rimmel,nam,rimmel,pour,pour,ADP,posé,poser,VERB,récemment,récemment,ADV,a,avoir,VERB,ans,an,NOUN,",",",",PUNCT,Hudson,Hudson,PROPN,Jeans,Jeans,PROPN,",",",",PUNCT,Sisley,Sisley,PROPN,2014-01-28,2014,2010,VERB ADP Rimmel PUNCT PROPN,ADP Rimmel PUNCT,VERB ADP Rimmel,ADV VERB ADP Rimmel,VERB ADV VERB ADP Rimmel,Rimmel PUNCT PROPN,Rimmel PUNCT PROPN PROPN,Rimmel PUNCT PROPN PROPN PUNCT,"poser pour Rimmel , Hudson","pour Rimmel ,",poser pour Rimmel,récemment poser pour Rimmel,avoir récemment poser pour Rimmel,"Rimmel , Hudson","Rimmel , Hudson Jeans","Rimmel , Hudson Jeans ,"
http://www.lexpress.fr/culture/cinema/l-eclat-du-jour-la-critique-de-studio-cine-live_1321144.html,lexpress.fr,2014-02-11,France,Frimmel/NAM/Frimmel,"L'  éclat  du  jour  ,  de  T.  Covi  et  R. Frimmel  ,  avec  Philipp  Hochmair  ...  1  h  31  ,  12  février </doc>",frimmel,nam,frimmel,R.,R.,PROPN,et,et,CONJ,Covi,Covi,PROPN,T.,T.,PROPN,de,de,ADP,",",",",PUNCT,avec,avec,ADP,Philipp,Philipp,PROPN,Hochmair,Hochmair,PROPN,...,...,PUNCT,2014-02-11,2014,2010,CONJ PROPN Rimmel PUNCT ADP,PROPN Rimmel PUNCT,CONJ PROPN Rimmel,PROPN CONJ PROPN Rimmel,PROPN PROPN CONJ PROPN Rimmel,Rimmel PUNCT ADP,Rimmel PUNCT ADP PROPN,Rimmel PUNCT ADP PROPN PROPN,"et R. Rimmel , avec","R. Rimmel ,",et R. Rimmel,Covi et R. Rimmel,T. Covi et R. Rimmel,"Rimmel , avec","Rimmel , avec Philipp","Rimmel , avec Philipp Hochmair"
http://www.lesinrocks.com/cinema/films-a-l-affiche/leclat-du-jour/,lesinrocks.com,2014-02-11,===NONE===,Frimmel/NAM/Frimmel,Le  cinéma  singulier  de  Covi  et Frimmel  plonge  des  personnages  réels  dans  un  bain  de  fiction  .,frimmel,nam,frimmel,et,et,CONJ,Covi,Covi,PROPN,de,de,ADP,singulier,singulier,ADJ,cinéma,cinéma,NOUN,plonge,plonger,VERB,des,du,ADP DET,personnages,personnage,NOUN,réels,réel,ADJ,dans,dans,ADP,2014-02-11,2014,2010,PROPN CONJ Rimmel VERB ADP DET,CONJ Rimmel VERB,PROPN CONJ Rimmel,ADP PROPN CONJ Rimmel,ADJ ADP PROPN CONJ Rimmel,Rimmel VERB ADP DET,Rimmel VERB ADP DET NOUN,Rimmel VERB ADP DET NOUN ADJ,Covi et Rimmel plonger du,et Rimmel plonger,Covi et Rimmel,de Covi et Rimmel,singulier de Covi et Rimmel,Rimmel plonger du,Rimmel plonger du personnage,Rimmel plonger du personnage réel
http://www.lesinrocks.com/cinema/films-a-l-affiche/leclat-du-jour/,lesinrocks.com,2014-02-11,===NONE===,Frimmel/NAM/Frimmel,"Sur  la  lancée  de  La  Pivellina  ,  voici  donc  le  nouveau  film  de  Covi  et Frimmel  .",frimmel,nam,frimmel,et,et,CONJ,Covi,Covi,PROPN,de,de,ADP,film,film,NOUN,nouveau,nouveau,ADJ,.,.,PUNCT,,,,,,,,,,,,,2014-02-11,2014,2010,,CONJ Rimmel PUNCT,PROPN CONJ Rimmel,ADP PROPN CONJ Rimmel,NOUN ADP PROPN CONJ Rimmel,,,,,et Rimmel .,Covi et Rimmel,de Covi et Rimmel,film de Covi et Rimmel,,,
