url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.liberation.fr/culture/2013/12/29/marseille-2013-annee-fertile_969533?xtor=rss-450,liberation.fr,2014-01-01,France,ripolinée/VER:pper/ripoliner,"A  Aix  ,  cela  n'  allait  guère  mieux  ,  derrière  ""  la  façade  mieux ripolinée  ""  ,  note  un  acteur  culturel  arrivé  avec  la  capitale  européenne  ,  qui  ajoute  :  ""  Cette  désorganisation  faramineuse  offre  cependant  une  grande  liberté  .",ripolinée,ver:pper,ripoliner,mieux,mieux,ADV,façade,façade,NOUN,la,le,DET,"""","""",PUNCT,derrière,derrière,ADP,"""","""",PUNCT,",",",",PUNCT,note,noter,VERB,un,un,DET,acteur,acteur,NOUN,2014-01-01,2014,2010,NOUN ADV Ripolin PUNCT PUNCT,ADV Ripolin PUNCT,NOUN ADV Ripolin,DET NOUN ADV Ripolin,PUNCT DET NOUN ADV Ripolin,Ripolin PUNCT PUNCT,Ripolin PUNCT PUNCT VERB,Ripolin PUNCT PUNCT VERB DET,"façade mieux Ripolin "" ,","mieux Ripolin """,façade mieux Ripolin,le façade mieux Ripolin,""" le façade mieux Ripolin","Ripolin "" ,","Ripolin "" , noter","Ripolin "" , noter un"
http://blogs.lexpress.fr/afrique-en-face/2014/01/07/hollande-et-son-boomerang/,lexpress.fr,2014-01-07,France,ripoliner/VER:infi/ripoliner,"Il  pourrait  être  formulé  ainsi  :  ""  Tout  locataire  de  l'  Elysée  plongé  dans  le  tumulte  africain  se  voit  contraint  de  pactiser  avec  des  homologues  subsahariens  tendant  à  incarner  des  usages  qu'  il  réprouve  ,  quitte  à  contribuer  malgré  lui  à ripoliner  l'  image  de  ces  derniers  .",ripoliner,ver:infi,ripoliner,à,à,ADP,lui,lui,PRON,malgré,malgré,ADP,contribuer,contribuer,VERB,à,à,ADP,l',le,DET,image,image,NOUN,de,de,ADP,ces,ce,PRON,derniers,dernier,ADJ,2014-01-07,2014,2010,PRON ADP Ripolin DET NOUN,ADP Ripolin DET,PRON ADP Ripolin,ADP PRON ADP Ripolin,VERB ADP PRON ADP Ripolin,Ripolin DET NOUN,Ripolin DET NOUN ADP,Ripolin DET NOUN ADP PRON,lui à Ripolin le image,à Ripolin le,lui à Ripolin,malgré lui à Ripolin,contribuer malgré lui à Ripolin,Ripolin le image,Ripolin le image de,Ripolin le image de ce
http://www.lepoint.fr/editos-du-point/sebastien-le-fol/quand-les-socialistes-reecrivent-le-dictionnaire-29-01-2014-1785673_1913.php,lepoint.fr,2014-01-29,France,ripolinent/VER:pres/ripoliner,"Sous  l'  impulsion  de  Najat  Vallaud-Belkacem  ,  la  Torquemada  radieuse  ,  ils ripolinent  nos  dictionnaires  .",ripolinent,ver:pres,ripoliner,ils,il,PRON,",",",",PUNCT,radieuse,radieux,ADJ,Torquemada,Torquemada,PROPN,la,le,DET,nos,notre,DET,dictionnaires,dictionnaire,NOUN,.,.,PUNCT,,,,,,,2014-01-29,2014,2010,PUNCT PRON Ripolin DET NOUN,PRON Ripolin DET,PUNCT PRON Ripolin,ADJ PUNCT PRON Ripolin,PROPN ADJ PUNCT PRON Ripolin,Ripolin DET NOUN,Ripolin DET NOUN PUNCT,,", il Ripolin notre dictionnaire",il Ripolin notre,", il Ripolin","radieux , il Ripolin","Torquemada radieux , il Ripolin",Ripolin notre dictionnaire,Ripolin notre dictionnaire .,
http://www.cridem.org/C_Info.php?article=652610,cridem.org,2014-02-04,===NONE===,ripolinés/VER:pper/ripoliner,"Ou  les  appartements  ,  maisons  et  résidences  ,  acquis  ou ripolinés  pour  des  sommes  indécentes  ,  puisées  dans  les  trésoreries  de  pays  où  le  PIB  par  habitant  demeure  ridiculement  bas  .",ripolinés,ver:pper,ripoliner,ou,ou,CONJ,acquis,acquérir,VERB,",",",",PUNCT,résidences,résidence,NOUN,et,et,CONJ,pour,pour,ADP,des,du,ADP DET,sommes,somme,NOUN,indécentes,indécent,ADJ,",",",",PUNCT,2014-02-04,2014,2010,VERB CONJ Ripolin ADP ADP DET,CONJ Ripolin ADP,VERB CONJ Ripolin,PUNCT VERB CONJ Ripolin,NOUN PUNCT VERB CONJ Ripolin,Ripolin ADP ADP DET,Ripolin ADP ADP DET NOUN,Ripolin ADP ADP DET NOUN ADJ,acquérir ou Ripolin pour du,ou Ripolin pour,acquérir ou Ripolin,", acquérir ou Ripolin","résidence , acquérir ou Ripolin",Ripolin pour du,Ripolin pour du somme,Ripolin pour du somme indécent
http://www.20minutes.fr/sport/1290914-sotchi-2014-dernier-coups-de-peinture-avant-l-ouverture-des-jeux,20minutes.fr,2014-02-05,France,ripolinés/VER:pper/ripoliner,"En  attendant  le  début  des  épreuves  ,  elle  baigne  pour  l'  instant  dans  une  odeur  d'  enduit  pas  tout  à  fait  sec  et  de  murs ripolinés  .",ripolinés,ver:pper,ripoliner,murs,mur,NOUN,de,de,ADP,et,et,CONJ,sec,sec,ADJ,fait,fait,NOUN,.,.,PUNCT,,,,,,,,,,,,,2014-02-05,2014,2010,,NOUN Ripolin PUNCT,ADP NOUN Ripolin,CONJ ADP NOUN Ripolin,ADJ CONJ ADP NOUN Ripolin,,,,,mur Ripolin .,de mur Ripolin,et de mur Ripolin,sec et de mur Ripolin,,,
http://blogs.lexpress.fr/media/2014/02/12/csa-cherche-pdg-pour-radio-france-susceptible-denjamber-2017/,lexpress.fr,2014-02-12,France,ripolinage/NOM/ripolinage,"Un  poste  de  forcat  où  les  journées  ,  démarrées  à  l'  aube  et  achevées  nuitamment  ,  se  partagent  entre  le ripolinage  de  l'  actionnaire  ,  -  l'  Etat  et  ses  nombreuses  annexes  ,  qu'  il  vous  faut  cajoler  ,  apaiser  ,  rassurer  ,  courtiser-  ,  et  la  surveillance  ,24  h  /  24  h  ,  d'  une  population  dressée  sur  ses  ergots  :  ces  techniciens  ,  journalistes  et  producteurs  de  Radio-France  prêts  à  entonner  la  Carmagnole  au  moindre  coup  de  vent  ,  et  que  la  plus  petite  contrariété  transforme  en  dockers  .",ripolinage,nom,ripolinage,le,le,DET,entre,entre,ADP,partagent,partager,VERB,se,se,PRON,",",",",PUNCT,de,de,ADP,l',le,DET,actionnaire,actionnaire,NOUN,",",",",PUNCT,-,-,PUNCT,2014-02-12,2014,2010,ADP DET Ripolin ADP DET,DET Ripolin ADP,ADP DET Ripolin,VERB ADP DET Ripolin,PRON VERB ADP DET Ripolin,Ripolin ADP DET,Ripolin ADP DET NOUN,Ripolin ADP DET NOUN PUNCT,entre le Ripolin de le,le Ripolin de,entre le Ripolin,partager entre le Ripolin,se partager entre le Ripolin,Ripolin de le,Ripolin de le actionnaire,"Ripolin de le actionnaire ,"
http://www.lemonde.fr/municipales/article/2014/02/13/un-dernier-combat-difficile-pour-l-ogre-gaudin_4365113_1828682.html#xtor%3DRSS-3208,lemonde.fr,2014-02-13,France,Ripoliné/VER:pper/ripoliner," Ripoliné  ,  toutefois  ,  par  la  réussite  populaire  et  médiatique  de  la  Capitale  culturelle  européenne  Marseille-Provence  2013  .",ripoliné,ver:pper,ripoliner,,,,,,,,,,,,,,,,",",",",PUNCT,toutefois,toutefois,ADV,",",",",PUNCT,par,par,ADP,la,le,DET,2014-02-13,2014,2010,,,,,,Ripolin PUNCT ADV,Ripolin PUNCT ADV PUNCT,Ripolin PUNCT ADV PUNCT ADP,,,,,,"Ripolin , toutefois","Ripolin , toutefois ,","Ripolin , toutefois , par"
http://www.lemonde.fr/municipales/article/2014/02/14/a-angers-l-ump-parie-sur-les-divisions-de-la-gauche-pour-reconquerir-la-mairie_4366501_1828682.html,lemonde.fr,2014-02-14,France,ripoliné/VER:pper/ripoliner,"On  a  beau  chercher  ,  pas  de  logo  bleu  et  rouge  dans  le  fraîchement ripoliné  quartier  général  de  campagne  du  sénateur  UMP  ,  installé  en  plein  centre-ville  ,  ni  le  dessin  du  moindre  chêne  sur  le  matériel  de  tractage  à  l'  usage  des  militants  .",ripoliné,ver:pper,ripoliner,fraîchement,fraîchement,ADV,le,le,DET,dans,dans,ADP,rouge,rouge,ADJ,et,et,CONJ,quartier,quartier,NOUN,général,général,ADJ,de,de,ADP,campagne,campagne,NOUN,du,du,ADP DET,2014-02-14,2014,2010,DET ADV Ripolin NOUN ADJ,ADV Ripolin NOUN,DET ADV Ripolin,ADP DET ADV Ripolin,ADJ ADP DET ADV Ripolin,Ripolin NOUN ADJ,Ripolin NOUN ADJ ADP,Ripolin NOUN ADJ ADP NOUN,le fraîchement Ripolin quartier général,fraîchement Ripolin quartier,le fraîchement Ripolin,dans le fraîchement Ripolin,rouge dans le fraîchement Ripolin,Ripolin quartier général,Ripolin quartier général de,Ripolin quartier général de campagne
http://www.liberation.fr/politiques/2014/02/14/municipales-le-fn-se-resout-a-exclure-un-dur-un-vrai-un-tatoue_980425?xtor=rss-450,liberation.fr,2014-02-16,France,ripolinage/NOM/ripolinage,"Vendredi  ,  le  parti  d'  extrême  droite  a  de  nouveau  été  contraint  d'  exclure  l'  un  des  siens  ,  pas  raccord  du  tout  avec  le ripolinage  de  façade  entrepris  -  avec  un  certain  succès  mais  pas  mal  de  rechutes  -  par  Marine  Le  Pen  .",ripolinage,nom,ripolinage,le,le,DET,avec,avec,ADP,tout,tout,NOUN,du,du,ADP DET,raccord,raccord,NOUN,de,de,ADP,façade,façade,NOUN,entrepris,entreprendre,VERB,-,-,PUNCT,avec,avec,ADP,2014-02-16,2014,2010,ADP DET Ripolin ADP NOUN,DET Ripolin ADP,ADP DET Ripolin,NOUN ADP DET Ripolin,ADP DET NOUN ADP DET Ripolin,Ripolin ADP NOUN,Ripolin ADP NOUN VERB,Ripolin ADP NOUN VERB PUNCT,avec le Ripolin de façade,le Ripolin de,avec le Ripolin,tout avec le Ripolin,du tout avec le Ripolin,Ripolin de façade,Ripolin de façade entreprendre,Ripolin de façade entreprendre -
http://www.politis.fr/ouverture-du-grand-Theatre-de-l%2C25824.html,politis.fr,2014-02-22,France,ripoliner/VER:infi/ripoliner,"Alors  ,  sous  l'  œil  vigilant  des  caciques  de  la  FNSEA  ,  les  paysans  transformés  en  acteurs  d'  une  comédie  qui  les  dépasse  mais  aussi  les  oppresse  ,  sont  priés  de ripoliner  le  décor  de  la  ""  plus  grande  ferme  de  France  ""  .",ripoliner,ver:infi,ripoliner,de,de,ADP,priés,prier,VERB,sont,être,VERB,",",",",PUNCT,oppresse,oppresser,VERB,le,le,DET,décor,décor,NOUN,de,de,ADP,la,le,DET,"""","""",PUNCT,2014-02-22,2014,2010,VERB ADP Ripolin DET NOUN,ADP Ripolin DET,VERB ADP Ripolin,VERB VERB ADP Ripolin,PUNCT VERB VERB ADP Ripolin,Ripolin DET NOUN,Ripolin DET NOUN ADP,Ripolin DET NOUN ADP DET,prier de Ripolin le décor,de Ripolin le,prier de Ripolin,être prier de Ripolin,", être prier de Ripolin",Ripolin le décor,Ripolin le décor de,Ripolin le décor de le
http://transports.blog.lemonde.fr/2014/02/24/municipales-les-propositions-simplistes-du-front-national-pour-les-transports/#xtor%3DRSS-3208,lemonde.fr,2014-02-27,France,ripolinage/NOM/ripolinage,"Sur  le  site  ""  FN  infos  ""  consacré  à  Saint-Etienne  ,  le  parti  de  Marine  Le  Pen  critique  par  ailleurs  l'  aménagement  de  la  place  Carnot  en  des  termes  qui  démentent  tout ripolinage  du  parti  d'  extrême-droite  :  ""  cette  partie  de  la  place  ,  désormais  isolée  de  la  circulation  ,  est  devenue  un  lieu  de  rendez-vous  pour  la  racaille  dont  nous  connaissons  tous  l'  origine  commune  ""  .",ripolinage,nom,ripolinage,tout,tout,ADV,démentent,démentir,VERB,qui,qui,PRON,termes,terme,NOUN,des,du,ADP DET,du,du,ADP DET,parti,parti,NOUN,d',de,ADP,extrême-droite,extrême-droite,NOUN,:,:,PUNCT,2014-02-27,2014,2010,VERB ADV Ripolin ADP DET NOUN,ADV Ripolin ADP DET,VERB ADV Ripolin,PRON VERB ADV Ripolin,NOUN PRON VERB ADV Ripolin,Ripolin ADP DET NOUN,Ripolin ADP DET NOUN ADP,Ripolin ADP DET NOUN ADP NOUN,démentir tout Ripolin du parti,tout Ripolin du,démentir tout Ripolin,qui démentir tout Ripolin,terme qui démentir tout Ripolin,Ripolin du parti,Ripolin du parti de,Ripolin du parti de extrême-droite
http://www.lejdd.fr/Politique/Ayrault-doit-il-rester-Premier-ministre-655772,lejdd.fr,2014-03-05,France,ripolinage/NOM/ripolinage,"Quel  que  soit  le  nom  du  prochain  locataire  de  Matignon  -  Manuel  Valls  ,  Laurent  Fabius  ou  Claude  Bartolone  sont  les  plus  fréquemment  cités  -  le  "" ripolinage  ""  ,  serait  de  grande  ampleur  ...",ripolinage,nom,ripolinage,"""","""",PUNCT,le,le,DET,-,-,PUNCT,cités,citer,VERB,fréquemment,fréquemment,ADV,"""","""",PUNCT,",",",",PUNCT,serait,être,VERB,de,de,ADP,grande,grand,ADJ,2014-03-05,2014,2010,DET PUNCT Ripolin PUNCT PUNCT,PUNCT Ripolin PUNCT,DET PUNCT Ripolin,PUNCT DET PUNCT Ripolin,VERB PUNCT DET PUNCT Ripolin,Ripolin PUNCT PUNCT,Ripolin PUNCT PUNCT VERB,Ripolin PUNCT PUNCT VERB ADP,"le "" Ripolin "" ,",""" Ripolin ""","le "" Ripolin","- le "" Ripolin","citer - le "" Ripolin","Ripolin "" ,","Ripolin "" , être","Ripolin "" , être de"
http://www.rtl.fr/actualites/sport/football/article/equipe-de-france-les-bleus-soignent-leur-image-7770190929,rtl.fr,2014-03-05,France,ripoliner/VER:infi/ripoliner,"Réunis  à  Clairefontaine  ,  ils  s'  appliquent  alors  à ripoliner  leur  image  ,  celle  d'  une  équipe  soudée  ,  détendue  et  sympathique  .",ripoliner,ver:infi,ripoliner,à,à,ADP,alors,alors,ADV,appliquent,appliquer,VERB,s',se,PRON,ils,il,PRON,leur,leur,DET,image,image,NOUN,",",",",PUNCT,celle,celui,PRON,d',de,ADP,2014-03-05,2014,2010,ADV ADP Ripolin DET NOUN,ADP Ripolin DET,ADV ADP Ripolin,VERB ADV ADP Ripolin,PRON VERB ADV ADP Ripolin,Ripolin DET NOUN,Ripolin DET NOUN PUNCT,Ripolin DET NOUN PUNCT PRON,alors à Ripolin leur image,à Ripolin leur,alors à Ripolin,appliquer alors à Ripolin,se appliquer alors à Ripolin,Ripolin leur image,"Ripolin leur image ,","Ripolin leur image , celui"
http://leplus.nouvelobs.com/contribution/1154547-yannick-noah-tacle-par-marine-le-pen-le-fn-suinte-le-systeme-par-tous-les-pores.html,nouvelobs.com,2014-03-06,France,ripolinant/VER:ppre/ripoliner,"Attaque  classique  également  de  la  présidente  ,  héritière  de  l'  entreprise  familiale  mais  qui  cherche  à  faire  oublier  cette  transmission  d'  un  patrimoine  parfois  encombrant  en ripolinant  la  devanture  et  en  reparamétrant  le  logiciel  .",ripolinant,ver:ppre,ripoliner,en,en,ADP,encombrant,encombrant,ADJ,parfois,parfois,ADV,patrimoine,patrimoine,NOUN,un,un,DET,la,le,DET,devanture,devanture,NOUN,et,et,CONJ,en,en,ADP,reparamétrant,reparamétrant,VERB,2014-03-06,2014,2010,ADJ ADP Ripolin DET NOUN,ADP Ripolin DET,ADJ ADP Ripolin,ADV ADJ ADP Ripolin,NOUN ADV ADJ ADP Ripolin,Ripolin DET NOUN,Ripolin DET NOUN CONJ,Ripolin DET NOUN CONJ ADP,encombrant en Ripolin le devanture,en Ripolin le,encombrant en Ripolin,parfois encombrant en Ripolin,patrimoine parfois encombrant en Ripolin,Ripolin le devanture,Ripolin le devanture et,Ripolin le devanture et en
http://www.lepoint.fr/politique/pourquoi-buisson-a-enregistre-sarkozy-06-03-2014-1798402_20.php,lepoint.fr,2014-03-06,France,ripoliné/VER:pper/ripoliner,"Mais  ""  il  a ripoliné  son  image  en  intégrant  en  2005  l'  équipe  de  Politiquement  show  sur  LCI  ""  :  ""  C'  est  à  ce  moment-là  qu'  il  a  pris  une  couleur  péniche  de  la  rue  Saint-Guillaume  ""  ,  considère  le  politologue  ,  une  allusion  au  hall  très  bcbg  de  sc  pop  paris  .",ripoliné,ver:pper,ripoliner,a,avoir,VERB,il,il,PRON,"""","""",PUNCT,Mais,mais,CONJ,,,,son,son,DET,image,image,NOUN,en,en,ADP,intégrant,intégrer,VERB,en,en,ADP,2014-03-06,2014,2010,PRON VERB Ripolin DET NOUN,VERB Ripolin DET,PRON VERB Ripolin,PUNCT PRON VERB Ripolin,CONJ PUNCT PRON VERB Ripolin,Ripolin DET NOUN,Ripolin DET NOUN ADP,Ripolin DET NOUN ADP VERB,il avoir Ripolin son image,avoir Ripolin son,il avoir Ripolin,""" il avoir Ripolin","mais "" il avoir Ripolin",Ripolin son image,Ripolin son image en,Ripolin son image en intégrer
http://www.humanite.fr/fil-rouge/lundi-17-mars-a-toulouse-rencontre-debat-autour-de-la-sortie-du-livre-marine-le-pen-amene-le-pire-de-frederic-et-maxim,humanite.fr,2014-03-12,France,ripoliné/VER:pper/ripoliner,"Y  sont  démontrées  la  difficulté  pour  Marine  Le  Pen  ,  malgré  les  habiletés  tribuniciennes  ,  à  se  dépouiller  des  oripeaux  paternels  les  plus  exécrables  ,  la  distorsion  entre  le  discours  du  FN ripoliné  et  son  programme  ,  entre  son  programme  et  ses  objectifs  .",ripoliné,ver:pper,ripoliner,FN,FN,ABR,du,du,ADP DET,discours,discours,NOUN,le,le,DET,entre,entre,ADP,et,et,CONJ,son,son,DET,programme,programme,NOUN,",",",",PUNCT,entre,entre,ADP,2014-03-12,2014,2010,ADP DET ABR Ripolin CONJ DET,ABR Ripolin CONJ,ADP DET ABR Ripolin,NOUN ADP DET ABR Ripolin,DET NOUN ADP DET ABR Ripolin,Ripolin CONJ DET,Ripolin CONJ DET NOUN,Ripolin CONJ DET NOUN PUNCT,du FN Ripolin et son,FN Ripolin et,du FN Ripolin,discours du FN Ripolin,le discours du FN Ripolin,Ripolin et son,Ripolin et son programme,"Ripolin et son programme ,"
http://www.midilibre.fr/2014/03/10/nimes-au-defi-de-l-union%2C832820.php#xtor%3DRSS-5,midilibre.fr,2014-03-18,France,ripolinage/NOM/ripolinage,La  liste  UMP-UDI  met  en  avant  un  inespéré ripolinage  politique  .,ripolinage,nom,ripolinage,inespéré,inespéré,ADJ,un,un,DET,avant,avant,ADP,en,en,ADP,met,mettre,VERB,politique,politique,ADJ,.,.,PUNCT,,,,,,,,,,2014-03-18,2014,2010,DET ADJ Ripolin ADJ PUNCT,ADJ Ripolin ADJ,DET ADJ Ripolin,ADP DET ADJ Ripolin,ADP ADP DET ADJ Ripolin,Ripolin ADJ PUNCT,,,un inespéré Ripolin politique .,inespéré Ripolin politique,un inespéré Ripolin,avant un inespéré Ripolin,en avant un inespéré Ripolin,Ripolin politique .,,
