url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lapresse.ca/le-soleil/vivre-ici/mode/201407/16/01-4784477-le-chic-sportif-de-louise-labrecque.php,lapresse.ca,2014-07-17,Canada,rollerblade/NOM/rollerblade,"""  Il  est  d'abord  fait  pour  le  vélo  ,  mais  il  est  aussi  très  pratique  pour  faire  du rollerblade  .",rollerblade,nom,rollerblade,du,du,ADP DET,faire,faire,VERB,pour,pour,ADP,pratique,pratique,ADJ,très,très,ADV,.,.,PUNCT,,,,,,,,,,,,,2014-07-17,2014,2010,,ADP DET Rollerblade PUNCT,VERB ADP DET Rollerblade,ADP VERB ADP DET Rollerblade,ADJ ADP VERB ADP DET Rollerblade,,,,,du Rollerblade .,faire du Rollerblade,pour faire du Rollerblade,pratique pour faire du Rollerblade,,,
http://creative.arte.tv/fr/ab%C3%A9c%C3%A9daire-ann%C3%A9es-90,arte.tv,2014-07-25,Tuvalu,Rollerblade/NOM/Rollerblade,"Après  la  fièvre  des  patins  à  roulettes  des  années  80  ,  place  à  la  modernité  avec  les  rollers  développés  par  la  société  américaine Rollerblade  Inc  .  des  frères  Olson  .",rollerblade,nom,rollerblade,américaine,américain,ADJ,société,société,NOUN,la,le,DET,par,par,ADP,développés,développer,VERB,Inc,Inc,PROPN,.,.,PUNCT,des,du,ADP DET,frères,frère,NOUN,Olson,Olson,PROPN,2014-07-25,2014,2010,NOUN ADJ Rollerblade PROPN PUNCT,ADJ Rollerblade PROPN,NOUN ADJ Rollerblade,DET NOUN ADJ Rollerblade,ADP DET NOUN ADJ Rollerblade,Rollerblade PROPN PUNCT,Rollerblade PROPN PUNCT ADP DET,Rollerblade PROPN PUNCT ADP DET NOUN,société américain Rollerblade Inc .,américain Rollerblade Inc,société américain Rollerblade,le société américain Rollerblade,par le société américain Rollerblade,Rollerblade Inc .,Rollerblade Inc . du,Rollerblade Inc . du frère
http://www.lemonde.fr/afrique/article/2015/03/28/au-nigeria-le-vote-dans-la-ferveur-pour-conjurer-toutes-les-peurs_4603418_3212.html#xtor%3DRSS-3208001,lemonde.fr,2015-03-29,France,rollerblade/NOM/rollerblade,"Tous  les  véhicules  avaient  été  interdits  ,  la  rue  avait  donc  été  rendue  aux  marcheurs  et  ,  pour  une  fois  ,  aux  rares  amateurs  de rollerblade  qui  ,  d'  habitude  ne  peuvent  se  risquer  dans  la  circulation  .",rollerblade,nom,rollerblade,de,de,ADP,amateurs,amateur,NOUN,rares,rare,ADJ,aux,au,ADP DET,",",",",PUNCT,qui,qui,PRON,",",",",PUNCT,d',de,ADP,habitude,habitude,NOUN,ne,ne,ADV,2015-03-29,2015,2010,NOUN ADP Rollerblade PRON PUNCT,ADP Rollerblade PRON,NOUN ADP Rollerblade,ADJ NOUN ADP Rollerblade,ADP DET ADJ NOUN ADP Rollerblade,Rollerblade PRON PUNCT,Rollerblade PRON PUNCT ADP,Rollerblade PRON PUNCT ADP NOUN,"amateur de Rollerblade qui ,",de Rollerblade qui,amateur de Rollerblade,rare amateur de Rollerblade,au rare amateur de Rollerblade,"Rollerblade qui ,","Rollerblade qui , de","Rollerblade qui , de habitude"
http://www.lecourrierdusud.ca/2015/04/10/emily-derome-de-retour-avec-deux-medailles,lecourrierdusud.ca,2015-04-10,Canada,rollerblade/NOM/rollerblade,"""  Je  me  garde  en  forme  en  faisant  beaucoup  de  distances  en rollerblade  et  en  vélo  .",rollerblade,nom,rollerblade,en,en,ADP,distances,distance,NOUN,de,de,ADP,beaucoup,beaucoup,ADV,faisant,faire,VERB,et,et,CONJ,en,en,ADP,vélo,vélo,NOUN,.,.,PUNCT,,,,2015-04-10,2015,2010,NOUN ADP Rollerblade CONJ ADP,ADP Rollerblade CONJ,NOUN ADP Rollerblade,ADP NOUN ADP Rollerblade,ADV ADP NOUN ADP Rollerblade,Rollerblade CONJ ADP,Rollerblade CONJ ADP NOUN,Rollerblade CONJ ADP NOUN PUNCT,distance en Rollerblade et en,en Rollerblade et,distance en Rollerblade,de distance en Rollerblade,beaucoup de distance en Rollerblade,Rollerblade et en,Rollerblade et en vélo,Rollerblade et en vélo .
http://www.journaldequebec.com/2015/04/12/dinvisible-a-superstar-a-17-ans,journaldequebec.com,2015-04-12,Armenia,rollerblade/NOM/rollerblade,"Mackenzie  et  moi  ,  nous  adorons  le rollerblade  ,  nous  sommes  des  cracks  en  histoire  ,  et  nous  avons  tendance  à  babiller  quand  nous  sommes  nerveuses  .",rollerblade,nom,rollerblade,le,le,DET,adorons,adorer,VERB,nous,nous,PRON,",",",",PUNCT,moi,moi,PRON,",",",",PUNCT,nous,nous,PRON,sommes,sommer|être,VERB,des,du,ADP DET,cracks,crack,NOUN,2015-04-12,2015,2010,VERB DET Rollerblade PUNCT PRON,DET Rollerblade PUNCT,VERB DET Rollerblade,PRON VERB DET Rollerblade,PUNCT PRON VERB DET Rollerblade,Rollerblade PUNCT PRON,Rollerblade PUNCT PRON VERB,Rollerblade PUNCT PRON VERB ADP DET,"adorer le Rollerblade , nous","le Rollerblade ,",adorer le Rollerblade,nous adorer le Rollerblade,", nous adorer le Rollerblade","Rollerblade , nous","Rollerblade , nous sommer|être","Rollerblade , nous sommer|être du"
http://branchez-vous.com/2015/05/01/hackers-le-film-qui-pirate-meme-le-bon-sens/,branchez-vous.com,2015-05-01,===NONE===,rollerblade/NOM/rollerblade,"Dans  le  monde  complètement  contrôlé  par  les  réseaux  et  les  ordinateurs  qu'  était  1995  ,  des  pirates  informatiques  se  promènent  en rollerblade  même  à  l'  intérieur  .",rollerblade,nom,rollerblade,en,en,ADP,promènent,promener,VERB,se,se,PRON,informatiques,informatique,ADJ,pirates,pirate,NOUN,même,même,ADJ,à,à,ADP,l',le,DET,intérieur,intérieur,NOUN,.,.,PUNCT,2015-05-01,2015,2010,VERB ADP Rollerblade ADJ ADP,ADP Rollerblade ADJ,VERB ADP Rollerblade,PRON VERB ADP Rollerblade,ADJ PRON VERB ADP Rollerblade,Rollerblade ADJ ADP,Rollerblade ADJ ADP DET,Rollerblade ADJ ADP DET NOUN,promener en Rollerblade même à,en Rollerblade même,promener en Rollerblade,se promener en Rollerblade,informatique se promener en Rollerblade,Rollerblade même à,Rollerblade même à le,Rollerblade même à le intérieur
http://quebec.huffingtonpost.ca/bianca-longpre/vacances-ete-activites-estivales-enfants-souvenirs-enfance_b_7548556.html?utm_hp_ref=canada-quebec&ir=Canada%2BQuebec,huffingtonpost.ca,2015-06-20,Canada,rollerblades/NOM/rollerblades,"Là  ,  je  veux  aller  aux  glissades  d'  eau  ,  au  château  Montebello  ,  à  La  Ronde  ,  au  Parc  Safari  ,  au  zoo  de  Granby  ,  à  la  plage  ,  à  l'  autre  plage  ,  à  Disney  ,  à  Cuba  ,  en rollerblades  .",rollerblades,nom,rollerblades,en,en,ADP,",",",",PUNCT,Cuba,Cuba,PROPN,à,à,ADP,",",",",PUNCT,.,.,PUNCT,,,,,,,,,,,,,2015-06-20,2015,2010,,ADP Rollerblade PUNCT,PUNCT ADP Rollerblade,PROPN PUNCT ADP Rollerblade,ADP PROPN PUNCT ADP Rollerblade,,,,,en Rollerblade .,", en Rollerblade","Cuba , en Rollerblade","à Cuba , en Rollerblade",,,
http://www.lapresse.ca/le-soleil/sports/autres-sports/201508/29/01-4896402-dans-la-bouette-pour-jeff.php,lapresse.ca,2015-08-30,Canada,rollerblade/NOM/rollerblade,"""  J'  étais  un  gars  de  terrain  ,  qui  faisait  du  vélo  ,  du rollerblade  .",rollerblade,nom,rollerblade,du,du,ADP DET,",",",",PUNCT,vélo,vélo,NOUN,du,du,ADP DET,faisait,faire,VERB,.,.,PUNCT,,,,,,,,,,,,,2015-08-30,2015,2010,,ADP DET Rollerblade PUNCT,PUNCT ADP DET Rollerblade,NOUN PUNCT ADP DET Rollerblade,ADP DET NOUN PUNCT ADP DET Rollerblade,,,,,du Rollerblade .,", du Rollerblade","vélo , du Rollerblade","du vélo , du Rollerblade",,,
http://voir.ca/maxclark/2015/10/19/soiree-explosive-au-centre-bell-avec-le-nitro-circus/,voir.ca,2015-10-19,Canada,Rollerblades/NOM/Rollerblades,"Et  de  l'  autre  côté  ,  du  haut  d'  une  rampe  immense  ,  une  armée  des  riders  gonflés  à  bloc  s'  élançaient  pour  aligner  les  uns  à  la  suite  des  autres  des  trucs  à  couper  le  souffle  en  BMX  ,  Skateboard  , Rollerblades  et  tellement  d'  autres  déments  engins  comme  un  Big-Wheel  ,  un  Kneeboard  ou  encore  un  ""  désormais  classique  ""  bain  à  roulettes  .",rollerblades,nom,rollerblades,",",",",PUNCT,Skateboard,Skateboard,PROPN,",",",",PUNCT,BMX,BMX,PROPN,en,en,ADP,et,et,CONJ,tellement,tellement,ADV,d',de,ADP,autres,autre,ADJ,déments,dément,ADJ,2015-10-19,2015,2010,PROPN PUNCT Rollerblade CONJ ADV,PUNCT Rollerblade CONJ,PROPN PUNCT Rollerblade,PUNCT PROPN PUNCT Rollerblade,PROPN PUNCT PROPN PUNCT Rollerblade,Rollerblade CONJ ADV,Rollerblade CONJ ADV ADP,Rollerblade CONJ ADV ADP ADJ,"Skateboard , Rollerblade et tellement",", Rollerblade et","Skateboard , Rollerblade",", Skateboard , Rollerblade","BMX , Skateboard , Rollerblade",Rollerblade et tellement,Rollerblade et tellement de,Rollerblade et tellement de autre
http://journalmetro.com/local/ile-des-soeurs/actualites/926528/agente-dillustrateurs-depuis-20-ans/,journalmetro.com,2016-03-04,Canada,Rollerblade/NOM/Rollerblade,"Même  si  je  crevais  de  faim  ,  ne  faisait  pas  d'  argent  et  m'  endettais  ,  je  faisais  du Rollerblade  avec  mon  gros  Motorola  flip  dans  ma  poche  pour  les  appels  d'  affaires  .",rollerblade,nom,rollerblade,du,du,ADP DET,faisais,faire,VERB,je,je,PRON,",",",",PUNCT,endettais,endetter,VERB,avec,avec,ADP,mon,mon,DET,gros,gros,NOUN,Motorola,Motorola,VERB,flip,flip,NOUN,2016-03-04,2016,2010,VERB ADP DET Rollerblade ADP DET,ADP DET Rollerblade ADP,VERB ADP DET Rollerblade,PRON VERB ADP DET Rollerblade,PUNCT PRON VERB ADP DET Rollerblade,Rollerblade ADP DET,Rollerblade ADP DET NOUN,Rollerblade ADP DET NOUN VERB,faire du Rollerblade avec mon,du Rollerblade avec,faire du Rollerblade,je faire du Rollerblade,", je faire du Rollerblade",Rollerblade avec mon,Rollerblade avec mon gros,Rollerblade avec mon gros Motorola
