url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.ladepeche.fr/article/2014/04/23/1868591-figeac-salvador-sanchez-matou-dell-arte-jusqu-27-avril.html,ladepeche.fr,2014-04-23,France,rotring/NOM/rotring,"Constituées  de  trames  hyperfines  ,  ""  tissées  ""  au rotring  sur  fond  noir  d'  encre  ou  rouge  carmin  ,  les  tableaux  aux  contours  linéaires  de  Salavdor  attirent  et  déjouent  le  regard  .",rotring,nom,rotring,au,au,ADP DET,"""","""",PUNCT,tissées,tissé,ADJ,"""","""",PUNCT,",",",",PUNCT,sur,sur,ADP,fond,fond,NOUN,noir,noir,ADJ,d',de,ADP,encre,encre,NOUN,2014-04-23,2014,2010,PUNCT ADP DET Rotring ADP NOUN,ADP DET Rotring ADP,PUNCT ADP DET Rotring,ADJ PUNCT ADP DET Rotring,PUNCT ADJ PUNCT ADP DET Rotring,Rotring ADP NOUN,Rotring ADP NOUN ADJ,Rotring ADP NOUN ADJ ADP,""" au Rotring sur fond",au Rotring sur,""" au Rotring","tissé "" au Rotring",""" tissé "" au Rotring",Rotring sur fond,Rotring sur fond noir,Rotring sur fond noir de
http://www.ladepeche.fr/article/2014/10/22/1976714-des-oiseaux-dans-l-antre-d-un-matou.html,ladepeche.fr,2014-10-22,France,rotring/NOM/rotring,"Il  utilise  des  petits  outils  (  crayons  , rotring  ,  pinceau  )  et  peint  des  petits  formats  figuratifs  ,  alors  que  moi  ,  c'  était  plutôt  brosse  ,  couteau  ,  mélanges  techniques  (  huiles  ,  acryliques  ,  pigments  )  ,  abstrait  et  grands  formats  .",rotring,nom,rotring,",",",",PUNCT,crayons,crayon,NOUN,(,(,PUNCT,outils,outil,NOUN,petits,petit,ADJ,",",",",PUNCT,pinceau,pinceau,NOUN,),),PUNCT,et,et,CONJ,peint,peindre,VERB,2014-10-22,2014,2010,NOUN PUNCT Rotring PUNCT NOUN,PUNCT Rotring PUNCT,NOUN PUNCT Rotring,PUNCT NOUN PUNCT Rotring,NOUN PUNCT NOUN PUNCT Rotring,Rotring PUNCT NOUN,Rotring PUNCT NOUN PUNCT,Rotring PUNCT NOUN PUNCT CONJ,"crayon , Rotring , pinceau",", Rotring ,","crayon , Rotring","( crayon , Rotring","outil ( crayon , Rotring","Rotring , pinceau","Rotring , pinceau )","Rotring , pinceau ) et"
http://www.lalibre.be/culture/arts/angouleme-sous-le-signe-de-charlie-54c9b9ba35701001a16db4e7,lalibre.be,2015-01-29,Belgium,Rotring/NAM/Rotring,"Le  trait  au  pinceau  d'  Hermann  s'  est  rapidement  affranchi  des  influences  du  créateur  de  ""  Jerry  Spring  ""  pour  trouver  sa  propre  fluidité  ,  qui  gagnera  en  puissance  et  spontanéité  lorsqu'  Hermann  entreprit  de  dessiner  au Rotring  ,  au  début  des  années  1980  ,  avec  la  série  ""  Jeremiah  ""  ,  qu'  il  anime  seul  ,  au  scénario  ,  aux  dessins  et  ,  à  partir  de  1986  ,  à  la  mise  en  couleur  .",rotring,nam,rotring,au,au,ADP DET,dessiner,dessiner,VERB,de,de,ADP,entreprit,entreprendre,VERB,Hermann,Hermann,PROPN,",",",",PUNCT,au,au,ADP DET,début,début,NOUN,des,du,ADP DET,années,année,NOUN,2015-01-29,2015,2010,VERB ADP DET Rotring PUNCT ADP DET,ADP DET Rotring PUNCT,VERB ADP DET Rotring,ADP VERB ADP DET Rotring,VERB ADP VERB ADP DET Rotring,Rotring PUNCT ADP DET,Rotring PUNCT ADP DET NOUN,Rotring PUNCT ADP DET NOUN ADP DET,"dessiner au Rotring , au","au Rotring ,",dessiner au Rotring,de dessiner au Rotring,entreprendre de dessiner au Rotring,"Rotring , au","Rotring , au début","Rotring , au début du"
http://www1.lalibre.be/culture/arts/angouleme-sous-le-signe-de-charlie-54c9b9ba35701001a16db4e7,lalibre.be,2015-02-16,Belgium,Rotring/NAM/Rotring,"Le  trait  au  pinceau  d'  Hermann  s'  est  rapidement  affranchi  des  influences  du  créateur  de  ""  Jerry  Spring  ""  pour  trouver  sa  propre  fluidité  ,  qui  gagnera  en  puissance  et  spontanéité  lorsqu'  Hermann  entreprit  de  dessiner  au Rotring  ,  au  début  des  années  1980  ,  avec  la  série  ""  Jeremiah  ""  ,  qu'  il  anime  seul  ,  au  scénario  ,  aux  dessins  et  ,  à  partir  de  1986  ,  à  la  mise  en  couleur  .",rotring,nam,rotring,au,au,ADP DET,dessiner,dessiner,VERB,de,de,ADP,entreprit,entreprendre,VERB,Hermann,Hermann,PROPN,",",",",PUNCT,au,au,ADP DET,début,début,NOUN,des,du,ADP DET,années,année,NOUN,2015-02-16,2015,2010,VERB ADP DET Rotring PUNCT ADP DET,ADP DET Rotring PUNCT,VERB ADP DET Rotring,ADP VERB ADP DET Rotring,VERB ADP VERB ADP DET Rotring,Rotring PUNCT ADP DET,Rotring PUNCT ADP DET NOUN,Rotring PUNCT ADP DET NOUN ADP DET,"dessiner au Rotring , au","au Rotring ,",dessiner au Rotring,de dessiner au Rotring,entreprendre de dessiner au Rotring,"Rotring , au","Rotring , au début","Rotring , au début du"
http://www.lavoixdunord.fr/culture-loisirs/les-tatouages-ne-sont-plus-reserves-qu-aux-rebelles-la-ia0b0n2749955?xtor=RSS-2,lavoixdunord.fr,2015-04-03,France,rotring/NOM/rotring,"Un  autre  temps  où  il  se  fit  son  premier  tatouage  ,  un  dragon  ,  avec  une  pointe  de  compas  et  de  l'  encre rotring  .",rotring,nom,rotring,encre,encre,NOUN,l',le,DET,de,de,ADP,et,et,CONJ,compas,compas,NOUN,.,.,PUNCT,,,,,,,,,,,,,2015-04-03,2015,2010,,NOUN Rotring PUNCT,DET NOUN Rotring,ADP DET NOUN Rotring,CONJ ADP DET NOUN Rotring,,,,,encre Rotring .,le encre Rotring,de le encre Rotring,et de le encre Rotring,,,
http://www.lejdd.fr/Culture/Expo/Au-Salon-de-Montrouge-l-art-contemporain-accessible-731486,lejdd.fr,2015-05-08,France,rotring/NOM/rotring,"A  ce  palmarès  ,  on  ajouterait  bien  les  petits  ouvriers  dessinés  à  l'  encre  ,  mesurant  un  centimètre  à  peine  de  la  graphiste  Julie  Lazoir  ,  les  statues  blanches  de  femmes  rondes  aux  mains  arborescentes  de  la  sculptrice  Yun-Jung  Song  ,  les  cadres  de  photos  renfermant  des  vidéos  fantomatiques  de  l'  artiste  Benjamin  Renoux  ,  les  photos  de  super-héros  africains  d'  Alexandre  Eudier  ,  ou  les  paysages  de  rochers  tracés  au rotring  de  Thomas  Barbey  ...",rotring,nom,rotring,au,au,ADP DET,tracés,tracer,VERB,rochers,rocher,NOUN,de,de,ADP,paysages,paysage,NOUN,de,de,ADP,Thomas,Thomas,PROPN,Barbey,Barbey,PROPN,...,...,PUNCT,,,,2015-05-08,2015,2010,VERB ADP DET Rotring ADP PROPN,ADP DET Rotring ADP,VERB ADP DET Rotring,NOUN VERB ADP DET Rotring,ADP NOUN VERB ADP DET Rotring,Rotring ADP PROPN,Rotring ADP PROPN PROPN,Rotring ADP PROPN PROPN PUNCT,tracer au Rotring de Thomas,au Rotring de,tracer au Rotring,rocher tracer au Rotring,de rocher tracer au Rotring,Rotring de Thomas,Rotring de Thomas Barbey,Rotring de Thomas Barbey ...
http://www.telerama.fr/livre/la-bedetheque-ideale-89-tableau-d-horreur-pour-le-mangaka-junji-ito%2C127249.php#xtor%3DRSS-18,telerama.fr,2015-05-28,France,Rotrings/NOM/Rotrings,"Il  me  manquait  toutes  les  bases  ,  par  exemple  pour  dessiner  j'  utilisais  des Rotrings  de  base  au  lieu  des  feutres  de  pro  ,  j'  ai  pris  des  tas  de  ""  mauvaises  ""  habitudes  .",rotrings,nom,rotrings,des,du,ADP DET,utilisais,utiliser,VERB,j',je,PRON,dessiner,dessiner,VERB,pour,pour,ADP,de,de,ADP,base,base,NOUN,au,au,ADP DET,lieu,lieu,NOUN,des,du,ADP DET,2015-05-28,2015,2010,VERB ADP DET Rotring ADP NOUN,ADP DET Rotring ADP,VERB ADP DET Rotring,PRON VERB ADP DET Rotring,VERB PRON VERB ADP DET Rotring,Rotring ADP NOUN,Rotring ADP NOUN ADP DET,Rotring ADP NOUN ADP DET NOUN,utiliser du Rotring de base,du Rotring de,utiliser du Rotring,je utiliser du Rotring,dessiner je utiliser du Rotring,Rotring de base,Rotring de base au,Rotring de base au lieu
http://www.telerama.fr/livre/bedetheque-101-les-touchantes-petites-niaiseuses-de-sandrine-martin%2C132810.php#xtor%3D,telerama.fr,2015-10-15,France,Rotring/NOM/Rotring,Mon  trait  fin  vient  du Rotring  avec  lequel  je  dessine  .,rotring,nom,rotring,du,du,ADP DET,vient,venir,VERB,fin,fin,NOUN,trait,traire,VERB,Mon,Mon,PROPN,avec,avec,ADP,lequel,lequel,PRON,je,je,PRON,dessine,dessiner,VERB,.,.,PUNCT,2015-10-15,2015,2010,VERB ADP DET Rotring ADP PRON,ADP DET Rotring ADP,VERB ADP DET Rotring,NOUN VERB ADP DET Rotring,VERB NOUN VERB ADP DET Rotring,Rotring ADP PRON,Rotring ADP PRON PRON,Rotring ADP PRON PRON VERB,venir du Rotring avec lequel,du Rotring avec,venir du Rotring,fin venir du Rotring,traire fin venir du Rotring,Rotring avec lequel,Rotring avec lequel je,Rotring avec lequel je dessiner
http://www.lecho.be/culture/architecture/L_architecture_s_apparente_a_la_musique.9691365-3440.art?ckc=1&ts=1445851375,lecho.be,2015-10-26,Belgium,Rotring/NOM/Rotring,"Puis  l'  architecte  Paul  Caulier  meurt  ,  et  Richard  Delaunoit  ,  son  chef  de  bureau  ,  cherche  un  job  :  ""  Il  nous  rejoint  et  nous  apprend  à  dresser  des  plans  qui  sont  des  partitions  ,  en  maniant  le Rotring  et  la  flèche  de  cotation  de  main  de  maître  .",rotring,nom,rotring,le,le,DET,maniant,manier,VERB,en,en,ADP,",",",",PUNCT,partitions,partition,NOUN,et,et,CONJ,la,le,DET,flèche,flèche,NOUN,de,de,ADP,cotation,cotation,NOUN,2015-10-26,2015,2010,VERB DET Rotring CONJ DET,DET Rotring CONJ,VERB DET Rotring,ADP VERB DET Rotring,PUNCT ADP VERB DET Rotring,Rotring CONJ DET,Rotring CONJ DET NOUN,Rotring CONJ DET NOUN ADP,manier le Rotring et le,le Rotring et,manier le Rotring,en manier le Rotring,", en manier le Rotring",Rotring et le,Rotring et le flèche,Rotring et le flèche de
http://www.lesoir.be/1066082/article/actualite/regions/brabant-wallon/2015-12-10/nivelles-numero-un-l-aspirateur-cereales,lesoir.be,2015-12-14,Belgium,Rotring/NOM/Rotring,"On  va  ainsi  jusqu'  à  fournir  des  pièces  de  rechange  pour  des  machines  dessinées  au  "" Rotring  ""  il  y  a  trente-cinq  ans  !",rotring,nom,rotring,"""","""",PUNCT,au,au,ADP DET,dessinées,dessiner,VERB,machines,machine,NOUN,des,du,ADP DET,"""","""",PUNCT,il,il,PRON,y,y,PRON,a,avoir,VERB,trente-cinq,trente-cinq,ADJ,2015-12-14,2015,2010,ADP DET PUNCT Rotring PUNCT PRON,PUNCT Rotring PUNCT,ADP DET PUNCT Rotring,VERB ADP DET PUNCT Rotring,NOUN VERB ADP DET PUNCT Rotring,Rotring PUNCT PRON,Rotring PUNCT PRON PRON,Rotring PUNCT PRON PRON VERB,"au "" Rotring "" il",""" Rotring ""","au "" Rotring","dessiner au "" Rotring","machine dessiner au "" Rotring","Rotring "" il","Rotring "" il y","Rotring "" il y avoir"
